I
1130 Generated by WorldEditor 2.2.0r2

1   2009 0 0 F06 Marian Airpark
120 Linear Feature 6
111  34.84863117 -100.19739316 9
111  34.84871873 -100.19749986
112  34.84871873 -100.19749986  34.84876596 -100.19756859 9
112  34.84871873 -100.19773020  34.84866992 -100.19780424
111  34.84871873 -100.19773020 9
115  34.84847809 -100.19802483
120 Linear Feature 5
111  34.84842011 -100.19795559 9
111  34.84857261 -100.19776270 9
111  34.84862654 -100.19762986 9
115  34.84857783 -100.19747725
120 Linear Feature 4
111  34.84792375 -100.19748502 1
111  34.84833429 -100.19797114
112  34.84833429 -100.19797114  34.84836508 -100.19800634 1
116  34.84847525 -100.19796795  34.84852058 -100.19792121
120 Linear Feature 3
111  34.84860682 -100.19742072 1
111  34.84869264 -100.19752317
112  34.84869264 -100.19752317  34.84872712 -100.19757325 1
112  34.84869496 -100.19769840  34.84865959 -100.19775181
111  34.84869496 -100.19769840 1
111  34.84847525 -100.19796795 1
111  34.84826992 -100.19821984
112  34.84826992 -100.19821984  34.84825164 -100.19824183 1
116  34.84820034 -100.19826153  34.84818040 -100.19826300
120 Linear Feature 8
111  34.84320273 -100.19836384 3
111  34.84320379 -100.19856719 3
111  34.84341643 -100.19856964 3
115  34.84358048 -100.19836492
14  34.84873560 -100.19704609  82.02 0 Tower Viewpoint
1300  34.84861092 -100.19705040 225.00 hangar props Hangar 01
1301 A none 
1300  34.84849413 -100.19691966 225.00 hangar props Hangar 02
1301 A none 
1300  34.84836938 -100.19678216 225.00 hangar props Hangar 03
1301 A none 
1300  34.84828351 -100.19667280 225.00 hangar props Hangar 04
1301 A none 
1300  34.84813607 -100.19638674 225.00 hangar props Hangar 05
1301 A none 
1300  34.84761883 -100.19587512 225.00 hangar props Hangar 07
1301 A none 
1300  34.84830926 -100.19929642  90.00 hangar props Hangar 08
1301 A none 
1300  34.84814699 -100.19927485  90.00 hangar props Hangar 09
1301 A none 
1300  34.84738629 -100.19927411  90.00 hangar props Hangar 10
1301 A none 
18  34.84873560 -100.19704609 1 Airport Beacon
19  34.84617012 -100.19668243 1 Windsock
1051 122900 Marian Unicom
99
