I
1050 Generated by WorldEditor

1     20 1 0 EGPB Sumburgh
120 Linear Feature 157
111  59.87514767 -001.28875515 54 104
115  59.87546925 -001.28922977
120 Linear Feature 138
111  59.87778739 -001.28303846 51 101
111  59.87807370 -001.28345950 51 101
112  59.87814025 -001.28380475  59.87814490 -001.28397735 51 101
111  59.87807898 -001.28417105 51 101
111  59.87619346 -001.28921652 51 101
112  59.87595989 -001.28939220  59.87587327 -001.28935830 51 101
111  59.87586085 -001.28931786 51 101
115  59.87559485 -001.28892681
120 Linear Feature 137
111  59.87799129 -001.28317109 54
115  59.87788564 -001.28343002
120 Linear Feature 145
111  59.88212471 -001.29071904 20
111  59.88214129 -001.29074166 20
111  59.88221900 -001.29044237 20
111  59.88238752 -001.29036407 20
111  59.88238053 -001.29032405 20
111  59.88223647 -001.29039365 20
111  59.88230894 -001.29012917 20
111  59.88229584 -001.29010829 20
111  59.88220940 -001.29040583 20
111  59.88203739 -001.29048240 20
111  59.88204787 -001.29051720 20
113  59.88219630 -001.29045107 20
120 Linear Feature 144
111  59.88033465 -001.29278235 53 102
111  59.88106630 -001.29198511 53 102
112  59.88128278 -001.29155917  59.88137869 -001.29129706 53 102
115  59.88141431 -001.29111139
120 Linear Feature 143
111  59.88112721 -001.29229944 53 102
111  59.88046465 -001.29304165 53 102
111  59.87900852 -001.29521226 53 102
112  59.87895612 -001.29547706  59.87895612 -001.29562997 53 102
115  59.87898232 -001.29571948
120 Linear Feature 142
111  59.88107855 -001.29214279 51 101
112  59.88126758 -001.29204581  59.88134244 -001.29204581 51 101
115  59.88135742 -001.29210176
120 Linear Feature 153
111  59.87865600 -001.29522019 53 102
115  59.87898541 -001.29476145
120 Linear Feature 152
111  59.87905229 -001.29449048 54 104
111  59.87922925 -001.29453794 54 104
115  59.87931432 -001.29476172
120 Linear Feature 141
111  59.87596154 -001.28949065 51 101
111  59.87904109 -001.29403189 51 101
112  59.87932616 -001.29421301  59.87945298 -001.29422204 51 101
111  59.87965099 -001.29405610 51 101
111  59.88039540 -001.29293721 51 101
111  59.88107855 -001.29214279 51 101
115  59.88138175 -001.29167284
120 Linear Feature 140
111  59.87586085 -001.28931786 51 101
111  59.87596073 -001.28949009 51 101
112  59.87602316 -001.28973313  59.87604481 -001.28987547 51 101
111  59.87602220 -001.29008143 51 101
115  59.87593864 -001.29120668
120 Linear Feature 150
111  59.87876022 -001.29535939 51 101
111  59.87908181 -001.29490812 51 101
115  59.87964345 -001.29406874
120 Linear Feature 149
111  59.87769937 -001.29696531 51 101
115  59.87841556 -001.29591483
21  59.88139641 -001.30262529 2 83.5200 3.00 09  PAPI-4L
21  59.87944451 -001.29592221 2 143.4300 4.00 15  PAPI-4L
21  59.88127136 -001.28937789 2 263.5400 3.00 27  PAPI-4L
14  59.87884263 -001.30041228  52.49 0 ATC Tower
1300  59.87699306 -001.28956000  54.00 gate jets|turboprops GATE 1
1301 C airline 
1300  59.87895895 -001.29311597 143.03 gate jets|turboprops STAND 27
1301 B airline 
1300  59.87870876 -001.29276761 143.03 gate jets|turboprops STAND 26
1301 B airline 
1300  59.87844652 -001.29239521 143.03 gate jets|turboprops STAND 25
1301 B airline 
1300  59.87819935 -001.29202282 143.03 gate jets|turboprops STAND 24
1301 B airline 
1300  59.87795520 -001.29168046 143.03 gate jets|turboprops STAND 23
1301 B airline 
1300  59.87767487 -001.29126002 143.03 gate jets|turboprops STAND 22
1301 B airline 
1300  59.87742077 -001.29090263 143.03 gate jets|turboprops STAND 21
1301 B airline 
1300  59.87714924 -001.29049560 143.03 gate jets|turboprops STAND 20
1301 B airline 
1300  59.87671227 -001.29779390 341.34 misc jets|turboprops Western Apron Hanger
1301 B general_aviation 
18  59.88008350 -001.30352767 1 BCN
19  59.87206300 -001.28299800 0 WS
19  59.87636986 -001.28467439 1 WS
19  59.88027498 -001.28654117 0 WS
19  59.88270266 -001.29986024 0 WS
19  59.88177978 -001.30210431 1 WS
50 12585 Sumburgh Information
54 11825 Sumburgh Tower
55 12315 Sumburgh Radar
99
