I
1050 Generated by WorldEditor

1     16 1 0 NZNV Invercargill
1302 city Invercargill
111 -46.41495508  168.32084522
111 -46.41561809  168.32070569
111 -46.41576141  168.32110231
111 -46.41590473  168.32122532
111 -46.41515746  168.32190020
111 -46.41498987  168.32225133
111 -46.41495635  168.32235898
111 -46.41497444  168.32248558
111 -46.41496804  168.32281615
111 -46.41497840  168.32295898
111 -46.41498157  168.32350116
111 -46.41499309  168.32382223
111 -46.41499678  168.32419516
111 -46.41495910  168.32430720
111 -46.41495796  168.32445220
111 -46.41497976  168.32444790
111 -46.41498658  168.32481900
111 -46.41497641  168.32496614
111 -46.41497886  168.32528279
111 -46.41483238  168.32527429
112 -46.41476203  168.32530590 -46.41474847  168.32533312
111 -46.41474915  168.32538408
111 -46.41473113  168.32563867
111 -46.41475935  168.32568618
112 -46.41479906  168.32584764 -46.41481716  168.32589513
111 -46.41485316  168.32595428
111 -46.41499587  168.32595700
111 -46.41499575  168.32619837
111 -46.41502554  168.32619656
111 -46.41501966  168.32629355
111 -46.41470630  168.32627866
111 -46.41470408  168.32624205
111 -46.41468402  168.32592213
111 -46.41467513  168.32576440
111 -46.41467177  168.32536262
111 -46.41463319  168.32529456
111 -46.41447719  168.32529354
111 -46.41446962  168.32304883
111 -46.41445435  168.32284513
111 -46.41436835  168.32253241
111 -46.41436333  168.32215598
111 -46.41445516  168.32178763
111 -46.41445146  168.32123038
112 -46.41445146  168.32123038 -46.41444777  168.32115001
111 -46.41439975  168.32103481
111 -46.41428153  168.32097855
111 -46.41403454  168.32080854
111 -46.41385820  168.32068716
111 -46.41302555  168.32011404
112 -46.41289682  168.32015648 -46.41287091  168.32018083
113 -46.41274911  168.32036972
130 Airport Boundary 1
111 -46.41569196  168.31360422
111 -46.41693869  168.31543640
111 -46.41836218  168.32103136
111 -46.41721250  168.32395584
111 -46.41659498  168.32348474
111 -46.41669413  168.32318527
111 -46.41674559  168.32307926
111 -46.41679896  168.32302198
111 -46.41723530  168.32191092
111 -46.41721150  168.32164772
111 -46.41652853  168.32083664
111 -46.41635148  168.32081302
111 -46.41606039  168.32108621
111 -46.41625355  168.32140611
111 -46.41602719  168.32234520
111 -46.41542068  168.32277819
111 -46.41548869  168.32581535
111 -46.41552364  168.32710823
111 -46.41483743  168.32708955
111 -46.41482513  168.32886008
111 -46.41003690  168.32935944
111 -46.40979559  168.32921480
111 -46.40958341  168.32921305
111 -46.40971147  168.32465689
111 -46.41019925  168.32466269
111 -46.41024265  168.31648482
112 -46.41027495  168.31624607 -46.41029266  168.31618734
111 -46.41039143  168.31608466
111 -46.41223032  168.31339680
112 -46.41223032  168.31339680 -46.41230270  168.31328777
111 -46.41253186  168.31326136
111 -46.41397318  168.31320011
111 -46.41718586  168.30340170
111 -46.41743043  168.30248421
111 -46.41739381  168.30220111
111 -46.41881099  168.29792908
113 -46.42058926  168.29894677
120 Linear Feature 15
111 -46.41448040  168.32468743 20
111 -46.41456088  168.32468626
111 -46.41448201  168.32484211 20
111 -46.41457172  168.32484463
111 -46.41448402  168.32499853 20
111 -46.41457437  168.32500079
111 -46.41448523  168.32515787 20
115 -46.41457697  168.32515426
120 Linear Feature 14
111 -46.41452443  168.32453271 20
111 -46.41456744  168.32459167 20
111 -46.41456904  168.32468636 20
111 -46.41457172  168.32484463 20
111 -46.41457437  168.32500079 20
111 -46.41457697  168.32515426 20
115 -46.41457922  168.32528728
120 Linear Feature 13
111 -46.41492304  168.32157065 1
111 -46.41497313  168.32150374 1
116 -46.41483049  168.32144860 -46.41475550  168.32149424
120 Linear Feature 12
111 -46.41477089  168.32203116 8
115 -46.41478369  168.32193671
120 Linear Feature 11
111 -46.41453879  168.32310024 1
111 -46.41483667  168.32346661 1
112 -46.41479276  168.32369182 -46.41471512  168.32379078
111 -46.41479276  168.32369182
112 -46.41479276  168.32369182 -46.41468689  168.32379760 1
115 -46.41461396  168.32371116
120 Linear Feature 10
111 -46.41516831  168.32136651 8
115 -46.41522090  168.32129730
120 Linear Feature 9
111 -46.41544851  168.32133974 1
111 -46.41542077  168.32142782 1
116 -46.41525292  168.32124733 -46.41520626  168.32106967
120 Linear Feature 8
112 -46.41541687  168.32102103 -46.41546976  168.32104106 8
111 -46.41548592  168.32115329 8
111 -46.41542660  168.32119695 8
112 -46.41534201  168.32135322 -46.41527251  168.32135643
111 -46.41534201  168.32135322 8
115 -46.41527473  168.32122737
120 Linear Feature 7
111 -46.41510762  168.32109880 1
111 -46.41544851  168.32133974 1
112 -46.41559303  168.32121284 -46.41564021  168.32108866 1
111 -46.41558136  168.32096843 1
115 -46.41493700  168.32103203
120 Linear Feature 5
111 -46.41448326  168.32091822 1
111 -46.41493823  168.32171868 1
112 -46.41478355  168.32181987 -46.41467208  168.32176629
111 -46.41478355  168.32181987 1
111 -46.41467244  168.32193784 8
115 -46.41461499  168.32200448
120 Linear Feature 4
111 -46.41453587  168.32174106 1
112 -46.41472454  168.32189152 -46.41486302  168.32188872
111 -46.41472454  168.32189152
112 -46.41472454  168.32189152 -46.41482809  168.32188458 1
111 -46.41488570  168.32171143 1
111 -46.41511057  168.32144604 8
116 -46.41502487  168.32130077 -46.41494721  168.32127668
120 Linear Feature 3
111 -46.41448434  168.32266330 1
111 -46.41460154  168.32272837 1
112 -46.41474897  168.32262977 -46.41480880  168.32251714
111 -46.41474897  168.32262977
112 -46.41474897  168.32262977 -46.41479663  168.32250443 1
111 -46.41473071  168.32237853 1
111 -46.41476075  168.32214182 1
116 -46.41462310  168.32210269 -46.41454999  168.32213354
120 Linear Feature 24
111 -46.41441479  168.32068898 4
115 -46.41432466  168.32097949
120 Linear Feature 22
111 -46.41391766  168.31547365 4
115 -46.41425868  168.31570614
120 Linear Feature 21
111 -46.41378969  168.31712250 4
115 -46.41345792  168.31690455
120 Linear Feature 8
111 -46.41453590  168.32182527 1
111 -46.41454068  168.32198509
112 -46.41454068  168.32198509 -46.41454304  168.32202611 1
111 -46.41457474  168.32205389 1
111 -46.41462310  168.32210269 1
111 -46.41480198  168.32229588 1
112 -46.41472362  168.32242514 -46.41466883  168.32243967
111 -46.41472362  168.32242514 1
115 -46.41469194  168.32273420
120 Linear Feature 4
111 -46.41445880  168.32090255 1
111 -46.41450066  168.32092324 1
111 -46.41452252  168.32093249 1
111 -46.41489937  168.32103674 1
115 -46.41510762  168.32109880
120 Linear Feature 3
111 -46.41304446  168.31993978 1
111 -46.41445880  168.32090255 1
112 -46.41453390  168.32108645 -46.41453585  168.32120817
111 -46.41453390  168.32108645 1
111 -46.41453587  168.32174106 1
111 -46.41453590  168.32182527 1
111 -46.41444527  168.32217389 1
111 -46.41443956  168.32251048 1
111 -46.41448434  168.32266330 1
111 -46.41453294  168.32282968 1
111 -46.41453879  168.32310024 1
111 -46.41452332  168.32316783 1
111 -46.41453074  168.32431224 1
111 -46.41468154  168.32453170 1
111 -46.41469462  168.32527418 1
111 -46.41470926  168.32531175 1
115 -46.41472607  168.32573372
120 Linear Feature 2
111 -46.41313011  168.31857213 1
111 -46.41288962  168.31931519 1
112 -46.41304446  168.31993978 -46.41329494  168.32016120
111 -46.41304446  168.31993978
112 -46.41304446  168.31993978 -46.41274801  168.31981124 1
111 -46.41260818  168.32017254 1
115 -46.41236445  168.32092747
21 -46.41669707  168.30597681 2 64.9100 3.00 04  PAPI-4L
21 -46.41265125  168.32157331 2 244.8900 3.00 22  PAPI-4L
21 -46.41447868  168.32051012 6 329.4900 3.00 New WIG-WAG
21 -46.41366868  168.31994780 6 336.6100 3.00 New WIG-WAG
14 -46.41500531  168.32232545  82.02 0 New Tower Viewpoint 1
1300 -46.41451831  168.32505004 271.02 tie_down props GA 01
1301 A general_aviation 
1300 -46.41451649  168.32471237 270.57 tie_down props GA 02
1301 A general_aviation 
1300 -46.41497313  168.32150374 -137.34 gate turboprops|props GATE 03A
1301 A airline 
1300 -46.41483667  168.32346661 139.57 gate turboprops|props GATE 05
1301 B airline 
1300 -46.41467244  168.32193784  36.34 gate turboprops|props GATE 03
1301 B airline 
1300 -46.41473071  168.32237853 -100.50 gate turboprops|props GATE 04
1301 B airline 
1300 -46.41544851  168.32133974 154.32 gate turboprops|props GATE 01
1301 B airline 
1300 -46.41511057  168.32144604 -140.52 gate turboprops|props GATE 02
1301 B airline 
18 -46.41500531  168.32232545 1 BCN
19 -46.41814013  168.32095271 0 New Windsock 13
19 -46.41213963  168.32540597 0 New Windsock 12
19 -46.41160161  168.31763482 1 New Windsock 1
51 11850 CTAF
54 11850 TWR
54 12240 TWR
55 11850 APP
55 12240 APP
50 12700 ATIS
99
