I
1050 Generated by WorldEditor 2.0.0r4

1    214 0 0 5S6 Cape Blanco State
112  42.85885086 -124.52018365  42.85889308 -124.52020197
111  42.85885086 -124.52018365
111  42.85896251 -124.52016929
111  42.85897612 -124.52019400
111  42.85897732 -124.52023634
111  42.85897317 -124.52023732
111  42.85893865 -124.52024550
111  42.85883439 -124.52027019
112  42.85881790 -124.52030634  42.85881531 -124.52032806
111  42.85881790 -124.52030634
111  42.85882106 -124.52035090
111  42.85872484 -124.52037204
111  42.85860608 -124.52039982
111  42.85801240 -124.52052857
111  42.85799070 -124.52039280
111  42.85811909 -124.52036509
111  42.85813985 -124.52036061
111  42.85826797 -124.52033296
111  42.85828999 -124.52032821
111  42.85841751 -124.52030068
111  42.85842405 -124.52036564
111  42.85865858 -124.52031047
111  42.85871153 -124.52027124
111  42.85873492 -124.52024509
111  42.85868266 -124.51980881
111  42.85860722 -124.51975474
111  42.85773765 -124.51993082
111  42.85772925 -124.51993252
111  42.85766947 -124.52014432
111  42.85754778 -124.52008086
111  42.85749150 -124.52027806
111  42.85746855 -124.52026688
111  42.85749077 -124.52018714
111  42.85731417 -124.52008644
111  42.85712787 -124.51998894
111  42.85721527 -124.51966858 20
111  42.85721808 -124.51965829
111  42.85684072 -124.51902845
111  42.85678872 -124.51893922
111  42.85588202 -124.51740821
113  42.85551251 -124.51677978
130 Boundary
111  42.85555921 -124.51707442
111  42.85092396 -124.51461851
111  42.85072008 -124.51462550
111  42.85072278 -124.51422685
111  42.85093829 -124.51408657
111  42.85120542 -124.51324748
111  42.86532098 -124.52068711
111  42.86485353 -124.52226354
111  42.86018485 -124.51964567
111  42.85906196 -124.51989268
111  42.85911616 -124.52065785
111  42.85864640 -124.52081962
111  42.85795747 -124.52082300
111  42.85706845 -124.52043557
111  42.85694581 -124.51995919
111  42.85631335 -124.51960615
113  42.85652328 -124.51879571
120 Linear Feature 13
111  42.85983762 -124.51948807 4
115  42.85981540 -124.51930558
120 Linear Feature 12
111  42.85598466 -124.51728792 4
115  42.85588202 -124.51740821
120 Linear Feature 11
111  42.85773765 -124.51993082 20
111  42.85775473 -124.51984592 20
115  42.85777773 -124.51973153
120 Linear Feature 11
111  42.85721808 -124.51965829 20
111  42.85726003 -124.51951279 20
115  42.85727369 -124.51946542
120 Linear Feature 10
112  42.85586946 -124.51716338  42.85585858 -124.51701241 1
112  42.85611591 -124.51687661  42.85627126 -124.51692950
111  42.85611591 -124.51687661 1
115  42.85663084 -124.51714811
120 Linear Feature 9
111  42.85726003 -124.51951279 1
111  42.85586946 -124.51716338 1
111  42.85555571 -124.51662901 1
112  42.85545953 -124.51653237  42.85540783 -124.51650091
111  42.85545953 -124.51653237 1
115  42.85494117 -124.51625799
120 Linear Feature 8
111  42.85988491 -124.51938979 1
111  42.85994097 -124.51935432
112  42.85994097 -124.51935432  42.86007339 -124.51924611 1
112  42.85994671 -124.51889142  42.85981660 -124.51880782
111  42.85994671 -124.51889142 1
115  42.85943771 -124.51862172
120 Linear Feature 7
111  42.86115178 -124.51952290 1
111  42.86064074 -124.51925621 1
112  42.86050545 -124.51925604  42.86043011 -124.51926878
111  42.86050545 -124.51925604 1
111  42.85988491 -124.51938979 1
115  42.85775473 -124.51984592
14  42.85719588 -124.52014880  25.00 0 Tower
1300  42.85804418 -124.52030625 -80.79 hangar props Hangar 8
1301 A none 
1300  42.85819387 -124.52027134 -81.77 hangar props Hangar 7
1301 A none 
1300  42.85834420 -124.52024254 -81.77 hangar props Hangar 6
1301 A none 
1300  42.85868436 -124.52054775  99.24 hangar props Hangar 5
1301 A none 
1300  42.85895570 -124.52041025  88.82 hangar props Hangar 4
1301 A none 
1300  42.85759072 -124.52019608  69.03 hangar props Hangar 3
1301 A none 
1300  42.85738083 -124.52022865  68.18 hangar props Hangar 2
1301 A none 
1300  42.85662959 -124.51934412  67.68 hangar props Hangar 1
1301 A none 
1300  42.85752351 -124.51972999 -21.51 gate jets|turboprops|props GA Ramp
1301 B general_aviation 
19  42.85773982 -124.51889720 1 WS
51 12290 Cape Blanco Unicom
99
