A
1000 Generated by WorldEditor

1    526 1 0 KSDM BROWN FLD MUNI
111  32.57243349 -116.99368870
112  32.57211651 -116.99364832  32.57196607 -116.99357394
111  32.57187295 -116.99348468
111  32.57168670 -116.99346768
111  32.57089513 -116.99356118
111  32.57067089 -116.99249631
111  32.57052756 -116.99181844
111  32.57057832 -116.99179962
111  32.56989390 -116.98855126
111  32.56936361 -116.98626211
111  32.57024617 -116.98596999
111  32.56992708 -116.98446961
113  32.57012679 -116.98440682
110 1 0.00 0.0000 New Taxiway 21
111  32.57273061 -116.98460263
111  32.57271879 -116.98460263
112  32.57259400 -116.98443232  32.57248346 -116.98430468
111  32.57229131 -116.98435718
111  32.57229118 -116.98445001
111  32.57189304 -116.98449392
111  32.57188712 -116.98443069
112  32.57126562 -116.98449614  32.57113824 -116.98451031
111  32.57111393 -116.98473224
111  32.57107135 -116.98413682
111  32.57087704 -116.98398108
111  32.57143038 -116.98393122
111  32.57146428 -116.98433325
111  32.57166925 -116.98430889
111  32.57163355 -116.98388350
111  32.57186968 -116.98386238
112  32.57254341 -116.98377355  32.57262250 -116.98375302
113  32.57263009 -116.98353745
110 1 0.00 0.0000 New Taxiway 20
111  32.57251715 -116.98217310
111  32.57214848 -116.98281814
111  32.57161835 -116.98370267
111  32.57160624 -116.98355099
111  32.57166813 -116.98348234
111  32.57245583 -116.98214393
113  32.57250720 -116.98204523
110 1 0.00 0.0000 New Taxiway 11
111  32.56979152 -116.97515709
111  32.56983362 -116.97567051
111  32.56982877 -116.97567418
111  32.56913943 -116.97713830
111  32.56879094 -116.97787432
111  32.56868542 -116.97817840
111  32.56867033 -116.97831378
111  32.56920932 -116.97854714
111  32.56933626 -116.97861511
111  32.56978349 -116.97880417
111  32.56986164 -116.97981840
111  32.56934729 -116.97987324
111  32.56931226 -116.97924635
111  32.56908840 -116.97929310
111  32.56894154 -116.97907634
111  32.56901855 -116.97878309
111  32.56865859 -116.97860034
111  32.56865446 -116.97902422
112  32.56870324 -116.98078186  32.56876605 -116.98139931
112  32.56889949 -116.98207628  32.56894564 -116.98230900
111  32.56901721 -116.98238419
112  32.56975444 -116.98327083  32.56994947 -116.98350482
111  32.56994947 -116.98360510
111  32.57012716 -116.98440735
111  32.56992695 -116.98446958
112  32.56975128 -116.98371354  32.56971719 -116.98356420
111  32.56963859 -116.98345146
112  32.56888992 -116.98258307  32.56875349 -116.98240990
111  32.56871225 -116.98223296
111  32.56862976 -116.98173980
111  32.56840053 -116.98038511
111  32.56834023 -116.98038822
112  32.56830153 -116.97868158  32.56829865 -116.97835988
111  32.56842555 -116.97800053
111  32.56846305 -116.97802107
111  32.56868892 -116.97755562
112  32.56971530 -116.97542869  32.56981003 -116.97522848
113  32.56978931 -116.97515823
110 1 0.00 0.0000 New Taxiway 10
111  32.57024561 -116.97812643
111  32.57024707 -116.97812736 1 102
111  32.57053472 -116.98156549 1 102
112  32.57070360 -116.98164836  32.57079778 -116.98151105 1 102
111  32.57101306 -116.98116458 1 102
112  32.57115569 -116.98065686  32.57114627 -116.98042695
111  32.57114775 -116.98043234
111  32.57122431 -116.98141366
111  32.57121829 -116.98141568 1 102
112  32.57108256 -116.98140873  32.57101259 -116.98150612 1 102
111  32.57064627 -116.98199918 1 102
112  32.57059091 -116.98223585  32.57060001 -116.98242058 1 102
111  32.57066283 -116.98301239 1 102
111  32.57081685 -116.98385392 1 102
112  32.57088804 -116.98397298  32.57094280 -116.98403093 1 102
111  32.57107157 -116.98413631
111  32.57055650 -116.98428032
111  32.57049138 -116.98352688 1 102
111  32.57034095 -116.98188374 1 102
111  32.57016469 -116.97983492 1 102
111  32.57007445 -116.97868441 1 102
112  32.56993272 -116.97854930  32.56981273 -116.97855993 1 102
111  32.56933636 -116.97861518
111  32.56920920 -116.97854718 1 102
111  32.56990227 -116.97846005 1 102
111  32.56993047 -116.97845539 1 102
112  32.57003595 -116.97828627  32.57002988 -116.97815552 1 102
111  32.57002069 -116.97812455
113  32.57002186 -116.97812038
110 1 0.00 0.0000 New Taxiway 9
111  32.57081047 -116.97410321
111  32.57081153 -116.97410286
111  32.57108822 -116.97407251 1 102
111  32.57111508 -116.97406949 1 102
111  32.57111423 -116.97395804 1 102
111  32.57147942 -116.97392108 1 102
111  32.57148170 -116.97401841 1 102
111  32.57178634 -116.97399519 1 102
112  32.57184154 -116.97397724  32.57184775 -116.97396249
111  32.57186501 -116.97421976
111  32.57185876 -116.97421667 1 102
111  32.57181305 -116.97421709 1 102
111  32.57142185 -116.97426925 1 102
111  32.57118734 -116.97428974 1 102
111  32.57082960 -116.97432638
111  32.57082752 -116.97432638
113  32.57080976 -116.97410342
110 2 0.00 0.0000 New Taxiway 8
111  32.57077813 -116.97372840 51 102
112  32.57088180 -116.97394551  32.57093610 -116.97399409 51 102
112  32.57100277 -116.97403863  32.57104229 -116.97404954 51 102
111  32.57108824 -116.97405499 51
111  32.57108824 -116.97407244
113  32.57080707 -116.97410405
110 2 0.00 0.0000 New Taxiway 7
111  32.57017709 -116.97442733 51 102
111  32.57046327 -116.97383142 51 102
112  32.57052691 -116.97367856  32.57053567 -116.97364722 51 102
112  32.57055343 -116.97346689  32.57054985 -116.97337769
111  32.57061073 -116.97412889
114  32.57037207 -116.97424258  32.57024779 -116.97433680
110 1 0.00 0.0000 New Taxiway 6
111  32.56954391 -116.96973591 1 102
111  32.56959006 -116.97029972 1 102
111  32.56994562 -116.97457726 1 102
111  32.56995773 -116.97465230 1 102
112  32.57009228 -116.97459642  32.57016090 -116.97445752 1 102
111  32.57017742 -116.97442741
112  32.57037252 -116.97423582  32.57045056 -116.97418472
112  32.57060673 -116.97412923  32.57063681 -116.97413617
111  32.57063012 -116.97437013
112  32.57064324 -116.97446740  32.57062295 -116.97435302 1 102
112  32.57040240 -116.97450255  32.57036203 -116.97456352 1 102
111  32.57012256 -116.97503908 1 102
111  32.57004076 -116.97522916 1 102
112  32.57001963 -116.97539146  32.57002296 -116.97549438 1 102
111  32.57008744 -116.97624328 1 102
111  32.57024700 -116.97812724
111  32.57002045 -116.97812491 1 102
111  32.56973608 -116.97447416 1 102
111  32.56934725 -116.96976237
111  32.56934785 -116.96976159
113  32.56954343 -116.96973499
110 1 0.00 0.0000 New Taxiway 2
111  32.57034388 -116.96857903 1
111  32.57014033 -116.96860340
111  32.57015233 -116.96871570
112  32.57003948 -116.96860103  32.56996608 -116.96860631 1 102
111  32.56973701 -116.96863534 1 102
112  32.56951304 -116.96886138  32.56949745 -116.96903402 1 102
111  32.56954353 -116.96973519
111  32.56934728 -116.96976241 1 102
111  32.56930154 -116.96917646 1 102
111  32.56929077 -116.96902160 1 102
112  32.56934200 -116.96860832  32.56940793 -116.96848698 1 102
112  32.56959351 -116.96836221  32.56971326 -116.96832868 1 102
111  32.56998909 -116.96829355 1 102
111  32.57033387 -116.96825181
114  32.57034024 -116.96841357  32.57034306 -116.96852010
110 2 0.00 0.0000 New Taxiway 1
111  32.57034361 -116.96859263
111  32.57026942 -116.96859316
112  32.57030285 -116.96843546  32.57033053 -116.96834273
111  32.57033379 -116.96825193
112  32.57036961 -116.96818432  32.57040217 -116.96813409
112  32.57057253 -116.96796681  32.57070688 -116.96783567
112  32.57097992 -116.96780224  32.57103193 -116.96778939
111  32.57132669 -116.96777747
111  32.57134001 -116.96778586
111  32.57146537 -116.96928192
111  32.57145283 -116.96927979
112  32.57140333 -116.96899218  32.57136196 -116.96886619
112  32.57118651 -116.96881382  32.57111985 -116.96879137
112  32.57085402 -116.96881455  32.57075015 -116.96885068
112  32.57058784 -116.96905666  32.57051441 -116.96914379
112  32.57044994 -116.96943917  32.57043610 -116.96954178
113  32.57045181 -116.96986460
130 Airport Boundary 1
111  32.57417702 -116.99362490
111  32.57235021 -116.99375210
111  32.57185442 -116.99356659
111  32.57089411 -116.99360369
111  32.57009460 -116.99007387
111  32.56961222 -116.98773129
111  32.56920576 -116.98583921
111  32.56896904 -116.98485872
111  32.56841072 -116.98411674
111  32.56833032 -116.98335356
111  32.56822297 -116.98022378
111  32.56818373 -116.97615780
111  32.56813141 -116.97537408
111  32.56955702 -116.97445846
111  32.56911887 -116.96815000
111  32.57025674 -116.96808792
111  32.57084529 -116.96765337
113  32.57200277 -116.96756802
120 Linear Feature 10
111  32.57028030 -116.96902672 1
115  32.57016507 -116.96889660
120 Linear Feature 10
111  32.57033271 -116.96965733 1
115  32.57021816 -116.96952726
120 Linear Feature 10
111  32.57038617 -116.97029043 1
115  32.57027150 -116.97016036
120 Linear Feature 10
111  32.57044067 -116.97093347 1
115  32.57032566 -116.97080346
120 Linear Feature 10
111  32.57049413 -116.97157154 1
115  32.57037941 -116.97144146
120 Linear Feature 10
111  32.57054759 -116.97220713 1
115  32.57043296 -116.97207705
120 Linear Feature 10
111  32.57060105 -116.97284520 1
115  32.57048670 -116.97271509
120 Linear Feature 10
111  32.57065455 -116.97348027 1
115  32.57054020 -116.97335017
120 Linear Feature 10
111  32.57070895 -116.97411212 1
115  32.57059842 -116.97398136
120 Linear Feature 9
111  32.57028030 -116.96902672 1
115  32.57036777 -116.96887390
120 Linear Feature 9
111  32.57033271 -116.96965733 1
115  32.57042117 -116.96950434
120 Linear Feature 9
111  32.57038617 -116.97029043 1
115  32.57047535 -116.97013714
120 Linear Feature 9
111  32.57044067 -116.97093347 1
115  32.57052966 -116.97078018
120 Linear Feature 9
111  32.57049413 -116.97157154 1
115  32.57058357 -116.97141826
120 Linear Feature 9
111  32.57054759 -116.97220713 1
115  32.57063730 -116.97205381
120 Linear Feature 9
111  32.57060105 -116.97284520 1
115  32.57069125 -116.97269188
120 Linear Feature 9
111  32.57065455 -116.97348027 1
115  32.57074476 -116.97332695
120 Linear Feature 9
111  32.57070895 -116.97411212 1
115  32.57079612 -116.97396044
120 Linear Feature 8
111  32.57079992 -116.98817637 20
111  32.57068631 -116.98768566 20
115  32.57012346 -116.98787165
120 Linear Feature 8
111  32.57065122 -116.98965271 20
111  32.57057396 -116.98931203 20
115  32.57034366 -116.98938768
120 Linear Feature 7
111  32.57067140 -116.98808306 1
115  32.57061375 -116.98784499
120 Linear Feature 7
111  32.57047714 -116.98806374 1
115  32.57041949 -116.98782567
120 Linear Feature 7
111  32.57029887 -116.98812273 1
115  32.57024122 -116.98788467
120 Linear Feature 6
111  32.57078864 -116.98916068 1
115  32.57073791 -116.98895149
120 Linear Feature 6
111  32.57050708 -116.98925098 1
115  32.57045634 -116.98904179
120 Linear Feature 5
111  32.57080767 -116.99064555 20
115  32.57103822 -116.99060654
120 Linear Feature 1
111  32.57034337 -116.98488421 1
115  32.57036541 -116.98487777
120 Linear Feature 1
111  32.57043116 -116.98535295 1
115  32.57045320 -116.98534651
120 Linear Feature 1
111  32.57123560 -116.99246772 1
115  32.57125821 -116.99246529
120 Linear Feature 1
111  32.57089607 -116.99250386 1
115  32.57091868 -116.99250143
120 Linear Feature 1
111  32.57036910 -116.98741306 1
115  32.57034716 -116.98741998
120 Linear Feature 1
111  32.57069316 -116.98731139 1
115  32.57067122 -116.98731832
120 Linear Feature 1
111  32.57034974 -116.98497225 1
115  32.57032769 -116.98497867
120 Linear Feature 1
111  32.57043752 -116.98544099 1
115  32.57041548 -116.98544740
120 Linear Feature 1
111  32.57123072 -116.99255590 1
115  32.57120811 -116.99255830
120 Linear Feature 1
111  32.57039813 -116.98486859 1
115  32.57042017 -116.98486214
120 Linear Feature 1
111  32.57048591 -116.98533732 1
115  32.57050795 -116.98533088
120 Linear Feature 1
111  32.57129171 -116.99246207 1
115  32.57131432 -116.99245964
120 Linear Feature 1
111  32.57095218 -116.99249821 1
115  32.57097479 -116.99249578
120 Linear Feature 1
111  32.57031460 -116.98742988 1
115  32.57029266 -116.98743680
120 Linear Feature 1
111  32.57063866 -116.98732822 1
115  32.57061672 -116.98733514
120 Linear Feature 1
111  32.57117460 -116.99256148 1
115  32.57115199 -116.99256388
120 Linear Feature 1
111  32.57045392 -116.98485243 1
115  32.57047596 -116.98484599
120 Linear Feature 1
111  32.57054170 -116.98532117 1
115  32.57056374 -116.98531472
120 Linear Feature 1
111  32.57134892 -116.99245607 1
115  32.57137153 -116.99245364
120 Linear Feature 1
111  32.57100939 -116.99249221 1
115  32.57103200 -116.99248978
120 Linear Feature 1
111  32.57025906 -116.98744725 1
115  32.57023713 -116.98745418
120 Linear Feature 1
111  32.57058312 -116.98734559 1
115  32.57056118 -116.98735252
120 Linear Feature 1
111  32.57111739 -116.99256740 1
115  32.57109478 -116.99256980
120 Linear Feature 1
111  32.57050772 -116.98483689 1
115  32.57052976 -116.98483045
120 Linear Feature 1
111  32.57059550 -116.98530563 1
115  32.57061754 -116.98529918
120 Linear Feature 1
111  32.57140408 -116.99245032 1
115  32.57142669 -116.99244789
120 Linear Feature 1
111  32.57106455 -116.99248646 1
115  32.57108716 -116.99248403
120 Linear Feature 1
111  32.57020551 -116.98746397 1
115  32.57018358 -116.98747090
120 Linear Feature 1
111  32.57052957 -116.98736231 1
115  32.57050763 -116.98736923
120 Linear Feature 1
111  32.57051641 -116.98492293 1
115  32.57049437 -116.98492934
120 Linear Feature 1
111  32.57060420 -116.98539166 1
115  32.57058215 -116.98539808
120 Linear Feature 1
111  32.57140175 -116.99253693 1
115  32.57137914 -116.99253933
120 Linear Feature 1
111  32.57106222 -116.99257307 1
115  32.57103961 -116.99257547
120 Linear Feature 1
111  32.57112134 -116.99247984 1
115  32.57114395 -116.99247741
120 Linear Feature 1
111  32.57015048 -116.98748188 1
115  32.57012855 -116.98748880
120 Linear Feature 1
111  32.57047454 -116.98738022 1
115  32.57045260 -116.98738714
120 Linear Feature 1
111  32.57046110 -116.98493955 1
115  32.57043905 -116.98494596
120 Linear Feature 1
111  32.57054888 -116.98540829 1
115  32.57052684 -116.98541470
120 Linear Feature 1
111  32.57134496 -116.99254348 1
115  32.57132235 -116.99254587
120 Linear Feature 1
111  32.57100543 -116.99257962 1
115  32.57098282 -116.99258201
120 Linear Feature 1
111  32.57028757 -116.98490101 1
115  32.57030961 -116.98489457
120 Linear Feature 1
111  32.57037535 -116.98536975 1
115  32.57039739 -116.98536330
120 Linear Feature 1
111  32.57117830 -116.99247435 1
115  32.57120091 -116.99247193
120 Linear Feature 1
111  32.57041918 -116.98739704 1
115  32.57039724 -116.98740396
120 Linear Feature 1
111  32.57040547 -116.98495508 1
115  32.57038342 -116.98496149
120 Linear Feature 1
111  32.57049325 -116.98542382 1
115  32.57047121 -116.98543023
120 Linear Feature 1
111  32.57128799 -116.99254888 1
115  32.57126538 -116.99255128
120 Linear Feature 1
111  32.57094846 -116.99258502 1
115  32.57092585 -116.99258742
120 Linear Feature 1
111  32.57035439 -116.98488099 1
115  32.57036250 -116.98492003
120 Linear Feature 1
111  32.57044217 -116.98534973 1
115  32.57045028 -116.98538877
120 Linear Feature 1
111  32.57124690 -116.99246651 1
115  32.57124996 -116.99250656
120 Linear Feature 1
111  32.57090737 -116.99250265 1
115  32.57091043 -116.99254270
120 Linear Feature 1
111  32.57035813 -116.98741652 1
115  32.57034942 -116.98737766
120 Linear Feature 1
111  32.57068219 -116.98731486 1
115  32.57067348 -116.98727600
120 Linear Feature 1
111  32.57033872 -116.98497546 1
115  32.57033065 -116.98493640
120 Linear Feature 1
111  32.57042650 -116.98544420 1
115  32.57041843 -116.98540514
120 Linear Feature 1
111  32.57121941 -116.99255710 1
115  32.57121640 -116.99251705
120 Linear Feature 1
111  32.57040914 -116.98486537 1
115  32.57041725 -116.98490441
120 Linear Feature 1
111  32.57049693 -116.98533410 1
115  32.57050503 -116.98537315
120 Linear Feature 1
111  32.57130302 -116.99246085 1
115  32.57130607 -116.99250090
120 Linear Feature 1
111  32.57096348 -116.99249699 1
115  32.57096654 -116.99253704
120 Linear Feature 1
111  32.57030363 -116.98743334 1
115  32.57029492 -116.98739448
120 Linear Feature 1
111  32.57062769 -116.98733168 1
115  32.57061898 -116.98729282
120 Linear Feature 1
111  32.57116330 -116.99256268 1
115  32.57116028 -116.99252263
120 Linear Feature 1
111  32.57046494 -116.98484921 1
115  32.57047305 -116.98488825
120 Linear Feature 1
111  32.57055272 -116.98531795 1
115  32.57056083 -116.98535699
120 Linear Feature 1
111  32.57136022 -116.99245485 1
115  32.57136328 -116.99249490
120 Linear Feature 1
111  32.57102069 -116.99249099 1
115  32.57102375 -116.99253104
120 Linear Feature 1
111  32.57024810 -116.98745072 1
115  32.57023939 -116.98741186
120 Linear Feature 1
111  32.57057215 -116.98734905 1
115  32.57056344 -116.98731019
120 Linear Feature 1
111  32.57110608 -116.99256860 1
115  32.57110307 -116.99252855
120 Linear Feature 1
111  32.57051874 -116.98483367 1
115  32.57052685 -116.98487271
120 Linear Feature 1
111  32.57060652 -116.98530240 1
115  32.57061463 -116.98534145
120 Linear Feature 1
111  32.57141539 -116.99244911 1
115  32.57141844 -116.99248916
120 Linear Feature 1
111  32.57107585 -116.99248525 1
115  32.57107891 -116.99252530
120 Linear Feature 1
111  32.57019455 -116.98746743 1
115  32.57018584 -116.98742857
120 Linear Feature 1
111  32.57051860 -116.98736577 1
115  32.57050989 -116.98732691
120 Linear Feature 1
111  32.57050539 -116.98492613 1
115  32.57049732 -116.98488708
120 Linear Feature 1
111  32.57059317 -116.98539487 1
115  32.57058511 -116.98535581
120 Linear Feature 1
111  32.57139045 -116.99253813 1
115  32.57138743 -116.99249808
120 Linear Feature 1
111  32.57105092 -116.99257427 1
115  32.57104790 -116.99253422
120 Linear Feature 1
111  32.57113264 -116.99247863 1
115  32.57113570 -116.99251867
120 Linear Feature 1
111  32.57013952 -116.98748534 1
115  32.57013081 -116.98744648
120 Linear Feature 1
111  32.57046357 -116.98738368 1
115  32.57045486 -116.98734482
120 Linear Feature 1
111  32.57045008 -116.98494276 1
115  32.57044201 -116.98490370
120 Linear Feature 1
111  32.57053786 -116.98541149 1
115  32.57052979 -116.98537244
120 Linear Feature 1
111  32.57133365 -116.99254468 1
115  32.57133064 -116.99250462
120 Linear Feature 1
111  32.57099412 -116.99258081 1
115  32.57099111 -116.99254076
120 Linear Feature 1
111  32.57029859 -116.98489779 1
115  32.57030669 -116.98493683
120 Linear Feature 1
111  32.57038637 -116.98536653 1
115  32.57039448 -116.98540557
120 Linear Feature 1
111  32.57118960 -116.99247314 1
115  32.57119266 -116.99251319
120 Linear Feature 1
111  32.57040821 -116.98740050 1
115  32.57039950 -116.98736164
120 Linear Feature 1
111  32.57039445 -116.98495829 1
115  32.57038638 -116.98491923
120 Linear Feature 1
111  32.57048223 -116.98542702 1
115  32.57047416 -116.98538797
120 Linear Feature 1
111  32.57127669 -116.99255008 1
115  32.57127367 -116.99251003
120 Linear Feature 1
111  32.57093716 -116.99258622 1
115  32.57093414 -116.99254617
120 Linear Feature 13
111  32.57007027 -116.98456303 1
115  32.57007532 -116.98458629
120 Linear Feature 13
111  32.57008262 -116.98455927 1
115  32.57005788 -116.98456682
120 Linear Feature 13
111  32.57008716 -116.98458272 1
115  32.57006341 -116.98458988
120 Linear Feature 89
111  32.56992720 -116.98446904 106
111  32.56975115 -116.98371380 106
112  32.56963748 -116.98345076  32.56957475 -116.98337857 106
111  32.56888961 -116.98258315 106
112  32.56871160 -116.98223091  32.56868501 -116.98207320 106
111  32.56862918 -116.98173897 106
111  32.56839945 -116.98038615 106
111  32.56833890 -116.98039094 106
111  32.56830034 -116.97868097 106
111  32.56842320 -116.97800180 106
111  32.56846260 -116.97802518 106
111  32.56868768 -116.97755600 106
115  32.56971474 -116.97542853
120 Linear Feature 88
111  32.57012729 -116.98440826 106
111  32.57007169 -116.98416115 106
111  32.56994911 -116.98360798 106
112  32.56975375 -116.98326797  32.56958280 -116.98306513 106
111  32.56901544 -116.98238421 106
112  32.56889838 -116.98207447  32.56886743 -116.98187650 106
111  32.56865305 -116.97902717 106
111  32.56865738 -116.97860033 106
111  32.56867038 -116.97831169 106
111  32.56868417 -116.97817612 106
111  32.56879055 -116.97786990 106
111  32.56914077 -116.97713997 106
115  32.56982709 -116.97568138
120 Linear Feature 87
111  32.57160617 -116.98355105 106
111  32.57166808 -116.98348200 106
111  32.57245594 -116.98214370 106
111  32.57250695 -116.98204500 106
115  32.57259794 -116.98190105
120 Linear Feature 86
111  32.57260891 -116.98204275 106
111  32.57251704 -116.98217344 106
111  32.57214865 -116.98281811 106
115  32.57161804 -116.98370285
120 Linear Feature 81
111  32.57192971 -116.99345952 58
112  32.57173349 -116.99311303  32.57169947 -116.99296640 58
111  32.57162246 -116.99237137 58
111  32.57157769 -116.99174447 58
111  32.57149911 -116.99082039 58
112  32.57138951 -116.99045761  32.57131741 -116.99027964 58
111  32.57123953 -116.99002980 58
112  32.57115878 -116.98945141  32.57115012 -116.98933162 58
111  32.57106648 -116.98829461 58
111  32.57088581 -116.98602227 58
112  32.57082823 -116.98556675  32.57077448 -116.98532987 58
115  32.57065931 -116.98425027
120 Linear Feature 80
111  32.57355532 -116.99349432 51 102
111  32.57306457 -116.99355648 51 102
111  32.57269973 -116.99359465 51 102
111  32.57234298 -116.99363954 51 102
112  32.57204993 -116.99354645  32.57195668 -116.99347971 51 102
115  32.57193004 -116.99346039
120 Linear Feature 78
111  32.57310394 -116.99307515 51 102
112  32.57340363 -116.99291128  32.57345990 -116.99281112 1 102
115  32.57348803 -116.99268775
120 Linear Feature 77
111  32.57108827 -116.98437609 51 102
