I
1050 Generated by WorldEditor

1   1161 0 0 KBML BERLIN MUNI
110 1 0.00 0.0000 New Taxiway 11
111  44.57830058 -071.17979947
111  44.57819116 -071.17973309
111  44.57821124 -071.17966780
111  44.57821632 -071.17965096
111  44.57822047 -071.17963671
111  44.57824416 -071.17957411
113  44.57835168 -071.17964317
110 1 0.00 0.0000 New Taxiway 10
111  44.57787504 -071.17910968
111  44.57795740 -071.17906071
111  44.57796451 -071.17909063
113  44.57788285 -071.17913711
110 1 0.00 0.0000 New Taxiway 9
111  44.57667562 -071.17864004
111  44.57665309 -071.17872483
111  44.57656991 -071.17867927
113  44.57659396 -071.17859405
110 1 0.00 0.0000 New Taxiway 8
111  44.57698842 -071.17881880
111  44.57691073 -071.17908987
111  44.57665468 -071.17894543
113  44.57673329 -071.17867307
110 1 0.00 0.0000 New Taxiway 7
111  44.57712063 -071.17894095
111  44.57710427 -071.17892977
111  44.57714124 -071.17880964
113  44.57715705 -071.17881931
110 1 0.00 0.0000 New Taxiway 6
111  44.57747640 -071.17925582
111  44.57747151 -071.17926601
111  44.57732108 -071.17914874
111  44.57741109 -071.17893215
111  44.57755735 -071.17904422
111  44.57748868 -071.17921585
113  44.57749200 -071.17921899
110 2 0.00 0.0000 New Taxiway 2
111  44.57792832 -071.17749858 102
112  44.57782225 -071.17750900  44.57777129 -071.17754521 102
111  44.57775861 -071.17761143 102
111  44.57766138 -071.17796972 102
111  44.57760503 -071.17817487 102
112  44.57761703 -071.17830181  44.57763729 -071.17836156 102
111  44.57767608 -071.17838537 102
111  44.57778219 -071.17843912
112  44.57779600 -071.17883102  44.57780140 -071.17892585
111  44.57783596 -071.17904307
111  44.57785494 -071.17910263
111  44.57787504 -071.17910968
111  44.57788285 -071.17913711
111  44.57787280 -071.17916298
111  44.57796868 -071.17946959
111  44.57822047 -071.17963671
111  44.57821632 -071.17965096
111  44.57821124 -071.17966780
112  44.57804054 -071.17956352  44.57802212 -071.17955059
111  44.57800087 -071.17956611
112  44.57808253 -071.17979368  44.57808990 -071.17981006
111  44.57810744 -071.17981612
111  44.57829143 -071.17990996
111  44.57835858 -071.17994352
111  44.57836828 -071.17994206
111  44.57842444 -071.17997077
111  44.57845217 -071.17998537
111  44.57845078 -071.17999073
111  44.57849890 -071.18001504
111  44.57850600 -071.18001927
111  44.57850988 -071.18002108
111  44.57851031 -071.18001715
111  44.57851633 -071.18002048
111  44.57853582 -071.18003022
111  44.57853087 -071.18004083
111  44.57861498 -071.18008616
111  44.57861941 -071.18007227
111  44.57867019 -071.18009750
111  44.57867696 -071.18009677
111  44.57874884 -071.18013333
111  44.57874545 -071.18015197
111  44.57876993 -071.18016294
111  44.57877905 -071.18014759
111  44.57879389 -071.18015453
111  44.57879702 -071.18017354
111  44.57880509 -071.18018378
111  44.57882072 -071.18017208
111  44.57888374 -071.18020535
111  44.57889155 -071.18020316
111  44.57893165 -071.18022838
111  44.57892775 -071.18024301
111  44.57909712 -071.18033641
111  44.57910677 -071.18032228
111  44.57915626 -071.18034701
111  44.57916297 -071.18038351
111  44.57911935 -071.18054073
111  44.57910353 -071.18053443
111  44.57896626 -071.18046581
111  44.57891947 -071.18044538
111  44.57892155 -071.18044051
111  44.57880370 -071.18038114
111  44.57880197 -071.18039282
111  44.57878429 -071.18038309
111  44.57865332 -071.18030633
111  44.57861321 -071.18028987
111  44.57850488 -071.18023247
111  44.57850618 -071.18022626
111  44.57848170 -071.18021383
111  44.57847962 -071.18022041
111  44.57836686 -071.18016374
111  44.57834576 -071.18015569
111  44.57834732 -071.18014948
111  44.57823947 -071.18009077
111  44.57823536 -071.18010643
111  44.57821051 -071.18009379
111  44.57821326 -071.18008142
111  44.57810162 -071.18002766
111  44.57809575 -071.18005613
111  44.57808188 -071.18004864
111  44.57808824 -071.18002134
111  44.57804911 -071.18000086
111  44.57781590 -071.17988456
111  44.57772112 -071.17984466
111  44.57769530 -071.17991097
111  44.57767210 -071.17989207
111  44.57771306 -071.17979313
111  44.57763089 -071.17973027
111  44.57746131 -071.17959275
111  44.57713584 -071.17936100
112  44.57729867 -071.17889879  44.57730491 -071.17887981
111  44.57730167 -071.17886219
111  44.57728783 -071.17886349
111  44.57728184 -071.17885053
111  44.57726800 -071.17886090
111  44.57716881 -071.17880390
111  44.57715705 -071.17881931
111  44.57714124 -071.17880964
111  44.57714377 -071.17878777
111  44.57701656 -071.17871452
111  44.57698842 -071.17881880
111  44.57673329 -071.17867307
111  44.57670238 -071.17865752
111  44.57670100 -071.17864716
111  44.57667562 -071.17864004
111  44.57659396 -071.17859405
111  44.57656997 -071.17857980
111  44.57660135 -071.17847941
111  44.57655844 -071.17845998
111  44.57671765 -071.17787104
111  44.57732652 -071.17819844 102
112  44.57742662 -071.17817344  44.57747267 -071.17813809 102
111  44.57748863 -071.17805878 102
111  44.57753162 -071.17790189 102
111  44.57763601 -071.17752430 102
112  44.57762434 -071.17739327  44.57760224 -071.17732516 102
113  44.57754390 -071.17729327
111  44.57748813 -071.17926914
111  44.57747640 -071.17925582
111  44.57749200 -071.17921899
111  44.57748868 -071.17921585
111  44.57755735 -071.17904422
111  44.57741109 -071.17893215
112  44.57737689 -071.17891317  44.57736392 -071.17890836
111  44.57735638 -071.17892823
111  44.57726986 -071.17916413
111  44.57727432 -071.17917823
111  44.57737425 -071.17924093
113  44.57746970 -071.17931930
110 2 0.00 0.0000 New Taxiway 1
111  44.58199207 -071.17967397 102
111  44.58184207 -071.18021873 102
111  44.58176780 -071.18050049 102
111  44.58156157 -071.18039038 102
111  44.58162062 -071.18017469 102
112  44.58172397 -071.18014748  44.58177015 -071.18011043 102
111  44.58179409 -071.18001405 102
111  44.58185868 -071.17977762 102
112  44.58184576 -071.17964873  44.58182731 -071.17960079 102
113  44.58178071 -071.17956063
130 Airport Boundary 28
111  44.57575469 -071.17853768
111  44.57520930 -071.17818598
111  44.57414165 -071.17765572
112  44.57426884 -071.17710923  44.57432480 -071.17693574
112  44.57458877 -071.17675683  44.57463774 -071.17663571
111  44.57454635 -071.17649240
111  44.57376288 -071.17596514
111  44.57338732 -071.17725537
111  44.57305852 -071.17708842
111  44.57342230 -071.17579214
111  44.57314516 -071.17577005
111  44.57149534 -071.17491217
111  44.57041468 -071.17428638
111  44.56997169 -071.17408834
111  44.56876124 -071.17328830
112  44.56822304 -071.17234147  44.56806941 -071.17153159
111  44.56830614 -071.17065003
111  44.56844682 -071.17072578
111  44.57117235 -071.17220637
111  44.57541514 -071.17455474
111  44.57615480 -071.17517891
111  44.58019955 -071.17733361
111  44.58117893 -071.17757766
111  44.58202477 -071.17801219
111  44.58204809 -071.17874139
111  44.58296388 -071.17949440
111  44.58269677 -071.18050040
111  44.58244663 -071.18083375
111  44.58224312 -071.18080101
111  44.58134429 -071.18042004
111  44.58131673 -071.18033670
111  44.58104114 -071.18019086
111  44.58093091 -071.18004502
111  44.58051753 -071.17989918
111  44.58000716 -071.18077708
111  44.57904500 -071.18129205
113  44.57817596 -071.18074537
120 Linear Feature 43
111  44.58184207 -071.18021873 55
115  44.58172397 -071.18014748
120 Linear Feature 42
111  44.57766138 -071.17796972 55
115  44.57753162 -071.17790189
120 Linear Feature 41
111  44.57846267 -071.18015268 1
115  44.57849890 -071.18001504
120 Linear Feature 41
111  44.57847143 -071.18015851 1
115  44.57850600 -071.18001927
120 Linear Feature 41
111  44.57848066 -071.18016304 1
115  44.57851633 -071.18002048
120 Linear Feature 40
111  44.57852367 -071.18013230 1
115  44.57883473 -071.18028881
120 Linear Feature 39
111  44.57821632 -071.17965096 20
115  44.57800349 -071.17952242
120 Linear Feature 37
111  44.57754326 -071.17948471 1
111  44.57749597 -071.17944764 1
115  44.57745422 -071.17941143
120 Linear Feature 38
111  44.57783596 -071.17904307 20
112  44.57772993 -071.17907695  44.57767037 -071.17908988 20
115  44.57761878 -071.17908212
120 Linear Feature 37
111  44.57767712 -071.17959161 1
111  44.57763168 -071.17955454 1
115  44.57758808 -071.17951833
120 Linear Feature 36
111  44.57778642 -071.17967954 1
111  44.57774958 -071.17965195 1
115  44.57771826 -071.17962523
120 Linear Feature 35
111  44.57771458 -071.17975195 1
115  44.57774958 -071.17965195
120 Linear Feature 35
111  44.57745729 -071.17954333 1
115  44.57749597 -071.17944764
120 Linear Feature 35
111  44.57759299 -071.17965023 1
115  44.57763168 -071.17955454
120 Linear Feature 34
111  44.57718047 -071.17931300 1
115  44.57732677 -071.17890911
120 Linear Feature 33
111  44.57730167 -071.17886219 20
115  44.57725566 -071.17821608
120 Linear Feature 32
111  44.57751339 -071.17821185 1
111  44.57752554 -071.17821093 1
115  44.57751576 -071.17820055
120 Linear Feature 31
111  44.57752554 -071.17821093 1
115  44.57746938 -071.17818563
120 Linear Feature 30
112  44.57752554 -071.17821093  44.57752969 -071.17818125 1
112  44.57750751 -071.17816081  44.57749850 -071.17815740 1
112  44.57746938 -071.17818563  44.57746106 -071.17821434 1
114  44.57748845 -071.17823769  44.57749711 -071.17824256 1
120 Linear Feature 29
111  44.57754160 -071.17813518 1
112  44.57756322 -071.17840447  44.57761464 -071.17862522 1
115  44.57770661 -071.17903896
120 Linear Feature 5
111  44.57769404 -071.17757633 1
112  44.57767897 -071.17728593  44.57762628 -071.17713231 1
111  44.57750200 -071.17708395 1
115  44.57702310 -071.17682602
120 Linear Feature 4
111  44.57855654 -071.17764780 1
111  44.57804096 -071.17737347 1
112  44.57783907 -071.17737928  44.57772919 -071.17744342 1
111  44.57769404 -071.17757633 1
111  44.57754160 -071.17813518 1
112  44.57742270 -071.17828318  44.57734655 -071.17832136 1
111  44.57724820 -071.17826555 1
115  44.57712477 -071.17819735
21  44.57968318 -071.17762967 2 159.1300 3.50 New Light Fixture 1
14  44.57765527 -071.17984337  32.81 0 New Tower Viewpoint 4
1300  44.57330856 -071.17682149  71.32 hangar jets|turboprops|props Hangar South
1301 A none 
1300  44.57837055 -071.17990575 -108.80 hangar jets|turboprops|props Hangar 14
1301 A none 
1300  44.57851889 -071.17998489 -108.80 hangar jets|turboprops|props Hangar 13
1301 A none 
1300  44.57869393 -071.18007097 249.90 hangar jets|turboprops|props Hangar 12
1301 A none 
1300  44.57889370 -071.18016399 249.90 hangar jets|turboprops|props Hangar 11
1301 A none 
1300  44.57903002 -071.18052003  71.38 hangar jets|turboprops|props Hangar 10
1301 A none 
1300  44.57885931 -071.18043124  71.38 hangar jets|turboprops|props Hangar 09
1301 A none 
1300  44.57871255 -071.18036227  71.38 hangar jets|turboprops|props Hangar 08
1301 A none 
1300  44.57855773 -071.18028040  71.38 hangar jets|turboprops|props Hangar 07
1301 A none 
1300  44.57842126 -071.18020682  71.38 hangar jets|turboprops|props Hangar 06
1301 A none 
1300  44.57828874 -071.18013878  71.38 hangar jets|turboprops|props Hangar 05
1301 A none 
1300  44.57815721 -071.18007908  71.38 hangar jets|turboprops|props Hangar 04
1301 A none 
1300  44.57792876 -071.17996524  71.38 hangar jets|turboprops|props Hangar 03
1301 A none 
1300  44.57748117 -071.17901664  61.13 hangar jets|turboprops|props Hangar 02
1301 A none 
1300  44.57684887 -071.17879528  68.63 hangar jets|turboprops|props Hangar 01
1301 A none 
1300  44.57680959 -071.17839703 -20.01 tie_down jets|turboprops Apron South 02
1301 B general_aviation 
1300  44.57688465 -071.17811908 -20.01 tie_down jets|turboprops Apron South 01
1301 B general_aviation 
1300  44.57774958 -071.17965195  64.40 tie_down jets|turboprops|props Main Apron 03
1301 A general_aviation 
1300  44.57763168 -071.17955454  60.33 tie_down jets|turboprops|props Main Apron 02
1301 A general_aviation 
1300  44.57749597 -071.17944764  60.33 tie_down jets|turboprops|props Main Apron 01
1301 A general_aviation 
18  44.57592319 -071.17799301 1 New Airport Beacon 2
19  44.57517461 -071.17790191 0 New Windsock 3
51 12270 Berlin Unicom
50 13517 Berlin ASOS
99
