I
1050 Generated by WorldEditor

1    456 1 0 SKVP ALFONSO LOPEZ PUMAREJO
111  10.43298582 -073.24860383 51
111  10.43298038 -073.24857518 51
115  10.43297553 -073.24854925
120 Linear Feature 24
111  10.43283084 -073.24864127 51
112  10.43285103 -073.24860794  10.43286414 -073.24859618 51
115  10.43287719 -073.24859290
120 Linear Feature 5
111  10.43370521 -073.24878378 51 101
112  10.43357938 -073.24869569  10.43349753 -073.24870714
111  10.43357938 -073.24869569 51 101
111  10.43355954 -073.24869937 51 101
111  10.43334557 -073.24873911 51 101
111  10.43325518 -073.24875590 51 101
111  10.43293652 -073.24881509
112  10.43293652 -073.24881509  10.43288066 -073.24882581 51 101
111  10.43286067 -073.24879371 51 101
111  10.43285046 -073.24874179 51 101
111  10.43283084 -073.24864127 51 101
111  10.43281369 -073.24855343 51
112  10.43287719 -073.24859290  10.43291463 -073.24858612
111  10.43287719 -073.24859290 51
111  10.43298038 -073.24857518 51 101
115  10.43304008 -073.24856493
120 Linear Feature 4
111  10.43379928 -073.24933530 51 101
112  10.43375604 -073.24951325  10.43370879 -073.24960102 51 101
111  10.43356037 -073.24962910 51 101
115  10.43347424 -073.24964447
120 Linear Feature 3
111  10.43415412 -073.24952651 51 101
111  10.43403839 -073.24954722 51 101
112  10.43379928 -073.24933530  10.43373567 -073.24913624
111  10.43379928 -073.24933530 51 101
111  10.43370521 -073.24878378 51 101
112  10.43379646 -073.24865558  10.43388779 -073.24863808
111  10.43379646 -073.24865558 51 101
112  10.43389301 -073.24863740  10.43398434 -073.24861990
111  10.43389301 -073.24863740 51 101
111  10.43409957 -073.24859851 51 101
111  10.43418713 -073.24858203 51 101
112  10.43419599 -073.24849982  10.43418779 -073.24846442 51 101
111  10.43414715 -073.24843328 51 101
112  10.43410717 -073.24837415  10.43409966 -073.24834291
111  10.43410717 -073.24837415 51 101
115  10.43406323 -073.24813347
21  10.42836028 -073.25096478 2 9.4500 3.00 02  PAPI-4L
21  10.44147743 -073.24790304 2 189.4500 3.00 20  PAPI-4L
14  10.43395043 -073.24772206  82.02 0 New Tower Viewpoint 6
1300  10.43298038 -073.24857518   9.73 gate turboprops|props General Aviation Stand
1301 A general_aviation 
1300  10.43321483 -073.24829085 101.18 gate jets|turboprops|props Gate 04
1301 C airline 
1300  10.43351446 -073.24822103 101.25 gate jets|turboprops|props Gate 03
1301 B airline 
1300  10.43375856 -073.24817998 100.43 gate jets|turboprops|props Gate 02
1301 B airline 
1300  10.43406323 -073.24813347 100.59 gate jets|turboprops|props Gate 01
1301 C airline 
18  10.43514017 -073.25016989 1 BCN
19  10.42641729 -073.25138469 1 WS
19  10.44322713 -073.24858210 1 WS
54 11800 TWR
99
