I
1050 Generated by WorldEditor

1    575 0 0 58CL BORREGO AIR RANCH
111  33.19285965 -116.28408692
111  33.19286669 -116.28413907
111  33.19293990 -116.28413403
113  33.19295680 -116.28427703
110 1 0.00 0.0000 New Taxiway 14
111  33.19378488 -116.28544259
111  33.19378255 -116.28541061
111  33.19374997 -116.28541896
111  33.19374881 -116.28545928
111  33.19367900 -116.28546623
111  33.19366853 -116.28537029
111  33.19374532 -116.28535917
111  33.19374764 -116.28538698
111  33.19376044 -116.28538420
111  33.19375346 -116.28524794
111  33.19380117 -116.28524655
111  33.19380466 -116.28527992
112  33.19382211 -116.28528131  33.19382444 -116.28527992
113  33.19382560 -116.28543147
110 1 0.00 0.0000 New Taxiway 13
111  33.19387073 -116.28474620
111  33.19386723 -116.28468225
111  33.19377881 -116.28469893
111  33.19377299 -116.28459465
112  33.19406387 -116.28454877  33.19406619 -116.28454877
113  33.19407667 -116.28470032
110 1 0.00 0.0000 New Taxiway 12
111  33.19319651 -116.28488827
111  33.19317990 -116.28469084
111  33.19335313 -116.28466478
113  33.19336862 -116.28486279
130 Airport Boundary 31
111  33.19150664 -116.28721112
111  33.19069454 -116.28560118
111  33.18979015 -116.27757353
111  33.19516109 -116.27124403
111  33.19591782 -116.27179538
111  33.19648999 -116.28476313
113  33.19438591 -116.28710085
120 Linear Feature 11
111  33.19428180 -116.28523766 20
111  33.19422537 -116.28431338 20
115  33.19223285 -116.28467566
120 Linear Feature 10
111  33.19382369 -116.27440017 20
111  33.19375398 -116.27708970 20
115  33.19435151 -116.28534477
120 Linear Feature 9
111  33.19150659 -116.27751020 20
111  33.19369423 -116.27711350 20
111  33.19368427 -116.27650657 20
115  33.19376062 -116.27447554
120 Linear Feature 8
111  33.19173233 -116.27975544 20
111  33.19388013 -116.27941031 20
111  33.19370751 -116.27719283 20
115  33.19151323 -116.27760144
120 Linear Feature 7
111  33.19198462 -116.28213159 20
111  33.19403283 -116.28174282 20
111  33.19387681 -116.27949757 20
115  33.19174561 -116.27984271
120 Linear Feature 6
111  33.19104108 -116.28479065 20
111  33.19167388 -116.28471183 20
111  33.19214590 -116.28462808 20
111  33.19421125 -116.28424875 20
111  33.19404998 -116.28183341 20
115  33.19199984 -116.28220597
120 Linear Feature 5
111  33.19354341 -116.28523893 20
111  33.19239943 -116.28547539 20
111  33.19227782 -116.28544829 20
111  33.19221598 -116.28534238 20
111  33.19216033 -116.28469705 20
111  33.19159761 -116.28478080 20
115  33.19103696 -116.28485469
120 Linear Feature 4
111  33.19223285 -116.28467566 20
111  33.19228273 -116.28532050 20
111  33.19239837 -116.28539094 20
115  33.19353968 -116.28516860
1300  33.19162625 -116.28334348  10.62 tie_down props GA 02
1301 A general_aviation 
1300  33.19175572 -116.28435105  10.62 tie_down props GA 01
1301 A general_aviation 
19  33.19205816 -116.27714262 1 WS
19  33.19242877 -116.28397946 1 WS
51 12290 CTAF
99
