I
1050 Generated by WorldEditor 2.2.0r2

1    213 1 0 EGPD Aberdeen Dyce
111  57.19652027 -002.19680635
111  57.19709568 -002.19722889
113  57.19702005 -002.19757992
110 1 0.00 0.0000 New Taxiway 9
111  57.20872856 -002.20465704
112  57.20872856 -002.20465704  57.20893510 -002.20431398
112  57.20911051 -002.20372550  57.20919129 -002.20338448
111  57.20911051 -002.20372550
112  57.20911051 -002.20372550  57.20913762 -002.20358288
111  57.20899902 -002.20340002
111  57.20947438 -002.20374997
111  57.20944198 -002.20389326
112  57.20885960 -002.20499726  57.20854933 -002.20540117
113  57.20885960 -002.20499726
110 1 0.00 0.0000 New Taxiway 8
111  57.21048210 -002.20449176
111  57.21026764 -002.20547647
111  57.21010018 -002.20535053
111  57.21013952 -002.20516150
112  57.21013952 -002.20516150  57.21020882 -002.20475639
112  57.21020982 -002.20429152  57.21018512 -002.20409863
113  57.21020982 -002.20429152
110 1 0.00 0.0000 New Taxiway 7
111  57.19702005 -002.19757992
111  57.19709568 -002.19722889
111  57.19847884 -002.19823664
113  57.19837361 -002.19860121
110 1 0.00 0.0000 New Taxiway 6
112  57.20761612 -002.20547057  57.20759675 -002.20544123
111  57.20761612 -002.20547057
111  57.20801325 -002.20576743
111  57.20802831 -002.20569534
111  57.20811138 -002.20575636
111  57.20812646 -002.20568407
111  57.20816857 -002.20571562
111  57.20818403 -002.20564317
111  57.20822620 -002.20567208
111  57.20824101 -002.20560037
111  57.20828332 -002.20563041
111  57.20829693 -002.20556168
111  57.20869507 -002.20585233
111  57.20862211 -002.20618431
111  57.20816356 -002.20584725
112  57.20816356 -002.20584725  57.20815021 -002.20583858
112  57.20813716 -002.20588399  57.20813946 -002.20592386
111  57.20813716 -002.20588399
111  57.20825721 -002.20650862
111  57.20831909 -002.20676338
112  57.20831909 -002.20676338  57.20834152 -002.20681472
111  57.20861934 -002.20692507
111  57.20911293 -002.20711383
111  57.20947944 -002.20720955
112  57.20950132 -002.20711188  57.20951273 -002.20708287
111  57.20950132 -002.20711188
111  57.20950380 -002.20705717
111  57.20951306 -002.20685311
111  57.20961318 -002.20692558
112  57.20958457 -002.20705476  57.20957893 -002.20713608
111  57.20958457 -002.20705476
111  57.20958371 -002.20707975
111  57.20957158 -002.20743337
111  57.20874942 -002.20721625
111  57.20875173 -002.20715748
111  57.20856844 -002.20709580
111  57.20856249 -002.20714360
111  57.20851973 -002.20713188
111  57.20847990 -002.20718880
111  57.20847608 -002.20739509
111  57.20828791 -002.20738365
111  57.20809095 -002.20737167
111  57.20804592 -002.20736893
111  57.20805335 -002.20718463
111  57.20815004 -002.20697192
112  57.20816386 -002.20673551  57.20814402 -002.20658923
111  57.20816386 -002.20673551
111  57.20813467 -002.20658743
111  57.20802023 -002.20600677
112  57.20800077 -002.20597407  57.20798964 -002.20596717
111  57.20800077 -002.20597407
111  57.20778149 -002.20582791
111  57.20745244 -002.20600040
111  57.20715143 -002.20617563
111  57.20715764 -002.20619828
111  57.20715093 -002.20620893
111  57.20714827 -002.20632263
111  57.20714697 -002.20637829
111  57.20732740 -002.20636533
111  57.20733582 -002.20668613
111  57.20713941 -002.20670199
112  57.20713941 -002.20670199  57.20714446 -002.20675723
111  57.20717884 -002.20681310
111  57.20735003 -002.20708853
111  57.20738052 -002.20806202
111  57.20679784 -002.20810531
111  57.20678648 -002.20769696
111  57.20685510 -002.20769392
111  57.20684542 -002.20734445
111  57.20677561 -002.20734516
111  57.20677318 -002.20725617
111  57.20676565 -002.20716989
111  57.20666652 -002.20700336
111  57.20643189 -002.20695844
111  57.20616707 -002.20708472
111  57.20617368 -002.20733106
111  57.20615084 -002.20733048
111  57.20615017 -002.20729093
111  57.20606762 -002.20729628
111  57.20606674 -002.20720441
111  57.20593080 -002.20721601
111  57.20589426 -002.20727364
111  57.20590688 -002.20771482
111  57.20598954 -002.20785337
111  57.20599622 -002.20818997
111  57.20594031 -002.20819119
111  57.20579176 -002.20799021
111  57.20550176 -002.20799335
111  57.20549852 -002.20784780
111  57.20556521 -002.20784096
111  57.20555179 -002.20747761
111  57.20545899 -002.20748625
111  57.20545281 -002.20722144
111  57.20500949 -002.20721323
111  57.20496658 -002.20719951
111  57.20464694 -002.20723702
111  57.20464861 -002.20731931
111  57.20459876 -002.20732089
111  57.20460013 -002.20740827
111  57.20453666 -002.20741008
111  57.20453923 -002.20755521
111  57.20450914 -002.20755526
111  57.20440234 -002.20767048
111  57.20439716 -002.20734699
111  57.20439531 -002.20723133
111  57.20435200 -002.20712876
111  57.20433404 -002.20708621
111  57.20431519 -002.20704159
111  57.20431450 -002.20703994
111  57.20445093 -002.20677355
111  57.20414789 -002.20626720
111  57.20404586 -002.20645564
111  57.20394417 -002.20628719
111  57.20404022 -002.20610044
112  57.20404022 -002.20610044  57.20393881 -002.20591430
112  57.20385789 -002.20624150  57.20387168 -002.20640477
111  57.20385789 -002.20624150
112  57.20385789 -002.20624150  57.20386103 -002.20627869
112  57.20388540 -002.20634881  57.20390100 -002.20638178
111  57.20388540 -002.20634881
111  57.20383092 -002.20646052
111  57.20374737 -002.20663184
112  57.20374697 -002.20653491  57.20375234 -002.20645312
111  57.20374697 -002.20653491
112  57.20364662 -002.20656095  57.20363001 -002.20658060
111  57.20364662 -002.20656095
111  57.20362062 -002.20660018
111  57.20359703 -002.20663576
111  57.20357013 -002.20667634
111  57.20356919 -002.20667776
112  57.20356919 -002.20667776  57.20344042 -002.20641218
112  57.20326117 -002.20669399  57.20320867 -002.20685355
111  57.20326117 -002.20669399
111  57.20295889 -002.20762626
112  57.20295889 -002.20762626  57.20287023 -002.20789572
112  57.20255547 -002.20773673  57.20236118 -002.20745545
111  57.20255547 -002.20773673
111  57.20222567 -002.20718607
112  57.20222567 -002.20718607  57.20219012 -002.20726747
112  57.20213163 -002.20740589  57.20210326 -002.20748028
111  57.20213163 -002.20740589
112  57.20213163 -002.20740589  57.20201354 -002.20771658
112  57.20189539 -002.20845937  57.20182044 -002.20898760
111  57.20189539 -002.20845937
111  57.20106666 -002.21005041
111  57.20104884 -002.21001873
111  57.20101643 -002.21008032
111  57.20102485 -002.21009452
111  57.20088395 -002.21036113
111  57.20087655 -002.21034859
111  57.20084788 -002.21040701
111  57.20051465 -002.20989696
111  57.20045068 -002.20979288
111  57.20043105 -002.20983346
111  57.20040302 -002.20978383
111  57.20042068 -002.20974659
111  57.20018382 -002.20935217
111  57.20017323 -002.20936913
111  57.19999556 -002.20904992
111  57.20029098 -002.20847871
111  57.20082315 -002.20745032
111  57.20094935 -002.20717938
111  57.20096039 -002.20651917
111  57.20095593 -002.20651216
111  57.20096694 -002.20648917
111  57.20119688 -002.20689080
111  57.20171048 -002.20590346
111  57.20195998 -002.20634718
111  57.20257192 -002.20517946
111  57.20258040 -002.20516326
111  57.20268397 -002.20496563
111  57.20268513 -002.20535183
111  57.20268520 -002.20537655
111  57.20281719 -002.20561030
111  57.20295523 -002.20565013
111  57.20365734 -002.20427274
111  57.20386098 -002.20387323
112  57.20387000 -002.20381056  57.20385936 -002.20379299
111  57.20387000 -002.20381056
111  57.20356420 -002.20359714
112  57.20356420 -002.20359714  57.20342143 -002.20355298
112  57.20317455 -002.20399785  57.20298250 -002.20436550
111  57.20317455 -002.20399785
111  57.20317207 -002.20400260
111  57.20299144 -002.20367610
111  57.20291942 -002.20381248
111  57.20310008 -002.20414182
111  57.20307466 -002.20418816
111  57.20289404 -002.20386163
111  57.20286965 -002.20391143
111  57.20283945 -002.20385857
111  57.20283406 -002.20386930
111  57.20278149 -002.20377281
111  57.20278115 -002.20365861
111  57.20280767 -002.20360588
111  57.20289740 -002.20342751
112  57.20289740 -002.20342751  57.20291630 -002.20333467
112  57.20286144 -002.20307867  57.20278375 -002.20296770
111  57.20286144 -002.20307867
112  57.20286144 -002.20307867  57.20284497 -002.20305514
112  57.20279746 -002.20301349  57.20277095 -002.20299384
111  57.20279746 -002.20301349
111  57.20252154 -002.20281999
112  57.20252154 -002.20281999  57.20250445 -002.20280921
112  57.20237314 -002.20280008  57.20232580 -002.20284205
111  57.20237314 -002.20280008
111  57.20236638 -002.20276719
111  57.20237302 -002.20276248
111  57.20242918 -002.20250594
111  57.20238842 -002.20247430
111  57.20240506 -002.20240128
111  57.20244573 -002.20243049
111  57.20246027 -002.20236080
111  57.20235255 -002.20228270
111  57.20215636 -002.20214047
111  57.20215227 -002.20213750
111  57.20218135 -002.20204261
111  57.20220012 -002.20192466
111  57.20220518 -002.20126429
111  57.20301484 -002.20129973
111  57.20301506 -002.20123193
111  57.20301525 -002.20117200
111  57.20048534 -002.19713899
111  57.20057913 -002.19720793
111  57.20304569 -002.20111215
111  57.20308096 -002.20103636
111  57.20315115 -002.20088556
111  57.20321759 -002.20074237
111  57.20325649 -002.20065853
111  57.20150801 -002.19789125
111  57.20161469 -002.19796848
111  57.20330664 -002.20064420
111  57.20373388 -002.20131985
111  57.20387393 -002.20133117
111  57.20393096 -002.20133578
112  57.20393096 -002.20133578  57.20394251 -002.20133527
111  57.20397257 -002.20132356
111  57.20395344 -002.20136075
111  57.20401252 -002.20146540
111  57.20424451 -002.20187634
111  57.20456420 -002.20126419
111  57.20458231 -002.20134278
111  57.20565837 -002.20140097
111  57.20573632 -002.20111135
112  57.20573632 -002.20111135  57.20575074 -002.20104812
111  57.20572300 -002.20099085
111  57.20653690 -002.20158917
111  57.20454781 -002.20155570
111  57.20454583 -002.20193455
111  57.20706632 -002.20197915
111  57.20738682 -002.20221490
111  57.20564758 -002.20213578
111  57.20548078 -002.20251988
112  57.20548078 -002.20251988  57.20547383 -002.20253563
111  57.20545624 -002.20260803
111  57.20527894 -002.20231193
111  57.20534196 -002.20219091
111  57.20532867 -002.20215790
111  57.20442431 -002.20208995
111  57.20437953 -002.20208659
111  57.20438296 -002.20234178
111  57.20484069 -002.20311796
111  57.20484832 -002.20313090
111  57.20476909 -002.20326919
111  57.20463036 -002.20347449
111  57.20462474 -002.20346461
111  57.20459278 -002.20352359
111  57.20457724 -002.20349542
111  57.20454598 -002.20355474
111  57.20451141 -002.20359886
111  57.20471064 -002.20395188
111  57.20474187 -002.20389570
111  57.20474747 -002.20390553
111  57.20493245 -002.20372338
112  57.20493245 -002.20372338  57.20500215 -002.20368282
112  57.20516401 -002.20374446  57.20528616 -002.20378870
111  57.20516401 -002.20374446
111  57.20534004 -002.20383106
111  57.20533316 -002.20386286
111  57.20574511 -002.20452979
111  57.20670288 -002.20604596
111  57.20691605 -002.20609225
112  57.20691605 -002.20609225  57.20704997 -002.20594972
111  57.20741450 -002.20575471
111  57.20759108 -002.20565683
114  57.20759108 -002.20565683  57.20766324 -002.20559261
111  57.20624140 -002.20649599
111  57.20626262 -002.20638508
111  57.20547125 -002.20512362
112  57.20547125 -002.20512362  57.20544359 -002.20508756
111  57.20539635 -002.20513566
111  57.20512236 -002.20555459
112  57.20512236 -002.20555459  57.20509709 -002.20559117
111  57.20506661 -002.20561403
111  57.20492283 -002.20573254
111  57.20465173 -002.20600442
111  57.20462296 -002.20604009
113  57.20497693 -002.20662363
111  57.20539185 -002.20500489
111  57.20494342 -002.20426765
111  57.20473175 -002.20391965
111  57.20468931 -002.20400136
111  57.20468101 -002.20399673
111  57.20466313 -002.20406466
111  57.20464475 -002.20405205
111  57.20462926 -002.20412027
111  57.20458617 -002.20409215
111  57.20457318 -002.20416224
111  57.20452914 -002.20413006
111  57.20451685 -002.20419580
111  57.20445160 -002.20415228
111  57.20444446 -002.20418798
111  57.20440202 -002.20416145
111  57.20439551 -002.20419225
111  57.20423023 -002.20407172
111  57.20395327 -002.20386974
111  57.20370788 -002.20435875
111  57.20312131 -002.20552015
111  57.20311145 -002.20553971
112  57.20318449 -002.20559973  57.20322914 -002.20560031
111  57.20331778 -002.20568063
111  57.20340984 -002.20579297
112  57.20340984 -002.20579297  57.20358962 -002.20591867
112  57.20385260 -002.20556983  57.20404948 -002.20526925
111  57.20385260 -002.20556983
111  57.20407275 -002.20512316
111  57.20458314 -002.20597395
112  57.20458314 -002.20597395  57.20462933 -002.20591473
111  57.20490470 -002.20564197
111  57.20504486 -002.20552566
112  57.20504486 -002.20552566  57.20506607 -002.20551223
113  57.20511026 -002.20544769
111  57.20212167 -002.20703030
111  57.20185649 -002.20658208
111  57.20151986 -002.20722401
112  57.20151986 -002.20722401  57.20144603 -002.20740732
112  57.20156515 -002.20772315  57.20165357 -002.20788014
111  57.20156515 -002.20772315
112  57.20156515 -002.20772315  57.20157576 -002.20773904
112  57.20159764 -002.20776933  57.20160872 -002.20778392
111  57.20159764 -002.20776933
112  57.20159764 -002.20776933  57.20167132 -002.20786632
112  57.20189211 -002.20765291  57.20202602 -002.20739086
111  57.20189211 -002.20765291
112  57.20189211 -002.20765291  57.20191151 -002.20759822
111  57.20200501 -002.20732056
113  57.20202691 -002.20726609
111  57.20168370 -002.20848191
112  57.20168370 -002.20848191  57.20167958 -002.20840588
112  57.20158854 -002.20817285  57.20151513 -002.20801130
111  57.20158854 -002.20817285
112  57.20149177 -002.20799203  57.20142306 -002.20786987
111  57.20149177 -002.20799203
111  57.20144631 -002.20791205
112  57.20144631 -002.20791205  57.20141218 -002.20784958
112  57.20136700 -002.20782056  57.20134894 -002.20781090
111  57.20136700 -002.20782056
111  57.20124788 -002.20777675
112  57.20124788 -002.20777675  57.20123720 -002.20777683
112  57.20118983 -002.20784671  57.20116325 -002.20788982
111  57.20118983 -002.20784671
112  57.20118983 -002.20784671  57.20107950 -002.20802565
111  57.20086947 -002.20848595
112  57.20086947 -002.20848595  57.20086641 -002.20849349
