I
1050 Generated by WorldEditor

1   2865 0 0 99CL El Mirage Field Adelanto
112  34.62325326 -117.60013532  34.62325226 -117.60020726
111  34.62325326 -117.60013532
112  34.62325326 -117.60013532  34.62325495 -117.59995281
112  34.62325495 -117.59995281  34.62325664 -117.59977031
111  34.62325495 -117.59995281
112  34.62325495 -117.59995281  34.62326498 -117.60002536 1
111  34.62332489 -117.60003958 1
111  34.62347043 -117.60004165 1
112  34.62360677 -117.59986168  34.62362375 -117.59968681
111  34.62360677 -117.59986168
112  34.62360677 -117.59986168  34.62360063 -117.60021706
112  34.62360063 -117.60021706  34.62359449 -117.60057243
111  34.62360063 -117.60021706
112  34.62360063 -117.60021706  34.62359511 -117.60005611 1
115  34.62347043 -117.60004165
120 Linear Feature 13
112  34.62323120 -117.60228767  34.62323605 -117.60235514 1
111  34.62332403 -117.60240769 1
111  34.62342833 -117.60240587 1
112  34.62358043 -117.60224192  34.62360912 -117.60210310
111  34.62358043 -117.60224192
112  34.62358043 -117.60224192  34.62358772 -117.60218262
112  34.62358772 -117.60218262  34.62359502 -117.60212332
111  34.62358772 -117.60218262
112  34.62358772 -117.60218262  34.62360428 -117.60201765 1
111  34.62345638 -117.60201192 1
111  34.62332734 -117.60201013 1
116  34.62323182 -117.60213208  34.62321933 -117.60221330
120 Linear Feature 10
111  34.62322957 -117.60269994 1
111  34.62323030 -117.60251400 1
111  34.62323120 -117.60228767 1
111  34.62323182 -117.60213208 1
111  34.62323549 -117.60188975 1
111  34.62323650 -117.60182360 1
111  34.62323867 -117.60154830 1
111  34.62323932 -117.60146586 1
111  34.62324111 -117.60124053 1
111  34.62324180 -117.60115320 1
111  34.62324329 -117.60096405 1
111  34.62324443 -117.60081971 1
111  34.62324904 -117.60055696 1
111  34.62324974 -117.60051693 1
111  34.62325240 -117.60022918 1
111  34.62325326 -117.60013532 1
111  34.62325495 -117.59995281 1
115  34.62325628 -117.59980838
14  34.62295702 -117.59975733  49.21 0 New Tower Viewpoint 7
1300  34.62333877 -117.60167523 358.94 misc jets|props 3
1301 B military 
1300  34.62334470 -117.60106317   1.10 misc jets|props 2
1301 B military 
1300  34.62332489 -117.60003958 359.45 misc jets|props 1
1301 B military 
18  34.62295702 -117.59975733 1 New Airport Beacon 8
51 12290 CTAF
99
