A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      751 1 0 EPZA Zamosc-Mokre
100   45.72   3   0 0.00 1 2 1 12   50.70336023  023.19951301    0.00    0.00 2  9 0 0 30   50.69859577  023.21024044    0.00    0.00 2  9 0 0
110   2 0.00 180.00 znacznik7
111  50.70121510  023.20494375 
111  50.70119842  023.20498244 
113  50.70120468  023.20498902 
110   2 0.00 180.00 znacznik7
111  50.70139423  023.20456454 
111  50.70138693  023.20455878 
111  50.70137024  023.20459747 
113  50.70137650  023.20460405 
110   2 0.00 180.00 znacznik7
111  50.70139423  023.20456454 
111  50.70138693  023.20455878 
111  50.70137024  023.20459747 
113  50.70137650  023.20460405 
110   2 0.00 180.00 znacznik7
111  50.70156605  023.20418474 
111  50.70155875  023.20417898 
111  50.70154207  023.20421767 
113  50.70154832  023.20422425 
110   2 0.00 180.00 znacznik7
111  50.70156605  023.20418474 
111  50.70155875  023.20417898 
111  50.70154207  023.20421767 
113  50.70154832  023.20422425 
110   2 0.00 180.00 znacznik7
111  50.70177224  023.20372484 
111  50.70176494  023.20371908 
111  50.70174826  023.20375777 
113  50.70175451  023.20376435 
110   2 0.00 180.00 znacznik7
111  50.70177224  023.20372484 
111  50.70176494  023.20371908 
111  50.70174826  023.20375777 
113  50.70175451  023.20376435 
110   2 0.00 180.00 znacznik7
111  50.70194080  023.20333729 
111  50.70193350  023.20333152 
111  50.70191681  023.20337022 
113  50.70192307  023.20337680 
110   2 0.00 180.00 znacznik7
111  50.70207498  023.20304016 
111  50.70206768  023.20303440 
111  50.70205100  023.20307309 
113  50.70205725  023.20307967 
110   2 0.00 180.00 znacznik7
111  50.70207498  023.20304016 
111  50.70206768  023.20303440 
111  50.70205100  023.20307309 
113  50.70205725  023.20307967 
110   2 0.00 180.00 znacznik7
111  50.70207498  023.20304016 
111  50.70206768  023.20303440 
111  50.70205100  023.20307309 
113  50.70205725  023.20307967 
110   2 0.00 180.00 znacznik7
111  50.70225335  023.20263193 
111  50.70224605  023.20262617 
111  50.70222937  023.20266486 
113  50.70223563  023.20267145 
110   2 0.00 180.00 znacznik7
111  50.70225335  023.20263193 
111  50.70224605  023.20262617 
111  50.70222937  023.20266486 
113  50.70223563  023.20267145 
110   2 0.00 180.00 znacznik7
111  50.70242518  023.20224179 
111  50.70241788  023.20223603 
111  50.70240119  023.20227472 
113  50.70240745  023.20228130 
110   2 0.00 180.00 znacznik7
111  50.70242518  023.20224179 
111  50.70241788  023.20223603 
111  50.70240119  023.20227472 
113  50.70240745  023.20228130 
110   2 0.00 180.00 znacznik7
111  50.70262319  023.20179222 
111  50.70261589  023.20178646 
111  50.70259920  023.20182515 
113  50.70260546  023.20183174 
110   2 0.00 180.00 znacznik7
111  50.70262319  023.20179222 
111  50.70261589  023.20178646 
111  50.70259920  023.20182515 
113  50.70260546  023.20183174 
110   2 0.00 180.00 znacznik7
111  50.70278028  023.20145633 
111  50.70277298  023.20145057 
111  50.70275630  023.20148926 
113  50.70276255  023.20149585 
110   2 0.00 180.00 znacznik7
111  50.70278028  023.20145633 
111  50.70277298  023.20145057 
111  50.70275630  023.20148926 
113  50.70276255  023.20149585 
110   2 0.00 180.00 znacznik7
111  50.70295211  023.20105068 
111  50.70294481  023.20104492 
111  50.70292812  023.20108361 
113  50.70293438  023.20109020 
110   2 0.00 180.00 znacznik7
111  50.70295211  023.20105068 
111  50.70294481  023.20104492 
111  50.70292812  023.20108361 
113  50.70293438  023.20109020 
110   2 0.00 180.00 znacznik7
111  50.70312230  023.20066571 
111  50.70311500  023.20065994 
111  50.70309831  023.20069863 
113  50.70310457  023.20070522 
110   2 0.00 180.00 znacznik7
111  50.70312230  023.20066571 
111  50.70311500  023.20065994 
111  50.70309831  023.20069863 
113  50.70310457  023.20070522 
110   2 0.00 180.00 znacznik7
111  50.70327285  023.20033757 
111  50.70326555  023.20033181 
111  50.70324886  023.20037050 
113  50.70325512  023.20037708 
110   2 0.00 180.00 znacznik7
111  50.70327285  023.20033757 
111  50.70326555  023.20033181 
111  50.70324886  023.20037050 
113  50.70325512  023.20037708 
110   2 0.00 180.00 znacznik7
111  50.70341194  023.20000943 
111  50.70340464  023.20000367 
111  50.70338796  023.20004236 
113  50.70339422  023.20004894 
110   2 0.00 180.00 znacznik7
111  50.70304539  023.19960636 
111  50.70303809  023.19960059 
111  50.70302140  023.19963928 
113  50.70302766  023.19964587 
110   2 0.00 180.00 znacznik7
111  50.70288011  023.19997067 
111  50.70287281  023.19996491 
111  50.70285612  023.20000360 
113  50.70286238  023.20001018 
110   2 0.00 180.00 znacznik7
111  50.70274428  023.20026263 
111  50.70273698  023.20025687 
111  50.70272030  023.20029556 
113  50.70272655  023.20030215 
110   2 0.00 180.00 znacznik7
111  50.70256591  023.20067603 
111  50.70255861  023.20067027 
111  50.70254193  023.20070896 
113  50.70254818  023.20071554 
110   2 0.00 180.00 znacznik7
111  50.70240390  023.20104292 
111  50.70239660  023.20103716 
111  50.70237992  023.20107585 
113  50.70238618  023.20108243 
110   2 0.00 180.00 znacznik7
111  50.70223699  023.20140723 
111  50.70222969  023.20140146 
111  50.70221300  023.20144016 
113  50.70221926  023.20144674 
110   2 0.00 180.00 znacznik7
111  50.70223699  023.20140723 
111  50.70222969  023.20140146 
111  50.70221300  023.20144016 
113  50.70221926  023.20144674 
110   2 0.00 180.00 znacznik7
111  50.70203080  023.20188005 
111  50.70202350  023.20187429 
111  50.70200681  023.20191298 
113  50.70201307  023.20191956 
110   2 0.00 180.00 znacznik7
111  50.70203080  023.20188005 
111  50.70202350  023.20187429 
111  50.70200681  023.20191298 
113  50.70201307  023.20191956 
110   2 0.00 180.00 znacznik7
111  50.70186061  023.20226244 
111  50.70185331  023.20225667 
111  50.70183663  023.20229536 
113  50.70184288  023.20230195 
110   2 0.00 180.00 znacznik7
111  50.70171333  023.20258281 
111  50.70170603  023.20257705 
111  50.70168935  023.20261574 
113  50.70169560  023.20262233 
110   2 0.00 180.00 znacznik7
111  50.70154969  023.20295745 
111  50.70154239  023.20295169 
111  50.70152570  023.20299038 
113  50.70153196  023.20299696 
110   2 0.00 180.00 znacznik7
111  50.70137623  023.20335792 
111  50.70136893  023.20335216 
111  50.70135224  023.20339085 
113  50.70135850  023.20339743 
110   2 0.00 180.00 znacznik7
111  50.70117331  023.20382040 
111  50.70116601  023.20381464 
111  50.70114933  023.20385333 
113  50.70115558  023.20385991 
110   2 0.00 180.00 znacznik7
111  50.70117331  023.20382040 
111  50.70116601  023.20381464 
111  50.70114933  023.20385333 
113  50.70115558  023.20385991 
110   2 0.00 180.00 znacznik7
111  50.70100967  023.20418728 
111  50.70100237  023.20418151 
111  50.70098568  023.20422021 
113  50.70099194  023.20422679 
110   2 0.00 180.00 znacznik7
111  50.70085912  023.20452315 
111  50.70085182  023.20451739 
111  50.70083513  023.20455608 
113  50.70084139  023.20456266 
110   2 0.00 180.00 znacznik7
111  50.70071347  023.20484869 
111  50.70070618  023.20484293 
111  50.70068949  023.20488162 
113  50.70069575  023.20488820 
110   2 0.00 180.00 znacznik7
111  50.70071347  023.20484869 
111  50.70070618  023.20484293 
111  50.70068949  023.20488162 
113  50.70069575  023.20488820 
110   2 0.00 180.00 znacznik7
111  50.70055638  023.20519231 
111  50.70054908  023.20518655 
111  50.70053239  023.20522524 
113  50.70053865  023.20523182 
110   2 0.00 180.00 znacznik7
111  50.70055638  023.20519231 
111  50.70054908  023.20518655 
111  50.70053239  023.20522524 
113  50.70053865  023.20523182 
110   2 0.00 180.00 znacznik7
111  50.70037964  023.20560569 
111  50.70037234  023.20559993 
111  50.70035566  023.20563862 
113  50.70036192  023.20564521 
110   2 0.00 180.00 znacznik7
111  50.70023727  023.20593381 
111  50.70022997  023.20592805 
111  50.70021329  023.20596674 
113  50.70021955  023.20597332 
110   2 0.00 180.00 znacznik7
111  50.70023727  023.20593381 
111  50.70022997  023.20592805 
111  50.70021329  023.20596674 
113  50.70021955  023.20597332 
110   2 0.00 180.00 znacznik7
111  50.70006381  023.20631360 
111  50.70005651  023.20630784 
111  50.70003983  023.20634653 
113  50.70004608  023.20635311 
110   2 0.00 180.00 znacznik7
111  50.69987562  023.20674248 
111  50.69986832  023.20673672 
111  50.69985164  023.20677541 
113  50.69985790  023.20678199 
110   2 0.00 180.00 znacznik7
111  50.69972671  023.20707576 
111  50.69971941  023.20707000 
111  50.69970272  023.20710869 
113  50.69970898  023.20711528 
110   2 0.00 180.00 znacznik7
111  50.69956634  023.20745039 
111  50.69955904  023.20744462 
111  50.69954235  023.20748331 
113  50.69954861  023.20748990 
110   2 0.00 180.00 znacznik7
111  50.69938960  023.20783534 
111  50.69938230  023.20782958 
111  50.69936562  023.20786826 
113  50.69937188  023.20787485 
110   2 0.00 180.00 znacznik7
111  50.69918505  023.20830555 
111  50.69917775  023.20829978 
111  50.69916106  023.20833847 
113  50.69916732  023.20834506 
110   2 0.00 180.00 znacznik7
111  50.69902795  023.20865691 
111  50.69902065  023.20865115 
111  50.69900397  023.20868984 
113  50.69901023  023.20869642 
110   2 0.00 180.00 znacznik7
111  50.69889704  023.20896693 
111  50.69888974  023.20896117 
111  50.69887305  023.20899986 
113  50.69887931  023.20900645 
110   2 0.00 180.00 znacznik7
111  50.69873503  023.20931829 
111  50.69872773  023.20931253 
111  50.69871105  023.20935122 
113  50.69871731  023.20935781 
110   2 0.00 180.00 znacznik7
111  50.69923414  023.20942680 
111  50.69922684  023.20942104 
111  50.69921016  023.20945973 
113  50.69921642  023.20946632 
110   2 0.00 180.00 znacznik7
111  50.69909996  023.20972908 
111  50.69909266  023.20972331 
111  50.69907597  023.20976200 
113  50.69908223  023.20976859 
110   2 0.00 180.00 znacznik7
111  50.69885613  023.21028712 
111  50.69884883  023.21028136 
111  50.69883214  023.21032005 
113  50.69883840  023.21032663 
110   2 0.00 180.00 znacznik7
111  50.69895759  023.21005202 
111  50.69895029  023.21004626 
111  50.69893360  023.21008495 
113  50.69893986  023.21009153 
110   2 0.00 180.00 znacznik7
111  50.69860248  023.20962832 
111  50.69859518  023.20962256 
111  50.69857850  023.20966125 
113  50.69858475  023.20966783 
110   2 0.00 180.00 znacznik7
111  50.69848957  023.20989442 
111  50.69848227  023.20988866 
111  50.69846558  023.20992735 
113  50.69847184  023.20993394 
110   2 0.00   0.00 znacznik
111  50.70319208  023.19931352 
111  50.70320662  023.19932804 
111  50.70321273  023.19932041 
111  50.70318922  023.19929619 
111  50.70317105  023.19933325 
113  50.70317857  023.19934205 
110   2 0.00   0.00 znacznik5
111  50.70336556  023.19948559 
111  50.70336243  023.19949273 
111  50.70337767  023.19950930 
113  50.70338104  023.19950266 
110   2 0.00   0.00 znacznik5
111  50.70332390  023.19943906 
111  50.70332077  023.19944620 
111  50.70333601  023.19946277 
113  50.70333938  023.19945613 
110   2 0.00   0.00 znacznik5
111  50.70327614  023.19938773 
111  50.70327301  023.19939486 
111  50.70328825  023.19941143 
113  50.70329163  023.19940479 
110   2 0.00   0.00 znacznik5
111  50.70323143  023.19934120 
111  50.70322830  023.19934833 
111  50.70324355  023.19936491 
113  50.70324692  023.19935827 
110   2 0.00   0.00 znacznik5
111  50.70340112  023.19952891 
111  50.70339799  023.19953604 
111  50.70341323  023.19955262 
113  50.70341661  023.19954597 
110   2 0.00   0.00 znacznik5
111  50.70345294  023.19958666 
111  50.70344981  023.19959380 
111  50.70346505  023.19961037 
113  50.70346843  023.19960373 
110   2 0.00   0.00 znacznik5
111  50.70349155  023.19963159 
111  50.70348842  023.19963872 
111  50.70350367  023.19965529 
113  50.70350704  023.19964865 
110   2 0.00   0.00 znacznik5
111  50.69871175  023.21038598 
111  50.69870862  023.21039311 
111  50.69872386  023.21040968 
113  50.69872723  023.21040304 
110   2 0.00   0.00 znacznik5
111  50.69867314  023.21034587 
111  50.69867001  023.21035301 
111  50.69868525  023.21036958 
113  50.69868862  023.21036294 
110   2 0.00   0.00 znacznik5
111  50.69863656  023.21030577 
111  50.69863343  023.21031290 
111  50.69864867  023.21032948 
113  50.69865204  023.21032283 
110   2 0.00   0.00 znacznik5
111  50.69860404  023.21027047 
111  50.69860091  023.21027761 
111  50.69861616  023.21029418 
113  50.69861953  023.21028754 
110   2 0.00   0.00 znacznik5
111  50.69854917  023.21020470 
111  50.69854604  023.21021184 
111  50.69856129  023.21022841 
113  50.69856466  023.21022177 
110   2 0.00   0.00 znacznik5
111  50.69851158  023.21016299 
111  50.69850845  023.21017013 
111  50.69852369  023.21018670 
113  50.69852706  023.21018006 
110   2 0.00   0.00 znacznik5
111  50.69848008  023.21012770 
111  50.69847695  023.21013484 
111  50.69849219  023.21015141 
113  50.69849557  023.21014477 
110   2 0.00   0.00 znacznik5
111  50.69844756  023.21008760 
111  50.69844443  023.21009473 
111  50.69845968  023.21011131 
113  50.69846305  023.21010466 
110   2 0.00   0.00 znacznik4
111  50.69842824  023.21000922 
111  50.69840916  023.21005603 
111  50.69843597  023.21008665 
111  50.69844054  023.21007893 
111  50.69842067  023.21005603 
113  50.69843644  023.21001818 
110   2 0.00   0.00 znacznik3
111  50.69878282  023.21040167 
111  50.69876452  023.21044151 
111  50.69874370  023.21041960 
111  50.69873865  023.21043155 
111  50.69876704  023.21046143 
113  50.69879102  023.21041163 
110   3 0.00 250.00 ogrodek
111  50.69796236  023.20626771 
111  50.69790689  023.20639282 
111  50.69798930  023.20648289 
113  50.69804635  023.20635779 
110   2 0.00   0.00 znacznik2
111  50.70351698  023.19967692 
111  50.70353530  023.19969729 
111  50.70352208  023.19972989 
111  50.70352888  023.19973827 
111  50.70354671  023.19969506 
113  50.70352225  023.19966486 
110   5 0.00 120.00 New Taxiway 3
111  50.70005739  023.20763167 
112  50.69895817  023.21014104  50.69870339  023.21057273 
111  50.69895817  023.21014104 
112  50.69895817  023.21014104  50.69889603  023.21030783 
111  50.69892710  023.21059235 
112  50.69906382  023.21079838  50.69916325  023.21088668 
111  50.69906382  023.21079838 
111  50.69949882  023.21145572 
111  50.69954232  023.21140666 
111  50.69926267  023.21097498 
112  50.69923160  023.21064140  50.69929375  023.21050405 
111  50.69923160  023.21064140 
112  50.69923160  023.21064140  50.69925757  023.21053112 
113  50.70042391  023.20801675 
110   1 0.00   0.00 Helipad
111  50.70005739  023.20763167 
111  50.70042391  023.20801675 
111  50.70136935  023.20901007 
111  50.70143939  023.20895110 
111  50.70046825  023.20788966 
111  50.70067369  023.20742527 
113  50.70032352  023.20704935 
110   5 0.00 120.00 New Taxiway 2
112  50.70296680  023.20122719  50.70280522  023.20154116 
111  50.70296680  023.20122719 
112  50.70296680  023.20122719  50.70292330  023.20132531 
111  50.70032352  023.20704935 
111  50.70067369  023.20742527 
113  50.70343952  023.20126693 
130 Airport Boundary 1
112  50.70553127  023.19145380  50.70549516  023.18686485 
111  50.70553127  023.19145380 
112  50.70553127  023.19145380  50.70435767  023.19362002 
111  50.69629316  023.20926806 
111  50.69869140  023.21265118 
111  50.70106845  023.20925817 
111  50.70192019  023.20861250 
112  50.70755348  023.20433708  50.71103818  023.20214236 
111  50.70755348  023.20433708 
114  50.70755348  023.20433708  50.70607294  023.19655581 
120 Linear Feature 10
111  50.70044240  023.20749956  20 
111  50.70038969  023.20763195  20 
111  50.70030584  023.20753738  20 
113  50.70035615  023.20741256  20 
14   50.69717908  023.20779256  328 0 New Tower Viewpoint 2
15   50.69819284  023.20789224  39.52 VFR1
15   50.69838226  023.20750459  39.52 VFR2
18   50.70215842  023.20618016 1 BCN
19   50.69831966  023.20686204 0 New Windsock 1

99
