I
1130 Generated by WorldEditor 2.2.0r2

1   1666 1 0 SCBA Balmaceda
1302 city Balmaceda
111 -45.91432902 -071.69215535
112 -45.91432902 -071.69215535 -45.91433634 -071.69213694
111 -45.91534548 -071.69035673
111 -45.91545744 -071.69020842
111 -45.91556062 -071.69021158
111 -45.91560233 -071.69021789
111 -45.91587895 -071.68808478
111 -45.91582407 -071.68808478
111 -45.91551672 -071.68913556
111 -45.91499422 -071.69022419
111 -45.91432946 -071.69136456
111 -45.91640520 -071.67454066
111 -45.91632353 -071.67452551
111 -45.91423305 -071.69156931
111 -45.91436214 -071.69145193
111 -45.91503919 -071.69030083
111 -45.91520516 -071.69047880
111 -45.91430418 -071.69202748
111 -45.91421988 -071.69225089
111 -45.91425676 -071.69250458
111 -45.91481526 -071.69381851
111 -45.91463875 -071.69396998
111 -45.91416192 -071.69290217
111 -45.91406971 -071.69290596
111 -45.91321352 -071.69980867
113 -45.91328728 -071.69982760
110 2 0.00 0.0000 New Taxiway 73
111 -45.91428574 -071.70093325
111 -45.91400649 -071.70095219
111 -45.91354019 -071.70084615
112 -45.91336895 -071.70062654 -45.91332680 -071.70050158
111 -45.91336895 -071.70062654
112 -45.91336895 -071.70062654 -45.91336632 -071.70061518
111 -45.91324777 -071.70014566
111 -45.91328728 -071.69982760
111 -45.91321352 -071.69980867
111 -45.91406971 -071.69290596
111 -45.91416192 -071.69290217
111 -45.91463875 -071.69396998
111 -45.91481526 -071.69381851
111 -45.91425676 -071.69250458
111 -45.91421988 -071.69225089
111 -45.91430418 -071.69202748
111 -45.91520516 -071.69047880
111 -45.91503919 -071.69030083
111 -45.91436214 -071.69145193
111 -45.91423305 -071.69156931
111 -45.91632353 -071.67452551
111 -45.91640520 -071.67454066
111 -45.91643154 -071.67424908
111 -45.91656326 -071.67403703
111 -45.91658434 -071.67382119
111 -45.91677929 -071.67361293
111 -45.91736455 -071.67372295
111 -45.91762404 -071.67395197
111 -45.91768322 -071.67350703
111 -45.91614454 -071.67312098
111 -45.91387939 -071.69168740
111 -45.91372114 -071.69299607
111 -45.91354727 -071.69331033
111 -45.91353876 -071.69335496
111 -45.91365019 -071.69345841
111 -45.91271209 -071.70112517
111 -45.91394599 -071.70146104
113 -45.91421382 -071.70163459
130 Airport Boundary 1
111 -45.91469124 -071.68100209
111 -45.91328566 -071.68057160
111 -45.91141923 -071.68772446
111 -45.91132706 -071.69216176
111 -45.91300915 -071.69365191
111 -45.91125793 -071.70779169
111 -45.91211050 -071.70845397
111 -45.91330870 -071.70799037
111 -45.91436865 -071.70623532
111 -45.91529034 -071.70580483
111 -45.91750240 -071.70563926
111 -45.91803237 -071.70249341
111 -45.91853931 -071.70193047
111 -45.91934579 -071.69908264
111 -45.91893102 -071.69871838
111 -45.91886190 -071.69722824
111 -45.92012922 -071.68851919
111 -45.92045182 -071.68726084
111 -45.92008314 -071.68613494
111 -45.91876973 -071.68507527
111 -45.92008314 -071.67408119
111 -45.91962229 -071.67123333
113 -45.91625812 -071.66941202
120 Linear Feature 11
111 -45.91497571 -071.69039398 54
115 -45.91513670 -071.69058989
120 Linear Feature 6
111 -45.91772422 -071.67350761 53 102
111 -45.91725221 -071.67339331 53 102
111 -45.91621800 -071.67313144 53 102
111 -45.91394797 -071.69168320 53 102
112 -45.91379841 -071.69172543 -45.91372898 -071.69169856 53 102
111 -45.91348061 -071.69154886 53 102
111 -45.91223877 -071.69051632 53 102
112 -45.91207320 -071.69188663 -45.91206785 -071.69205552 53 102
115 -45.91234512 -071.69224794
120 Linear Feature 5
111 -45.91599325 -071.68751451 53 102
111 -45.91558153 -071.68916830 53 102
111 -45.91506299 -071.69024310 53 102
111 -45.91497571 -071.69039398 53 102
111 -45.91434637 -071.69147463 53 102
111 -45.91423065 -071.69159618 53 102
111 -45.91637611 -071.67416931 53 102
112 -45.91660746 -071.67377760 -45.91674767 -071.67355368 53 102
111 -45.91690345 -071.67361766 53 102
111 -45.91721465 -071.67368025 53 102
112 -45.91744871 -071.67377440 -45.91751770 -071.67380639 53 102
115 -45.91766681 -071.67395994
120 Linear Feature 12
111 -45.91474818 -071.69365046 54
115 -45.91456890 -071.69381484
120 Linear Feature 4
111 -45.91520621 -071.69394888 53 102
112 -45.91502248 -071.69410703 -45.91490390 -071.69407478 53 102
111 -45.91488040 -071.69396807 53 102
111 -45.91474818 -071.69365046 53 102
111 -45.91422877 -071.69241731 53 102
112 -45.91426616 -071.69211024 -45.91435268 -071.69201350
111 -45.91426616 -071.69211024
112 -45.91426616 -071.69211024 -45.91427433 -071.69209457 53 102
111 -45.91513670 -071.69058989 53 102
111 -45.91520354 -071.69047502 53 102
111 -45.91538248 -071.69019864 53 102
112 -45.91552936 -071.69016794 -45.91562871 -071.69019557 53 102
115 -45.91564420 -071.69038289
120 Linear Feature 3
111 -45.91433912 -071.70099424 53 102
111 -45.91428036 -071.70103262 53 102
111 -45.91397921 -071.70105870 53 102
111 -45.91384909 -071.70103291 53 102
111 -45.91346850 -071.70092512 53 102
111 -45.91332962 -071.70073320 53 102
111 -45.91317206 -071.70014208 53 102
111 -45.91409150 -071.69272670 53 102
111 -45.91456890 -071.69381484 53 102
112 -45.91502408 -071.69485477 -45.91503824 -071.69488416
111 -45.91502408 -071.69485477
112 -45.91502408 -071.69485477 -45.91505292 -071.69491465 53 102
115 -45.91507215 -071.69505744
120 Linear Feature 2
111 -45.91234512 -071.69224794 53 102
111 -45.91373684 -071.69340572 53 102
111 -45.91278054 -071.70106564 53 102
111 -45.91381421 -071.70134272 53 102
111 -45.91394707 -071.70137887 53 102
111 -45.91418422 -071.70150785 53 102
115 -45.91426754 -071.70159997
120 Linear Feature 10
111 -45.91725221 -071.67339331 54
115 -45.91721465 -071.67368025
120 Linear Feature 17
111 -45.91384328 -071.69208599 51
116 -45.91407037 -071.69189316 -45.91410004 -071.69170124
120 Linear Feature 9
111 -45.91399390 -071.69250515 51
111 -45.91407037 -071.69189316 51
112 -45.91624357 -071.67406431 -45.91624642 -071.67405200
111 -45.91624357 -071.67406431
112 -45.91624357 -071.67406431 -45.91632369 -071.67337336 51
111 -45.91680440 -071.67341482 51
112 -45.91752847 -071.67359969 -45.91754449 -071.67361351
111 -45.91752847 -071.67359969
112 -45.91752847 -071.67359969 -45.91760859 -071.67361351 51
115 -45.91770173 -071.67370041
120 Linear Feature 19
111 -45.91292684 -071.69250042 51
112 -45.91317610 -071.69187667 -45.91318278 -071.69186387
111 -45.91317610 -071.69187667
112 -45.91317610 -071.69187667 -45.91326957 -071.69171353 51
115 -45.91342533 -071.69177202
120 Linear Feature 19
111 -45.91255963 -071.69219334 51
112 -45.91280889 -071.69156960 -45.91281557 -071.69155680
111 -45.91280889 -071.69156960
112 -45.91280889 -071.69156960 -45.91290236 -071.69140647 51
115 -45.91305812 -071.69146496
120 Linear Feature 21
111 -45.91333646 -071.69211959 55
115 -45.91322982 -071.69297702
120 Linear Feature 20
111 -45.91340292 -071.69158870 55
115 -45.91330246 -071.69181971
120 Linear Feature 8
111 -45.91426203 -071.70128367 51
111 -45.91319379 -071.70100793 51
112 -45.91299616 -071.70048910 -45.91301539 -071.70012061
111 -45.91299616 -071.70048910
112 -45.91299616 -071.70048910 -45.91298975 -071.70047068 51
112 -45.91399390 -071.69250515 -45.91399657 -071.69248980
111 -45.91399390 -071.69250515
112 -45.91399390 -071.69250515 -45.91401527 -071.69224414 51
111 -45.91384328 -071.69208599 51
111 -45.91342533 -071.69177202 51
111 -45.91305812 -071.69146496 51
112 -45.91270560 -071.69118475 -45.91260561 -071.69110737 51
111 -45.91247592 -071.69127304 51
115 -45.91227830 -071.69177203
120 Linear Feature 16
111 -45.91532026 -071.69003774 51
111 -45.91429474 -071.69181494 51
112 -45.91405706 -071.69209131 -45.91395825 -071.69212970 51
115 -45.91384328 -071.69208599
120 Linear Feature 15
111 -45.91577961 -071.69090909 51
111 -45.91583836 -071.69039088 51
112 -45.91567278 -071.69001470 -45.91552323 -071.68985732 51
111 -45.91532026 -071.69003774 51
112 -45.91577160 -071.68902818 -45.91583836 -071.68885161 51
112 -45.91615350 -071.68772306 -45.91619355 -071.68745819 51
115 -45.91632976 -071.68647935
120 Linear Feature 14
111 -45.91486626 -071.69421405 51
112 -45.91412382 -071.69250208 -45.91411581 -071.69248672
111 -45.91412382 -071.69250208
112 -45.91412382 -071.69250208 -45.91400899 -071.69221419 51
115 -45.91384328 -071.69208599
120 Linear Feature 13
111 -45.91513278 -071.69614408 51
112 -45.91523534 -071.69534720 -45.91523854 -071.69533799
111 -45.91523534 -071.69534720
112 -45.91523534 -071.69534720 -45.91526738 -071.69508004 51
111 -45.91508471 -071.69472075 51
111 -45.91487000 -071.69422788 51
112 -45.91520649 -071.69433382 -45.91537955 -071.69424170 51
111 -45.91541801 -071.69390544 51
115 -45.91551415 -071.69309014
120 Linear Feature 18
111 -45.91384909 -071.70103291 54
115 -45.91381421 -071.70134272
120 Linear Feature 7
111 -45.91437313 -071.70229627 51
112 -45.91445699 -071.70162146 -45.91446233 -071.70158307
111 -45.91445699 -071.70162146
112 -45.91445699 -071.70162146 -45.91447568 -071.70141418 51
111 -45.91426203 -071.70128367 51
112 -45.91453444 -071.70104185 -45.91457183 -071.70081921
111 -45.91453444 -071.70104185
112 -45.91453444 -071.70104185 -45.91453444 -071.70101498 51
115 -45.91461189 -071.70042769
14 -45.91151810 -071.69460944  82.02 0 Tower Viewpoint
1300 -45.91227830 -071.69177203 300.80 gate jets|turboprops Cargo
1301 C cargo 
1300 -45.91255963 -071.69219334 300.80 gate jets|turboprops Gate 2
1301 C airline 
1300 -45.91292684 -071.69250042 300.80 gate jets|turboprops Gate 1
1301 C airline 
1300 -45.91793172 -071.69759253  27.26 hangar props Hangar
1301 A none 
18 -45.91152239 -071.69460277 1 Airport Beacon
1053 121900 GND
1054 118500 TWR
1055 119700 APP
99
