A
1050 Generated by WorldEditor 1.6.1r1

1    200 1 0 KASH Boire Field Nashua
111  42.77769806 -071.50979048
111  42.77766857 -071.50972895
111  42.77752606 -071.50985635
111  42.77748545 -071.50989265
111  42.77742877 -071.50977416
111  42.77714774 -071.51002142
111  42.77694768 -071.50966567
111  42.77699745 -071.50939748
111  42.77698086 -071.50939145
111  42.77698639 -071.50936885
111  42.77683930 -071.50932214
111  42.77683709 -071.50934173
111  42.77682160 -071.50933872
111  42.77677359 -071.50961263
111  42.77676852 -071.50964157
111  42.77663580 -071.50958582
111  42.77663879 -071.50956741
111  42.77668225 -071.50929954
111  42.77650899 -071.50924354
111  42.77651489 -071.50920161
111  42.77633900 -071.50914184
111  42.77610143 -071.50906026
111  42.77602235 -071.50903310
111  42.77603859 -071.50893944
111  42.77575610 -071.50884228
111  42.77570128 -071.50882343
111  42.77574460 -071.50857502
111  42.77567587 -071.50855422
111  42.77569976 -071.50834811
111  42.77571475 -071.50835155
111  42.77571107 -071.50838420
111  42.77577097 -071.50840303
111  42.77577742 -071.50837039
111  42.77595733 -071.50842592
111  42.77592673 -071.50864159
111  42.77610184 -071.50869432
111  42.77609262 -071.50876338
111  42.77616911 -071.50878975
112  42.77616911 -071.50878975  42.77621888 -071.50879126
111  42.77627326 -071.50869809
111  42.77628800 -071.50860267
112  42.77621519 -071.50846330  42.77616432 -071.50844371
111  42.77621519 -071.50846330
111  42.77607478 -071.50840741
111  42.77615252 -071.50795227
111  42.77624376 -071.50797488
111  42.77628156 -071.50771613
112  42.77625635 -071.50758775  42.77623091 -071.50756063
111  42.77625635 -071.50758775
111  42.77623379 -071.50748650
111  42.77628386 -071.50717119
111  42.77628953 -071.50713393
111  42.77612763 -071.50708325
111  42.77629705 -071.50606415
112  42.77641201 -071.50604976  42.77645642 -071.50603824
111  42.77641201 -071.50604976
112  42.77641201 -071.50604976  42.77643455 -071.50604387 102
112  42.77646386 -071.50602397  42.77647850 -071.50601234
111  42.77646386 -071.50602397 102
112  42.77669792 -071.50581947  42.77671256 -071.50580784
111  42.77669792 -071.50581947 102
111  42.77787251 -071.50479325
111  42.77799195 -071.50504493 102
112  42.77784862 -071.50500154  42.77781013 -071.50503770
111  42.77784862 -071.50500154 102
111  42.77694723 -071.50578046
112  42.77694723 -071.50578046  42.77688347 -071.50583512 102
112  42.77687732 -071.50596210  42.77688140 -071.50601693
111  42.77687732 -071.50596210
112  42.77687732 -071.50596210  42.77688080 -071.50600884 102
111  42.77689468 -071.50604299 102
111  42.77863293 -071.50971630
112  42.77868055 -071.50970479  42.77870267 -071.50968370
111  42.77868055 -071.50970479
111  42.77975234 -071.50876963
111  42.77976986 -071.50880435
111  42.77925949 -071.50926416
111  42.77929377 -071.50934552
111  42.77925728 -071.50937114
111  42.77922520 -071.50929429
111  42.77869732 -071.50974214
112  42.77869732 -071.50974214  42.77867410 -071.50976173
111  42.77866857 -071.50979186 102
111  42.77966969 -071.51191564
112  42.77966969 -071.51191564  42.77975951 -071.51208748 102
111  42.77990061 -071.51194818 102
111  42.78037940 -071.51153338 102
111  42.78074562 -071.51121610
112  42.78074562 -071.51121610  42.78082780 -071.51114840 102
111  42.78079403 -071.51096527
111  42.78097399 -071.51134498 102
112  42.78079786 -071.51133630  42.78072141 -071.51139879
111  42.78079786 -071.51133630 102
111  42.78043529 -071.51165228 102
111  42.77995635 -071.51206969
112  42.77995635 -071.51206969  42.77982416 -071.51219988 102
111  42.77987990 -071.51235393 102
111  42.78158765 -071.51596307
112  42.78158765 -071.51596307  42.78167213 -071.51613364 102
111  42.78179627 -071.51603468 102
111  42.78231939 -071.51558088 102
111  42.78266422 -071.51528174
112  42.78266422 -071.51528174  42.78274252 -071.51521483 102
111  42.78271996 -071.51504739
111  42.78290947 -071.51544014 102
112  42.78273110 -071.51539457  42.78266342 -071.51545062
111  42.78273110 -071.51539457 102
111  42.78237731 -071.51570212 102
111  42.78185997 -071.51615185 102
112  42.78180583 -071.51643393  42.78188147 -071.51661113
111  42.78180583 -071.51643393 102
111  42.78346070 -071.51994474 102
112  42.78367889 -071.51999118  42.78379992 -071.51989787
111  42.78367889 -071.51999118 102
111  42.78416977 -071.51955990 102
111  42.78452899 -071.51924429
112  42.78452899 -071.51924429  42.78459748 -071.51918354 102
111  42.78459015 -071.51898911
111  42.78478317 -071.51939272 102
112  42.78457741 -071.51936277  42.78450097 -071.51942353
111  42.78457741 -071.51936277 102
111  42.78422457 -071.51967297 102
111  42.78372985 -071.52010792
112  42.78372985 -071.52010792  42.78362952 -071.52020557 102
111  42.78367283 -071.52037699 102
111  42.78427840 -071.52167180
112  42.78435338 -071.52163112  42.78439541 -071.52159495
111  42.78435338 -071.52163112
111  42.78486101 -071.52117272
111  42.78482120 -071.52108773
111  42.78485305 -071.52106603
111  42.78488575 -071.52113410
112  42.78488575 -071.52113410  42.78489229 -071.52114994
111  42.78492472 -071.52111847
111  42.78539983 -071.52070256
111  42.78541974 -071.52074415
111  42.78436732 -071.52167000
112  42.78436732 -071.52167000  42.78432640 -071.52170164
111  42.78431423 -071.52174414 102
111  42.78515925 -071.52352826 102
112  42.78528028 -071.52366280  42.78538380 -071.52372789
111  42.78528028 -071.52366280 102
111  42.78592197 -071.52404773
112  42.78592197 -071.52404773  42.78599895 -071.52408933 102
111  42.78608256 -071.52402423 102
111  42.78624215 -071.52388288 102
111  42.78658687 -071.52357757
112  42.78658687 -071.52357757  42.78667579 -071.52350162 102
113  42.78663332 -071.52331536
111  42.78478595 -071.52396048
111  42.78445416 -071.52424980
112  42.78442873 -071.52437186  42.78445748 -071.52442912
111  42.78451249 -071.52438732
111  42.78481219 -071.52412360 102
111  42.78493525 -071.52401473 102
111  42.78474392 -071.52358526 102
111  42.78481249 -071.52314976
112  42.78481249 -071.52314976  42.78482797 -071.52307893 102
111  42.78477710 -071.52299455 102
111  42.78357156 -071.52044023
112  42.78357156 -071.52044023  42.78350475 -071.52029792 102
111  42.78340490 -071.52038373 102
111  42.78332133 -071.52045569
111  42.78292658 -071.52079560
112  42.78293027 -071.52090234  42.78296234 -071.52094905
111  42.78299386 -071.52090862
111  42.78338278 -071.52057334
111  42.78465738 -071.52329328
113  42.78461038 -071.52358713
111  42.78335012 -071.52027489 102
112  42.78338883 -071.52005137  42.78333261 -071.51993082
111  42.78338883 -071.52005137 102
111  42.78171379 -071.51648467 102
112  42.78157002 -071.51644398  42.78148155 -071.51649672 102
111  42.78151030 -071.51662480
111  42.78321235 -071.52023220
111  42.78282638 -071.52056371
112  42.78280536 -071.52065563  42.78283025 -071.52072093
111  42.78288610 -071.52067522
113  42.78326898 -071.52034490 102
111  42.78136196 -071.51629810 102
112  42.78148743 -071.51628242  42.78156043 -071.51618658 102
111  42.78152460 -071.51611064 102
111  42.78062097 -071.51420041 102
112  42.78050020 -071.51419317  42.78041394 -071.51424923 102
113  42.78044579 -071.51436856
111  42.78301460 -071.52188653
111  42.78293439 -071.52190429
111  42.78200364 -071.52211046
111  42.78203231 -071.52236824
111  42.78222234 -071.52232588
111  42.78223206 -071.52232288
111  42.78224348 -071.52231969
111  42.78235322 -071.52229537
111  42.78236451 -071.52229280
111  42.78237580 -071.52229024
111  42.78296323 -071.52215684
113  42.78312162 -071.52212087
111  42.78264576 -071.52126942
111  42.78222342 -071.52135535
111  42.78227501 -071.52176936
113  42.78268972 -071.52166780
111  42.78218519 -071.52138660
111  42.78169461 -071.52150096
111  42.78168258 -071.52150377
111  42.78173227 -071.52189434
113  42.78223297 -071.52177457
111  42.78191522 -071.52061923
111  42.78170819 -071.52066443
111  42.78173739 -071.52092481
113  42.78194442 -071.52087599
111  42.78232398 -071.52079462
111  42.78229080 -071.52053424
111  42.78209837 -071.52057583
111  42.78211164 -071.52068071
111  42.78199485 -071.52070783
113  42.78201476 -071.52086153
111  42.78133467 -071.51894158
111  42.78134649 -071.51902631
111  42.78164509 -071.51895398
111  42.78150840 -071.51865202
112  42.78141815 -071.51862309  42.78138498 -071.51866829
111  42.78138630 -071.51868276
111  42.78111557 -071.51874062
113  42.78114477 -071.51898653
111  42.78113163 -071.51842236
111  42.78114344 -071.51853087
111  42.78136109 -071.51847120
112  42.78136109 -071.51847120  42.78140754 -071.51845312
111  42.78138232 -071.51840068
111  42.78130269 -071.51823071
111  42.78118060 -071.51825964
111  42.78116733 -071.51815296
111  42.78125757 -071.51813126
111  42.78119520 -071.51799746
111  42.78112088 -071.51801011
111  42.78112486 -071.51804085
111  42.78079706 -071.51811680
113  42.78084351 -071.51848747
111  42.78078113 -071.51845312
111  42.78074264 -071.51815296
111  42.78053694 -071.51820178
111  42.78055817 -071.51835909
111  42.78054357 -071.51836090
111  42.78057144 -071.51857426
111  42.78064045 -071.51855980
113  42.78063249 -071.51848205
111  42.78036014 -071.51721504
111  42.78028984 -071.51723215
111  42.78028529 -071.51718250
111  42.77993015 -071.51725627
112  42.77993015 -071.51725627  42.77992573 -071.51730448
111  42.77994877 -071.51744618
111  42.78001714 -071.51743248
111  42.78006074 -071.51777268
113  42.78041588 -071.51769239
