I
1050 Generated by WorldEditor 1.6.0r1

1   3244 0 0 CYRM ROCKY MOUNTAIN HOUSE
111  52.43462079 -114.91195624
111  52.43476194 -114.91212179
111  52.43472330 -114.91222138
111  52.43455534 -114.91204031
111  52.43450078 -114.91206318
111  52.43415012 -114.91292262
111  52.43409434 -114.91286582
111  52.43444111 -114.91200249
111  52.43443397 -114.91190833
111  52.43394289 -114.91137431
111  52.43388520 -114.91143501
111  52.43354274 -114.91227678
111  52.43348590 -114.91221216
111  52.43368925 -114.91171129
111  52.43361432 -114.91162808
111  52.43368047 -114.91147218
111  52.43375599 -114.91155161
111  52.43384770 -114.91132732
111  52.43384073 -114.91126322
111  52.43336508 -114.91074598
111  52.43330608 -114.91075655
111  52.43320298 -114.91102678
111  52.43320998 -114.91105912
111  52.43331363 -114.91116397
111  52.43329540 -114.91121325
111  52.43319434 -114.91111030
111  52.43316970 -114.91111401
111  52.43310780 -114.91127623
111  52.43311665 -114.91130813
111  52.43323206 -114.91141970
111  52.43321444 -114.91146694
111  52.43310113 -114.91135440
111  52.43307661 -114.91135798
111  52.43295714 -114.91167110
111  52.43290870 -114.91161807
111  52.43293955 -114.91154067
111  52.43284503 -114.91144144
111  52.43287777 -114.91136131
111  52.43296915 -114.91145917
111  52.43302004 -114.91132572
111  52.43302350 -114.91126592
111  52.43293992 -114.91118131
111  52.43296254 -114.91112285
111  52.43302232 -114.91118481
111  52.43307764 -114.91117449
111  52.43312604 -114.91104740
111  52.43302719 -114.91094911
111  52.43304646 -114.91089935
111  52.43314403 -114.91100015
111  52.43325304 -114.91071393
111  52.43324222 -114.91061237
111  52.43295645 -114.91030162
111  52.43283745 -114.91017221
111  52.43275983 -114.91008780
111  52.43269604 -114.91013299
111  52.43252387 -114.91055620
111  52.43233468 -114.91102127
111  52.43227798 -114.91095891
111  52.43230300 -114.91089754
111  52.43220364 -114.91079346
111  52.43222638 -114.91073697
111  52.43232515 -114.91084132
111  52.43237144 -114.91072849
111  52.43227298 -114.91062121
111  52.43229259 -114.91057250
111  52.43239136 -114.91067613
111  52.43262503 -114.91009338
111  52.43262897 -114.90994550
111  52.43198775 -114.90924822
111  52.43191493 -114.90928085
111  52.43173276 -114.90969641
111  52.43176265 -114.90972946
111  52.43169803 -114.90989654
111  52.43159315 -114.90977936
111  52.43152845 -114.90970706
111  52.43163756 -114.90942924
111  52.43175212 -114.90955177
111  52.43185553 -114.90931840
111  52.43183460 -114.90908168
111  52.43173661 -114.90897511
111  52.43161672 -114.90927109
111  52.43152542 -114.90917741
111  52.43147153 -114.90932326
111  52.43144897 -114.90938435
111  52.43126371 -114.90988583
111  52.43114813 -114.90976182
111  52.43151233 -114.90879312
111  52.43139731 -114.90866623
111  52.43119039 -114.90919838
111  52.43122633 -114.90923758
111  52.43120644 -114.90928649
111  52.43109320 -114.90916330
111  52.43111302 -114.90911326
111  52.43114542 -114.90915154
111  52.43134894 -114.90861287
111  52.43132416 -114.90858553
112  52.43132416 -114.90858553  52.43126767 -114.90852586
111  52.43119033 -114.90850526
111  52.43106885 -114.90880889
111  52.43106653 -114.90892714
111  52.43094854 -114.90879791
111  52.43100945 -114.90874710
111  52.43112484 -114.90843879
111  52.43052209 -114.90777942
111  52.43036895 -114.90761189
111  52.43059378 -114.90707108
111  52.43070551 -114.90719399
111  52.43103552 -114.90755038
111  52.43138372 -114.90792642
111  52.43128168 -114.90819674
111  52.43130131 -114.90834477
111  52.43448572 -114.91182022
111  52.43533422 -114.91155889
111  52.43544056 -114.91152614
112  52.43553821 -114.91145537  52.43556660 -114.91139390
111  52.43553821 -114.91145537
111  52.43570281 -114.91100742
113  52.43567670 -114.91083979
110 1 0.00 0.0000 New Taxiway 4
111  52.43058802 -114.90543329
111  52.43037923 -114.90549232
111  52.43015394 -114.90606426
111  52.43008082 -114.90624989
111  52.42967626 -114.90582010
111  52.42900857 -114.90511075
111  52.42861189 -114.90468931
111  52.42868445 -114.90450493
111  52.42890948 -114.90393310
111  52.42886860 -114.90359254
111  52.42925543 -114.90401022
111  52.42905388 -114.90407540
111  52.42891817 -114.90439065
111  52.42897102 -114.90480684
111  52.42900857 -114.90511075
111  52.42967626 -114.90582010
111  52.42986217 -114.90575315
111  52.43011580 -114.90566930
111  52.43024059 -114.90536038
113  52.43019742 -114.90501925
110 1 0.00 0.0000 New Taxiway 3
111  52.43561482 -114.91027444
111  52.43585872 -114.91018281
111  52.43615986 -114.91050689
113  52.43606584 -114.91074827
110 2 0.00 0.0000 New Taxiway 2
111  52.42376268 -114.89819242
111  52.42349942 -114.89827822
111  52.42319529 -114.89795379
113  52.42330157 -114.89769102
130 Airport Boundary
111  52.43912698 -114.91132870
111  52.43844679 -114.91323037
111  52.43400369 -114.91335710
111  52.42900014 -114.90797244
111  52.42803834 -114.90468523
111  52.42420012 -114.90055594
111  52.42263289 -114.89796631
111  52.42163667 -114.89693046
111  52.42124790 -114.89593444
113  52.42128435 -114.89316553
120 Linear Feature 39
112  52.42897993 -114.90399524  52.42915025 -114.90371144 1
111  52.42932998 -114.90390471 1
111  52.43023202 -114.90485222
112  52.43023202 -114.90485222  52.43041188 -114.90508464 1
115  52.43031557 -114.90540820
120 Linear Feature 38
111  52.43201338 -114.90674761 1
111  52.43158814 -114.90630592
112  52.43158814 -114.90630592  52.43139699 -114.90614297 1
115  52.43125506 -114.90641456
120 Linear Feature 37
111  52.43102706 -114.90698374 1
111  52.43125506 -114.90641456
112  52.43125506 -114.90641456  52.43135820 -114.90606537 1
111  52.43117273 -114.90586672 1
111  52.43066963 -114.90532494
112  52.43066963 -114.90532494  52.43045434 -114.90511935 1
111  52.43031557 -114.90540820 1
111  52.42985244 -114.90660381
112  52.42985244 -114.90660381  52.42978022 -114.90678259 1
111  52.42967740 -114.90669062 1
111  52.42902853 -114.90599983 1
111  52.42854273 -114.90548264
112  52.42854273 -114.90548264  52.42843508 -114.90537091 1
111  52.42850618 -114.90519317 1
111  52.42897993 -114.90399524
112  52.42897993 -114.90399524  52.42907932 -114.90366309 1
111  52.42893120 -114.90347448 1
115  52.42854251 -114.90306050
120 Linear Feature 36
111  52.43121342 -114.90833432 1
115  52.43320433 -114.91049622
120 Linear Feature 35
111  52.43543496 -114.91166042 4
115  52.43533422 -114.91155889
120 Linear Feature 34
111  52.43108445 -114.90704405 4
111  52.43102706 -114.90698374 4
115  52.43097005 -114.90692383
120 Linear Feature 33
111  52.43015394 -114.90606426 4
115  52.42986217 -114.90575315
120 Linear Feature 32
111  52.42897102 -114.90480684 4
115  52.42868445 -114.90450493
21  52.43473448 -114.90894659 1 146.1300 3.00 13  VASI
21  52.42462965 -114.89954303 1 326.1400 3.00 31  VASI
14  52.43068897 -114.90847650  82.02 0 Tower Viewpoint
1300  52.43361740 -114.91152451 326.88 hangar jets|turboprops|props GA Hangar 15
1301 A none 
1300  52.43331422 -114.91119300 148.79 hangar jets|turboprops|props GA Hangar 14
1301 A none 
1300  52.43323133 -114.91146119 148.79 hangar jets|turboprops|props GA Hangar 13
1301 A none 
1300  52.43284299 -114.91139786 -32.03 hangar jets|turboprops|props GA Hangar 12
1301 A none 
1300  52.43294494 -114.91114840 -32.03 hangar jets|turboprops|props GA Hangar 11
1301 A none 
1300  52.43302239 -114.91091550 -32.03 hangar jets|turboprops|props GA Hangar 10
1301 A none 
1300  52.43276576 -114.91058434  57.38 hangar jets|turboprops|props GA Hangar 9
1301 A none 
1300  52.43220506 -114.91075169 324.61 hangar jets|turboprops|props GA Hangar 8
1301 A none 
1300  52.43253727 -114.91096797 146.05 hangar jets|turboprops|props GA Hangar 7
1301 A none 
1300  52.43160044 -114.90993082  57.30 hangar jets|turboprops|props GA Hangar 6
1301 A none 
1300  52.43156817 -114.90924677  59.47 hangar jets|turboprops|props GA Hangar 5
1301 A none 
1300  52.43132476 -114.90977148 148.45 hangar jets|turboprops|props GA Hangar 4
1301 A none 
1300  52.43111877 -114.90930703  58.51 hangar jets|turboprops|props GA Hangar 3
1301 A none 
1300  52.43099572 -114.90891579  58.30 hangar jets|turboprops|props GA Hangar 2
1301 A none 
1300  52.43018252 -114.90836035  58.32 hangar jets|turboprops|props GA Hangar 1
1301 A none 
1300  52.43081464 -114.90790481 145.76 tie_down jets|turboprops|props Main Terminal
1301 B airline 
1300  52.42902853 -114.90599983 146.80 tie_down jets|turboprops|props Waterbomber Ramp 1
1301 B general_aviation 
18  52.43068897 -114.90847650 1 BCN
19  52.43612391 -114.91012565 1 WS
19  52.42352764 -114.89904641 1 WS
51 12280 CTAF
99
