I
1050 Generated by WorldEditor

1   7707 0 0 MMSC [X] San Cristobal de las Casas
115  16.69299795 -092.54069977
120 Linear Feature 5
111  16.69307983 -092.54054295 20
115  16.69311779 -092.54064653
120 Linear Feature 18
111  16.68633417 -092.51997353 20
115  16.68632442 -092.51959862
120 Linear Feature 17
111  16.68645442 -092.51991925 20
115  16.68620417 -092.51965121
120 Linear Feature 16
111  16.68701303 -092.52137122 20
115  16.68676099 -092.52109877
120 Linear Feature 15
111  16.68688969 -092.52141973 20
115  16.68688075 -092.52105025
120 Linear Feature 14
111  16.68790834 -092.52410005 20
115  16.68790538 -092.52372529
120 Linear Feature 13
111  16.68802948 -092.52405070 20
115  16.68778277 -092.52377927
120 Linear Feature 12
111  16.68893416 -092.52676846 20
115  16.68894598 -092.52639215
120 Linear Feature 11
111  16.68906121 -092.52671448 20
115  16.68881893 -092.52648469
120 Linear Feature 10
111  16.68998533 -092.52948061 20
115  16.68998208 -092.52910230
120 Linear Feature 9
111  16.69010883 -092.52942802 20
115  16.68986020 -092.52916168
120 Linear Feature 8
111  16.69102421 -092.53221575 20
115  16.69103093 -092.53184140
120 Linear Feature 7
111  16.69115448 -092.53215966 20
115  16.69090334 -092.53189608
120 Linear Feature 6
111  16.69204853 -092.53487737 20
115  16.69204528 -092.53450924
120 Linear Feature 5
111  16.69217528 -092.53482139 20
115  16.69192341 -092.53455843
120 Linear Feature 4
111  16.69307360 -092.53752236 20
115  16.69307197 -092.53715422
120 Linear Feature 3
111  16.69320035 -092.53746807 20
115  16.69294847 -092.53720172
120 Linear Feature 2
111  16.69418970 -092.54041686 20
115  16.69419265 -092.54004208
120 Linear Feature 1
111  16.69431379 -092.54035825 20
115  16.69406413 -092.54009144
21  16.69403417 -092.53874921 2 111.8900 3.00 11  PAPI-4L
21  16.68650861 -092.52110473 2 291.9000 3.00 29  PAPI-4L
99
