I
1050 Generated by WorldEditor 2.0.0r4

1   1427 1 0 KDLH Duluth Intl
110 2 0.00 0.0000 New Taxiway 2
111  46.83752360 -092.19215746
111  46.83751604 -092.19185119
111  46.83773564 -092.19183919
111  46.83774121 -092.19214792
113  46.83773004 -092.19214848
110 2 0.00 0.0000 New Taxiway 9
111  46.84524862 -092.17410594
111  46.84566688 -092.17372109
111  46.84586552 -092.17418380
111  46.84545260 -092.17456970
113  46.84535110 -092.17433951
110 2 0.00 0.0000 New Taxiway 5
111  46.83922662 -092.19194738
111  46.83918450 -092.19194907
111  46.83891593 -092.19195982
111  46.83890960 -092.19159971
113  46.83921952 -092.19158248
110 2 0.00 0.0000 New Taxiway 15
111  46.84994845 -092.17029827
111  46.85004461 -092.17021369
111  46.85011950 -092.17014782
111  46.85015085 -092.17012025
111  46.85029358 -092.17045930
111  46.85010926 -092.17061896
111  46.85008271 -092.17064314
113  46.85001775 -092.17047681
110 2 0.00 0.0000 New Taxiway 20
111  46.84737930 -092.18684375
111  46.84796341 -092.18715798
111  46.84767402 -092.18832314
111  46.84709415 -092.18800657
111  46.84715396 -092.18776265
111  46.84716392 -092.18772204
113  46.84717344 -092.18768324
110 2 0.00 0.0000 New Taxiway 21
111  46.83841761 -092.19121996
111  46.83838757 -092.19004902
111  46.83853473 -092.19004182
113  46.83856243 -092.19121464
110 2 0.00 0.0000 New Taxiway 39
111  46.83873337 -092.19002909
111  46.83883151 -092.19002219
111  46.83886366 -092.19117151
113  46.83876713 -092.19117655
110 2 0.00 0.0000 New Taxiway 15
111  46.83979421 -092.17628996
112  46.83979421 -092.17628996  46.83980114 -092.17603174 3 102
112  46.84003416 -092.17589181  46.84013634 -092.17587060
111  46.84003416 -092.17589181 3 102
111  46.84023323 -092.17586549 3 102
111  46.84024757 -092.17586359 53 102
111  46.84044344 -092.17583728 51
111  46.84024350 -092.17618860 1
111  46.84024350 -092.17618860 1
111  46.84019646 -092.17627095 1
111  46.84010636 -092.17642868 1
111  46.84001655 -092.17658591 1
111  46.83992729 -092.17674217 1
113  46.83983284 -092.17690752 3 102
110 2 0.00 0.0000 New Taxiway 12
111  46.84769881 -092.17447076
111  46.84769128 -092.17447742
111  46.84768745 -092.17446685
113  46.84769499 -092.17446085
110 2 0.00 0.0000 New Taxiway 11
111  46.84742993 -092.17458617
111  46.84744032 -092.17458615
111  46.84744073 -092.17460076
113  46.84743003 -092.17460203
110 2 0.00 0.0000 New Taxiway 10
111  46.84716067 -092.17463510
111  46.84715029 -092.17463548
111  46.84715021 -092.17461960
113  46.84716026 -092.17461968
110 2 0.00 0.0000 New Taxiway 9
111  46.84684224 -092.17484860
111  46.84684587 -092.17484059
111  46.84685121 -092.17484574
113  46.84684805 -092.17485400
110 2 0.00 0.0000 New Taxiway 8
111  46.84778930 -092.17393146
111  46.84778104 -092.17393723
111  46.84777536 -092.17392343
113  46.84778354 -092.17391642
110 2 0.00 0.0000 New Taxiway 8
111  46.84781907 -092.17403621
111  46.84781006 -092.17403455
111  46.84781146 -092.17401793
113  46.84782108 -092.17401921
110 2 0.00 0.0000 New Taxiway 8
111  46.84783452 -092.17415517
111  46.84782957 -092.17414475
111  46.84783586 -092.17413870
113  46.84784069 -092.17414912
110 2 0.00 0.0000 New Taxiway 8
111  46.84784967 -092.17416160
111  46.84784472 -092.17415219
111  46.84785256 -092.17414408
113  46.84785780 -092.17415405
110 2 0.00 0.0000 New Taxiway 8
111  46.84788465 -092.17413015
111  46.84787958 -092.17411953
111  46.84788771 -092.17411263
113  46.84789213 -092.17412280
110 2 0.00 0.0000 New Taxiway 8
111  46.84793894 -092.17425858
111  46.84793446 -092.17424752
111  46.84794182 -092.17424063
113  46.84794639 -092.17425180
110 2 0.00 0.0000 New Taxiway 8
111  46.84794467 -092.17423782
111  46.84793975 -092.17422655
111  46.84794594 -092.17422060
113  46.84795074 -092.17423170
110 2 0.00 0.0000 New Taxiway 8
111  46.84790072 -092.17413362
111  46.84789581 -092.17412234
111  46.84790200 -092.17411639
113  46.84790680 -092.17412749
110 2 0.00 0.0000 New Taxiway 15
111  46.84150543 -092.21960466
111  46.84163703 -092.21968070
111  46.84178116 -092.21967337
111  46.84189333 -092.21960374
111  46.84190615 -092.21963463 53 102
111  46.84213605 -092.21927538 53 102
112  46.84221423 -092.21890527  46.84221031 -092.21867031
111  46.84221423 -092.21890527
111  46.84223214 -092.21890447
111  46.84226266 -092.22030648
111  46.84225730 -092.22030678 53
111  46.84210412 -092.22031544 53 102
111  46.84181191 -092.22033195 53 102
112  46.84165768 -092.22043970  46.84159523 -092.22053259
111  46.84165768 -092.22043970 53 102
111  46.84164493 -092.22045985 53 102
111  46.84153097 -092.22064007 53 102
112  46.84151728 -092.22065052  46.84151007 -092.22065170
111  46.84151728 -092.22065052 53 102
111  46.84125338 -092.22066577 53 102
111  46.84104012 -092.22037995 53 102
111  46.84102232 -092.21975864
112  46.84102232 -092.21975864  46.84110039 -092.21964887 53 102
111  46.84111094 -092.21952575
111  46.84119360 -092.21949979
111  46.84136345 -092.21944645
113  46.84138384 -092.21944005
110 2 0.00 0.0000 New Taxiway 14
111  46.84210526 -092.21441746
111  46.84202922 -092.21442055
111  46.84202896 -092.21452493
111  46.84198848 -092.21452883
111  46.84198051 -092.21425586
111  46.84202275 -092.21425406
111  46.84202626 -092.21435879
113  46.84210336 -092.21435385
110 2 0.00 0.0000 New Taxiway 13
111  46.84079718 -092.21172524
111  46.84166571 -092.21167375
111  46.84165840 -092.21133669
112  46.84165840 -092.21133669  46.84200209 -092.21123791
111  46.84199849 -092.21071811
111  46.84203747 -092.21172851
111  46.84202237 -092.21170612
112  46.84202237 -092.21170612  46.84200594 -092.21153673 53 102
112  46.84174343 -092.21158680  46.84163014 -092.21170869
111  46.84174343 -092.21158680
112  46.84174343 -092.21158680  46.84174055 -092.21158990 53 102
112  46.84173487 -092.21159647  46.84173204 -092.21159982
111  46.84173487 -092.21159647 53 102
111  46.84143407 -092.21207021 53 102
112  46.84141797 -092.21209050  46.84140749 -092.21210255
111  46.84141797 -092.21209050
112  46.84141797 -092.21209050  46.84137299 -092.21214219 53 102
112  46.84107389 -092.21210277  46.84090932 -092.21194184
113  46.84107389 -092.21210277 53 102
110 2 0.00 0.0000 New Taxiway 1
111  46.84207472 -092.19909302
111  46.84204138 -092.19775737
111  46.84206043 -092.19775273
112  46.84206043 -092.19775273  46.84211433 -092.19813211 53 102
111  46.84237459 -092.19814973 53 102
111  46.84268804 -092.19813109 53 102
111  46.84306921 -092.19810843 53 102
112  46.84327793 -092.19778912  46.84330024 -092.19750169
111  46.84327793 -092.19778912 53 102
111  46.84332369 -092.19683052 53 102
112  46.84332603 -092.19669066  46.84332556 -092.19663354
111  46.84332603 -092.19669066 53 102
111  46.84329681 -092.19558605 53 102
112  46.84360034 -092.19272752  46.84395403 -092.19128044
111  46.84360034 -092.19272752 53 102
111  46.84518350 -092.18631715
111  46.84544395 -092.18645148
111  46.84543105 -092.18650741
112  46.84543105 -092.18650741  46.84538227 -092.18681155 53 102
111  46.84555598 -092.18690722 53 102
111  46.84558307 -092.18692154 53
111  46.84562320 -092.18694274 53
111  46.84602751 -092.18715638 53
112  46.84634434 -092.18693663  46.84645162 -092.18663528
111  46.84634434 -092.18693663 53
111  46.84637966 -092.18679184
111  46.84657374 -092.18599627
111  46.84735079 -092.18640674
111  46.84730845 -092.18657401
111  46.84732324 -092.18662726
111  46.84740310 -092.18667061
111  46.84735957 -092.18683461
111  46.84737930 -092.18684375
111  46.84717344 -092.18768324
111  46.84716392 -092.18772204
111  46.84715396 -092.18776265
111  46.84709415 -092.18800657
111  46.84707693 -092.18799844
111  46.84707155 -092.18801948 53
111  46.84555498 -092.18722155 53
111  46.84551377 -092.18719987 53 102
111  46.84550701 -092.18719631 53 102
112  46.84522333 -092.18735369  46.84512098 -092.18760493
111  46.84522333 -092.18735369 53 102
111  46.84493614 -092.18821484
112  46.84493614 -092.18821484  46.84491795 -092.18826741 53 102
111  46.84489406 -092.18835471 53 102
111  46.84392603 -092.19227383
111  46.84386275 -092.19253506
111  46.84382086 -092.19270795
111  46.84374905 -092.19300439
112  46.84374905 -092.19300439  46.84345130 -092.19433288 53 102
111  46.84349812 -092.19557032 53 102
111  46.84355859 -092.19776522
112  46.84355859 -092.19776522  46.84355953 -092.19791636 53 102
112  46.84302014 -092.19862604  46.84252967 -092.19872230
111  46.84302014 -092.19862604 53 102
111  46.84269968 -092.19864366 53 102
111  46.84239441 -092.19866045 53 102
112  46.84209650 -092.19909197  46.84204577 -092.19948361
113  46.84209650 -092.19909197
110 2 0.00 0.0000 New Taxiway 12
111  46.83774940 -092.19359077
111  46.83772833 -092.19283196
111  46.83773528 -092.19283138
111  46.83773492 -092.19282208
111  46.83773846 -092.19282180
111  46.83774301 -092.19282145
111  46.83774301 -092.19283074
111  46.83775043 -092.19283025
113  46.83776980 -092.19358927
110 2 0.00 0.0000 New Taxiway 17
111  46.83705984 -092.19021190
111  46.83697906 -092.18987410
111  46.83715021 -092.18978688
111  46.83728878 -092.18971621
113  46.83736921 -092.19005572
110 2 0.00 0.0000 New Taxiway 19
111  46.83793779 -092.18874533
111  46.83795222 -092.18880158
111  46.83794634 -092.18885158
111  46.83789691 -092.18887599
111  46.83795682 -092.18911602
111  46.83780330 -092.18920011
111  46.83775629 -092.18900159
111  46.83764762 -092.18905627
113  46.83761464 -092.18891125
110 2 0.00 0.0000 New Taxiway 18
111  46.84463717 -092.19260686
111  46.84464538 -092.19257646
111  46.84540332 -092.19297427
113  46.84539540 -092.19300529
110 2 0.00 0.0000 New Taxiway 18
111  46.84444070 -092.19339667
111  46.84444889 -092.19336619
111  46.84520496 -092.19376506
113  46.84519706 -092.19379616
110 2 0.00 0.0000 New Taxiway 25
111  46.83950876 -092.18919446
111  46.83944480 -092.18919722
111  46.83944159 -092.18905876
113  46.83950687 -092.18905544
110 2 0.00 0.0000 New Taxiway 28
111  46.84016393 -092.18861721
111  46.84015623 -092.18861882
111  46.84013107 -092.18857307
111  46.84021130 -092.18846387
113  46.84024070 -092.18851168
110 2 0.00 0.0000 New Taxiway 27
111  46.83970298 -092.18896061
111  46.83970767 -092.18896029
111  46.83971750 -092.18897449
111  46.83970680 -092.18899604
111  46.83970276 -092.18899572
113  46.83969217 -092.18898200
110 2 0.00 0.0000 New Taxiway 3
111  46.83625879 -092.18920789
112  46.83653770 -092.18916152  46.83662262 -092.18911976
111  46.83653770 -092.18916152
112  46.83653770 -092.18916152  46.83652806 -092.18920294
112  46.83654146 -092.18927478  46.83655231 -092.18930991
111  46.83654146 -092.18927478
111  46.83643961 -092.18943658
113  46.83629975 -092.18925969
110 2 0.00 0.0000 New Taxiway 30
111  46.84127368 -092.18831725
111  46.84126807 -092.18805211
111  46.84131126 -092.18804855
111  46.84131461 -092.18815083
111  46.84139126 -092.18814860
111  46.84139369 -092.18820686
111  46.84131522 -092.18821175
113  46.84131681 -092.18831442
110 2 0.00 0.0000 New Taxiway 33
111  46.84226351 -092.18816268
111  46.84226165 -092.18807875
111  46.84229351 -092.18807875
111  46.84229349 -092.18805450
111  46.84233134 -092.18805345
111  46.84233347 -092.18816083
111  46.84232228 -092.18816051
111  46.84232194 -092.18814582
111  46.84227439 -092.18814835
113  46.84227464 -092.18816201
110 2 0.00 0.0000 New Taxiway 32
111  46.84090783 -092.18823212
111  46.84084974 -092.18823470
111  46.84084979 -092.18824906
111  46.84083715 -092.18824908
111  46.84083476 -092.18812923
111  46.84088249 -092.18812906
111  46.84088316 -092.18816322
111  46.84091754 -092.18816188
111  46.84091954 -092.18824470
113  46.84090820 -092.18824533
110 2 0.00 0.0000 New Taxiway 31
111  46.84187113 -092.18827653
111  46.84186759 -092.18817307
111  46.84179658 -092.18817651
111  46.84179629 -092.18811545
111  46.84186711 -092.18811312
111  46.84186408 -092.18800916
111  46.84190773 -092.18800620
113  46.84191452 -092.18827622
110 2 0.00 0.0000 New Taxiway 37
111  46.84730880 -092.17758963
111  46.84730542 -092.17758164
112  46.84731755 -092.17753845  46.84731298 -092.17750821
111  46.84731755 -092.17753845
111  46.84708002 -092.17697231
112  46.84704833 -092.17696036  46.84703115 -092.17697015
111  46.84704833 -092.17696036
111  46.84702084 -092.17698558
111  46.84700310 -092.17694578
111  46.84704043 -092.17690991
112  46.84704414 -092.17688880  46.84704225 -092.17687900
111  46.84704414 -092.17688880
111  46.84702187 -092.17683906
111  46.84705012 -092.17681524
111  46.84707053 -092.17686137
111  46.84711074 -092.17682519
111  46.84712291 -092.17685262
111  46.84708146 -092.17688820
111  46.84714559 -092.17703804
111  46.84717301 -092.17701241
111  46.84732243 -092.17736494
111  46.84729451 -092.17739028
111  46.84734506 -092.17750794
112  46.84734506 -092.17750794  46.84736017 -092.17752917
111  46.84738115 -092.17751376
113  46.84738453 -092.17752092
110 2 0.00 0.0000 New Taxiway 14
111  46.83940618 -092.18223714
111  46.83939335 -092.18223767 1
111  46.83930727 -092.18224122 1
111  46.83906179 -092.18225133 1
111  46.83901920 -092.18220857 1
111  46.83856128 -092.18174879
111  46.83855999 -092.18162062
111  46.83861912 -092.18161869
111  46.83859226 -092.18065867
111  46.83863536 -092.18065791
111  46.83862348 -092.18021266
111  46.83863347 -092.18021266
111  46.83862440 -092.17984221
111  46.83861132 -092.17984176
111  46.83860044 -092.17940147
111  46.83855965 -092.17940178
111  46.83853728 -092.17856131
111  46.83848025 -092.17856168
111  46.83847644 -092.17844644
111  46.83852317 -092.17836705
112  46.83853606 -092.17836854  46.83854658 -092.17836247
111  46.83853606 -092.17836854
111  46.83858147 -092.17833246
111  46.83871831 -092.17832267
111  46.83872769 -092.17867590 1
111  46.83948328 -092.17863259
112  46.83948328 -092.17863259  46.83957363 -092.17861818
111  46.83961757 -092.17857135
111  46.83970126 -092.18160301
112  46.83970126 -092.18160301  46.83970048 -092.18164407
111  46.83969494 -092.18166026
111  46.83960629 -092.18190287
112  46.83960629 -092.18190287  46.83960139 -092.18191295
111  46.83959137 -092.18192695
111  46.83949741 -092.18201227
111  46.83949320 -092.18202064
113  46.83948710 -092.18201550
110 1 0.00 0.0000 New Taxiway 1
111  46.84216301 -092.22046747
111  46.84185729 -092.22047591
112  46.84171847 -092.22055320  46.84167680 -092.22061590
111  46.84171847 -092.22055320
111  46.84156946 -092.22078613
111  46.84121442 -092.22080773
111  46.84094180 -092.22044015
111  46.84092443 -092.21970126
112  46.84101195 -092.21949358  46.84101255 -092.21940242
111  46.84101195 -092.21949358
111  46.84108908 -092.21927306 3 102
111  46.84076153 -092.21715097 3
111  46.84065295 -092.21644750 3 102
111  46.83982199 -092.21106388 3 102
112  46.83981433 -092.21094917  46.83981323 -092.21089015
111  46.83981433 -092.21094917 3 102
111  46.83976657 -092.20921607 3
111  46.83972439 -092.20768539 3 102
111  46.83961724 -092.20379655 102
112  46.83955645 -092.20364640  46.83952882 -092.20361835
111  46.83955645 -092.20364640
111  46.83951107 -092.20185584 102
112  46.83955992 -092.20171301  46.83956499 -092.20165779
111  46.83955992 -092.20171301 102
111  46.83953691 -092.20080791 102
112  46.83951509 -092.20073890  46.83949873 -092.20069373
111  46.83951509 -092.20073890
112  46.83947720 -092.20066541  46.83946106 -092.20064094
111  46.83947720 -092.20066541
111  46.83946790 -092.20007568
111  46.83971755 -092.20006535
111  46.83985673 -092.20005959
111  46.83985673 -092.20012095
112  46.83972197 -092.20021882  46.83968547 -092.20027325
111  46.83972197 -092.20021882 3
111  46.83972348 -092.20028060 3
111  46.83973430 -092.20072448
112  46.83973430 -092.20072448  46.83974504 -092.20084536 3 102
112  46.83984940 -092.20081227  46.83987246 -092.20078485
111  46.83984940 -092.20081227 3 102
111  46.84016889 -092.20030544 3 102
111  46.84030531 -092.20004849 3 102
112  46.84038095 -092.19976161  46.84039321 -092.19958703
111  46.84038095 -092.19976161 3 102
111  46.84039105 -092.19943480 3 102
112  46.84039154 -092.19935116  46.84039182 -092.19931281
111  46.84039154 -092.19935116 3 102
111  46.84034843 -092.19785892 102
112  46.84014543 -092.19758517  46.83996476 -092.19755796
111  46.84014543 -092.19758517 3 102
111  46.83998872 -092.19759278 53 102
111  46.83989071 -092.19759753
112  46.83995003 -092.19755920  46.83997432 -092.19755333
111  46.83995003 -092.19755920
111  46.83994623 -092.19744914
111  46.83994260 -092.19734403
112  46.83987624 -092.19730468  46.83986758 -092.19728553
111  46.83987624 -092.19730468 102
112  46.84028235 -092.19683695  46.84033940 -092.19632324
111  46.84028235 -092.19683695 102
111  46.84027985 -092.19671920 102
111  46.84031607 -092.19662945 3 102
111  46.84024542 -092.19403930 3 102
112  46.84017978 -092.19388530  46.84011797 -092.19382654
111  46.84017978 -092.19388530
111  46.84017774 -092.19377305
111  46.84017627 -092.19369207
111  46.84017491 -092.19361727
112  46.84022619 -092.19347484  46.84023957 -092.19337124
111  46.84022619 -092.19347484
111  46.84022476 -092.19341913 3 102
111  46.84016629 -092.19114673
111  46.84015713 -092.19104081
111  46.84018572 -092.19104125
111  46.84018212 -092.19091457
112  46.84000063 -092.19063426  46.83984043 -092.19062220
111  46.84000063 -092.19063426
111  46.83966700 -092.19064796
111  46.83966900 -092.19074691
111  46.83963653 -092.19078013
111  46.83926580 -092.19080288
111  46.83926330 -092.19069493
111  46.83925925 -092.19068313
111  46.83925415 -092.19054619
111  46.83925724 -092.19053534
111  46.83925580 -092.19047113
111  46.83925016 -092.19046169
111  46.83924979 -092.19045588
111  46.83921762 -092.19046010
111  46.83909181 -092.19047288
111  46.83909026 -092.19041393
111  46.83930743 -092.19039593
111  46.83930246 -092.19017391
111  46.83924523 -092.19017700
111  46.83922402 -092.18945778
111  46.83920448 -092.18945910
111  46.83919746 -092.18915089
111  46.83919283 -092.18912723
111  46.83913269 -092.18902021
112  46.83898973 -092.18894880  46.83892737 -092.18896881
111  46.83898973 -092.18894880 21
111  46.83878780 -092.18903953
111  46.83871435 -092.18906849
112  46.83864358 -092.18915802  46.83862901 -092.18921423
111  46.83864358 -092.18915802
111  46.83865510 -092.18960633
112  46.83865510 -092.18960633  46.83865774 -092.18963026
111  46.83868307 -092.18964722
111  46.83872503 -092.18964466
111  46.83872778 -092.18973265
111  46.83868932 -092.18973922
112  46.83865944 -092.18978193  46.83865488 -092.18981083
111  46.83865944 -092.18978193
111  46.83866037 -092.18991751
112  46.83866037 -092.18991751  46.83867071 -092.19002690
111  46.83873337 -092.19002909
111  46.83873337 -092.19002909
111  46.83876713 -092.19117655
111  46.83876713 -092.19117655
111  46.83876962 -092.19126126
111  46.83876962 -092.19126126
111  46.83824237 -092.19128975
111  46.83824140 -092.19122061
111  46.83828032 -092.19121513
111  46.83824969 -092.19004066
112  46.83835708 -092.18985644  46.83846440 -092.18981215
111  46.83835708 -092.18985644
111  46.83853228 -092.18984396
112  46.83858969 -092.18972274  46.83858867 -092.18960343
111  46.83858969 -092.18972274
111  46.83857797 -092.18923805
112  46.83853239 -092.18918511  46.83849650 -092.18918600
111  46.83853239 -092.18918511
111  46.83828943 -092.18930757
111  46.83832606 -092.18946182
111  46.83830489 -092.18949635
111  46.83824198 -092.18923242
111  46.83828277 -092.18921112
111  46.83829026 -092.18923515
111  46.83830546 -092.18922481
111  46.83830005 -092.18920351
111  46.83840140 -092.18915179
111  46.83840848 -092.18917735
111  46.83842784 -092.18916761
111  46.83842159 -092.18914053
111  46.83901476 -092.18884004
112  46.83901476 -092.18884004  46.83906342 -092.18882714
111  46.83914165 -092.18891627
112  46.83920760 -092.18880074  46.83922598 -092.18879982
111  46.83920760 -092.18880074
111  46.83920280 -092.18853304
111  46.83744905 -092.18942235
111  46.83749473 -092.18961162
111  46.83772382 -092.18949332
111  46.83774594 -092.18952017
111  46.83769541 -092.18960951
111  46.83751965 -092.18970410
111  46.83752053 -092.19010415
111  46.83735513 -092.19025896
111  46.83741123 -092.19038409
111  46.83732204 -092.19045874
111  46.83733930 -092.19049870
111  46.83705039 -092.19075658
111  46.83700291 -092.19065312
111  46.83703330 -092.19062329
111  46.83684463 -092.19003960
111  46.83664310 -092.19014202 3
111  46.83648658 -092.18951263 3
112  46.83647184 -092.18947734  46.83646389 -092.18946722
111  46.83647184 -092.18947734 3
111  46.83643961 -092.18943658 3
111  46.83629975 -092.18925969 3 102
111  46.83625879 -092.18920789 3 102
111  46.83623586 -092.18917889 3 102
111  46.83613855 -092.18905581 3 102
112  46.83606510 -092.18893255  46.83603029 -092.18886154
111  46.83606510 -092.18893255 3 102
111  46.83590112 -092.18854785
111  46.83586302 -092.18855140
111  46.83564052 -092.18802465
111  46.83566749 -092.18800056
111  46.83608148 -092.18833314 3
111  46.83606200 -092.18839037 3 102
112  46.83607145 -092.18858361  46.83611125 -092.18868054
111  46.83607145 -092.18858361 3 102
111  46.83618568 -092.18885408
112  46.83618568 -092.18885408  46.83621794 -092.18891277 3 102
112  46.83628446 -092.18896263  46.83631658 -092.18897980
111  46.83628446 -092.18896263
112  46.83628446 -092.18896263  46.83635615 -092.18900095 3 102
111  46.83641652 -092.18896194 3 102
111  46.83796488 -092.18800129 3 102
112  46.83803584 -092.18779046  46.83802232 -092.18763947
111  46.83803584 -092.18779046 3 102
111  46.83796333 -092.18749285 3 102
111  46.83784909 -092.18702390 3 102
112  46.83766183 -092.18692265  46.83752970 -092.18699895
111  46.83766183 -092.18692265
111  46.83747130 -092.18638757
111  46.83748921 -092.18636629
112  46.83748921 -092.18636629  46.83753956 -092.18630146 3 102
112  46.83763968 -092.18572254  46.83760305 -092.18535681
111  46.83763968 -092.18572254 3 102
111  46.83760052 -092.18533424 3 102
111  46.83753133 -092.18464812 3 102
112  46.83776357 -092.18391166  46.83803802 -092.18362140
111  46.83776357 -092.18391166 3 102
111  46.83921143 -092.18261588 3 102
111  46.83934612 -092.18249533
112  46.83934612 -092.18249533  46.83941119 -092.18243664 3 102
112  46.83939335 -092.18223767  46.83935789 -092.18216818
111  46.83939335 -092.18223767
111  46.83940618 -092.18223714
111  46.83948710 -092.18201550
111  46.83949320 -092.18202064
111  46.83949741 -092.18201227
111  46.83959137 -092.18192695
112  46.83960629 -092.18190287  46.83961118 -092.18189278
111  46.83960629 -092.18190287
111  46.83969494 -092.18166026
112  46.83970126 -092.18160301  46.83970204 -092.18156195
