I
1050 Generated by WorldEditor 1.7.1r2

1     14 1 0 MTCH Cap Haitien Intl
111  19.73289028 -072.19483413
112  19.73289028 -072.19483413  19.73267689 -072.19483636 51
111  19.73258028 -072.19491289 51
115  19.73213589 -072.19530172
120 Linear Feature 8
111  19.73360698 -072.19402357 51
111  19.73319878 -072.19438522
112  19.73319878 -072.19438522  19.73292826 -072.19467632 51
111  19.73326807 -072.19487170 51
111  19.73470830 -072.19502398
112  19.73470830 -072.19502398  19.73480520 -072.19502675 51
111  19.73488905 -072.19494530 51
111  19.73493790 -072.19490265 51
111  19.73509563 -072.19476497 51
111  19.73521466 -072.19466106 51
111  19.73538260 -072.19451446 51
111  19.73549695 -072.19441463 51
111  19.73568067 -072.19425425 51
111  19.73572930 -072.19421181
112  19.73572930 -072.19421181  19.73579613 -072.19414312 51
111  19.73573808 -072.19401444 51
111  19.73500956 -072.19309576
112  19.73500956 -072.19309576  19.73488299 -072.19293685 51
111  19.73471808 -072.19305764 51
115  19.73429237 -072.19342765
21  19.72053539 -072.20598673 1 38.4941 3.00 05  PAPI-4L
21  19.73404983 -072.19297676 2 219.1836 3.00 23  PAPI-4L
14  19.73674037 -072.19443612  82.02 0 Tower Viewpoint
1300  19.72601350 -072.20240319  39.22 tie_down jets|turboprops|props Ramp GA 08
1301 B general_aviation 
1300  19.72674793 -072.20176452 -141.93 tie_down jets|turboprops|props Ramp GA 07
1301 B general_aviation 
1300  19.72655337 -072.20144848 -51.97 tie_down turboprops|props Ramp GA 06
1301 A general_aviation 
1300  19.72643663 -072.20154583 -51.97 tie_down turboprops|props Ramp GA 05
1301 A general_aviation 
1300  19.72632241 -072.20164184 -51.97 tie_down turboprops|props Ramp GA 04
1301 A general_aviation 
1300  19.72620818 -072.20173785 -51.97 tie_down turboprops|props Ramp GA 03
1301 A general_aviation 
1300  19.72609395 -072.20183386 -51.97 tie_down turboprops|props Ramp GA 02
1301 A general_aviation 
1300  19.72597889 -072.20192924 -51.97 tie_down turboprops|props Ramp GA 01
1301 A general_aviation 
1300  19.73542535 -072.19535333 -50.17 gate jets|turboprops Gate 03
1301 C airline 
1300  19.73569437 -072.19509829 -50.89 gate jets|turboprops Gate 02
1301 C airline 
1300  19.73598548 -072.19485462 -50.94 gate jets|turboprops Gate 01
1301 C airline 
18  19.73582034 -072.19326787 1 Airport Beacon
19  19.73497936 -072.19391693 0 Windsock
54 11870 Cap Haitien Tower
51 12280 Cap Haitien Unicom
99
