I
1050 Generated by WorldEditor 1.7.1r2

1    254 0 0 PHJH Lahaina Kapalua Airport
111  20.96252743 -156.67401694
111  20.96256258 -156.67389018
111  20.96263417 -156.67365662
114  20.96261880 -156.67355437  20.96258046 -156.67350470
130 Airport Boundary 
111  20.96088041 -156.67473066
111  20.95876845 -156.67595796
111  20.95836923 -156.67515098
111  20.96785920 -156.66977990
111  20.96824428 -156.67056359
111  20.96313924 -156.67345778
111  20.96299829 -156.67366828
111  20.96282346 -156.67423412
111  20.96321989 -156.67479722
111  20.96267626 -156.67510289
111  20.96279551 -156.67534367
113  20.96154279 -156.67603536
120 Linear Feature 75
111  20.96163110 -156.67538399 1
115  20.96163115 -156.67536585
120 Linear Feature 43
111  20.96141992 -156.67517811 1
111  20.96151697 -156.67537098 1
111  20.96154017 -156.67541708 1
112  20.96158054 -156.67540982  20.96160631 -156.67539492 1
115  20.96161596 -156.67537435
120 Linear Feature 45
111  20.96151697 -156.67537098 2
111  20.96161596 -156.67537435 1
111  20.96163106 -156.67537486 1
111  20.96165786 -156.67537577 2
115  20.96179520 -156.67538045
120 Linear Feature 61
111  20.96199386 -156.67517733 1
115  20.96199461 -156.67515710
120 Linear Feature 59
111  20.96189693 -156.67516367 2
111  20.96197982 -156.67516666 2
111  20.96199447 -156.67516726 2
111  20.96202250 -156.67516842 2
115  20.96215843 -156.67517401
120 Linear Feature 61
111  20.96235875 -156.67497202 1
115  20.96235949 -156.67495180
120 Linear Feature 59
111  20.96226182 -156.67495836 2
111  20.96234470 -156.67496135 2
111  20.96235903 -156.67496187 2
111  20.96238578 -156.67496283 2
115  20.96252726 -156.67496794
120 HOLD A
111  20.96278783 -156.67396864 54
111  20.96267920 -156.67393525 54
115  20.96257335 -156.67390271
120 HOLD A
111  20.96125632 -156.67467561 54
111  20.96116086 -156.67473076 54
115  20.96106489 -156.67478622
120 Linear Feature 54
111  20.96190714 -156.67490161 1
111  20.96203706 -156.67515839 1
111  20.96209586 -156.67516130 1
111  20.96210744 -156.67516187 2
115  20.96219239 -156.67516606
120 Linear Feature 52
111  20.96170901 -156.67501624 1
111  20.96183837 -156.67527232 1
111  20.96189432 -156.67527404 1
111  20.96190856 -156.67527447 1
115  20.96199246 -156.67527706
120 Linear Feature 58
111  20.96214952 -156.67476896 1
111  20.96227012 -156.67500804 1
112  20.96231606 -156.67499440  20.96233455 -156.67497939 1
115  20.96234470 -156.67496135
120 Linear Feature 65
111  20.96198866 -156.67519934 20
111  20.96204145 -156.67530282 20
111  20.96229854 -156.67515654 20
111  20.96235014 -156.67503006 20
115  20.96233343 -156.67499748
120 Linear Feature 73
111  20.96277591 -156.67450263 1
111  20.96276735 -156.67450125 1
115  20.96275896 -156.67449990
120 Linear Feature 73
111  20.96262446 -156.67468313 1
111  20.96261616 -156.67468050 1
115  20.96260803 -156.67467791
120 Linear Feature 73
111  20.96272209 -156.67487124 1
111  20.96271785 -156.67486315 1
115  20.96271370 -156.67485523
120 Linear Feature 72
111  20.96275689 -156.67456430 1
115  20.96276735 -156.67450125
120 Linear Feature 72
111  20.96260013 -156.67473553 1
115  20.96261616 -156.67468050
120 Linear Feature 72
111  20.96266668 -156.67489291 1
115  20.96271785 -156.67486315
120 Linear Feature 67
111  20.96187185 -156.67523115 1
115  20.96186498 -156.67524548
120 Linear Feature 66
111  20.96187642 -156.67524345 1
115  20.96186076 -156.67523493
120 Linear Feature 62
111  20.96235849 -156.67498439 20
111  20.96238056 -156.67502815 20
111  20.96232091 -156.67517826 20
111  20.96230987 -156.67518433 20
115  20.96233108 -156.67522535
120 Linear Feature 60
111  20.96202250 -156.67516842 1
112  20.96203187 -156.67510242  20.96202620 -156.67506026
111  20.96203187 -156.67510242
112  20.96203187 -156.67510242  20.96202047 -156.67505949 1
112  20.96197537 -156.67503470  20.96196165 -156.67502863 1
111  20.96194626 -156.67502851 1
115  20.96190689 -156.67494930
120 Linear Feature 60
111  20.96238578 -156.67496272 1
112  20.96239598 -156.67489903  20.96239031 -156.67485687 1
112  20.96234813 -156.67483246  20.96233441 -156.67482639 1
111  20.96231115 -156.67482320 1
115  20.96227178 -156.67474399
120 Linear Feature 58
111  20.96178463 -156.67497426 1
111  20.96190523 -156.67521335 1
112  20.96195117 -156.67519971  20.96196967 -156.67518469 1
115  20.96197982 -156.67516666
120 Linear Feature 57
111  20.96214008 -156.67514761 1
115  20.96213064 -156.67513196
120 Linear Feature 56
111  20.96209621 -156.67515222 1
115  20.96209561 -156.67516947
120 Linear Feature 55
111  20.96210744 -156.67516187 1
112  20.96214300 -156.67511968  20.96215159 -156.67508309 1
111  20.96211866 -156.67506066 1
115  20.96207643 -156.67497749
120 Linear Feature 53
111  20.96190856 -156.67527447 1
112  20.96194553 -156.67522890  20.96194941 -156.67519408 1
111  20.96192197 -156.67517588 1
115  20.96187753 -156.67508964
120 Linear Feature 74
111  20.96189433 -156.67528361 1
115  20.96189493 -156.67526477
120 Linear Feature 51
111  20.96168060 -156.67541694 1
115  20.96167122 -156.67539939
120 Linear Feature 50
111  20.96155712 -156.67526872 1
115  20.96154924 -156.67525301
120 Linear Feature 49
111  20.96157968 -156.67547438 1
111  20.96157444 -156.67546565 1
115  20.96156881 -156.67545627
120 Linear Feature 49
111  20.96147833 -156.67531617 1
111  20.96147308 -156.67530744 1
115  20.96146745 -156.67529806
120 Linear Feature 48
111  20.96169870 -156.67539597 1
115  20.96157444 -156.67546565
120 Linear Feature 48
111  20.96157706 -156.67524798 1
115  20.96147308 -156.67530744
120 Linear Feature 46
111  20.96163170 -156.67529307 1
111  20.96162419 -156.67529316 1
115  20.96161430 -156.67529329
120 Linear Feature 47
111  20.96162405 -156.67530634 1
115  20.96162419 -156.67529316
120 Linear Feature 44
111  20.96165786 -156.67537577 1
111  20.96166803 -156.67534403 1
112  20.96165042 -156.67527090  20.96162422 -156.67523319 1
111  20.96158214 -156.67523503 1
115  20.96154134 -156.67515225
120 Linear Feature 42
111  20.95985301 -156.67497920 53
111  20.95967761 -156.67524411 53
111  20.95939003 -156.67540692 53
115  20.95932613 -156.67528219
120 Linear Feature 41
111  20.96670359 -156.67110579 53
111  20.96676683 -156.67123073 53
111  20.96652352 -156.67136902 53
115  20.96619858 -156.67138655
120 Linear Feature 40
111  20.96249873 -156.67348542 53
112  20.96264086 -156.67351088  20.96270839 -156.67357326 53
111  20.96268384 -156.67365065 53
111  20.96251996 -156.67423180 53
112  20.96248110 -156.67431812  20.96245791 -156.67435234 53
111  20.96240668 -156.67438181 53
111  20.96154992 -156.67486595 53
112  20.96138056 -156.67488194  20.96128718 -156.67485082 53
111  20.96125131 -156.67475214 53
111  20.96109484 -156.67444021 53
112  20.96108618 -156.67432497  20.96110659 -156.67427397 53
115  20.96113318 -156.67425940
120 Linear Feature 39
111  20.96079522 -156.67445014 53
112  20.96088756 -156.67444278  20.96094384 -156.67446066 53
111  20.96097002 -156.67451269 53
115  20.96155681 -156.67568034
120 Linear Feature 38
111  20.96298494 -156.67321510 53
112  20.96295452 -156.67325007  20.96294163 -156.67327656 53
111  20.96293299 -156.67331206 53
111  20.96268994 -156.67415759 53
111  20.96293167 -156.67469966 53
111  20.96289516 -156.67472082 53
111  20.96292781 -156.67479210 53
111  20.96289860 -156.67485465 53
115  20.96266411 -156.67498389
120 Linear Feature 36
111  20.96164069 -156.67381816 51
111  20.96115954 -156.67409168 51
112  20.96102101 -156.67424798  20.96097648 -156.67435792
111  20.96102101 -156.67424798
112  20.96102101 -156.67424798  20.96097091 -156.67437315 51
115  20.96103067 -156.67447396
120 Linear Feature 35
111  20.96352690 -156.67275322 51
111  20.96301476 -156.67304331 51
112  20.96293138 -156.67311605  20.96289994 -156.67315744 51
111  20.96287912 -156.67323758 51
111  20.96278236 -156.67357567 51
111  20.96267920 -156.67393525 57
111  20.96259215 -156.67424028 57
112  20.96255206 -156.67433872  20.96252594 -156.67438471
111  20.96255206 -156.67433872
112  20.96255206 -156.67433872  20.96254439 -156.67435222 51
112  20.96252598 -156.67437605  20.96251627 -156.67438694
111  20.96252598 -156.67437605
112  20.96252598 -156.67437605  20.96248320 -156.67442406 51
111  20.96243852 -156.67444702 51
111  20.96156676 -156.67493899 51
112  20.96145809 -156.67496839  20.96139589 -156.67497280
111  20.96145809 -156.67496839
112  20.96145809 -156.67496839  20.96142322 -156.67497086 57
112  20.96134407 -156.67494837  20.96130473 -156.67492987
111  20.96134407 -156.67494837
112  20.96134407 -156.67494837  20.96124140 -156.67490883 57
111  20.96119473 -156.67479756 57
111  20.96116086 -156.67473076 51
111  20.96103067 -156.67447396 51
112  20.96086831 -156.67433934  20.96074452 -156.67430977 51
111  20.96063785 -156.67438599 51
115  20.96017772 -156.67464626
120 Linear Feature 64
111  20.96162479 -156.67540534 20
111  20.96167788 -156.67550978 20
111  20.96201639 -156.67531623 20
115  20.96196420 -156.67521339
120 Linear Feature 63
111  20.96230654 -156.67523894 20
111  20.96228691 -156.67519838 20
111  20.96166595 -156.67554907 20
115  20.96160063 -156.67541972
120 Linear Feature 37
111  20.96278236 -156.67357567 51
112  20.96270562 -156.67336026  20.96259842 -156.67327196
111  20.96270562 -156.67336026
112  20.96270562 -156.67336026  20.96260048 -156.67327803 51
111  20.96249376 -156.67333582 51
115  20.96201294 -156.67360757
14  20.96205704 -156.67550544  82.02 0 ATC
1300  20.96271785 -156.67486315  28.61 gate turboprops|props CARGO 01
1301 A cargo 
1300  20.96261616 -156.67468050  72.73 gate turboprops|props CARGO 02
1301 A cargo 
1300  20.96276735 -156.67450125  79.54 gate turboprops|props CARGO 03
1301 A cargo 
1300  20.96235903 -156.67496187  -1.85 gate turboprops|props GATE 01
1301 B airline 
1300  20.96209586 -156.67516130 357.37 gate turboprops|props GATE 02N
1301 A airline 
1300  20.96199447 -156.67516726  -2.24 gate turboprops|props GATE 02
1301 A airline 
1300  20.96189432 -156.67527404 358.29 gate turboprops|props GATE 02S
1301 A airline 
1300  20.96163106 -156.67537486 358.27 gate turboprops|props GATE 03
1301 B airline 
18  20.96302064 -156.67473849 1 BCN
19  20.96164172 -156.67463308 0 New Windsock 2
50 11852 AWOS
51 12270 CTAF/UNICOM
99
