I
1050 Generated by WorldEditor 1.6.0r1

1   1652 1 0 CYXE Saskatoon J G Diefenbaker Intl
111  52.16901268 -106.68387495
111  52.16895443 -106.68332971
111  52.16941183 -106.68317845
113  52.16946361 -106.68363223
110 1 0.00 0.0000 New Taxiway 1
111  52.16946621 -106.68316305
111  52.16992835 -106.68301741
111  52.16998013 -106.68345642
113  52.16952058 -106.68361050
110 3 0.00 0.0000 New Taxiway 6
111  52.16938580 -106.68197498
111  52.16933744 -106.68158831
111  52.16941618 -106.68156372
111  52.16939120 -106.68135929
111  52.16931360 -106.68138332
111  52.16927068 -106.68102849
111  52.16932914 -106.68100905
111  52.16931955 -106.68092840
111  52.16930654 -106.68082501
111  52.16949737 -106.68076447
111  52.16961590 -106.68090198
111  52.16972575 -106.68178210
111  52.16963658 -106.68201539
111  52.16945513 -106.68206725
113  52.16944091 -106.68195426
110 1 0.00 0.0000 New Taxiway 5
111  52.16864544 -106.68122403
111  52.16866396 -106.68121876
111  52.16867153 -106.68113687
111  52.16877808 -106.68110629
111  52.16931955 -106.68092840
111  52.16932914 -106.68100905
111  52.16927068 -106.68102849
111  52.16931360 -106.68138332
111  52.16939120 -106.68135929
111  52.16941618 -106.68156372
111  52.16933744 -106.68158831
111  52.16938580 -106.68197498
111  52.16890514 -106.68215571
111  52.16888550 -106.68211123
111  52.16878692 -106.68215565
111  52.16878458 -106.68213988
113  52.16875524 -106.68214758
110 2 0.00 0.0000 New Taxiway 4
111  52.17116067 -106.68862834 20
112  52.17113330 -106.68833079  52.17114422 -106.68820186 20
112  52.17122122 -106.68785917  52.17121030 -106.68768189 20
111  52.17090346 -106.68516982 20
111  52.17087930 -106.68514310
111  52.17096083 -106.68511516 20
111  52.17128113 -106.68779295 20
112  52.17125382 -106.68808701  52.17120483 -106.68822061 20
112  52.17120180 -106.68837825  52.17120136 -106.68844186 20
113  52.17121200 -106.68856637
110 1 0.00 0.0000 New Taxiway 15
111  52.16812305 -106.68425502
111  52.16826553 -106.68423941
111  52.16826591 -106.68428312
113  52.16812190 -106.68429873
110 1 0.00 0.0000 New Taxiway 4
111  52.16572552 -106.69125803
111  52.16579688 -106.69091795
111  52.16675754 -106.69145268
113  52.16668480 -106.69179276
110 1 0.00 0.0000 New Taxiway 9
111  52.16700802 -106.69211063
111  52.16694798 -106.69207489
111  52.16699373 -106.69186358
113  52.16705472 -106.69189465
110 1 0.00 0.0000 New Taxiway 12
111  52.16799024 -106.69237859
111  52.16804080 -106.69217627
111  52.16810468 -106.69221823
111  52.16807286 -106.69235244
113  52.16805688 -106.69241980
110 1 0.00 0.0000 New Taxiway 4
111  52.16894047 -106.67933260
111  52.16922032 -106.67933260
111  52.16921438 -106.67997416
113  52.16893707 -106.67996725
110 1 0.00 0.0000 New Taxiway 3
111  52.16515601 -106.69086861
111  52.16513777 -106.69095623
111  52.16482776 -106.69077160
111  52.16484757 -106.69066463
111  52.16498275 -106.69000761
111  52.16507826 -106.69006277
111  52.16506003 -106.69015040
111  52.16540172 -106.69033817
113  52.16527502 -106.69093746
110 1 0.00 0.0000 New Taxiway 2
111  52.16806427 -106.69282218
111  52.16791230 -106.69272982
111  52.16795296 -106.69255703
113  52.16810826 -106.69265049
110 1 0.00 0.0000 New Taxiway 9
111  52.16779553 -106.69251687
111  52.16748936 -106.69234004
111  52.16756806 -106.69198483
113  52.16787520 -106.69216322
110 1 0.00 0.0000 New Taxiway 1
111  52.16612229 -106.69044401
111  52.16615465 -106.69030718
111  52.16621814 -106.69034306
111  52.16625020 -106.69021392
111  52.16628541 -106.69022211
111  52.16629924 -106.69015959
111  52.16640423 -106.69022109
111  52.16640423 -106.69018112
111  52.16642183 -106.69021084
111  52.16644383 -106.69020982
111  52.16643126 -106.69023441
111  52.16647338 -106.69025799
111  52.16645829 -106.69033383
111  52.16649476 -106.69035126
111  52.16646646 -106.69047322
111  52.16633696 -106.69039533
113  52.16630478 -106.69054920
110 1 0.00 0.0000 New Taxiway 6
111  52.16811974 -106.67968520
111  52.16809300 -106.67968496
111  52.16809374 -106.67944913
111  52.16811960 -106.67944909
111  52.16811848 -106.67932716
111  52.16839692 -106.67931826
111  52.16839366 -106.67977876
113  52.16812145 -106.67977397
110 1 0.00 0.0000 New Taxiway 9
111  52.16737838 -106.67984339
111  52.16735692 -106.67984409
111  52.16736001 -106.67991644
111  52.16711750 -106.67990724
111  52.16711597 -106.67985191
111  52.16711462 -106.67936002
113  52.16738118 -106.67936030
110 1 0.00 0.0000 New Taxiway 10
111  52.16728515 -106.67671877
111  52.16727989 -106.67798502
111  52.16699682 -106.67798832
111  52.16700044 -106.67671608
111  52.16700332 -106.67660497
111  52.16730297 -106.67660349
113  52.16730206 -106.67671853
110 1 0.00 0.0000 New Taxiway 14
111  52.16828176 -106.67721236
111  52.16824820 -106.67721264
111  52.16824824 -106.67724220
111  52.16806729 -106.67724378
111  52.16806721 -106.67690111
111  52.16806668 -106.67676933
111  52.16824963 -106.67676978
111  52.16825050 -106.67710623
113  52.16828108 -106.67710562
110 1 0.00 0.0000 New Taxiway 15
112  52.16871324 -106.67352489  52.16876470 -106.67348199
111  52.16871324 -106.67352489
112  52.16871324 -106.67352489  52.16877347 -106.67349152
111  52.16878150 -106.67358312
111  52.16926511 -106.67358859
111  52.16926601 -106.67494715
111  52.16869092 -106.67495484
113  52.16869002 -106.67365671
110 1 0.00 0.0000 New Taxiway 23
111  52.16775344 -106.67662103
111  52.16791473 -106.67662411
111  52.16791506 -106.67675377
111  52.16791505 -106.67688303
111  52.16773018 -106.67688377
111  52.16773041 -106.67668091
113  52.16775308 -106.67668091
110 1 0.00 0.0000 New Taxiway 30
111  52.16858169 -106.68494775
111  52.16858373 -106.68549465
111  52.16836013 -106.68549169
113  52.16836005 -106.68494511
110 1 0.00 0.0000 New Taxiway 31
111  52.16980891 -106.68573409
111  52.16972540 -106.68573497
111  52.16972465 -106.68569930
111  52.16971878 -106.68569913
111  52.16971780 -106.68541220
111  52.16984548 -106.68541112
111  52.16984671 -106.68569802
111  52.16981715 -106.68569833
113  52.16981715 -106.68573309
110 1 0.00 0.0000 New Taxiway 34
111  52.17007270 -106.68415273
111  52.17001838 -106.68417192
111  52.17002472 -106.68421767
111  52.16989255 -106.68425752
111  52.16984276 -106.68397118
111  52.16993872 -106.68393871
111  52.16992333 -106.68379406
113  52.17002291 -106.68376011
110 1 0.00 0.0000 New Taxiway 35
111  52.16955407 -106.68501359
111  52.16955463 -106.68531158
111  52.16947617 -106.68531281
111  52.16947768 -106.68552929
111  52.16925362 -106.68553544
111  52.16925041 -106.68511290
111  52.16925075 -106.68499216
113  52.16955226 -106.68498893
110 1 0.00 0.0000 New Taxiway 45
111  52.17260212 -106.69648141
111  52.17250512 -106.69642726 102
111  52.17252879 -106.69642708 102
111  52.17257070 -106.69637796 102
111  52.17258293 -106.69634735 102
113  52.17258367 -106.69632804
110 2 0.00 0.0000 New Taxiway 67
111  52.16679353 -106.69323582
111  52.16685576 -106.69318237
111  52.16701930 -106.69241793
111  52.16701743 -106.69236990
111  52.16699926 -106.69232573
111  52.16540608 -106.69143040
111  52.16554628 -106.69072588
111  52.16574205 -106.69083319
111  52.16585519 -106.69029004
111  52.16612229 -106.69044401
111  52.16630478 -106.69054920
111  52.16661646 -106.69072887
111  52.16708484 -106.69099881
111  52.16705127 -106.69116082
111  52.16720013 -106.69124330
111  52.16724581 -106.69123195
111  52.16726565 -106.69119167
111  52.16739497 -106.69063836
111  52.16744386 -106.69040855
111  52.16752476 -106.69045702
111  52.16898134 -106.69128497
111  52.16906292 -106.69124960
111  52.16920592 -106.69099351
111  52.16922879 -106.69100724
111  52.16927520 -106.69104587
111  52.16928632 -106.69101985
111  52.16956673 -106.69154877
111  52.16951258 -106.69156217
111  52.16954536 -106.69183389
111  52.16970896 -106.69178943
111  52.16977626 -106.69232670
111  52.16974493 -106.69233049
111  52.16975943 -106.69244305
112  52.16974568 -106.69248069  52.16974278 -106.69249882
111  52.16974568 -106.69248069
112  52.16974568 -106.69248069  52.16974278 -106.69249882
112  52.16975052 -106.69267224  52.16977614 -106.69275816
112  52.16987380 -106.69280545  52.16991247 -106.69280545
111  52.16987380 -106.69280545
112  52.16987380 -106.69280545  52.16987765 -106.69280545
112  52.16989172 -106.69280446  52.16989629 -106.69280377
111  52.16989172 -106.69280446
112  52.16989172 -106.69280446  52.16991064 -106.69280160
112  52.16995557 -106.69277043  52.16997732 -106.69274871
111  52.16995557 -106.69277043
112  52.16995557 -106.69277043  52.16998134 -106.69274469
112  52.17001738 -106.69263204  52.17002966 -106.69256237
111  52.17001738 -106.69263204
112  52.17001738 -106.69263204  52.17004252 -106.69248936
111  52.16996420 -106.69237743
111  52.16995502 -106.69226629
111  52.16993036 -106.69226629
112  52.16993713 -106.69173973  52.16997484 -106.69152375
111  52.17007056 -106.69136767
111  52.17008313 -106.69139448
111  52.17014695 -106.69130619
111  52.17013341 -106.69128412
111  52.17025525 -106.69110597
112  52.17040608 -106.69092152  52.17045395 -106.69075835
111  52.17040675 -106.69061865
111  52.17066433 -106.69025406
111  52.17068741 -106.69022139
111  52.17070987 -106.69018960
111  52.17091447 -106.68990002
112  52.17092325 -106.68968593  52.17087612 -106.68958280
111  52.17081173 -106.68960968
111  52.17075855 -106.68950326
111  52.17074606 -106.68950523
111  52.17066307 -106.68933641
111  52.17116067 -106.68862834
111  52.17121200 -106.68856637 102
111  52.17153064 -106.68846618 102
111  52.17159457 -106.68820651 102
111  52.17160774 -106.68818539 102
111  52.17124850 -106.68520690 102
111  52.17112204 -106.68506521 102
111  52.17096083 -106.68511516
111  52.17087930 -106.68514310 102
111  52.17047471 -106.68527394
111  52.17050851 -106.68554580
111  52.17044000 -106.68558892
111  52.17050352 -106.68586903
111  52.17035093 -106.68587229
111  52.17032744 -106.68587131
111  52.17025873 -106.68575127
111  52.17019838 -106.68575103
111  52.17019671 -106.68579807
111  52.16980860 -106.68579046
111  52.16980891 -106.68573409
111  52.16981715 -106.68573309
111  52.16981715 -106.68569833
111  52.16984671 -106.68569802
111  52.16984548 -106.68541112
111  52.16971780 -106.68541220
111  52.16968613 -106.68541067
111  52.16968775 -106.68501430
111  52.16955407 -106.68501359
111  52.16955226 -106.68498893
111  52.16925075 -106.68499216
111  52.16925041 -106.68511290
111  52.16916145 -106.68511334
111  52.16916102 -106.68487939
111  52.16897776 -106.68487549
111  52.16897710 -106.68463164
111  52.16882293 -106.68447028
111  52.16945179 -106.68447622
111  52.16962942 -106.68447581
111  52.16967908 -106.68462875
111  52.16945165 -106.68463019
111  52.16944991 -106.68477588
111  52.16946223 -106.68479459
111  52.16968565 -106.68478760
111  52.16967908 -106.68462875
111  52.16962942 -106.68447581
111  52.16964275 -106.68443888
111  52.16967080 -106.68444145
111  52.16965887 -106.68431513
111  52.16892962 -106.68431389
111  52.16889858 -106.68402677
111  52.16887223 -106.68389723
111  52.16877918 -106.68308880
111  52.16900683 -106.68301861
111  52.16896137 -106.68263283
111  52.16894361 -106.68248220
111  52.16892436 -106.68231877
111  52.16890514 -106.68215571
111  52.16938580 -106.68197498
111  52.16944091 -106.68195426
111  52.16945513 -106.68206725
111  52.16963658 -106.68201539
111  52.16972575 -106.68178210
111  52.16961590 -106.68090198
111  52.16949737 -106.68076447
111  52.16930654 -106.68082501
111  52.16931955 -106.68092840
111  52.16877808 -106.68110629
111  52.16866492 -106.68014673
111  52.16865032 -106.68002132
111  52.16860764 -106.67965482
111  52.16868708 -106.67965223
111  52.16867125 -106.67908414
111  52.16811928 -106.67908375
111  52.16811848 -106.67932716
111  52.16811960 -106.67944909
111  52.16809374 -106.67944913
111  52.16809300 -106.67968496
111  52.16811974 -106.67968520
111  52.16812145 -106.67977397
111  52.16811722 -106.67997575
111  52.16744208 -106.67997679
111  52.16744285 -106.67984463
111  52.16737838 -106.67984339
111  52.16738118 -106.67936030
111  52.16711462 -106.67936002
111  52.16711597 -106.67985191
111  52.16696081 -106.67986339
111  52.16696310 -106.67993208
111  52.16700033 -106.68002706
111  52.16863481 -106.68002761
111  52.16865032 -106.68002132
111  52.16866492 -106.68014673
111  52.16864631 -106.68013225
111  52.16832864 -106.68013236
112  52.16829587 -106.68016321  52.16828530 -106.68018494
111  52.16828491 -106.68022282
111  52.16846016 -106.68166947
112  52.16847734 -106.68171201  52.16848864 -106.68172502
111  52.16850651 -106.68172013
111  52.16854116 -106.68171046
111  52.16848457 -106.68124784
111  52.16864251 -106.68119939
111  52.16864544 -106.68122403
111  52.16875524 -106.68214758
111  52.16878458 -106.68213988
111  52.16878692 -106.68215565
111  52.16888550 -106.68211123
111  52.16890514 -106.68215571
111  52.16892436 -106.68231877
111  52.16870928 -106.68230321
111  52.16862022 -106.68235484
111  52.16855928 -106.68186356
111  52.16852385 -106.68187341
112  52.16850140 -106.68190736  52.16849298 -106.68193483
111  52.16849386 -106.68196206
111  52.16856765 -106.68254205
112  52.16859398 -106.68257231  52.16860968 -106.68257856
111  52.16864159 -106.68257064
111  52.16893000 -106.68250811
111  52.16894361 -106.68248220
111  52.16896137 -106.68263283
111  52.16894096 -106.68260867
111  52.16865044 -106.68268045
112  52.16861693 -106.68272190  52.16860199 -106.68275437
111  52.16860316 -106.68278923
111  52.16867738 -106.68340457
111  52.16873162 -106.68385872
112  52.16875089 -106.68391661  52.16876689 -106.68393370
111  52.16879222 -106.68392663
111  52.16887223 -106.68389723
111  52.16889858 -106.68402677
111  52.16880022 -106.68405439
112  52.16877069 -106.68407040  52.16875580 -106.68408119
111  52.16874998 -106.68411199
111  52.16877499 -106.68430657
111  52.16879592 -106.68432148
111  52.16882293 -106.68447028
111  52.16897710 -106.68463164
111  52.16858367 -106.68462426
111  52.16858169 -106.68494775
111  52.16836005 -106.68494511
111  52.16836273 -106.68463289
111  52.16825667 -106.68462437
111  52.16825345 -106.68519099
111  52.16802153 -106.68518804
111  52.16801378 -106.68462674
112  52.16722513 -106.68463017  52.16720065 -106.68463557
111  52.16722513 -106.68463017
112  52.16722513 -106.68463017  52.16715763 -106.68464312
112  52.16704573 -106.68476291  52.16697094 -106.68476399
111  52.16704573 -106.68476291
112  52.16704573 -106.68476291  52.16703514 -106.68476291
112  52.16690666 -106.68454902  52.16690732 -106.68433645
112  52.16704401 -106.68432381  52.16705924 -106.68432381
111  52.16704401 -106.68432381
112  52.16704401 -106.68432381  52.16713204 -106.68432813
112  52.16722485 -106.68447359  52.16729765 -106.68448115
111  52.16722485 -106.68447359
112  52.16722485 -106.68447359  52.16724603 -106.68447467
111  52.16852672 -106.68446449
111  52.16852265 -106.68430777
111  52.16809355 -106.68432874
111  52.16809362 -106.68385651
111  52.16814060 -106.68385560
111  52.16814147 -106.68389459
111  52.16841841 -106.68389339
111  52.16844625 -106.68385946
111  52.16844363 -106.68340273
111  52.16855421 -106.68339427
111  52.16858227 -106.68338063
111  52.16853493 -106.68302060
111  52.16809355 -106.68301392
111  52.16809240 -106.68240768
111  52.16848287 -106.68240603
111  52.16844736 -106.68208506
111  52.16824663 -106.68041460
111  52.16821561 -106.68020984
112  52.16819735 -106.68014985  52.16818449 -106.68013711
111  52.16814184 -106.68013025
112  52.16750683 -106.68013295  52.16749308 -106.68013492
111  52.16750683 -106.68013295
112  52.16750683 -106.68013295  52.16748064 -106.68013670
111  52.16737915 -106.68030299
111  52.16733133 -106.68024243
112  52.16734776 -106.68017668  52.16735051 -106.68015045
111  52.16734509 -106.68013271
111  52.16686852 -106.68012342
111  52.16686796 -106.68003091
111  52.16689867 -106.67994037
111  52.16689499 -106.67986826
111  52.16681662 -106.67987406
111  52.16682292 -106.67908845
111  52.16681726 -106.67671395
111  52.16700044 -106.67671608
111  52.16699682 -106.67798832
111  52.16727989 -106.67798502
111  52.16728515 -106.67671877
111  52.16730206 -106.67671853
111  52.16748683 -106.67671589
111  52.16748817 -106.67685770
111  52.16750881 -106.67685768
111  52.16753885 -106.67689962
111  52.16753112 -106.67801951
111  52.16743266 -106.67806362
111  52.16744776 -106.67830183
111  52.16764478 -106.67830547
111  52.16765525 -106.67827309
111  52.16765022 -106.67792753
111  52.16762050 -106.67792583
111  52.16761996 -106.67773697
111  52.16765228 -106.67773548
111  52.16764786 -106.67746309
111  52.16759437 -106.67745663
111  52.16759323 -106.67697443
111  52.16763672 -106.67697332
111  52.16763892 -106.67659573
111  52.16775356 -106.67660031
111  52.16775344 -106.67662103
111  52.16775308 -106.67668091
111  52.16773041 -106.67668091
111  52.16773018 -106.67688377
111  52.16791505 -106.67688303
111  52.16791494 -106.67705366
111  52.16775155 -106.67705556
111  52.16775154 -106.67746365
111  52.16775929 -106.67746320
111  52.16776095 -106.67794561
111  52.16774319 -106.67794565
111  52.16774379 -106.67823046
111  52.16791703 -106.67822999
111  52.16791756 -106.67793486
111  52.16789957 -106.67793446
111  52.16789953 -106.67747434
111  52.16791577 -106.67745843
111  52.16791494 -106.67705366
111  52.16791505 -106.67688303
111  52.16791506 -106.67675377
111  52.16796499 -106.67676886
111  52.16796558 -106.67690365
111  52.16806721 -106.67690111
111  52.16806729 -106.67724378
111  52.16824824 -106.67724220
111  52.16824820 -106.67721264
111  52.16828176 -106.67721236
111  52.16828108 -106.67710562
111  52.16825050 -106.67710623
111  52.16824963 -106.67676978
111  52.16824953 -106.67672798
111  52.16844111 -106.67673042
111  52.16844144 -106.67677135
111  52.16842816 -106.67677159
111  52.16842880 -106.67682063
111  52.16844115 -106.67682016
111  52.16844098 -106.67685986
111  52.16841502 -106.67685988
111  52.16841434 -106.67704799
111  52.16840296 -106.67704740
111  52.16840229 -106.67713990
112  52.16841705 -106.67716184  52.16842880 -106.67715954
111  52.16842973 -106.67713925
111  52.16858016 -106.67714086
111  52.16858035 -106.67720223
111  52.16867182 -106.67720203
111  52.16867137 -106.67702528
111  52.16874813 -106.67702607
111  52.16874820 -106.67718288
111  52.16891709 -106.67736669
111  52.16899054 -106.67736873
111  52.16899130 -106.67755084
111  52.16915106 -106.67755302
111  52.16915627 -106.67802423
111  52.16950688 -106.67802255
111  52.16950791 -106.67830110
111  52.16960410 -106.67829890
111  52.16967242 -106.67818339
111  52.16967025 -106.67764903
111  52.16962510 -106.67762760
111  52.16950763 -106.67762401
111  52.16950568 -106.67739794
111  52.16954106 -106.67739750
111  52.16954285 -106.67681756
111  52.16959622 -106.67681868
111  52.16959535 -106.67673669
111  52.16906370 -106.67673539
111  52.16906474 -106.67653812
111  52.16918157 -106.67653681
111  52.16918230 -106.67630949
111  52.16906531 -106.67630703
111  52.16906540 -106.67618513
111  52.16910900 -106.67618523
111  52.16911104 -106.67608062
111  52.16913456 -106.67607908
111  52.16913586 -106.67593381
111  52.16913697 -106.67580911
111  52.16911064 -106.67580922
111  52.16911070 -106.67578813
111  52.16883947 -106.67578508
111  52.16883780 -106.67559870
111  52.16870564 -106.67560012
111  52.16870233 -106.67532740
111  52.16869092 -106.67495484
111  52.16926601 -106.67494715
111  52.16926511 -106.67358859
111  52.16878150 -106.67358312
112  52.16871324 -106.67352489  52.16865301 -106.67355826
111  52.16871324 -106.67352489
112  52.16871324 -106.67352489  52.16866178 -106.67356780
111  52.16869002 -106.67365671
111  52.16865313 -106.67365665
111  52.16865481 -106.67343906
111  52.16860632 -106.67343228
111  52.16859163 -106.67332540
111  52.16859256 -106.67298030
111  52.16966343 -106.67296376
111  52.16965721 -106.67340171
111  52.17008565 -106.67313214
111  52.17008296 -106.67463344 102
111  52.17022068 -106.67485393 102
111  52.17071111 -106.67485451 102
111  52.17071114 -106.67589029 102
111  52.17071076 -106.67595495 102
111  52.17071630 -106.67902814 102
111  52.17084190 -106.68003350
111  52.17120969 -106.67992394
111  52.17124931 -106.68028057
111  52.17088055 -106.68039705 102
111  52.17109037 -106.68208469 102
111  52.17112342 -106.68235054 102
111  52.17144548 -106.68269465 102
111  52.17324962 -106.68212099 102
111  52.17393307 -106.68190368
111  52.17400565 -106.68188060
111  52.17647387 -106.70251418
111  52.17665624 -106.70403867
111  52.17563869 -106.70346995
111  52.16300504 -106.69640891
111  52.16302576 -106.69630280
111  52.16354635 -106.69660115 102
111  52.16367733 -106.69597151 102
111  52.16382238 -106.69576620 102
111  52.16570792 -106.69309734 102
111  52.16568636 -106.69305734 102
111  52.16565141 -106.69283671 102
111  52.16331427 -106.69152538
111  52.16335661 -106.69131157
111  52.16425502 -106.69181087
111  52.16466748 -106.68983789
111  52.16498275 -106.69000761
111  52.16484757 -106.69066463
111  52.16474496 -106.69063263
111  52.16469320 -106.69068645
111  52.16448441 -106.69166981
112  52.16447721 -106.69181193  52.16448702 -106.69185570
111  52.16450819 -106.69190453
