I
1050 Generated by WorldEditor 1.7.1r2

1   3877 1 0 KHLN Helena Rgnl
110 2 0.00 0.0000 New Taxiway 25
111  46.60095663 -111.97508619
111  46.60097751 -111.97533801
111  46.60079883 -111.97536711
113  46.60077953 -111.97511612
110 2 0.00 0.0000 New Taxiway 25
111  46.60103553 -111.97605221
111  46.60105215 -111.97625887
111  46.60093037 -111.97627927
113  46.60091227 -111.97607294
110 2 0.00 0.0000 New Taxiway 25
111  46.60106424 -111.97635756
111  46.60108232 -111.97661181
111  46.60094188 -111.97663682
113  46.60092420 -111.97637819
110 2 0.00 0.0000 New Taxiway 25
111  46.60080389 -111.97696845
111  46.60081716 -111.97711784
111  46.60069178 -111.97714379
113  46.60068210 -111.97699203
110 2 0.00 0.0000 New Taxiway 25
111  46.60110540 -111.97691913
111  46.60112418 -111.97711325
111  46.60090417 -111.97715450
113  46.60088589 -111.97695487
110 2 0.00 0.0000 New Taxiway 25
111  46.60194857 -111.97452885
111  46.60199000 -111.97495345
111  46.60171426 -111.97499623
113  46.60167808 -111.97456875
110 2 0.00 0.0000 New Taxiway 25
111  46.60257419 -111.97649327
111  46.60261024 -111.97692941
111  46.60233626 -111.97696836
113  46.60230366 -111.97654301
110 2 0.00 0.0000 New Taxiway 25
111  46.60306925 -111.97807540
111  46.60310269 -111.97850396
111  46.60282241 -111.97855270
113  46.60278911 -111.97811433
110 2 0.00 0.0000 New Taxiway 25
111  46.60290832 -111.97863640
111  46.60290506 -111.97890645
111  46.60276133 -111.97889887
113  46.60276289 -111.97863265
110 2 0.00 0.0000 New Taxiway 25
111  46.60307270 -111.97866961
111  46.60307011 -111.97891516
111  46.60293634 -111.97890810
113  46.60293741 -111.97866463
110 2 0.00 0.0000 New Taxiway 25
111  46.60297240 -111.97920135
111  46.60297737 -111.97948804
111  46.60283265 -111.97948323
113  46.60283500 -111.97919945
110 2 0.00 0.0000 New Taxiway 25
111  46.60315217 -111.97920378
111  46.60315436 -111.97941407
111  46.60299913 -111.97941308
113  46.60299929 -111.97920172
110 2 0.00 0.0000 New Taxiway 25
111  46.60297475 -111.98167107
111  46.60297458 -111.98185579
111  46.60284272 -111.98185162
113  46.60284135 -111.98166465
110 2 0.00 0.0000 New Taxiway 25
111  46.60299420 -111.98215608
111  46.60299795 -111.98236118
111  46.60283544 -111.98235487
113  46.60283615 -111.98215453
110 2 0.00 0.0000 New Taxiway 24
111  46.60302539 -111.98215639
111  46.60313857 -111.98215750
111  46.60314320 -111.98255427
111  46.60314244 -111.98257667
111  46.60290079 -111.98256648
111  46.60290111 -111.98254512
111  46.60290059 -111.98239318
113  46.60302193 -111.98239949
110 2 0.00 0.0000 New Taxiway 2
111  46.60833238 -111.97009666
111  46.60875308 -111.96993741
111  46.60890435 -111.97089883
111  46.60881000 -111.97093589
111  46.60904913 -111.97256955
113  46.60873282 -111.97267053
110 2 0.00 106.4200 New Taxiway 22
111  46.60275487 -111.98388792
111  46.60274907 -111.98410247
111  46.60265817 -111.98410068
111  46.60249642 -111.98409172
113  46.60249961 -111.98385875
110 2 0.00 106.4200 New Taxiway 22
111  46.60294167 -111.98440196
111  46.60293048 -111.98462174
111  46.60254822 -111.98459324
113  46.60255161 -111.98436755
110 2 0.00 0.0000 New Taxiway 22
111  46.60308694 -111.98491591
111  46.60307681 -111.98518051
111  46.60294683 -111.98516881
113  46.60295210 -111.98490265
110 2 0.00 0.0000 New Taxiway 22
111  46.60289987 -111.98489751
111  46.60289277 -111.98516395
111  46.60275687 -111.98515172
111  46.60276324 -111.98490512
113  46.60276411 -111.98488406
110 2 0.00 0.0000 New Taxiway 22
111  46.60270776 -111.98490313
111  46.60270671 -111.98512489
111  46.60256928 -111.98511540
113  46.60256930 -111.98489815
110 2 0.00 0.0000 New Taxiway 19
111  46.60307308 -111.98543444
111  46.60306947 -111.98559038
111  46.60248804 -111.98554745
111  46.60248974 -111.98547715
113  46.60249166 -111.98539765
110 2 0.00 0.0000 New Taxiway 21
111  46.60242107 -111.98522450
111  46.60230088 -111.98520528
111  46.60231029 -111.98502632
113  46.60243377 -111.98504949
110 2 0.00 0.0000 New Taxiway 18
111  46.60276683 -111.98577604
111  46.60276702 -111.98562805
111  46.60287761 -111.98563354
113  46.60287958 -111.98577950
110 2 0.00 0.0000 New Taxiway 17
111  46.60263642 -111.98577204
111  46.60263764 -111.98562490
111  46.60276136 -111.98563159
113  46.60275906 -111.98577581
110 2 0.00 0.0000 New Taxiway 16
111  46.60253484 -111.98576892
111  46.60253648 -111.98564283
111  46.60262860 -111.98564166
113  46.60262748 -111.98577177
110 2 0.00 0.0000 New Taxiway 15
111  46.60240711 -111.98576500
111  46.60240847 -111.98563993
111  46.60252683 -111.98564363
113  46.60252420 -111.98576860
110 2 0.00 0.0000 New Taxiway 15
111  46.60229341 -111.98576151
111  46.60229491 -111.98563952
111  46.60240024 -111.98564317
113  46.60239865 -111.98576474
110 2 0.00 0.0000 New Taxiway 11
111  46.60259912 -111.99225689
111  46.60233097 -111.99225442
111  46.60232974 -111.99196511
113  46.60260179 -111.99195776
110 2 0.00 0.0000 New Taxiway 14
111  46.60284399 -111.98601979
111  46.60284045 -111.98627092
111  46.60231293 -111.98623387
113  46.60232071 -111.98598685
110 2 0.00 0.0000 New Taxiway 14
111  46.60282490 -111.98653748
111  46.60282136 -111.98678964
111  46.60229950 -111.98675259
113  46.60231081 -111.98650455
110 2 0.00 0.0000 New Taxiway 14
111  46.60254932 -111.98820431
111  46.60254711 -111.98842258
111  46.60240410 -111.98841417
113  46.60241280 -111.98820049
110 2 0.00 0.0000 New Taxiway 14
111  46.60257610 -111.98704438
111  46.60256844 -111.98749209
111  46.60256746 -111.98752788
111  46.60228866 -111.98751001
113  46.60229808 -111.98702534
110 2 0.00 0.0000 New Taxiway 14
111  46.60274455 -111.98820977
111  46.60274140 -111.98846883
111  46.60257239 -111.98847094
113  46.60257239 -111.98820495
110 2 0.00 0.0000 New Taxiway 13
111  46.60292991 -111.98896082
111  46.60275873 -111.98896292
111  46.60275801 -111.98875477
113  46.60293135 -111.98875372
110 2 0.00 0.0000 New Taxiway 10
111  46.60228390 -111.99267294
111  46.60225841 -111.99267379
111  46.60217809 -111.99267416
111  46.60217823 -111.99251749
113  46.60228600 -111.99251749
110 2 0.00 0.0000 New Taxiway 12
111  46.60260530 -111.99156486
111  46.60247334 -111.99156413
111  46.60247184 -111.99140061
113  46.60260675 -111.99140223
110 2 0.00 0.0000 New Taxiway 12
111  46.60260258 -111.99186928
111  46.60240352 -111.99186637
111  46.60240503 -111.99165028
113  46.60260457 -111.99164662
110 2 0.00 0.0000 New Taxiway 9
111  46.60256836 -111.99309079
111  46.60244376 -111.99308488
111  46.60244374 -111.99302208
111  46.60244883 -111.99262192
113  46.60256576 -111.99263180
110 2 0.00 0.0000 New Taxiway 8
111  46.60254170 -111.99422433
111  46.60235961 -111.99421112
111  46.60221758 -111.99420073
111  46.60222133 -111.99370118
113  46.60254877 -111.99370543
110 2 0.00 0.0000 New Taxiway 7
111  46.60255601 -111.99709664
111  46.60237923 -111.99709222
111  46.60222488 -111.99708461
111  46.60222696 -111.99667588
113  46.60255743 -111.99667878
110 2 0.00 0.0000 New Taxiway 6
111  46.60237718 -111.99754396
111  46.60220288 -111.99754265
111  46.60221015 -111.99716036
113  46.60237980 -111.99716343
110 2 0.00 0.0000 New Taxiway 6
111  46.60234487 -111.99809979
111  46.60220316 -111.99809760
111  46.60220416 -111.99773477
113  46.60234209 -111.99773696
110 2 0.00 0.0000 New Taxiway 5
111  46.60288922 -111.99889052
111  46.60270663 -111.99856737
111  46.60290497 -111.99833393
111  46.60308670 -111.99864785
113  46.60302320 -111.99871516
110 2 0.00 0.0000 New Taxiway 4
111  46.60353430 -111.99874453
111  46.60345318 -111.99874271
111  46.60345942 -111.99813961
113  46.60354054 -111.99814143
110 2 0.00 0.0000 New Taxiway 4
111  46.60378392 -111.99874998
111  46.60370279 -111.99874816
111  46.60370904 -111.99814506
113  46.60379016 -111.99814687
110 2 0.00 0.0000 New Taxiway 4
111  46.60402854 -111.99876088
111  46.60394742 -111.99875906
111  46.60395366 -111.99815595
113  46.60403478 -111.99815777
110 2 0.00 0.0000 New Taxiway 4
111  46.60430562 -111.99876633
111  46.60422449 -111.99876451
111  46.60423073 -111.99816140
113  46.60431186 -111.99816322
110 2 0.00 0.0000 New Taxiway 4
111  46.60455149 -111.99876996
111  46.60447036 -111.99876815
111  46.60447660 -111.99816503
113  46.60455773 -111.99816685
110 2 0.00 0.0000 New Taxiway 3
111  46.60864260 -111.97440684
111  46.60884416 -111.97434457
111  46.60889617 -111.97465682
113  46.60869165 -111.97472430
110 2 0.00 0.0000 New Taxiway 1
111  46.60801677 -111.96806805
111  46.60836101 -111.96795367
111  46.60863958 -111.96974134
113  46.60829557 -111.96986007
110 2 0.00 0.0000 New Taxiway 12
111  46.60404291 -111.98879747
111  46.60404469 -111.98871474
111  46.60409817 -111.98871819
113  46.60409738 -111.98879747
110 2 0.00 0.0000 New Taxiway 12
111  46.60285097 -111.99045115
111  46.60285224 -111.99029093
111  46.60290522 -111.99029217
113  46.60290544 -111.99045115
110 2 0.00 0.0000 New Taxiway 12
111  46.60376564 -111.99068695
111  46.60376742 -111.99060423
111  46.60382090 -111.99060767
113  46.60382011 -111.99068695
110 2 0.00 0.0000 New Taxiway 12
111  46.60377514 -111.99037024
111  46.60377691 -111.99028752
111  46.60383039 -111.99029096
113  46.60382960 -111.99037024
110 2 0.00 0.0000 New Taxiway 12
111  46.60378546 -111.99005331
111  46.60378724 -111.98997058
111  46.60384072 -111.98997403
113  46.60383993 -111.99005331
110 2 0.00 0.0000 New Taxiway 12
111  46.60381531 -111.98909759
111  46.60381709 -111.98901487
111  46.60387057 -111.98901831
113  46.60386978 -111.98909759
110 2 0.00 0.0000 New Taxiway 12
111  46.60384529 -111.98814796
111  46.60384706 -111.98806523
111  46.60390055 -111.98806868
113  46.60389976 -111.98814796
110 2 0.00 0.0000 New Taxiway 12
111  46.60387729 -111.98719437
111  46.60387907 -111.98711164
111  46.60393255 -111.98711509
113  46.60393176 -111.98719437
110 2 0.00 0.0000 New Taxiway 12
111  46.60379576 -111.98973499
111  46.60379753 -111.98965226
111  46.60385101 -111.98965571
113  46.60385022 -111.98973499
110 2 0.00 0.0000 New Taxiway 12
111  46.60382560 -111.98877927
111  46.60382738 -111.98869655
111  46.60388086 -111.98869999
113  46.60388007 -111.98877927
110 2 0.00 0.0000 New Taxiway 12
111  46.60385558 -111.98782964
111  46.60385736 -111.98774691
111  46.60391084 -111.98775036
113  46.60391005 -111.98782964
110 2 0.00 0.0000 New Taxiway 12
111  46.60388758 -111.98687605
111  46.60388936 -111.98679332
111  46.60394284 -111.98679677
113  46.60394205 -111.98687605
110 2 0.00 0.0000 New Taxiway 12
111  46.60380469 -111.98941568
111  46.60380647 -111.98933295
111  46.60385995 -111.98933640
113  46.60385916 -111.98941568
110 2 0.00 0.0000 New Taxiway 12
111  46.60383454 -111.98845997
111  46.60383631 -111.98837724
111  46.60388979 -111.98838069
113  46.60388900 -111.98845997
110 2 0.00 0.0000 New Taxiway 12
111  46.60386451 -111.98751033
111  46.60386629 -111.98742761
111  46.60391977 -111.98743105
113  46.60391898 -111.98751033
110 2 0.00 0.0000 New Taxiway 12
111  46.60389652 -111.98655674
111  46.60389829 -111.98647402
111  46.60395177 -111.98647746
113  46.60395098 -111.98655674
110 2 0.00 0.0000 New Taxiway 12
111  46.60411531 -111.98657119
111  46.60411709 -111.98648846
111  46.60417057 -111.98649191
113  46.60416978 -111.98657119
110 2 0.00 0.0000 New Taxiway 12
111  46.60409332 -111.98720968
111  46.60409509 -111.98712696
111  46.60414858 -111.98713040
113  46.60414779 -111.98720968
110 2 0.00 0.0000 New Taxiway 12
111  46.60401271 -111.98975235
111  46.60401448 -111.98966962
111  46.60406796 -111.98967307
113  46.60406717 -111.98975235
110 2 0.00 0.0000 New Taxiway 12
111  46.60403408 -111.98911196
111  46.60403585 -111.98902923
111  46.60408933 -111.98903268
113  46.60408854 -111.98911196
110 2 0.00 0.0000 New Taxiway 12
111  46.60410647 -111.98688568
111  46.60410825 -111.98680296
111  46.60416173 -111.98680640
113  46.60416094 -111.98688568
110 2 0.00 0.0000 New Taxiway 12
111  46.60408448 -111.98752418
111  46.60408625 -111.98744145
111  46.60413974 -111.98744490
113  46.60413895 -111.98752418
110 2 0.00 0.0000 New Taxiway 12
111  46.60400387 -111.99006684
111  46.60400564 -111.98998412
111  46.60405912 -111.98998756
113  46.60405834 -111.99006684
110 2 0.00 0.0000 New Taxiway 12
111  46.60402474 -111.98942860
111  46.60402652 -111.98934587
111  46.60408000 -111.98934932
113  46.60407921 -111.98942860
110 2 0.00 0.0000 New Taxiway 12
111  46.60407515 -111.98784081
111  46.60407692 -111.98775809
111  46.60413041 -111.98776154
113  46.60412962 -111.98784081
110 2 0.00 0.0000 New Taxiway 12
111  46.60399454 -111.99038348
111  46.60399631 -111.99030075
111  46.60404980 -111.99030420
113  46.60404901 -111.99038348
110 2 0.00 0.0000 New Taxiway 12
111  46.60406336 -111.98815888
111  46.60406514 -111.98807616
111  46.60411862 -111.98807960
113  46.60411783 -111.98815888
110 2 0.00 0.0000 New Taxiway 12
111  46.60398275 -111.99070155
111  46.60398453 -111.99061882
111  46.60403801 -111.99062227
113  46.60403722 -111.99070155
110 2 0.00 0.0000 New Taxiway 12
111  46.60405452 -111.98847766
111  46.60405630 -111.98839494
111  46.60410978 -111.98839838
113  46.60410899 -111.98847766
110 2 0.00 0.0000 New Taxiway 12
111  46.60397391 -111.99102033
111  46.60397569 -111.99093760
111  46.60402917 -111.99094105
113  46.60402838 -111.99102033
110 1 0.00 0.0000 New Taxiway 4
111  46.60877455 -111.99840761
111  46.60830235 -111.99855272
111  46.60818850 -111.99781949
111  46.60807093 -111.99706225
111  46.60618804 -111.98493548
111  46.60608825 -111.98429281
111  46.60557143 -111.98096418
112  46.60557143 -111.98096418  46.60552593 -111.98087841
111  46.60541627 -111.98082494
111  46.60525136 -111.98052517
112  46.60525136 -111.98052517  46.60544406 -111.98042383
111  46.60545731 -111.98022921
111  46.60406920 -111.97128904
111  46.60379558 -111.96952679
111  46.60287855 -111.96362061
111  46.60275935 -111.96285290
111  46.60264047 -111.96208725
111  46.60310509 -111.96193537
111  46.60322386 -111.96270043
111  46.60334808 -111.96350058
111  46.60425932 -111.96936064
111  46.60443703 -111.97050383
111  46.60595649 -111.98027869
112  46.60595649 -111.98027869  46.60599154 -111.98048456
111  46.60614067 -111.98054191
111  46.60628192 -111.98083606
112  46.60628192 -111.98083606  46.60607975 -111.98096334
111  46.60610471 -111.98123224
111  46.60764010 -111.99110953
111  46.60766759 -111.99128637
111  46.60854068 -111.99693532
113  46.60865346 -111.99762860
110 1 0.00 0.0000 New Taxiway 1
111  46.60550858 -111.99740629 102
111  46.60509597 -111.99725012 102
111  46.60440042 -111.99698688 102
111  46.60433238 -111.99696113
112  46.60433238 -111.99696113  46.60422042 -111.99698257 102
111  46.60420038 -111.99710608
111  46.60419235 -111.99781098
112  46.60419235 -111.99781098  46.60420551 -111.99791248
111  46.60429711 -111.99796883
111  46.60463722 -111.99797780
111  46.60463222 -111.99893382
111  46.60342556 -111.99891730
111  46.60324439 -111.99883723
111  46.60308812 -111.99883517
111  46.60302320 -111.99871516
111  46.60308670 -111.99864785
111  46.60290497 -111.99833393
111  46.60270663 -111.99856737
111  46.60252702 -111.99867852
111  46.60235479 -111.99843440
111  46.60234487 -111.99809979
111  46.60234209 -111.99773696
111  46.60237718 -111.99754396
111  46.60237980 -111.99716343
111  46.60237923 -111.99709222
111  46.60255601 -111.99709664
111  46.60255743 -111.99667878
111  46.60247580 -111.99656237
111  46.60248004 -111.99611281
111  46.60262600 -111.99610910
111  46.60264659 -111.99456740
111  46.60236315 -111.99454596
111  46.60235961 -111.99421112
111  46.60254170 -111.99422433
111  46.60254877 -111.99370543
111  46.60254805 -111.99351764
111  46.60262160 -111.99352278
111  46.60260076 -111.99309612
111  46.60256836 -111.99309079
111  46.60256576 -111.99263180
111  46.60244883 -111.99262192
111  46.60244374 -111.99302208
111  46.60226248 -111.99302356
111  46.60225841 -111.99267379
111  46.60228390 -111.99267294
111  46.60228600 -111.99251749
111  46.60217823 -111.99251749
111  46.60217738 -111.99231864
111  46.60232418 -111.99232729
111  46.60233097 -111.99225442
111  46.60259912 -111.99225689
111  46.60260179 -111.99195776
111  46.60260258 -111.99186928
111  46.60260457 -111.99164662
111  46.60260530 -111.99156486
111  46.60260675 -111.99140223
111  46.60315505 -111.99142298
112  46.60315505 -111.99142298  46.60319099 -111.99141526 102
111  46.60319287 -111.99137667 102
111  46.60320961 -111.99078318
111  46.60260065 -111.99077018
111  46.60260077 -111.99056691
111  46.60272381 -111.99057120
112  46.60272381 -111.99057120  46.60277190 -111.99055782
111  46.60276565 -111.99050087
111  46.60276801 -111.99020668
112  46.60276801 -111.99020668  46.60275457 -111.99016654
111  46.60271733 -111.99016380
111  46.60260949 -111.99015436
111  46.60261126 -111.98997339
111  46.60273233 -111.98996431
112  46.60273233 -111.98996431  46.60275623 -111.98994873
111  46.60275575 -111.98989466
111  46.60276492 -111.98920869
111  46.60273437 -111.98920869
111  46.60274455 -111.98820977
111  46.60257239 -111.98820495
111  46.60254932 -111.98820431
111  46.60241280 -111.98820049
111  46.60237390 -111.98819940
111  46.60237404 -111.98814842
111  46.60231789 -111.98814456
111  46.60232400 -111.98801562
111  46.60281074 -111.98803192
111  46.60281410 -111.98762559
111  46.60261146 -111.98760359
111  46.60261676 -111.98749552
111  46.60256844 -111.98749209
111  46.60257610 -111.98704438
111  46.60229808 -111.98702534
111  46.60229862 -111.98692162
111  46.60229950 -111.98675259
111  46.60282136 -111.98678964
111  46.60282490 -111.98653748
111  46.60231081 -111.98650455
111  46.60231176 -111.98638385
111  46.60231215 -111.98633341
111  46.60231293 -111.98623387
111  46.60284045 -111.98627092
111  46.60284399 -111.98601979
111  46.60232071 -111.98598685
111  46.60229537 -111.98598451
111  46.60229431 -111.98586394
111  46.60229341 -111.98576151
111  46.60239865 -111.98576474
111  46.60240711 -111.98576500
111  46.60252420 -111.98576860
111  46.60253484 -111.98576892
111  46.60262748 -111.98577177
111  46.60263642 -111.98577204
111  46.60275906 -111.98577581
111  46.60276683 -111.98577604
111  46.60287958 -111.98577950
111  46.60311152 -111.98582706
111  46.60319293 -111.98583029
111  46.60328690 -111.98583401
112  46.60328690 -111.98583401  46.60335605 -111.98583163 102
111  46.60336438 -111.98575874 102
111  46.60337286 -111.98545099
112  46.60337286 -111.98545099  46.60336911 -111.98538101 102
111  46.60331063 -111.98536763
111  46.60322529 -111.98536504
111  46.60307626 -111.98536052
111  46.60307308 -111.98543444
111  46.60249166 -111.98539765
111  46.60248974 -111.98547715
111  46.60240799 -111.98547561
111  46.60229412 -111.98547410
111  46.60226743 -111.98547246
111  46.60226599 -111.98524723
111  46.60241986 -111.98524128
111  46.60242107 -111.98522450
111  46.60243377 -111.98504949
111  46.60242950 -111.98500796
111  46.60251445 -111.98501511
111  46.60251445 -111.98510731
111  46.60256700 -111.98518736
111  46.60275644 -111.98520017
111  46.60275687 -111.98515172
111  46.60289277 -111.98516395
111  46.60294683 -111.98516881
111  46.60307681 -111.98518051
111  46.60307744 -111.98521731
111  46.60322833 -111.98523032
111  46.60332283 -111.98523846
112  46.60332283 -111.98523846  46.60337999 -111.98522560 102
111  46.60338421 -111.98515011 102
111  46.60338930 -111.98492032
112  46.60338930 -111.98492032  46.60337398 -111.98485513 102
111  46.60332461 -111.98485792
111  46.60324119 -111.98485363
111  46.60314134 -111.98484849
111  46.60313983 -111.98492111
111  46.60308694 -111.98491591
111  46.60295210 -111.98490265
111  46.60289987 -111.98489751
111  46.60276411 -111.98488406
111  46.60276324 -111.98490512
111  46.60270776 -111.98490313
111  46.60256930 -111.98489815
111  46.60252458 -111.98489655
111  46.60252751 -111.98473906
111  46.60253024 -111.98459190
111  46.60254822 -111.98459324
111  46.60293048 -111.98462174
111  46.60293119 -111.98468658
111  46.60324510 -111.98471149
111  46.60334627 -111.98471952
112  46.60334627 -111.98471952  46.60339047 -111.98471180 102
111  46.60339736 -111.98465388 102
111  46.60340375 -111.98440157
112  46.60340375 -111.98440157  46.60339196 -111.98434068 102
111  46.60333794 -111.98433581
111  46.60325599 -111.98432773
111  46.60313794 -111.98431609
111  46.60313500 -111.98441901
111  46.60310153 -111.98441606
111  46.60296645 -111.98440414
111  46.60294167 -111.98440196
111  46.60255161 -111.98436755
111  46.60255269 -111.98427965
111  46.60242295 -111.98427151
111  46.60242403 -111.98420454
111  46.60242590 -111.98408782
111  46.60249642 -111.98409172
111  46.60265817 -111.98410068
111  46.60265572 -111.98414857
111  46.60278683 -111.98415715
111  46.60280465 -111.98362115
111  46.60291072 -111.98362485
111  46.60293030 -111.98284352
111  46.60264349 -111.98281635
111  46.60265112 -111.98252611
111  46.60290111 -111.98254512
111  46.60290079 -111.98256648
111  46.60314244 -111.98257667
111  46.60314320 -111.98255427
111  46.60330079 -111.98255366
111  46.60341533 -111.98255322
112  46.60341533 -111.98255322  46.60345838 -111.98254841 102
111  46.60346466 -111.98249399 102
111  46.60347713 -111.98212290
112  46.60347713 -111.98212290  46.60346191 -111.98206000 102
111  46.60341656 -111.98205440
111  46.60322833 -111.98205396
111  46.60313857 -111.98205375
111  46.60313857 -111.98215750
111  46.60302539 -111.98215639
111  46.60299420 -111.98215608
111  46.60283615 -111.98215453
111  46.60283591 -111.98212180
111  46.60280267 -111.98212156
111  46.60266597 -111.98212056
111  46.60266682 -111.98199971
111  46.60266711 -111.98195799
111  46.60269186 -111.98196142
111  46.60269304 -111.98188595
111  46.60281738 -111.98189024
111  46.60281620 -111.98185078
111  46.60284272 -111.98185162
111  46.60297458 -111.98185579
111  46.60297884 -111.98185593
111  46.60297874 -111.98187455
111  46.60318796 -111.98188839
111  46.60322751 -111.98189109
111  46.60322810 -111.98196057
111  46.60343788 -111.98196571
112  46.60343788 -111.98196571  46.60347079 -111.98196786 102
111  46.60348326 -111.98193226 102
111  46.60349858 -111.98141920 102
111  46.60354526 -111.97985608 102
111  46.60355769 -111.97927149 102
111  46.60343111 -111.97911916
111  46.60330117 -111.97911583
111  46.60315038 -111.97911196
111  46.60315217 -111.97920378
111  46.60299929 -111.97920172
111  46.60297240 -111.97920135
111  46.60283500 -111.97919945
111  46.60280710 -111.97919906
111  46.60266869 -111.97919714
111  46.60263826 -111.97919672
111  46.60247681 -111.97919448
111  46.60247453 -111.97909981
111  46.60235650 -111.97909871
111  46.60235601 -111.97903225
111  46.60235551 -111.97896363
111  46.60275485 -111.97896662
111  46.60276133 -111.97889887
111  46.60290506 -111.97890645
111  46.60293634 -111.97890810
111  46.60307011 -111.97891516
111  46.60306775 -111.97897263
111  46.60330168 -111.97897772
111  46.60342191 -111.97898035
112  46.60342191 -111.97898035  46.60353293 -111.97890418 102
111  46.60352268 -111.97874191 102
111  46.60348496 -111.97825045
112  46.60348496 -111.97825045  46.60345011 -111.97808264 102
112  46.60331360 -111.97797742  46.60325122 -111.97794556
111  46.60331360 -111.97797742
112  46.60331360 -111.97797742  46.60325752 -111.97794878 102
111  46.60321095 -111.97795368
111  46.60306434 -111.97797712
111  46.60306925 -111.97807540
111  46.60278911 -111.97811433
111  46.60270913 -111.97812545
111  46.60261024 -111.97692941
111  46.60257419 -111.97649327
111  46.60265138 -111.97648812
111  46.60277454 -111.97802767
111  46.60301497 -111.97798479
111  46.60300044 -111.97780455
111  46.60290296 -111.97659517
111  46.60289122 -111.97644952
111  46.60308450 -111.97641264
112  46.60308450 -111.97641264  46.60312431 -111.97639888 102
112  46.60318337 -111.97635241  46.60320991 -111.97632697
111  46.60318337 -111.97635241
112  46.60318337 -111.97635241  46.60331402 -111.97622719 102
111  46.60330018 -111.97599495 102
111  46.60314419 -111.97409845
112  46.60314419 -111.97409845  46.60312086 -111.97398009 102
111  46.60303452 -111.97394954
111  46.60288686 -111.97397392
111  46.60192307 -111.97413299
111  46.60194857 -111.97452885
111  46.60167808 -111.97456875
111  46.60164534 -111.97418399
111  46.60117395 -111.97426751
112  46.60117395 -111.97426751  46.60110041 -111.97430439
111  46.60111044 -111.97441687
111  46.60133023 -111.97719659
111  46.60128737 -111.97720293
111  46.60123972 -111.97720997
111  46.60121285 -111.97687960
112  46.60121285 -111.97687960  46.60119320 -111.97680384
111  46.60113978 -111.97681193
111  46.60109804 -111.97681907
111  46.60110540 -111.97691913
111  46.60088589 -111.97695487
111  46.60087607 -111.97685838
111  46.60079849 -111.97686982
111  46.60080389 -111.97696845
111  46.60068210 -111.97699203
111  46.60066644 -111.97682903
111  46.60065951 -111.97675689
111  46.60094728 -111.97670615
111  46.60094188 -111.97663682
111  46.60108232 -111.97661181
111  46.60108723 -111.97668185
