I
1050 Generated by WorldEditor 2.1.0r1

1   1931 0 0 CJE3 Weyburn
111  49.69571732 -103.80432993
111  49.69566117 -103.80441214
111  49.69563144 -103.80436365
111  49.69561257 -103.80433288
111  49.69553698 -103.80420959
111  49.69559432 -103.80412324
111  49.69562446 -103.80417389
113  49.69565056 -103.80421775
110 2 0.00 0.0000 New Taxiway 31
111  49.69584404 -103.80460109
111  49.69594488 -103.80445984
111  49.69604327 -103.80462546
113  49.69594055 -103.80476856
110 2 0.00 0.0000 New Taxiway 30
111  49.69635683 -103.80497336
111  49.69619416 -103.80519239
111  49.69616856 -103.80514908
111  49.69614152 -103.80510333
111  49.69611212 -103.80505358
113  49.69627690 -103.80483122
110 2 0.00 0.0000 New Taxiway 25
111  49.69372956 -103.80162489
111  49.69613402 -103.80565485
111  49.69606644 -103.80575228
111  49.69606582 -103.80591991
113  49.69359685 -103.80178552
110 2 0.00 0.0000 New Taxiway 36
111  49.69499463 -103.80315388
111  49.69496736 -103.80310865
111  49.69494251 -103.80306742
111  49.69491848 -103.80302756
111  49.69499710 -103.80291060
113  49.69507320 -103.80303836
110 2 0.00 0.0000 New Taxiway 37
111  49.69476544 -103.80277251
111  49.69473962 -103.80273157
111  49.69471047 -103.80268537
111  49.69468433 -103.80264393
111  49.69476074 -103.80253502
113  49.69483988 -103.80266933
110 1 0.00 0.0000 New Taxiway 8
111  49.69676227 -103.80795992
111  49.69674128 -103.80795026
111  49.69658662 -103.80787900
111  49.69659637 -103.80782140
111  49.69652074 -103.80778224
111  49.69640830 -103.80772402
111  49.69659992 -103.80685860
111  49.69683354 -103.80682728
111  49.69613402 -103.80565485
111  49.69372956 -103.80162489
111  49.69359685 -103.80178552
111  49.69333248 -103.80133981
111  49.69344426 -103.80119170
111  49.69353120 -103.80136038
111  49.69352411 -103.80145775
111  49.69354194 -103.80149767
111  49.69363234 -103.80139604
112  49.69363246 -103.80097373  49.69365402 -103.80073074
111  49.69363246 -103.80097373
111  49.69388756 -103.79824149
111  49.69414852 -103.79696731
111  49.69416967 -103.79686401
111  49.69426229 -103.79672907
111  49.69426974 -103.79643131
111  49.69351751 -103.79516470
111  49.69367103 -103.79494722
111  49.69918826 -103.80425300
111  49.70078912 -103.79645278
111  49.70076140 -103.79641960
111  49.70085381 -103.79599462
111  49.70088092 -103.79599557
111  49.70130822 -103.79392144
112  49.70130822 -103.79392144  49.70143054 -103.79378763
111  49.70153656 -103.79387738
111  49.70110435 -103.79598398
111  49.70112302 -103.79600457
111  49.70108587 -103.79620544
111  49.70105666 -103.79620716
111  49.69935055 -103.80452515
111  49.70108234 -103.80744698
111  49.70092885 -103.80766428
111  49.70015473 -103.80635697
111  49.69995964 -103.80634348
112  49.69995964 -103.80634348  49.69989663 -103.80646788
111  49.69980761 -103.80650322
111  49.69906251 -103.80677509
113  49.69699000 -103.80690981
111  49.69988207 -103.80589957
111  49.69927723 -103.80488973
111  49.69897310 -103.80637521
111  49.69907414 -103.80655809
111  49.69977841 -103.80630578
111  49.69979979 -103.80629812
113  49.69987372 -103.80618725
111  49.69911492 -103.80460772
111  49.69532391 -103.79820967
111  49.69434489 -103.79854360
113  49.69880621 -103.80611436
111  49.69453619 -103.79689240
111  49.69435280 -103.79688373
111  49.69429222 -103.79697183
111  49.69428014 -103.79702983
111  49.69406094 -103.79808223
111  49.69417369 -103.79829461
113  49.69516926 -103.79795083
111  49.69418138 -103.79880954
111  49.69402827 -103.79895198
112  49.69391254 -103.79922755  49.69388225 -103.79938883
111  49.69391254 -103.79922755
111  49.69381030 -103.80030993
111  49.69764131 -103.80672291
111  49.69852263 -103.80666329
112  49.69867965 -103.80639172  49.69871662 -103.80617646
113  49.69867965 -103.80639172
112  49.69396778 -103.80082700  49.69408015 -103.80064071
111  49.69396778 -103.80082700
111  49.69380366 -103.80054814
112  49.69378222 -103.80056414  49.69377574 -103.80060219
111  49.69378222 -103.80056414
113  49.69374082 -103.80096300
112  49.69655330 -103.80513712  49.69654582 -103.80509669
111  49.69655330 -103.80513712
111  49.69640846 -103.80489922
111  49.69635683 -103.80497336
111  49.69627690 -103.80483122
111  49.69611212 -103.80505358
111  49.69610155 -103.80503528
111  49.69630615 -103.80474289
111  49.69583419 -103.80394590
111  49.69565056 -103.80421775
111  49.69562446 -103.80417389
111  49.69580705 -103.80390580
111  49.69465810 -103.80195988
111  49.69452638 -103.80213649
111  49.69455593 -103.80218599
111  49.69447027 -103.80230855
111  49.69459525 -103.80251281
111  49.69449224 -103.80267238
111  49.69459658 -103.80284933
111  49.69471047 -103.80268537
111  49.69473962 -103.80273157
111  49.69462359 -103.80289678
111  49.69472018 -103.80306050
111  49.69486263 -103.80284386
111  49.69489045 -103.80288584
111  49.69474433 -103.80309546
111  49.69482719 -103.80323622
111  49.69494251 -103.80306742
111  49.69496736 -103.80310865
111  49.69485341 -103.80328194
111  49.69508384 -103.80367320
111  49.69519348 -103.80350916
111  49.69522379 -103.80355996
111  49.69511032 -103.80371690
111  49.69517688 -103.80383001
111  49.69528802 -103.80366879
111  49.69531400 -103.80371261
111  49.69520273 -103.80386887
111  49.69526688 -103.80398581
111  49.69533657 -103.80388939
111  49.69535920 -103.80392856
111  49.69529016 -103.80402296
111  49.69553440 -103.80443784
111  49.69561257 -103.80433288
111  49.69563144 -103.80436365
111  49.69555541 -103.80446632
111  49.69567545 -103.80467150
111  49.69575325 -103.80454663
111  49.69572865 -103.80449771
111  49.69586402 -103.80430893
111  49.69594488 -103.80445984
111  49.69584404 -103.80460109
111  49.69594055 -103.80476856
111  49.69595397 -103.80479185
111  49.69584019 -103.80495184
111  49.69602536 -103.80526891
111  49.69614152 -103.80510333
111  49.69616856 -103.80514908
111  49.69605558 -103.80531060
111  49.69623464 -103.80562729
112  49.69625634 -103.80562721  49.69626811 -103.80561426
111  49.69625634 -103.80562721
111  49.69636208 -103.80546357
111  49.69628561 -103.80533270
111  49.69637139 -103.80519876
111  49.69645086 -103.80534496
113  49.69654183 -103.80520805
111  49.69441355 -103.80175919
111  49.69427338 -103.80195531
111  49.69434790 -103.80208422
111  49.69443036 -103.80220736
113  49.69456293 -103.80201613
111  49.69406617 -103.80119819
111  49.69393360 -103.80137812
111  49.69400342 -103.80151384
111  49.69408659 -103.80164003
113  49.69421443 -103.80145352
112  49.69739586 -103.80660630  49.69737447 -103.80652417
111  49.69739586 -103.80660630
111  49.69711830 -103.80607001
111  49.69703780 -103.80617714
111  49.69695907 -103.80604294
111  49.69682264 -103.80623668
111  49.69679472 -103.80618942
111  49.69685825 -103.80610260
111  49.69680814 -103.80600870
111  49.69695888 -103.80581082
111  49.69667517 -103.80533758
112  49.69660672 -103.80534420  49.69657534 -103.80538058
111  49.69660672 -103.80534420
111  49.69632907 -103.80573144
112  49.69632631 -103.80577841  49.69633621 -103.80580361
111  49.69632631 -103.80577841
111  49.69671354 -103.80642115
111  49.69682669 -103.80624298
111  49.69690796 -103.80636945
111  49.69692234 -103.80639541
111  49.69691723 -103.80640287
111  49.69698739 -103.80651601
111  49.69687151 -103.80668529
112  49.69687151 -103.80668529  49.69692465 -103.80674918
111  49.69696834 -103.80675361
113  49.69736723 -103.80673848
130 Airport Boundary 52
111  49.70171496 -103.80797285
111  49.70141833 -103.80875753
111  49.70013298 -103.80681111
111  49.69924971 -103.80699454
111  49.69818187 -103.80975611
111  49.69609893 -103.80892051
111  49.69302726 -103.80078922
111  49.69332388 -103.79767125
111  49.69375233 -103.79765087
111  49.69400281 -103.79646890
111  49.69306022 -103.79472652
111  49.69352822 -103.79419667
111  49.69466197 -103.79603067
111  49.70164245 -103.79370698
111  49.70258504 -103.79554132
111  49.70096352 -103.80306209
111  49.70104262 -103.80367353
111  49.70085805 -103.80512059
111  49.70042301 -103.80531422
113  49.70034391 -103.80560974
120 Linear Feature 47
111  49.69980761 -103.80650322 54
111  49.69979359 -103.80640842 54
115  49.69977841 -103.80630578
120 Linear Feature 46
111  49.69428014 -103.79702983 54
115  49.69414852 -103.79696731
120 Linear Feature 45
111  49.69990143 -103.80629520 51
112  49.69992222 -103.80576760  49.69979815 -103.80546002
111  49.69992222 -103.80576760 51
115  49.69974309 -103.80546532
120 Linear Feature 43
111  49.69763968 -103.80678973 51
112  49.69754266 -103.80666807  49.69748875 -103.80658235
111  49.69754266 -103.80666807 51
111  49.69672531 -103.80530751 51
112  49.69657401 -103.80528761  49.69649771 -103.80537304
111  49.69657401 -103.80528761 51
111  49.69628965 -103.80569083
112  49.69628965 -103.80569083  49.69626911 -103.80574969 51
115  49.69628110 -103.80580328
120 Linear Feature 42
111  49.69428287 -103.79684293 51
112  49.69432418 -103.79633346  49.69420764 -103.79608028
111  49.69432418 -103.79633346 51
115  49.69408325 -103.79593384
120 Linear Feature 44
111  49.69628965 -103.80569083 51
116  49.69621170 -103.80568621  49.69617580 -103.80565712
120 Linear Feature 41
111  49.70044902 -103.80665368 51
111  49.70025823 -103.80633446
112  49.70025823 -103.80633446  49.70008488 -103.80607540 51
111  49.69990143 -103.80629520
112  49.69990143 -103.80629520  49.69984274 -103.80637742 51
111  49.69979359 -103.80640842 51
111  49.69907737 -103.80666531 51
112  49.69889593 -103.80670636  49.69881251 -103.80671430
111  49.69889593 -103.80670636 51
111  49.69763968 -103.80678973 51
111  49.69695581 -103.80681753 51
112  49.69681456 -103.80670325  49.69673262 -103.80658038
111  49.69681456 -103.80670325 51
111  49.69628110 -103.80580328 51
111  49.69621170 -103.80568621 51
111  49.69371741 -103.80147826
112  49.69371741 -103.80147826  49.69364379 -103.80132033 51
111  49.69366587 -103.80109175 51
111  49.69395660 -103.79824003 51
111  49.69422613 -103.79693944
112  49.69422613 -103.79693944  49.69424459 -103.79690056 51
112  49.69428287 -103.79684293  49.69430213 -103.79681712
111  49.69428287 -103.79684293
112  49.69428287 -103.79684293  49.69444095 -103.79663102 51
111  49.69461425 -103.79682325 51
115  49.69483204 -103.79719162
14  49.69699318 -103.80714467  82.02 0 New Tower Viewpoint 10
1300  49.69665725 -103.80798166  72.92 hangar props Hangar 14
1301 A none 
1300  49.69652099 -103.80759391 340.65 tie_down props Tie-Down 24
1301 A general_aviation 
1300  49.69656387 -103.80739162 340.65 tie_down props Tie-Down 23
1301 A general_aviation 
1300  49.69660675 -103.80719618 340.65 tie_down props Tie-Down 22
1301 A general_aviation 
1300  49.69665036 -103.80700074 340.65 tie_down props Tie-Down 21
1301 A general_aviation 
1300  49.69601490 -103.80552915  85.44 tie_down props Tie-Down 20
1301 A general_aviation 
1300  49.69587828 -103.80531246  85.44 tie_down props Tie-Down 19
1301 A general_aviation 
1300  49.69575585 -103.80510536  85.44 tie_down props Tie-Down 18
1301 A general_aviation 
1300  49.69563609 -103.80488867  85.44 tie_down props Tie-Down 17
1301 A general_aviation 
1300  49.69550213 -103.80466786  85.44 tie_down props Tie-Down 16
1301 A general_aviation 
1300  49.69538414 -103.80446900  85.44 tie_down props Tie-Down 15
1301 A general_aviation 
1300  49.69526881 -103.80427287  85.44 tie_down props Tie-Down 14
1301 A general_aviation 
1300  49.69515437 -103.80408087  85.44 tie_down props Tie-Down 13
1301 A general_aviation 
1300  49.69502928 -103.80387652  85.44 tie_down props Tie-Down 12
1301 A general_aviation 
1300  49.69490774 -103.80367903  85.44 tie_down props Tie-Down 11
1301 A general_aviation 
1300  49.69479685 -103.80348977  85.44 tie_down props Tie-Down 10
1301 A general_aviation 
1300  49.69467797 -103.80329091  85.44 tie_down props Tie-Down 9
1301 A general_aviation 
1300  49.69455199 -103.80309067  85.44 tie_down props Tie-Down 8
1301 A general_aviation 
1300  49.69442691 -103.80287124  85.44 tie_down props Tie-Down 7
1301 A general_aviation 
1300  49.69431513 -103.80267512  85.44 tie_down props Tie-Down 6
1301 A general_aviation 
1300  49.69419004 -103.80246392  85.44 tie_down props Tie-Down 5
1301 A general_aviation 
1300  49.69407648 -103.80228015  85.44 tie_down props Tie-Down 4
1301 A general_aviation 
1300  49.69396115 -103.80208677  85.44 tie_down props Tie-Down 3
1301 A general_aviation 
1300  49.69384849 -103.80188654  85.44 tie_down props Tie-Down 2
1301 A general_aviation 
1300  49.69403526 -103.80147157 -136.43 hangar props Hangar 13
1301 A none 
1300  49.69438651 -103.80203658 -136.43 hangar props Hangar 12
1301 A none 
1300  49.69454194 -103.80240029 -136.43 hangar props Hangar 11
1301 A none 
1300  49.69473148 -103.80270280 223.58 hangar props Hangar 10
1301 A none 
1300  49.69496374 -103.80307805 222.13 hangar props Hangar 9
1301 A none 
1300  49.69520906 -103.80352940 222.13 hangar props Hangar 8
1301 A none 
1300  49.69530968 -103.80367702 222.88 hangar props Hangar 7
1301 A none 
1300  49.69535435 -103.80389846 220.71 hangar props Hangar 6
1301 A none 
1300  49.69561912 -103.80435073 220.71 hangar props Hangar 5
1301 A none 
1300  49.69590886 -103.80466764 -138.42 hangar props Hangar 4
1301 A none 
1300  49.69619192 -103.80507295 -138.42 hangar props Hangar 3
1301 A none 
1300  49.69688553 -103.80627196 -138.42 hangar props Hangar 2
1301 A none 
1300  49.69697024 -103.80646324 -138.42 hangar props Hangar 1
1301 A none 
18  49.69761603 -103.80588629 1 New Airport Beacon 9
19  49.69382916 -103.79792521 0 New Windsock 14
19  49.69716487 -103.80749306 0 New Windsock 12
19  49.69689247 -103.80184042 0 New Windsock 7
19  49.69396978 -103.79993137 0 New Windsock 6
51 12280 Unicom
99
