I
1050 Generated by WorldEditor

1    496 1 0 CYQX GANDER INTL
111  48.94557261 -054.57466952
111  48.94546399 -054.57472268
111  48.94503823 -054.57274101
113  48.94515364 -054.57268490 51 101
110 2 0.00 0.0000 New Taxiway 34
111  48.94194292 -054.57971442
111  48.94190334 -054.57983061
111  48.94140562 -054.57944511
111  48.94169686 -054.57855663
111  48.94186892 -054.57867741
111  48.94192834 -054.57849541
111  48.94225512 -054.57872362
111  48.94205363 -054.57936742
111  48.94217788 -054.57945574
113  48.94206570 -054.57980843
110 2 0.00 0.0000 New Taxiway 33
111  48.94171342 -054.57695733
111  48.94161092 -054.57726976
111  48.94134558 -054.57705940
111  48.94130527 -054.57716935
111  48.94108842 -054.57699509
111  48.94124034 -054.57657934
113  48.94145708 -054.57675468
110 2 0.00 0.0000 New Taxiway 87
111  48.94422574 -054.57291418
111  48.94405012 -054.57277744
111  48.94412611 -054.57255106
113  48.94429981 -054.57267857
110 2 0.00 0.0000 New Taxiway 86
111  48.94374190 -054.57370862
111  48.94375661 -054.57366499
111  48.94390069 -054.57324364
111  48.94414622 -054.57343304
113  48.94398930 -054.57390189
110 2 0.00 0.0000 New Taxiway 85
111  48.94394760 -054.57603156
111  48.94400841 -054.57583665
111  48.94425591 -054.57602831
113  48.94418764 -054.57622322
110 2 0.00 0.0000 New Taxiway 84
111  48.94382008 -054.57686586
111  48.94370176 -054.57676250
111  48.94384141 -054.57634609
113  48.94396943 -054.57643912
110 2 0.00 0.0000 New Taxiway 32
111  48.94359496 -054.57438973
111  48.94361951 -054.57440810
111  48.94360071 -054.57446316
111  48.94396817 -054.57474702
111  48.94385712 -054.57509116
111  48.94377620 -054.57502480
111  48.94375114 -054.57509740
111  48.94373634 -054.57508522
111  48.94346185 -054.57590122
111  48.94309616 -054.57561599
111  48.94316308 -054.57541347
111  48.94338584 -054.57471553
111  48.94346320 -054.57477482
113  48.94357592 -054.57444732
110 2 0.00 0.0000 New Taxiway 31
111  48.94447114 -054.57535412
111  48.94436772 -054.57487689
111  48.94453160 -054.57480179
113  48.94463184 -054.57527660
110 2 0.00 0.0000 New Taxiway 30
111  48.94473761 -054.57592447
111  48.94474629 -054.57571745
111  48.94529450 -054.57575049
113  48.94528727 -054.57596852
110 2 0.00 0.0000 New Taxiway 29
111  48.94727687 -054.57693675
111  48.94715020 -054.57699933
111  48.94704379 -054.57649453
111  48.94709360 -054.57647042
113  48.94717137 -054.57643240
110 2 0.00 0.0000 New Taxiway 28
111  48.94589099 -054.57451487
111  48.94577178 -054.57395668
111  48.94613511 -054.57377891
113  48.94625759 -054.57433585
110 2 0.00 0.0000 New Taxiway 27
111  48.94575142 -054.57334731
111  48.94563043 -054.57279579
111  48.94599413 -054.57261949
113  48.94611809 -054.57316875
110 2 0.00 0.0000 New Taxiway 26
111  48.94554557 -054.57238116
111  48.94542498 -054.57183214
111  48.94578868 -054.57165357
113  48.94590617 -054.57220215
110 2 0.00 0.0000 New Taxiway 25
111  48.94591889 -054.57149105
111  48.94577228 -054.57078120
111  48.94602440 -054.57065604
113  48.94617653 -054.57136309
110 2 0.00 0.0000 New Taxiway 24
111  48.94654782 -054.57145721
111  48.94642636 -054.57089418
111  48.94678601 -054.57071643
113  48.94690747 -054.57127741
110 2 0.00 0.0000 New Taxiway 23
111  48.94670091 -054.57245196
111  48.94657510 -054.57187753
111  48.94694015 -054.57169820
113  48.94706345 -054.57227076
110 2 0.00 0.0000 New Taxiway 22
111  48.94689539 -054.57333878
111  48.94676965 -054.57276815
111  48.94713380 -054.57258789
113  48.94725627 -054.57315230
110 2 0.00 0.0000 New Taxiway 21
111  48.94707605 -054.57420652
111  48.94695868 -054.57366047
111  48.94732274 -054.57347514
113  48.94743685 -054.57402947
110 2 0.00 0.0000 New Taxiway 20
111  48.94727684 -054.57516174
111  48.94715738 -054.57459422
111  48.94752382 -054.57441918
113  48.94764327 -054.57498123
110 2 0.00 0.0000 New Taxiway 19
111  48.94746146 -054.57603257
111  48.94734623 -054.57547639
111  48.94770951 -054.57529691
113  48.94782708 -054.57585263
110 2 0.00 0.0000 New Taxiway 18
111  48.94689305 -054.57487182
111  48.94694340 -054.57484985
111  48.94701077 -054.57517975
111  48.94703905 -054.57516703
111  48.94709615 -054.57544217
111  48.94706878 -054.57545328
111  48.94716447 -054.57589645
111  48.94698963 -054.57598227
111  48.94696670 -054.57588343
111  48.94620581 -054.57624998
111  48.94613167 -054.57590454
111  48.94628635 -054.57582863
111  48.94612505 -054.57506202
111  48.94625849 -054.57499547
111  48.94624073 -054.57491643
111  48.94664996 -054.57470802
111  48.94653113 -054.57414612
111  48.94664186 -054.57409150
111  48.94645333 -054.57323994
113  48.94653826 -054.57320033
110 2 0.00 0.0000 New Taxiway 71
111  48.94213204 -054.55667406
111  48.94196014 -054.55653321
111  48.94204664 -054.55627566
113  48.94221909 -054.55641152
110 2 0.00 0.0000 New Taxiway 49
111  48.94853639 -054.57819352
111  48.94836361 -054.57828184
111  48.94834820 -054.57820540
111  48.94830222 -054.57822603
111  48.94826282 -054.57801325
113  48.94847720 -054.57791945
110 1 0.00 0.0000 New Taxiway 3
111  48.95300822 -054.58586326 53 102
111  48.95246824 -054.58613417 53 102
111  48.95192719 -054.58640562 53 102
111  48.95152133 -054.58609114
111  48.95118802 -054.58532036
111  48.95056824 -054.58481114
111  48.94931518 -054.57896265
112  48.94921018 -054.57892459  48.94915440 -054.57894492
111  48.94921018 -054.57892459
111  48.94849648 -054.57928351
111  48.94844609 -054.57941234
111  48.94880725 -054.58115192
111  48.94875031 -054.58116926
111  48.94870729 -054.58096310
111  48.94862884 -054.58092457
111  48.94807737 -054.58119593
111  48.94796101 -054.58067606
111  48.94790436 -054.58066907
111  48.94769058 -054.57961740
111  48.94835347 -054.57929464
111  48.94822893 -054.57867524
111  48.94781581 -054.57888398
111  48.94750977 -054.57745422
111  48.94743765 -054.57745807
111  48.94739083 -054.57727119
111  48.94724593 -054.57733806
111  48.94719217 -054.57709394
111  48.94729767 -054.57703619
111  48.94727687 -054.57693675
111  48.94717137 -054.57643240
111  48.94709360 -054.57647042
111  48.94698963 -054.57598227
111  48.94716447 -054.57589645
111  48.94706878 -054.57545328
111  48.94709615 -054.57544216
111  48.94703905 -054.57516703
111  48.94701078 -054.57517974
111  48.94694341 -054.57484985
111  48.94689305 -054.57487182
111  48.94653826 -054.57320033
111  48.94645333 -054.57323994
111  48.94664186 -054.57409150
111  48.94653113 -054.57414611
111  48.94664996 -054.57470802
111  48.94624073 -054.57491643
111  48.94625849 -054.57499547
111  48.94612506 -054.57506202
111  48.94628635 -054.57582863
111  48.94613167 -054.57590454
111  48.94598863 -054.57523246
111  48.94549202 -054.57549050 53 102
111  48.94483964 -054.57248917
111  48.94443967 -054.57258738
112  48.94443967 -054.57258738  48.94432360 -054.57261922
111  48.94431936 -054.57269292
111  48.94429981 -054.57267857
111  48.94412611 -054.57255106
111  48.94423932 -054.57220073
111  48.94455977 -054.57247575
111  48.94479536 -054.57240668 53 102
111  48.94539839 -054.57062326 53 102
111  48.94526841 -054.56997699
111  48.94371653 -054.56877037 102
111  48.94365807 -054.56880639 102
111  48.94251277 -054.57222067 102
112  48.94254383 -054.57240982  48.94260311 -054.57246314
111  48.94254383 -054.57240982 102
111  48.94347125 -054.57313322 102
111  48.94367626 -054.57250590
111  48.94394072 -054.57271357
111  48.94386859 -054.57292473
111  48.94398099 -054.57301648
111  48.94390069 -054.57324364
111  48.94375661 -054.57366499
112  48.94368858 -054.57355715  48.94366032 -054.57353074
111  48.94368858 -054.57355715
111  48.94337356 -054.57330719
111  48.94310391 -054.57407992
111  48.94357592 -054.57444732
111  48.94346320 -054.57477482
111  48.94338584 -054.57471553
111  48.94316308 -054.57541347
111  48.94280473 -054.57513582
111  48.94263841 -054.57563576
112  48.94248744 -054.57567878  48.94242303 -054.57579365
111  48.94248744 -054.57567878
111  48.94237878 -054.57592699
111  48.94233927 -054.57589789
111  48.94245099 -054.57552375 102
111  48.94164035 -054.57490256 102
111  48.94126957 -054.57599538 102
112  48.94128947 -054.57611426  48.94134217 -054.57615833
111  48.94128947 -054.57611426 102
111  48.94158828 -054.57636658
111  48.94145708 -054.57675468
111  48.94124034 -054.57657934
111  48.94108842 -054.57699509
111  48.94100691 -054.57721817 102
111  48.94089273 -054.57712798 102
111  48.94021975 -054.57912344
111  48.93935346 -054.57844476
111  48.94274660 -054.56840476 102
111  48.94167207 -054.56757379 102
111  48.94178461 -054.56725580 102
111  48.94043125 -054.56620625
112  48.94043125 -054.56620625  48.94003735 -054.56589997 102
111  48.93968133 -054.56598909 102
111  48.92895618 -054.56907484
112  48.92895618 -054.56907484  48.92885478 -054.56909095 102
111  48.92881071 -054.56903523 102
111  48.92811721 -054.56832459 53 102
111  48.92767599 -054.56844322 53 102
111  48.92731689 -054.56809054 53 102
111  48.92723891 -054.56744080 53 102
111  48.92716110 -054.56679245 53 102
111  48.92691344 -054.56652909
111  48.92190394 -054.56799891
112  48.92190394 -054.56799891  48.92177786 -054.56802843
111  48.92169667 -054.56817005 102
111  48.92146436 -054.56851181 102
111  48.92097585 -054.56863732 102
111  48.92090741 -054.56818347
111  48.92080464 -054.56734713
111  48.92079717 -054.56728981
111  48.94197829 -054.56114802
111  48.94163851 -054.55812020
111  48.94110568 -054.55631035
111  48.94083716 -054.55639706
111  48.94137961 -054.55477309
111  48.94159359 -054.55473586
111  48.94239038 -054.55537890
111  48.94212551 -054.55619707
111  48.94278905 -054.55671640
111  48.94292076 -054.55681947
111  48.94304998 -054.55692061
111  48.94322736 -054.55705900
111  48.94405769 -054.55770930
111  48.94399047 -054.55791846
111  48.94382379 -054.55843705
111  48.94356623 -054.55822974
111  48.94346977 -054.55827403
111  48.94341747 -054.55842440
111  48.94312316 -054.55927063 53 102
111  48.94313563 -054.55929669 53 102
111  48.94326054 -054.55955765 53 102
111  48.94381484 -054.56063124
111  48.94578253 -054.55992746
113  48.94683675 -054.55669114
111  48.95074518 -054.57523735 102
112  48.95043162 -054.57510143  48.95038694 -054.57511156
111  48.95043162 -054.57510143 102
111  48.94992662 -054.57526932 102
111  48.94965587 -054.57535933 102
111  48.94904775 -054.57565931
111  48.95082169 -054.58399113
112  48.95114760 -054.58456490  48.95136188 -054.58475414
111  48.95114760 -054.58456490
111  48.95209066 -054.58529122
112  48.95244830 -054.58532770  48.95249583 -054.58531033
111  48.95244830 -054.58532770
111  48.95266372 -054.58521462 53 102
113  48.95273972 -054.58465891
111  48.95043270 -054.57379441
111  48.94955297 -054.56964380 102
111  48.94927676 -054.56943348 102
111  48.94871947 -054.56961770 102
111  48.94847460 -054.56969864 102
111  48.94761456 -054.57011349
111  48.94735183 -054.57087765 53 102
111  48.94817747 -054.57478155 102
111  48.94861694 -054.57514525 102
112  48.94876810 -054.57516117  48.94885316 -054.57512459
111  48.94876810 -054.57516117 102
111  48.94958420 -054.57477640 102
111  48.94979229 -054.57463332 102
111  48.95024841 -054.57431972
114  48.95024841 -054.57431972  48.95031115 -054.57425762 102
111  48.94872959 -054.57624096
112  48.94872959 -054.57624096  48.94869473 -054.57613483
111  48.94859364 -054.57603541
111  48.94843954 -054.57588619
112  48.94843954 -054.57588619  48.94840692 -054.57585800
111  48.94835196 -054.57587340 53 102
111  48.94819081 -054.57593657 53 102
111  48.94832309 -054.57652683 53 102
111  48.94853015 -054.57643225 53 102
111  48.94887075 -054.57803908
111  48.94853639 -054.57819352
111  48.94847720 -054.57791945
111  48.94826282 -054.57801325
111  48.94822240 -054.57803094
111  48.94827659 -054.57827991
111  48.94823571 -054.57830307
111  48.94822050 -054.57839137
111  48.94839088 -054.57918530
111  48.94847980 -054.57919767
111  48.94917437 -054.57884398
113  48.94925765 -054.57869085
111  48.94923827 -054.56817403
111  48.94774187 -054.56109573
111  48.94731958 -054.56074848
111  48.94612915 -054.56110298
111  48.94610220 -054.56099452
111  48.93862897 -054.56314639
111  48.93877343 -054.56393467
111  48.93990829 -054.56529741 102
112  48.94011208 -054.56529313  48.94016612 -054.56532387
111  48.94011208 -054.56529313 102
111  48.94195360 -054.56671534 102
111  48.94200435 -054.56668071 102
111  48.94301406 -054.56747492
111  48.94325909 -054.56735379
111  48.94505210 -054.56203567
111  48.94580819 -054.56182230
111  48.94379616 -054.56770750
111  48.94390138 -054.56814088
111  48.94413544 -054.56831105
111  48.94420908 -054.56845921
111  48.94549522 -054.56947648 53 102
111  48.94629932 -054.56954769 53 102
111  48.94634535 -054.56946360 53 102
111  48.94635718 -054.56927140
111  48.94637394 -054.56927347
111  48.94662143 -054.56930411
111  48.94668066 -054.56931144 53 102
111  48.94667911 -054.56945703
112  48.94667911 -054.56945703  48.94668633 -054.56956064 53 102
111  48.94671880 -054.56957973 53 102
111  48.94731693 -054.56964600
111  48.94754613 -054.56952671 102
111  48.94839456 -054.56908511 102
111  48.94858475 -054.56896179 102
113  48.94904613 -054.56866264 102
111  48.93874361 -054.56399654
112  48.93874361 -054.56399654  48.93859651 -054.56381574
111  48.93806695 -054.56330030
111  48.93297157 -054.56478026 102
111  48.93275636 -054.56523342 102
111  48.93283890 -054.56592806 102
111  48.93296198 -054.56696374 102
111  48.93320714 -054.56724247 102
113  48.93981398 -054.56533178
111  48.93858673 -054.56321949
112  48.93858673 -054.56321949  48.93857262 -054.56315785
111  48.93852710 -054.56317186
111  48.93816743 -054.56328318
111  48.93865075 -054.56378452
112  48.93865075 -054.56378452  48.93868588 -054.56381593
113  48.93869361 -054.56375856
111  48.93236303 -054.56535997 102
111  48.93207070 -054.56506883
111  48.92784712 -054.56627371 53 102
111  48.92759254 -054.56667813 53 102
111  48.92764490 -054.56708752 102
111  48.92876518 -054.56824741 102
112  48.92925365 -054.56837334  48.92942328 -054.56833932
111  48.92925365 -054.56837334 102
111  48.93243736 -054.56745417 102
111  48.93257961 -054.56709024 102
113  48.93244832 -054.56604136 102
111  48.94274191 -054.55905944
112  48.94273485 -054.55899386  48.94271286 -054.55897586
111  48.94273485 -054.55899386
111  48.94223805 -054.55860004
112  48.94223805 -054.55860004  48.94219197 -054.55857198
111  48.94214424 -054.55860448
111  48.94197931 -054.55872754
111  48.94216057 -054.56031993
112  48.94228826 -054.56039134  48.94236481 -054.56038285
113  48.94228826 -054.56039134
111  48.94334010 -054.57326101 102
111  48.94244640 -054.57256226
112  48.94244640 -054.57256226  48.94241047 -054.57252807 102
111  48.94237073 -054.57264055 102
111  48.94196949 -054.57383695 102
111  48.94201469 -054.57403938 53 102
111  48.94274207 -054.57460004 102
111  48.94292579 -054.57406109
113  48.94302867 -054.57414563
111  48.94345015 -054.56879015 102
111  48.94338309 -054.56881026 102
111  48.94158204 -054.57413626 102
113  48.94164050 -054.57417939 102
111  48.94782708 -054.57585263
111  48.94770951 -054.57529691
111  48.94734623 -054.57547639
113  48.94746146 -054.57603257
111  48.94764328 -054.57498123
111  48.94752382 -054.57441917
111  48.94715739 -054.57459422
113  48.94727684 -054.57516174
111  48.94732274 -054.57347514
111  48.94695868 -054.57366047
111  48.94707605 -054.57420652
113  48.94743685 -054.57402946
111  48.94725627 -054.57315230
111  48.94713380 -054.57258789
111  48.94676965 -054.57276815
113  48.94689539 -054.57333878
111  48.94706345 -054.57227076
111  48.94694015 -054.57169820
111  48.94657510 -054.57187753
113  48.94670091 -054.57245196
111  48.94690748 -054.57127741
111  48.94678602 -054.57071643
111  48.94642636 -054.57089418
113  48.94654782 -054.57145721
111  48.94617653 -054.57136309
111  48.94602440 -054.57065604
111  48.94577228 -054.57078120
113  48.94591889 -054.57149105
111  48.94578869 -054.57165357
111  48.94542498 -054.57183213
111  48.94554557 -054.57238116
113  48.94590617 -054.57220215
111  48.94611809 -054.57316874
111  48.94599413 -054.57261949
111  48.94563043 -054.57279579
113  48.94575142 -054.57334731
111  48.94625759 -054.57433585
111  48.94613512 -054.57377891
111  48.94577178 -054.57395668
113  48.94589099 -054.57451487
111  48.94557261 -054.57466952
111  48.94515364 -054.57268490
111  48.94503823 -054.57274101
113  48.94546399 -054.57472268
111  48.94221909 -054.55641152
111  48.94204664 -054.55627566
111  48.94196014 -054.55653320
113  48.94213204 -054.55667406
111  48.94848001 -054.58087004
111  48.94822498 -054.57967844
111  48.94802387 -054.57977164
111  48.94806393 -054.57995989
111  48.94795174 -054.58001351
113  48.94816848 -054.58102410
111  48.94807768 -054.57807176
111  48.94773968 -054.57822651
111  48.94779031 -054.57845333
111  48.94808163 -054.57831025
111  48.94809451 -054.57836345
113  48.94813699 -054.57834026
111  48.94264861 -054.57492498
111  48.94192686 -054.57436426
111  48.94196928 -054.57456493
111  48.94197350 -054.57458492
111  48.94190218 -054.57479913
111  48.94185189 -054.57495015
111  48.94247661 -054.57542824
111  48.94252530 -054.57528578
113  48.94260298 -054.57505849
130 Airport Boundary 2
111  48.95199015 -054.58868602
111  48.94917010 -054.58274774
111  48.94676173 -054.58282940
111  48.94612810 -054.58052433
111  48.94101903 -054.58267330
111  48.93280068 -054.56905170
111  48.92848003 -054.56972982
111  48.92817875 -054.56925519
111  48.91922944 -054.57017242
111  48.91656014 -054.56399700
111  48.94037653 -054.55693663
111  48.94128045 -054.55425215
112  48.94290895 -054.55383092  48.94347311 -054.55368350
111  48.94446453 -054.55236528
111  48.94359960 -054.54869299
112  48.94359960 -054.54869299  48.94352399 -054.54795618
111  48.94377217 -054.54726375
111  48.94463285 -054.54684086
111  48.94470010 -054.54672607
111  48.94517695 -054.54649026
111  48.94523808 -054.54654921
111  48.94546224 -054.54644372
111  48.94657883 -054.54757848
111  48.94788442 -054.55153122
111  48.94921529 -054.55461006
111  48.95031370 -054.55848676
111  48.95053031 -054.56028581
111  48.95119605 -054.56227549
111  48.95219227 -054.56605681
111  48.95208665 -054.57150332
111  48.95249843 -054.57345204
111  48.95228391 -054.57361725
111  48.95267350 -054.57550589
111  48.95293980 -054.57540827
111  48.95495853 -054.58592210
113  48.95475922 -054.58731637
120 Linear Feature 48
111  48.94288390 -054.55936509 2
115  48.94313563 -054.55929669
120 Linear Feature 45
111  48.94511462 -054.56970234 55
115  48.94521532 -054.56939236
120 Linear Feature 41
111  48.94276645 -054.56788180 55
115  48.94286802 -054.56757091
120 Linear Feature 40
111  48.94581793 -054.57242730 20
111  48.94593659 -054.57208076 20
111  48.94585171 -054.57167198 20
111  48.94587759 -054.57159717 20
111  48.94577631 -054.57151719 20
111  48.94575159 -054.57159171 20
111  48.94548241 -054.57172129 20
115  48.94536604 -054.57206319
120 Linear Feature 39
111  48.94588957 -054.57157065 20
111  48.94613486 -054.57145774 20
111  48.94626734 -054.57107935 20
111  48.94632064 -054.57105397 20
111  48.94628757 -054.57089003 20
111  48.94623574 -054.57091375 20
111  48.94598568 -054.57071191 20
115  48.94574447 -054.57082411
120 Linear Feature 38
111  48.94661034 -054.57147486 20
111  48.94638620 -054.57129735 20
111  48.94630073 -054.57088574 20
111  48.94625266 -054.57084745 20
111  48.94630483 -054.57069533 20
111  48.94635396 -054.57073397 20
111  48.94662276 -054.57060588 20
115  48.94685000 -054.57078703
120 Linear Feature 37
111  48.94683762 -054.57252407 20
111  48.94661366 -054.57234635 20
111  48.94652865 -054.57193524 20
111  48.94648072 -054.57189689 20
111  48.94653323 -054.57174521 20
111  48.94658195 -054.57178393 20
111  48.94685036 -054.57165525 20
115  48.94707818 -054.57183626
120 Linear Feature 36
111  48.94707607 -054.57344580 20
111  48.94685212 -054.57326939 20
111  48.94676750 -054.57285775 20
111  48.94671805 -054.57281933 20
111  48.94677119 -054.57266686 20
111  48.94681936 -054.57270420 20
111  48.94708736 -054.57257618 20
115  48.94731596 -054.57275755
120 Linear Feature 35
111  48.94722832 -054.57431048 20
111  48.94700412 -054.57413234 20
111  48.94691934 -054.57372209 20
111  48.94687104 -054.57368398 20
111  48.94692316 -054.57353005 20
111  48.94697238 -054.57356936 20
111  48.94723996 -054.57344041 20
115  48.94746796 -054.57362226
120 Linear Feature 34
111  48.94589277 -054.57431151 20
111  48.94603398 -054.57444317 20
111  48.94621009 -054.57437875 20
111  48.94624020 -054.57440698 20
111  48.94627851 -054.57431221 20
111  48.94624835 -054.57428461 20
111  48.94620616 -054.57401588 20
115  48.94606699 -054.57388620
120 Linear Feature 33
111  48.94575801 -054.57321954 20
111  48.94590876 -054.57332417 20
111  48.94607757 -054.57322669 20
111  48.94611055 -054.57324905 20
111  48.94614069 -054.57314815 20
111  48.94610869 -054.57312600 20
111  48.94604474 -054.57286722 20
115  48.94589662 -054.57276564
120 Linear Feature 32
111  48.94746595 -054.57512225 20
111  48.94732258 -054.57500455 20
111  48.94727113 -054.57473888 20
111  48.94723983 -054.57471398 20
111  48.94727452 -054.57461561 20
111  48.94730583 -054.57464172 20
111  48.94747925 -054.57456315 20
115  48.94762496 -054.57468249
120 Linear Feature 31
111  48.94766127 -054.57596733 20
111  48.94751800 -054.57584939 20
111  48.94746580 -054.57558354 20
111  48.94743491 -054.57555832 20
111  48.94746968 -054.57546096 20
111  48.94750090 -054.57548607 20
111  48.94767446 -054.57540738 20
115  48.94781946 -054.57552718
120 Linear Feature 26
111  48.94386102 -054.55816755 51
115  48.94380662 -054.55811194
120 Linear Feature 25
111  48.94341618 -054.55820994 51
112  48.94356919 -054.55818204  48.94362977 -054.55820405
111  48.94356919 -054.55818204 51
111  48.94367549 -054.55826191
112  48.94367549 -054.55826191  48.94374226 -054.55829964 51
111  48.94378543 -054.55822947 51
115  48.94385415 -054.55808579
120 Linear Feature 24
111  48.94314946 -054.55728671 51
115  48.94322736 -054.55705900
120 Linear Feature 23
111  48.94318464 -054.55731521 51
111  48.94314946 -054.55728671 51
115  48.94311293 -054.55725713
120 Linear Feature 22
111  48.94348940 -054.55752664 51
115  48.94355938 -054.55731982
120 Linear Feature 21
111  48.94331833 -054.55739368 51
111  48.94348940 -054.55752664 51
115  48.94399047 -054.55791763
120 Linear Feature 20
111  48.94299268 -054.55713762 51
115  48.94295130 -054.55710770
120 Linear Feature 19
111  48.94270883 -054.55695912 51
115  48.94278905 -054.55671640
120 Linear Feature 18
111  48.94315940 -054.55787384 51
115  48.94319353 -054.55776990
120 Linear Feature 17
111  48.94330050 -054.55744647 51
111  48.94331833 -054.55739368 51
115  48.94333767 -054.55733642
120 Linear Feature 16
111  48.94274089 -054.55698353 51
111  48.94270883 -054.55695912 51
115  48.94267205 -054.55693112
120 Linear Feature 15
111  48.94297845 -054.55719866 51
115  48.94301475 -054.55708909
120 Linear Feature 10
111  48.94086328 -054.57548952 2
111  48.94091456 -054.57532138 2
111  48.94102848 -054.57540100 2
113  48.94097683 -054.57557220 2
120 Linear Feature 9
111  48.94060998 -054.57592905 51
111  48.94070674 -054.57587841 51
111  48.94076822 -054.57568815
112  48.94076822 -054.57568815  48.94079987 -054.57557148 51
115  48.94086589 -054.57560026
120 Linear Feature 8
111  48.94097955 -054.57547156 51
111  48.94083624 -054.57536772 51
112  48.94077056 -054.57552885  48.94084737 -054.57572783
111  48.94077056 -054.57552885 51
111  48.94086589 -054.57560026 51 101
111  48.94108208 -054.57576219
112  48.94108208 -054.57576219  48.94114039 -054.57579297 51 101
115  48.94123472 -054.57571028
120 Linear Feature 6
111  48.94252530 -054.57528578 51
115  48.94190218 -054.57479913
120 Linear Feature 5
111  48.94239371 -054.57509126 52
111  48.94247832 -054.57482897
112  48.94247832 -054.57482897  48.94252725 -054.57464534 52
115  48.94242343 -054.57452513
120 Linear Feature 4
111  48.94223489 -054.57497356 52
111  48.94231681 -054.57472019
112  48.94231681 -054.57472019  48.94236005 -054.57453569 52
115  48.94225262 -054.57439264
120 Linear Feature 3
111  48.94207880 -054.57484371 52
111  48.94215711 -054.57459856
112  48.94215711 -054.57459856  48.94219699 -054.57442511 52
