I
1050 Generated by WorldEditor 2.1.0r1

1    273 0 0 4B6 Ticonderoga Muni
111  43.86874371 -073.41202949 1
115  43.86870946 -073.41203147
120 Linear Feature 5
111  43.86865472 -073.41203505 1
111  43.86862047 -073.41203704 1
115  43.86858622 -073.41203903
120 Linear Feature 4
111  43.86970872 -073.41227809 1
111  43.86974241 -073.41227668 1
115  43.86977611 -073.41227528
120 Linear Feature 4
111  43.86958581 -073.41228438 1
111  43.86961950 -073.41228298 1
115  43.86965319 -073.41228157
120 Linear Feature 4
111  43.86946166 -073.41229468 1
111  43.86949535 -073.41229328 1
115  43.86952904 -073.41229187
120 Linear Feature 4
111  43.86933751 -073.41230097 1
111  43.86937120 -073.41229957 1
115  43.86940489 -073.41229816
120 Linear Feature 4
111  43.86921501 -073.41230898 1
111  43.86924870 -073.41230758 1
115  43.86928239 -073.41230617
120 Linear Feature 4
111  43.86909168 -073.41231642 1
111  43.86912538 -073.41231502 1
115  43.86915907 -073.41231361
120 Linear Feature 4
111  43.86896712 -073.41232558 1
111  43.86900081 -073.41232417 1
115  43.86903451 -073.41232277
120 Linear Feature 4
111  43.86884462 -073.41233244 1
111  43.86887831 -073.41233104 1
115  43.86891201 -073.41232963
120 Linear Feature 4
111  43.86872088 -073.41233873 1
111  43.86875458 -073.41233733 1
115  43.86878827 -073.41233592
120 Linear Feature 4
111  43.86859756 -073.41234674 1
111  43.86863125 -073.41234534 1
115  43.86866494 -073.41234393
120 Linear Feature 4
111  43.86847382 -073.41235247 1
111  43.86850751 -073.41235106 1
115  43.86854121 -073.41234966
120 Linear Feature 4
111  43.86835034 -073.41236173 1
111  43.86838403 -073.41236033 1
115  43.86841773 -073.41235892
120 Linear Feature 4
111  43.86822660 -073.41236860 1
111  43.86826030 -073.41236719 1
115  43.86829399 -073.41236579
120 Linear Feature 4
111  43.86974352 -073.41234145 1
115  43.86974241 -073.41227668
120 Linear Feature 4
111  43.86962061 -073.41234774 1
115  43.86961950 -073.41228298
120 Linear Feature 4
111  43.86949646 -073.41235804 1
115  43.86949535 -073.41229328
120 Linear Feature 4
111  43.86937231 -073.41236433 1
115  43.86937120 -073.41229957
120 Linear Feature 4
111  43.86924981 -073.41237234 1
115  43.86924870 -073.41230758
120 Linear Feature 4
111  43.86912648 -073.41237978 1
115  43.86912538 -073.41231502
120 Linear Feature 4
111  43.86900192 -073.41238893 1
115  43.86900081 -073.41232417
120 Linear Feature 4
111  43.86887942 -073.41239580 1
115  43.86887831 -073.41233104
120 Linear Feature 4
111  43.86875568 -073.41240209 1
115  43.86875458 -073.41233733
120 Linear Feature 4
111  43.86863236 -073.41241010 1
115  43.86863125 -073.41234534
120 Linear Feature 4
111  43.86850862 -073.41241582 1
115  43.86850751 -073.41235106
120 Linear Feature 4
111  43.86838514 -073.41242509 1
115  43.86838403 -073.41236033
120 Linear Feature 4
111  43.86826140 -073.41243195 1
115  43.86826030 -073.41236719
21  43.87445541 -073.41365601 2 2.4400 3.00 PAPI-2L-2
21  43.88069397 -073.41259451 2 182.4400 3.00 PAPI-2L-20
14  43.87012067 -073.41163967  15.00 0 Tower
1300  43.86974241 -073.41227668  91.62 tie_down props Tie-Down 1
1301 A general_aviation 
1300  43.86961950 -073.41228298  91.62 tie_down props Tie-Down 2
1301 A general_aviation 
1300  43.86949535 -073.41229328  91.62 tie_down props Tie-Down 3
1301 A general_aviation 
1300  43.86937120 -073.41229957  91.62 tie_down props Tie-Down 4
1301 A general_aviation 
1300  43.86924870 -073.41230758  91.62 tie_down props Tie-Down 5
1301 A general_aviation 
1300  43.86912538 -073.41231502  91.62 tie_down props Tie-Down 6
1301 A general_aviation 
1300  43.86900081 -073.41232417  91.62 tie_down props Tie-Down 7
1301 A general_aviation 
1300  43.86887831 -073.41233104  91.62 tie_down props Tie-Down 8
1301 A general_aviation 
1300  43.86875458 -073.41233733  91.62 tie_down props Tie-Down 9
1301 A general_aviation 
1300  43.86863125 -073.41234534  91.62 tie_down props Tie-Down 10
1301 A general_aviation 
1300  43.86850751 -073.41235106  91.62 tie_down props Tie-Down 11
1301 A general_aviation 
1300  43.86838403 -073.41236033  91.62 tie_down props Tie-Down 12
1301 A general_aviation 
1300  43.86826030 -073.41236719  91.62 tie_down props Tie-Down 13
1301 A general_aviation 
1300  43.86862047 -073.41203704 -88.21 tie_down props Tie-Down 14
1301 A general_aviation 
1300  43.86874371 -073.41202949 -88.21 tie_down props Tie-Down 15
1301 A general_aviation 
1300  43.86886646 -073.41202194 -88.21 tie_down props Tie-Down 16
1301 A general_aviation 
1300  43.86899119 -073.41201507 -88.21 tie_down props Tie-Down 17
1301 A general_aviation 
1300  43.86911443 -073.41200752 -88.21 tie_down props Tie-Down 18
1301 A general_aviation 
1300  43.86923718 -073.41200065 -88.21 tie_down props Tie-Down 19
1301 A general_aviation 
1300  43.86936141 -073.41199379 -88.21 tie_down props Tie-Down 20
1301 A general_aviation 
1300  43.86948564 -073.41198555 -88.21 tie_down props Tie-Down 21
1301 A general_aviation 
1300  43.86960839 -073.41197800 -88.21 tie_down props Tie-Down 22
1301 A general_aviation 
1300  43.86973015 -073.41196907 -88.21 tie_down props Tie-Down 23
1301 A general_aviation 
19  43.87510975 -073.41399866 1 WS-LIT-1
51 12280 CTAF
99
