I
1000 Generated by WorldEditor

1     30 1 0 KSRQ Sarasota Bradenton Intl
113  27.40265232 -082.55335387
110 1 0.00 0.0000 New Taxiway 508
111  27.40265900 -082.55357935
111  27.40266317 -082.55371527
111  27.40139180 -082.55370765
113  27.40139434 -082.55358253
110 1 0.00 0.0000 New Taxiway 507
111  27.40145593 -082.55411507
111  27.40145461 -082.55400518
111  27.40149996 -082.55400431
111  27.40150433 -082.55395015
111  27.40265619 -082.55393643
111  27.40265974 -082.55404050
111  27.40260395 -082.55404431
113  27.40260366 -082.55410264
110 1 0.00 0.0000 New Taxiway 524
111  27.39248296 -082.55748717
111  27.39272902 -082.55726329
111  27.39275279 -082.55729059
111  27.39271744 -082.55732175
111  27.39288497 -082.55755717
113  27.39266980 -082.55775970
110 1 0.00 0.0000 New Taxiway 578
111  27.39592807 -082.56070224
111  27.39564589 -082.56069945
111  27.39564836 -082.56044168
113  27.39592559 -082.56043181
110 1 0.00 0.0000 New Taxiway 577
111  27.39361410 -082.55855216
111  27.39348786 -082.55849641
111  27.39358687 -082.55811447
111  27.39361579 -082.55812475
113  27.39372796 -082.55816465
110 1 0.00 0.0000 New Taxiway 576
111  27.39469512 -082.55886977
111  27.39437184 -082.55886035
111  27.39436905 -082.55810389
113  27.39468954 -082.55812586
110 1 0.00 0.0000 New Taxiway 575
111  27.39414039 -082.55902126
111  27.39402523 -082.55902362
111  27.39402747 -082.55846852
113  27.39414458 -082.55846235
110 1 0.00 0.0000 New Taxiway 574
111  27.39332697 -082.55922125
111  27.39348539 -082.55898986
111  27.39418836 -082.55958089
111  27.39411310 -082.55968950
113  27.39402995 -082.55980949
110 1 0.00 0.0000 New Taxiway 573
111  27.39446110 -082.56036490
111  27.39446284 -082.56010842
111  27.39475181 -082.56010252
113  27.39474981 -082.56036485
110 1 0.00 0.0000 New Taxiway 572
111  27.39475373 -082.56066075
111  27.39445907 -082.56066254
111  27.39446095 -082.56038612
113  27.39474970 -082.56037963
110 1 0.00 0.0000 New Taxiway 571
111  27.39418953 -082.56044108
111  27.39389040 -082.56044289
111  27.39388968 -082.56017221
113  27.39419245 -082.56017176
110 1 0.00 0.0000 New Taxiway 570
111  27.39418397 -082.56074582
111  27.39389226 -082.56074451
111  27.39389412 -082.56048060
113  27.39418747 -082.56047832
110 1 0.00 0.0000 New Taxiway 581
111  27.39565010 -082.55972878
111  27.39565074 -082.55946718
111  27.39593292 -082.55946718
113  27.39593044 -082.55972367
110 1 0.00 0.0000 New Taxiway 580
111  27.39592797 -082.56004985
111  27.39564931 -082.56005302
111  27.39564994 -082.55979256
113  27.39592549 -082.55979058
110 1 0.00 0.0000 New Taxiway 579
111  27.39592797 -082.56037325
111  27.39565009 -082.56035956
111  27.39564917 -082.56010973
113  27.39593044 -082.56011676
110 1 0.00 0.0000 New Taxiway 585
111  27.39534814 -082.55973760
111  27.39506366 -082.55972878
111  27.39506580 -082.55946691
113  27.39535019 -082.55945983
110 1 0.00 0.0000 New Taxiway 584
111  27.39534581 -082.56005301
111  27.39506448 -082.56005126
111  27.39506506 -082.55979257
113  27.39534775 -082.55979081
110 1 0.00 0.0000 New Taxiway 583
111  27.39534345 -082.56037372
111  27.39506375 -082.56037196
111  27.39506432 -082.56011858
113  27.39534530 -082.56012213
110 1 0.00 0.0000 New Taxiway 582
111  27.39533905 -082.56069969
111  27.39506301 -082.56070050
111  27.39506360 -082.56043929
113  27.39534296 -082.56043929
110 1 0.00 0.0000 New Taxiway 596
111  27.39641419 -082.55966116
111  27.39647797 -082.55966298
111  27.39647716 -082.55969298
111  27.39652075 -082.55969662
111  27.39652075 -082.55972662
111  27.39656919 -082.55972481
111  27.39655202 -082.56102004
111  27.39645842 -082.56102151
111  27.39646102 -082.56095708
113  27.39640726 -082.56095486
110 1 0.00 0.0000 New Taxiway 691
112  27.40146516 -082.55159341  27.40146262 -082.55158770
111  27.40133691 -082.55137653
111  27.40208812 -082.55085978
113  27.40219578 -082.55107403
110 1 0.00 0.0000 New Taxiway 691
112  27.40165951 -082.55193652  27.40165698 -082.55193081
111  27.40153283 -082.55171964
111  27.40227933 -082.55120112
113  27.40239170 -082.55141715
110 1 0.00 0.0000 New Taxiway 181
111  27.39583237 -082.54765355
111  27.39584096 -082.54719920
111  27.39617283 -082.54719598
113  27.39616711 -082.54764388
110 1 0.00 0.0000 New Taxiway 233
111  27.39728706 -082.56103098
111  27.39717207 -082.56102680
111  27.39717303 -082.56096706
111  27.39712096 -082.56096752
111  27.39711716 -082.56050658
111  27.39723828 -082.56051386
111  27.39724312 -082.56058298
113  27.39729052 -082.56058298
110 1 0.00 0.0000 New Taxiway 232
111  27.39676349 -082.56011551
111  27.39686362 -082.56011733
111  27.39686685 -082.56018281
111  27.39690560 -082.56018827
111  27.39690560 -082.56095768
111  27.39685070 -082.56096314
111  27.39685231 -082.56102134
113  27.39675380 -082.56102316
110 2 0.00 0.0000 E Apron
111  27.38653283 -082.54451959
111  27.38658149 -082.54447109
111  27.38688413 -082.54414516
112  27.38704039 -082.54406631  27.38713194 -082.54405343
111  27.38722075 -082.54409038
111  27.38847700 -082.54478299
112  27.38864653 -082.54488834  27.38868034 -082.54492056
111  27.38878397 -082.54502148
111  27.39160880 -082.54825609
111  27.39181806 -082.54848990
112  27.39190114 -082.54859848  27.39197729 -082.54862850
111  27.39207572 -082.54861839
111  27.39235723 -082.54866452
111  27.39321327 -082.54866657
112  27.39327416 -082.54854824  27.39327180 -082.54845237
111  27.39320839 -082.54845732
111  27.39221662 -082.54843674
111  27.39223990 -082.54723001
111  27.39348580 -082.54717489
111  27.39347966 -082.54753857
111  27.39382292 -082.54754258
111  27.39382249 -082.54764633
111  27.39445634 -082.54765082
111  27.39446431 -082.54735449
111  27.39470810 -082.54735551
111  27.39471756 -082.54844452
111  27.39415734 -082.54844791
112  27.39409243 -082.54854022  27.39409716 -082.54861745
111  27.39414986 -082.54865475
111  27.39498253 -082.54865217
111  27.39500963 -082.54861329
111  27.39498533 -082.54791604
112  27.39495021 -082.54782900  27.39491475 -082.54778905
111  27.39488194 -082.54780068
111  27.39488050 -082.54764416
111  27.39515639 -082.54764319
111  27.39515598 -082.54779969
111  27.39507294 -082.54788089
111  27.39510244 -082.54852817
111  27.39511905 -082.54852897
111  27.39536138 -082.54803638
111  27.39562609 -082.54776912
111  27.39566785 -082.54764913
111  27.39583474 -082.54765355
111  27.39616947 -082.54764388
111  27.39617637 -082.54811717
111  27.39608567 -082.54808208
111  27.39573476 -082.54804340
112  27.39549712 -082.54819723  27.39541418 -082.54828027
111  27.39535394 -082.54844345
111  27.39528371 -082.54861381
111  27.39519517 -082.54899986
111  27.39513985 -082.54948917
111  27.39513450 -082.55054890
111  27.39519792 -082.55108798
112  27.39530004 -082.55119034  27.39535983 -082.55119389
111  27.39543841 -082.55114463
111  27.39578119 -082.55091332
111  27.39716074 -082.54969156
112  27.39713880 -082.54945203  27.39704360 -082.54935338
111  27.39690614 -082.54945222
111  27.39681224 -082.54941511
111  27.39681038 -082.54895639
111  27.39677504 -082.54895429
111  27.39678062 -082.54833638
111  27.39677318 -082.54813111
111  27.39677690 -082.54776036
111  27.39683429 -082.54773576
111  27.39683105 -082.54747621
111  27.39728676 -082.54746811
111  27.39721685 -082.54777900
111  27.39726229 -082.54815833
111  27.39725299 -082.54859611
111  27.39764539 -082.54860030
111  27.39764282 -082.54903349
112  27.39769105 -082.54913136  27.39772913 -082.54915280
111  27.39779235 -082.54914616
111  27.39867478 -082.54831019
112  27.39867277 -082.54813625  27.39863408 -082.54804909
111  27.39854933 -082.54804598
111  27.39813955 -082.54799069
111  27.39767040 -082.54798326
111  27.39755378 -082.54795983
111  27.39752763 -082.54765647
111  27.39774815 -082.54765140
111  27.39772083 -082.54770375
111  27.39772560 -082.54783649
111  27.39906167 -082.54781977
111  27.39968105 -082.54777511
111  27.40058641 -082.54776719
111  27.40063645 -082.54783573
111  27.40068588 -082.54791788
113  27.39434050 -082.55345256
111  27.39434557 -082.55337779
111  27.39490121 -082.55288779
111  27.39486574 -082.55283453
111  27.39449216 -082.55250165
112  27.39441414 -082.55246437  27.39437158 -082.55246969
111  27.39432902 -082.55249899
113  27.39391051 -082.55287714
111  27.39503749 -082.55276905
111  27.39696663 -082.55107475
111  27.39662360 -082.55068130
112  27.39653234 -082.55061395  27.39647884 -082.55061395
111  27.39641275 -082.55066003
111  27.39606658 -082.55089043
111  27.39507840 -082.55175531
111  27.39474166 -082.55214875
112  27.39470390 -082.55223736  27.39470390 -082.55229762
113  27.39474481 -082.55234370
111  27.39710511 -082.55095424
111  27.40029308 -082.54814688
112  27.40023511 -082.54800566  27.40019703 -082.54796706
111  27.40010425 -082.54796256
111  27.39959758 -082.54795902
112  27.39943708 -082.54796611  27.39937234 -082.54798755
111  27.39927972 -082.54806890
111  27.39717749 -082.54991921
111  27.39686908 -082.55026304
112  27.39680613 -082.55037292  27.39679471 -082.55048872
113  27.39684705 -082.55050761
111  27.39454709 -082.55191786
111  27.39468856 -082.55182674
111  27.39487104 -082.55163393
112  27.39490673 -082.55156900  27.39491917 -082.55153098
111  27.39491788 -082.55148114
111  27.39497117 -082.55105370
111  27.39496954 -082.54950758
111  27.39490806 -082.54902556
112  27.39487259 -082.54894833  27.39485439 -082.54892920
111  27.39480639 -082.54891105
111  27.39434769 -082.54884182
111  27.39253653 -082.54884982
111  27.39208729 -082.54892172
112  27.39200690 -082.54900960  27.39198914 -082.54907362
111  27.39201636 -082.54913210
111  27.39217478 -082.54945432
111  27.39249624 -082.54985641
111  27.39282707 -082.55023667
111  27.39402613 -082.55161137
111  27.39438077 -082.55192544
114  27.39447137 -082.55195945  27.39449979 -082.55195545
111  27.39215751 -082.55087056
111  27.39253945 -082.55045641
112  27.39256787 -082.55038438  27.39257227 -082.55034966
111  27.39255188 -082.55028834
111  27.39232628 -082.54992821
111  27.39216284 -082.54974014
111  27.39177025 -082.54941202
112  27.39146115 -082.54943203  27.39132792 -082.54956808
111  27.39136523 -082.54973814
113  27.39140075 -082.55000824
111  27.39235167 -082.55110191
111  27.39370886 -082.55264913
111  27.39413445 -082.55227364
112  27.39416755 -082.55220706  27.39417615 -082.55217801
111  27.39413918 -082.55211652
111  27.39388146 -082.55172239
111  27.39325961 -082.55099538
111  27.39289549 -082.55068914
112  27.39280801 -082.55064120  27.39275599 -082.55065185
113  27.39271579 -082.55069446
111  27.39099077 -082.54954092
111  27.39162018 -082.54882559
111  27.39163162 -082.54876115
111  27.39162304 -082.54867737
111  27.39154293 -082.54851948
111  27.39108232 -082.54792660
111  27.38915403 -082.54572909
111  27.38895376 -082.54550676
111  27.38853034 -082.54512977
112  27.38840160 -082.54505889  27.38833865 -082.54506243
111  27.38829002 -082.54513944
113  27.38770924 -082.54577098
111  27.38755109 -082.54560492
111  27.38810410 -082.54498871
112  27.38812755 -082.54488748  27.38812364 -082.54485447
111  27.38808846 -082.54479065
111  27.38751201 -082.54447814
111  27.38713292 -082.54432849
112  27.38706062 -082.54431969  27.38702154 -082.54432409
111  27.38699418 -082.54436150
113  27.38673038 -082.54465860
110 2 0.00 0.0000 S Apron
111  27.38857832 -082.55519768
111  27.38764004 -082.55504929
111  27.38754979 -082.55502628
111  27.38733512 -082.55488206
111  27.38742834 -082.55468172
111  27.38785438 -082.55400356
111  27.38772032 -082.55389992
111  27.38776690 -082.55382187
111  27.38778281 -082.55383211
111  27.38780212 -082.55379884
111  27.38785893 -082.55384106
111  27.38796231 -082.55369264
111  27.38797027 -082.55362098
111  27.38805548 -082.55362226
111  27.38805889 -082.55357620
111  27.38844971 -082.55362738
111  27.38843949 -082.55373998
111  27.39002892 -082.55398694
111  27.39006869 -082.55366321
111  27.38857923 -082.55343290
111  27.38855878 -082.55353526
111  27.38833269 -082.55350455
111  27.38817818 -082.55326016
111  27.38799753 -082.55324864
111  27.38798731 -082.55334205
111  27.38788619 -082.55333693
111  27.38784302 -082.55323329
111  27.38786802 -082.55321793
111  27.38784075 -082.55314628
111  27.38781462 -082.55316035
111  27.38776804 -082.55306567
111  27.38792255 -082.55298122
111  27.38740334 -082.55172727
111  27.38738516 -082.55173751
111  27.38736585 -082.55168761
111  27.38718891 -082.55125405
111  27.38724066 -082.55119060
111  27.38724182 -082.55091390
111  27.38746229 -082.55076049
111  27.38776852 -082.55045694
112  27.38784279 -082.55030278  27.38787121 -082.55018073
111  27.38786180 -082.55014934
111  27.38787765 -082.54938640
111  27.38789940 -082.54859733
112  27.38789929 -082.54846444  27.38789574 -082.54843043
111  27.38785482 -082.54835740
111  27.38584829 -082.54607180
112  27.38570077 -082.54562818  27.38571221 -082.54536719
111  27.38585854 -082.54526380
111  27.38613029 -082.54496206
111  27.38617553 -082.54491389
111  27.39391862 -082.55381921
111  27.38982575 -082.55741441
111  27.38980088 -082.55737552
111  27.38971097 -082.55724179
111  27.38975298 -082.55669773
111  27.38976058 -082.55631989
112  27.38974785 -082.55621612  27.38973008 -082.55617975
111  27.38969568 -082.55614325
112  27.38962846 -082.55607433  27.38958752 -082.55606219
111  27.38953096 -082.55610648
113  27.38934544 -082.55627223
111  27.39005646 -082.55714320
111  27.39314819 -082.55442932
111  27.39310813 -082.55438099
111  27.39279057 -082.55413610
112  27.39262463 -082.55408132  27.39255181 -082.55409304
111  27.39245298 -082.55416510
111  27.39193514 -082.55452277
111  27.39012415 -082.55611776
112  27.39000784 -082.55624986  27.38996292 -082.55632443
111  27.38996108 -082.55645608
111  27.38991729 -082.55674203
111  27.38995249 -082.55699741
114  27.38998682 -082.55709729  27.39000810 -082.55712658
111  27.39336689 -082.55423415
111  27.39385268 -082.55381048
111  27.39341633 -082.55330451
111  27.39312185 -082.55356597
112  27.39302083 -082.55373059  27.39299933 -082.55386617
113  27.39306811 -082.55390248
111  27.39322353 -082.55309998
111  27.39209917 -082.55179819
111  27.39199002 -082.55169058
112  27.39170742 -082.55174056  27.39160042 -082.55181854
111  27.39153999 -082.55194791
112  27.39152615 -082.55210386  27.39153873 -082.55218893
111  27.39159538 -082.55226762
111  27.39255775 -082.55343727
112  27.39268656 -082.55348258  27.39273930 -082.55349010
113  27.39280700 -082.55345677
111  27.39170863 -082.55135718
111  27.38915774 -082.54843247
112  27.38906525 -082.54844074  27.38901034 -082.54845529
111  27.38895808 -082.54850523
111  27.38883182 -082.54864247
112  27.38877163 -082.54889544  27.38877647 -082.54905368
111  27.38886852 -082.54914677
111  27.38932071 -082.54972383
111  27.39098116 -082.55162535
112  27.39124102 -082.55173613  27.39135113 -082.55171133
113  27.39145536 -082.55163527
111  27.38891252 -082.54814805
111  27.38858566 -082.54777392
112  27.38843822 -082.54780593  27.38839558 -082.54782594
111  27.38832452 -082.54790197
111  27.38826235 -082.54799000
112  27.38819662 -082.54817806  27.38817886 -082.54827209
111  27.38823570 -082.54839614
111  27.38837249 -082.54856419
112  27.38845243 -082.54860021  27.38848440 -082.54860021
113  27.38852526 -082.54857220
111  27.38831674 -082.54748508
111  27.38715565 -082.54614502
112  27.38706635 -082.54616061  27.38702213 -082.54617819
111  27.38697876 -082.54622016
111  27.38684177 -082.54637931
112  27.38677071 -082.54653740  27.38676030 -082.54659891
111  27.38680798 -082.54669939
111  27.38722932 -082.54733888
111  27.38778070 -082.54782203
112  27.38793493 -082.54786909  27.38798955 -082.54786031
111  27.38807980 -082.54779997
111  27.38826524 -082.54759873
113  27.38830555 -082.54753722
111  27.38682017 -082.54575981
111  27.38637294 -082.54524733
112  27.38629735 -082.54526857  27.38625045 -082.54527957
111  27.38620163 -082.54534702
111  27.38606222 -082.54550475
112  27.38599905 -082.54566530  27.38599319 -082.54573792
111  27.38605049 -082.54584641
111  27.38624590 -082.54606428
112  27.38640472 -082.54615519  27.38647311 -082.54616619
111  27.38655296 -082.54609368
112  27.38677657 -082.54584272  27.38678048 -082.54583832
113  27.38680131 -082.54579869
111  27.38939148 -082.55109911
112  27.38975300 -082.55106982  27.38990385 -082.55087649
111  27.38981022 -082.55069780
111  27.38919902 -082.54989813
111  27.38860862 -082.54929764
112  27.38821849 -082.54933572  27.38806503 -082.54958763
113  27.38823669 -082.54979853
111  27.39049977 -082.55239258
112  27.39088883 -082.55236111  27.39106723 -082.55215533
111  27.39090387 -082.55193261
111  27.39034286 -082.55128382
112  27.38993875 -082.55125477  27.38977110 -082.55144360
113  27.38988072 -082.55167116
111  27.39133975 -082.55434050
112  27.39144142 -082.55455354  27.39152890 -082.55458283
111  27.39163766 -082.55449495
111  27.39175116 -082.55439642
111  27.39220986 -082.55388779
112  27.39229261 -082.55373068  27.39230207 -082.55364014
111  27.39227133 -082.55354693
111  27.39181500 -082.55291314
112  27.39152181 -082.55286521  27.39137640 -082.55292967
113  27.39133975 -082.55312086
110 2 0.00 0.0000 W Apron
111  27.39564547 -082.56070992
111  27.39533626 -082.56070597
111  27.39534017 -082.56044557
111  27.39534066 -082.56038000
111  27.39534252 -082.56012840
111  27.39534303 -082.56005928
111  27.39534496 -082.55979709
111  27.39534536 -082.55974388
111  27.39534741 -082.55946610
111  27.39506301 -082.55947319
111  27.39506088 -082.55973506
111  27.39506227 -082.55979885
111  27.39506169 -082.56005753
111  27.39506154 -082.56012486
111  27.39506096 -082.56037824
111  27.39506081 -082.56044556
111  27.39506022 -082.56070678
111  27.39506308 -082.56079153
111  27.39476366 -082.56078917
111  27.39474901 -082.56078917
111  27.39475110 -082.56067833
111  27.39475094 -082.56066702
111  27.39474691 -082.56038590
111  27.39474703 -082.56037112
111  27.39474903 -082.56010880
111  27.39446006 -082.56011470
111  27.39445831 -082.56037117
111  27.39445817 -082.56039240
111  27.39445628 -082.56066882
111  27.39445377 -082.56103679
111  27.39417739 -082.56104151
111  27.39418118 -082.56075210
111  27.39418469 -082.56048460
111  27.39418675 -082.56044736
111  27.39418966 -082.56017804
111  27.39419414 -082.55976331
111  27.39411031 -082.55969577
111  27.39418786 -082.55958409
111  27.39348260 -082.55899614
111  27.39332418 -082.55922753
111  27.39314303 -082.55903697
111  27.39319747 -082.55848749
111  27.39336917 -082.55795453
111  27.39358409 -082.55812075
111  27.39348508 -082.55850268
111  27.39347805 -082.55857475
111  27.39402244 -082.55902989
111  27.39413761 -082.55902754
111  27.39414179 -082.55846863
111  27.39414389 -082.55822808
111  27.39375862 -082.55823044
111  27.39372931 -082.55817148
111  27.39361300 -082.55813103
111  27.39362043 -082.55785548
111  27.39377328 -082.55772813
111  27.39387797 -082.55762672
111  27.39393241 -082.55754183
112  27.39398476 -082.55746165  27.39398894 -082.55745693
111  27.39407270 -082.55744278
111  27.39407270 -082.55733430
111  27.39397219 -082.55706545
111  27.39428836 -082.55666926
111  27.39476390 -082.55721551
112  27.39485254 -082.55723775  27.39490939 -082.55723175
111  27.39493296 -082.55720802
111  27.39518458 -082.55693935
112  27.39520037 -082.55683162  27.39519859 -082.55676159
111  27.39518060 -082.55675019
111  27.39423951 -082.55566758
111  27.39411385 -082.55556017
112  27.39403207 -082.55550731  27.39399660 -082.55551263
111  27.39394854 -082.55554021
111  27.39360935 -082.55576364
111  27.39238049 -082.55684216
112  27.39233937 -082.55691067  27.39233270 -082.55695727
111  27.39235477 -082.55699530
111  27.39245378 -082.55713568
112  27.39247161 -082.55716646  27.39247695 -082.55716796
111  27.39251222 -082.55717278
111  27.39267086 -082.55702988
111  27.39277292 -082.55717259
111  27.39273195 -082.55722742
111  27.39272902 -082.55726329
111  27.39248296 -082.55748717
111  27.39237642 -082.55733308
111  27.39238186 -082.55724174
111  27.39231154 -082.55713832
111  27.39225845 -082.55706330
112  27.39220112 -082.55703698  27.39214953 -082.55703456
111  27.39214537 -082.55705881
111  27.39120228 -082.55787537
112  27.39109076 -082.55795914  27.39101982 -082.55798577
111  27.39094483 -082.55798695
111  27.39024498 -082.55786184
111  27.39020925 -082.55781734
111  27.39429336 -082.55423114
111  27.40443670 -082.56584170
111  27.40439952 -082.56589349
111  27.40407511 -082.56624223
112  27.40378253 -082.56635375  27.40361660 -082.56634730
111  27.40346527 -082.56623353
111  27.40118665 -082.56362873
111  27.39783180 -082.55979314
111  27.39774062 -082.55979234
111  27.39753046 -082.56003895
112  27.39747370 -082.56010014  27.39743216 -082.56017422
111  27.39744277 -082.56019752
111  27.39743248 -082.56095464
112  27.39742285 -082.56104423  27.39740931 -082.56107236
111  27.39734517 -082.56110519
111  27.39632016 -082.56110460
111  27.39607090 -082.56094897
111  27.39607824 -082.55960679
112  27.39615514 -082.55931883  27.39621053 -082.55922525
111  27.39631067 -082.55911375
111  27.39640281 -082.55900033
111  27.39664194 -082.55865884
111  27.39668539 -082.55851540
111  27.39654610 -082.55836437
112  27.39649068 -082.55835292  27.39642448 -082.55836624
111  27.39644213 -082.55837732
111  27.39619357 -082.55864664
111  27.39612466 -082.55878701
111  27.39592784 -082.55943083
111  27.39593202 -082.55946856
111  27.39564795 -082.55947346
111  27.39564731 -082.55973505
111  27.39564716 -082.55979883
111  27.39564652 -082.56005930
111  27.39564638 -082.56011601
111  27.39564573 -082.56038356
113  27.39564557 -082.56044796
111  27.39468954 -082.55812586
111  27.39436905 -082.55810389
111  27.39437184 -082.55886035
113  27.39469512 -082.55886977
111  27.39055646 -082.55758753
112  27.39057735 -082.55766044  27.39060862 -082.55769786
111  27.39064610 -082.55769464
111  27.39088590 -082.55775457
112  27.39098891 -082.55775666  27.39103776 -082.55774345
111  27.39106497 -082.55771608
111  27.39137722 -082.55748878
111  27.39344494 -082.55567465
111  27.39374576 -082.55535298
112  27.39377775 -082.55526349  27.39377597 -082.55521948
111  27.39374576 -082.55515999
113  27.39358486 -082.55492301
111  27.39374751 -082.55478679
111  27.39393948 -082.55497465
112  27.39403074 -082.55501364  27.39408739 -082.55502073
111  27.39414089 -082.55498883
111  27.39453113 -082.55464501
111  27.39454686 -082.55461311
113  27.39428880 -082.55431183
111  27.39474827 -082.55484351
111  27.39434230 -082.55519441
112  27.39430454 -082.55529012  27.39430139 -082.55536810
111  27.39433286 -082.55541772
111  27.39476086 -082.55594585
112  27.39482695 -082.55597067  27.39486157 -082.55595649
111  27.39486157 -082.55591750
113  27.39486157 -082.55496048
111  27.39512659 -082.55527665
111  27.39509197 -082.55530004
111  27.39506774 -082.55540531
111  27.39506081 -082.55620851
111  27.39508158 -082.55629039
111  27.39513005 -082.55636447
111  27.39588817 -082.55723785
111  27.39640052 -082.55774473
112  27.39658053 -082.55781101  27.39670169 -082.55781101
111  27.39658053 -082.55781101
112  27.39658053 -082.55781101  27.39669823 -082.55779541
111  27.39673631 -082.55774083
112  27.39685747 -082.55754977  27.39689555 -082.55745620
113  27.39689209 -082.55729244
111  27.39736538 -082.56022758
112  27.39735650 -082.56016272  27.39734790 -082.56013609
111  27.39733339 -082.56010334
111  27.39722199 -082.55996917
112  27.39712713 -082.55994432  27.39707124 -082.55995400
111  27.39706094 -082.56001513
111  27.39705763 -082.56009713
111  27.39705102 -082.56053817
111  27.39706205 -082.56054811
111  27.39711714 -082.56055059
111  27.39711720 -082.56061644
