I
1050 Generated by WorldEditor

1     44 1 0 MMVA Villahermosa Intl
112  17.99237674 -092.81969926  17.99236970 -092.81977603 20
111  17.99236267 -092.82002022 20
112  17.99246647 -092.82013770  17.99255709 -092.82014417 20
113  17.99316603 -092.82017325
111  17.99248329 -092.81902810 20
111  17.99251841 -092.81844454 20
112  17.99229243 -092.81817862  17.99205707 -092.81816877 20
111  17.99187558 -092.81817123 20
112  17.99163085 -092.81846054  17.99161329 -092.81874986 20
111  17.99158372 -092.81924424 20
112  17.99176313 -092.81956402  17.99196964 -092.81963789 20
112  17.99207857 -092.81961294  17.99218288 -092.81961965 20
114  17.99246178 -092.81940588  17.99247242 -092.81917869 20
110 2 0.00 0.0000 New Taxiway 158
111  17.99252537 -092.81923122
112  17.99256478 -092.81855275  17.99256683 -092.81851764
111  17.99256478 -092.81855275
112  17.99256478 -092.81855275  17.99256483 -092.81855178
112  17.99256486 -092.81855126  17.99256486 -092.81855124
111  17.99256486 -092.81855126
112  17.99256486 -092.81855126  17.99256491 -092.81855068
111  17.99256492 -092.81855016
111  17.99256500 -092.81854626
111  17.99273965 -092.81855609
111  17.99274121 -092.81852004
111  17.99284251 -092.81851840
111  17.99285599 -092.81826528
111  17.99286238 -092.81825266
111  17.99302394 -092.81825435
111  17.99304121 -092.81781007
111  17.99315558 -092.81780839
111  17.99315318 -092.81795891
111  17.99313478 -092.81795807
111  17.99312519 -092.81827256
111  17.99304521 -092.81827172
111  17.99301498 -092.81883982
111  17.99315046 -092.81884907
111  17.99317685 -092.81833571
111  17.99323147 -092.81833780
111  17.99323012 -092.81830553
111  17.99331951 -092.81831407
112  17.99334885 -092.81828464  17.99335156 -092.81825047
111  17.99336962 -092.81791678
111  17.99339600 -092.81792000
112  17.99337577 -092.81830294  17.99337313 -092.81833809
111  17.99333530 -092.81835104
111  17.99326283 -092.81966574
111  17.99324753 -092.81966631
111  17.99323738 -092.81991100
111  17.99323194 -092.82004220
112  17.99315707 -092.82009147  17.99309387 -092.82008759
111  17.99295212 -092.82007830
111  17.99294655 -092.82011558
111  17.99266005 -092.82009369
113  17.99270439 -092.81923542
111  17.99314290 -092.81939968
111  17.99314610 -092.81931686
111  17.99298429 -092.81930567
111  17.99297259 -092.81955190
111  17.99313013 -092.81957652
111  17.99313119 -092.81955861
111  17.99308116 -092.81955190
113  17.99308861 -092.81940080
111  17.99272110 -092.81890492
111  17.99274001 -092.81860832
111  17.99261714 -092.81859991
113  17.99259896 -092.81889575
110 2 0.00 0.0000 New Taxiway 157
111  17.99314379 -092.82064355
111  17.99300202 -092.82063374
111  17.99299693 -092.82046938
111  17.99287115 -092.82046174
111  17.99288496 -092.82027598
111  17.99300856 -092.82028209
111  17.99300784 -092.82029280
113  17.99316018 -092.82030376
110 2 0.00 0.0000 New Taxiway 156
111  17.99324657 -092.81765581
111  17.99306878 -092.81764535
111  17.99307539 -092.81745146
111  17.99290949 -092.81744451
111  17.99291147 -092.81733124
111  17.99296302 -092.81733402
111  17.99297029 -092.81727634
111  17.99294650 -092.81727425
111  17.99292469 -092.81724228
111  17.99292337 -092.81721310
111  17.99293321 -092.81720279
111  17.99326471 -092.81721670
111  17.99327661 -092.81724659
111  17.99326127 -092.81763038
113  17.99324541 -092.81763177
110 2 0.00 0.0000 New Taxiway 155
111  17.99294436 -092.81707262
111  17.99291973 -092.81707262
111  17.99273536 -092.81706561
111  17.99274173 -092.81670516
113  17.99296195 -092.81671465
110 2 0.00 0.0000 New Taxiway 154
111  17.99331644 -092.81614361
111  17.99331253 -092.81614351
111  17.99321033 -092.81613637
111  17.99321093 -092.81611906
111  17.99316398 -092.81611574
111  17.99316489 -092.81608726
111  17.99314051 -092.81608394
111  17.99315053 -092.81579343
111  17.99333156 -092.81579817
111  17.99333947 -092.81581430
111  17.99333764 -092.81587599
111  17.99333563 -092.81594409
111  17.99333233 -092.81598065
111  17.99332260 -092.81609313
113  17.99331700 -092.81609439
110 1 0.00 0.0000 New Taxiway 153
111  17.99626969 -092.82401607
112  17.99607117 -092.82297963  17.99594339 -092.82271092
111  17.99509000 -092.82090675
112  17.99495598 -092.82067332  17.99489157 -092.82058800
111  17.99476406 -092.82039163
112  17.99465199 -092.82033055  17.99459745 -092.82033518
112  17.99452443 -092.82038143  17.99449980 -092.82040733
111  17.99447605 -092.82049428
111  17.99439689 -092.82085318
111  17.99435770 -092.82142835
111  17.99333113 -092.82138962
111  17.99293887 -092.82104983
111  17.99295175 -092.82063001
111  17.99300130 -092.82063350
111  17.99314379 -092.82064355
111  17.99316018 -092.82030376
111  17.99316315 -092.82023746
111  17.99316456 -092.82020619
111  17.99316603 -092.82017326
112  17.99322802 -092.82011222  17.99323335 -092.82004171
111  17.99322802 -092.82011222
112  17.99322802 -092.82011222  17.99322905 -092.82009861
112  17.99323193 -092.82004221  17.99323345 -092.82001077
111  17.99323193 -092.82004221
112  17.99323193 -092.82004221  17.99323737 -092.81991101
111  17.99324752 -092.81966632
111  17.99326282 -092.81966574
111  17.99333529 -092.81835105
112  17.99337576 -092.81830295  17.99337840 -092.81826780
111  17.99339599 -092.81792001
112  17.99337048 -092.81783399  17.99334497 -092.81779237
111  17.99332181 -092.81779422
111  17.99332255 -092.81776885
111  17.99332441 -092.81770505
111  17.99332470 -092.81769501
111  17.99324872 -092.81770057
111  17.99324657 -092.81765581
111  17.99324541 -092.81763177
111  17.99326127 -092.81763038
111  17.99327661 -092.81724659
111  17.99326471 -092.81721670
111  17.99293321 -092.81720279
111  17.99291709 -092.81720211
111  17.99291973 -092.81707262
111  17.99294436 -092.81707262
111  17.99296195 -092.81671465
111  17.99296371 -092.81663696
111  17.99328614 -092.81665502
111  17.99331253 -092.81614351
111  17.99331644 -092.81614361
111  17.99331700 -092.81609439
111  17.99332260 -092.81609313
111  17.99333233 -092.81598065
111  17.99333563 -092.81594409
111  17.99333947 -092.81581430
111  17.99355530 -092.81582814
111  17.99352362 -092.81630829
111  17.99435422 -092.81635982
111  17.99437482 -092.81636110
111  17.99428053 -092.81807568
112  17.99438213 -092.81820897  17.99448761 -092.81822016
112  17.99490018 -092.81808200  17.99500771 -092.81790830
111  17.99639478 -092.81573380
112  17.99666811 -092.81515029  17.99671781 -092.81493837
111  17.99680877 -092.81458091
111  17.99679323 -092.81485409
111  17.99670042 -092.81648503
111  17.99669335 -092.81660923
112  17.99637544 -092.81641946  17.99618352 -092.81671334
111  17.99523836 -092.81820290
112  17.99506087 -092.81841054  17.99496143 -092.81848445
112  17.99466142 -092.81857818  17.99446256 -092.81859620
112  17.99434427 -092.81882512  17.99433227 -092.81903061
111  17.99430655 -092.81945240
112  17.99444713 -092.81969934  17.99460999 -092.81974080
112  17.99506772 -092.82007427  17.99519287 -092.82032482
111  17.99605691 -092.82212374
112  17.99621768 -092.82215983  17.99630316 -092.82209335
111  17.99638864 -092.82193207
111  17.99638175 -092.82205267
113  17.99628815 -092.82369265
110 1 0.00 0.0000 New Taxiway 77
111  17.99718515 -092.80804688 1
112  17.99700171 -092.80761788  17.99687485 -092.80748269 1
112  17.99672741 -092.80703566  17.99677198 -092.80677249 1
111  17.99696056 -092.80670399 1
112  17.99709257 -092.80665893  17.99719372 -092.80663730 1
111  17.99726401 -092.80664991
111  17.99726042 -092.80671348
113  17.99719387 -092.80789235
110 1 0.00 0.0000 New Taxiway 1
111  17.99606492 -092.82757517
112  17.99582806 -092.82750229  17.99567068 -092.82742391
112  17.99557404 -092.82706974  17.99555748 -092.82681138
112  17.99591365 -092.82656172  17.99602132 -092.82648334
111  17.99614360 -092.82618997
111  17.99613436 -092.82635253
111  17.99607611 -092.82737805
113  17.99606937 -092.82749675
130 Airport Boundary 166
111  17.99007415 -092.82686857 106
111  17.99156568 -092.80182091 106
111  17.99331724 -092.80181901 106
112  17.99396730 -092.80225997  17.99413506 -092.80275604 106
112  17.99511015 -092.80219382  17.99515208 -092.80121270 106
111  17.99523596 -092.80008828 106
112  17.99590699 -092.79945992  17.99658851 -092.79950401 106
111  17.99992269 -092.79972449 106
112  18.00052032 -092.80034184  18.00046790 -092.80098124 106
111  17.99912584 -092.82313970 106
111  17.99848626 -092.83665523 106
112  17.99805638 -092.83706312  17.99760554 -092.83698595 106
111  17.99560293 -092.83685367 106
112  17.99528839 -092.83671035  17.99514160 -092.83655602 106
111  17.99292930 -092.83453865 106
112  17.99279300 -092.83411974  17.99283494 -092.83378903 106
111  17.99304463 -092.83041573 106
114  17.99277203 -092.82974327  17.99241554 -092.82940153 106
120 Linear Feature 163
111  17.99250350 -092.81915682 22
111  17.99254927 -092.81840919 22
112  17.99229178 -092.81814740  17.99206122 -092.81814333 22
115  17.99182680 -092.81815146
120 Linear Feature 165
111  17.99249400 -092.81936892 22
115  17.99250350 -092.81915682
120 Linear Feature 164
111  17.99159625 -092.81846023 22
111  17.99154859 -092.81931746 22
112  17.99186416 -092.81964248  17.99215525 -092.81965602 22
111  17.99221707 -092.81965737 22
116  17.99249400 -092.81936892  17.99251074 -092.81909401
120 Linear Feature 151
111  17.99577415 -092.82171246 4
115  17.99559731 -092.82181297
120 Linear Feature 150
111  17.99606960 -092.81674793 4
115  17.99590366 -092.81662942
120 Linear Feature 149
111  17.99425393 -092.81804917 3
115  17.99427879 -092.81804937
120 Linear Feature 148
111  17.99426176 -092.81822741 3
115  17.99428558 -092.81820563
120 Linear Feature 147
111  17.99437878 -092.81828480 3
115  17.99437870 -092.81825459
120 Linear Feature 146
111  17.99452263 -092.81829446 3
115  17.99452238 -092.81826237
120 Linear Feature 144
111  17.99449616 -092.81978388 3
115  17.99449735 -092.81975479
120 Linear Feature 143
111  17.99435537 -092.81974031 3
115  17.99437572 -092.81970968
120 Linear Feature 142
111  17.99426118 -092.81962730 3
115  17.99429252 -092.81960847
120 Linear Feature 141
111  17.99423619 -092.81948721 3
115  17.99426654 -092.81948890
120 Linear Feature 140
111  17.99425520 -092.81913275 3
115  17.99429167 -092.81913445
120 Linear Feature 139
111  17.99427426 -092.81877544 3
115  17.99430908 -092.81877571
120 Linear Feature 138
111  17.99432158 -092.81863270 3
115  17.99434804 -092.81865605
120 Linear Feature 137
111  17.99445299 -092.81856545 3
115  17.99443961 -092.81853455
120 Linear Feature 136
111  17.99456563 -092.81854467 3
115  17.99456353 -092.81850842
120 Linear Feature 134
111  17.99398483 -092.81679955 51
112  17.99390353 -092.81669670  17.99390750 -092.81661400 51
111  17.99391477 -092.81651740 51
112  17.99385330 -092.81644443  17.99385858 -092.81638397 51
111  17.99391146 -092.81637424 51
112  17.99398681 -092.81644652  17.99398417 -092.81652088 51
115  17.99391477 -092.81651740
120 Linear Feature 133
111  17.99357272 -092.81667381 51 101
116  17.99364428 -092.81677591  17.99370426 -092.81680114
120 Linear Feature 132
111  17.99356084 -092.81684164 51 101
116  17.99364428 -092.81677591  17.99369786 -092.81677843
120 Linear Feature 131
111  17.99372646 -092.81727451 51
112  17.99366577 -092.81718572  17.99366673 -092.81712772
111  17.99366577 -092.81718572
112  17.99366577 -092.81718572  17.99366602 -092.81717038 51
112  17.99366852 -092.81711014  17.99366996 -092.81707764
111  17.99366852 -092.81711014
112  17.99366852 -092.81711014  17.99367251 -092.81701981 51
111  17.99367931 -092.81689269 51
116  17.99376829 -092.81678504  17.99385151 -092.81676978
120 Linear Feature 130
111  17.99387814 -092.81728544 51
112  17.99380595 -092.81718641  17.99380982 -092.81710094
111  17.99380595 -092.81718641
112  17.99380595 -092.81718641  17.99380812 -092.81713841 51
112  17.99381408 -092.81698889  17.99381663 -092.81692395
111  17.99381408 -092.81698889
112  17.99381408 -092.81698889  17.99381607 -092.81693820 51
111  17.99381756 -092.81689948 51
116  17.99390717 -092.81679498  17.99397684 -092.81679600
120 Linear Feature 129
111  17.99407569 -092.81729932 51
112  17.99401110 -092.81720879  17.99401207 -092.81713859
111  17.99401110 -092.81720879
112  17.99401110 -092.81720879  17.99401134 -092.81719143 51
112  17.99401329 -092.81713234  17.99401440 -092.81710077
111  17.99401329 -092.81713234
112  17.99401329 -092.81713234  17.99401668 -092.81703626 51
111  17.99402271 -092.81690253 51
116  17.99410996 -092.81680852  17.99417867 -092.81679631
120 Linear Feature 127
111  17.99371263 -092.81769236 51
112  17.99364148 -092.81760945  17.99364297 -092.81754314
111  17.99364148 -092.81760945
112  17.99364148 -092.81760945  17.99364192 -092.81759011 51
112  17.99364397 -092.81753162  17.99364509 -092.81750134
111  17.99364397 -092.81753162
112  17.99364397 -092.81753162  17.99364668 -092.81745808 51
111  17.99365042 -092.81737240 51
116  17.99372646 -092.81727451  17.99379697 -092.81725414
120 Linear Feature 126
111  17.99385243 -092.81770271 51
112  17.99377737 -092.81761338  17.99377977 -092.81754443
111  17.99377737 -092.81761338
112  17.99377737 -092.81761338  17.99377880 -092.81757234 51
112  17.99378628 -092.81744498  17.99378949 -092.81739170
111  17.99378628 -092.81744498
112  17.99378628 -092.81744498  17.99378847 -092.81740874 51
111  17.99379017 -092.81738214 51
116  17.99387814 -092.81728544  17.99395972 -092.81727367
120 Linear Feature 125
111  17.99414863 -092.81827128 51
116  17.99399723 -092.81808481  17.99384341 -092.81797994
120 Linear Feature 124
111  17.99412296 -092.81751687 52
111  17.99390801 -092.81750109 52
115  17.99387417 -092.81749860
120 Linear Feature 123
111  17.99423721 -092.81763070 51
116  17.99412296 -092.81751687  17.99401967 -092.81751583
120 Linear Feature 122
111  17.99407306 -092.81771982 51
112  17.99398444 -092.81762427  17.99398662 -092.81755318
111  17.99398444 -092.81762427
112  17.99398444 -092.81762427  17.99398498 -092.81760662 51
112  17.99398715 -092.81755835  17.99398833 -092.81753335
111  17.99398715 -092.81755835
112  17.99398715 -092.81755835  17.99399073 -092.81748268 51
111  17.99399607 -092.81739111 51
116  17.99407569 -092.81729932  17.99415269 -092.81728241
120 Linear Feature 121
111  17.99338774 -092.82068030 51
111  17.99338849 -092.82066870 51
115  17.99338928 -092.82065631
120 Linear Feature 120
111  17.99343739 -092.82068354 51
115  17.99343893 -092.82065793
120 Linear Feature 119
111  17.99422281 -092.82071085 51
111  17.99338849 -092.82066870 51
115  17.99328244 -092.82066327
120 Linear Feature 118
111  17.99341175 -092.82106702 51
111  17.99341259 -092.82105472 51
115  17.99341328 -092.82104472
120 Linear Feature 117
111  17.99420231 -092.82109305 51
111  17.99341259 -092.82105489 51
115  17.99326673 -092.82104779
120 Linear Feature 114
111  17.99422638 -092.82063940 52
111  17.99338364 -092.82059611 52
115  17.99328964 -092.82059128
120 Linear Feature 113
111  17.99345329 -092.82011738 51
115  17.99345329 -092.82010144
120 Linear Feature 112
111  17.99341306 -092.82011517 51
111  17.99341330 -092.82010655 51
115  17.99341348 -092.82009989
120 Linear Feature 111
111  17.99409094 -092.82014037 51
111  17.99396527 -092.82013408 51
111  17.99341330 -092.82010655 51
115  17.99329790 -092.82010072
120 Linear Feature 110
111  17.99410537 -092.81994729 51
116  17.99396527 -092.82013408  17.99384565 -092.82020300
120 Linear Feature 109
111  17.99347762 -092.81968765 51
115  17.99347762 -092.81967399
120 Linear Feature 108
111  17.99344067 -092.81968551 51
111  17.99344081 -092.81967824 51
115  17.99344093 -092.81967185
120 Linear Feature 107
111  17.99412148 -092.81972331 51
111  17.99344081 -092.81967824 51
115  17.99332389 -092.81967042
120 Linear Feature 106
111  17.99349789 -092.81927755 51
115  17.99349894 -092.81926316
120 Linear Feature 105
111  17.99346002 -092.81927593 51
111  17.99346033 -092.81926707 51
115  17.99346064 -092.81925810
120 Linear Feature 104
111  17.99414727 -092.81931085 51
111  17.99346033 -092.81926707 51
115  17.99335189 -092.81926016
120 Linear Feature 103
111  17.99352266 -092.81888510 51
115  17.99352329 -092.81886583
120 Linear Feature 102
111  17.99348897 -092.81888177 51
111  17.99348950 -092.81887210 51
115  17.99349002 -092.81886251
120 Linear Feature 101
111  17.99416671 -092.81891685 51
111  17.99348950 -092.81887210 51
115  17.99337234 -092.81886436
120 Linear Feature 100
111  17.99416910 -092.81868629 51
116  17.99402719 -092.81849101  17.99389830 -092.81841596
120 Linear Feature 99
111  17.99354630 -092.81846973 51
115  17.99354681 -092.81845178
120 Linear Feature 98
111  17.99351012 -092.81846679 51
111  17.99351039 -092.81845823 51
115  17.99351063 -092.81845071
120 Linear Feature 97
111  17.99417507 -092.81851169 51
112  17.99414025 -092.81849832  17.99412062 -092.81849679
111  17.99414025 -092.81849832
112  17.99414025 -092.81849832  17.99413564 -092.81849796 51
112  17.99402719 -092.81849101  17.99396267 -092.81848690
111  17.99402719 -092.81849101
112  17.99402719 -092.81849101  17.99389042 -092.81848229 51
112  17.99351789 -092.81845871  17.99337462 -092.81844965
111  17.99351789 -092.81845871
112  17.99351789 -092.81845871  17.99351533 -092.81845855 51
112  17.99351039 -092.81845823  17.99350788 -092.81845807
111  17.99351039 -092.81845823
112  17.99351039 -092.81845823  17.99343786 -092.81845364 51
115  17.99338911 -092.81845057
120 Linear Feature 96
111  17.99423819 -092.82042492 51 101
112  17.99453739 -092.82012564  17.99477801 -092.82006893 51 101
116  17.99499615 -092.82032020  17.99504801 -092.82041399
120 Linear Feature 95
111  17.99604614 -092.82252184 51 101
111  17.99631510 -092.82307531 51 101
112  17.99645069 -092.82346531  17.99649589 -092.82367506 51 101
112  17.99646628 -092.82397822  17.99646316 -092.82405524 51 101
115  17.99645537 -092.82415192
120 Linear Feature 94
111  17.99409988 -092.82002081 51 101
112  17.99426835 -092.81987553  17.99441061 -092.81988265 51 101
111  17.99448899 -092.81989385 51 101
112  17.99469705 -092.81996609  17.99478608 -092.82001391 51 101
112  17.99496414 -092.82025302  17.99501446 -092.82035883
111  17.99496414 -092.82025302
112  17.99496414 -092.82025302  17.99496834 -092.82026186 51 101
112  17.99499615 -092.82032020  17.99501289 -092.82035533
111  17.99499615 -092.82032020
112  17.99499615 -092.82032020  17.99517971 -092.82070531 51 101
111  17.99604614 -092.82252184 51 101
112  17.99635874 -092.82263615  17.99655979 -092.82256240 51 101
112  17.99655979 -092.82231169  17.99655979 -092.82227728 51 101
115  17.99657226 -092.82207244
120 Linear Feature 93
111  17.99417523 -092.81730622 51 101
116  17.99426008 -092.81722774  17.99426827 -092.81716801
120 Linear Feature 92
111  17.99412745 -092.81772475 51 101
116  17.99423302 -092.81766587  17.99424744 -092.81760775
120 Linear Feature 91
111  17.99353602 -092.81719447 51 101
116  17.99361045 -092.81726560  17.99366417 -092.81727747
120 Linear Feature 90
111  17.99352599 -092.81733843 51 101
116  17.99361045 -092.81726560  17.99367927 -092.81725576
120 Linear Feature 89
111  17.99360111 -092.81807291 51
115  17.99360111 -092.81805918
120 Linear Feature 88
111  17.99355857 -092.81807212 51
111  17.99355857 -092.81806373 51
115  17.99355857 -092.81805368
120 Linear Feature 87
111  17.99356841 -092.81768186 51 101
112  17.99338752 -092.81757930  17.99335452 -092.81748641 51 101
112  17.99339604 -092.81734427  17.99344394 -092.81729726 51 101
112  17.99358977 -092.81726369  17.99363874 -092.81726928
111  17.99358977 -092.81726369
112  17.99358977 -092.81726369  17.99359312 -092.81726407 51 101
112  17.99360635 -092.81726525  17.99361395 -092.81726591
111  17.99360635 -092.81726525
112  17.99360635 -092.81726525  17.99360766 -092.81726537 51 101
112  17.99361045 -092.81726560  17.99361188 -092.81726572
111  17.99361045 -092.81726560
112  17.99361045 -092.81726560  17.99363510 -092.81726768 51 101
112  17.99372646 -092.81727451  17.99377623 -092.81727817
111  17.99372646 -092.81727451
112  17.99372646 -092.81727451  17.99377234 -092.81727788 51 101
112  17.99387814 -092.81728544  17.99393110 -092.81728920
111  17.99387814 -092.81728544
112  17.99387814 -092.81728544  17.99394934 -092.81729049 51 101
112  17.99407569 -092.81729932  17.99413064 -092.81730314
111  17.99407569 -092.81729932
112  17.99407569 -092.81729932  17.99413506 -092.81730345 51 101
111  17.99417523 -092.81730622 51 101
116  17.99424972 -092.81740023  17.99425078 -092.81746291
120 Linear Feature 86
111  17.99420182 -092.81782734 51 101
112  17.99412745 -092.81772475  17.99405947 -092.81771718
111  17.99412745 -092.81772475
112  17.99412745 -092.81772475  17.99411747 -092.81772364 51 101
112  17.99407306 -092.81771982  17.99404775 -092.81771772
111  17.99407306 -092.81771982
112  17.99407306 -092.81771982  17.99402302 -092.81771566 51 101
112  17.99387228 -092.81770420  17.99379592 -092.81769846
111  17.99387228 -092.81770420
112  17.99387228 -092.81770420  17.99386567 -092.81770370 51 101
112  17.99385243 -092.81770271  17.99384580 -092.81770221
111  17.99385243 -092.81770271
112  17.99385243 -092.81770271  17.99380716 -092.81769932 51 101
112  17.99372119 -092.81769299  17.99368051 -092.81769000
111  17.99372119 -092.81769299
112  17.99372119 -092.81769299  17.99371832 -092.81769277 51 101
112  17.99371263 -092.81769236  17.99370980 -092.81769215
111  17.99371263 -092.81769236
112  17.99371263 -092.81769236  17.99363003 -092.81768630 51 101
111  17.99356841 -092.81768186 51 101
112  17.99350923 -092.81758853  17.99351243 -092.81752294
111  17.99350923 -092.81758853
112  17.99350923 -092.81758853  17.99351026 -092.81756754 51 101
112  17.99352599 -092.81733843  17.99353486 -092.81721050
111  17.99352599 -092.81733843
112  17.99352599 -092.81733843  17.99352914 -092.81729301 51 101
112  17.99353602 -092.81719447  17.99353950 -092.81714471
111  17.99353602 -092.81719447
112  17.99353602 -092.81719447  17.99354468 -092.81707062 51 101
112  17.99356084 -092.81684164  17.99356784 -092.81674256
111  17.99356084 -092.81684164
112  17.99356084 -092.81684164  17.99356787 -092.81674219 51 101
111  17.99357272 -092.81667381 51
111  17.99359148 -092.81635475 51
115  17.99359319 -092.81632566
120 Linear Feature 85
111  17.99414884 -092.81827791 51 101
111  17.99415399 -092.81842808 51 101
116  17.99417993 -092.81849579  17.99420501 -092.81851837
120 Linear Feature 116
111  17.99419947 -092.82114626 52
111  17.99335606 -092.82110779 52
115  17.99326522 -092.82110365
120 Linear Feature 115
111  17.99421317 -092.82089046 52
111  17.99337732 -092.82085149 52
115  17.99328168 -092.82084703
120 Linear Feature 84
111  17.99412080 -092.81973931 51 101
112  17.99419734 -092.81985915  17.99425908 -092.81990504 51 101
112  17.99426121 -092.82000465  17.99425908 -092.82003151
111  17.99426121 -092.82000465
112  17.99426121 -092.82000465  17.99426035 -092.82001551 51 101
112  17.99423819 -092.82042492  17.99422628 -092.82064577
111  17.99423819 -092.82042492
112  17.99423819 -092.82042492  17.99423443 -092.82049452 51 101
112  17.99422668 -092.82063880  17.99422283 -092.82071026
111  17.99422668 -092.82063880
112  17.99422668 -092.82063880  17.99422537 -092.82066303 51 101
112  17.99422281 -092.82071085  17.99422153 -092.82073460
111  17.99422281 -092.82071085
112  17.99422281 -092.82071085  17.99421940 -092.82077421 51 101
112  17.99421317 -092.82089046  17.99421021 -092.82094572
111  17.99421317 -092.82089046
112  17.99421317 -092.82089046  17.99420859 -092.82097582 51 101
112  17.99420231 -092.82109305  17.99419988 -092.82113861
111  17.99420231 -092.82109305
112  17.99420231 -092.82109305  17.99420051 -092.82112683 51 101
115  17.99419947 -092.82114626
120 Linear Feature 83
111  17.99433486 -092.81838753 51 101
112  17.99417993 -092.81849579  17.99414021 -092.81860879
111  17.99417993 -092.81849579
112  17.99417993 -092.81849579  17.99417816 -092.81850085 51 101
112  17.99417507 -092.81851169  17.99417362 -092.81851724
111  17.99417507 -092.81851169
112  17.99417507 -092.81851169  17.99416890 -092.81853521 51 101
112  17.99416705 -092.81859651  17.99416831 -092.81862983
111  17.99416705 -092.81859651
112  17.99416705 -092.81859651  17.99416813 -092.81862512 51 101
112  17.99416910 -092.81868629  17.99416942 -092.81871723
111  17.99416910 -092.81868629
112  17.99416910 -092.81868629  17.99416990 -092.81876360 51 101
112  17.99416671 -092.81891685  17.99416480 -092.81898842
111  17.99416671 -092.81891685
112  17.99416671 -092.81891685  17.99416360 -092.81903360 51 101
111  17.99415885 -092.81912344 51 101
111  17.99414727 -092.81931085 51 101
111  17.99412080 -092.81973931 51 101
111  17.99412021 -092.81974886 51 101
111  17.99410537 -092.81994729 51 101
111  17.99409988 -092.82002081 51 101
115  17.99409094 -092.82014037
120 Linear Feature 82
111  17.99374938 -092.81806355 52
115  17.99374832 -092.81815893
120 Linear Feature 81
111  17.99414941 -092.81809213 51
111  17.99399723 -092.81808481 51
111  17.99355857 -092.81806373 51
115  17.99342046 -092.81805708
120 Linear Feature 80
111  17.99414991 -092.81807756 52
112  17.99396482 -092.81787273  17.99379972 -092.81786780 52
116  17.99374938 -092.81806355  17.99374586 -092.81813865
120 Linear Feature 79
111  17.99348507 -092.81609281 51 101
116  17.99333233 -092.81598065  17.99317691 -092.81599184
120 Linear Feature 75
111  17.99719387 -092.80789235 3 102
112  17.99710620 -092.80761732  17.99700901 -092.80751636 3 102
111  17.99687787 -092.80735385 3 102
112  17.99682006 -092.80698223  17.99689642 -092.80674135 3 102
116  17.99726042 -092.80671348  17.99731497 -092.80673478
120 Linear Feature 145
111  17.99470893 -092.81827660 3
115  17.99469901 -092.81824447
120 Linear Feature 73
111  17.99333947 -092.81581430 3 102
