I
1050 Generated by WorldEditor

1     20 1 0 PAJN Juneau Intl
111  58.35758146 -134.56933308
111  58.35758146 -134.56929403
111  58.35764184 -134.56929403
111  58.35764291 -134.56933308
111  58.35792001 -134.56932691
111  58.35792001 -134.56975029
111  58.35785209 -134.56974823
113  58.35784808 -134.57009150
110 2 0.00 0.0000 New Taxiway 17
111  58.35733525 -134.57240479
111  58.35733525 -134.57231802
111  58.35739149 -134.57231802
111  58.35739082 -134.57236013
111  58.35744504 -134.57236396
113  58.35744705 -134.57240607
110 2 0.00 0.0000 New Taxiway 16
111  58.35738904 -134.57347769
111  58.35736551 -134.57347583
111  58.35736650 -134.57336933
113  58.35738904 -134.57337120
110 2 0.00 0.0000 New Taxiway 15
111  58.35739660 -134.57354390
111  58.35739638 -134.57326219
111  58.35748843 -134.57325797
111  58.35748622 -134.57294354
111  58.35759889 -134.57294354
111  58.35760000 -134.57292387
111  58.35764529 -134.57292389
111  58.35764750 -134.57293512
111  58.35766591 -134.57294073
111  58.35766665 -134.57302215
111  58.35769316 -134.57302636
111  58.35769242 -134.57314708
111  58.35787506 -134.57315691
111  58.35787726 -134.57326640
111  58.35791114 -134.57326359
111  58.35791114 -134.57331834
111  58.35787506 -134.57331974
111  58.35787432 -134.57354855
111  58.35768432 -134.57354855
111  58.35768579 -134.57356820
111  58.35761381 -134.57357080
111  58.35760287 -134.57357022
113  58.35760177 -134.57354891
110 2 0.00 0.0000 New Taxiway 14
111  58.35605350 -134.56897142
111  58.35618297 -134.56889180
111  58.35647187 -134.57094025
113  58.35634037 -134.57101328
110 2 0.00 0.0000 New Taxiway 13
111  58.35665815 -134.57331313
111  58.35664549 -134.57321412
111  58.35661318 -134.57297747
111  58.35661065 -134.57295816
111  58.35660875 -134.57294367
111  58.35656961 -134.57267259
111  58.35656810 -134.57265580
111  58.35656550 -134.57263531
111  58.35638678 -134.57128770
111  58.35649498 -134.57121778
111  58.35683488 -134.57364758
113  58.35671706 -134.57370916
110 2 0.00 0.0000 New Taxiway 12
111  58.35681451 -134.57440810
111  58.35693488 -134.57434731
111  58.35731747 -134.57706759
111  58.35728940 -134.57708194
111  58.35725175 -134.57710412
113  58.35720041 -134.57713022
110 2 0.00 0.0000 New Taxiway 11
111  58.35776588 -134.57718637
111  58.35788786 -134.57711757
111  58.35809688 -134.57863022
111  58.35806836 -134.57864626
113  58.35797906 -134.57869528
110 2 0.00 0.0000 New Taxiway 10
111  58.35766444 -134.57647527
111  58.35778554 -134.57641245
111  58.35787460 -134.57702016
113  58.35775775 -134.57708380
110 2 0.00 0.0000 New Taxiway 9
111  58.35785020 -134.57901697
111  58.35783551 -134.57902508
111  58.35780537 -134.57881516
111  58.35782122 -134.57880485
111  58.35764775 -134.57756581
111  58.35776597 -134.57750696
111  58.35797681 -134.57901405
113  58.35785859 -134.57907147
110 2 0.00 0.0000 New Taxiway 8
111  58.35730185 -134.57770284
111  58.35744034 -134.57762816
111  58.35765627 -134.57917558
113  58.35751922 -134.57924689
110 2 0.00 0.0000 New Taxiway 7
111  58.35862635 -134.57831471
111  58.35859569 -134.57831763
111  58.35859569 -134.57821682
111  58.35862252 -134.57821536
111  58.35862664 -134.57820392
111  58.35867744 -134.57820105
111  58.35867845 -134.57818187
111  58.35874283 -134.57818187
111  58.35874233 -134.57820392
111  58.35886242 -134.57820065
111  58.35885949 -134.57884340
113  58.35862558 -134.57883922
110 2 0.00 0.0000 New Taxiway 6
111  58.35869558 -134.58051140
111  58.35869501 -134.58034236
111  58.35868982 -134.58034346
111  58.35868867 -134.58031053
111  58.35868585 -134.57991035
111  58.35861266 -134.57990658
111  58.35861439 -134.57992633
111  58.35867213 -134.57992343
111  58.35867305 -134.57995568
111  58.35867945 -134.57995742
111  58.35868082 -134.58002715
111  58.35867350 -134.58003064
111  58.35867305 -134.58006115
111  58.35867990 -134.58006463
111  58.35867945 -134.58014308
111  58.35867533 -134.58014221
111  58.35867442 -134.58016226
111  58.35868036 -134.58016139
111  58.35868128 -134.58023983
111  58.35867442 -134.58023983
111  58.35867625 -134.58027731
111  58.35861496 -134.58027650
111  58.35861439 -134.57992633
111  58.35861266 -134.57990658
111  58.35861151 -134.57986596
111  58.35861945 -134.57970123
111  58.35868537 -134.57970123
111  58.35868690 -134.57965447
111  58.35869150 -134.57964132
111  58.35869916 -134.57964132
111  58.35870146 -134.57906276
111  58.35869042 -134.57903784
111  58.35869225 -134.57891145
111  58.35871877 -134.57890710
111  58.35871969 -134.57900995
111  58.35904862 -134.57901182
111  58.35904057 -134.58065810
111  58.35868144 -134.58065618
111  58.35868093 -134.58054688
111  58.35868445 -134.58054592
113  58.35868752 -134.58051360
110 2 0.00 0.0000 New Taxiway 5
111  58.35821709 -134.58087693
111  58.35826166 -134.58086120
111  58.35826988 -134.58086285
111  58.35827248 -134.58090739
111  58.35826253 -134.58091151
113  58.35822363 -134.58092295
110 2 0.00 0.0000 New Taxiway 4
111  58.35815653 -134.58089667
111  58.35818032 -134.58088759
111  58.35820854 -134.58088172
111  58.35821357 -134.58092486
111  58.35816377 -134.58094500
113  58.35816086 -134.58093625
110 2 0.00 0.0000 New Taxiway 3
111  58.35826336 -134.58105910
111  58.35825381 -134.58099390
111  58.35827291 -134.58097914
111  58.35828805 -134.58096759
111  58.35829151 -134.58097914
111  58.35829887 -134.58097584
111  58.35829454 -134.58094038
111  58.35833002 -134.58093790
111  58.35833348 -134.58096017
111  58.35836896 -134.58094202
111  58.35837971 -134.58100051
113  58.35836850 -134.58101085
110 2 0.00 0.0000 New Taxiway 2
111  58.35796756 -134.58118289
111  58.35795742 -134.58112734
111  58.35796439 -134.58112131
111  58.35794792 -134.58103558
111  58.35796376 -134.58102350
111  58.35795362 -134.58097400
111  58.35807968 -134.58090517
111  58.35810307 -134.58104806
111  58.35800264 -134.58110258
111  58.35801421 -134.58115711
113  58.35798529 -134.58117685
110 2 0.00 0.0000 New Taxiway 1
111  58.35980740 -134.58410427
111  58.35967891 -134.58410701
111  58.35967796 -134.58417595
111  58.35909354 -134.58417051
111  58.35909766 -134.58404785
111  58.35895213 -134.58405783
111  58.35895213 -134.58395304
111  58.35890553 -134.58395504
111  58.35889611 -134.58393209
111  58.35888355 -134.58393807
111  58.35888355 -134.58381134
111  58.35885685 -134.58380735
111  58.35885685 -134.58404785
111  58.35882910 -134.58404884
111  58.35883015 -134.58410373
111  58.35880603 -134.58410325
111  58.35878758 -134.58410288
111  58.35873906 -134.58410073
111  58.35874011 -134.58356885
111  58.35859300 -134.58356486
111  58.35859352 -134.58351297
111  58.35863959 -134.58351596
111  58.35864116 -134.58347904
111  58.35866210 -134.58347804
111  58.35866263 -134.58351496
111  58.35872492 -134.58351297
111  58.35872492 -134.58349002
111  58.35870713 -134.58349301
111  58.35870713 -134.58344112
111  58.35872231 -134.58343812
111  58.35872434 -134.58332619
111  58.35871687 -134.58332769
111  58.35871569 -134.58316349
111  58.35870113 -134.58316424
111  58.35870153 -134.58319348
111  58.35868501 -134.58319423
111  58.35868461 -134.58316275
111  58.35861854 -134.58315900
111  58.35862011 -134.58312151
111  58.35868147 -134.58312376
111  58.35868108 -134.58310427
111  58.35870074 -134.58310651
111  58.35870035 -134.58312451
111  58.35871254 -134.58312226
111  58.35871136 -134.58309152
111  58.35871097 -134.58306603
111  58.35872355 -134.58306078
111  58.35872198 -134.58298131
111  58.35870467 -134.58297981
111  58.35870507 -134.58284036
111  58.35871529 -134.58282686
111  58.35875935 -134.58282836
111  58.35875935 -134.58284635
111  58.35883006 -134.58284598
111  58.35882959 -134.58269175
111  58.35883027 -134.58266332
111  58.35897365 -134.58266023
111  58.35897608 -134.58268803
111  58.35898418 -134.58268803
111  58.35898418 -134.58262163
111  58.35903117 -134.58261854
111  58.35903360 -134.58257685
111  58.35908139 -134.58257530
111  58.35908382 -134.58192366
111  58.35913000 -134.58192212
111  58.35912757 -134.58336901
111  58.35911298 -134.58337055
111  58.35922721 -134.58358056
111  58.35922478 -134.58367012
111  58.35930011 -134.58366549
111  58.35930092 -134.58356358
111  58.35966870 -134.58356666
111  58.35967016 -134.58377907
111  58.35980453 -134.58377878
113  58.35980844 -134.58388472
110 1 0.00 0.0000 New Taxiway 1
111  58.35829499 -134.59868415
111  58.35787416 -134.59888945
112  58.35781747 -134.59889470  58.35780053 -134.59888736
111  58.35778869 -134.59885438
111  58.35529883 -134.58094112
111  58.35415241 -134.57270831
111  58.35415897 -134.57264900
111  58.35173471 -134.55500717
112  58.35165318 -134.55498286  58.35162917 -134.55492853
111  58.35160064 -134.55476183
111  58.35153067 -134.55428684
112  58.35155712 -134.55409172  58.35159764 -134.55402023
111  58.35165599 -134.55395544
111  58.35203773 -134.55365074
112  58.35211151 -134.55370361  58.35214752 -134.55375223
111  58.35216158 -134.55383477
111  58.35224436 -134.55447173
112  58.35230769 -134.55462511  58.35235721 -134.55468231
111  58.35241800 -134.55466967
111  58.35262841 -134.55462372
111  58.35316585 -134.55436014
111  58.35331063 -134.55505964
111  58.35410056 -134.56082257
112  58.35419746 -134.56110419  58.35428854 -134.56125112
111  58.35435581 -134.56118094
111  58.35513685 -134.56078950
112  58.35519260 -134.56068620  58.35521515 -134.56062369
111  58.35522470 -134.56056815
111  58.35514787 -134.56000425
111  58.35518381 -134.55998560
111  58.35511100 -134.55941845
111  58.35515384 -134.55939975
111  58.35516482 -134.55943558
111  58.35550065 -134.55927840
111  58.35556359 -134.55975837
111  58.35546593 -134.55980394
111  58.35545007 -134.55981134
111  58.35541415 -134.55982810
111  58.35539432 -134.55983736
111  58.35536126 -134.55985279
111  58.35533218 -134.55986636
111  58.35530000 -134.55988138
111  58.35540030 -134.56062580
111  58.35558688 -134.56053688
111  58.35559827 -134.56060984
111  58.35568011 -134.56056465
111  58.35572600 -134.56089489
111  58.35578220 -134.56094808
111  58.35580248 -134.56107241
111  58.35532786 -134.56130738
112  58.35526267 -134.56118972  58.35520835 -134.56114478
111  58.35515167 -134.56119015
111  58.35441154 -134.56155844
112  58.35429246 -134.56174064  58.35424334 -134.56190705
111  58.35426779 -134.56202715
111  58.35499727 -134.56724640
112  58.35510954 -134.56760944  58.35520341 -134.56772745
111  58.35532772 -134.56766214
111  58.35598208 -134.56732087
112  58.35643324 -134.56715429  58.35670561 -134.56711339
111  58.35695424 -134.56750762
112  58.35704443 -134.56755101  58.35709527 -134.56752028
111  58.35709345 -134.56740779
111  58.35709097 -134.56683565
112  58.35721365 -134.56632641  58.35735164 -134.56615336
111  58.35745438 -134.56619356
111  58.35745576 -134.56623203
111  58.35745672 -134.56701296
111  58.35778638 -134.56700297
111  58.35778249 -134.56723909
111  58.35777041 -134.56724049
111  58.35776947 -134.56731347
111  58.35787139 -134.56731197
111  58.35787117 -134.56780371
111  58.35780493 -134.56780446
111  58.35779493 -134.56782028
111  58.35779715 -134.56811650
111  58.35787189 -134.56811662
111  58.35787301 -134.56840551
111  58.35758037 -134.56839849
111  58.35756191 -134.56843145
111  58.35756105 -134.56848197
111  58.35756291 -134.56914012
111  58.35756337 -134.56918294
111  58.35755814 -134.56935669
111  58.35755996 -134.57009619
111  58.35784808 -134.57009150
111  58.35789502 -134.57008104
111  58.35790109 -134.57167193
111  58.35761170 -134.57169244
112  58.35736607 -134.57172138  58.35730654 -134.57173320
111  58.35725378 -134.57181001
111  58.35725637 -134.57217628
111  58.35725348 -134.57241619
111  58.35724063 -134.57242452
112  58.35726355 -134.57302409  58.35728303 -134.57327273
111  58.35731843 -134.57352860
112  58.35735577 -134.57359395  58.35738880 -134.57359556
111  58.35739660 -134.57354390
111  58.35760177 -134.57354891
111  58.35760287 -134.57357022
111  58.35761381 -134.57357080
111  58.35761110 -134.57401291
111  58.35754659 -134.57400883
111  58.35709333 -134.57399531
111  58.35709650 -134.57387457
112  58.35724082 -134.57379103  58.35727690 -134.57369002
111  58.35724816 -134.57350194
112  58.35718797 -134.57290353  58.35717969 -134.57273007
111  58.35717055 -134.57240435
112  58.35713458 -134.57230044  58.35711256 -134.57223424
111  58.35710295 -134.57214424
111  58.35710023 -134.57162457
111  58.35694202 -134.57164942
111  58.35645994 -134.56829412
112  58.35637388 -134.56799137  58.35629465 -134.56787181
111  58.35621596 -134.56787319
111  58.35540162 -134.56828230
112  58.35524210 -134.56850450  58.35519216 -134.56867581
111  58.35521958 -134.56886645
111  58.35584289 -134.57331126
111  58.35588104 -134.57350448
111  58.35595601 -134.57359633
111  58.35613262 -134.57361384
111  58.35603621 -134.57291742
111  58.35603429 -134.57258181
111  58.35631910 -134.57264709
111  58.35601014 -134.57041560
111  58.35584945 -134.56923005
111  58.35580246 -134.56899673
112  58.35591021 -134.56890600  58.35597160 -134.56887740
111  58.35604526 -134.56889773
111  58.35605350 -134.56897142
111  58.35634037 -134.57101328
111  58.35638678 -134.57128770
111  58.35656550 -134.57263531
111  58.35656810 -134.57265580
111  58.35656961 -134.57267259
111  58.35660875 -134.57294367
111  58.35661065 -134.57295816
111  58.35661318 -134.57297747
111  58.35664549 -134.57321412
111  58.35665815 -134.57331313
111  58.35671706 -134.57370916
111  58.35683488 -134.57364758
111  58.35684185 -134.57372365
112  58.35686339 -134.57383352  58.35688143 -134.57387005
111  58.35693877 -134.57387095
111  58.35709650 -134.57387457
111  58.35709333 -134.57399531
111  58.35709396 -134.57401946
112  58.35698564 -134.57413054  58.35695858 -134.57421865
111  58.35697551 -134.57434908
111  58.35728212 -134.57638957
112  58.35732358 -134.57645652  58.35734839 -134.57650380
111  58.35735899 -134.57656465
111  58.35739794 -134.57682982
112  58.35753149 -134.57714979  58.35763634 -134.57725079
111  58.35775775 -134.57708380
111  58.35787460 -134.57702016
111  58.35778554 -134.57641245
111  58.35766444 -134.57647527
112  58.35779857 -134.57563959  58.35792408 -134.57530674
111  58.35819483 -134.57532693
112  58.35825768 -134.57596101  58.35828224 -134.57617684
111  58.35836958 -134.57656733
111  58.35858726 -134.57732560
111  58.35859493 -134.57791001
111  58.35862252 -134.57821536
111  58.35859569 -134.57821682
111  58.35859569 -134.57831763
111  58.35862635 -134.57831471
111  58.35862558 -134.57883922
111  58.35846693 -134.57886990
111  58.35844240 -134.57891227
111  58.35844853 -134.57912558
111  58.35844317 -134.57913288
111  58.35844930 -134.57923808
111  58.35862405 -134.57925707
111  58.35863018 -134.57907444
111  58.35870146 -134.57906276
111  58.35869916 -134.57964132
111  58.35869150 -134.57964132
111  58.35868690 -134.57965447
111  58.35868537 -134.57970123
111  58.35861945 -134.57970123
111  58.35861151 -134.57986596
111  58.35861266 -134.57990658
111  58.35861439 -134.57992633
111  58.35861496 -134.58027650
111  58.35861726 -134.58031492
111  58.35868867 -134.58031053
111  58.35868982 -134.58034346
111  58.35869501 -134.58034236
111  58.35869558 -134.58051140
111  58.35868752 -134.58051360
111  58.35865182 -134.58051799
111  58.35865239 -134.58071118
111  58.35865124 -134.58084949
112  58.35860114 -134.58088023  58.35858251 -134.58092705
111  58.35857926 -134.58104159
111  58.35853895 -134.58103830
111  58.35837195 -134.58107562
111  58.35836850 -134.58101085
111  58.35837971 -134.58100051
111  58.35836896 -134.58094202
111  58.35833348 -134.58096017
111  58.35833002 -134.58093790
111  58.35829454 -134.58094038
111  58.35829887 -134.58097584
111  58.35829151 -134.58097914
111  58.35828805 -134.58096759
111  58.35827291 -134.58097914
111  58.35826253 -134.58091151
111  58.35827248 -134.58090739
111  58.35826988 -134.58086285
111  58.35826166 -134.58086120
111  58.35825993 -134.58081914
111  58.35817729 -134.58085296
111  58.35818032 -134.58088759
111  58.35815653 -134.58089667
111  58.35816086 -134.58093625
111  58.35813922 -134.58094532
111  58.35813187 -134.58087852
111  58.35807968 -134.58090517
111  58.35795362 -134.58097400
111  58.35796376 -134.58102350
111  58.35794792 -134.58103558
111  58.35796439 -134.58112131
111  58.35795742 -134.58112734
111  58.35796756 -134.58118289
111  58.35798529 -134.58117685
111  58.35801389 -134.58138619
111  58.35770005 -134.58159166
111  58.35776520 -134.58217606
111  58.35778972 -134.58231340
111  58.35843214 -134.58229986
111  58.35858720 -134.58229986
112  58.35858353 -134.58245224  58.35857970 -134.58248049
112  58.35856879 -134.58252211  58.35856592 -134.58254763
112  58.35857021 -134.58259650  58.35857547 -134.58262566
111  58.35858782 -134.58264367
111  58.35865112 -134.58264639
111  58.35865350 -134.58262916
111  58.35876724 -134.58261736
111  58.35882959 -134.58269175
111  58.35883006 -134.58284598
111  58.35875935 -134.58284635
111  58.35875935 -134.58282836
111  58.35871529 -134.58282686
111  58.35870507 -134.58284036
111  58.35870467 -134.58297981
111  58.35872198 -134.58298131
111  58.35872355 -134.58306078
111  58.35871097 -134.58306603
111  58.35871136 -134.58309152
111  58.35871254 -134.58312226
111  58.35870035 -134.58312451
111  58.35870074 -134.58310651
111  58.35868108 -134.58310427
111  58.35868147 -134.58312376
111  58.35862011 -134.58312151
111  58.35861854 -134.58315900
111  58.35868461 -134.58316275
111  58.35868501 -134.58319423
111  58.35870153 -134.58319348
111  58.35870113 -134.58316424
111  58.35871569 -134.58316349
111  58.35871687 -134.58332769
111  58.35872434 -134.58332619
111  58.35872231 -134.58343812
111  58.35870713 -134.58344112
111  58.35870713 -134.58349301
111  58.35872492 -134.58349002
111  58.35872492 -134.58351297
111  58.35866263 -134.58351496
111  58.35866210 -134.58347804
111  58.35864116 -134.58347904
111  58.35863959 -134.58351596
111  58.35859352 -134.58351297
111  58.35859300 -134.58356486
111  58.35874011 -134.58356885
111  58.35873906 -134.58410073
111  58.35878758 -134.58410288
111  58.35880603 -134.58410325
111  58.35883015 -134.58410373
111  58.35882910 -134.58404884
111  58.35885685 -134.58404785
111  58.35885685 -134.58380735
111  58.35888355 -134.58381134
111  58.35888355 -134.58393807
111  58.35889611 -134.58393209
111  58.35890553 -134.58395504
111  58.35895213 -134.58395304
111  58.35895213 -134.58405783
111  58.35909766 -134.58404785
111  58.35909354 -134.58417051
111  58.35967796 -134.58417595
111  58.35967891 -134.58410701
111  58.35980740 -134.58410427
111  58.35980844 -134.58388472
111  58.35985137 -134.58388073
111  58.35984971 -134.58383636
111  58.36052650 -134.58383344
111  58.36072343 -134.58406449
111  58.36113176 -134.58500558
112  58.36118465 -134.58517907  58.36119024 -134.58520927
111  58.36119084 -134.58531607
111  58.36120114 -134.58532060
111  58.36119457 -134.58594077
111  58.36120047 -134.58593852
111  58.36119850 -134.58599476
111  58.36119929 -134.58602509
111  58.36119811 -134.58613947
111  58.36119863 -134.58620579
111  58.36119815 -134.58633099
111  58.36119578 -134.58633916
111  58.36120149 -134.58714933
111  58.36114866 -134.58714843
111  58.36113581 -134.58716566
111  58.36112629 -134.58720831
111  58.36109060 -134.58720468
111  58.36106204 -134.58716657
111  58.36106365 -134.58732727
112  58.36104004 -134.58754243  58.36101488 -134.58762414
111  58.36097036 -134.58764782
111  58.36090874 -134.58765001
111  58.36090280 -134.58744293
112  58.36098174 -134.58730215  58.36097969 -134.58719078
