I
1050 Generated by WorldEditor 1.6.0r1

1   5006 1 0 SVMD Alberto Carnevalli Airport
111  08.58440089 -071.15871827 1
115  08.58432323 -071.15866942
120 Linear Feature 12
111  08.58433900 -071.15883155 1
115  08.58425687 -071.15878040
120 Linear Feature 11
111  08.58427955 -071.15894249 1
115  08.58419634 -071.15888914
120 Linear Feature 10
111  08.58420882 -071.15904803 1
115  08.58413159 -071.15899578
120 Linear Feature 9
111  08.58414956 -071.15916207 1
115  08.58406535 -071.15910739
120 Linear Feature 8
111  08.58359955 -071.16041759 1
112  08.58347501 -071.16053969  08.58334093 -071.16053668 1
111  08.58336644 -071.16037808 1
115  08.58326279 -071.16032379
120 Linear Feature 8
111  08.58337685 -071.16082303 1
112  08.58324537 -071.16095473  08.58311755 -071.16095093 1
111  08.58311567 -071.16083307 1
115  08.58301202 -071.16077878
120 Linear Feature 7
111  08.58282991 -071.16034235 1
112  08.58292877 -071.16017917  08.58299914 -071.16007105 1
111  08.58309973 -071.16012260 1
111  08.58359955 -071.16041759 1
111  08.58309973 -071.16012260 1
112  08.58305677 -071.15994447  08.58310846 -071.15985339 1
115  08.58316859 -071.15975719
120 Linear Feature 6
111  08.58259512 -071.16076526 1
112  08.58268724 -071.16060708  08.58273162 -071.16053315 1
111  08.58285939 -071.16055293 1
111  08.58337685 -071.16082303 1
111  08.58285939 -071.16055293 1
116  08.58282991 -071.16034235  08.58289870 -071.16022031
120 Linear Feature 5
111  08.58256375 -071.16129076 1
111  08.58287518 -071.16145871 1
111  08.58295072 -071.16143197 1
111  08.58318997 -071.16103551 1
112  08.58329352 -071.16101839  08.58336112 -071.16104895 1
111  08.58340396 -071.16098298 1
111  08.58373120 -071.16041887 1
112  08.58371054 -071.16034175  08.58366598 -071.16031692 1
115  08.58362455 -071.16029535
21  08.58428198 -071.15706889 2 242.2065 3.00 New Light Fixture 4
21  08.58038129 -071.16524870 2 61.9887 3.00 New Light Fixture 3
14  08.58293952 -071.16178774   9.84 0 New Tower Viewpoint 2
1300  08.58301915 -071.16101452 108.08 gate turboprops|props WEST GA APRON 05
1301 A general_aviation 
1300  08.58294337 -071.16114044 108.08 gate turboprops|props WEST GA APRON 04
1301 A general_aviation 
1300  08.58286758 -071.16125814 108.08 gate turboprops|props WEST GA APRON 03
1301 A general_aviation 
1300  08.58341416 -071.16001508 149.02 gate turboprops|props WEST GA APRON 02
1301 A general_aviation 
1300  08.58348746 -071.15982917 149.02 gate jets|turboprops WEST GA APRON 01
1301 B general_aviation 
1300  08.58383112 -071.15970282 120.19 gate turboprops|props EAST GA APRON 06
1301 A general_aviation 
1300  08.58390161 -071.15958665 120.19 gate turboprops|props EAST GA APRON 05
1301 A general_aviation 
1300  08.58502782 -071.15764106 120.19 gate turboprops|props EAST GA APRON 04
1301 A general_aviation 
1300  08.58495656 -071.15775670 120.19 gate turboprops|props EAST GA APRON 03
1301 A general_aviation 
1300  08.58488185 -071.15787331 120.19 gate turboprops|props EAST GA APRON 02
1301 A general_aviation 
1300  08.58479903 -071.15799156 120.19 gate turboprops|props EAST GA APRON 01
1301 A general_aviation 
1300  08.58326279 -071.16032379 152.44 gate jets|turboprops GATE 02
1301 B airline 
1300  08.58301202 -071.16077878 152.67 gate jets|turboprops GATE 01
1301 B airline 
18  08.58373584 -071.15953261 1 New Airport Beacon 1
53 12190 GND
54 11805 MERIDA TWR
99
