A
1100 Generated by WorldEditor 1.6.0r1

1    773 0 0 KGDW Gladwin Zetel Memorial Airport
111  43.97553073 -084.48373950
111  43.97556420 -084.48376245
111  43.97554508 -084.48382528
111  43.97551204 -084.48380474
113  43.97549769 -084.48384884
110 2 0.00 0.0000 New Taxiway 8
111  43.97499472 -084.48415174
111  43.97500992 -084.48410064
111  43.97502410 -084.48405293
111  43.97503819 -084.48400555
111  43.97508079 -084.48403153
111  43.97506862 -084.48406959
111  43.97510210 -084.48409254
111  43.97508297 -084.48415536
111  43.97504993 -084.48413482
113  43.97503558 -084.48417892
110 2 0.00 0.0000 New Taxiway 8
111  43.97494168 -084.48431907
111  43.97498516 -084.48417288
111  43.97502776 -084.48419886
111  43.97501559 -084.48423691
111  43.97504906 -084.48425987
111  43.97502993 -084.48432269
111  43.97499689 -084.48430215
113  43.97498255 -084.48434625
110 2 0.00 0.0000 New Taxiway 7
111  43.97468752 -084.48339205
111  43.97459519 -084.48338915
111  43.97459605 -084.48334882
111  43.97459793 -084.48326160
111  43.97459884 -084.48321952
113  43.97469065 -084.48322097
110 2 0.00 0.0000 New Taxiway 6
111  43.97519097 -084.48349219
111  43.97527907 -084.48354390
111  43.97518777 -084.48383385
113  43.97510064 -084.48377839
110 2 0.00 0.0000 New Taxiway 5
111  43.97355450 -084.48387847
111  43.97356253 -084.48364247
111  43.97428208 -084.48369504
113  43.97427667 -084.48392659
110 1 0.00 0.0000 New Taxiway 4
111  43.97185570 -084.48254976
112  43.97185570 -084.48254976  43.97188034 -084.48273047 3
111  43.97196865 -084.48273845 3
111  43.97208919 -084.48274491 3
111  43.97266647 -084.48277582
112  43.97266647 -084.48277582  43.97280018 -084.48276643 3
111  43.97280361 -084.48255350 3
111  43.97291754 -084.47833437
112  43.97291754 -084.47833437  43.97291629 -084.47819085 3
111  43.97278644 -084.47816311 3
111  43.97222026 -084.47813742 3
111  43.97213434 -084.47813353
112  43.97213434 -084.47813353  43.97202166 -084.47812831 3
111  43.97197635 -084.47828454
111  43.97199243 -084.47777700 3
112  43.97213437 -084.47797780  43.97225832 -084.47800285
111  43.97213437 -084.47797780 3
111  43.97222482 -084.47798231 3
111  43.97278779 -084.47801038
112  43.97278779 -084.47801038  43.97292425 -084.47799647 3
111  43.97293640 -084.47779198 3
111  43.97329005 -084.46547944 3
112  43.97315794 -084.46525961  43.97302390 -084.46524680
111  43.97315794 -084.46525961 3
111  43.97259269 -084.46521878 3
111  43.97248752 -084.46521118
112  43.97248752 -084.46521118  43.97239882 -084.46521269 3
111  43.97235362 -084.46534127
111  43.97236499 -084.46505192 3
111  43.97259699 -084.46506776 3
111  43.97262893 -084.46506994 3
111  43.97271879 -084.46484725 3
111  43.97301673 -084.46486368
112  43.97301673 -084.46486368  43.97302717 -084.46507099 3
111  43.97315388 -084.46509908 3
111  43.97340235 -084.46511029 3
111  43.97303712 -084.47779681
112  43.97303712 -084.47779681  43.97304072 -084.47802227 3
111  43.97320440 -084.47803189 3
111  43.97352116 -084.47805688
112  43.97352116 -084.47805688  43.97361756 -084.47805514 3
111  43.97363571 -084.47796272
111  43.97363697 -084.47790781
111  43.97364094 -084.47773519
111  43.97364477 -084.47756828
111  43.97364876 -084.47739450
111  43.97365023 -084.47733049
111  43.97392328 -084.47735274
111  43.97420043 -084.47737532
111  43.97418831 -084.47779119
111  43.97418613 -084.47786593
111  43.97417954 -084.47809214
111  43.97417455 -084.47826356
111  43.97416685 -084.47852776
111  43.97390963 -084.47850415
111  43.97377377 -084.47849167
111  43.97365503 -084.47848077
111  43.97361799 -084.47847737
111  43.97362337 -084.47832044 3
112  43.97352387 -084.47821020  43.97344406 -084.47820441
111  43.97352387 -084.47821020 3
111  43.97314471 -084.47819152 3
112  43.97301294 -084.47838396  43.97300204 -084.47857875
111  43.97301294 -084.47838396 3
111  43.97289343 -084.48256915
112  43.97289343 -084.48256915  43.97290627 -084.48276720 3
111  43.97301010 -084.48278687 3
111  43.97309910 -084.48281823 3
111  43.97460103 -084.48290699 3
112  43.97478096 -084.48295171  43.97484301 -084.48298373
111  43.97478096 -084.48295171 3
111  43.97635979 -084.48388526
111  43.97634093 -084.48396124
111  43.97631803 -084.48405348
111  43.97623201 -084.48400747
111  43.97620107 -084.48409080
111  43.97610533 -084.48403357
111  43.97613031 -084.48395439 3
112  43.97608717 -084.48382755  43.97603066 -084.48379372 3
111  43.97599211 -084.48385393
111  43.97589853 -084.48415885
111  43.97586303 -084.48413419
111  43.97595500 -084.48384048
112  43.97595500 -084.48384048  43.97596131 -084.48376157 3
111  43.97590498 -084.48370820 3
111  43.97583886 -084.48366893 3
111  43.97575523 -084.48361927 3
111  43.97555262 -084.48349894 3
111  43.97545881 -084.48344322 3
111  43.97531607 -084.48335845 3
112  43.97515231 -084.48346906  43.97508831 -084.48361311
111  43.97515231 -084.48346906
111  43.97519097 -084.48349219
111  43.97510064 -084.48377839
111  43.97506523 -084.48375723
111  43.97498374 -084.48402592
111  43.97502410 -084.48405293
111  43.97500992 -084.48410064
111  43.97496870 -084.48407478
111  43.97488347 -084.48435515
111  43.97485280 -084.48433532
111  43.97482595 -084.48431797
111  43.97509555 -084.48343286 3
112  43.97498047 -084.48317685  43.97484677 -084.48306682
111  43.97498047 -084.48317685
112  43.97498047 -084.48317685  43.97480674 -084.48303526 3
111  43.97460776 -084.48299974 3
112  43.97444608 -084.48320600  43.97442880 -084.48337197
111  43.97444608 -084.48320600
111  43.97444506 -084.48324925
111  43.97459793 -084.48326160
111  43.97459605 -084.48334882
111  43.97444293 -084.48333913
111  43.97441576 -084.48448841
111  43.97434476 -084.48449066
111  43.97435283 -084.48413642
111  43.97354771 -084.48407813
111  43.97355450 -084.48387847
111  43.97427667 -084.48392659
111  43.97428208 -084.48369504
111  43.97356253 -084.48364247
111  43.97356869 -084.48346159
111  43.97425118 -084.48349522
112  43.97437865 -084.48323515  43.97437789 -084.48300133 3
111  43.97421891 -084.48297508 3
111  43.97309271 -084.48291006 3
111  43.97301540 -084.48292563 3
111  43.97260603 -084.48290595 3
111  43.97247905 -084.48314987 3
111  43.97217185 -084.48313170 3
111  43.97213170 -084.48289946 3
111  43.97208631 -084.48289716 3
113  43.97184685 -084.48288503
110 3 0.00 0.0000 New Taxiway 3
111  43.97138020 -084.47869063
111  43.97179316 -084.47892077
111  43.97177318 -084.47949993
113  43.97121668 -084.47920861
110 2 0.00 0.0000 New Taxiway 2
111  43.96675069 -084.47791242
111  43.96657234 -084.47780604
111  43.96659475 -084.47772431
113  43.96677776 -084.47782939
110 3 0.00 0.0000 New Taxiway 1
111  43.96798091 -084.47726984
111  43.96768984 -084.47845053
111  43.96678131 -084.47781710
111  43.96677776 -084.47782939
111  43.96659475 -084.47772431
111  43.96660291 -084.47769272
111  43.96584302 -084.47716292
113  43.96615752 -084.47618212
110 2 0.00 0.0000 New Taxiway 30
111  43.97436248 -084.47757633
111  43.97424529 -084.47756881
111  43.97425431 -084.47729700
113  43.97437059 -084.47730828
110 2 0.00 0.0000 New Taxiway 29
111  43.97439132 -084.47808864
111  43.97427414 -084.47808613
111  43.97427414 -084.47791954
113  43.97439222 -084.47792079
130 Airport Boundary
111  43.96408676 -084.47578659
111  43.96677007 -084.47847428
111  43.96909800 -084.48486300
111  43.97061012 -084.48724156
111  43.97236800 -084.48766552
111  43.97245002 -084.48501594
111  43.97677323 -084.48501733
111  43.97710330 -084.48143036
111  43.97485509 -084.47952507
111  43.97501371 -084.47129147
111  43.97417717 -084.47130856
111  43.97439157 -084.46398813
111  43.97011891 -084.46393889
111  43.97006448 -084.47615234
113  43.96397175 -084.47311130
120 Linear Feature 39
111  43.97259699 -084.46506776 54
115  43.97259269 -084.46521878
120 Linear Feature 38
111  43.97309279 -084.47810607 1
116  43.97298413 -084.47793654  43.97297578 -084.47778939
120 Linear Feature 37
112  43.97287472 -084.47809399  43.97297175 -084.47807152 1
111  43.97298413 -084.47793654 1
111  43.97334474 -084.46537292
112  43.97334474 -084.46537292  43.97334150 -084.46519706 1
111  43.97321818 -084.46518654 1
115  43.97236038 -084.46512642
120 Linear Feature 34
111  43.97411923 -084.47791390 1
111  43.97412082 -084.47786209 1
115  43.97412236 -084.47781213
120 Linear Feature 34
111  43.97411235 -084.47814007 1
111  43.97411394 -084.47808825 1
115  43.97411548 -084.47803829
120 Linear Feature 34
111  43.97410859 -084.47831143 1
111  43.97411018 -084.47825961 1
115  43.97411172 -084.47820965
120 Linear Feature 33
111  43.97418613 -084.47786593 1
115  43.97412082 -084.47786209
120 Linear Feature 33
111  43.97417954 -084.47809214 1
115  43.97411394 -084.47808825
120 Linear Feature 33
111  43.97417455 -084.47826356 1
115  43.97411018 -084.47825961
120 Linear Feature 32
111  43.97369087 -084.47840022 1
111  43.97365958 -084.47839760 1
115  43.97363036 -084.47839515
120 Linear Feature 32
111  43.97380929 -084.47841255 1
111  43.97377800 -084.47840992 1
115  43.97374878 -084.47840747
120 Linear Feature 32
111  43.97394534 -084.47842557 1
111  43.97391405 -084.47842295 1
115  43.97388482 -084.47842050
120 Linear Feature 31
111  43.97365503 -084.47848077 1
115  43.97365958 -084.47839760
120 Linear Feature 31
111  43.97377377 -084.47849167 1
115  43.97377800 -084.47840992
120 Linear Feature 31
111  43.97390963 -084.47850415 1
115  43.97391405 -084.47842295
120 Linear Feature 28
111  43.97418831 -084.47779119 3
111  43.97410131 -084.47778796 3
111  43.97391652 -084.47762414 3
115  43.97392328 -084.47735274
120 Linear Feature 27
111  43.97296994 -084.47827137 1
116  43.97287472 -084.47809399  43.97277717 -084.47805992
120 Linear Feature 26
111  43.97222482 -084.47798231 54
115  43.97222026 -084.47813742
120 Linear Feature 25
112  43.97209792 -084.47805093  43.97193416 -084.47804050 1
111  43.97190860 -084.47779587 1
115  43.97192937 -084.47700768
120 Linear Feature 24
111  43.97186728 -084.47911674 1
111  43.97188789 -084.47828891
112  43.97188789 -084.47828891  43.97194023 -084.47803958 1
111  43.97209792 -084.47805093 1
111  43.97287472 -084.47809399 1
111  43.97309279 -084.47810607 1
115  43.97349712 -084.47812848
120 Linear Feature 23
111  43.97208919 -084.48274491 54
115  43.97208631 -084.48289716
120 Linear Feature 18
111  43.97441469 -084.48316106 1
116  43.97425967 -084.48293520  43.97412521 -084.48290806
120 Linear Feature 17
111  43.97453809 -084.48295112 1
112  43.97441469 -084.48316106  43.97441169 -084.48331659
111  43.97441469 -084.48316106 1
115  43.97438116 -084.48445373
120 Linear Feature 20
111  43.97512875 -084.48342402 1
116  43.97504863 -084.48316412  43.97494832 -084.48307807
120 Linear Feature 19
111  43.97528372 -084.48330358 1
112  43.97512875 -084.48342402  43.97508765 -084.48355780
111  43.97512875 -084.48342402 1
115  43.97485280 -084.48433532
120 Linear Feature 22
111  43.97274053 -084.48284832 1
116  43.97284220 -084.48267938  43.97285121 -084.48255412
120 Linear Feature 21
112  43.97296198 -084.48286099  43.97285471 -084.48284846 1
111  43.97284220 -084.48267938 1
111  43.97296994 -084.47827137 1
116  43.97309279 -084.47810607  43.97318303 -084.47809230
120 Linear Feature 16
111  43.97187740 -084.48279896 1
111  43.97274053 -084.48284832 1
111  43.97296198 -084.48286099 1
111  43.97425967 -084.48293520 1
111  43.97453809 -084.48295112 1
111  43.97457444 -084.48295320
112  43.97457444 -084.48295320  43.97469651 -084.48296335 1
111  43.97478429 -084.48300731 1
111  43.97504863 -084.48316412 1
111  43.97528372 -084.48330358 1
115  43.97622254 -084.48386050
120 Linear Feature 36
111  43.97370925 -084.47739616 1
115  43.97364876 -084.47739450
120 Linear Feature 36
111  43.97370560 -084.47757013 1
115  43.97364477 -084.47756828
120 Linear Feature 36
111  43.97370247 -084.47773685 1
115  43.97364094 -084.47773519
120 Linear Feature 36
111  43.97369829 -084.47790937 1
115  43.97363697 -084.47790781
120 Linear Feature 35
111  43.97370879 -084.47744818 1
111  43.97370925 -084.47739616 1
115  43.97370969 -084.47734582
120 Linear Feature 35
111  43.97370514 -084.47762214 1
111  43.97370560 -084.47757013 1
115  43.97370604 -084.47751979
120 Linear Feature 35
111  43.97370200 -084.47778886 1
111  43.97370247 -084.47773685 1
115  43.97370291 -084.47768651
120 Linear Feature 35
111  43.97369783 -084.47796138 1
111  43.97369829 -084.47790937 1
115  43.97369874 -084.47785903
21  43.97206414 -084.48120153 2 87.6800 3.00 09  PAPI-4L
21  43.97192388 -084.46685472 2 267.6900 3.00 27  PAPI-4L
14  43.97433939 -084.47800409  82.02 0 New Tower Viewpoint 2
1300  43.97370925 -084.47739616  -0.39 tie_down props GA 10
1301 A general_aviation 
1300  43.97370560 -084.47757013  -0.39 tie_down props GA 09
1301 A general_aviation 
1300  43.97370247 -084.47773685  -0.39 tie_down props GA 08
1301 A general_aviation 
1300  43.97369829 -084.47790937  -0.39 tie_down props GA 07
1301 A general_aviation 
1300  43.97365958 -084.47839760  85.90 tie_down props GA 06
1301 A general_aviation 
1300  43.97377800 -084.47840992  85.90 tie_down props GA 05
1301 A general_aviation 
1300  43.97391405 -084.47842295  85.90 tie_down props GA 04
1301 A general_aviation 
1300  43.97411018 -084.47825961 177.88 tie_down props GA 03
1301 A general_aviation 
1300  43.97411394 -084.47808825 177.88 tie_down props GA 02
1301 A general_aviation 
1300  43.97412082 -084.47786209 177.88 tie_down props GA 01
1301 A general_aviation 
1300  43.97416958 -084.48372967  87.10 hangar props Hangar 05
1301 A none 
1300  43.97403328 -084.48372065  87.10 hangar props Hangar 04
1301 A none 
1300  43.97389958 -084.48370983  87.10 hangar props Hangar 03
1301 A none 
1300  43.97376588 -084.48370081  87.10 hangar props Hangar 02
1301 A none 
1300  43.97363348 -084.48369179  87.10 hangar props Hangar 01
1301 A none 
18  43.97438914 -084.47748843 1 New Airport Beacon 1
19  43.97386349 -084.47537018 1 WS
51 12280 CTAF/UNICOM
55 12645 SAGINAW APP/DEP
99
