A
1000 Generated by WorldEditor

1    349 0 0 KOFP HANOVER CO MUNI
112  37.70683056 -077.43632727  37.70680898 -077.43633350
111  37.70677231 -077.43644799
111  37.70667302 -077.43637503
112  37.70671507 -077.43625744  37.70671507 -077.43620990
113  37.70670953 -077.43619422
110 2 0.00 0.0000 New Taxiway 14
111  37.70227739 -077.43293006
111  37.70213937 -077.43323054
111  37.70251353 -077.43351907
111  37.70192984 -077.43477297
111  37.70074954 -077.43395790
111  37.70143795 -077.43245724
111  37.70208427 -077.43289343
113  37.70212286 -077.43281701
110 2 0.00 0.0000 New Taxiway 13
111  37.70332598 -077.43385930
111  37.70330772 -077.43390946
111  37.70345896 -077.43401623
111  37.70335228 -077.43430989
112  37.70335356 -077.43439364  37.70335356 -077.43444580
111  37.70335027 -077.43447143
111  37.70290576 -077.43543126
111  37.70259207 -077.43520091
111  37.70320960 -077.43384478
111  37.70325366 -077.43387401
113  37.70328163 -077.43382279
110 1 0.00 0.0000 New Taxiway 12
111  37.70343283 -077.43378155
112  37.70337323 -077.43379044  37.70335370 -077.43380399
111  37.70332598 -077.43385930
111  37.70328163 -077.43382279
112  37.70331546 -077.43374515  37.70331699 -077.43371951
113  37.70331093 -077.43369180
110 2 0.00 0.0000 New Taxiway 11
111  37.70439076 -077.43480963
111  37.70391336 -077.43583191
111  37.70359844 -077.43562371
111  37.70312512 -077.43528283
111  37.70357877 -077.43422447
111  37.70428314 -077.43473207
113  37.70435319 -077.43478256
110 1 0.00 0.0000 New Taxiway 10
111  37.70450602 -077.43457175
112  37.70446239 -077.43458008  37.70444570 -077.43459135
111  37.70435319 -077.43478256
111  37.70428314 -077.43473207
111  37.70436610 -077.43455667
112  37.70436830 -077.43450995  37.70436313 -077.43448304
113  37.70435479 -077.43446040
110 1 0.00 0.0000 New Taxiway 4
111  37.71527185 -077.44149487 102
111  37.71506356 -077.44194447 102
111  37.71492852 -077.44224594 102
111  37.71305141 -077.44086381
111  37.71289679 -077.44074996 102
111  37.71142744 -077.43966807
111  37.71131646 -077.43958634 102
111  37.71059023 -077.43905162
111  37.71043014 -077.43893375 102
111  37.70928529 -077.43809078
111  37.70865653 -077.43762781 102
111  37.70797938 -077.43712922
111  37.70738105 -077.43668866 102
111  37.70688024 -077.43631991
111  37.70670953 -077.43619422 102
111  37.70635725 -077.43593483
111  37.70619967 -077.43581880 102
111  37.70602212 -077.43568808
111  37.70584983 -077.43556122 102
111  37.70478757 -077.43477906
111  37.70462664 -077.43466057 102
111  37.70450602 -077.43457175
111  37.70435479 -077.43446040 102
111  37.70343283 -077.43378155
111  37.70331093 -077.43369180 102
111  37.70227993 -077.43293266
111  37.70212286 -077.43281701 102
111  37.70247228 -077.43209285
111  37.70293882 -077.43243474 102
112  37.70264965 -077.43264792  37.70256434 -077.43288785 102
111  37.70285190 -077.43322257 102
112  37.70758049 -077.43670212  37.70756982 -077.43669339 102
112  37.70777308 -077.43657569  37.70782634 -077.43641708 102
112  37.70784332 -077.43629684  37.70784332 -077.43617817 102
111  37.70779908 -077.43600332
111  37.70826642 -077.43634351 102
112  37.70802177 -077.43642483  37.70789466 -077.43654281 102
112  37.70785359 -077.43663780  37.70782976 -077.43669177 102
112  37.70782343 -077.43682810  37.70782944 -077.43689493 102
111  37.70790691 -077.43694572 102
112  37.70889215 -077.43765251  37.70890536 -077.43766109 102
112  37.70903731 -077.43757884  37.70906922 -077.43751310 102
111  37.70905897 -077.43753631 102
112  37.70913251 -077.43721258  37.70913529 -077.43702260 102
111  37.70907536 -077.43694383
111  37.70955388 -077.43729219 102
112  37.70932851 -077.43735384  37.70924501 -077.43740837 102
111  37.70913762 -077.43759884 102
112  37.70910904 -077.43777243  37.70912527 -077.43783643 102
111  37.70918666 -077.43787828 102
112  37.71286148 -077.44058875  37.71295626 -077.44060245 102
111  37.71308769 -077.44057763 102
112  37.71332577 -077.44030998  37.71334207 -077.44008686 102
111  37.71325376 -077.44001368
111  37.71366214 -077.44031143 102
112  37.71343758 -077.44038505  37.71337537 -077.44046370 102
111  37.71329644 -077.44065759 102
112  37.71328482 -077.44082681  37.71331322 -077.44092070 102
111  37.71340271 -077.44097968 102
111  37.71455199 -077.44182097 102
112  37.71487348 -077.44187241  37.71499039 -077.44181563 102
112  37.71509174 -077.44155017  37.71507630 -077.44135637 102
113  37.71502969 -077.44131787
110 1 0.00 0.0000 Runway Exit
112  37.70767003 -077.43716487  37.70761933 -077.43727082
111  37.70763675 -077.43730000
111  37.70739411 -077.43711728
112  37.70749779 -077.43701665  37.70753297 -077.43692771
111  37.70738221 -077.43668862
113  37.70797680 -077.43712213
110 2 0.00 0.0000 New Taxiway 8
111  37.70406065 -077.43636861
111  37.70394215 -077.43629150
111  37.70413393 -077.43585207
111  37.70417314 -077.43588090
111  37.70422285 -077.43591944
113  37.70425358 -077.43594250
110 1 0.00 0.0000 New Taxiway 7
111  37.70478757 -077.43477906
112  37.70472910 -077.43479194  37.70470173 -077.43480950
111  37.70467495 -077.43485128
111  37.70422285 -077.43591944
111  37.70417314 -077.43588090
111  37.70462595 -077.43481702
112  37.70463551 -077.43472775  37.70463293 -077.43469430
113  37.70462664 -077.43466057
110 2 0.00 0.0000 New Taxiway 6
111  37.70591027 -077.43576381
111  37.70605144 -077.43586611
111  37.70531843 -077.43747682
111  37.70414169 -077.43660504
111  37.70488963 -077.43498652
113  37.70584229 -077.43570961
110 1 0.00 0.0000 New Taxiway 5
111  37.70602212 -077.43568808
112  37.70596920 -077.43569023  37.70594171 -077.43569946
111  37.70591027 -077.43576381
111  37.70584229 -077.43570961
112  37.70586679 -077.43563171  37.70586574 -077.43559652
113  37.70584983 -077.43556122
110 1 0.00 0.0000 Runway Exit
112  37.70896927 -077.43811621  37.70891830 -077.43820152
111  37.70894396 -077.43828534
111  37.70868118 -077.43808683
112  37.70877723 -077.43798452  37.70881929 -077.43789297
111  37.70866305 -077.43762870
113  37.70928646 -077.43808963
110 2 0.00 0.0000 New Taxiway 4
111  37.70747525 -077.43901626
111  37.70645864 -077.43825878
111  37.70672169 -077.43762040
113  37.70776887 -077.43837933
110 2 0.00 0.0000 New Taxiway 6
111  37.70779688 -077.43916711
111  37.70766512 -077.43906877
111  37.70793367 -077.43849616
113  37.70806041 -077.43858815
110 2 0.00 0.0000 New Taxiway 8
111  37.70809502 -077.43938091
111  37.70796702 -077.43928891
111  37.70823055 -077.43871629
113  37.70835479 -077.43880671
110 2 0.00 0.0000 New Taxiway 10
111  37.70838679 -077.43960937
111  37.70825484 -077.43951225
111  37.70857720 -077.43881977
113  37.70870748 -077.43891689
110 2 0.00 0.0000 New Taxiway 12
111  37.70867708 -077.43982473
111  37.70854817 -077.43973100
111  37.70887423 -077.43903215
113  37.70900024 -077.43912352
110 2 0.00 0.0000 New Taxiway 14
111  37.70894915 -077.44002801
111  37.70882009 -077.43993636
111  37.70914468 -077.43923441
113  37.70926903 -077.43933102
110 2 0.00 0.0000 New Taxiway 16
111  37.70922027 -077.44022922
111  37.70909873 -077.44013619
111  37.70941905 -077.43943881
113  37.70954466 -077.43952780
110 1 0.00 0.0000 New Taxiway 6
111  37.70625031 -077.43811581
111  37.70688812 -077.43673493
111  37.70990720 -077.43900512
113  37.70929561 -077.44036046
111  37.70776887 -077.43837933
111  37.70672169 -077.43762040
111  37.70645864 -077.43825878
113  37.70747525 -077.43901626
111  37.70806041 -077.43858815
111  37.70793367 -077.43849616
111  37.70766512 -077.43906877
113  37.70779688 -077.43916711
111  37.70835479 -077.43880671
111  37.70823055 -077.43871629
111  37.70796702 -077.43928891
113  37.70809502 -077.43938091
111  37.70870748 -077.43891689
111  37.70857720 -077.43881977
111  37.70825484 -077.43951225
113  37.70838679 -077.43960937
111  37.70900024 -077.43912352
111  37.70887423 -077.43903215
111  37.70854817 -077.43973100
113  37.70867708 -077.43982473
111  37.70926903 -077.43933102
111  37.70914468 -077.43923441
111  37.70882009 -077.43993636
113  37.70894915 -077.44002801
111  37.70954466 -077.43952780
111  37.70941905 -077.43943881
111  37.70909873 -077.44013619
113  37.70922027 -077.44022922
130 Airport Boundary 24
111  37.69983548 -077.43483799
111  37.70233911 -077.42923575
111  37.71646349 -077.43959524
113  37.71405243 -077.44510946
130 Airport Boundary
111  37.70212698 -077.43282434
111  37.70737941 -077.43668863
111  37.71492284 -077.44223901
111  37.71533865 -077.44134637
111  37.70253271 -077.43192407
111  37.70246404 -077.43206903
113  37.70232290 -077.43237421
120 Linear Feature 4
111  37.70712908 -077.43533390 1
111  37.70781173 -077.43582752 1
116  37.70781455 -077.43660538  37.70761930 -077.43712722
120 Linear Feature 3
112  37.70910122 -077.43755448  37.70939377 -077.43706580 1
115  37.70967833 -077.43720473
120 Linear Feature 2
111  37.70263881 -077.43281722 4
115  37.70226728 -077.43253253
120 Linear Feature 6
111  37.71439633 -077.44068182 1
111  37.71386085 -077.44029366 1
112  37.71336200 -077.44039107  37.71325204 -077.44061660 1
115  37.71325843 -077.44060701
120 Linear Feature 1
111  37.70789429 -077.43831268 1
111  37.70771558 -077.43871191 1
115  37.70757644 -077.43903094
120 Linear Feature 2
111  37.70819786 -077.43853910 1
111  37.70801313 -077.43893160 1
115  37.70786346 -077.43925156
120 Linear Feature 3
111  37.70852479 -077.43865221 1
111  37.70830030 -077.43915630 1
115  37.70815810 -077.43947012
120 Linear Feature 4
111  37.70884362 -077.43887143 1
111  37.70859622 -077.43940638 1
115  37.70846222 -077.43970213
120 Linear Feature 11
111  37.71329644 -077.44065759 4
115  37.71315818 -077.44055437
120 Linear Feature 15
111  37.71330443 -077.44051288 1
116  37.71279916 -077.44060689  37.71249434 -077.44046546
120 Linear Feature 16
111  37.71325843 -077.44060701 1
116  37.71331359 -077.44098644  37.71348087 -077.44114695
120 Linear Feature 6
111  37.70913762 -077.43759884 4
115  37.70905897 -077.43753631
120 Linear Feature 1
111  37.71259643 -077.43935049 1
112  37.71316544 -077.43976877  37.71345020 -077.43997381 1
115  37.71336200 -077.44039107
120 Linear Feature 8
111  37.70784707 -077.43664783 4
115  37.70776995 -077.43658666
120 Linear Feature 2
111  37.70732708 -077.43722470 1
115  37.70723861 -077.43715233
120 Linear Feature 1
111  37.70732089 -077.43710667 1
115  37.70728165 -077.43718732
120 Linear Feature 33
111  37.70708987 -077.43702812 1
115  37.70701603 -077.43697284
120 Linear Feature 30
111  37.70698553 -077.43694489 1
115  37.70692092 -077.43689628
120 Linear Feature 25
111  37.70724257 -077.43782660 1
111  37.70789429 -077.43831268 1
111  37.70819786 -077.43853910 1
111  37.70828108 -077.43860116 1
111  37.70852481 -077.43865283 1
115  37.70882020 -077.43885447
120 Linear Feature 23
111  37.70754719 -077.43718285 1
116  37.70761085 -077.43754811  37.70775275 -077.43768292
120 Linear Feature 24
111  37.70733770 -077.43761016 1
116  37.70720910 -077.43726128  37.70700116 -077.43706586
120 Linear Feature 20
111  37.70761084 -077.43754811 1
116  37.70733767 -077.43761015  37.70722522 -077.43777109
120 Linear Feature 18
111  37.70754719 -077.43718285 1
116  37.70720910 -077.43726128  37.70698518 -077.43712971
120 Linear Feature 15
111  37.70877340 -077.43878880 1
116  37.70894483 -077.43855640  37.70925048 -077.43866853
120 Linear Feature 14
111  37.70965733 -077.43946088 1
111  37.70882021 -077.43885447 1
116  37.70882939 -077.43815346  37.70903607 -077.43761358
120 Linear Feature 13
111  37.70978571 -077.43917116 1
111  37.70894480 -077.43855640 1
116  37.70882939 -077.43815346  37.70890390 -077.43788543
120 Linear Feature 17
111  37.70754719 -077.43718285 1
115  37.70724256 -077.43782659
120 Linear Feature 42
111  37.70928921 -077.43802355 1
116  37.70882939 -077.43815346  37.70862881 -077.43847029
120 Linear Feature 41
111  37.70867742 -077.43757259 1
116  37.70882939 -077.43815346  37.70870794 -077.43853453
120 Linear Feature 27
111  37.70900127 -077.43671193 1
116  37.70910122 -077.43755448  37.70888234 -077.43809539
120 Linear Feature 22
111  37.70838825 -077.43626869 1
115  37.70900127 -077.43671193
120 Linear Feature 20
111  37.70838825 -077.43626869 1
116  37.70781455 -077.43660538  37.70757079 -077.43705772
120 Linear Feature 14
111  37.70778662 -077.43666104 1
116  37.70755747 -077.43674874  37.70741451 -077.43667188
120 Linear Feature 16
111  37.70882939 -077.43815346 1
112  37.70852996 -077.43825178  37.70835121 -077.43808601 1
115  37.70681670 -077.43697621
120 Linear Feature 26
111  37.70698476 -077.43684476 1
115  37.70695055 -077.43691830
120 Linear Feature 32
111  37.70708501 -077.43692429 1
115  37.70705106 -077.43699905
120 Linear Feature 35
111  37.70720853 -077.43712656 1
115  37.70711992 -077.43705457
120 Linear Feature 34
111  37.70720214 -077.43700916 1
115  37.70716292 -077.43708977
120 Linear Feature 7
111  37.70687607 -077.43715297 1
115  37.70694063 -077.43720164
120 Linear Feature 10
111  37.70677139 -077.43717563 1
115  37.70681042 -077.43709487
120 Linear Feature 12
111  37.70710160 -077.43733293 1
115  37.70706238 -077.43741358
120 Linear Feature 11
111  37.70690727 -077.43717623 1
115  37.70686803 -077.43725688
120 Linear Feature 9
111  37.70821164 -077.43823301 1
115  37.70817231 -077.43831379
120 Linear Feature 9
111  37.70781210 -077.43792365 1
115  37.70777286 -077.43800430
120 Linear Feature 9
111  37.70811520 -077.43815765 1
115  37.70807598 -077.43823830
120 Linear Feature 9
111  37.70753501 -077.43779429 1
115  37.70749577 -077.43787495
120 Linear Feature 9
111  37.70763038 -077.43786388 1
115  37.70759115 -077.43794453
120 Linear Feature 9
111  37.70772790 -077.43795277 1
115  37.70768868 -077.43803342
120 Linear Feature 9
111  37.70782880 -077.43803402 1
115  37.70778958 -077.43811468
120 Linear Feature 9
111  37.70793285 -077.43811497 1
115  37.70789362 -077.43819562
120 Linear Feature 9
111  37.70803468 -077.43819166 1
115  37.70799545 -077.43827232
120 Linear Feature 9
111  37.70812531 -077.43826991 1
115  37.70808608 -077.43835056
120 Linear Feature 9
111  37.70751905 -077.43769025 1
115  37.70747983 -077.43777090
120 Linear Feature 9
111  37.70801822 -077.43808313 1
115  37.70797899 -077.43816379
120 Linear Feature 9
111  37.70771232 -077.43784010 1
115  37.70767309 -077.43792075
120 Linear Feature 9
111  37.70791454 -077.43800307 1
115  37.70787531 -077.43808372
120 Linear Feature 9
111  37.70761529 -077.43776502 1
115  37.70757606 -077.43784567
120 Linear Feature 9
111  37.70775374 -077.43740726 1
115  37.70771451 -077.43748791
120 Linear Feature 9
111  37.70785111 -077.43748354 1
115  37.70781187 -077.43756419
120 Linear Feature 9
111  37.70764927 -077.43732562 1
115  37.70761004 -077.43740627
120 Linear Feature 9
111  37.70803531 -077.43762881 1
115  37.70799607 -077.43770946
120 Linear Feature 9
111  37.70794412 -077.43755970 1
115  37.70790495 -077.43764025
120 Linear Feature 9
111  37.70813235 -077.43770343 1
115  37.70809311 -077.43778409
120 Linear Feature 9
111  37.70823695 -077.43778260 1
115  37.70819772 -077.43786325
120 Linear Feature 9
111  37.70835871 -077.43787970 1
115  37.70831948 -077.43796035
120 Linear Feature 9
111  37.70911170 -077.43842233 1
115  37.70907246 -077.43850298
120 Linear Feature 9
111  37.70900951 -077.43834618 1
115  37.70897027 -077.43842683
120 Linear Feature 9
111  37.70963652 -077.43882209 1
115  37.70959729 -077.43890274
120 Linear Feature 9
111  37.70971040 -077.43926181 1
115  37.70967117 -077.43934247
120 Linear Feature 9
111  37.70950099 -077.43910840 1
115  37.70946176 -077.43918906
120 Linear Feature 9
111  37.70961123 -077.43918905 1
115  37.70957199 -077.43926971
120 Linear Feature 9
111  37.70939914 -077.43903423 1
115  37.70935991 -077.43911489
120 Linear Feature 9
111  37.70928532 -077.43895277 1
115  37.70924609 -077.43903343
120 Linear Feature 9
111  37.70917784 -077.43887435 1
115  37.70913861 -077.43895501
120 Linear Feature 9
111  37.70906610 -077.43878798 1
115  37.70902687 -077.43886864
120 Linear Feature 9
111  37.70895106 -077.43869903 1
115  37.70891183 -077.43877969
120 Linear Feature 9
111  37.70984305 -077.43897742 1
115  37.70980382 -077.43905808
120 Linear Feature 9
111  37.70931292 -077.43857391 1
115  37.70927368 -077.43865457
120 Linear Feature 9
111  37.70953173 -077.43874540 1
115  37.70949249 -077.43882605
120 Linear Feature 9
111  37.70974452 -077.43890259 1
115  37.70970518 -077.43898342
120 Linear Feature 9
111  37.70921019 -077.43849710 1
115  37.70917095 -077.43857776
120 Linear Feature 9
111  37.70942025 -077.43865636 1
115  37.70938102 -077.43873701
120 Linear Feature 9
111  37.70847562 -077.43797239 1
115  37.70843638 -077.43805304
120 Linear Feature 9
111  37.70719661 -077.43741078 1
115  37.70715738 -077.43749144
120 Linear Feature 9
111  37.70682488 -077.43720341 1
115  37.70678564 -077.43728406
120 Linear Feature 9
111  37.70711471 -077.43743843 1
115  37.70707548 -077.43751908
120 Linear Feature 9
111  37.70692773 -077.43728584 1
115  37.70688850 -077.43736649
120 Linear Feature 9
111  37.70702603 -077.43736510 1
115  37.70698681 -077.43744575
120 Linear Feature 8
111  37.70700866 -077.43725562 1
115  37.70696944 -077.43733627
120 Linear Feature 6
111  37.70805136 -077.43810791 1
115  37.70798673 -077.43805932
120 Linear Feature 6
111  37.70794746 -077.43802789 1
115  37.70788283 -077.43797930
120 Linear Feature 6
111  37.70774504 -077.43786432 1
115  37.70768041 -077.43781573
120 Linear Feature 6
111  37.70814827 -077.43818246 1
115  37.70808366 -077.43813387
120 Linear Feature 6
111  37.70824443 -077.43825767 1
115  37.70817982 -077.43820908
120 Linear Feature 6
111  37.70784544 -077.43794857 1
115  37.70778083 -077.43789999
120 Linear Feature 6
111  37.70764902 -077.43779015 1
115  37.70758439 -077.43774157
120 Linear Feature 6
111  37.70752761 -077.43789913 1
115  37.70746300 -077.43785054
120 Linear Feature 6
111  37.70762414 -077.43796940 1
115  37.70755953 -077.43792081
120 Linear Feature 6
111  37.70772138 -077.43805810 1
115  37.70765677 -077.43800952
120 Linear Feature 6
111  37.70782311 -077.43814020 1
115  37.70775850 -077.43809161
120 Linear Feature 6
111  37.70792677 -077.43822045 1
115  37.70786215 -077.43817186
120 Linear Feature 6
111  37.70802707 -077.43829631 1
115  37.70796246 -077.43824773
120 Linear Feature 6
111  37.70811836 -077.43837471 1
115  37.70805375 -077.43832612
120 Linear Feature 6
111  37.70755292 -077.43771557 1
115  37.70748829 -077.43766699
120 Linear Feature 6
111  37.70835246 -077.43798536 1
115  37.70828785 -077.43793677
120 Linear Feature 6
111  37.70774717 -077.43751258 1
115  37.70768254 -077.43746400
120 Linear Feature 6
111  37.70812685 -077.43780954 1
115  37.70806222 -077.43776095
120 Linear Feature 6
111  37.70900397 -077.43845217 1
115  37.70893934 -077.43840358
120 Linear Feature 6
111  37.70910529 -077.43852771 1
115  37.70904067 -077.43847913
120 Linear Feature 6
111  37.70920349 -077.43860220 1
115  37.70913888 -077.43855361
120 Linear Feature 6
111  37.70930751 -077.43867993 1
115  37.70924290 -077.43863135
120 Linear Feature 6
111  37.70941322 -077.43876194 1
115  37.70934861 -077.43871335
120 Linear Feature 6
111  37.70927857 -077.43905808 1
115  37.70921396 -077.43900949
120 Linear Feature 6
111  37.70949381 -077.43921343 1
115  37.70942919 -077.43916484
120 Linear Feature 6
111  37.70939294 -077.43913998 1
115  37.70932832 -077.43909139
120 Linear Feature 6
111  37.70960506 -077.43929506 1
115  37.70954044 -077.43924647
120 Linear Feature 6
111  37.70970330 -077.43936696 1
115  37.70963868 -077.43931837
120 Linear Feature 6
111  37.70917004 -077.43897848 1
115  37.70910542 -077.43892989
120 Linear Feature 6
111  37.70905950 -077.43889356 1
115  37.70899488 -077.43884497
120 Linear Feature 6
111  37.70894575 -077.43880505 1
115  37.70888113 -077.43875646
120 Linear Feature 6
111  37.70983584 -077.43908212 1
115  37.70977122 -077.43903353
120 Linear Feature 6
111  37.70952475 -077.43885040 1
115  37.70946014 -077.43880181
120 Linear Feature 6
111  37.70973632 -077.43900675 1
115  37.70967169 -077.43895817
120 Linear Feature 6
111  37.70962868 -077.43892641 1
115  37.70956407 -077.43887783
120 Linear Feature 6
111  37.70846919 -077.43807788 1
115  37.70840458 -077.43802929
120 Linear Feature 6
111  37.70784424 -077.43758868 1
115  37.70777963 -077.43754009
120 Linear Feature 6
111  37.70823043 -077.43788781 1
115  37.70816581 -077.43783923
120 Linear Feature 6
111  37.70764226 -077.43743041 1
115  37.70757764 -077.43738182
120 Linear Feature 6
111  37.70793721 -077.43766463 1
115  37.70787259 -077.43761604
120 Linear Feature 6
111  37.70802871 -077.43773455 1
115  37.70796410 -077.43768596
120 Linear Feature 6
111  37.70722944 -077.43743541 1
115  37.70716481 -077.43738683
120 Linear Feature 5
111  37.70697713 -077.43723188 1
115  37.70704177 -077.43728039
120 Linear Feature 4
111  37.70702011 -077.43747087 1
115  37.70695551 -077.43742221
120 Linear Feature 4
111  37.70692224 -077.43739239 1
115  37.70685763 -077.43734374
120 Linear Feature 4
111  37.70710937 -077.43754514 1
115  37.70704475 -077.43749649
120 Linear Feature 4
111  37.70681813 -077.43730887 1
115  37.70675353 -077.43726022
120 Linear Feature 4
111  37.70713423 -077.43735740 1
115  37.70706963 -077.43730875
120 Linear Feature 3
111  37.70684376 -077.43712032 1
115  37.70677943 -077.43707105
120 Linear Feature 13
111  37.70781455 -077.43660538 1
111  37.70778662 -077.43666104 1
115  37.70754719 -077.43718285
120 Linear Feature 18
111  37.70277391 -077.43322434 1
116  37.70257840 -077.43218148  37.70319691 -077.43165114
120 Linear Feature 16
111  37.70277391 -077.43322434 1
116  37.70283571 -077.43237548  37.70337398 -077.43215974
120 Linear Feature 35
111  37.70737872 -077.43661631 1
116  37.70754719 -077.43718285  37.70745798 -077.43744573
120 Linear Feature 40
111  37.70907375 -077.43761399 1
116  37.70911947 -077.43789574  37.70920082 -077.43802609
120 Linear Feature 38
111  37.70907375 -077.43761399 1
116  37.70887973 -077.43772028  37.70879290 -077.43769267
120 Linear Feature 15
111  37.70778662 -077.43666104 1
116  37.70784130 -077.43695622  37.70796161 -077.43706387
120 Linear Feature 36
111  37.70801547 -077.43708504 1
116  37.70754719 -077.43718285  37.70743699 -077.43738067
120 Linear Feature 15
112  37.71451450 -077.44186975  37.71443797 -077.44181634 1
115  37.70277391 -077.43322434
120 Linear Feature 5
111  37.71509312 -077.44176878 1
116  37.71451450 -077.44186975  37.71408977 -077.44163434
120 Linear Feature 14
111  37.71513903 -077.44139577 1
116  37.71512989 -077.44169336  37.71505566 -077.44191458
120 Linear Feature 4
112  37.71523347 -077.44146956  37.71510681 -077.44174651 1
115  37.71509312 -077.44176878
120 Linear Feature 29
111  37.71029315 -077.43766014 1
115  37.70967833 -077.43720473
120 Linear Feature 34
111  37.70910122 -077.43755448 1
111  37.70907375 -077.43761399 1
115  37.70882939 -077.43815346
120 Default hold RWY 16 (near)
111  37.71506643 -077.44194447 4
115  37.71493949 -077.44184159
1300  37.70679442 -077.43726602 -121.49 tie_down jets|turboprops|props Apron - 01
1300  37.70689626 -077.43735052 -121.61 tie_down jets|turboprops|props Apron - 02
1300  37.70699642 -077.43742599 -121.77 tie_down jets|turboprops|props Apron - 03
1300  37.70708548 -077.43749851 -121.60 tie_down jets|turboprops|props Apron - 04
1300  37.70750507 -077.43785587 -121.50 tie_down jets|turboprops|props Apron - 05
1300  37.70759941 -077.43792758 -121.39 tie_down jets|turboprops|props Apron - 06
1300  37.70769743 -077.43801542 -121.77 tie_down jets|turboprops|props Apron - 07
1300  37.70779833 -077.43809665 -121.63 tie_down jets|turboprops|props Apron - 08
1300  37.70790309 -077.43817615 -121.59 tie_down jets|turboprops|props Apron - 09
1300  37.70800415 -077.43825440 -121.63 tie_down jets|turboprops|props Apron - 10
1300  37.70809562 -077.43833097 -121.56 tie_down jets|turboprops|props Apron - 11
1300  37.70680248 -077.43711130  58.53 tie_down jets|turboprops|props Apron - 12
1300  37.70689896 -077.43719332  58.30 tie_down jets|turboprops|props Apron - 13
1300  37.70700004 -077.43727335  58.42 tie_down jets|turboprops|props Apron - 14
1300  37.70709291 -077.43735081  58.53 tie_down jets|turboprops|props Apron - 15
1300  37.70718864 -077.43742718  58.20 tie_down jets|turboprops|props Apron - 16
1300  37.70750979 -077.43770931  58.37 tie_down jets|turboprops|props Apron - 17
1300  37.70760542 -077.43778534  58.41 tie_down jets|turboprops|props Apron - 18
1300  37.70770233 -077.43786063  58.49 tie_down jets|turboprops|props Apron - 19
1300  37.70780266 -077.43794304  58.46 tie_down jets|turboprops|props Apron - 20
1300  37.70790515 -077.43802236  58.31 tie_down jets|turboprops|props Apron - 21
1300  37.70800731 -077.43810558  58.48 tie_down jets|turboprops|props Apron - 22
1300  37.70810484 -077.43817897  58.36 tie_down jets|turboprops|props Apron - 23
1300  37.70820275 -077.43825129  58.33 tie_down jets|turboprops|props Apron - 24
1300  37.70892324 -077.43875624 237.64 tie_down jets|turboprops|props Apron - 25
1300  37.70903875 -077.43884422 237.93 tie_down jets|turboprops|props Apron - 26
1300  37.70915004 -077.43893153 238.48 tie_down jets|turboprops|props Apron - 27
1300  37.70925705 -077.43901090 238.84 tie_down jets|turboprops|props Apron - 28
1300  37.70936896 -077.43909629 238.23 tie_down jets|turboprops|props Apron - 29
