I
1050 Generated by WorldEditor 2.1.0r1

1    515 1 0 UHPG Tigil
1302 city Tigil
113  57.78264634  158.72193002
110 1 0.00 0.0000 New Taxiway 9
112  57.77645153  158.71295931  57.77630752  158.71287189
111  57.77645153  158.71295931
111  57.77642802  158.71306739
112  57.77642802  158.71306739  57.77657186  158.71320452
111  57.77676119  158.71361047
111  57.77699740  158.71420632
111  57.77683175  158.71442868
111  57.77687670  158.71457649
111  57.77705884  158.71477381
111  57.77703666  158.71495178
111  57.77710659  158.71495852
111  57.77714215  158.71489520
111  57.77719170  158.71495927
111  57.77717671  158.71501173
111  57.77725862  158.71509041
111  57.77737549  158.71460521
111  57.77741585  158.71466404
111  57.77745421  158.71459435
111  57.77756615  158.71479511
111  57.77756928  158.71490683
111  57.77761244  158.71490008
111  57.77761963  158.71481016
111  57.77765319  158.71477869
111  57.77769839  158.71491998
111  57.77775763  158.71480095
111  57.77769035  158.71451274
112  57.77740747  158.71422450  57.77723773  158.71420562
111  57.77740747  158.71422450
111  57.77713155  158.71433332
111  57.77708777  158.71407222
111  57.77685876  158.71349870
111  57.77682971  158.71348293
113  57.77673679  158.71329788
130 Boundary
111  57.77616498  158.71031981
111  57.77539952  158.71082251
111  57.77521971  158.71128648
111  57.77494353  158.71162097
111  57.77596766  158.71411848
111  57.77627836  158.71561947
111  57.77814317  158.71719692
111  57.77969121  158.71898139
111  57.78033249  158.72018411
111  57.78120047  158.72251129
111  57.78295730  158.72874343
111  57.78291554  158.72933645
111  57.78301695  158.73000780
111  57.78331224  158.73011969
111  57.78418618  158.73363874
111  57.78444270  158.73394646
111  57.78471711  158.73472414
111  57.78497661  158.73476330
111  57.78665363  158.74027855
111  57.78702262  158.74235827
111  57.78800513  158.74528929
111  57.78909134  158.74639906
111  57.78974506  158.74598874
111  57.78945673  158.74387175
111  57.78813299  158.74019015
111  57.78786097  158.73826313
111  57.78048765  158.71388585
111  57.77871233  158.71272463
113  57.77720187  158.71031489
14  57.77689962  158.71407283  52.00 0 Tower
1300  57.77703381  158.71266775 131.56 gate turboprops Stand 1
1301 B airline 
1300  57.77723663  158.71298074 131.56 gate turboprops Stand 2
1301 B airline 
1300  57.77745695  158.71331525 131.56 gate turboprops Stand 3
1301 B airline 
18  57.77689962  158.71407283 1 Beacon
54 12970 Tigil Tower
99
