A
1000 Generated by WorldEditor

1    808 1 0 KOSH Wittman Rgnl
111  43.99260744 -088.55296144 3 102
111  43.99260679 -088.55384166
111  43.99260657 -088.55419248
111  43.99239262 -088.55419222
111  43.99239285 -088.55382341 3 102
113  43.99239258 -088.55292116
110 2 0.00 241.8300 xxx
111  43.99268939 -088.55274867
111  43.99265905 -088.55282742 3 102
111  43.99260744 -088.55296143
111  43.99257155 -088.55305453
111  43.99239261 -088.55292133 3 102
113  43.99250926 -088.55261656
110 2 0.00 46.4500 xxx
111  43.99359488 -088.55665294 1 102
111  43.99412894 -088.55587126
111  43.99435422 -088.55554290
111  43.99478562 -088.55611296
113  43.99402778 -088.55722110
110 1 0.00 270.3200 xxx
111  43.99373830 -088.55662904
111  43.99375034 -088.55962585
111  43.99360770 -088.55962695
111  43.99360652 -088.55935424 1 102
113  43.99359485 -088.55665285
110 1 0.00 269.8000 xxx
111  43.99533428 -088.56049311
111  43.99533298 -088.56101166
111  43.99521885 -088.56100937
113  43.99522015 -088.56048489
110 1 0.00 89.6800 xxx
111  43.99521992 -088.56052990
111  43.99522082 -088.55937430
111  43.99544099 -088.55937210
113  43.99543633 -088.56053120
110 1 0.00 180.2500 xxx
111  43.99445028 -088.55937816
111  43.99370145 -088.55938270
111  43.99369972 -088.55882985
113  43.99444855 -088.55882530
110 1 0.00 179.2500 xxx
111  43.99490386 -088.55816637
111  43.99482566 -088.55818446
111  43.99477362 -088.55813145
111  43.99370167 -088.55812160
111  43.99370300 -088.55798054
111  43.99391431 -088.55798384
111  43.99391366 -088.55786980
111  43.99418741 -088.55787146
111  43.99418805 -088.55798952
111  43.99424035 -088.55798895
111  43.99424129 -088.55792474
111  43.99433706 -088.55792792
111  43.99433707 -088.55799042
111  43.99477782 -088.55799736
111  43.99482640 -088.55797371
113  43.99490346 -088.55799938
110 1 0.00 133.9200 xxx
111  43.99372876 -088.55821111
111  43.99361270 -088.55804358
111  43.99373124 -088.55788489
113  43.99384731 -088.55805242
110 1 0.00 0.0000 xxx
111  43.99477378 -088.55799728
111  43.99477227 -088.55866833
111  43.99455831 -088.55866740
113  43.99455983 -088.55799634
110 1 0.00 0.0000 xxx
111  43.99418836 -088.55799026
111  43.99418685 -088.55865614
111  43.99396267 -088.55865521
113  43.99396790 -088.55798674
110 1 0.00 219.5800 xxx
111  43.97262292 -088.54503167
111  43.97137771 -088.54646202
111  43.97128508 -088.54630633
113  43.97253029 -088.54487598
110 2 0.00 134.4700 xxx
111  43.97894692 -088.56060492
111  43.97863755 -088.56016697
111  43.97893508 -088.55976108
113  43.97924445 -088.56019903
110 1 0.00 179.1100 xxx
111  43.99428487 -088.57080473 3 102
111  43.99366661 -088.57079153 3 102
111  43.99356596 -088.57078938 3 102
111  43.99308285 -088.57077907
111  43.99308412 -088.57066470
111  43.99346901 -088.57067299 3 102
113  43.99428608 -088.57069058 1
110 1 0.00 180.0000 xxx
111  43.99465240 -088.56748779
111  43.99447610 -088.56748779 3 102
111  43.99349160 -088.56748779
111  43.99330560 -088.56748779
111  43.99330560 -088.56731621
111  43.99349450 -088.56731621 3 102
113  43.99465240 -088.56732503
110 1 0.00 66.8400 xxx
111  43.99346736 -088.57125886
111  43.99360414 -088.57078575
111  43.99366629 -088.57078345
113  43.99352165 -088.57127349
110 1 0.00 0.0000 xxx
111  43.99171838 -088.56046052
111  43.99292187 -088.56046052 3 102
111  43.99361118 -088.56046052
111  43.99367962 -088.56046052
111  43.99367962 -088.56068547
111  43.99361160 -088.56068547 3 102
111  43.99292549 -088.56068547
113  43.99171838 -088.56068547
110 2 0.00 138.9300 xxx
111  43.99417660 -088.55460213
111  43.99413113 -088.55454701 1 102
111  43.99394376 -088.55432012
111  43.99378576 -088.55412869
111  43.99379589 -088.55411251 1 102
111  43.99390926 -088.55393166
111  43.99398940 -088.55380387
113  43.99438024 -088.55427731
110 1 0.00 0.0000 New Taxiway 17
111  43.99341198 -088.56612744
111  43.99319695 -088.56613528
111  43.99314289 -088.56592401 3 102
114  43.99324865 -088.56605653  43.99327791 -088.56607887 3 102
110 2 0.00 0.0000 New Taxiway 12
111  43.97150084 -088.54851660
111  43.97138871 -088.54852171
111  43.97139888 -088.54838829 3 102
114  43.97143282 -088.54846981  43.97145590 -088.54849865 3 102
110 2 0.00 0.0000 New Taxiway 11
112  43.97143690 -088.54881523  43.97141244 -088.54885562 3 102
111  43.97140299 -088.54890576
111  43.97139487 -088.54874966
113  43.97149177 -088.54876030 3 102
110 2 0.00 0.0000 New Taxiway 10
112  43.97274262 -088.54841881  43.97280075 -088.54834835 3 102
111  43.97281342 -088.54826649
111  43.97278789 -088.54853192
113  43.97262396 -088.54851572 3 102
110 2 0.00 0.0000 New Taxiway 92
111  43.96771337 -088.55797707
111  43.96752983 -088.55799298
111  43.96754184 -088.55777523 3 102
114  43.96759365 -088.55790732  43.96763579 -088.55795825 3 102
110 2 0.00 0.0000 New Taxiway 91
112  43.96731378 -088.55625264  43.96737120 -088.55616999 3 102
111  43.96738803 -088.55602904
111  43.96739709 -088.55640032
113  43.96716643 -088.55638528 3 102
110 2 0.00 0.0000 New Taxiway 90
112  43.96730634 -088.55706394  43.96726301 -088.55699756 3 102
111  43.96716993 -088.55695651
111  43.96740406 -088.55694301
113  43.96739019 -088.55729440 3 102
110 2 0.00 0.0000 New Taxiway 89
111  43.96782517 -088.55637626
111  43.96752499 -088.55640312
111  43.96753880 -088.55603602 3 102
114  43.96763728 -088.55625659  43.96769684 -088.55632909 3 102
110 2 0.00 0.0000 New Taxiway 88
112  43.96762984 -088.55708128  43.96755765 -088.55717962 3 102
111  43.96754108 -088.55730757
111  43.96752551 -088.55693806
113  43.96782794 -088.55694788 3 102
110 2 0.00 0.0000 New Taxiway 87
112  43.96734841 -088.55474480  43.96732386 -088.55471450 3 102
111  43.96728251 -088.55468870
111  43.96739001 -088.55468489
113  43.96738588 -088.55484564 3 102
110 2 0.00 0.0000 New Taxiway 86
111  43.96753672 -088.55484800
111  43.96753115 -088.55468022
111  43.96765938 -088.55468349 3 102
114  43.96758243 -088.55474101  43.96754619 -088.55478506 3 102
110 2 0.00 0.0000 New Taxiway 79
112  43.97126050 -088.55436835  43.97128501 -088.55433294 3 102
111  43.97129523 -088.55426353
111  43.97130217 -088.55443288
113  43.97117753 -088.55442519 3 102
110 2 0.00 0.0000 New Taxiway 78
111  43.97157380 -088.55442004
111  43.97144217 -088.55442787
111  43.97144608 -088.55426645 3 102
114  43.97148763 -088.55436298  43.97151609 -088.55440096 3 102
110 2 0.00 0.0000 New Taxiway 68
112  43.97125860 -088.55468950  43.97122513 -088.55464659 3 102
111  43.97118075 -088.55463480
111  43.97131115 -088.55462027
113  43.97129962 -088.55481181 3 102
110 2 0.00 0.0000 New Taxiway 67
112  43.97149423 -088.55468229  43.97146267 -088.55472844 3 102
111  43.97145052 -088.55481330
111  43.97143640 -088.55462313
113  43.97157723 -088.55462931 3 102
110 2 0.00 0.0000 New Taxiway 66
112  43.97123005 -088.55619631  43.97128796 -088.55610556 3 102
111  43.97130896 -088.55596746
111  43.97131376 -088.55633347
113  43.97108416 -088.55633372 3 102
110 2 0.00 0.0000 New Taxiway 65
111  43.97175756 -088.55632497
111  43.97145162 -088.55635162
111  43.97145991 -088.55597755 3 102
114  43.97154366 -088.55618694  43.97160761 -088.55629000 3 102
110 2 0.00 0.0000 New Taxiway 63
112  43.97123783 -088.55699778  43.97119098 -088.55694103 3 102
111  43.97108914 -088.55690562
111  43.97132299 -088.55689252
113  43.97131893 -088.55721460 3 102
110 2 0.00 0.0000 New Taxiway 62
111  43.97146981 -088.55721440
111  43.97144890 -088.55687760
111  43.97175426 -088.55689679 3 102
114  43.97155844 -088.55700677  43.97149933 -088.55707452 3 102
110 2 0.00 0.0000 New Taxiway 61
112  43.97126482 -088.55790589  43.97130646 -088.55785059 3 102
111  43.97132335 -088.55775815
111  43.97133190 -088.55798556
113  43.97111706 -088.55797546 3 102
110 2 0.00 0.0000 New Taxiway 60
111  43.97166113 -088.55797517
111  43.97146941 -088.55798442
111  43.97147432 -088.55777244 3 102
114  43.97153925 -088.55790921  43.97157909 -088.55795875 3 102
110 2 0.00 0.0000 New Taxiway 47
112  43.97413127 -088.55464473  43.97410696 -088.55460878 3 102
111  43.97406448 -088.55459495
111  43.97417156 -088.55459034
113  43.97416423 -088.55475381 3 102
110 2 0.00 0.0000 New Taxiway 46
111  43.97431510 -088.55475451
111  43.97431104 -088.55458522
111  43.97444724 -088.55458960 3 102
114  43.97436146 -088.55463756  43.97433204 -088.55466955 3 102
110 2 0.00 0.0000 New Taxiway 45
111  43.97416211 -088.55592123
111  43.97416931 -088.55630265
111  43.97393865 -088.55629658 3 102
