I
1050 Generated by WorldEditor 2.2.0r2

1     20 1 0 KNTU Oceana Naval Air Station
113  36.81584340 -076.03548267
110 1 0.00 0.0000 New Taxiway 62
111  36.81614499 -076.03528685
111  36.81585102 -076.03487039
111  36.81584539 -076.03485927
111  36.81588372 -076.03481589
113  36.81619040 -076.03523530
110 1 0.00 0.0000 New Taxiway 60
111  36.81638349 -076.03426453
111  36.81637657 -076.03425196
111  36.81640346 -076.03422464
111  36.81668830 -076.03461633
113  36.81665347 -076.03465985
110 1 0.00 0.0000 New Taxiway 61
111  36.81636677 -076.03497352
111  36.81608507 -076.03458348
111  36.81612591 -076.03454048
111  36.81613615 -076.03455181
113  36.81641380 -076.03492311
110 1 0.00 0.0000 New Taxiway 59
111  36.81691207 -076.03442027
111  36.81660512 -076.03400032
111  36.81663398 -076.03396909
111  36.81664114 -076.03398018
113  36.81694309 -076.03438343
110 1 0.00 0.0000 New Taxiway 57
111  36.81774516 -076.03342286
111  36.81745928 -076.03303619
111  36.81749609 -076.03299399
111  36.81750443 -076.03300507
113  36.81778888 -076.03337188
110 1 0.00 0.0000 New Taxiway 58
111  36.81753978 -076.03364979
111  36.81749572 -076.03370435
111  36.81722687 -076.03332041
111  36.81722081 -076.03331030
113  36.81725795 -076.03326295
110 1 0.00 0.0000 New Taxiway 56
111  36.81806135 -076.03306507
111  36.81802885 -076.03310078
111  36.81777306 -076.03274179
112  36.81774621 -076.03273175  36.81773131 -076.03273463
111  36.81774621 -076.03273175
111  36.81773756 -076.03271969
113  36.81777671 -076.03267271
110 1 0.00 0.0000 New Taxiway 54
111  36.81862918 -076.03265849
111  36.81845055 -076.03239906
111  36.81837929 -076.03240553
111  36.81822838 -076.03219624
111  36.81821973 -076.03218382
111  36.81825798 -076.03214138
111  36.81839300 -076.03232711
111  36.81839179 -076.03237808
111  36.81841881 -076.03237900
111  36.81841876 -076.03235975
111  36.81846076 -076.03231700
113  36.81863359 -076.03255667
110 1 0.00 0.0000 New Taxiway 55
111  36.81826210 -076.03284027
111  36.81797882 -076.03244872
111  36.81802120 -076.03240078
111  36.81803115 -076.03241547
112  36.81803098 -076.03244160  36.81803849 -076.03245498
111  36.81803098 -076.03244160
113  36.81829300 -076.03280466
110 1 0.00 0.0000 New Taxiway 53
111  36.81883878 -076.03232820
111  36.81866394 -076.03208743
111  36.81870635 -076.03204622
111  36.81853857 -076.03181151
111  36.81857848 -076.03177006
111  36.81858948 -076.03178772
111  36.81873663 -076.03200002
111  36.81873312 -076.03209554
113  36.81891184 -076.03233181
110 1 0.00 0.0000 New Taxiway 11
111  36.82255558 -076.02828471
111  36.82232129 -076.02795196
111  36.82225972 -076.02801468
111  36.82215977 -076.02788248
111  36.82226038 -076.02775789
111  36.82231369 -076.02782449
112  36.82255620 -076.02752484  36.82257322 -076.02750254
111  36.82255620 -076.02752484
112  36.82255620 -076.02752484  36.82257986 -076.02748647
111  36.82257149 -076.02745816
111  36.82265380 -076.02756413
112  36.82258908 -076.02756367  36.82257023 -076.02758805
111  36.82248507 -076.02769882
112  36.82247730 -076.02806621  36.82259273 -076.02827328
111  36.82247730 -076.02806621
112  36.82247730 -076.02806621  36.82249860 -076.02809527
113  36.82259364 -076.02823989
110 1 0.00 0.0000 New Taxiway 10
111  36.82153377 -076.02802586
111  36.82097085 -076.02773471
111  36.82095338 -076.02783714
111  36.82081722 -076.02778630
111  36.82086099 -076.02754545
111  36.82099063 -076.02759470
111  36.82097524 -076.02769688
113  36.82154494 -076.02799169
110 1 0.00 0.0000 New Taxiway 9
111  36.82207434 -076.02882465
112  36.82206084 -076.02871527  36.82203924 -076.02866175
111  36.82206084 -076.02871527
112  36.82206084 -076.02871527  36.82205436 -076.02870583
111  36.82164421 -076.02814454
112  36.82155387 -076.02810994  36.82152024 -076.02806586
111  36.82155387 -076.02810994
112  36.82155387 -076.02810994  36.82154438 -076.02809750
112  36.82153377 -076.02802586  36.82154177 -076.02798281
111  36.82153377 -076.02802586
112  36.82153377 -076.02802586  36.82153573 -076.02801533
112  36.82154494 -076.02799169  36.82155061 -076.02797946
111  36.82154494 -076.02799169
112  36.82154494 -076.02799169  36.82157672 -076.02794899
112  36.82162606 -076.02797424  36.82164474 -076.02798402
111  36.82162606 -076.02797424
112  36.82162606 -076.02797424  36.82167586 -076.02800864
111  36.82166691 -076.02811844
112  36.82208459 -076.02870043  36.82209651 -076.02871662
111  36.82208459 -076.02870043
112  36.82208459 -076.02870043  36.82212342 -076.02873744
113  36.82215972 -076.02872885
110 2 0.00 0.0000 New Taxiway 8
111  36.81936919 -076.02989263
112  36.81939445 -076.02990071  36.81940710 -076.02990297
111  36.81939445 -076.02990071
111  36.81949059 -076.02990601
112  36.81961489 -076.02976570  36.81965502 -076.02961320
111  36.81961489 -076.02976570
111  36.81968987 -076.02944754
111  36.81973989 -076.02918254
111  36.81974613 -076.02894446
112  36.81974613 -076.02894446  36.81972827 -076.02879228
111  36.81962790 -076.02878692
111  36.81941542 -076.02876820
112  36.81941542 -076.02876820  36.81940371 -076.02876806
111  36.81939864 -076.02877390
111  36.81939986 -076.02871444
112  36.81941744 -076.02872581  36.81942887 -076.02872729
111  36.81941744 -076.02872581
111  36.81971620 -076.02874098
112  36.81971620 -076.02874098  36.81975386 -076.02873369
111  36.81975874 -076.02869690
111  36.81976051 -076.02865669
111  36.81976436 -076.02865682
111  36.81976484 -076.02864911
111  36.81996232 -076.02865301
111  36.81995739 -076.02878581
111  36.81983673 -076.02878322
112  36.81978670 -076.02885928  36.81978046 -076.02893410
111  36.81978670 -076.02885928
111  36.81977661 -076.02921386
111  36.81981867 -076.02921501
111  36.81981827 -076.02928473
111  36.81977871 -076.02928386
111  36.81977829 -076.02931164
111  36.81981336 -076.02931334
111  36.81981248 -076.02934165
111  36.81975637 -076.02933970
111  36.81975075 -076.02941351
111  36.81973498 -076.02943999
111  36.81963735 -076.02985263
112  36.81963735 -076.02985263  36.81962585 -076.02992389
111  36.81964602 -076.02993013
111  36.81974316 -076.02993639
111  36.81974356 -076.02998311
111  36.81939276 -076.02995552
112  36.81939276 -076.02995552  36.81937465 -076.02995909
113  36.81936703 -076.02996476
110 2 0.00 0.0000 New Taxiway 7
111  36.81933513 -076.03056904
111  36.81934739 -076.03057003
111  36.81934824 -076.03059716
111  36.81936224 -076.03061185
111  36.82003532 -076.03063339
112  36.82015547 -076.03044962  36.82015607 -076.03029132
111  36.82003213 -076.03026259
111  36.81937294 -076.03023683
111  36.81935851 -076.03025147
111  36.81935622 -076.03027327
111  36.81934494 -076.03027336
111  36.81934763 -076.03014686
111  36.81936011 -076.03014693
111  36.81936188 -076.03017184
111  36.81937235 -076.03018434
111  36.82003283 -076.03021117
112  36.82020279 -076.03045576  36.82020464 -076.03067699
111  36.82020279 -076.03045576
112  36.82020279 -076.03045576  36.82019132 -076.03066304
111  36.82003953 -076.03068673
111  36.81936114 -076.03066342
111  36.81934784 -076.03067883
111  36.81934105 -076.03070930
113  36.81933161 -076.03070881
110 1 0.00 0.0000 New Taxiway 4
111  36.80810913 -076.04656885
111  36.80802474 -076.04643493
112  36.80802474 -076.04643493  36.80798185 -076.04634464
111  36.80804173 -076.04622857
111  36.80801431 -076.04613751
111  36.80758046 -076.04554230
112  36.80758046 -076.04554230  36.80756923 -076.04553051
111  36.80754435 -076.04553279
111  36.80760671 -076.04546319
112  36.80760465 -076.04551323  36.80761528 -076.04553229
111  36.80760465 -076.04551323
111  36.80775610 -076.04571748
112  36.80775610 -076.04571748  36.80778159 -076.04574408
111  36.80780044 -076.04573230
111  36.80783787 -076.04569398
111  36.80802547 -076.04595101
111  36.80799412 -076.04599135
112  36.80800225 -076.04605988  36.80801977 -076.04609176
111  36.80800225 -076.04605988
111  36.80810127 -076.04619942
112  36.80822294 -076.04621992  36.80825980 -076.04625911
111  36.80822294 -076.04621992
113  36.80831467 -076.04633732
110 1 0.00 0.0000 New Taxiway 9
111  36.81908902 -076.03218221
111  36.81907300 -076.03216278
111  36.81906097 -076.03215901
112  36.81908036 -076.03161630  36.81905917 -076.03150893
111  36.81908036 -076.03161630
112  36.81898816 -076.03148291  36.81891231 -076.03143266
111  36.81898816 -076.03148291
111  36.81899398 -076.03146394
111  36.81911377 -076.02726075
111  36.81922643 -076.02713444
111  36.81929397 -076.02474057
111  36.81929002 -076.02474057
112  36.81921663 -076.02451794  36.81915587 -076.02445877
111  36.81921663 -076.02451794
111  36.81923114 -076.02412944
111  36.81926124 -076.02412954
112  36.81926124 -076.02412954  36.81929389 -076.02411819
111  36.81930207 -076.02407622
111  36.81931865 -076.02332988
112  36.81931865 -076.02332988  36.81929976 -076.02322602
111  36.81925720 -076.02317099
111  36.81926529 -076.02316097
111  36.81996049 -076.02407584
111  36.81995642 -076.02407947
112  36.81995642 -076.02407947  36.81988230 -076.02400033
112  36.81956477 -076.02416177  36.81944800 -076.02438866
111  36.81956477 -076.02416177
111  36.81955906 -076.02416620
112  36.81952414 -076.02429721  36.81951519 -076.02438112
111  36.81952414 -076.02429721
111  36.81939986 -076.02871444
111  36.81939864 -076.02877467
111  36.81936919 -076.02989263
111  36.81936703 -076.02996476
111  36.81936011 -076.03014693
111  36.81935622 -076.03027327
111  36.81934739 -076.03057003
111  36.81934105 -076.03070930
111  36.81933130 -076.03118092
112  36.81942706 -076.03141113  36.81951901 -076.03150849
111  36.81942706 -076.03141113
112  36.81942706 -076.03141113  36.81957739 -076.03156917
111  36.81971614 -076.03144360
113  36.81972504 -076.03145403
110 1 0.00 0.0000 New Taxiway 3
111  36.81144105 -076.04282160
112  36.81141351 -076.04270659  36.81136814 -076.04263883
111  36.81141351 -076.04270659
111  36.81079667 -076.04187135
111  36.81083578 -076.04182815
111  36.81145050 -076.04266411
112  36.81145050 -076.04266411  36.81150320 -076.04272772
113  36.81154514 -076.04270499
110 1 0.00 0.0000 New Taxiway 14
111  36.82598699 -076.02436737
111  36.82802796 -076.02210846
112  36.82802796 -076.02210846  36.82810322 -076.02200130
111  36.82809019 -076.02187617
111  36.82812786 -076.02187347
111  36.82832287 -076.02214030
111  36.82833699 -076.02219557
112  36.82822701 -076.02226925  36.82818375 -076.02231426
111  36.82822701 -076.02226925
111  36.82622984 -076.02455590
113  36.82617368 -076.02462019
110 1 0.00 0.0000 New Taxiway 13
112  36.82452669 -076.02645189  36.82444951 -076.02654831
111  36.82450106 -076.02680651
111  36.82404468 -076.02622901
112  36.82436680 -076.02622091  36.82447866 -076.02611191
111  36.82483017 -076.02566591
113  36.82501761 -076.02592305
110 1 0.00 0.0000 New Taxiway 4
111  36.82481194 -076.02995902
112  36.82485864 -076.02992106  36.82486264 -076.02988452
111  36.82485864 -076.02992106
111  36.82490564 -076.02954932
111  36.82480122 -076.02953767
111  36.82479671 -076.02922130
111  36.82505728 -076.02922479
111  36.82506521 -076.02954114
111  36.82498749 -076.02954145
112  36.82498749 -076.02954145  36.82495249 -076.02956894
111  36.82493902 -076.02963306
111  36.82487280 -076.02996807
112  36.82487280 -076.02996807  36.82486586 -076.03000754
113  36.82487453 -076.03004075
110 1 0.00 0.0000 New Taxiway 12
111  36.82495501 -076.03093872
112  36.82492522 -076.03050494  36.82480306 -076.03034060
111  36.82492522 -076.03050494
111  36.82479558 -076.03033736
111  36.82444109 -076.02988988
111  36.82430774 -076.02971616
112  36.82430774 -076.02971616  36.82417179 -076.02953178
111  36.82395407 -076.02964997
111  36.82444838 -076.02909824
112  36.82444886 -076.02948111  36.82451878 -076.02957718
111  36.82444886 -076.02948111
111  36.82460799 -076.02969189
111  36.82481194 -076.02995902
111  36.82487453 -076.03004075
111  36.82495848 -076.03015021
111  36.82514939 -076.03039762
112  36.82514939 -076.03039762  36.82526728 -076.03049393
113  36.82541993 -076.03041202
110 2 0.00 0.0000 New Taxiway 6
111  36.81866450 -076.01925674
111  36.81835605 -076.01885667
111  36.81821572 -076.01867468
111  36.81796963 -076.01835968
111  36.81902869 -076.01708598
111  36.81927383 -076.01740500
111  36.81941470 -076.01758832
111  36.81947788 -076.01767033
111  36.81974486 -076.01802908
112  36.81935955 -076.01803394  36.81919705 -076.01822025
111  36.81935955 -076.01803394
111  36.81870669 -076.01882258
114  36.81870669 -076.01882258  36.81857200 -076.01901876
110 2 0.00 0.0000 New Taxiway 5
111  36.82320322 -076.01335833
111  36.82321317 -076.01334653
111  36.82333334 -076.01320392
111  36.82390509 -076.01394329
111  36.82378423 -076.01408768
111  36.82377559 -076.01409792
111  36.82371693 -076.01402361
111  36.82369793 -076.01399901
111  36.82367802 -076.01397322
111  36.82357506 -076.01383988
111  36.82355578 -076.01381491
111  36.82353623 -076.01378960
111  36.82342910 -076.01365086
111  36.82341437 -076.01363178
111  36.82339854 -076.01361128
111  36.82328931 -076.01346983
111  36.82327399 -076.01344998
113  36.82325838 -076.01342976
110 2 0.00 0.0000 New Taxiway 3
111  36.82356371 -076.01462838
111  36.82261698 -076.01339827
111  36.82271576 -076.01328157
113  36.82366304 -076.01450972
110 1 0.00 0.0000 New Taxiway 3
111  36.82514721 -076.01760243
111  36.82505290 -076.01786158
111  36.82057083 -076.01683739
112  36.82057083 -076.01683739  36.82044520 -076.01682367
111  36.82029913 -076.01683060
112  36.82029913 -076.01683060  36.82022961 -076.01683682
111  36.82015539 -076.01686645
111  36.82004411 -076.01658515
112  36.82009879 -076.01656023  36.82014066 -076.01654263
111  36.82009879 -076.01656023
112  36.82044563 -076.01651973  36.82057995 -076.01654577
111  36.82044563 -076.01651973
112  36.82044563 -076.01651973  36.82064430 -076.01656500
111  36.82238044 -076.01696222
112  36.82238044 -076.01696222  36.82263643 -076.01697737
111  36.82268565 -076.01669049
111  36.82289999 -076.01532712
112  36.82289999 -076.01532712  36.82294297 -076.01511040
111  36.82312684 -076.01488133
112  36.82316400 -076.01443292  36.82302185 -076.01419094
111  36.82316400 -076.01443292
111  36.82236461 -076.01339817
111  36.82282415 -076.01285199
111  36.82321317 -076.01334653
111  36.82320322 -076.01335833
111  36.82371693 -076.01402361
111  36.82377559 -076.01409792
111  36.82378423 -076.01408768
111  36.82389406 -076.01423374
111  36.82366304 -076.01450972
111  36.82356371 -076.01462838
111  36.82318054 -076.01508613
112  36.82302172 -076.01549935  36.82298305 -076.01576040
111  36.82302172 -076.01549935
111  36.82284198 -076.01671786
112  36.82307089 -076.01711843  36.82334270 -076.01720307
111  36.82307089 -076.01711843
114  36.82498231 -076.01753891  36.82506976 -076.01756304
110 2 0.00 0.0000 New Taxiway 1
112  36.82536416 -076.02558984  36.82532314 -076.02562594
111  36.82536416 -076.02558984
111  36.82508437 -076.02585823
111  36.82501761 -076.02592305
111  36.82483017 -076.02566591
111  36.82489017 -076.02558693
111  36.82510807 -076.02529424
112  36.82510807 -076.02529424  36.82517892 -076.02519409
111  36.82513623 -076.02501423
113  36.82555336 -076.02555650
110 2 0.00 0.0000 New Taxiway 16
111  36.80909566 -076.04546113
112  36.80912950 -076.04493361  36.80895675 -076.04468141
111  36.80912950 -076.04493361
111  36.80900296 -076.04475765
111  36.80898417 -076.04477745
111  36.80897081 -076.04475793
111  36.80898790 -076.04473785
111  36.80880011 -076.04448603
112  36.80880011 -076.04448603  36.80872676 -076.04442893
111  36.80865868 -076.04442477
111  36.80866090 -076.04439945
111  36.80891860 -076.04410679
111  36.80893966 -076.04410676
112  36.80899267 -076.04432101  36.80905591 -076.04442857
111  36.80899267 -076.04432101
111  36.80932932 -076.04477644
112  36.80932932 -076.04477644  36.80949413 -076.04493407
113  36.80969380 -076.04478500
110 2 0.00 0.0000 New Taxiway 1
112  36.81804694 -076.01985128  36.81792479 -076.01998352
111  36.81804694 -076.01985128
111  36.81768754 -076.02026602
112  36.81768754 -076.02026602  36.81753429 -076.02047600
111  36.81766549 -076.02069551
111  36.81978418 -076.02344131
111  36.81980314 -076.02345767
111  36.81984158 -076.02350559
111  36.81984995 -076.02352626
111  36.82016788 -076.02394190
111  36.82001143 -076.02414288
111  36.81996049 -076.02407584
111  36.81926529 -076.02316097
111  36.81925720 -076.02317099
111  36.81914528 -076.02330974
111  36.81910185 -076.02325492
111  36.81880349 -076.02360792
111  36.81884513 -076.02365887
111  36.81885122 -076.02365190
111  36.81921197 -076.02412101
111  36.81923114 -076.02412944
111  36.81921663 -076.02451794
112  36.81921663 -076.02451794  36.81928313 -076.02458406
111  36.81929002 -076.02474057
111  36.81929397 -076.02474057
111  36.81922643 -076.02713444
111  36.81911377 -076.02726075
111  36.81899398 -076.03146394
111  36.81898816 -076.03148291
112  36.81898816 -076.03148291  36.81890189 -076.03144252
111  36.81884553 -076.03150024
111  36.81858948 -076.03178772
111  36.81857848 -076.03177006
111  36.81853857 -076.03181151
111  36.81870635 -076.03204622
111  36.81866394 -076.03208743
111  36.81883878 -076.03232820
111  36.81891184 -076.03233181
111  36.81892219 -076.03233232
111  36.81895895 -076.03230583
112  36.81904834 -076.03219187  36.81909884 -076.03211343
111  36.81904834 -076.03219187
112  36.81904834 -076.03219187  36.81905683 -076.03217422
111  36.81906097 -076.03215901
111  36.81907300 -076.03216278
111  36.81908902 -076.03218221
111  36.81983709 -076.03132606
111  36.81997499 -076.03154930
111  36.81771176 -076.03410709
112  36.81771775 -076.03448533  36.81783599 -076.03469650
111  36.81771775 -076.03448533
111  36.81807747 -076.03494949
112  36.81807747 -076.03494949  36.81823288 -076.03508597
111  36.81837267 -076.03497662
111  36.81839627 -076.03500409
111  36.81790951 -076.03555516
111  36.81788406 -076.03552169
112  36.81790190 -076.03512939  36.81779332 -076.03491492
111  36.81790190 -076.03512939
111  36.81755217 -076.03467792
112  36.81723231 -076.03464747  36.81705980 -076.03479086
111  36.81723231 -076.03464747
111  36.81498776 -076.03716591
111  36.81495477 -076.03712274
111  36.81494613 -076.03713353
111  36.81492866 -076.03710963
111  36.81486751 -076.03717912
111  36.81481033 -076.03710564
111  36.81487194 -076.03703571
111  36.81481997 -076.03696508
112  36.81489164 -076.03656410  36.81478957 -076.03634337
111  36.81489164 -076.03656410
111  36.81479429 -076.03641878
111  36.81471853 -076.03631997
111  36.81464070 -076.03621849
112  36.81462276 -076.03618054  36.81461321 -076.03616521
111  36.81462276 -076.03618054
111  36.81458905 -076.03613381
112  36.81422319 -076.03611739  36.81401989 -076.03631482
111  36.81422319 -076.03611739
111  36.81293501 -076.03757838
112  36.81293501 -076.03757838  36.81283389 -076.03779623
111  36.81296036 -076.03797849
111  36.81306117 -076.03811714
111  36.81307706 -076.03809920
111  36.81313258 -076.03817633
111  36.81311669 -076.03819415
111  36.81311669 -076.03819415
111  36.81323995 -076.03836417
112  36.81323995 -076.03836417  36.81334991 -076.03847885
111  36.81349619 -076.03842081
112  36.81349619 -076.03842081  36.81353332 -076.03840128
111  36.81355397 -076.03837281
111  36.81356652 -076.03839087
111  36.81287972 -076.03916927
111  36.81286947 -076.03915539
111  36.81298091 -076.03903316
112  36.81304298 -076.03894573  36.81307953 -076.03891640
111  36.81304298 -076.03894573
111  36.81307624 -076.03889887
112  36.81307624 -076.03889887  36.81311646 -076.03881131
112  36.81305827 -076.03854017  36.81297872 -076.03839403
111  36.81305827 -076.03854017
111  36.81294224 -076.03838648
111  36.81274566 -076.03860103
111  36.81268626 -076.03852230
112  36.81277121 -076.03839522  36.81281027 -076.03831860
111  36.81277121 -076.03839522
112  36.81276427 -076.03814516  36.81272468 -076.03800918
111  36.81276427 -076.03814516
111  36.81247334 -076.03771784
112  36.81226021 -076.03764252  36.81213926 -076.03768301
111  36.81226021 -076.03764252
111  36.81223646 -076.03762217
111  36.81217751 -076.03769204
111  36.81116472 -076.03630029
112  36.81115047 -076.03629944  36.81114243 -076.03630536
111  36.81115047 -076.03629944
111  36.81088920 -076.03659611
112  36.81088920 -076.03659611  36.81086547 -076.03668823
111  36.81088242 -076.03677666
111  36.81070190 -076.03656390
111  36.81080437 -076.03656306
111  36.81100525 -076.03632996
111  36.81095978 -076.03625706
111  36.81103846 -076.03615076
111  36.81081097 -076.03583439
111  36.81246047 -076.03397943
111  36.81268230 -076.03430045
111  36.81287383 -076.03409539
111  36.81259924 -076.03368649
111  36.81377516 -076.03235587
111  36.81406129 -076.03277039
111  36.81413856 -076.03267945
111  36.81373881 -076.03208196
111  36.81418325 -076.03157809
111  36.81445846 -076.03196333
111  36.81448110 -076.03193842
111  36.81469687 -076.03221672
111  36.81580603 -076.03098198
111  36.81574984 -076.03091077
111  36.81582388 -076.03078897
111  36.81491709 -076.02951919
111  36.81545238 -076.02892438
111  36.81636256 -076.03017729
111  36.81670366 -076.02982715
111  36.81627306 -076.02921756
111  36.81671379 -076.02871343
111  36.81717648 -076.02936732
111  36.81730144 -076.02922810
111  36.81707347 -076.02890116
111  36.81733859 -076.02860585
111  36.81759357 -076.02896655
111  36.81805047 -076.02845407
111  36.81798451 -076.02836557
111  36.81830455 -076.02800241
111  36.81837132 -076.02809193
111  36.81862437 -076.02781128
111  36.81846263 -076.02757533
111  36.81855975 -076.02747603
111  36.81799101 -076.02666744
111  36.81763218 -076.02708931
111  36.81654512 -076.02558495
111  36.81688988 -076.02518946
111  36.81625430 -076.02430472
111  36.81566211 -076.02496827
111  36.81529389 -076.02446731
111  36.81584152 -076.02383306
111  36.81562223 -076.02356208
111  36.81509102 -076.02414652
111  36.81471107 -076.02362360
111  36.81529389 -076.02297617
111  36.81523995 -076.02290879
111  36.81451055 -076.02379205
111  36.81465361 -076.02398540
111  36.81441556 -076.02424173
111  36.81399692 -076.02368073
111  36.81427954 -076.02337313
111  36.81400409 -076.02298838
111  36.81467739 -076.02222670
111  36.81441991 -076.02187338
111  36.81418782 -076.02212564
111  36.81315215 -076.02070543
111  36.81337723 -076.02044548
111  36.81332351 -076.02037131
111  36.81296078 -076.02077359
111  36.81277747 -076.02052101
111  36.81313848 -076.02011172
111  36.81297679 -076.01989835
111  36.81385706 -076.01890870
111  36.81400923 -076.01911600
111  36.81423832 -076.01885445
111  36.81591529 -076.02115491
111  36.81590711 -076.02116343
111  36.81594540 -076.02121825
111  36.81659066 -076.02049385
111  36.81659265 -076.02001337
111  36.81758394 -076.01883473
111  36.81800968 -076.01938595
113  36.81837255 -076.01985576
111  36.81559052 -076.03577248
111  36.81561754 -076.03574194
111  36.81536477 -076.03539764
111  36.81534089 -076.03542527
111  36.81534748 -076.03543557
111  36.81520497 -076.03559707
112  36.81520497 -076.03559707  36.81502092 -076.03586663
111  36.81525142 -076.03610723
112  36.81525142 -076.03610723  36.81535015 -076.03619272
112  36.81548555 -076.03617176  36.81555830 -076.03615867
111  36.81548555 -076.03617176
112  36.81548555 -076.03617176  36.81551664 -076.03615843
112  36.81557835 -076.03611380  36.81560130 -076.03609214
111  36.81557835 -076.03611380
111  36.81566329 -076.03602091
111  36.81569573 -076.03597702
113  36.81569413 -076.03592085
111  36.81599926 -076.03563755
111  36.81620255 -076.03541499
111  36.81621683 -076.03538623
111  36.81614499 -076.03528685
111  36.81619040 -076.03523530
111  36.81588372 -076.03481589
111  36.81584539 -076.03485927
111  36.81585102 -076.03487039
111  36.81559901 -076.03515173
111  36.81559207 -076.03514339
111  36.81556538 -076.03517081
111  36.81581965 -076.03551237
111  36.81584332 -076.03548224
111  36.81586187 -076.03550873
111  36.81587196 -076.03549879
113  36.81597075 -076.03563191
111  36.81653595 -076.03504361
111  36.81673781 -076.03481049
111  36.81673486 -076.03477366
111  36.81665347 -076.03465985
111  36.81668830 -076.03461633
111  36.81640346 -076.03422464
111  36.81637657 -076.03425196
111  36.81638349 -076.03426453
111  36.81613615 -076.03455181
111  36.81612591 -076.03454048
111  36.81608507 -076.03458348
111  36.81636677 -076.03497352
111  36.81641380 -076.03492311
113  36.81651184 -076.03505703
112  36.81698459 -076.03392323  36.81687297 -076.03379811
111  36.81698459 -076.03392323
112  36.81664114 -076.03398018  36.81647760 -076.03418139
111  36.81664114 -076.03398018
111  36.81663398 -076.03396909
111  36.81660512 -076.03400032
111  36.81691207 -076.03442027
111  36.81694389 -076.03438529
111  36.81702371 -076.03448247
112  36.81710415 -076.03410464  36.81703949 -076.03384381
113  36.81710415 -076.03410464
111  36.81725795 -076.03326295
111  36.81722081 -076.03331030
111  36.81722687 -076.03332041
112  36.81716920 -076.03374391  36.81726809 -076.03397818
111  36.81716920 -076.03374391
111  36.81725122 -076.03385928
112  36.81725122 -076.03385928  36.81729694 -076.03389989
112  36.81737426 -076.03393305  36.81741057 -076.03394323
111  36.81737426 -076.03393305
112  36.81737426 -076.03393305  36.81755862 -076.03396051
111  36.81758472 -076.03382655
111  36.81749572 -076.03370435
113  36.81753978 -076.03364979
111  36.81810542 -076.03320572
111  36.81802885 -076.03310078
111  36.81806135 -076.03306507
111  36.81777671 -076.03267271
111  36.81773756 -076.03271969
111  36.81774621 -076.03273175
111  36.81750443 -076.03300507
111  36.81749609 -076.03299399
111  36.81745928 -076.03303619
111  36.81774516 -076.03342286
111  36.81778888 -076.03337188
111  36.81787827 -076.03349593
112  36.81787827 -076.03349593  36.81788252 -076.03350285
111  36.81789074 -076.03349820
111  36.81792182 -076.03348324
113  36.81810308 -076.03327877
111  36.81822838 -076.03219624
111  36.81803115 -076.03241547
111  36.81802120 -076.03240078
111  36.81797882 -076.03244872
