I
1130 Generated by WorldEditor 2.2.0r2

1   1603 0 0 F01 Quanah Muni
111  34.27558564 -099.75841861
111  34.27558683 -099.75847705
111  34.27559743 -099.75850666
111  34.27566795 -099.75850642
111  34.27578645 -099.75850391
111  34.27597929 -099.75849982
111  34.27624913 -099.75849411
111  34.27624511 -099.75829645
111  34.27668738 -099.75828374
111  34.27668946 -099.75803078
111  34.27683164 -099.75802927
111  34.27689257 -099.75802789
111  34.27689276 -099.75801330
111  34.27711550 -099.75800526
111  34.27718671 -099.75800644
111  34.27741928 -099.75799842
111  34.27753457 -099.75799586
111  34.27754304 -099.75832755
111  34.27755054 -099.75841759
111  34.27761327 -099.75846181
111  34.27787907 -099.75845219
111  34.27797254 -099.75833771
111  34.27804159 -099.75816120
112  34.27804159 -099.75816120  34.27806183 -099.75808596
112  34.27800982 -099.75797223  34.27797010 -099.75793166
111  34.27800982 -099.75797223
111  34.27783723 -099.75785431
111  34.27781413 -099.75789481
111  34.27767290 -099.75780736
112  34.27767290 -099.75780736  34.27764807 -099.75763649
112  34.27731128 -099.75756888  34.27708160 -099.75757087
111  34.27731128 -099.75756888
111  34.27703464 -099.75757329
111  34.27660718 -099.75757871
111  34.27639444 -099.75757202
111  34.27640476 -099.75712162
111  34.27647288 -099.75712043
111  34.27647046 -099.75735986
111  34.27647000 -099.75740453
111  34.27651701 -099.75748652
111  34.27658508 -099.75751265
111  34.27733358 -099.75749174
111  34.27765409 -099.75744514
111  34.27779973 -099.75753998
111  34.27778090 -099.75758193
111  34.27787765 -099.75764297
111  34.27791598 -099.75755411
111  34.27799066 -099.75760107
111  34.27795672 -099.75769349
111  34.27807415 -099.75776844
111  34.27819262 -099.75784762
111  34.27806696 -099.75828700
114  34.27806696 -099.75828700  34.27805680 -099.75834768
110 1 0.00 0.0000 Taxiway s
111  34.27180959 -099.75947389
111  34.27180470 -099.75916428
111  34.27194969 -099.75915908
111  34.27195415 -099.75933591
112  34.27195415 -099.75933591  34.27196562 -099.75940779
112  34.27204801 -099.75945949  34.27211164 -099.75949226
111  34.27204801 -099.75945949
113  34.27204797 -099.75946479
130 Airport Boundary
111  34.28420795 -099.76328812
111  34.28422523 -099.76487793
111  34.27091490 -099.76523337
111  34.27070747 -099.75659478
111  34.28434624 -099.75632257
111  34.28439809 -099.75705472
111  34.28545255 -099.75703380
113  34.28555627 -099.76326750
21  34.28219922 -099.75898702 2 181.2100 3.00 18  2-light PAPI on left
14  34.27702900 -099.75734755  82.02 0 Tower Viewpoint
1300  34.27793498 -099.75747266 242.67 hangar props Hangar 01
1301 A none 
1300  34.27772487 -099.75789101  65.00 hangar props Hangar 02
1301 A none 
1300  34.27730025 -099.75792514 272.00 hangar props Hangar 03
1301 A none 
1300  34.27699618 -099.75794495 272.00 hangar props Hangar 04
1301 A none 
1300  34.27675970 -099.75797077 272.00 hangar props Hangar 05
1301 A none 
1300  34.27573052 -099.75837379 272.00 hangar props Hangar 06
1301 A none 
1300  34.27564960 -099.75830462  92.00 hangar props Hangar 07
1301 A none 
1300  34.27556396 -099.75837466 272.00 hangar props Hangar 08
1301 A none 
1300  34.27547996 -099.75831523  92.00 hangar props Hangar 09
1301 A none 
1300  34.27539361 -099.75838662 272.00 hangar props Hangar 10
1301 A none 
1300  34.27531216 -099.75831729  92.00 hangar props Hangar 11
1301 A none 
1300  34.27522895 -099.75839153 272.00 hangar props Hangar 12
1301 A none 
1300  34.27514607 -099.75832110  92.00 hangar props Hangar 13
1301 A none 
1300  34.27567015 -099.75810520 272.00 hangar props Hangar 14
1301 A none 
1300  34.27559146 -099.75804554  92.00 hangar props Hangar 15
1301 A none 
1300  34.27551479 -099.75811011 272.00 hangar props Hangar 16
1301 A none 
1300  34.27543511 -099.75805030  92.00 hangar props Hangar 17
1301 A none 
1300  34.27535675 -099.75811408 272.00 hangar props Hangar 18
1301 A none 
1300  34.27527668 -099.75805291  92.00 hangar props Hangar 19
1301 A none 
1300  34.27520230 -099.75811558 272.00 hangar props Hangar 20
1301 A none 
1300  34.27512682 -099.75805687  92.00 hangar props Hangar 21
1301 A none 
1300  34.27774335 -099.75739399 241.00 hangar props Hangar 22
1301 A none 
1300  34.27657137 -099.75723009 181.00 hangar props Hangar 23
1301 A none 
18  34.27702900 -099.75734755 1 Airport Beacon
19  34.27684319 -099.76024606 1 Windsock
1051 122700 Quanah Unicom
99
