A
1000 Generated by WorldEditor

1     30 1 0 EIDL Donegal
112  55.05028228 -008.33758230  55.05023682 -008.33761497
111  55.05018133 -008.33758930
113  55.04995304 -008.33750491
130 Airport Boundary
111  55.05174048 -008.33760710
111  55.05034685 -008.33852352
111  55.04722221 -008.34052690
111  55.04692110 -008.34079107
111  55.04673350 -008.34085436
111  55.04565989 -008.34157807
111  55.04527207 -008.34183673
111  55.04522478 -008.34184223
111  55.04458472 -008.34225774
111  55.03773952 -008.34667098
111  55.03760552 -008.34437929
111  55.03751408 -008.34391161
111  55.03705532 -008.34132284
111  55.03859399 -008.34090741
111  55.03925455 -008.34073133
111  55.03959507 -008.34247560
111  55.04385795 -008.33969950
111  55.04431829 -008.33956468
111  55.04463674 -008.33940784
111  55.04528311 -008.33878047
111  55.04580651 -008.33843927
111  55.04992277 -008.33578652
111  55.05027906 -008.33578102
111  55.05073940 -008.33597090
111  55.05113037 -008.33639746
113  55.05149455 -008.33701392
120 Linear Feature 24
111  55.03813833 -008.34158432 20
115  55.03847296 -008.34147395
120 Linear Feature 18
111  55.03870032 -008.34370350 4
115  55.03889448 -008.34357262
120 Linear Feature 13
111  55.03841876 -008.34231906 1
111  55.03844654 -008.34246009 1
112  55.03844002 -008.34264713  55.03846497 -008.34272581 1
111  55.03848993 -008.34274214 1
115  55.03880752 -008.34253831
120 Linear Feature 19
111  55.03796001 -008.34419708 4
115  55.03805947 -008.34412958
120 Linear Feature 12
111  55.03851091 -008.34278667 1
111  55.03848312 -008.34264565 1
112  55.03840968 -008.34250413  55.03840344 -008.34240813 1
111  55.03841223 -008.34238735 1
115  55.03878456 -008.34214417
120 Linear Feature 11
111  55.03832018 -008.34159082 1
111  55.03834939 -008.34173135 1
112  55.03834995 -008.34194710  55.03838568 -008.34202973 1
111  55.03839334 -008.34201588 1
115  55.03871903 -008.34180110
120 Linear Feature 10
111  55.03841351 -008.34205786 1
111  55.03838515 -008.34191596 1
112  55.03831413 -008.34177755  55.03830696 -008.34169127 1
111  55.03831527 -008.34165965 1
111  55.03852472 -008.34152069 1
116  55.03864703 -008.34156110  55.03869533 -008.34163223
120 Linear Feature 9
111  55.03790215 -008.34365608 1
111  55.03811654 -008.34467627 1
112  55.03818009 -008.34479391  55.03823313 -008.34483827 1
111  55.03827844 -008.34481030 1
115  55.03841161 -008.34472738
120 Linear Feature 8
111  55.03855503 -008.34466607 1
111  55.03829689 -008.34482778 1
112  55.03819098 -008.34495613  55.03816524 -008.34501003 1
112  55.03797035 -008.34506907  55.03783429 -008.34494073 1
112  55.03816492 -008.34461517  55.03841721 -008.34472886 1
111  55.03848709 -008.34467098 1
111  55.03872753 -008.34452009 1
112  55.03886611 -008.34399506  55.03880452 -008.34365814 1
111  55.03873464 -008.34330675 1
112  55.03872635 -008.34310418  55.03874411 -008.34298843 1
111  55.03881755 -008.34246755 1
112  55.03881287 -008.34229240  55.03879831 -008.34221899 1
111  55.03878456 -008.34214417 1
111  55.03871903 -008.34180110 1
116  55.03864703 -008.34156110  55.03859872 -008.34148996
120 Linear Feature 16
111  55.03886611 -008.34399506 1
112  55.03916507 -008.34423528  55.03934812 -008.34411690 1
115  55.03944998 -008.34404945
120 Linear Feature 23
111  55.03829431 -008.34171210 2
115  55.03838121 -008.34165600
120 Linear Feature 22
111  55.03835006 -008.34199525 2
115  55.03844099 -008.34193476
120 Linear Feature 21
111  55.03839226 -008.34244144 2
115  55.03848167 -008.34238709
120 Linear Feature 20
111  55.03844400 -008.34272634 2
115  55.03853994 -008.34266323
120 Linear Feature 7
111  55.04980631 -008.33734432 1
111  55.05009166 -008.33715636 1
112  55.05017995 -008.33704170  55.05020579 -008.33698719 1
111  55.05021979 -008.33694772 1
112  55.05039100 -008.33692328  55.05048037 -008.33702102 1
111  55.05045453 -008.33716952 1
112  55.05018964 -008.33738567  55.04992152 -008.33731425 1
112  55.04988162 -008.33733133  55.04981771 -008.33736240 1
115  55.04958634 -008.33751633
21  55.04161966 -008.34341444 2 20.1500 3.5 03  PAPI-4L
21  55.04656108 -008.33867207 2 200.1600 3.5 21  PAPI-4L
14  55.03815689 -008.34263663  19.69 0 ATC Tower
1300  55.03799088 -008.34166886  23.72 hangar turboprops|props Hangar 01
1300  55.03846439 -008.34255700 289.09 gate turboprops|props Stand 01
1300  55.03836780 -008.34182888 -71.14 gate turboprops|props Stand 02
1300  55.03806790 -008.34346877 199.48 misc turboprops|props GA 03
1300  55.03785659 -008.34324569 253.70 misc turboprops|props GA 02
1300  55.03765357 -008.34356629  16.32 misc turboprops|props GA 01
18  55.03821878 -008.34312774 1 BCN
19  55.04158909 -008.34137606 1 WS
50 12992 ATIS
53 12980 GND
54 12980 TWR
99
