I
1050 Generated by WorldEditor 2.2.0r2

1    839 0 0 KPRB Paso Robles Muni
111  35.66991894 -120.63895764
111  35.66994023 -120.63895767
111  35.66994092 -120.63895767
111  35.66996436 -120.63899922
111  35.66996432 -120.63904973
113  35.66994043 -120.63909270
110 2 0.00 0.0000 New Taxiway 17
111  35.66991854 -120.63894818
111  35.66991857 -120.63890667
111  35.66987357 -120.63890667
111  35.66987372 -120.63885458
111  35.66991861 -120.63885472
111  35.66991864 -120.63881314
111  35.66993915 -120.63881316
111  35.66994062 -120.63881316
111  35.66996406 -120.63885472
111  35.66996402 -120.63890523
113  35.66994013 -120.63894820
110 2 0.00 0.0000 New Taxiway 17
111  35.66991758 -120.63880907
111  35.66991761 -120.63876756
111  35.66987261 -120.63876756
111  35.66987276 -120.63871547
111  35.66991765 -120.63871561
111  35.66991768 -120.63867403
111  35.66993881 -120.63867405
111  35.66993966 -120.63867405
111  35.66996310 -120.63871561
111  35.66996306 -120.63876612
113  35.66993916 -120.63880909
110 2 0.00 0.0000 New Taxiway 17
111  35.66991722 -120.63866759
111  35.66991725 -120.63862608
111  35.66987225 -120.63862608
111  35.66987240 -120.63857400
111  35.66991729 -120.63857414
111  35.66991732 -120.63853256
111  35.66993930 -120.63853258
111  35.66995542 -120.63856116
111  35.66996274 -120.63857414
111  35.66996270 -120.63862465
113  35.66993880 -120.63866762
110 2 0.00 0.0000 New Taxiway 17
111  35.66990152 -120.63851440
111  35.66990155 -120.63847663
111  35.66984856 -120.63847694
111  35.66984840 -120.63839632
111  35.66990160 -120.63839625
111  35.66990163 -120.63835795
111  35.66995971 -120.63835831
111  35.66995960 -120.63851476
113  35.66995527 -120.63851473
110 2 0.00 0.0000 New Taxiway 17
111  35.66990261 -120.63834157
111  35.66990263 -120.63830380
111  35.66984964 -120.63830411
111  35.66984949 -120.63822349
111  35.66990269 -120.63822342
111  35.66990272 -120.63818513
111  35.66996080 -120.63818549
113  35.66996069 -120.63834194
110 2 0.00 0.0000 New Taxiway 17
111  35.66990171 -120.63816638
111  35.66990174 -120.63812861
111  35.66984875 -120.63812892
111  35.66984859 -120.63804830
111  35.66990180 -120.63804823
111  35.66990182 -120.63800993
111  35.66995990 -120.63801029
113  35.66995979 -120.63816674
110 2 0.00 0.0000 New Taxiway 17
111  35.66989828 -120.63798638
111  35.66989834 -120.63793503
111  35.66984786 -120.63793488
111  35.66984795 -120.63785421
111  35.66989844 -120.63785397
111  35.66989851 -120.63780302
111  35.66989851 -120.63780001
111  35.66996135 -120.63780038
113  35.66996111 -120.63798675
110 2 0.00 0.0000 New Taxiway 16
111  35.66980175 -120.63947935
111  35.66985187 -120.63947936
111  35.66985187 -120.63951556
111  35.66990040 -120.63951538
111  35.66990035 -120.63958572
111  35.66985187 -120.63958588
111  35.66985186 -120.63966031
111  35.66989808 -120.63966032
111  35.66989794 -120.63972982
111  35.66985186 -120.63972982
111  35.66985186 -120.63976829
111  35.66980173 -120.63976828
111  35.66980174 -120.63962606
111  35.66973659 -120.63962643
111  35.66973475 -120.63947418
113  35.66979990 -120.63946961
110 2 0.00 0.0000 New Taxiway 16
111  35.66982188 -120.63977341
111  35.66984399 -120.63977240
111  35.66984533 -120.63981548
111  35.66989065 -120.63981327
111  35.66989216 -120.63986347
111  35.66984692 -120.63986554
111  35.66984815 -120.63990434
111  35.66982543 -120.63990538
111  35.66980218 -120.63986373
113  35.66980074 -120.63981804
110 2 0.00 0.0000 New Taxiway 16
111  35.66979991 -120.63933553
111  35.66984454 -120.63933553
111  35.66984454 -120.63937737
111  35.66989052 -120.63937746
111  35.66989061 -120.63942721
111  35.66984453 -120.63942721
111  35.66984453 -120.63946961
113  35.66979990 -120.63946961
110 2 0.00 0.0000 New Taxiway 16
111  35.66979916 -120.63918408
111  35.66984378 -120.63918408
111  35.66984378 -120.63922592
111  35.66988976 -120.63922601
111  35.66988985 -120.63927576
111  35.66984377 -120.63927576
111  35.66984377 -120.63931816
113  35.66979915 -120.63931815
110 2 0.00 0.0000 New Taxiway 16
111  35.66979876 -120.63903450
111  35.66981955 -120.63903450
111  35.66984338 -120.63903450
111  35.66984338 -120.63907818
111  35.66988936 -120.63907828
111  35.66988945 -120.63912618
111  35.66984337 -120.63912618
111  35.66984337 -120.63916858
113  35.66979875 -120.63916857
110 2 0.00 0.0000 New Taxiway 16
111  35.66981991 -120.63897705
111  35.66979875 -120.63897705
111  35.66979888 -120.63892162
111  35.66981869 -120.63892162
111  35.66981863 -120.63888022
111  35.66981975 -120.63888022
111  35.66984253 -120.63888023
111  35.66984260 -120.63892162
111  35.66988795 -120.63892162
111  35.66988782 -120.63897706
111  35.66984278 -120.63897705
111  35.66984274 -120.63901857
113  35.66981987 -120.63901857
110 2 0.00 0.0000 New Taxiway 16
111  35.66982077 -120.63874043
111  35.66984340 -120.63874042
111  35.66984339 -120.63878221
111  35.66988880 -120.63878222
111  35.66988892 -120.63883290
111  35.66984338 -120.63883311
111  35.66984338 -120.63887402
111  35.66981973 -120.63887403
111  35.66979851 -120.63883394
111  35.66979852 -120.63878304
113  35.66981944 -120.63874297
110 2 0.00 0.0000 New Taxiway 16
111  35.66982198 -120.63859856
111  35.66984439 -120.63859885
111  35.66984406 -120.63864102
111  35.66988903 -120.63864133
111  35.66988851 -120.63869257
111  35.66984366 -120.63869214
111  35.66984333 -120.63873363
111  35.66981948 -120.63873333
111  35.66979750 -120.63869245
111  35.66979769 -120.63866745
111  35.66979789 -120.63864291
113  35.66981595 -120.63860967
110 2 0.00 0.0000 New Taxiway 16
111  35.66980013 -120.63845825
111  35.66984165 -120.63845826
111  35.66984119 -120.63850062
111  35.66988879 -120.63850132
111  35.66988828 -120.63855067
111  35.66984064 -120.63854990
111  35.66984018 -120.63859177
111  35.66981604 -120.63859176
113  35.66979865 -120.63859175
110 2 0.00 0.0000 New Taxiway 16
111  35.66979773 -120.63827548
111  35.66982047 -120.63827549
111  35.66984510 -120.63827550
111  35.66984509 -120.63830995
111  35.66989702 -120.63831004
111  35.66989701 -120.63838207
111  35.66984508 -120.63838207
111  35.66984508 -120.63841978
113  35.66979771 -120.63841976
110 2 0.00 0.0000 New Taxiway 16
111  35.66979956 -120.63819869
111  35.66980009 -120.63815044
111  35.66982199 -120.63810669
111  35.66984452 -120.63810679
111  35.66984409 -120.63814607
111  35.66989093 -120.63814707
111  35.66989054 -120.63820150
111  35.66984349 -120.63820048
111  35.66984302 -120.63824328
113  35.66982032 -120.63824319
110 2 0.00 0.0000 New Taxiway 16
111  35.66980051 -120.63802347
111  35.66980104 -120.63797522
111  35.66982293 -120.63793148
111  35.66983316 -120.63793152
111  35.66984547 -120.63793157
111  35.66984503 -120.63797085
111  35.66989188 -120.63797186
111  35.66989148 -120.63802629
111  35.66984443 -120.63802526
111  35.66984396 -120.63806807
113  35.66982127 -120.63806797
110 2 0.00 0.0000 New Taxiway 15
111  35.66947281 -120.63861794
111  35.66947280 -120.63854726
111  35.66947280 -120.63839924
111  35.66947280 -120.63832821
111  35.66952381 -120.63832820
111  35.66952381 -120.63836433
111  35.66957099 -120.63836425
111  35.66957114 -120.63843363
111  35.66952381 -120.63843337
111  35.66952381 -120.63851121
111  35.66957075 -120.63851135
111  35.66957072 -120.63858136
111  35.66952381 -120.63858136
113  35.66952381 -120.63861794
110 2 0.00 0.0000 New Taxiway 15
111  35.66957146 -120.63805346
111  35.66957148 -120.63812841
111  35.66952472 -120.63812849
111  35.66952472 -120.63816564
111  35.66947284 -120.63816564
111  35.66947283 -120.63787438
111  35.66952472 -120.63787437
111  35.66952472 -120.63790877
111  35.66957142 -120.63790903
111  35.66957144 -120.63798110
111  35.66957560 -120.63798104
111  35.66957559 -120.63790174
111  35.66952972 -120.63790174
111  35.66952963 -120.63782706
111  35.66957559 -120.63782705
111  35.66957559 -120.63778462
111  35.66962526 -120.63778462
111  35.66962527 -120.63809225
111  35.66957560 -120.63809225
113  35.66957560 -120.63805342
110 2 0.00 0.0000 New Taxiway 15
111  35.66947252 -120.63831656
111  35.66947252 -120.63817349
111  35.66952440 -120.63817349
111  35.66952440 -120.63820835
111  35.66957070 -120.63820856
111  35.66957080 -120.63827700
111  35.66952440 -120.63827700
113  35.66952440 -120.63831656
110 2 0.00 0.0000 New Taxiway 15
111  35.66957583 -120.63824018
111  35.66957583 -120.63820292
111  35.66952961 -120.63820292
111  35.66952952 -120.63813256
111  35.66957583 -120.63813277
111  35.66957583 -120.63809762
111  35.66962521 -120.63809762
113  35.66962521 -120.63824017
110 2 0.00 0.0000 New Taxiway 15
111  35.66957567 -120.63839207
111  35.66957567 -120.63835482
111  35.66952945 -120.63835482
111  35.66952935 -120.63828446
111  35.66957567 -120.63828467
111  35.66957567 -120.63824952
111  35.66962505 -120.63824952
113  35.66962505 -120.63839207
110 2 0.00 0.0000 New Taxiway 15
111  35.66957984 -120.63853464
111  35.66957983 -120.63849365
111  35.66953310 -120.63849365
111  35.66953308 -120.63844384
111  35.66957983 -120.63844382
111  35.66957983 -120.63840184
111  35.66962421 -120.63840184
113  35.66962421 -120.63853464
110 2 0.00 0.0000 New Taxiway 14
111  35.66962143 -120.63938188
111  35.66964405 -120.63938426
111  35.66964139 -120.63957889
111  35.66961792 -120.63957771
111  35.66961675 -120.63972317
111  35.66950642 -120.63972083
111  35.66950765 -120.63956920
111  35.66961797 -120.63957154
111  35.66961800 -120.63955828
111  35.66952656 -120.63955619
111  35.66952779 -120.63940492
111  35.66962040 -120.63940705
111  35.66962042 -120.63939983
111  35.66957479 -120.63939881
111  35.66957532 -120.63935829
111  35.66953009 -120.63935726
111  35.66953053 -120.63929736
111  35.66957610 -120.63929824
111  35.66957664 -120.63925627
113  35.66962305 -120.63925731
110 2 0.00 0.0000 New Taxiway 13
111  35.66952898 -120.63909372
111  35.66962554 -120.63909573
111  35.66962316 -120.63924643
113  35.66952660 -120.63924441
110 2 0.00 0.0000 New Taxiway 13
111  35.66951261 -120.63893854
111  35.66962755 -120.63894099
111  35.66962552 -120.63909169
113  35.66951058 -120.63908924
110 2 0.00 0.0000 New Taxiway 13
111  35.66952872 -120.63878240
111  35.66962571 -120.63878254
111  35.66962656 -120.63878254
111  35.66962703 -120.63893350
113  35.66952919 -120.63893335
110 2 0.00 0.0000 New Taxiway 13
111  35.66950653 -120.63862805
111  35.66962522 -120.63862809
111  35.66962569 -120.63877905
113  35.66950700 -120.63877900
110 2 0.00 0.0000 New Taxiway 13
111  35.66939951 -120.63878337
111  35.66949098 -120.63878340
111  35.66951820 -120.63878341
111  35.66951929 -120.63893231
113  35.66940061 -120.63893227
110 2 0.00 0.0000 New Taxiway 13
111  35.66939985 -120.63894072
111  35.66940052 -120.63894071
111  35.66950328 -120.63893953
111  35.66950437 -120.63908843
113  35.66940095 -120.63908962
110 2 0.00 0.0000 New Taxiway 13
111  35.66940103 -120.63909655
111  35.66952048 -120.63909518
111  35.66952157 -120.63924408
113  35.66940212 -120.63924545
110 2 0.00 0.0000 New Taxiway 13
111  35.66940214 -120.63925129
111  35.66952206 -120.63924992
111  35.66952315 -120.63939882
113  35.66940324 -120.63940019
110 2 0.00 0.0000 New Taxiway 13
111  35.66940352 -120.63940711
111  35.66952334 -120.63940587
111  35.66952445 -120.63955650
113  35.66940463 -120.63955773
110 2 0.00 0.0000 New Taxiway 13
111  35.66940486 -120.63957070
111  35.66949948 -120.63956975
111  35.66950059 -120.63972175
111  35.66940597 -120.63972270
113  35.66940591 -120.63971463
110 2 0.00 0.0000 New Taxiway 11
111  35.66914368 -120.63815447
111  35.66919709 -120.63815576
111  35.66919699 -120.63819228
111  35.66924129 -120.63819320
111  35.66924121 -120.63826215
111  35.66919680 -120.63826166
111  35.66919669 -120.63829884
113  35.66914329 -120.63829754
110 2 0.00 0.0000 New Taxiway 11
111  35.66914421 -120.63810140
111  35.66914534 -120.63805037
111  35.66916940 -120.63800911
111  35.66919129 -120.63800954
111  35.66919038 -120.63805067
111  35.66923624 -120.63805246
111  35.66923520 -120.63810279
111  35.66918926 -120.63810171
111  35.66918830 -120.63814544
113  35.66916534 -120.63814500
110 2 0.00 0.0000 New Taxiway 9
111  35.66925869 -120.63836363
111  35.66925875 -120.63833502
111  35.66921160 -120.63833489
111  35.66921151 -120.63826545
111  35.66925888 -120.63826537
111  35.66925903 -120.63818695
111  35.66921308 -120.63818707
111  35.66921322 -120.63811902
111  35.66925916 -120.63811900
111  35.66925931 -120.63804042
111  35.66921316 -120.63804059
111  35.66921320 -120.63797154
111  35.66925944 -120.63797144
111  35.66925952 -120.63793010
111  35.66925110 -120.63793017
111  35.66925119 -120.63788972
111  35.66924356 -120.63788974
111  35.66924364 -120.63796258
111  35.66919672 -120.63796256
111  35.66919668 -120.63800015
111  35.66914681 -120.63800005
111  35.66914670 -120.63785507
111  35.66919678 -120.63785503
111  35.66919676 -120.63780701
111  35.66925193 -120.63780701
111  35.66925204 -120.63777184
111  35.66931150 -120.63777244
111  35.66931037 -120.63836415
113  35.66930106 -120.63836405
110 2 0.00 0.0000 New Taxiway 9
111  35.66914762 -120.63859904
111  35.66914676 -120.63836683
111  35.66930104 -120.63836669
111  35.66930190 -120.63859889
113  35.66926082 -120.63859893
110 2 0.00 0.0000 New Taxiway 9
111  35.66911860 -120.63877532
111  35.66911813 -120.63860463
111  35.66914750 -120.63860453
111  35.66926075 -120.63860416
113  35.66926121 -120.63877484
110 2 0.00 0.0000 New Taxiway 9
111  35.66911908 -120.63895075
111  35.66911862 -120.63877882
111  35.66926123 -120.63877835
113  35.66926170 -120.63895028
110 2 0.00 0.0000 New Taxiway 9
111  35.66911971 -120.63912699
111  35.66911924 -120.63895391
111  35.66926186 -120.63895344
113  35.66926232 -120.63912651
110 2 0.00 0.0000 New Taxiway 9
111  35.66911971 -120.63936234
111  35.66911957 -120.63919086
111  35.66926354 -120.63919059
111  35.66926369 -120.63936207
113  35.66912157 -120.63936233
110 2 0.00 0.0000 New Taxiway 9
111  35.66912170 -120.63953675
111  35.66912155 -120.63936527
111  35.66926358 -120.63936501
113  35.66926373 -120.63953649
110 2 0.00 0.0000 New Taxiway 9
111  35.66912192 -120.63970982
111  35.66912185 -120.63962804
111  35.66912177 -120.63953894
111  35.66926374 -120.63953868
111  35.66926590 -120.63953867
113  35.66926605 -120.63970956
110 2 0.00 0.0000 New Taxiway 9
111  35.66912214 -120.63987727
111  35.66912200 -120.63971270
111  35.66926613 -120.63971244
111  35.66926617 -120.63975134
113  35.66926627 -120.63987700
110 2 0.00 0.0000 New Taxiway 9
111  35.66912295 -120.64009637
111  35.66912162 -120.63988252
111  35.66927021 -120.63988130
113  35.66927153 -120.64009515
110 2 0.00 0.0000 New Taxiway 9
111  35.66888540 -120.63797449
111  35.66888592 -120.63791351
111  35.66882608 -120.63791351
111  35.66882649 -120.63783078
111  35.66888662 -120.63783151
111  35.66888715 -120.63776941
111  35.66896226 -120.63777011
111  35.66896051 -120.63797519
113  35.66895912 -120.63797518
110 2 0.00 0.0000 New Taxiway 9
111  35.66889670 -120.63815267
111  35.66889690 -120.63810631
111  35.66884655 -120.63810606
111  35.66884662 -120.63802814
111  35.66889724 -120.63802810
111  35.66889744 -120.63797984
111  35.66895912 -120.63798013
113  35.66895837 -120.63815296
110 2 0.00 0.0000 New Taxiway 9
111  35.66885397 -120.63830661
111  35.66885416 -120.63815686
111  35.66895828 -120.63815748
111  35.66896006 -120.63815749
113  35.66895987 -120.63830724
110 2 0.00 0.0000 New Taxiway 9
111  35.66885364 -120.63846262
111  35.66885383 -120.63831287
111  35.66895973 -120.63831351
111  35.66895954 -120.63846325
113  35.66895835 -120.63846325
110 2 0.00 0.0000 New Taxiway 9
111  35.66882289 -120.64009925
111  35.66882208 -120.63987065
111  35.66896473 -120.63987021
111  35.66896726 -120.63987021
113  35.66896807 -120.64009880
110 2 0.00 0.0000 New Taxiway 9
111  35.66881642 -120.63863792
111  35.66881630 -120.63846563
111  35.66895830 -120.63846602
113  35.66895842 -120.63863831
110 2 0.00 0.0000 New Taxiway 9
111  35.66881653 -120.63881481
111  35.66881640 -120.63864252
111  35.66895840 -120.63864291
113  35.66895853 -120.63881520
110 2 0.00 0.0000 New Taxiway 9
111  35.66881854 -120.63899069
111  35.66881841 -120.63881840
111  35.66895864 -120.63881879
111  35.66896041 -120.63881879
113  35.66896053 -120.63899108
110 2 0.00 0.0000 New Taxiway 9
111  35.66881881 -120.63916657
111  35.66881868 -120.63899428
111  35.66896062 -120.63899486
111  35.66896165 -120.63899487
113  35.66896178 -120.63916716
110 2 0.00 0.0000 New Taxiway 9
111  35.66881908 -120.63934263
111  35.66881896 -120.63917116
111  35.66896189 -120.63917174
111  35.66896333 -120.63917175
113  35.66896345 -120.63934321
110 2 0.00 0.0000 New Taxiway 9
111  35.66881900 -120.63951788
111  35.66881888 -120.63934642
111  35.66896344 -120.63934701
113  35.66896357 -120.63951847
110 2 0.00 0.0000 New Taxiway 9
111  35.66881928 -120.63969320
111  35.66881915 -120.63952173
111  35.66896372 -120.63952232
113  35.66896384 -120.63969378
110 2 0.00 0.0000 New Taxiway 9
111  35.66882101 -120.63986266
111  35.66882126 -120.63969914
111  35.66896381 -120.63969972
111  35.66896503 -120.63969972
113  35.66896479 -120.63986325
110 2 0.00 0.0000 New Taxiway 9
111  35.66891530 -120.63771676
111  35.66891565 -120.63767424
111  35.66887069 -120.63767338
111  35.66887118 -120.63762218
111  35.66891608 -120.63762334
111  35.66891633 -120.63759278
111  35.66891641 -120.63758373
111  35.66894177 -120.63758414
111  35.66896304 -120.63762527
111  35.66896264 -120.63767332
113  35.66893768 -120.63771712
110 2 0.00 0.0000 New Taxiway 9
111  35.66879274 -120.63761578
111  35.66879324 -120.63758769
111  35.66882893 -120.63756308
111  35.66887059 -120.63756461
111  35.66890299 -120.63759251
111  35.66890251 -120.63761982
111  35.66886831 -120.63761856
111  35.66886731 -120.63767320
111  35.66882487 -120.63767201
113  35.66882597 -120.63761700
110 1 0.00 0.0000 New Taxiway 8
111  35.68034336 -120.62633972
111  35.68046393 -120.62569542
111  35.68049827 -120.62566579
111  35.68053211 -120.62574053
111  35.68100646 -120.62542241
111  35.68113599 -120.62571786
111  35.68066909 -120.62604300 102
111  35.68069723 -120.62610516 102
111  35.68069125 -120.62626048 102
111  35.68068416 -120.62628485 102
111  35.68066561 -120.62684699 102
111  35.68063474 -120.62776060 102
111  35.68062602 -120.62795288 102
111  35.68024086 -120.62820958 102
111  35.68010912 -120.62811097 102
111  35.67993001 -120.62797689 102
111  35.67745275 -120.62963547
112  35.67745275 -120.62963547  35.67740181 -120.62967476 102
111  35.67738829 -120.62975079 102
111  35.67735685 -120.63132035
112  35.67735685 -120.63132035  35.67737450 -120.63144675
111  35.67745748 -120.63146272
111  35.67749159 -120.63146676
111  35.67749807 -120.63121833
111  35.67811871 -120.63123998
111  35.67807858 -120.63310610
112  35.67807858 -120.63310610  35.67806648 -120.63325332
112  35.67796223 -120.63345742  35.67794709 -120.63363146
111  35.67796223 -120.63345742
111  35.67796105 -120.63369083
111  35.67734881 -120.63367858
111  35.67729340 -120.63360808
112  35.67729340 -120.63360808  35.67728580 -120.63360051
111  35.67727741 -120.63359911
111  35.67719098 -120.63359932
111  35.67719064 -120.63363231
111  35.67688618 -120.63362103
111  35.67689078 -120.63345150
111  35.67689090 -120.63344686 102
111  35.67435465 -120.63337374
112  35.67435465 -120.63337374  35.67404834 -120.63344087
111  35.67402549 -120.63362335
111  35.67396898 -120.63362212
111  35.67397078 -120.63355324
111  35.67393855 -120.63355411 102
111  35.67389141 -120.63611607
111  35.67393191 -120.63611410
111  35.67397264 -120.63611213
111  35.67397225 -120.63616546
111  35.67503366 -120.63620283
111  35.67506886 -120.63620423
111  35.67527460 -120.63621122
111  35.67526046 -120.63709700
111  35.67527164 -120.63716771
111  35.67527135 -120.63718113
111  35.67526929 -120.63727738
111  35.67526729 -120.63737065
111  35.67506500 -120.63736491
111  35.67487634 -120.63735955
111  35.67474966 -120.63735596
111  35.67474717 -120.63757042
111  35.67466368 -120.63756476
111  35.67461941 -120.63756176
111  35.67461166 -120.63773743
