I
1050 Generated by WorldEditor

1    708 0 0 CYGD Goderich Municipal
111  43.76239746 -081.71458822
111  43.76239746 -081.71447944
113  43.76242599 -081.71447944
110 1 0.00 0.0000 New Taxiway 9
111  43.76251594 -081.71483570
111  43.76248741 -081.71483570
111  43.76248741 -081.71472692
113  43.76251594 -081.71472692
110 1 0.00 0.0000 New Taxiway 9
111  43.76233984 -081.71483813
111  43.76231131 -081.71483813
111  43.76231131 -081.71472935
113  43.76233984 -081.71472935
110 2 0.00 0.0000 New Taxiway 9
111  43.76272726 -081.71473439
111  43.76227904 -081.71473439
111  43.76227904 -081.71458302
113  43.76272726 -081.71458302
110 1 0.00 0.0000 New Taxiway 3
111  43.76400850 -081.71130460
111  43.76411725 -081.71144577
111  43.76442910 -081.71144478
111  43.76445619 -081.71147202
111  43.76582365 -081.71133057
112  43.76582365 -081.71133057  43.76600465 -081.71131081
111  43.76611916 -081.71118860
111  43.76713238 -081.71008953
111  43.76715311 -081.70982653
111  43.76737261 -081.71021872
111  43.76719136 -081.71019222
111  43.76610803 -081.71136734
112  43.76595686 -081.71144837  43.76587407 -081.71145706
111  43.76595686 -081.71144837
111  43.76446052 -081.71160314
111  43.76441587 -081.71163718
111  43.76442062 -081.71175443
111  43.76406421 -081.71179130
112  43.76406421 -081.71179130  43.76401547 -081.71179830
113  43.76401069 -081.71186638
110 1 0.00 0.0000 New Taxiway 1
111  43.76388593 -081.71425071
111  43.76375703 -081.71425165
111  43.76375613 -081.71401459
112  43.76374511 -081.71399815  43.76373475 -081.71399803
111  43.76374511 -081.71399815
111  43.76287331 -081.71400445
112  43.76283907 -081.71403361  43.76283920 -081.71406181
111  43.76283907 -081.71403361
111  43.76284215 -081.71485820
112  43.76284215 -081.71485820  43.76284229 -081.71489038
111  43.76282017 -081.71489094
111  43.76230731 -081.71489463
111  43.76230706 -081.71482951
111  43.76276508 -081.71482620
112  43.76279629 -081.71477911  43.76279629 -081.71473386
111  43.76279629 -081.71477911
111  43.76279518 -081.71448087
111  43.76239434 -081.71448377
111  43.76239409 -081.71441863
111  43.76276400 -081.71441596
112  43.76279476 -081.71436998  43.76279544 -081.71432587
111  43.76279476 -081.71436998
111  43.76279350 -081.71403361
112  43.76279350 -081.71403361  43.76279295 -081.71400616
111  43.76276310 -081.71400524
111  43.76200016 -081.71401075
111  43.76199921 -081.71375477
111  43.76221741 -081.71375319
111  43.76221812 -081.71394405
111  43.76379731 -081.71393264
112  43.76379731 -081.71393264  43.76384308 -081.71393133
113  43.76388369 -081.71383432
110 2 0.00 0.0000 New Taxiway 17
111  43.77209621 -081.71858908
111  43.77199127 -081.71869735
111  43.77181729 -081.71838905
113  43.77183428 -081.71812456
110 1 0.00 0.0000 New Taxiway 4
111  43.76386362 -081.70338013
111  43.76360015 -081.70352640
111  43.76359772 -081.70287490
111  43.76375951 -081.70287374
112  43.76379871 -081.70249256  43.76379819 -081.70218998
111  43.76379871 -081.70249256
111  43.76379161 -081.70059368
111  43.76365682 -081.70021850
111  43.76365548 -081.69986106
111  43.76397107 -081.69985879
111  43.76397241 -081.70021634
111  43.76385274 -081.70059296
113  43.76386127 -081.70287318
110 1 0.00 0.0000 New Taxiway 2
111  43.76387585 -081.71187110
111  43.76375761 -081.71170526
111  43.76336502 -081.71174587
111  43.76329086 -081.71184515
111  43.76315969 -081.71185233
111  43.76315978 -081.71187610
111  43.76303036 -081.71187705
111  43.76303205 -081.71232545
111  43.76290427 -081.71232637
111  43.76290259 -081.71187797
111  43.76267771 -081.71187958
111  43.76268038 -081.71259549
111  43.76288031 -081.71259404
111  43.76288125 -081.71284701
111  43.76221404 -081.71285184
111  43.76221089 -081.71201159
111  43.76199269 -081.71201319
111  43.76199025 -081.71136332
111  43.76272587 -081.71135803
111  43.76272469 -081.71103896
112  43.76287478 -081.71111657  43.76298794 -081.71108495
111  43.76287478 -081.71111657
111  43.76287324 -081.71070730
111  43.76258194 -081.71070940
111  43.76257900 -081.70992292
111  43.76302304 -081.70991971
112  43.76304710 -081.70987905  43.76304763 -081.70984033
111  43.76304710 -081.70987905
111  43.76304656 -081.70973484
111  43.76308010 -081.70973337
111  43.76307391 -081.70807956
112  43.76307391 -081.70807956  43.76307315 -081.70789226
111  43.76288180 -081.70788873
111  43.76247197 -081.70796629
111  43.76247179 -081.70772195
111  43.76288180 -081.70781693
112  43.76311203 -081.70808017  43.76311355 -081.70832956
111  43.76311203 -081.70808017
111  43.76311822 -081.70973411
111  43.76315178 -081.70973780
111  43.76315308 -081.71008605
111  43.76321774 -081.71017812
111  43.76322232 -081.71140411
111  43.76340010 -081.71152030
111  43.76375763 -081.71148332
113  43.76387269 -081.71133985
110 1 0.00 0.0000 New Taxiway 15
111  43.76408113 -081.70437197
112  43.76408113 -081.70437197  43.76399907 -081.70434741
111  43.76398001 -081.70442986
113  43.76398092 -081.70420457
130 Airport Boundary 10
111  43.76173566 -081.71896432
111  43.76173566 -081.71586681
111  43.76159980 -081.71491373
111  43.76164509 -081.70126954
111  43.76221570 -081.70014088
111  43.76295841 -081.69971450
111  43.76534051 -081.69968942
111  43.76542203 -081.70301260
111  43.76788565 -081.70726415
111  43.76954315 -081.70952161
111  43.76958844 -081.71071301
111  43.77028586 -081.71164111
111  43.77008660 -081.71234346
111  43.77053947 -081.71255667
111  43.77138181 -081.71329665
111  43.77209735 -081.71497726
111  43.77218792 -081.71604332
111  43.77277665 -081.71684600
111  43.77286723 -081.71773648
111  43.77361899 -081.71940455
111  43.77306649 -081.71976827
111  43.77295780 -081.71968047
111  43.77270419 -081.71955505
111  43.77261362 -081.71979335
111  43.77255022 -081.72005673
111  43.77147238 -081.72023232
111  43.76851061 -081.71515293
111  43.76780413 -081.71585524
111  43.76751429 -081.71526580
111  43.76629154 -081.71663280
111  43.76632777 -081.71687108
111  43.76566658 -081.71743541
111  43.76512314 -081.71793704
111  43.76528617 -081.71817531
111  43.76527711 -081.71905316
111  43.76509596 -081.71925381
113  43.76183529 -081.71935414
120 Linear Feature 8
111  43.76687108 -081.71053958 5
115  43.76681321 -081.71043580
120 Linear Feature 8
111  43.76461426 -081.71145571 5
115  43.76462145 -081.71158641
120 Linear Feature 8
111  43.76329086 -081.71184515 5
115  43.76326126 -081.71143117
120 Linear Feature 18
111  43.76277784 -081.71485869 1
115  43.76232123 -081.71486199
120 Linear Feature 18
111  43.76281831 -081.71439349 1
112  43.76277998 -081.71444843  43.76274397 -081.71444990
111  43.76277998 -081.71444843 1
115  43.76240467 -081.71445114
120 Linear Feature 18
111  43.76394678 -081.71378915 1
112  43.76384115 -081.71396490  43.76374334 -081.71396490
111  43.76384115 -081.71396490 1
111  43.76284806 -081.71397208 1
115  43.76217480 -081.71397694
120 Linear Feature 18
111  43.76288065 -081.70785250 1
115  43.76258082 -081.70785466
120 Linear Feature 18
111  43.76310965 -081.71166660 1
115  43.76249212 -081.71167106
120 Linear Feature 18
111  43.76305035 -081.71083986 1
112  43.76290588 -081.71066157  43.76276791 -081.71066311
111  43.76290588 -081.71066157 1
115  43.76275344 -081.71066267
120 Linear Feature 6
111  43.76759958 -081.71034870 1
111  43.76746383 -081.71010815 1
112  43.76723759 -081.71005873  43.76711676 -081.71018817
111  43.76723759 -081.71005873
112  43.76723759 -081.71005873  43.76735691 -081.70992508 1
111  43.76724600 -081.70972213 1
115  43.76710848 -081.70947844
120 Linear Feature 18
111  43.76723759 -081.71005873 1
115  43.76613625 -081.71125340
120 Linear Feature 7
111  43.76395441 -081.71231467 1
111  43.76395298 -081.71193167 1
112  43.76410326 -081.71157431  43.76424769 -081.71155567
111  43.76410326 -081.71157431
112  43.76410326 -081.71157431  43.76395761 -081.71158448 1
111  43.76395054 -081.71127918 1
115  43.76394898 -081.71086398
120 Linear Feature 7
111  43.76393427 -081.71227907 1
111  43.76393282 -081.71189268 1
112  43.76376504 -081.71160929  43.76360471 -081.71162285
111  43.76376504 -081.71160929
112  43.76376504 -081.71160929  43.76392660 -081.71158895 1
111  43.76393031 -081.71121988 1
115  43.76392868 -081.71078433
120 Linear Feature 18
111  43.76613625 -081.71125340 1
112  43.76595604 -081.71138267  43.76588665 -081.71139193
111  43.76595604 -081.71138267 1
111  43.76410326 -081.71157431 1
111  43.76376504 -081.71160929 1
111  43.76328881 -081.71165855
112  43.76328881 -081.71165855  43.76323799 -081.71166408 1
115  43.76310965 -081.71166660
120 Linear Feature 16
111  43.76328253 -081.71400139 5
115  43.76328228 -081.71393646
120 Linear Feature 16
111  43.76253406 -081.71186520 2
115  43.76253449 -081.71197938
120 Linear Feature 16
111  43.76268702 -081.71037612 1
111  43.76268786 -081.71060167
112  43.76268786 -081.71060167  43.76268862 -081.71066270 1
115  43.76275344 -081.71066267
120 Linear Feature 16
111  43.76288065 -081.70785250 1
112  43.76309298 -081.70808109  43.76309412 -081.70830404
111  43.76309298 -081.70808109 1
111  43.76310072 -081.71015124
111  43.76310502 -081.71130024 1
111  43.76310564 -081.71146608
112  43.76310564 -081.71146608  43.76310606 -081.71165668 1
115  43.76328881 -081.71165855
120 Linear Feature 16
112  43.76310072 -081.71015124  43.76310072 -081.71022700 1
112  43.76304844 -081.71031094  43.76304920 -081.71037618
111  43.76304844 -081.71031094 1
111  43.76305035 -081.71083986 1
112  43.76305188 -081.71115790  43.76305218 -081.71117538
111  43.76305188 -081.71115790
112  43.76305188 -081.71115790  43.76305311 -081.71123077 1
116  43.76310502 -081.71130024  43.76310538 -081.71137289
120 Linear Feature 16
111  43.76284806 -081.71397208 1
112  43.76281693 -081.71402671  43.76281693 -081.71407889
111  43.76281693 -081.71402671 1
111  43.76281831 -081.71439349 1
111  43.76281983 -081.71480181
112  43.76281983 -081.71480181  43.76281983 -081.71485698 1
115  43.76277784 -081.71485869
21  43.76413805 -081.71287244 1 90.3699 3.00 New Light Fixture 8
21  43.76373715 -081.70444870 1 270.1679 3.00 New Light Fixture 8
21  43.76513039 -081.70650703 1 307.9923 3.00 New Light Fixture 8
21  43.77179463 -081.71717791 1 128.3557 3.00 New Light Fixture 8
14  43.76254658 -081.71110354  10.00 0 New Tower Viewpoint 1
1300  43.76213871 -081.71391280 302.71 hangar props Hangar 4
1301 A none 
1300  43.76267117 -081.71473672 -89.92 hangar props Hangar 6
1301 A none 
1300  43.76266854 -081.71414080  88.89 hangar props Hangar 5
1301 A none 
1300  43.76242318 -081.70783765 359.73 hangar props Hangar 3
1301 A none 
1300  43.76254046 -081.71204253  90.69 hangar props Hangar 2
1301 A none 
1300  43.76283713 -081.71138239 218.66 tie_down props GA 1
1301 A general_aviation 
1300  43.76214377 -081.71160982 -90.00 tie_down props GA 3
1301 A general_aviation 
1300  43.76233630 -081.71161727 -90.00 tie_down props GA 2
1301 A general_aviation 
1300  43.76269213 -081.71028167 -90.00 hangar props Hangar 1
1301 A none 
18  43.76475258 -081.71206129 1 New Airport Beacon 3
19  43.77190520 -081.71640090 1 New Windsock 7
19  43.76345173 -081.70505909 1 New Windsock 5
19  43.76489258 -081.70721793 1 New Windsock 5
19  43.76485484 -081.71203297 1 New Windsock 4
51 12270 CTAF/UNICOM
99
