I
1050 Generated by WorldEditor 2.3.0r2

1   1538 0 0 KAUN Auburn Municipal
111  38.95399882 -121.07495633
111  38.95401407 -121.07475830
111  38.95414888 -121.07477767
113  38.95413925 -121.07490266
110 2 0.00 0.0000 New Taxiway 43
111  38.95379839 -121.07515758
111  38.95381723 -121.07494594
111  38.95448274 -121.07503031
113  38.95446389 -121.07524195
110 2 0.00 0.0000 New Taxiway 42
111  38.95443755 -121.07548220
111  38.95441870 -121.07570994
111  38.95370278 -121.07561031
111  38.95371044 -121.07551778
111  38.95371800 -121.07542642
111  38.95370564 -121.07542484
113  38.95370927 -121.07538099
110 2 0.00 0.0000 New Taxiway 41
111  38.95351798 -121.07582686
111  38.95353116 -121.07567666
111  38.95353696 -121.07561050
111  38.95441178 -121.07574601
111  38.95439850 -121.07589744
111  38.95439482 -121.07593945
113  38.95439281 -121.07596238
110 2 0.00 0.0000 New Taxiway 40
111  38.95437601 -121.07635320
111  38.95351980 -121.07623295
111  38.95352815 -121.07613700
111  38.95353413 -121.07606819
113  38.95439035 -121.07618844
110 2 0.00 0.0000 New Taxiway 39
111  38.95358078 -121.07659263
111  38.95355892 -121.07652398
111  38.95360359 -121.07652990
111  38.95360594 -121.07639706
111  38.95365000 -121.07640107
111  38.95365088 -121.07634753
111  38.95369039 -121.07635113
111  38.95368950 -121.07640466
111  38.95373371 -121.07640868
111  38.95373027 -121.07654670
111  38.95378540 -121.07655401
111  38.95380016 -121.07635540
111  38.95440434 -121.07643551
113  38.95438684 -121.07669825
110 2 0.00 0.0000 New Taxiway 38
111  38.95333567 -121.07649637
111  38.95334282 -121.07641048
111  38.95334937 -121.07633166
111  38.95351858 -121.07635258
113  38.95350487 -121.07651730
110 2 0.00 0.0000 New Taxiway 37
111  38.95312262 -121.07776903
111  38.95314508 -121.07687078
111  38.95328412 -121.07687737
111  38.95330013 -121.07685612
111  38.95333360 -121.07685667
111  38.95331293 -121.07773477
111  38.95326221 -121.07773391
113  38.95326124 -121.07777526
110 2 0.00 0.0000 New Taxiway 37
111  38.95309615 -121.07878621
111  38.95312118 -121.07781217
111  38.95326022 -121.07781876
111  38.95331094 -121.07781962
111  38.95329233 -121.07843024
111  38.95324655 -121.07842853
113  38.95323519 -121.07879280
110 2 0.00 0.0000 New Taxiway 35
111  38.95261868 -121.07872587
111  38.95265688 -121.07872616
111  38.95265658 -121.07877308
111  38.95269657 -121.07877360
111  38.95269293 -121.07892472
111  38.95265237 -121.07892476
111  38.95265364 -121.07887327
113  38.95261513 -121.07887331
110 2 0.00 0.0000 New Taxiway 34
111  38.95285712 -121.07835629
111  38.95299476 -121.07836241
111  38.95298891 -121.07860247
113  38.95285127 -121.07859635
110 2 0.00 0.0000 New Taxiway 32
111  38.95285796 -121.07749105
111  38.95306887 -121.07749331
111  38.95306066 -121.07771416
111  38.95288401 -121.07771227
113  38.95284975 -121.07771190
110 2 0.00 0.0000 New Taxiway 33
111  38.95284333 -121.07786297
111  38.95280329 -121.07786133
111  38.95280478 -121.07781257
113  38.95284481 -121.07781421
110 2 0.00 0.0000 New Taxiway 31
111  38.95272434 -121.07762064
111  38.95271981 -121.07780904
111  38.95279480 -121.07781095
111  38.95279358 -121.07786158
111  38.95271859 -121.07785968
111  38.95270349 -121.07848701
111  38.95262442 -121.07848709
113  38.95264527 -121.07762072
110 2 0.00 0.0000 New Taxiway 29
111  38.95318133 -121.08009127
111  38.95290444 -121.08009051
111  38.95286169 -121.08009038
111  38.95280356 -121.08002996
111  38.95280828 -121.07959214
111  38.95284466 -121.07959250
111  38.95283995 -121.08001197
111  38.95287109 -121.08005446
113  38.95318120 -121.08005480
110 2 0.00 0.0000 New Taxiway 28
111  38.95296210 -121.08054051
111  38.95296177 -121.08048435
111  38.95296731 -121.08048422
111  38.95296654 -121.08035007
111  38.95290595 -121.08035143
111  38.95290475 -121.08014478
111  38.95320405 -121.08014214
111  38.95320455 -121.08010604
111  38.95336715 -121.08011545
111  38.95333817 -121.08054381
113  38.95314065 -121.08056009
110 2 0.00 0.0000 New Taxiway 27
112  38.95412874 -121.08215098  38.95410205 -121.08214575
112  38.95408499 -121.08208042  38.95408779 -121.08204694
112  38.95414396 -121.08202340  38.95417909 -121.08203226
111  38.95414396 -121.08202340
112  38.95414396 -121.08202340  38.95417762 -121.08203415
112  38.95418457 -121.08209750  38.95418118 -121.08213004
111  38.95418457 -121.08209750
114  38.95418457 -121.08209750  38.95418045 -121.08213023
110 2 0.00 0.0000 New Taxiway 26
111  38.95413131 -121.08287672
111  38.95396659 -121.08285461
111  38.95399861 -121.08249884
111  38.95405572 -121.08250650
112  38.95406940 -121.08248207  38.95407134 -121.08246618
111  38.95406940 -121.08248207
111  38.95406660 -121.08250796
111  38.95413729 -121.08251746
111  38.95413909 -121.08249770
112  38.95413909 -121.08249770  38.95413920 -121.08251123
113  38.95416333 -121.08252095
110 2 0.00 0.0000 New Taxiway 25
111  38.95276909 -121.08105918
111  38.95276780 -121.08083676
111  38.95271871 -121.08083611
111  38.95271405 -121.08083605
111  38.95271667 -121.08073261
111  38.95292621 -121.08075669
111  38.95292539 -121.08082037
111  38.95294639 -121.08082407
111  38.95294776 -121.08091516
111  38.95296634 -121.08091642
111  38.95296647 -121.08093883
111  38.95296665 -121.08096996
111  38.95293318 -121.08096942
113  38.95293370 -121.08105902
110 2 0.00 0.0000 New Taxiway 24
111  38.95270670 -121.08170371
111  38.95271132 -121.08145409
111  38.95288026 -121.08145613
113  38.95287564 -121.08170575
110 2 0.00 0.0000 New Taxiway 23
111  38.95320193 -121.08173121
111  38.95305529 -121.08173247
111  38.95305501 -121.08154494
113  38.95320165 -121.08154367
110 2 0.00 0.0000 New Taxiway 22
111  38.95332573 -121.08180791
111  38.95332020 -121.08191227
111  38.95334539 -121.08191613
111  38.95333434 -121.08205346
111  38.95330839 -121.08205102
111  38.95323456 -121.08294233
111  38.95315406 -121.08293041
112  38.95315406 -121.08293041  38.95315488 -121.08291294
111  38.95314686 -121.08291112
111  38.95310616 -121.08291191
111  38.95310547 -121.08281567
111  38.95312769 -121.08281567
111  38.95312783 -121.08266557
111  38.95304061 -121.08266727
111  38.95304322 -121.08180649
111  38.95320734 -121.08180727
113  38.95324956 -121.08178580
110 2 0.00 0.0000 New Taxiway 21
111  38.95373291 -121.08257929
111  38.95383233 -121.08259312
111  38.95374974 -121.08360200
111  38.95370242 -121.08359542
111  38.95365032 -121.08358817
111  38.95365553 -121.08352453
111  38.95365657 -121.08351184
113  38.95365763 -121.08349890
110 2 0.00 0.0000 New Taxiway 19
111  38.95348835 -121.08354949
111  38.95347490 -121.08354765
111  38.95338032 -121.08353477
111  38.95337849 -121.08353452
111  38.95347082 -121.08241897
113  38.95358068 -121.08243394
110 2 0.00 0.0000 New Taxiway 18
111  38.95337772 -121.08386802
111  38.95342086 -121.08386881
111  38.95342066 -121.08390485
111  38.95347138 -121.08390577
111  38.95347091 -121.08397762
111  38.95342016 -121.08397670
111  38.95341996 -121.08401276
113  38.95337685 -121.08401198
110 2 0.00 0.0000 New Taxiway 18
111  38.95337158 -121.08493036
111  38.95341472 -121.08493114
111  38.95341452 -121.08496718
111  38.95346524 -121.08496810
111  38.95346477 -121.08503996
111  38.95341402 -121.08503904
111  38.95341382 -121.08507509
113  38.95337071 -121.08507431
110 2 0.00 0.0000 New Taxiway 18
111  38.95337231 -121.08477833
111  38.95337260 -121.08477833
111  38.95341545 -121.08477911
111  38.95341525 -121.08481515
111  38.95346597 -121.08481607
111  38.95346550 -121.08488792
111  38.95341475 -121.08488700
111  38.95341455 -121.08492306
113  38.95337144 -121.08492228
110 2 0.00 0.0000 New Taxiway 18
111  38.95337350 -121.08462813
111  38.95341664 -121.08462891
111  38.95341644 -121.08466496
111  38.95346716 -121.08466588
111  38.95346669 -121.08473773
111  38.95341594 -121.08473681
111  38.95341574 -121.08477287
113  38.95337263 -121.08477208
110 2 0.00 0.0000 New Taxiway 18
111  38.95337434 -121.08448011
111  38.95341748 -121.08448089
111  38.95341728 -121.08451694
111  38.95346800 -121.08451786
111  38.95346753 -121.08458971
111  38.95341678 -121.08458879
111  38.95341658 -121.08462485
113  38.95337347 -121.08462406
110 2 0.00 0.0000 New Taxiway 18
111  38.95337524 -121.08432663
111  38.95337632 -121.08432665
111  38.95341837 -121.08432741
111  38.95341817 -121.08436346
111  38.95346889 -121.08436438
111  38.95346842 -121.08443623
111  38.95341767 -121.08443531
111  38.95341747 -121.08447137
113  38.95337436 -121.08447059
110 2 0.00 0.0000 New Taxiway 18
111  38.95337723 -121.08417568
111  38.95342036 -121.08417646
111  38.95342016 -121.08421250
111  38.95347088 -121.08421342
111  38.95347041 -121.08428527
111  38.95341966 -121.08428435
111  38.95341946 -121.08432041
113  38.95337635 -121.08431963
110 2 0.00 0.0000 New Taxiway 18
111  38.95337723 -121.08402394
111  38.95342036 -121.08402473
111  38.95342016 -121.08406077
111  38.95347088 -121.08406169
111  38.95347041 -121.08413354
111  38.95341966 -121.08413262
111  38.95341946 -121.08416868
111  38.95337715 -121.08416791
113  38.95337635 -121.08416790
110 2 0.00 0.0000 New Taxiway 18
111  38.95337916 -121.08356470
111  38.95347302 -121.08356640
111  38.95347257 -121.08363883
111  38.95347235 -121.08367430
111  38.95342160 -121.08367338
111  38.95342140 -121.08370943
113  38.95337829 -121.08370865
110 2 0.00 0.0000 New Taxiway 18
111  38.95337814 -121.08371562
111  38.95342128 -121.08371640
111  38.95342108 -121.08375245
111  38.95347180 -121.08375337
111  38.95347133 -121.08382522
111  38.95342058 -121.08382430
111  38.95342038 -121.08386036
113  38.95337727 -121.08385958
110 2 0.00 0.0000 New Taxiway 13
111  38.95350312 -121.08514729
111  38.95347155 -121.08514697
111  38.95347190 -121.08510404
111  38.95341698 -121.08510346
111  38.95341717 -121.08507511
111  38.95341733 -121.08505102
111  38.95347225 -121.08505160
111  38.95347261 -121.08500867
111  38.95350419 -121.08500900
113  38.95350366 -121.08507765
110 2 0.00 0.0000 New Taxiway 13
111  38.95350394 -121.08499693
111  38.95347236 -121.08499661
111  38.95347272 -121.08495368
111  38.95341779 -121.08495310
111  38.95341814 -121.08490067
111  38.95347306 -121.08490124
111  38.95347342 -121.08485831
111  38.95350501 -121.08485864
113  38.95350448 -121.08492743
110 2 0.00 0.0000 New Taxiway 13
111  38.95350457 -121.08484683
111  38.95347300 -121.08484651
111  38.95347336 -121.08480358
111  38.95341843 -121.08480301
111  38.95341878 -121.08475057
111  38.95347370 -121.08475114
111  38.95347406 -121.08470821
111  38.95350564 -121.08470854
113  38.95350511 -121.08477656
110 2 0.00 0.0000 New Taxiway 13
111  38.95350569 -121.08469393
111  38.95347411 -121.08469361
111  38.95347447 -121.08465068
111  38.95341954 -121.08465010
111  38.95341989 -121.08459766
111  38.95347481 -121.08459824
111  38.95347517 -121.08455531
111  38.95350675 -121.08455564
113  38.95350622 -121.08462481
110 2 0.00 0.0000 New Taxiway 13
111  38.95350632 -121.08454083
111  38.95347474 -121.08454052
111  38.95347510 -121.08449759
111  38.95342018 -121.08449701
111  38.95342053 -121.08444457
111  38.95347545 -121.08444515
111  38.95347581 -121.08440222
111  38.95350739 -121.08440255
113  38.95350686 -121.08447130
110 2 0.00 0.0000 New Taxiway 13
111  38.95350802 -121.08439074
111  38.95350738 -121.08439073
111  38.95347644 -121.08439042
111  38.95347680 -121.08434749
111  38.95342187 -121.08434691
111  38.95342222 -121.08429447
111  38.95347714 -121.08429505
111  38.95347750 -121.08425212
111  38.95350842 -121.08425244
111  38.95350908 -121.08425245
113  38.95350855 -121.08432131
110 2 0.00 0.0000 New Taxiway 13
111  38.95350823 -121.08423928
111  38.95347665 -121.08423896
111  38.95347701 -121.08419603
111  38.95342208 -121.08419545
111  38.95342244 -121.08414301
111  38.95347735 -121.08414359
111  38.95347771 -121.08410066
111  38.95350930 -121.08410099
113  38.95350876 -121.08417021
110 2 0.00 0.0000 New Taxiway 13
111  38.95350950 -121.08409054
111  38.95347792 -121.08409023
111  38.95347828 -121.08404729
111  38.95342335 -121.08404672
111  38.95342371 -121.08399428
111  38.95347862 -121.08399486
111  38.95347898 -121.08395192
111  38.95351017 -121.08395225
113  38.95351057 -121.08395226
110 2 0.00 0.0000 New Taxiway 13
111  38.95351014 -121.08393581
111  38.95347856 -121.08393550
111  38.95347892 -121.08389257
111  38.95342399 -121.08389199
111  38.95342434 -121.08383955
111  38.95347926 -121.08384013
111  38.95347962 -121.08379720
113  38.95351120 -121.08379753
110 2 0.00 0.0000 New Taxiway 13
111  38.95351077 -121.08377782
111  38.95347919 -121.08377750
111  38.95347955 -121.08373457
111  38.95342462 -121.08373399
111  38.95342498 -121.08368155
111  38.95347989 -121.08368213
111  38.95348025 -121.08363920
113  38.95351184 -121.08363953
110 2 0.00 0.0000 New Taxiway 16
111  38.95327551 -121.08636280
111  38.95326411 -121.08636243
111  38.95326431 -121.08634950
111  38.95326741 -121.08634960
111  38.95327298 -121.08514664
111  38.95327865 -121.08514682
111  38.95327308 -121.08634978
113  38.95327572 -121.08634987
110 2 0.00 0.0000 New Taxiway 13
111  38.95322747 -121.08362113
111  38.95321130 -121.08365661
111  38.95320217 -121.08365651
111  38.95318898 -121.08365637
111  38.95318895 -121.08362071
111  38.95314432 -121.08362022
111  38.95314467 -121.08356778
111  38.95318883 -121.08356827
111  38.95318883 -121.08353264
111  38.95320311 -121.08353279
111  38.95321114 -121.08353288
111  38.95322782 -121.08356869
113  38.95322764 -121.08359506
110 2 0.00 0.0000 New Taxiway 13
111  38.95322659 -121.08376963
111  38.95321042 -121.08380511
111  38.95320089 -121.08380501
111  38.95318810 -121.08380487
111  38.95318807 -121.08376921
111  38.95314344 -121.08376872
111  38.95314379 -121.08371628
111  38.95318795 -121.08371677
111  38.95318795 -121.08368114
111  38.95320194 -121.08368129
111  38.95321026 -121.08368138
111  38.95322694 -121.08371719
113  38.95322676 -121.08374443
110 2 0.00 0.0000 New Taxiway 13
111  38.95322585 -121.08392324
111  38.95320968 -121.08395872
111  38.95319975 -121.08395861
111  38.95318737 -121.08395848
111  38.95318734 -121.08392282
111  38.95314270 -121.08392233
111  38.95314306 -121.08386989
111  38.95318721 -121.08387037
111  38.95318721 -121.08383475
111  38.95320066 -121.08383489
111  38.95320952 -121.08383499
111  38.95322620 -121.08387080
113  38.95322602 -121.08389716
110 2 0.00 0.0000 New Taxiway 13
111  38.95322526 -121.08407136
111  38.95320909 -121.08410684
111  38.95319858 -121.08410673
111  38.95318678 -121.08410660
111  38.95318675 -121.08407094
111  38.95314212 -121.08407045
111  38.95314247 -121.08401801
111  38.95318662 -121.08401850
111  38.95318662 -121.08398287
111  38.95319947 -121.08398301
111  38.95320893 -121.08398311
113  38.95322562 -121.08401892
110 2 0.00 0.0000 New Taxiway 13
111  38.95322453 -121.08422175
111  38.95320836 -121.08425723
111  38.95319730 -121.08425711
111  38.95318604 -121.08425699
111  38.95318601 -121.08422133
111  38.95314138 -121.08422084
111  38.95314173 -121.08416841
111  38.95318589 -121.08416889
111  38.95318589 -121.08413326
111  38.95319828 -121.08413340
111  38.95320820 -121.08413350
111  38.95322488 -121.08416931
113  38.95322471 -121.08419434
110 2 0.00 0.0000 New Taxiway 13
111  38.95322100 -121.08437063
111  38.95320483 -121.08440611
111  38.95319612 -121.08440602
111  38.95318251 -121.08440587
111  38.95318248 -121.08437021
111  38.95313785 -121.08436972
111  38.95313820 -121.08431728
111  38.95318236 -121.08431777
111  38.95318236 -121.08428214
111  38.95319715 -121.08428230
111  38.95320467 -121.08428238
113  38.95322135 -121.08431819
110 2 0.00 0.0000 New Taxiway 13
111  38.95372803 -121.08495700
111  38.95368284 -121.08495653
111  38.95368255 -121.08499988
111  38.95364124 -121.08499945
111  38.95364170 -121.08492996
111  38.95364217 -121.08486031
111  38.95364281 -121.08486032
111  38.95368346 -121.08486075
111  38.95368318 -121.08490409
113  38.95372838 -121.08490457
110 2 0.00 0.0000 New Taxiway 13
111  38.95372680 -121.08514199
111  38.95364030 -121.08514108
111  38.95364078 -121.08506996
111  38.95364123 -121.08500194
113  38.95372773 -121.08500285
110 2 0.00 0.0000 New Taxiway 13
111  38.95372934 -121.08485875
111  38.95364284 -121.08485784
111  38.95364331 -121.08478768
111  38.95364377 -121.08471870
113  38.95373027 -121.08471961
110 2 0.00 0.0000 New Taxiway 13
111  38.95373029 -121.08471876
111  38.95364378 -121.08471785
111  38.95364424 -121.08464919
111  38.95364472 -121.08457871
113  38.95373122 -121.08457962
110 2 0.00 0.0000 New Taxiway 13
111  38.95373155 -121.08453515
111  38.95368636 -121.08453468
111  38.95368607 -121.08457803
111  38.95364476 -121.08457760
111  38.95364523 -121.08450768
111  38.95364569 -121.08443846
111  38.95368699 -121.08443889
111  38.95368670 -121.08448224
113  38.95373190 -121.08448271
110 2 0.00 0.0000 New Taxiway 13
111  38.95373256 -121.08439364
111  38.95368737 -121.08439316
111  38.95368708 -121.08443651
111  38.95364577 -121.08443608
111  38.95364622 -121.08436805
111  38.95364670 -121.08429694
111  38.95368799 -121.08429738
111  38.95368770 -121.08434072
113  38.95373291 -121.08434120
110 2 0.00 0.0000 New Taxiway 13
111  38.95373349 -121.08425378
111  38.95368830 -121.08425331
111  38.95368801 -121.08429666
111  38.95364670 -121.08429623
111  38.95364717 -121.08422654
111  38.95364763 -121.08415709
111  38.95368893 -121.08415752
111  38.95368864 -121.08420087
113  38.95373385 -121.08420134
110 2 0.00 0.0000 New Taxiway 13
111  38.95373427 -121.08411388
111  38.95368908 -121.08411340
111  38.95368879 -121.08415676
111  38.95364760 -121.08415633
111  38.95364748 -121.08415632
111  38.95364794 -121.08408691
111  38.95364841 -121.08401719
111  38.95368971 -121.08401762
111  38.95368942 -121.08406097
113  38.95373463 -121.08406144
110 2 0.00 0.0000 New Taxiway 13
111  38.95373642 -121.08383247
111  38.95369123 -121.08383199
111  38.95369094 -121.08387535
111  38.95364963 -121.08387491
111  38.95365056 -121.08373577
111  38.95369186 -121.08373621
111  38.95369157 -121.08377955
113  38.95373678 -121.08378003
110 2 0.00 0.0000 New Taxiway 13
111  38.95373520 -121.08397411
111  38.95369001 -121.08397363
111  38.95368972 -121.08401699
111  38.95364841 -121.08401655
111  38.95364934 -121.08387741
111  38.95364964 -121.08387741
111  38.95369064 -121.08387785
111  38.95369035 -121.08392119
113  38.95373556 -121.08392167
110 2 0.00 0.0000 New Taxiway 13
111  38.95322011 -121.08451894
111  38.95320395 -121.08455442
111  38.95319493 -121.08455432
111  38.95318163 -121.08455418
111  38.95318160 -121.08451852
111  38.95313697 -121.08451803
111  38.95313732 -121.08446559
111  38.95318147 -121.08446608
111  38.95318147 -121.08443045
111  38.95319597 -121.08443061
111  38.95320379 -121.08443069
111  38.95322047 -121.08446650
113  38.95322029 -121.08449262
110 2 0.00 0.0000 New Taxiway 13
111  38.95322097 -121.08467053
111  38.95320480 -121.08470601
111  38.95319380 -121.08470589
111  38.95318248 -121.08470577
111  38.95318245 -121.08467011
111  38.95313782 -121.08466962
111  38.95313817 -121.08461718
111  38.95318233 -121.08461767
111  38.95318233 -121.08458204
111  38.95319484 -121.08458218
111  38.95320464 -121.08458228
111  38.95322132 -121.08461809
113  38.95322115 -121.08464424
110 2 0.00 0.0000 New Taxiway 13
111  38.95321991 -121.08482285
111  38.95320374 -121.08485833
111  38.95319257 -121.08485821
111  38.95313679 -121.08485760
111  38.95313711 -121.08473388
111  38.95319356 -121.08473450
111  38.95320358 -121.08473460
111  38.95322026 -121.08477041
113  38.95322009 -121.08479534
110 2 0.00 0.0000 New Taxiway 13
111  38.95321970 -121.08497284
111  38.95320353 -121.08500832
111  38.95319145 -121.08500819
111  38.95318121 -121.08500808
111  38.95318118 -121.08497242
111  38.95313655 -121.08497193
111  38.95313690 -121.08491949
111  38.95318106 -121.08491997
111  38.95318106 -121.08488434
111  38.95319247 -121.08488447
111  38.95320337 -121.08488459
111  38.95322005 -121.08492040
113  38.95321987 -121.08494774
110 2 0.00 0.0000 New Taxiway 12
111  38.95307847 -121.08648690
111  38.95308087 -121.08513771
111  38.95320645 -121.08514032
113  38.95320405 -121.08648952
110 2 0.00 0.0000 New Taxiway 11
111  38.95345796 -121.08537960
111  38.95362557 -121.08538636
111  38.95359455 -121.08668388
113  38.95342694 -121.08667711
110 1 0.00 0.0000 New Taxiway 2
111  38.95318133 -121.08009127
111  38.95318120 -121.08005480
111  38.95287109 -121.08005446
111  38.95283995 -121.08001197
111  38.95284466 -121.07959250
111  38.95280828 -121.07959214
111  38.95270808 -121.07959115
111  38.95270878 -121.07952623
111  38.95285534 -121.07952754
111  38.95285525 -121.07955835
111  38.95299401 -121.07955409
112  38.95303637 -121.07948372  38.95304042 -121.07942776
111  38.95303637 -121.07948372
111  38.95303726 -121.07943060
112  38.95301943 -121.07940427  38.95300496 -121.07940048
111  38.95301943 -121.07940427
111  38.95298962 -121.07940310
111  38.95299270 -121.07912477
111  38.95298211 -121.07912432
111  38.95298288 -121.07909729
112  38.95298288 -121.07909729  38.95298245 -121.07908360
111  38.95296976 -121.07908234
111  38.95287999 -121.07907904
111  38.95287887 -121.07912022
111  38.95248174 -121.07910021
111  38.95248463 -121.07859743
112  38.95239708 -121.07861744  38.95235081 -121.07865928
111  38.95239708 -121.07861744
111  38.95237908 -121.07856174
112  38.95246458 -121.07852311  38.95251685 -121.07850892
111  38.95246458 -121.07852311
112  38.95246458 -121.07852311  38.95251736 -121.07850271
111  38.95252309 -121.07841940
111  38.95253870 -121.07747426
111  38.95285796 -121.07749105
111  38.95284975 -121.07771190
111  38.95288401 -121.07771227
111  38.95287469 -121.07793594
111  38.95300411 -121.07794002
111  38.95299476 -121.07836241
111  38.95285712 -121.07835629
111  38.95285127 -121.07859635
111  38.95284065 -121.07883030
112  38.95284065 -121.07883030  38.95284091 -121.07892052
112  38.95299391 -121.07890174  38.95304603 -121.07885336
111  38.95299391 -121.07890174
111  38.95303548 -121.07890271
112  38.95304537 -121.07888841  38.95304622 -121.07887627
