I
1050 Generated by WorldEditor 2.2.0r2

1     21 1 0 KBFI Boeing Fld King Co Intl
111  47.52366465 -122.29587673
111  47.52296099 -122.29528308
111  47.52295460 -122.29528895
111  47.52261816 -122.29501044
111  47.52259915 -122.29490931
111  47.52378950 -122.29442753
111  47.52388683 -122.29495995
111  47.52387244 -122.29496752
111  47.52359014 -122.29472843
111  47.52353785 -122.29475281
111  47.52336359 -122.29520360
111  47.52336729 -122.29522725
111  47.52349452 -122.29517699
111  47.52391964 -122.29553798
111  47.52392987 -122.29557385
111  47.52595052 -122.29728581
111  47.52585039 -122.29754317
111  47.52394210 -122.29593160
112  47.52394210 -122.29593160  47.52385949 -122.29587143
111  47.52376163 -122.29590389
111  47.52370662 -122.29592876
113  47.52366574 -122.29589235
110 2 0.00 0.0000 New Taxiway 10
111  47.52402977 -122.29448147
111  47.52406361 -122.29439117
111  47.52405143 -122.29437843
111  47.52411781 -122.29420577
111  47.52414246 -122.29422632
111  47.52418012 -122.29414673
111  47.52435897 -122.29429776
111  47.52433553 -122.29436112
111  47.52436186 -122.29438206
111  47.52430733 -122.29452413
111  47.52430056 -122.29452625
111  47.52424129 -122.29467769
111  47.52422112 -122.29466079
111  47.52421401 -122.29467836
111  47.52418489 -122.29465324
113  47.52419711 -122.29462181
110 2 0.00 0.0000 New Taxiway 9
111  47.52464864 -122.29472048
111  47.52475918 -122.29443644
111  47.52520082 -122.29480302
111  47.52508765 -122.29509822
113  47.52484835 -122.29489048
110 2 0.00 0.0000 New Taxiway 8
111  47.53526983 -122.30322283
111  47.53551952 -122.30276465
111  47.53562660 -122.30289187
111  47.53578652 -122.30308187
111  47.53676456 -122.30424389
111  47.53651500 -122.30470495 20
111  47.53640876 -122.30457926
113  47.53553821 -122.30354247
110 1 0.00 0.0000 New Taxiway 5
111  47.53071757 -122.29839695
111  47.53086446 -122.29802090
111  47.53076701 -122.29793837
111  47.53078371 -122.29789433
111  47.53071808 -122.29783740
111  47.53072766 -122.29781345
111  47.53083348 -122.29790549
111  47.53082480 -122.29793001
111  47.53109235 -122.29815677
113  47.53092876 -122.29857641
110 1 0.00 0.0000 New Taxiway 4
111  47.53576466 -122.30210444
111  47.53574963 -122.30210734
111  47.53573832 -122.30209522
111  47.53573413 -122.30210363
111  47.53575774 -122.30212968
111  47.53571269 -122.30221082
111  47.53569016 -122.30218344
111  47.53564565 -122.30227047
111  47.53538440 -122.30195985
111  47.53544803 -122.30184321
111  47.53535369 -122.30173136
111  47.53523500 -122.30192456
111  47.53515293 -122.30182503
111  47.53513599 -122.30185353
111  47.53513024 -122.30183708
111  47.53508198 -122.30178042
111  47.53507796 -122.30178857
111  47.53507167 -122.30178161
111  47.53498583 -122.30189592
111  47.53498166 -122.30189187
111  47.53505354 -122.30175956
111  47.53494633 -122.30163455
111  47.53498105 -122.30156994
111  47.53491010 -122.30148607
111  47.53496334 -122.30138569
111  47.53493848 -122.30135846
111  47.53494582 -122.30134371
111  47.53493025 -122.30132396
111  47.53496502 -122.30126165
111  47.53500594 -122.30130763
111  47.53504624 -122.30123157
111  47.53480293 -122.30094948
111  47.53483478 -122.30088905
111  47.53485364 -122.30091162
111  47.53492424 -122.30077983
111  47.53490062 -122.30075280
111  47.53488645 -122.30078197
111  47.53487795 -122.30077841
112  47.53485467 -122.30074739  47.53483723 -122.30067122
111  47.53485467 -122.30074739
111  47.53471471 -122.30057488
111  47.53467903 -122.30064114
111  47.53448698 -122.30041559
111  47.53446688 -122.30044960
111  47.53441656 -122.30038846
111  47.53443126 -122.30036159
111  47.53442739 -122.30034645
111  47.53448756 -122.30023423
111  47.53448280 -122.30022882
111  47.53449381 -122.30020832
111  47.53450694 -122.30022336
111  47.53452703 -122.30018336
111  47.53451483 -122.30016914
111  47.53456184 -122.30008156
111  47.53455128 -122.30007047
111  47.53456919 -122.30003472
111  47.53464283 -122.30011980
111  47.53462684 -122.30015274
111  47.53492549 -122.30051262
111  47.53494227 -122.30047870
111  47.53501969 -122.30056951
111  47.53517016 -122.30048101
111  47.53521915 -122.30049079
111  47.53645884 -122.30200569
111  47.53636867 -122.30217387
111  47.53645577 -122.30227551
111  47.53624972 -122.30265418
113  47.53577300 -122.30209103
110 2 0.00 0.0000 New Taxiway 3
111  47.51962878 -122.29804942
111  47.51962801 -122.29796823
111  47.51968535 -122.29796752
113  47.51968516 -122.29804842
110 2 0.00 0.0000 New Taxiway 3
111  47.52528935 -122.30068303
111  47.52500236 -122.30043901
111  47.52503981 -122.30034008
113  47.52532734 -122.30058423
110 2 0.00 0.0000 New Taxiway 3
111  47.52538649 -122.30116250
111  47.52494066 -122.30073360
111  47.52503802 -122.30051028
113  47.52548340 -122.30093960
110 2 0.00 0.0000 New Taxiway 2
111  47.52619299 -122.30191028
111  47.52615791 -122.30171504
111  47.52628960 -122.30166182
113  47.52632500 -122.30185719
110 2 0.00 0.0000 New Taxiway 1
111  47.51416616 -122.29443011
111  47.51434610 -122.29382094
111  47.51380300 -122.29347719
111  47.51380137 -122.29310489
111  47.51374162 -122.29310573
111  47.51371010 -122.29152922
111  47.51438261 -122.29195163
111  47.51439275 -122.29191914
111  47.51453954 -122.29201878
111  47.51452880 -122.29205973
111  47.51509435 -122.29241502
111  47.51510228 -122.29238765
111  47.51550572 -122.29264464
111  47.51549445 -122.29269107
111  47.51558533 -122.29272232
111  47.51603275 -122.29302470
111  47.51602508 -122.29304938
111  47.51608822 -122.29308839
111  47.51613305 -122.29297655
111  47.51637076 -122.29317792
111  47.51660762 -122.29337858
111  47.51658025 -122.29344971
111  47.51717525 -122.29394668
111  47.51702173 -122.29434549
111  47.51666738 -122.29526596
111  47.51635909 -122.29606680
111  47.51542930 -122.29530370
111  47.51530899 -122.29521503
111  47.51422153 -122.29451386
113  47.51423256 -122.29447341
110 1 0.00 150.2900 New Taxiway 0
111  47.53964538 -122.31259580
111  47.53937110 -122.31236336
111  47.53934666 -122.31243212
111  47.53937264 -122.31245494
111  47.53937089 -122.31245954
111  47.53938914 -122.31247546
111  47.53937922 -122.31250114
111  47.53936170 -122.31248696
111  47.53935757 -122.31249778
111  47.53935053 -122.31249791
111  47.53382363 -122.30782508
111  47.53383189 -122.30780302
111  47.53257060 -122.30674433
111  47.53252636 -122.30685633
111  47.53243270 -122.30677708
111  47.53249290 -122.30662404
111  47.53170699 -122.30595630
111  47.53171533 -122.30593464
111  47.53056129 -122.30496174
111  47.53042263 -122.30484497
111  47.53041478 -122.30486697
111  47.53033186 -122.30479694
111  47.53029777 -122.30477604
111  47.53000982 -122.30453379
111  47.53004023 -122.30445729
111  47.53005324 -122.30442455
111  47.52962066 -122.30405640
111  47.52958067 -122.30407772
111  47.52954714 -122.30412925
111  47.52954266 -122.30413613
111  47.52934618 -122.30397073
111  47.52934959 -122.30396316
111  47.52935290 -122.30395583
111  47.52934347 -122.30381982
111  47.52732506 -122.30211508
111  47.52730035 -122.30217637
111  47.52736641 -122.30222895
111  47.52723549 -122.30256480
111  47.52720319 -122.30254434
111  47.52717464 -122.30254447
111  47.52708525 -122.30258832
111  47.52706452 -122.30257217
111  47.52704504 -122.30263503
111  47.52695037 -122.30283208
111  47.52693998 -122.30282311
111  47.52695217 -122.30279171
111  47.52687992 -122.30273044
111  47.52675375 -122.30262345
111  47.52662547 -122.30251467
111  47.52649745 -122.30240611
111  47.52636855 -122.30229680
111  47.52630013 -122.30223878
111  47.52626940 -122.30231729
111  47.52619862 -122.30225778
111  47.52605518 -122.30213716
111  47.52591016 -122.30201521
111  47.52576950 -122.30189693
111  47.52562618 -122.30177641
111  47.52548294 -122.30165596
111  47.52540930 -122.30159403
111  47.52542764 -122.30154569
111  47.52544379 -122.30150313
111  47.52540493 -122.30147032
111  47.52537421 -122.30144438
111  47.52519357 -122.30129189
111  47.52501328 -122.30113968
111  47.52483204 -122.30098667
111  47.52467554 -122.30085454
111  47.52465153 -122.30091616
111  47.52464386 -122.30093584
111  47.52460908 -122.30102509
111  47.52467755 -122.30108308
111  47.52485828 -122.30123616
111  47.52503903 -122.30138926
111  47.52521952 -122.30154212
111  47.52537705 -122.30167556
111  47.52532057 -122.30181896
111  47.52526999 -122.30178077
111  47.52527610 -122.30176335
111  47.52522533 -122.30172644
111  47.52521069 -122.30177114
111  47.52510288 -122.30178422
111  47.52452984 -122.30129442
111  47.52445391 -122.30131905
111  47.52440998 -122.30128950
111  47.52440589 -122.30130488
111  47.52431950 -122.30125202
111  47.52434339 -122.30117150
111  47.52439449 -122.30099931
111  47.52444472 -122.30083007
111  47.52449648 -122.30065564
111  47.52449726 -122.30065300
111  47.52434290 -122.30055438
111  47.52431680 -122.30064143
111  47.52426566 -122.30081154
111  47.52421432 -122.30098232
111  47.52416313 -122.30115257
111  47.52413690 -122.30123980
111  47.52413001 -122.30126326
111  47.52401735 -122.30119185
111  47.52398235 -122.30117345
111  47.52394764 -122.30115433
111  47.52378223 -122.30105697
111  47.52380620 -122.30099429
111  47.52381867 -122.30100469
111  47.52386052 -122.30089698
111  47.52388023 -122.30084625
111  47.52394850 -122.30067055
111  47.52393547 -122.30065956
111  47.52400641 -122.30047335
111  47.52392796 -122.30040508
111  47.52391548 -122.30039423
111  47.52390244 -122.30038287
111  47.52382370 -122.30031437
111  47.52385169 -122.30024203
111  47.52391051 -122.30009001
111  47.52359104 -122.29981970
111  47.52353380 -122.29996716
111  47.52350237 -122.30004813
111  47.52340916 -122.29996854
111  47.52331682 -122.29988969
111  47.52334780 -122.29981070
111  47.52357895 -122.29922135
111  47.52358375 -122.29920910
111  47.52360268 -122.29916083
111  47.52364038 -122.29906472
111  47.52434493 -122.29965569
111  47.52439387 -122.29955372
111  47.52439710 -122.29951977
111  47.52431890 -122.29944440
111  47.52328861 -122.29858390
112  47.52328861 -122.29858390  47.52324809 -122.29857299
111  47.52321578 -122.29864086
111  47.52319673 -122.29868901
111  47.52321187 -122.29870110
111  47.52315330 -122.29886111
111  47.52268238 -122.29846019
111  47.52261345 -122.29840188
111  47.52263512 -122.29834504
111  47.52265480 -122.29829341
111  47.52292606 -122.29852144
112  47.52292606 -122.29852144  47.52300426 -122.29853070
112  47.52299717 -122.29833619  47.52296928 -122.29828404
111  47.52299717 -122.29833619
111  47.52254667 -122.29795446
111  47.52225367 -122.29772672
111  47.52168363 -122.29732864
111  47.52118617 -122.29692630
111  47.52115050 -122.29702085
112  47.52115050 -122.29702085  47.52114666 -122.29705588
111  47.52115247 -122.29708399
111  47.52117400 -122.29711394
111  47.52125785 -122.29718683
111  47.52125384 -122.29719644
111  47.52124154 -122.29722598
111  47.52122725 -122.29726029
111  47.52112050 -122.29726208
111  47.52109989 -122.29724740
111  47.52108900 -122.29729115
111  47.52110097 -122.29895620
111  47.52093707 -122.29894363
111  47.52093765 -122.29891149
111  47.52093694 -122.29879366
111  47.52093510 -122.29848814
111  47.52093324 -122.29817879
111  47.52093139 -122.29787021
111  47.52092978 -122.29760344
111  47.52079296 -122.29760356
111  47.52079393 -122.29771935
111  47.52079651 -122.29802700
111  47.52079909 -122.29833461
111  47.52080166 -122.29864185
111  47.52080260 -122.29875365
111  47.52069474 -122.29875601
111  47.52064427 -122.29872596
111  47.52063748 -122.29874465
111  47.52060494 -122.29872372
111  47.52060518 -122.29868996
111  47.52060441 -122.29857601
111  47.52060235 -122.29826842
111  47.52060029 -122.29796052
111  47.52059823 -122.29765262
111  47.52059642 -122.29738241
111  47.52046138 -122.29738493
111  47.52046189 -122.29750125
111  47.52046323 -122.29780871
111  47.52046458 -122.29811826
111  47.52046592 -122.29842315
111  47.52046688 -122.29864457
111  47.52029398 -122.29852987
111  47.52027070 -122.29847331
111  47.52027005 -122.29835833
111  47.52026832 -122.29804933
111  47.52026658 -122.29774087
111  47.52026486 -122.29743546
111  47.52026335 -122.29716613
111  47.52017502 -122.29716846
111  47.52017477 -122.29714414
111  47.52014508 -122.29714368
111  47.52014519 -122.29716925
111  47.52012884 -122.29716968
111  47.52012942 -122.29728251
111  47.52013101 -122.29759071
111  47.52013260 -122.29789757
111  47.52013420 -122.29820726
111  47.52013478 -122.29832059
111  47.52000049 -122.29831795
111  47.51987496 -122.29823705
111  47.51990503 -122.29823655
111  47.51989601 -122.29693405
111  47.51976273 -122.29693544
111  47.51976869 -122.29818159
111  47.51960986 -122.29807905
111  47.51960804 -122.29772779
111  47.51952785 -122.29772514
111  47.51949075 -122.29766701
111  47.51948819 -122.29658597
111  47.51948018 -122.29655972
111  47.51926830 -122.29637642
111  47.51926388 -122.29572002
111  47.51933637 -122.29577636
111  47.51934811 -122.29574979
112  47.51934811 -122.29574979  47.51935118 -122.29569638
111  47.51932551 -122.29566268
111  47.51933706 -122.29562532
111  47.51934851 -122.29558826
111  47.51947221 -122.29569313
111  47.51953630 -122.29553028
111  47.51923609 -122.29527334
112  47.51923609 -122.29527334  47.51919496 -122.29525607
111  47.51917703 -122.29528593
111  47.51914824 -122.29535494
112  47.51914824 -122.29535494  47.51914568 -122.29541017
111  47.51916308 -122.29543089
111  47.51897305 -122.29527026
112  47.51897305 -122.29527026  47.51901973 -122.29527751
111  47.51904071 -122.29522907
111  47.51905027 -122.29520382
111  47.51905155 -122.29513680
111  47.51902646 -122.29509700
111  47.51845522 -122.29461442
112  47.51845522 -122.29461442  47.51842034 -122.29459953
111  47.51838784 -122.29464825
111  47.51837862 -122.29467165
111  47.51837811 -122.29473078
111  47.51838821 -122.29475133
111  47.51841647 -122.29477678
111  47.51840823 -122.29479685
111  47.51819951 -122.29462053
111  47.51820776 -122.29460434
111  47.51822753 -122.29461441
112  47.51822753 -122.29461441  47.51824073 -122.29461514
111  47.51826554 -122.29458713
111  47.51828185 -122.29454447
112  47.51828185 -122.29454447  47.51828398 -122.29449213
111  47.51827302 -122.29446496
111  47.51679958 -122.29321886
112  47.51679958 -122.29321886  47.51674678 -122.29322704
111  47.51671344 -122.29326487
111  47.51665945 -122.29334778
111  47.51664970 -122.29333946
111  47.51662880 -122.29339343
111  47.51660762 -122.29337858
111  47.51637076 -122.29317792
111  47.51613305 -122.29297655
111  47.51637574 -122.29234591
111  47.51634833 -122.29231771
111  47.51662058 -122.29161117
111  47.51752219 -122.29237257
111  47.51745793 -122.29235790
112  47.51745793 -122.29235790  47.51730252 -122.29233512
111  47.51720987 -122.29252633
111  47.51711845 -122.29276440
112  47.51711845 -122.29276440  47.51709671 -122.29287402
111  47.51711059 -122.29291354
111  47.51779896 -122.29348606
111  47.51848294 -122.29388603
112  47.51848294 -122.29388603  47.51856138 -122.29391048
111  47.51862820 -122.29380525
111  47.51869842 -122.29363673
112  47.51869842 -122.29363673  47.51873832 -122.29351902
111  47.51870898 -122.29341862
111  47.51867950 -122.29335256
111  47.51934904 -122.29391687
111  47.51929655 -122.29390621
112  47.51929655 -122.29390621  47.51922620 -122.29391167
111  47.51919119 -122.29399050
111  47.51910625 -122.29420330
112  47.51910625 -122.29420330  47.51906686 -122.29431655
111  47.51913215 -122.29442701
111  47.51969755 -122.29509126
111  47.52174365 -122.29681803
111  47.52208208 -122.29705787
112  47.52208208 -122.29705787  47.52226157 -122.29712573
111  47.52235939 -122.29690986
111  47.52246394 -122.29663655
112  47.52246394 -122.29663655  47.52246705 -122.29661419
111  47.52246391 -122.29659766
111  47.52243816 -122.29657346
111  47.52241743 -122.29652674
111  47.52241581 -122.29648934
111  47.52290236 -122.29690300
111  47.52287519 -122.29695593
111  47.52284501 -122.29692584
112  47.52284501 -122.29692584  47.52282803 -122.29691895
111  47.52281725 -122.29693115
111  47.52273283 -122.29716399
112  47.52273283 -122.29716399  47.52266600 -122.29739883
111  47.52277732 -122.29757509
111  47.52618519 -122.30045573
112  47.52618519 -122.30045573  47.52623957 -122.30046096
111  47.52626353 -122.30041746
111  47.52629664 -122.30041779
111  47.52632927 -122.30033112
112  47.52632927 -122.30033112  47.52633708 -122.30027352
111  47.52632313 -122.30024526
112  47.52632313 -122.30024526  47.52619955 -122.30003082
111  47.52605439 -122.29983303
111  47.52572991 -122.29943893
111  47.52551236 -122.29919869
111  47.52531173 -122.29895845
111  47.53410254 -122.30638811
112  47.53410254 -122.30638811  47.53404109 -122.30642160
111  47.53399404 -122.30651707
111  47.53394162 -122.30666506
111  47.53393448 -122.30687787
111  47.53406099 -122.30699762
111  47.53402683 -122.30707738
111  47.53694088 -122.30954481
111  47.53697305 -122.30945917
111  47.53708810 -122.30955508
111  47.53710350 -122.30952496
111  47.53722684 -122.30919123
112  47.53722684 -122.30919123  47.53723922 -122.30911151
111  47.53721524 -122.30905248
111  47.53718796 -122.30899688
111  47.53747421 -122.30923749
111  47.53741948 -122.30922491
112  47.53741948 -122.30922491  47.53735509 -122.30921731
111  47.53731037 -122.30928798
111  47.53718210 -122.30963197
111  47.53732023 -122.30974973
111  47.53732342 -122.30977893
111  47.53729656 -122.30984714
111  47.53950142 -122.31170413
111  47.53953088 -122.31162568
111  47.53972629 -122.31178553
111  47.53976190 -122.31178686
111  47.53987717 -122.31149244
112  47.53987717 -122.31149244  47.53990847 -122.31139394
111  47.53987538 -122.31129883
111  47.53984792 -122.31124645
111  47.54043542 -122.31174188
111  47.54043425 -122.31174511
112  47.54043425 -122.31174511  47.54042103 -122.31174606
111  47.54040257 -122.31175989
111  47.54022744 -122.31219982
111  47.54025328 -122.31225471
111  47.54030210 -122.31229564
111  47.54028974 -122.31233216
111  47.54128996 -122.31317321
111  47.54191216 -122.31355004
112  47.54191216 -122.31355004  47.54200614 -122.31359110
111  47.54207091 -122.31346477
111  47.54210700 -122.31336671
112  47.54210700 -122.31336671  47.54212277 -122.31327615
111  47.54210665 -122.31322647
111  47.54205788 -122.31314037
111  47.54207532 -122.31309660
111  47.54259740 -122.31354738
111  47.54246369 -122.31389336
112  47.54246369 -122.31389336  47.54213110 -122.31452917
111  47.54169606 -122.31420035
111  47.54070433 -122.31335802
112  47.54070433 -122.31335802  47.54068775 -122.31336087
111  47.54069350 -122.31338214
111  47.54071474 -122.31340382
111  47.54072850 -122.31342545
111  47.54067098 -122.31352950
111  47.54061456 -122.31346574
111  47.54055422 -122.31338249
111  47.54051612 -122.31335833
111  47.54051575 -122.31334198
111  47.54037783 -122.31334227
111  47.54035831 -122.31332625
111  47.54035602 -122.31305959
111  47.54019771 -122.31306136
111  47.53996876 -122.31286760
111  47.53995493 -122.31290235
111  47.53993770 -122.31288979
111  47.53995146 -122.31285368
111  47.53984084 -122.31276220
111  47.53987433 -122.31267238
111  47.53966004 -122.31249114
111  47.53965855 -122.31252705
113  47.53964671 -122.31258888
111  47.52480040 -122.30016844
111  47.52483204 -122.30019448
111  47.52486896 -122.30010190
111  47.52605599 -122.30111134
111  47.52624110 -122.30135204 20
111  47.52638030 -122.30146975
111  47.52639907 -122.30147187
111  47.52650681 -122.30156440
111  47.52654553 -122.30145843
111  47.52631217 -122.30127011
112  47.52631217 -122.30127011  47.52630229 -122.30124283
111  47.52631633 -122.30124144
111  47.52631820 -122.30122851
111  47.52630616 -122.30114796
111  47.52629343 -122.30112777
111  47.52493199 -122.29997557
112  47.52493199 -122.29997557  47.52491760 -122.29997347
111  47.52487560 -122.29999029
112  47.52487560 -122.29999029  47.52484333 -122.30004400
113  47.52482984 -122.30007854
111  47.53368179 -122.30613802
111  47.53018950 -122.30318412
111  47.53016545 -122.30317567
112  47.53016545 -122.30317567  47.53000238 -122.30339375
111  47.53006889 -122.30360862
111  47.53027508 -122.30379768
111  47.53024447 -122.30388641
111  47.53318537 -122.30637003
112  47.53318537 -122.30637003  47.53319909 -122.30637324
111  47.53320862 -122.30636192
111  47.53322888 -122.30629366
111  47.53347098 -122.30648706
114  47.53347098 -122.30648706  47.53363570 -122.30645404
111  47.52942541 -122.30319150
112  47.52942541 -122.30319150  47.52943502 -122.30319382
111  47.52944240 -122.30318463
111  47.52947011 -122.30311238
111  47.52959853 -122.30321279
112  47.52959853 -122.30321279  47.52973288 -122.30319404
112  47.52979922 -122.30285315  47.52979581 -122.30271113
111  47.52979922 -122.30285315
111  47.52713216 -122.30059153
111  47.52709586 -122.30057889
112  47.52709586 -122.30057889  47.52706339 -122.30059019
111  47.52703292 -122.30062744
112  47.52703292 -122.30062744  47.52702470 -122.30068712
111  47.52703620 -122.30074210
111  47.52722218 -122.30110586
112  47.52722218 -122.30110586  47.52735933 -122.30136417
112  47.52766250 -122.30170471  47.52784615 -122.30190091
111  47.52766250 -122.30170471
113  47.52780149 -122.30182858
111  47.52003972 -122.29608945
111  47.52008124 -122.29598319
111  47.51986395 -122.29580943
112  47.51986395 -122.29580943  47.51982478 -122.29584288
111  47.51979780 -122.29594457
111  47.51979979 -122.29597152
111  47.51998787 -122.29612755
114  47.51998787 -122.29612755  47.52001803 -122.29611331
111  47.52467439 -122.30006046
111  47.52471952 -122.30009918
111  47.52474841 -122.30001380
111  47.52477041 -122.29994293
111  47.52477141 -122.29985306
111  47.52476169 -122.29983306
111  47.52458409 -122.29967663
112  47.52458409 -122.29967663  47.52453366 -122.29968372
111  47.52448292 -122.29977429
111  47.52471412 -122.29997267
113  47.52470098 -122.30000029 20
110 1 0.00 150.2900 East taxiways and apron
111  47.51998280 -122.29243663
112  47.51998280 -122.29243663  47.51988313 -122.29236200
111  47.51974272 -122.29228434
112  47.51974272 -122.29228434  47.51949703 -122.29218074
112  47.51918145 -122.29261658  47.51909005 -122.29287435
111  47.51918145 -122.29261658
111  47.51916776 -122.29268047
112  47.51916776 -122.29268047  47.51915784 -122.29275913
111  47.51918840 -122.29282219
111  47.51921350 -122.29286880
111  47.51921823 -122.29287595
111  47.51901962 -122.29270723
111  47.51908569 -122.29253505
111  47.51912701 -122.29244216
112  47.51912701 -122.29244216  47.51926921 -122.29215973
112  47.51977332 -122.29213025  47.52001315 -122.29224145
111  47.51977332 -122.29213025
112  47.51989494 -122.29220423  47.51995153 -122.29224909
111  47.51989494 -122.29220423
111  47.52019827 -122.29245945
111  47.52112898 -122.29324387
112  47.52112898 -122.29324387  47.52123179 -122.29326427
111  47.52127843 -122.29317601
111  47.52131499 -122.29309222
111  47.52136715 -122.29294828
111  47.52146163 -122.29271290
111  47.52152936 -122.29258043
111  47.52164482 -122.29263249
111  47.52174761 -122.29267884
111  47.52185268 -122.29272621
111  47.52195843 -122.29277389
111  47.52206174 -122.29281650
111  47.52216732 -122.29286505
111  47.52228452 -122.29291895
111  47.52250383 -122.29301981
111  47.52247492 -122.29317072
111  47.52258078 -122.29326196
111  47.52259764 -122.29321900
111  47.52266054 -122.29327390
111  47.52264517 -122.29331414
111  47.52259129 -122.29345978
111  47.52286693 -122.29369107
111  47.52292292 -122.29354799
111  47.52289093 -122.29352105
111  47.52289923 -122.29349199
111  47.52280975 -122.29342019
111  47.52280056 -122.29337653
111  47.52282155 -122.29332331
111  47.52303660 -122.29344894
111  47.52324938 -122.29352412
111  47.52331190 -122.29355104
112  47.52331190 -122.29355104  47.52346617 -122.29363299
112  47.52361540 -122.29386871  47.52374448 -122.29393256
111  47.52361540 -122.29386871
111  47.52386111 -122.29397615
111  47.52390851 -122.29398895
111  47.52397608 -122.29398951
111  47.52394628 -122.29406427
111  47.52411781 -122.29420577
111  47.52405143 -122.29437843
111  47.52406361 -122.29439117
111  47.52402977 -122.29448147
111  47.52419711 -122.29462181
111  47.52418489 -122.29465324
111  47.52421401 -122.29467836
111  47.52422112 -122.29466079
111  47.52424129 -122.29467769
111  47.52430056 -122.29452625
111  47.52430733 -122.29452413
111  47.52436186 -122.29438206
111  47.52444376 -122.29416341
111  47.52472252 -122.29439038
111  47.52460810 -122.29468597
111  47.52464864 -122.29472048
111  47.52484835 -122.29489048
111  47.52508765 -122.29509822
111  47.52496903 -122.29540550
111  47.52486700 -122.29532045
111  47.52436640 -122.29534303
111  47.52436682 -122.29535906
111  47.52434963 -122.29540275 20
