I
1050 Generated by WorldEditor

1     77 0 0 PHHN Hana
112  20.79540704 -156.01483836  20.79532178 -156.01482335
111  20.79540704 -156.01483836 3 102
111  20.79495851 -156.01484150 3 102
112  20.79485635 -156.01499080  20.79485059 -156.01510469 3 102
111  20.79485630 -156.01519542 3 102
112  20.79499347 -156.01541353  20.79510200 -156.01549226
111  20.79499347 -156.01541353 3 102
111  20.79536145 -156.01564167
112  20.79536145 -156.01564167  20.79541370 -156.01566454 3 102
112  20.79551747 -156.01550450  20.79553253 -156.01539052
111  20.79551747 -156.01550450
113  20.79565829 -156.01577860
110 1 1.00 90.0300 New Taxiway 64
111  20.79552317 -156.01977421
112  20.79528734 -156.01948470  20.79527785 -156.01925783
111  20.79528734 -156.01948470
112  20.79528734 -156.01948470  20.79530723 -156.01926715
112  20.79549983 -156.01910239  20.79553465 -156.01898050
111  20.79552746 -156.01894585
113  20.79567828 -156.01945253
110 1 1.00 90.0300 New Taxiway 63
111  20.79551482 -156.00997538 3
112  20.79545332 -156.00981483  20.79541533 -156.00974853 3
112  20.79530179 -156.00945501  20.79532667 -156.00925042
111  20.79530179 -156.00945501
112  20.79530179 -156.00945501  20.79531614 -156.00928844 3
112  20.79551745 -156.00922010  20.79555604 -156.00919376
111  20.79551745 -156.00922010
112  20.79551745 -156.00922010  20.79556177 -156.00922349
113  20.79563259 -156.00958876
130 Airport Boundary
111  20.79416640 -156.01521906
111  20.79441010 -156.01539308
111  20.79447794 -156.01609051
111  20.79479992 -156.01610379
111  20.79487320 -156.01594125
111  20.79526562 -156.01603544
111  20.79530370 -156.01661949
111  20.79523643 -156.01938348
111  20.79526145 -156.02051703
111  20.79535328 -156.02079466
111  20.79565013 -156.02091301
111  20.79574998 -156.02063884
111  20.79599973 -156.02036752
111  20.79603583 -156.01925943
112  20.79625694 -156.01891104  20.79625694 -156.01881414
111  20.79607118 -156.01853846
111  20.79603958 -156.00890902
111  20.79585909 -156.00890344
111  20.79580194 -156.00865063
111  20.79548242 -156.00864255
111  20.79545475 -156.00895566
111  20.79520607 -156.00894189
111  20.79531016 -156.01284219
111  20.79480211 -156.01286601
111  20.79472833 -156.01337394
111  20.79435446 -156.01339854
111  20.79433446 -156.01422216
113  20.79396843 -156.01433007
120 Linear Feature 2
111  20.79606604 -156.01905181 22
112  20.79592495 -156.01889491  20.79593104 -156.01875539
111  20.79592495 -156.01889491
112  20.79592495 -156.01889491  20.79593510 -156.01875376 22
111  20.79606503 -156.01874616 22
112  20.79620917 -156.01890306  20.79621576 -156.01904041
111  20.79620917 -156.01890306
114  20.79620917 -156.01890306  20.79620206 -156.01904638 22
120 Linear Feature 1
111  20.79609198 -156.01912230 20
111  20.79606597 -156.01912050 20
111  20.79606555 -156.01908461
111  20.79606770 -156.01871903 20
111  20.79606799 -156.01867857 20
115  20.79609062 -156.01868011
120 Linear Feature 1
111  20.79489952 -156.01363179 20
115  20.79489895 -156.01366199
120 Linear Feature 1
111  20.79489990 -156.01375048 20
115  20.79489933 -156.01378068
120 Linear Feature 1
111  20.79490067 -156.01386673 20
115  20.79490010 -156.01389693
120 Linear Feature 1
111  20.79465792 -156.01374503 20
115  20.79465735 -156.01377523
120 Linear Feature 1
111  20.79465618 -156.01384001 20
115  20.79465561 -156.01387022
120 Linear Feature 1
111  20.79465487 -156.01393267 20
115  20.79465431 -156.01396288
120 Linear Feature 1
111  20.79465444 -156.01402393 20
115  20.79465387 -156.01405414
120 Linear Feature 1
111  20.79489923 -156.01364691 20
115  20.79486103 -156.01364629
120 Linear Feature 1
111  20.79489961 -156.01376560 20
115  20.79486141 -156.01376498
120 Linear Feature 1
111  20.79490038 -156.01388185 20
115  20.79486218 -156.01388123
120 Linear Feature 1
111  20.79465763 -156.01376015 20
115  20.79461943 -156.01375953
120 Linear Feature 1
111  20.79465589 -156.01385514 20
115  20.79461768 -156.01385451
120 Linear Feature 1
111  20.79465459 -156.01394779 20
115  20.79461638 -156.01394717
120 Linear Feature 1
111  20.79465415 -156.01403905 20
115  20.79461594 -156.01403843
120 Linear Feature 74
111  20.79548255 -156.01477197 1
116  20.79565758 -156.01458016  20.79569088 -156.01442244
120 Linear Feature 73
111  20.79498306 -156.01477460 1
116  20.79480742 -156.01456680  20.79480088 -156.01439330
120 Linear Feature 72
111  20.79566045 -156.01496505 1
112  20.79548255 -156.01477197  20.79537267 -156.01477057 1
111  20.79498306 -156.01477460 1
116  20.79479996 -156.01498034  20.79476726 -156.01518462
120 Linear Feature 71
111  20.79566173 -156.01534279 1
111  20.79566461 -156.01553364 1
116  20.79536243 -156.01571946  20.79515220 -156.01564142
120 Linear Feature 70
111  20.79564550 -156.01425872 1
111  20.79564402 -156.01402459 1
116  20.79538826 -156.01384683  20.79519476 -156.01391621
120 Linear Feature 69
111  20.79565947 -156.01640450 1
111  20.79565736 -156.01605297 1
112  20.79553728 -156.01583213  20.79544248 -156.01576228 1
111  20.79536243 -156.01571946 1
111  20.79490001 -156.01542018 1
112  20.79480453 -156.01519586  20.79480453 -156.01502910
111  20.79480453 -156.01519586 1
111  20.79479996 -156.01498034 1
111  20.79480742 -156.01456680 1
111  20.79481013 -156.01431056 1
112  20.79494553 -156.01410191  20.79504049 -156.01404096 1
111  20.79538826 -156.01384683 1
112  20.79565139 -156.01345812  20.79564791 -156.01319025
111  20.79565139 -156.01345812 1
115  20.79565103 -156.01315269
120 Linear Feature 68
111  20.79524805 -156.01398001 4
115  20.79519991 -156.01388623
120 Linear Feature 67
111  20.79525143 -156.01483630 4
115  20.79525143 -156.01473121
120 Linear Feature 66
111  20.79519554 -156.01567291 4
115  20.79524854 -156.01557448
21  20.79593675 -156.01833401 2 90.9000 3.60 New PAPI-2L
14  20.79448683 -156.01439615  49.21 0 New Tower Viewpoint 49
1300  20.79470996 -156.01454377 270.78 gate jets|turboprops GATE 1
1301 B airline 
1300  20.79465589 -156.01385019  -0.49 tie_down props GA 02
1301 A general_aviation 
1300  20.79465357 -156.01404342  -0.49 tie_down props GA 01
1301 A general_aviation 
18  20.79449430 -156.01550929 1 Beacon
19  20.79608123 -156.01891435 1 New Windsock 44
51 12290 CTAF
50 11832 AWOS
99
