I
1050 Generated by WorldEditor 2.2.0r2

1    335 1 0 KFAT Fresno Yosemite Intl
111  36.78019349 -119.73336515
111  36.78004845 -119.73349148
111  36.78020044 -119.73375844
111  36.78018164 -119.73377351
111  36.77989041 -119.73326376
111  36.77988589 -119.73326742
111  36.77985767 -119.73321614
111  36.78002428 -119.73306857
111  36.77979562 -119.73266775
111  36.77979199 -119.73267080
111  36.77978794 -119.73266356
111  36.77970890 -119.73252243
111  36.78001299 -119.73225445
111  36.78009313 -119.73239733
113  36.78008822 -119.73240116
110 2 0.00 0.0000 New Taxiway 21
111  36.77815431 -119.73147566
111  36.77812894 -119.73143161
111  36.77811879 -119.73144039
111  36.77790381 -119.73106421
111  36.77791278 -119.73105635
111  36.77788249 -119.73100376
111  36.77842058 -119.73052648
113  36.77869821 -119.73100341
110 2 0.00 0.0000 New Taxiway 20
111  36.77811312 -119.72998149
111  36.77735021 -119.73065486
111  36.77726764 -119.73051307
111  36.77740300 -119.73039347
111  36.77741822 -119.73038002
111  36.77743396 -119.73036612
113  36.77803070 -119.72983889
110 2 0.00 0.0000 New Taxiway 20
111  36.77794126 -119.72968180
111  36.77717658 -119.73035449
111  36.77709483 -119.73021055
113  36.77785782 -119.72953619
110 2 0.00 0.0000 New Taxiway 20
111  36.77776966 -119.72937922
111  36.77700591 -119.73005287
111  36.77692453 -119.72991056
113  36.77768648 -119.72923586
110 2 0.00 0.0000 New Taxiway 19
111  36.77706266 -119.72814246
111  36.77675406 -119.72841907
111  36.77663339 -119.72821137
113  36.77694664 -119.72793679
110 2 0.00 0.0000 New Taxiway 18
111  36.77683263 -119.72773669
111  36.77614912 -119.72833877
111  36.77626480 -119.72854070
111  36.77620164 -119.72859440
111  36.77617825 -119.72859093
111  36.77607167 -119.72840700
111  36.77606828 -119.72840998
111  36.77598424 -119.72826532
113  36.77674980 -119.72759104
110 2 0.00 0.0000 New Taxiway 17
111  36.77664402 -119.72740199
111  36.77587774 -119.72807631
111  36.77579495 -119.72793347
111  36.77584396 -119.72789039
111  36.77593153 -119.72781339
111  36.77601231 -119.72774236
111  36.77602268 -119.72773325
111  36.77603219 -119.72772488
111  36.77611249 -119.72765428
111  36.77620246 -119.72757517
111  36.77629237 -119.72749612
111  36.77638281 -119.72741660
111  36.77647118 -119.72733890
113  36.77656367 -119.72725758
110 2 0.00 0.0000 New Taxiway 16
111  36.77646190 -119.72711175
111  36.77611243 -119.72741978
111  36.77597649 -119.72718482
113  36.77632794 -119.72687734
110 2 0.00 0.0000 New Taxiway 15
111  36.77605965 -119.72643285
111  36.77531318 -119.72708900
111  36.77523093 -119.72694369
111  36.77523485 -119.72694024
111  36.77526544 -119.72691331
111  36.77524522 -119.72687725
111  36.77522379 -119.72691940
111  36.77518476 -119.72685037
111  36.77520533 -119.72680611
111  36.77518791 -119.72677505
111  36.77520054 -119.72676487
111  36.77508907 -119.72656923
111  36.77512780 -119.72653576
111  36.77523148 -119.72671530
111  36.77524756 -119.72670161
111  36.77533419 -119.72685278
113  36.77597634 -119.72628744
110 2 0.00 0.0000 New Taxiway 14
111  36.77544626 -119.72653178
111  36.77534794 -119.72635828
111  36.77580983 -119.72595158
113  36.77591058 -119.72612488
110 2 0.00 0.0000 New Taxiway 12
111  36.77568023 -119.72571487
111  36.77527963 -119.72606629
111  36.77515978 -119.72618156
111  36.77522438 -119.72629752
111  36.77512450 -119.72638605
111  36.77506426 -119.72627343
111  36.77502869 -119.72630765
111  36.77498643 -119.72634829
111  36.77473373 -119.72586768
111  36.77484524 -119.72577255
111  36.77497205 -119.72599309
113  36.77554752 -119.72548184
110 2 0.00 0.0000 New Taxiway 11
111  36.77518885 -119.72484058
111  36.77479724 -119.72518333
111  36.77459101 -119.72482117
111  36.77498040 -119.72447833
111  36.77500918 -119.72452787
111  36.77504774 -119.72449262
111  36.77520122 -119.72476096
113  36.77516177 -119.72479299
110 2 0.00 0.0000 New Taxiway 10
111  36.77486886 -119.72429375
111  36.77472649 -119.72441876
111  36.77471012 -119.72443314
111  36.77469498 -119.72444644
111  36.77453126 -119.72459019
111  36.77435257 -119.72474710
111  36.77410616 -119.72496346
111  36.77410203 -119.72496709
111  36.77402055 -119.72482470
113  36.77478619 -119.72415071
110 2 0.00 0.0000 New Taxiway 9
111  36.77433922 -119.72429289
111  36.77392610 -119.72465569
111  36.77379919 -119.72443177
111  36.77385830 -119.72437896
111  36.77390354 -119.72446014
113  36.77425670 -119.72414680
110 2 0.00 0.0000 New Taxiway 8
111  36.77466002 -119.72399948
111  36.77443213 -119.72419905
111  36.77432455 -119.72400928
113  36.77455300 -119.72381068
110 2 0.00 0.0000 New Taxiway 7
111  36.77447575 -119.72360429
111  36.77371139 -119.72427657
111  36.77365676 -119.72418079
113  36.77442154 -119.72350748
110 2 0.00 0.0000 New Taxiway 6
111  36.77434245 -119.72337413
111  36.77358047 -119.72404494
111  36.77352475 -119.72395108
113  36.77428860 -119.72327891
110 2 0.00 0.0000 New Taxiway 4
111  36.77355533 -119.72283979
111  36.77374397 -119.72317055
111  36.77377308 -119.72314502
111  36.77356595 -119.72278761
111  36.77386424 -119.72252483
111  36.77406946 -119.72288408
111  36.77382884 -119.72309667
111  36.77392044 -119.72326157
111  36.77383671 -119.72333737
111  36.77375736 -119.72319340
111  36.77367931 -119.72326248
113  36.77347735 -119.72290840
110 1 0.00 0.0000 New Taxiway 9
111  36.76944166 -119.70223992
111  36.76952643 -119.70197554
111  36.76974027 -119.70144490
111  36.76947590 -119.70079148
111  36.76947488 -119.70055491
111  36.77017972 -119.70055353
111  36.77018002 -119.70078804
111  36.77016986 -119.70078801
111  36.77003617 -119.70078761
111  36.77003621 -119.70087951
111  36.77003629 -119.70105576
111  36.77003634 -119.70115460
111  36.77011942 -119.70115543
111  36.77011950 -119.70114968
111  36.77016912 -119.70114991
111  36.77017974 -119.70115008
111  36.77018004 -119.70121331
111  36.77034325 -119.70121199
111  36.77034358 -119.70151931
111  36.77035622 -119.70155643
111  36.77095274 -119.70192636
111  36.77130615 -119.70168492
111  36.77133653 -119.70159235
111  36.77125404 -119.70145374
111  36.77131048 -119.70140490
111  36.77131718 -119.70141594
111  36.77152881 -119.70123039
111  36.77148256 -119.70114905
111  36.77155827 -119.70108502
111  36.77211387 -119.70107715
112  36.77211387 -119.70107715  36.77229761 -119.70166192
111  36.77262883 -119.70190721
111  36.77259411 -119.70193282
111  36.77274084 -119.70218986
111  36.77267497 -119.70224941
111  36.77267750 -119.70225374
111  36.77262571 -119.70230042
111  36.77294031 -119.70285088
111  36.77287702 -119.70290559
111  36.77273571 -119.70265451
111  36.77259095 -119.70278053
111  36.77273414 -119.70303250
111  36.77266657 -119.70309153
111  36.77267812 -119.70311276
111  36.77260738 -119.70317884
111  36.77256176 -119.70322219
111  36.77247683 -119.70308112
111  36.77227643 -119.70325973
111  36.77232262 -119.70334226
111  36.77225528 -119.70340250
111  36.77241963 -119.70369471
111  36.77241860 -119.70373215
111  36.77264975 -119.70412636
111  36.77272908 -119.70406116
111  36.77316011 -119.70480880
111  36.77341026 -119.70458912
111  36.77337447 -119.70452549
111  36.77341280 -119.70449280
111  36.77343772 -119.70454043
111  36.77379987 -119.70422318
111  36.77381176 -119.70424473
111  36.77389598 -119.70416964
111  36.77396573 -119.70428877
111  36.77388550 -119.70435880
111  36.77388946 -119.70436557
111  36.77381400 -119.70443098
111  36.77402796 -119.70480217
111  36.77413625 -119.70470509
111  36.77488350 -119.70600328
111  36.77492037 -119.70601680
111  36.77499424 -119.70595072
111  36.77514154 -119.70620310
111  36.77505932 -119.70627406
111  36.77513949 -119.70641969
111  36.77520531 -119.70636267
111  36.77530239 -119.70647742
111  36.77535669 -119.70658006
111  36.77486446 -119.70701707
111  36.77485294 -119.70699606
111  36.77475838 -119.70708320
111  36.77471965 -119.70711052
111  36.77449358 -119.70723695
111  36.77439957 -119.70739406
111  36.77441222 -119.70750977
111  36.77443769 -119.70755193
111  36.77412292 -119.70782909
111  36.77406360 -119.70788991
111  36.77407603 -119.70791162
111  36.77405035 -119.70793185
111  36.77402571 -119.70795125
111  36.77400143 -119.70790849
111  36.77386344 -119.70804388
111  36.77382444 -119.70810286
111  36.77690638 -119.71350140
111  36.77709814 -119.71341517
111  36.77717733 -119.71334624
111  36.77718204 -119.71335354
111  36.77765944 -119.71292657
111  36.77770196 -119.71299914
111  36.77723184 -119.71341404
111  36.77717290 -119.71346606
111  36.77716277 -119.71346933
111  36.77724540 -119.71361145
111  36.77725114 -119.71360078
111  36.77729893 -119.71355876
111  36.77730938 -119.71354956
111  36.77740475 -119.71347038
112  36.77756704 -119.71351163  36.77763499 -119.71360356
111  36.77756704 -119.71351163
111  36.77760860 -119.71358427
112  36.77760860 -119.71358427  36.77755660 -119.71351069
111  36.77748702 -119.71352574
111  36.77741740 -119.71356432
111  36.77733898 -119.71362909 20
111  36.77785776 -119.71453971
111  36.77788607 -119.71455373
111  36.77791091 -119.71453314
111  36.77800514 -119.71443093
112  36.77800514 -119.71443093  36.77803086 -119.71433787
111  36.77800072 -119.71426971
111  36.77804048 -119.71433922
112  36.77801029 -119.71454499  36.77793373 -119.71463733
111  36.77801029 -119.71454499
111  36.77792539 -119.71462365
111  36.77791269 -119.71463473
111  36.77786531 -119.71467607
111  36.77784115 -119.71469832
111  36.77791522 -119.71483145
111  36.77794289 -119.71481117
111  36.77799017 -119.71476892
111  36.77800341 -119.71475709
111  36.77852226 -119.71430245
111  36.77856338 -119.71437432
111  36.77802947 -119.71483688 20
111  36.77812119 -119.71499623
111  36.77812386 -119.71499387
111  36.77968558 -119.71361664
111  36.77971281 -119.71358790
112  36.77971281 -119.71358790  36.77972558 -119.71356978
111  36.77973928 -119.71354336
111  36.77943825 -119.71301185
111  36.77942606 -119.71294231
111  36.77942597 -119.71254733
111  36.78037770 -119.71170610
111  36.78176023 -119.71413512
111  36.77901092 -119.71656014
111  36.77898714 -119.71658086
111  36.77896324 -119.71660169 20
111  36.77840097 -119.71561688
111  36.77831769 -119.71573854
111  36.77842179 -119.71609515
111  36.77887196 -119.71694538
111  36.78178401 -119.72204687
111  36.78194217 -119.72198338
111  36.78198917 -119.72194124
111  36.78199464 -119.72191299
111  36.78257090 -119.72140695
112  36.78257090 -119.72140695  36.78263787 -119.72135604
111  36.78270450 -119.72133867
111  36.78367802 -119.72134347
111  36.78368090 -119.72088717
111  36.78373915 -119.72088679
111  36.78373936 -119.72085684
111  36.78403814 -119.72085628
111  36.78403501 -119.72050382
111  36.78373420 -119.72050833
111  36.78373240 -119.71938810
111  36.78359636 -119.71938822
111  36.78359667 -119.71932467
111  36.78367911 -119.71921894
111  36.78367677 -119.71838588
111  36.78505140 -119.71837735
111  36.78505450 -119.71891709
111  36.78508440 -119.71891765
111  36.78508716 -119.72041757
111  36.78453863 -119.72042112
111  36.78453947 -119.72076473
111  36.78507685 -119.72076187
111  36.78507739 -119.72134684
112  36.78507739 -119.72134684  36.78505817 -119.72162892
111  36.78485698 -119.72164546
111  36.78271362 -119.72165474
111  36.78213765 -119.72216383
111  36.78213300 -119.72215542
111  36.78212132 -119.72216287
111  36.78206664 -119.72221609
111  36.78197015 -119.72236878
111  36.78455629 -119.72689993
111  36.78474647 -119.72673356
111  36.78476947 -119.72671045
111  36.78479234 -119.72668748
111  36.78484473 -119.72664032
111  36.78485982 -119.72666582
111  36.78512301 -119.72672008
111  36.78530845 -119.72655373
111  36.78538708 -119.72669389
111  36.78545541 -119.72663579
111  36.78537519 -119.72649278
111  36.78546651 -119.72641631
111  36.78555599 -119.72656666
111  36.78555008 -119.72657179
111  36.78561888 -119.72669355
111  36.78556299 -119.72674144
111  36.78546360 -119.72682661
111  36.78536380 -119.72691213
111  36.78530849 -119.72695953
111  36.78539377 -119.72710752
111  36.78540741 -119.72713407
111  36.78527112 -119.72725753
112  36.78521781 -119.72739008  36.78517222 -119.72745203
111  36.78521781 -119.72739008
112  36.78521781 -119.72739008  36.78521058 -119.72741831
111  36.78522101 -119.72744062
111  36.78524185 -119.72747625
111  36.78521843 -119.72749599
111  36.78519425 -119.72751638
111  36.78505661 -119.72763242
112  36.78505661 -119.72763242  36.78501689 -119.72767631
111  36.78500996 -119.72771975
111  36.78504763 -119.72779833
111  36.78593028 -119.72934602
111  36.78486694 -119.73028290
111  36.78440845 -119.73001920
111  36.78433249 -119.73009074
111  36.78581499 -119.73268750
111  36.78536836 -119.73308304
111  36.78388464 -119.73048929
111  36.78381722 -119.73054350
111  36.78389071 -119.73113813
111  36.78331835 -119.73164699
111  36.78286003 -119.73134326
111  36.78338256 -119.73225926
111  36.78332701 -119.73231058
111  36.78487630 -119.73502559
111  36.78442407 -119.73542089
111  36.78287961 -119.73270363
111  36.78278080 -119.73279004
111  36.78303355 -119.73340820
111  36.78232665 -119.73402755
111  36.78205639 -119.73355115
112  36.78205639 -119.73355115  36.78201864 -119.73349208
111  36.78196720 -119.73351555
111  36.78192543 -119.73354188
111  36.78171228 -119.73318301
112  36.78171228 -119.73318301  36.78176596 -119.73311478
111  36.78174426 -119.73304705
111  36.78121507 -119.73207642
112  36.78121507 -119.73207642  36.78117835 -119.73207542
111  36.78113385 -119.73209520
111  36.78108071 -119.73214149
111  36.78103303 -119.73218958
