A
1000 Generated by WorldEditor

1      3 1 0 KPAO Palo Alto
111  37.45662554 -122.11409427
111  37.45666021 -122.11402945
111  37.45672396 -122.11402804
113  37.45675640 -122.11409497
110 2 0.00 0.0000 New Taxiway 152
111  37.45689563 -122.11386962
111  37.45697115 -122.11380317
111  37.45699872 -122.11383186
113  37.45692080 -122.11391190
110 2 0.00 0.0000 New Taxiway 151
111  37.45723848 -122.11380770
111  37.45723848 -122.11380770
111  37.45712100 -122.11380166
111  37.45707305 -122.11386207
111  37.45702390 -122.11379864
111  37.45707784 -122.11373371
112  37.45707665 -122.11367481  37.45708264 -122.11366575
112  37.45718094 -122.11361138  37.45719293 -122.11361591
113  37.45723968 -122.11366726
110 2 0.00 0.0000 New Taxiway 150
111  37.45679129 -122.11436235
111  37.45678602 -122.11431592
112  37.45717742 -122.11386708  37.45719848 -122.11385382
112  37.45723183 -122.11388919  37.45724236 -122.11390025
111  37.45722656 -122.11397542
113  37.45686500 -122.11435572
110 2 0.00 0.0000 New Taxiway 149
111  37.45834365 -122.11430784
111  37.45834308 -122.11420929
111  37.45885852 -122.11421760
111  37.45886018 -122.11431561
111  37.45877975 -122.11431395
113  37.45841184 -122.11430730
110 2 0.00 0.0000 New Taxiway 133
111  37.45742447 -122.11280952
111  37.45739871 -122.11278207
111  37.45743536 -122.11272840
111  37.45746509 -122.11275711
113  37.45742546 -122.11281701
110 2 0.00 0.0000 New Taxiway 132
111  37.45736700 -122.11286818
111  37.45733134 -122.11282700
111  37.45736601 -122.11277957
111  37.45740663 -122.11282575
113  37.45736799 -122.11286943
110 1 0.00 0.0000 New Taxiway 157
111  37.45700129 -122.11482181
112  37.45684515 -122.11480751  37.45680889 -122.11482578
112  37.45672476 -122.11499572  37.45672186 -122.11508891
111  37.45672961 -122.11560943
111  37.45666550 -122.11561597 20
111  37.45666212 -122.11492937 20
112  37.45671645 -122.11479365  37.45676287 -122.11474797 20
112  37.45695316 -122.11470069  37.45700102 -122.11470618 20
113  37.45700248 -122.11470617
110 2 0.00 0.0000 New Taxiway 114
112  37.45761989 -122.11498810  37.45758508 -122.11500454
111  37.45755027 -122.11495703
112  37.45750530 -122.11484191  37.45749660 -122.11482729
112  37.45744873 -122.11478161  37.45744583 -122.11477613
111  37.45745743 -122.11476334
112  37.45758943 -122.11477247  37.45761409 -122.11477978
112  37.45766631 -122.11484556  37.45769097 -122.11489125
113  37.45766196 -122.11495338
110 1 0.00 0.0000 New Taxiway 113
112  37.45842450 -122.11513794  37.45836793 -122.11516169
112  37.45782006 -122.11514524  37.45767066 -122.11514342
112  37.45750607 -122.11503743  37.45745385 -122.11498444
112  37.45735957 -122.11482912  37.45733056 -122.11479806
111  37.45700129 -122.11482181
111  37.45700274 -122.11470486
112  37.45757091 -122.11470304  37.45759992 -122.11470304
112  37.45770001 -122.11474324  37.45772757 -122.11477065
111  37.45775223 -122.11487297
112  37.45775658 -122.11506302  37.45776093 -122.11507215
111  37.45825769 -122.11506119
111  37.45826015 -122.11501993
111  37.45778276 -122.11502715
111  37.45777949 -122.11481672
111  37.45818016 -122.11481567
111  37.45835021 -122.11481260
111  37.45834693 -122.11495701
111  37.45833956 -122.11497455
111  37.45833793 -122.11504572
112  37.45837756 -122.11504547  37.45843693 -122.11502766
111  37.45842718 -122.11494959
111  37.45837630 -122.11495671
111  37.45837347 -122.11452585
111  37.45855720 -122.11452585
113  37.45856003 -122.11496740
110 2 0.00 0.0000 New Taxiway 107
111  37.45896040 -122.11435241
111  37.45895876 -122.11434623
111  37.45895876 -122.11432972
111  37.45886460 -122.11433075
111  37.45886214 -122.11422142
111  37.45901608 -122.11421110
111  37.45901526 -122.11420182
111  37.45901608 -122.11416984
111  37.45931821 -122.11416159
113  37.45932394 -122.11435860
110 2 0.00 0.0000 New Taxiway 92
111  37.46014575 -122.11495881
111  37.46006278 -122.11513167
111  37.45891770 -122.11514720
111  37.45891320 -122.11504122
113  37.45891242 -122.11496357
110 2 0.00 0.0000 New Taxiway 93
111  37.45879733 -122.11503360
111  37.45888001 -122.11502995
111  37.45888291 -122.11508842
111  37.45885680 -122.11508842
111  37.45885390 -122.11516700
111  37.45881908 -122.11516883
111  37.45881763 -122.11508477
113  37.45879587 -122.11508842
110 2 0.00 0.0000 New Taxiway 90
111  37.45875547 -122.11525321
111  37.45861646 -122.11525564
111  37.45861646 -122.11513646
113  37.45875161 -122.11513646
110 2 0.00 321.7000 Parallel and apron (concrete)
111  37.46368984 -122.11775517 102
112  37.46354544 -122.11800484  37.46336651 -122.11828870 102
111  37.46316539 -122.11808366 102
111  37.46280905 -122.11774074 102
111  37.46274961 -122.11735372 102
111  37.46034001 -122.11495771
112  37.45771380 -122.11235614  37.45781295 -122.11233042 102
111  37.45784000 -122.11228730 102
111  37.45796791 -122.11207336
112  37.45814704 -122.11225152  37.45803593 -122.11218197 102
112  37.45796391 -122.11227486  37.45789213 -122.11239173 102
111  37.45797406 -122.11247515 102
111  37.46020247 -122.11468612
111  37.46043592 -122.11492085 102
111  37.46125348 -122.11573227
111  37.46145891 -122.11593455 102
112  37.46340545 -122.11785751  37.46345192 -122.11790331 102
112  37.46351603 -122.11780242  37.46359971 -122.11766206 102
113  37.46351790 -122.11758330
110 2 0.00 51.7000 Taxiway 1
112  37.46020458 -122.11468764  37.46027405 -122.11475846 102
112  37.46034621 -122.11463730  37.46042220 -122.11450639 102
111  37.46035381 -122.11443843
112  37.46060760 -122.11469144  37.46051170 -122.11459730 102
112  37.46043702 -122.11472087  37.46036122 -122.11484706 102
113  37.46043936 -122.11492332
110 2 0.00 51.7000 Taxiway 2
112  37.46124617 -122.11572334  37.46132517 -122.11580309 102
112  37.46140094 -122.11568029  37.46147695 -122.11555554 102
111  37.46138783 -122.11546841
112  37.46162402 -122.11569780  37.46155726 -122.11563271 102
112  37.46147509 -122.11576385  37.46140254 -122.11587892 102
113  37.46146504 -122.11594210
110 2 0.00 0.0000 New Taxiway 105
111  37.45895643 -122.11451797
111  37.45879340 -122.11451646
111  37.45878980 -122.11432769
113  37.45895883 -122.11433071
110 1 0.00 0.0000 Airport Outline
111  37.46033764 -122.11496010
111  37.46001930 -122.11496100
111  37.45997421 -122.11506649
111  37.45858202 -122.11508160
111  37.45857504 -122.11431249
111  37.45841265 -122.11431164
111  37.45833252 -122.11446058
111  37.45832982 -122.11479752
111  37.45774984 -122.11480289
111  37.45774925 -122.11461886
111  37.45671077 -122.11462660
111  37.45670603 -122.11553136
111  37.45506764 -122.11556861
111  37.45423850 -122.11537699
111  37.45423879 -122.11452217
111  37.45375611 -122.11426234
111  37.45363162 -122.11403196
111  37.45364646 -122.11386636
111  37.45396656 -122.11334620
111  37.45396454 -122.11303639
111  37.45456041 -122.11302774
111  37.45454550 -122.11217547
111  37.45468185 -122.11158926
111  37.45472169 -122.11118987
111  37.45472587 -122.11084780
111  37.45521255 -122.11087996
111  37.45562174 -122.11077034
111  37.45591456 -122.11078586
111  37.45615022 -122.11087470
111  37.45609593 -122.11105026
111  37.45647309 -122.11128285
111  37.45753532 -122.11233322
113  37.45771930 -122.11235816
110 2 0.00 0.0000 New Taxiway 201
111  37.45491868 -122.11096528
111  37.45485175 -122.11096822
111  37.45484941 -122.11099765
111  37.45475363 -122.11099765
111  37.45475282 -122.11096822
111  37.45462601 -122.11097066
111  37.45462408 -122.11085878
111  37.45470131 -122.11086121
111  37.45470131 -122.11082230
111  37.45479398 -122.11082230
111  37.45479591 -122.11086608
113  37.45491754 -122.11086365
110 1 0.00 0.0000 New Taxiway 200
111  37.45505579 -122.11075892
111  37.45484251 -122.11075568
111  37.45483565 -122.11016361
113  37.45505322 -122.11016577
110 1 0.00 0.0000 New Taxiway 187
112  37.45672873 -122.11569365  37.45671371 -122.11577566
112  37.45579987 -122.11575929  37.45572976 -122.11577821
111  37.45456139 -122.11573177
112  37.45409227 -122.11556894  37.45399212 -122.11550586
112  37.45382373 -122.11471707  37.45376948 -122.11460891
111  37.45320419 -122.11396433
111  37.45328109 -122.11394377
112  37.45360601 -122.11430138  37.45369836 -122.11440478
112  37.45388990 -122.11470206  37.45391726 -122.11473222
112  37.45416918 -122.11554475  37.45427664 -122.11560949
112  37.45468312 -122.11565069  37.45475787 -122.11567129
111  37.45567477 -122.11565659
112  37.45648773 -122.11562674  37.45670265 -122.11561497
113  37.45672911 -122.11560785
130 Airport Boundary 205
111  37.46423062 -122.11915012
111  37.46072568 -122.11629541
111  37.45932898 -122.11606305
111  37.45379487 -122.11626222
111  37.45274075 -122.11367307
111  37.45421651 -122.10962337
111  37.45585040 -122.10985573
111  37.45911816 -122.11188058
113  37.46494215 -122.11765638
120 Linear Feature 195
111  37.45496571 -122.11536776 20
111  37.45496571 -122.11536776 20
111  37.45492220 -122.11536776 20
115  37.45492220 -122.11536776
120 Linear Feature 194
111  37.45494577 -122.11541646 20
111  37.45494577 -122.11541646 20
111  37.45494297 -122.11536825 20
115  37.45494297 -122.11536825
120 Linear Feature 195
111  37.45485759 -122.11537992 20
111  37.45485759 -122.11537992 20
111  37.45481408 -122.11537992 20
115  37.45481408 -122.11537992
120 Linear Feature 194
111  37.45483766 -122.11542861 20
111  37.45483766 -122.11542861 20
111  37.45483486 -122.11538041 20
115  37.45483486 -122.11538041
120 Linear Feature 195
111  37.45474562 -122.11537992 20
111  37.45474562 -122.11537992 20
111  37.45470210 -122.11537992 20
115  37.45470210 -122.11537992
120 Linear Feature 194
111  37.45472568 -122.11542861 20
111  37.45472568 -122.11542861 20
111  37.45472288 -122.11538041 20
115  37.45472288 -122.11538041
120 Linear Feature 195
111  37.45464522 -122.11537992 20
111  37.45464522 -122.11537992 20
111  37.45460171 -122.11537992 20
115  37.45460171 -122.11537992
120 Linear Feature 194
111  37.45462528 -122.11542861 20
111  37.45462528 -122.11542861 20
111  37.45462249 -122.11538041 20
115  37.45462249 -122.11538041
120 Linear Feature 195
111  37.45386524 -122.11374317 20
111  37.45386524 -122.11374317 20
111  37.45382173 -122.11374317 20
115  37.45382173 -122.11374317
120 Linear Feature 194
111  37.45384530 -122.11379186 20
111  37.45384530 -122.11379186 20
111  37.45384250 -122.11374366 20
115  37.45384250 -122.11374366
120 Linear Feature 195
111  37.45389613 -122.11410797 20
111  37.45389613 -122.11410797 20
111  37.45385262 -122.11410797 20
115  37.45385262 -122.11410797
120 Linear Feature 194
111  37.45387619 -122.11415667 20
111  37.45387619 -122.11415667 20
111  37.45387339 -122.11410847 20
115  37.45387339 -122.11410847
120 Linear Feature 195
111  37.45395607 -122.11374143 20
111  37.45395607 -122.11374143 20
111  37.45391256 -122.11374143 20
115  37.45391256 -122.11374143
120 Linear Feature 194
111  37.45393613 -122.11379013 20
111  37.45393613 -122.11379013 20
111  37.45393333 -122.11374192 20
115  37.45393333 -122.11374192
120 Linear Feature 195
111  37.45400184 -122.11411209 20
111  37.45400184 -122.11411209 20
111  37.45395833 -122.11411209 20
115  37.45395833 -122.11411209
120 Linear Feature 194
111  37.45398190 -122.11416079 20
111  37.45398190 -122.11416079 20
111  37.45397910 -122.11411258 20
115  37.45397910 -122.11411258
120 Linear Feature 195
111  37.45424852 -122.11411054 20
111  37.45424852 -122.11411054 20
111  37.45420501 -122.11411054 20
115  37.45420501 -122.11411054
120 Linear Feature 194
111  37.45422858 -122.11415924 20
111  37.45422858 -122.11415924 20
111  37.45422578 -122.11411103 20
115  37.45422578 -122.11411103
120 Linear Feature 195
111  37.45412611 -122.11411441 20
111  37.45412611 -122.11411441 20
111  37.45408259 -122.11411441 20
115  37.45408259 -122.11411441
120 Linear Feature 194
111  37.45410617 -122.11416311 20
111  37.45410617 -122.11416311 20
111  37.45410337 -122.11411491 20
115  37.45410337 -122.11411491
120 Linear Feature 192
111  37.45423194 -122.11417990 20
111  37.45434667 -122.11406694 20
115  37.45384153 -122.11407193
120 Linear Feature 191
111  37.45376949 -122.11399130 20
111  37.45456651 -122.11399861 20
112  37.45495252 -122.11370990  37.45502794 -122.11360758 20
115  37.45497539 -122.11367895
120 Linear Feature 189
111  37.45487006 -122.11370263 20
111  37.45455812 -122.11392183 20
115  37.45394956 -122.11392516
120 Linear Feature 188
111  37.45487006 -122.11370445 20
116  37.45474532 -122.11349798  37.45471341 -122.11341027
120 Linear Feature 178
111  37.45501191 -122.11147544 20
116  37.45502648 -122.11128648  37.45498955 -122.11116735
120 Linear Feature 177
111  37.45502611 -122.11129063 20
116  37.45476501 -122.11112452  37.45473468 -122.11088199
120 Linear Feature 176
111  37.45512494 -122.11138377 20
112  37.45502648 -122.11128648  37.45498208 -122.11115759 20
112  37.45514618 -122.11097761  37.45523306 -122.11094356 20
112  37.45573082 -122.11086086  37.45591809 -122.11088032 20
115  37.45607895 -122.11091972
120 Linear Feature 175
111  37.45502386 -122.11368472 20
112  37.45495377 -122.11351110  37.45495377 -122.11337867 20
111  37.45495118 -122.11169507 20
116  37.45502648 -122.11146159  37.45508440 -122.11142268
120 Linear Feature 174
111  37.45530641 -122.11391045 20
112  37.45524568 -122.11377214  37.45524801 -122.11367797 20
111  37.45524334 -122.11142892 20
116  37.45537182 -122.11127001  37.45549797 -122.11124352
120 Linear Feature 173
111  37.45534082 -122.11393111 20
112  37.45465914 -122.11312214  37.45456569 -122.11267484 20
111  37.45464548 -122.11200203 20
116  37.45545894 -122.11125302  37.45601726 -122.11117945
120 Linear Feature 168
111  37.45595882 -122.11411303 20
112  37.45583352 -122.11388295  37.45583352 -122.11368498 20
111  37.45583140 -122.11141142 20
116  37.45597581 -122.11132046  37.45610748 -122.11137129
120 Linear Feature 167
111  37.45626039 -122.11406220 20
112  37.45613084 -122.11388830  37.45612872 -122.11373046 20
111  37.45612872 -122.11158531 20
116  37.45624552 -122.11149435  37.45631773 -122.11155321
120 Linear Feature 166
111  37.45620800 -122.11408628 20
112  37.45571954 -122.11407290  37.45551566 -122.11399532 20
115  37.45534082 -122.11393111
120 Linear Feature 165
111  37.45641487 -122.11190691 20
116  37.45656648 -122.11180009  37.45670010 -122.11191662
120 Linear Feature 164
111  37.45689622 -122.11210761 20
111  37.45624351 -122.11148609 20
112  37.45587266 -122.11129186  37.45570820 -122.11126920 20
116  37.45545894 -122.11125302  37.45531247 -122.11125302
120 Linear Feature 163
111  37.45661473 -122.11247195 20
115  37.45661494 -122.11244909
120 Linear Feature 162
111  37.45660088 -122.11246093 20
115  37.45661480 -122.11246093
120 Linear Feature 163
111  37.45602947 -122.11202632 20
115  37.45602968 -122.11200345
120 Linear Feature 162
111  37.45601562 -122.11201529 20
115  37.45602954 -122.11201529
120 Linear Feature 163
111  37.45573341 -122.11163926 20
115  37.45573363 -122.11161639
120 Linear Feature 162
111  37.45571957 -122.11162823 20
115  37.45573349 -122.11162823
120 Linear Feature 163
111  37.45573598 -122.11214100 20
115  37.45573620 -122.11211814
120 Linear Feature 162
111  37.45572214 -122.11212998 20
115  37.45573605 -122.11212998
120 Linear Feature 163
111  37.45543619 -122.11183336 20
115  37.45543641 -122.11181050
120 Linear Feature 162
111  37.45542235 -122.11182234 20
115  37.45543627 -122.11182234
120 Linear Feature 163
111  37.45486126 -122.11215396 20
115  37.45486147 -122.11213109
120 Linear Feature 162
111  37.45484741 -122.11214293 20
115  37.45486133 -122.11214293
120 Linear Feature 163
111  37.45486126 -122.11248738 20
115  37.45486147 -122.11246451
120 Linear Feature 162
111  37.45484741 -122.11247635 20
115  37.45486133 -122.11247635
120 Linear Feature 163
111  37.45514136 -122.11192413 20
115  37.45514157 -122.11190126
120 Linear Feature 162
111  37.45512751 -122.11191310 20
115  37.45514143 -122.11191310
120 Linear Feature 163
111  37.45514136 -122.11289525 20
115  37.45514157 -122.11287238
120 Linear Feature 162
111  37.45512751 -122.11288422 20
115  37.45514143 -122.11288422
120 Linear Feature 163
111  37.45543944 -122.11217338 20
115  37.45543965 -122.11215052
120 Linear Feature 162
111  37.45542559 -122.11216236 20
115  37.45543951 -122.11216236
120 Linear Feature 163
111  37.45543661 -122.11312410 20
115  37.45543683 -122.11310124
120 Linear Feature 162
111  37.45542277 -122.11311308 20
115  37.45543669 -122.11311308
120 Linear Feature 163
111  37.45573341 -122.11324161 20
115  37.45573363 -122.11321874
120 Linear Feature 162
111  37.45571957 -122.11323058 20
115  37.45573349 -122.11323058
120 Linear Feature 163
111  37.45602636 -122.11313478 20
115  37.45602657 -122.11311192
120 Linear Feature 162
111  37.45601251 -122.11312376 20
115  37.45602643 -122.11312376
120 Linear Feature 163
111  37.45631864 -122.11215949 20
115  37.45631885 -122.11213663
120 Linear Feature 162
111  37.45630479 -122.11214846 20
115  37.45631871 -122.11214846
120 Linear Feature 163
111  37.45602947 -122.11250011 20
115  37.45602968 -122.11247725
120 Linear Feature 162
111  37.45601562 -122.11248908 20
115  37.45602954 -122.11248908
120 Linear Feature 163
111  37.45573598 -122.11261480 20
115  37.45573620 -122.11259193
120 Linear Feature 162
111  37.45572214 -122.11260377 20
115  37.45573605 -122.11260377
120 Linear Feature 163
111  37.45486126 -122.11296117 20
115  37.45486147 -122.11293830
120 Linear Feature 162
111  37.45484741 -122.11295014 20
115  37.45486133 -122.11295014
120 Linear Feature 163
111  37.45514136 -122.11239792 20
115  37.45514157 -122.11237506
120 Linear Feature 162
111  37.45512751 -122.11238690 20
115  37.45514143 -122.11238690
120 Linear Feature 163
111  37.45514136 -122.11336904 20
115  37.45514157 -122.11334617
120 Linear Feature 162
111  37.45512751 -122.11335801 20
115  37.45514143 -122.11335801
120 Linear Feature 163
111  37.45543944 -122.11264718 20
115  37.45543965 -122.11262431
120 Linear Feature 162
111  37.45542559 -122.11263615 20
115  37.45543951 -122.11263615
120 Linear Feature 163
111  37.45443849 -122.11466918 20
115  37.45443871 -122.11464631
120 Linear Feature 162
111  37.45442464 -122.11465815 20
115  37.45443856 -122.11465815
120 Linear Feature 163
111  37.45470104 -122.11504010 20
115  37.45470125 -122.11501724
120 Linear Feature 162
111  37.45468719 -122.11502907 20
115  37.45470111 -122.11502907
120 Linear Feature 163
111  37.45469138 -122.11440047 20
115  37.45469160 -122.11437761
120 Linear Feature 162
111  37.45467754 -122.11438945 20
115  37.45469145 -122.11438945
120 Linear Feature 163
111  37.45496940 -122.11425942 20
115  37.45496961 -122.11423655
120 Linear Feature 162
111  37.45495555 -122.11424839 20
115  37.45496947 -122.11424839
120 Linear Feature 163
111  37.45496940 -122.11488202 20
115  37.45496961 -122.11485916
120 Linear Feature 162
111  37.45495555 -122.11487099 20
115  37.45496947 -122.11487099
120 Linear Feature 163
111  37.45543661 -122.11359790 20
115  37.45543683 -122.11357503
120 Linear Feature 162
111  37.45542277 -122.11358687 20
115  37.45543669 -122.11358687
120 Linear Feature 163
111  37.45573341 -122.11371540 20
115  37.45573363 -122.11369253
120 Linear Feature 162
111  37.45571957 -122.11370437 20
115  37.45573349 -122.11370437
120 Linear Feature 163
111  37.45602636 -122.11360858 20
115  37.45602657 -122.11358571
120 Linear Feature 162
111  37.45601251 -122.11359755 20
115  37.45602643 -122.11359755
120 Linear Feature 163
111  37.45631864 -122.11263328 20
115  37.45631885 -122.11261042
120 Linear Feature 162
111  37.45630479 -122.11262226 20
115  37.45631871 -122.11262226
120 Linear Feature 163
111  37.45631630 -122.11358676 20
115  37.45631651 -122.11356389
120 Linear Feature 162
111  37.45630245 -122.11357573 20
115  37.45631637 -122.11357573
120 Linear Feature 163
111  37.45661593 -122.11326025 20
115  37.45661614 -122.11323739
120 Linear Feature 162
111  37.45660208 -122.11324922 20
115  37.45661600 -122.11324922
120 Linear Feature 163
111  37.45693179 -122.11278508 20
115  37.45693200 -122.11276222
120 Linear Feature 162
111  37.45691794 -122.11277406 20
115  37.45693186 -122.11277406
120 Linear Feature 163
111  37.45661371 -122.11278578 20
115  37.45661392 -122.11276291
120 Linear Feature 162
111  37.45659986 -122.11277475 20
115  37.45661378 -122.11277475
120 Linear Feature 163
111  37.45661491 -122.11357407 20
115  37.45661512 -122.11355121
120 Linear Feature 162
111  37.45660106 -122.11356305 20
115  37.45661498 -122.11356305
120 Linear Feature 163
111  37.45693077 -122.11309891 20
115  37.45693098 -122.11307604
120 Linear Feature 162
111  37.45691692 -122.11308788 20
115  37.45693084 -122.11308788
120 Linear Feature 163
111  37.45661473 -122.11216143 20
115  37.45661494 -122.11213857
120 Linear Feature 162
111  37.45660088 -122.11215041 20
115  37.45661480 -122.11215041
120 Linear Feature 163
111  37.45661593 -122.11294973 20
115  37.45661614 -122.11292687
120 Linear Feature 162
111  37.45660208 -122.11293870 20
115  37.45661600 -122.11293870
120 Linear Feature 163
111  37.45693179 -122.11247456 20
115  37.45693200 -122.11245170
120 Linear Feature 162
111  37.45691794 -122.11246354 20
115  37.45693186 -122.11246354
120 Linear Feature 163
111  37.45661473 -122.11231440 20
115  37.45661494 -122.11229154
120 Linear Feature 162
111  37.45660088 -122.11230337 20
115  37.45661480 -122.11230337
120 Linear Feature 163
111  37.45602947 -122.11171555 20
111  37.45602947 -122.11171555 20
111  37.45602968 -122.11169268 20
115  37.45602968 -122.11169268
120 Linear Feature 162
111  37.45601562 -122.11170452 20
111  37.45601562 -122.11170452 20
111  37.45602954 -122.11170452 20
115  37.45602954 -122.11170452
120 Linear Feature 163
111  37.45573598 -122.11183023 20
111  37.45573598 -122.11183023 20
111  37.45573620 -122.11180737 20
115  37.45573620 -122.11180737
120 Linear Feature 162
111  37.45572214 -122.11181921 20
111  37.45572214 -122.11181921 20
111  37.45573605 -122.11181921 20
115  37.45573605 -122.11181921
120 Linear Feature 163
111  37.45573341 -122.11293084 20
111  37.45573341 -122.11293084 20
111  37.45573363 -122.11290797 20
115  37.45573363 -122.11290797
120 Linear Feature 162
111  37.45571957 -122.11291981 20
111  37.45571957 -122.11291981 20
111  37.45573349 -122.11291981 20
115  37.45573349 -122.11291981
120 Linear Feature 163
111  37.45602636 -122.11282401 20
111  37.45602636 -122.11282401 20
111  37.45602657 -122.11280115 20
115  37.45602657 -122.11280115
120 Linear Feature 162
111  37.45601251 -122.11281299 20
111  37.45601251 -122.11281299 20
111  37.45602643 -122.11281299 20
115  37.45602643 -122.11281299
120 Linear Feature 163
111  37.45631864 -122.11184872 20
111  37.45631864 -122.11184872 20
111  37.45631885 -122.11182585 20
115  37.45631885 -122.11182585
120 Linear Feature 162
111  37.45630479 -122.11183769 20
111  37.45630479 -122.11183769 20
111  37.45631871 -122.11183769 20
115  37.45631871 -122.11183769
120 Linear Feature 163
111  37.45602947 -122.11186877 20
111  37.45602947 -122.11186877 20
111  37.45602968 -122.11184590 20
115  37.45602968 -122.11184590
120 Linear Feature 162
111  37.45601562 -122.11185774 20
111  37.45601562 -122.11185774 20
111  37.45602954 -122.11185774 20
115  37.45602954 -122.11185774
120 Linear Feature 163
111  37.45573341 -122.11148171 20
111  37.45573341 -122.11148171 20
111  37.45573363 -122.11145884 20
115  37.45573363 -122.11145884
120 Linear Feature 162
111  37.45571957 -122.11147068 20
111  37.45571957 -122.11147068 20
111  37.45573349 -122.11147068 20
115  37.45573349 -122.11147068
120 Linear Feature 163
111  37.45573598 -122.11198345 20
111  37.45573598 -122.11198345 20
111  37.45573620 -122.11196059 20
115  37.45573620 -122.11196059
120 Linear Feature 162
111  37.45572214 -122.11197243 20
111  37.45572214 -122.11197243 20
111  37.45573605 -122.11197243 20
115  37.45573605 -122.11197243
120 Linear Feature 163
111  37.45543751 -122.11150638 20
111  37.45543751 -122.11150638 20
111  37.45543751 -122.11150638 20
111  37.45543751 -122.11150638 20
111  37.45543773 -122.11148351 20
115  37.45543773 -122.11148351
120 Linear Feature 162
111  37.45542366 -122.11149535 20
111  37.45542366 -122.11149535 20
111  37.45542366 -122.11149535 20
111  37.45542366 -122.11149535 20
111  37.45543758 -122.11149535 20
115  37.45543758 -122.11149535
120 Linear Feature 163
111  37.45543619 -122.11167581 20
111  37.45543619 -122.11167581 20
111  37.45543619 -122.11167581 20
111  37.45543619 -122.11167581 20
111  37.45543641 -122.11165295 20
115  37.45543641 -122.11165295
120 Linear Feature 162
111  37.45542235 -122.11166479 20
111  37.45542235 -122.11166479 20
111  37.45542235 -122.11166479 20
111  37.45542235 -122.11166479 20
111  37.45543627 -122.11166479 20
