I
1100 Generated by WorldEditor 1.6.1r1

1     20 0 0 XBRE Breighton
111  53.80262733 -000.91976026
113  53.80281241 -000.91960947
110 3 0.00 0.0000 GA Parking Grass 1
111  53.80261393 -000.91970146
111  53.80250426 -000.91867500
112  53.80251408 -000.91852626  53.80253482 -000.91848615
111  53.80257663 -000.91843734
112  53.80265422 -000.91854596  53.80266590 -000.91859788
111  53.80270474 -000.91873401
113  53.80279626 -000.91955527
110 3 0.00 0.0000 Signal Square Grass
111  53.80234596 -000.91711933
111  53.80234236 -000.91701060
111  53.80234577 -000.91700948
111  53.80234500 -000.91698222
111  53.80231370 -000.91698576
111  53.80231038 -000.91689623
111  53.80247617 -000.91686640
111  53.80249078 -000.91707447
113  53.80247767 -000.91709440
110 3 0.00 0.0000 Main Grass Area
111  53.80335840 -000.92291208
111  53.80363309 -000.92281439
111  53.80366459 -000.92306667
111  53.80281350 -000.92309003
111  53.80258416 -000.92089201
111  53.80257828 -000.92084567
112  53.80257784 -000.92076572  53.80258477 -000.92072460
112  53.80262245 -000.92065645  53.80263566 -000.92063584
112  53.80266408 -000.92054530  53.80267066 -000.92050083
111  53.80266279 -000.92042450
111  53.80261621 -000.91997456
111  53.80261986 -000.91995894
112  53.80271835 -000.91999644  53.80277349 -000.91998776
112  53.80288066 -000.91985022  53.80291873 -000.91975357
111  53.80289133 -000.91955052
111  53.80288357 -000.91947984
111  53.80198346 -000.91145590
112  53.80214559 -000.91146670  53.80223967 -000.91150803
111  53.80231118 -000.91166408
111  53.80237851 -000.91158306
111  53.80238781 -000.91163913
111  53.80239187 -000.91174646
113  53.80211720 -000.91183938
110 3 0.00 0.0000 East End
111  53.80237852 -000.91158306
112  53.80217373 -000.91132609  53.80209748 -000.91127451
111  53.80195280 -000.91132899
111  53.80191503 -000.91134385
111  53.80185952 -000.91137495
111  53.80171210 -000.91145876
111  53.80170258 -000.91143738
113  53.80222236 -000.91097642
110 3 0.00 0.0000 Flying School Grass
111  53.80189123 -000.91319517
111  53.80188822 -000.91302912
111  53.80179034 -000.91303607
111  53.80173171 -000.91274953
111  53.80170683 -000.91258260
111  53.80162191 -000.91236394
111  53.80164279 -000.91233849
112  53.80169198 -000.91246289  53.80173939 -000.91258483
112  53.80186138 -000.91288254  53.80192937 -000.91305804
113  53.80196963 -000.91318846
110 1 0.00 0.0000 End Loop
112  53.80214560 -000.91146670  53.80205161 -000.91142575
111  53.80198346 -000.91145590
111  53.80189828 -000.91151445
111  53.80191186 -000.91163860
112  53.80186429 -000.91159331  53.80183168 -000.91156754
112  53.80174862 -000.91166866  53.80169502 -000.91175603
112  53.80167681 -000.91195647  53.80168500 -000.91209884
111  53.80197436 -000.91280767
111  53.80207759 -000.91310638
111  53.80220945 -000.91427958
112  53.80203137 -000.91326131  53.80198125 -000.91304650
112  53.80167680 -000.91230551  53.80161128 -000.91211511
112  53.80160018 -000.91175591  53.80161595 -000.91166512
112  53.80182698 -000.91139926  53.80190621 -000.91133047
112  53.80217380 -000.91132552  53.80226990 -000.91138757
111  53.80237853 -000.91158303
113  53.80231116 -000.91166406
110 1 0.00 0.0000 Defunct Runway
111  53.80288354 -000.91947979
111  53.80279622 -000.91955529
111  53.80257130 -000.91753641
111  53.80226143 -000.91477454
111  53.80223935 -000.91457327
111  53.80220809 -000.91426961
111  53.80207745 -000.91310625
111  53.80191143 -000.91163860
111  53.80189828 -000.91151443
113  53.80198347 -000.91145591
110 1 0.00 0.0000 Taxiway 1
111  53.80289133 -000.91955055
112  53.80288065 -000.91985018  53.80284189 -000.91995193
112  53.80271784 -000.91999704  53.80266334 -000.92000560
111  53.80261986 -000.91995893
111  53.80256981 -000.91990448
111  53.80246086 -000.91900468
111  53.80243465 -000.91877413
112  53.80242442 -000.91860668  53.80242251 -000.91849725
112  53.80246168 -000.91841087  53.80247344 -000.91838168
112  53.80257110 -000.91823387  53.80259683 -000.91814892
111  53.80262117 -000.91798394
111  53.80265336 -000.91827296
112  53.80260398 -000.91839941  53.80257712 -000.91844094
112  53.80251408 -000.91852561  53.80249381 -000.91856507
111  53.80250427 -000.91867502
111  53.80261492 -000.91971143
112  53.80264994 -000.91981815  53.80266815 -000.91984661
112  53.80272277 -000.91985609  53.80275462 -000.91985697
112  53.80281006 -000.91976458  53.80283114 -000.91971474
111  53.80281241 -000.91960944
111  53.80279626 -000.91955527
113  53.80288353 -000.91947978
110 2 0.00 0.0000 New Taxiway 86
111  53.80203569 -000.91641122
111  53.80226205 -000.91637005
111  53.80228050 -000.91665397
111  53.80216376 -000.91667454
113  53.80205497 -000.91669372
110 1 0.00 0.0000 Fuel and Hangars
111  53.80257132 -000.91753640
111  53.80252926 -000.91755023
111  53.80251510 -000.91741533
111  53.80237474 -000.91745490
112  53.80233948 -000.91742219  53.80232162 -000.91738263
112  53.80231366 -000.91719687  53.80231539 -000.91713658
111  53.80235097 -000.91711681
111  53.80247795 -000.91709508
111  53.80249078 -000.91707450
111  53.80247617 -000.91686639
111  53.80231038 -000.91689623
111  53.80229534 -000.91690044
111  53.80228050 -000.91665397
111  53.80226205 -000.91637005
111  53.80224528 -000.91603076
113  53.80239871 -000.91599777
111  53.80250666 -000.91730543
111  53.80249709 -000.91719766
111  53.80239643 -000.91721899
111  53.80238265 -000.91725107
111  53.80238741 -000.91731045
113  53.80240319 -000.91733261
130 Airport Boundary 141
111  53.80247743 -000.91160958
111  53.80371796 -000.92314252
111  53.80260910 -000.92318408
111  53.80240554 -000.92051384
111  53.80224292 -000.92050170
111  53.80208073 -000.91875792
111  53.80185884 -000.91768282
111  53.80183535 -000.91719519
111  53.80201862 -000.91716833
111  53.80191190 -000.91544915
111  53.80176600 -000.91546967
111  53.80174896 -000.91300545
111  53.80145023 -000.91192011
111  53.80156530 -000.91145350
113  53.80223092 -000.91092012
14  53.80233132 -000.91701155  29.53 0 Tower View
1300  53.80245780 -000.91767207  26.20 tie_down props|fighters Grass Parking 3
1301 A general_aviation 
1300  53.80253554 -000.91819092  41.14 tie_down props|fighters Grass Parking 1
1301 A general_aviation 
1300  53.80249348 -000.91791604  16.99 tie_down props|fighters Grass Parking 2
1301 A general_aviation 
1300  53.80221042 -000.91619152   6.76 hangar props Hangar 2
1301 A none 
1300  53.80223255 -000.91651860   6.76 hangar props Hangar 1
1301 A none 
1300  53.80201002 -000.91322863   1.27 tie_down props School Parking
1301 A general_aviation 
1300  53.80233451 -000.91609951 -83.35 tie_down props|fighters Company Parking
1301 A general_aviation 
1300  53.80159270 -000.91192099   0.00 tie_down props|fighters Loop Parking
1301 A general_aviation 
19  53.80167495 -000.91144987 0 WS2
19  53.80262143 -000.91969294 1 WS1
54 12980 Breighton Radio
99
