I
1050 Generated by WorldEditor 2.1.0r1

1    669 0 0 K26 Carrollton Memorial
111  39.31295164 -093.50491295
111  39.31295158 -093.50504024
113  39.31239628 -093.50504090
110 1 0.00 0.0000 New Taxiway 30
111  39.31204151 -093.50649483
112  39.31216815 -093.50632115  39.31216649 -093.50620678
111  39.31216815 -093.50632115
111  39.31216661 -093.50613498
111  39.31215776 -093.50507122
111  39.31222491 -093.50506984
111  39.31223505 -093.50613292
111  39.31223672 -093.50630819
112  39.31223672 -093.50630819  39.31224871 -093.50646247
113  39.31236840 -093.50647978
130 Airport Boundary 29
111  39.31313279 -093.50519156
111  39.31235775 -093.50520870
111  39.31239604 -093.50639287
111  39.31533851 -093.50632564
111  39.31551195 -093.50622486
111  39.31554855 -093.50606135
111  39.31581269 -093.50605313
111  39.31581110 -093.50621766
111  39.31592328 -093.50636986
111  39.31659290 -093.50634463
111  39.31663824 -093.50663874
111  39.31645367 -093.50669530
111  39.30809253 -093.50681621
111  39.30810380 -093.50654630
111  39.30830071 -093.50655058
111  39.30839751 -093.50652316
111  39.30849165 -093.50642291
111  39.30851552 -093.50626610
111  39.30857851 -093.50618813
111  39.30875287 -093.50620013
111  39.30888083 -093.50635179
111  39.30905586 -093.50641863
111  39.31206434 -093.50638385
111  39.31205449 -093.50531760
111  39.31189934 -093.50531555
111  39.31176250 -093.50536182
111  39.31169567 -093.50534331
111  39.31146177 -093.50524974
111  39.31123741 -093.50522814
111  39.31122353 -093.50422619
111  39.31230427 -093.50415833
111  39.31230522 -093.50425581
113  39.31310122 -093.50424311
120 Linear Feature 42
111  39.31179697 -093.50457783 51
115  39.31186543 -093.50457883
120 Linear Feature 41
111  39.31149149 -093.50510777 51
115  39.31143238 -093.50510843
120 Linear Feature 41
111  39.31161645 -093.50510845 51
115  39.31155734 -093.50510912
120 Linear Feature 41
111  39.31174408 -093.50510754 51
115  39.31168497 -093.50510820
120 Linear Feature 41
111  39.31186957 -093.50510719 51
115  39.31181047 -093.50510786
120 Linear Feature 41
111  39.31199747 -093.50510719 51
115  39.31193836 -093.50510786
120 Linear Feature 40
111  39.31146129 -093.50506598 51
115  39.31146098 -093.50516649
120 Linear Feature 40
111  39.31158625 -093.50506667 51
115  39.31158594 -093.50516718
120 Linear Feature 40
111  39.31171388 -093.50506575 51
115  39.31171357 -093.50516626
120 Linear Feature 40
111  39.31183938 -093.50506541 51
115  39.31183907 -093.50516592
120 Linear Feature 40
111  39.31196727 -093.50506541 51
115  39.31196696 -093.50516592
120 Linear Feature 38
111  39.31239345 -093.50479129 55
115  39.31239628 -093.50504090
120 Linear Feature 37
111  39.31216661 -093.50613498 54
115  39.31223505 -093.50613292
120 Linear Feature 36
111  39.31286541 -093.50654324 51
111  39.31231048 -093.50655248
112  39.31231048 -093.50655248  39.31221936 -093.50653967 51
115  39.31220582 -093.50643454
120 Linear Feature 35
111  39.31146245 -093.50494963 51
111  39.31211764 -093.50494136 51
112  39.31219138 -093.50505612  39.31219298 -093.50516597
111  39.31219138 -093.50505612 51
111  39.31220582 -093.50643454 51
112  39.31210039 -093.50655474  39.31201613 -093.50656069
111  39.31210039 -093.50655474 51
115  39.31151172 -093.50656535
14  39.31225988 -093.50474309  82.02 0 New Tower Viewpoint 5
1300  39.31245612 -093.50477391 -90.42 hangar props Hangar 02
1301 A none 
1300  39.31282979 -093.50476841 -90.42 hangar props Hangar 01
1301 A none 
1300  39.31157412 -093.50457989 179.04 hangar props Hangar 06
1301 A none 
1300  39.31187031 -093.50443104 179.04 hangar props Hangar 05
1301 A none 
1300  39.31186791 -093.50472341 179.04 hangar props Hangar 03
1301 A none 
1300  39.31186897 -093.50457843 179.04 hangar props Hangar 04
1301 A none 
1300  39.31146129 -093.50506598  90.00 tie_down props GA 05
1301 A general_aviation 
1300  39.31158625 -093.50506667  90.00 tie_down props GA 04
1301 A general_aviation 
1300  39.31171388 -093.50506575  90.00 tie_down props GA 03
1301 A general_aviation 
1300  39.31183938 -093.50506541  90.00 tie_down props GA 02
1301 A general_aviation 
1300  39.31196727 -093.50506541  90.00 tie_down props GA 01
1301 A general_aviation 
19  39.31174513 -093.50532797 0 New Windsock 4
99
