I
1050 Generated by WorldEditor

1   1381 1 0 SKVV VANGUARDIA
112  04.16472953 -073.61828515  04.16473692 -073.61828128 22
111  04.16475488 -073.61826653 22
111  04.16612015 -073.61716107 22
111  04.16644460 -073.61689490 22
115  04.16647072 -073.61687053
120 Linear Feature 84
111  04.16439609 -073.61846815 20
111  04.16450587 -073.61837704 20
112  04.16456127 -073.61834845  04.16458919 -073.61833154
111  04.16456127 -073.61834845
112  04.16456127 -073.61834845  04.16459485 -073.61832811 20
115  04.16471617 -073.61825491
120 Linear Feature 83
111  04.16422794 -073.61859985 20
111  04.16439001 -073.61847291 20
115  04.16439609 -073.61846815
120 Linear Feature 82
111  04.16387745 -073.61888336 20
115  04.16405814 -073.61873904
120 Linear Feature 81
111  04.16353565 -073.61916253 20
115  04.16370775 -073.61902232
120 Linear Feature 80
111  04.16318687 -073.61944106 20
115  04.16336465 -073.61930194
120 Linear Feature 79
111  04.16258098 -073.61945301 20
111  04.16275869 -073.61967222 20
111  04.16280168 -073.61972106 20
112  04.16284864 -073.61971550  04.16287348 -073.61969837 20
115  04.16301616 -073.61957995
120 Linear Feature 77
111  04.16617942 -073.61684829 21
115  04.16627579 -073.61676594
120 Linear Feature 88
111  04.16247363 -073.61942356 20
111  04.16273706 -073.61974655 20
112  04.16280300 -073.61979215  04.16283095 -073.61979889 20
111  04.16286708 -073.61978217 20
112  04.16443072 -073.61852330  04.16486353 -073.61817863
111  04.16443072 -073.61852330
112  04.16443072 -073.61852330  04.16448014 -073.61848394 20
112  04.16454893 -073.61842975  04.16457742 -073.61840748
111  04.16454893 -073.61842975
112  04.16454893 -073.61842975  04.16457456 -073.61840972 20
112  04.16459510 -073.61839468  04.16459959 -073.61839187
111  04.16459510 -073.61839468
112  04.16459510 -073.61839468  04.16464834 -073.61836140 20
111  04.16467573 -073.61834752 20
112  04.16475182 -073.61830579  04.16476208 -073.61829978 20
111  04.16649954 -073.61689179 20
112  04.16657856 -073.61680590  04.16658471 -073.61679160 20
112  04.16658076 -073.61669226  04.16655592 -073.61663621 20
111  04.16652203 -073.61659621 20
112  04.16646706 -073.61651148  04.16645205 -073.61646718 20
111  04.16653753 -073.61637626 20
111  04.16661341 -073.61631351 20
111  04.16686376 -073.61610493 20
111  04.16727974 -073.61576350 20
115  04.16758164 -073.61552542
120 Linear Feature 76
111  04.16626151 -073.61694655 20
111  04.16635792 -073.61686717 20
111  04.16627579 -073.61676594 20
111  04.16619216 -073.61666639 20
111  04.16609626 -073.61674578 20
111  04.16617942 -073.61684829 20
115  04.16626151 -073.61694655
120 Linear Feature 75
111  04.16595575 -073.61667656 51
112  04.16594164 -073.61662821  04.16594249 -073.61660119 51
115  04.16595877 -073.61658233
120 Linear Feature 74
111  04.16618392 -073.61654686 51
112  04.16617917 -073.61657351  04.16617392 -073.61658929 51
115  04.16616774 -073.61659694
120 Linear Feature 73
111  04.16622971 -073.61660352 51
112  04.16620126 -073.61659003  04.16618197 -073.61658673 51
111  04.16616774 -073.61659694 51
111  04.16608271 -073.61666743 51
111  04.16604123 -073.61670182 51
112  04.16602557 -073.61673007  04.16602316 -073.61674108 51
115  04.16602744 -073.61676265
120 Linear Feature 72
111  04.16625202 -073.61670106 51
112  04.16626261 -073.61667429  04.16626612 -073.61665554 51
115  04.16626457 -073.61664607
120 Linear Feature 71
111  04.16611747 -073.61686713 51
112  04.16611004 -073.61683556  04.16611218 -073.61681884 51
111  04.16612168 -073.61680816 51
111  04.16616525 -073.61677236 51
111  04.16625202 -073.61670106 51
112  04.16628214 -073.61669209  04.16629885 -073.61669177 51
115  04.16631004 -073.61669850
120 Linear Feature 70
111  04.16586722 -073.61665683 51
112  04.16591407 -073.61665399  04.16593387 -073.61665683 51
111  04.16595575 -073.61667656 51
111  04.16598659 -073.61671000 51
111  04.16602744 -073.61676265 51
111  04.16605995 -073.61680026 51
111  04.16611747 -073.61686713 51
111  04.16614343 -073.61689969 51
112  04.16617666 -073.61691812  04.16620315 -073.61692241 51
111  04.16621994 -073.61690326 51
111  04.16624588 -073.61688090 51
111  04.16634641 -073.61679424 51
112  04.16634893 -073.61674993  04.16633806 -073.61673073 51
111  04.16631004 -073.61669850 51
111  04.16626457 -073.61664607 51
111  04.16622971 -073.61660352 51
111  04.16618392 -073.61654686 51
111  04.16614108 -073.61649541 51
112  04.16610597 -073.61648342  04.16608652 -073.61648200 51
115  04.16606260 -073.61649893
120 Linear Feature 68
111  04.16579098 -073.61716565 21
115  04.16589069 -073.61708436
120 Linear Feature 67
111  04.16587291 -073.61726635 20
111  04.16579098 -073.61716565 20
111  04.16570728 -073.61706277 20
111  04.16580646 -073.61698215 20
111  04.16589069 -073.61708436 20
111  04.16597310 -073.61718435 20
115  04.16587291 -073.61726635
120 Linear Feature 66
111  04.16558386 -073.61733153 21
115  04.16568396 -073.61725202
120 Linear Feature 65
111  04.16566615 -073.61743405 20
111  04.16558386 -073.61733153 20
111  04.16549825 -073.61722707 20
111  04.16559785 -073.61714910 20
111  04.16568396 -073.61725202 20
111  04.16576526 -073.61735356 20
115  04.16566615 -073.61743405
120 Linear Feature 64
111  04.16538378 -073.61749714 21
115  04.16548118 -073.61741386
120 Linear Feature 63
111  04.16546380 -073.61759592 20
111  04.16538378 -073.61749714 20
111  04.16529660 -073.61738987 20
111  04.16539744 -073.61731074 20
111  04.16548118 -073.61741386 20
111  04.16556353 -073.61751634 20
115  04.16546380 -073.61759592
120 Linear Feature 62
111  04.16517688 -073.61766145 21
115  04.16527626 -073.61758004
120 Linear Feature 61
111  04.16525802 -073.61776222 20
111  04.16517688 -073.61766145 20
111  04.16509061 -073.61755707 20
111  04.16519000 -073.61747612 20
111  04.16527626 -073.61758004 20
111  04.16535910 -073.61768019 20
115  04.16525802 -073.61776222
120 Linear Feature 59
111  04.16568750 -073.61680208 51
112  04.16572516 -073.61679540  04.16574680 -073.61679681 51
111  04.16576044 -073.61680513 51
115  04.16584059 -073.61690665
120 Linear Feature 58
111  04.16576064 -073.61723497 51
112  04.16580220 -073.61723957  04.16582009 -073.61722943
111  04.16580220 -073.61723957
112  04.16580220 -073.61723957  04.16580902 -073.61723570 51
112  04.16585668 -073.61719535  04.16588372 -073.61717436
111  04.16585668 -073.61719535
112  04.16585668 -073.61719535  04.16590050 -073.61716134 51
112  04.16596185 -073.61710984  04.16596981 -073.61710138
111  04.16596185 -073.61710984
112  04.16596185 -073.61710984  04.16597473 -073.61709616 51
111  04.16596702 -073.61706417 51
111  04.16592474 -073.61701048 51
112  04.16589883 -073.61700390  04.16587559 -073.61700224
111  04.16589883 -073.61700390
112  04.16589883 -073.61700390  04.16587705 -073.61700312 51
115  04.16587083 -073.61701072
120 Linear Feature 57
111  04.16572783 -073.61712721 51
112  04.16571710 -073.61715660  04.16571566 -073.61717330 51
115  04.16572174 -073.61718631
120 Linear Feature 56
111  04.16563450 -073.61708205 51
112  04.16560501 -073.61707316  04.16559173 -073.61706943 51
115  04.16557238 -073.61707675
120 Linear Feature 55
111  04.16566318 -073.61718217 51
112  04.16567112 -073.61715309  04.16567316 -073.61713845 51
115  04.16566996 -073.61712643
120 Linear Feature 54
111  04.16552263 -073.61728923 51
112  04.16548432 -073.61729740  04.16546701 -073.61729329 51
115  04.16545623 -073.61727959
120 Linear Feature 53
112  04.16563450 -073.61708205  04.16562460 -073.61706468 51
115  04.16563845 -073.61702297
120 Linear Feature 50
111  04.16545776 -073.61734666 51
112  04.16545623 -073.61727959  04.16544011 -073.61725878 51
112  04.16543148 -073.61724960  04.16541412 -073.61723188 51
115  04.16537354 -073.61723719
120 Linear Feature 49
111  04.16554983 -073.61740066 51
112  04.16559980 -073.61740321  04.16561654 -073.61739595
111  04.16559980 -073.61740321
112  04.16559980 -073.61740321  04.16560728 -073.61739996 51
112  04.16565938 -073.61736017  04.16568658 -073.61733894
111  04.16565938 -073.61736017
112  04.16565938 -073.61736017  04.16569303 -073.61733390 51
112  04.16574215 -073.61729313  04.16575412 -073.61728269
111  04.16574215 -073.61729313
112  04.16574215 -073.61729313  04.16576380 -073.61727425 51
111  04.16576064 -073.61723497 51
112  04.16572174 -073.61718631  04.16570295 -073.61716684 51
111  04.16566318 -073.61718217 51
112  04.16556975 -073.61725024  04.16552830 -073.61728175
111  04.16556975 -073.61725024
112  04.16556975 -073.61725024  04.16554839 -073.61726648 51
112  04.16552263 -073.61728923  04.16551543 -073.61729709
111  04.16552263 -073.61728923
112  04.16552263 -073.61728923  04.16550146 -073.61731235 51
115  04.16550599 -073.61734603
120 Linear Feature 47
111  04.16526434 -073.61745964 51
112  04.16528790 -073.61746453  04.16530263 -073.61746574 51
115  04.16531434 -073.61745843
120 Linear Feature 45
111  04.16532942 -073.61753861 51
112  04.16530807 -073.61749101  04.16530788 -073.61747451 51
111  04.16531434 -073.61745843 51
111  04.16536179 -073.61742145 51
111  04.16545776 -073.61734666 51
112  04.16550599 -073.61734603  04.16551996 -073.61735796 51
111  04.16553292 -073.61737491 51
112  04.16554983 -073.61740066  04.16556070 -073.61741883 51
111  04.16554356 -073.61745027 51
112  04.16544840 -073.61752853  04.16540855 -073.61756145
111  04.16544840 -073.61752853
112  04.16544840 -073.61752853  04.16542714 -073.61754609 51
112  04.16540855 -073.61756186  04.16540682 -073.61756359
111  04.16540855 -073.61756186
112  04.16540855 -073.61756186  04.16540358 -073.61756684 51
112  04.16536882 -073.61756770  04.16535292 -073.61756593 51
115  04.16532942 -073.61753861
120 Linear Feature 43
111  04.16516853 -073.61740227 51
112  04.16522241 -073.61740782  04.16523695 -073.61741940 51
111  04.16524656 -073.61743460 51
112  04.16526434 -073.61745964  04.16527445 -073.61747641
111  04.16526434 -073.61745964
112  04.16526434 -073.61745964  04.16526859 -073.61746668 51
112  04.16526276 -073.61748704  04.16525711 -073.61750020
111  04.16526276 -073.61748704
112  04.16526276 -073.61748704  04.16525727 -073.61750358 51
115  04.16524701 -073.61751196
120 Linear Feature 48
111  04.16522241 -073.61740782 51
112  04.16522122 -073.61738511  04.16522182 -073.61737651 51
115  04.16522629 -073.61735565
120 Linear Feature 51
111  04.16542830 -073.61719323 51
112  04.16542327 -073.61721962  04.16542371 -073.61723305 51
115  04.16543148 -073.61724960
120 Linear Feature 110
111  04.16612168 -073.61680816 51
112  04.16609455 -073.61681521  04.16608430 -073.61681592 51
115  04.16605995 -073.61680026
120 Linear Feature 41
111  04.16501461 -073.61757055 51
112  04.16502467 -073.61752036  04.16503977 -073.61750328
111  04.16502467 -073.61752036
112  04.16502467 -073.61752036  04.16502878 -073.61751571 51
112  04.16516853 -073.61740227  04.16525049 -073.61733603
111  04.16516853 -073.61740227
112  04.16516853 -073.61740227  04.16518670 -073.61738758 51
112  04.16522629 -073.61735565  04.16524652 -073.61733934
111  04.16522629 -073.61735565
112  04.16522629 -073.61735565  04.16527217 -073.61731867 51
112  04.16537354 -073.61723719  04.16542458 -073.61719620
111  04.16537354 -073.61723719
112  04.16537354 -073.61723719  04.16539176 -073.61722256 51
112  04.16542830 -073.61719323  04.16544653 -073.61717860
111  04.16542830 -073.61719323
112  04.16542830 -073.61719323  04.16547936 -073.61715225 51
112  04.16557238 -073.61707675  04.16561658 -073.61704081
111  04.16557238 -073.61707675
112  04.16557238 -073.61707675  04.16559582 -073.61705769 51
112  04.16563845 -073.61702297  04.16565893 -073.61700628
111  04.16563845 -073.61702297
112  04.16563845 -073.61702297  04.16571539 -073.61696028 51
112  04.16578012 -073.61690964  04.16579132 -073.61690263
111  04.16578012 -073.61690964
112  04.16578012 -073.61690964  04.16579992 -073.61689724 51
111  04.16584059 -073.61690665 51
112  04.16588390 -073.61695745  04.16588818 -073.61696646 51
112  04.16587083 -073.61701072  04.16585454 -073.61702830
111  04.16587083 -073.61701072
112  04.16587083 -073.61701072  04.16586031 -073.61702208 51
112  04.16577386 -073.61709222  04.16573562 -073.61712253
111  04.16577386 -073.61709222
112  04.16577386 -073.61709222  04.16575292 -073.61710882 51
112  04.16572783 -073.61712721  04.16572070 -073.61713185
111  04.16572783 -073.61712721
112  04.16572783 -073.61712721  04.16570768 -073.61714032 51
111  04.16566996 -073.61712643 51
115  04.16563450 -073.61708205
120 Linear Feature 44
111  04.16512191 -073.61761682 51
112  04.16510443 -073.61764413  04.16509948 -073.61765619 51
115  04.16510421 -073.61767939
120 Linear Feature 40
111  04.16485518 -073.61747238 51
112  04.16490099 -073.61746611  04.16491895 -073.61746654 51
111  04.16494100 -073.61748114 51
111  04.16497107 -073.61751766 51
111  04.16501461 -073.61757055 51
111  04.16505818 -073.61762347 51
111  04.16510421 -073.61767939 51
111  04.16514323 -073.61772678 51
112  04.16517824 -073.61773431  04.16519881 -073.61773173 51
111  04.16521963 -073.61771784 51
111  04.16524333 -073.61769714 51
111  04.16533707 -073.61761523 51
112  04.16532942 -073.61753861  04.16529725 -073.61749288 51
111  04.16524701 -073.61751196 51
111  04.16515629 -073.61758801 51
111  04.16512191 -073.61761682 51
112  04.16508974 -073.61762537  04.16507489 -073.61762608 51
115  04.16505818 -073.61762347
120 Linear Feature 39
111  04.16234678 -073.61906838 51 101
115  04.16252281 -073.61928096
120 Linear Feature 36
111  04.16474087 -073.61811344 51
115  04.16469923 -073.61810950
120 Linear Feature 35
111  04.16473950 -073.61813238 51
115  04.16469725 -073.61812798
120 Linear Feature 34
111  04.16460989 -073.61767511 51 101
115  04.16468156 -073.61761220
120 Linear Feature 28
111  04.16373958 -073.61871813 20
111  04.16357007 -073.61885247 20
111  04.16370775 -073.61902232 20
111  04.16387745 -073.61888336 20
115  04.16373958 -073.61871813
120 Linear Feature 26
111  04.16728653 -073.61527178 51 101
112  04.16735826 -073.61529400  04.16739014 -073.61529572 51 101
111  04.16742905 -073.61527442 51 101
111  04.17024966 -073.61298902 51 101
112  04.17027844 -073.61289458  04.17024468 -073.61284554 51 101
111  04.17019091 -073.61277363 51 101
111  04.16981985 -073.61231319 51 101
112  04.16980841 -073.61224046  04.16981217 -073.61220090 51 101
111  04.16984783 -073.61217252 51 101
115  04.17019197 -073.61189494
120 Linear Feature 25
111  04.16408806 -073.61843476 20
111  04.16422794 -073.61859985 20
115  04.16405814 -073.61873904
120 Linear Feature 24
111  04.16405814 -073.61873904 20
111  04.16392039 -073.61857220 20
115  04.16408806 -073.61843476
120 Linear Feature 22
111  04.16431440 -073.61846300 20
111  04.16431712 -073.61839758 20
111  04.16423672 -073.61830198 20
111  04.16425167 -073.61812421 20
115  04.16439217 -073.61813607
120 Linear Feature 21
111  04.16431440 -073.61846300 20
111  04.16439609 -073.61846815 20
111  04.16440208 -073.61840664 20
111  04.16451544 -073.61832575 20
111  04.16453039 -073.61815055 20
115  04.16439217 -073.61813607
120 Linear Feature 19
111  04.16304503 -073.61950610 51
115  04.16300588 -073.61950305
120 Linear Feature 18
111  04.16340537 -073.61922833 51
115  04.16333926 -073.61922243
120 Linear Feature 17
111  04.16374111 -073.61894901 51
115  04.16369380 -073.61894524
120 Linear Feature 16
111  04.16409010 -073.61865803 51
115  04.16404453 -073.61865509
120 Linear Feature 15
111  04.16408961 -073.61866691 51
115  04.16404381 -073.61866406
120 Linear Feature 14
111  04.16438596 -073.61838862 51
115  04.16433951 -073.61838437
120 Linear Feature 13
111  04.16438484 -073.61840751 51
115  04.16433762 -073.61840303
120 Linear Feature 12
111  04.16438275 -073.61842523 51
115  04.16433549 -073.61842144
120 Linear Feature 11
111  04.16252589 -073.61928508 51
112  04.16271344 -073.61950042  04.16273439 -073.61950968 51
111  04.16297635 -073.61952230 51
112  04.16300588 -073.61950305  04.16301818 -073.61949154 51
115  04.16302588 -073.61947567
120 Linear Feature 30
111  04.16304711 -073.61927514 20
111  04.16287633 -073.61941201 20
111  04.16301616 -073.61957995 20
111  04.16318687 -073.61944106 20
115  04.16304711 -073.61927514
120 Linear Feature 7
111  04.16311361 -073.61864717 51
111  04.16307257 -073.61903476 51
111  04.16304711 -073.61927514 51
111  04.16302588 -073.61947567 51
115  04.16301732 -073.61955646
120 Linear Feature 9
111  04.16331606 -073.61871934 51
112  04.16337723 -073.61871344  04.16339968 -073.61871756 51
115  04.16341939 -073.61874599
120 Linear Feature 29
111  04.16339324 -073.61899197 20
111  04.16353565 -073.61916253 20
111  04.16336465 -073.61930194 20
111  04.16322117 -073.61913467 20
115  04.16339324 -073.61899197
120 Linear Feature 6
111  04.16346002 -073.61836380 51
111  04.16341939 -073.61874599 51
111  04.16339324 -073.61899197 51
111  04.16337258 -073.61918624 51
115  04.16336212 -073.61928471
120 Linear Feature 32
111  04.16424005 -073.61797328 51 101
115  04.16443182 -073.61781532
120 Linear Feature 7
111  04.16447604 -073.61754084 51 101
111  04.16443182 -073.61781532 51
115  04.16440588 -073.61800594
120 Linear Feature 33
111  04.16443182 -073.61781532 51 101
111  04.16460989 -073.61767511 51 101
112  04.16469259 -073.61766425  04.16475852 -073.61767109 51 101
115  04.16475746 -073.61772740
120 Linear Feature 38
111  04.16467515 -073.61817278 20
111  04.16475554 -073.61817864 20
111  04.16476217 -073.61808827 20
111  04.16491229 -073.61804177 20
111  04.16493059 -073.61780926 20
115  04.16475129 -073.61779213
120 Linear Feature 37
111  04.16467429 -073.61817021 20
111  04.16468039 -073.61808093 20
111  04.16454614 -073.61800383 20
111  04.16456581 -073.61777429 20
115  04.16475129 -073.61779213
120 Linear Feature 31
111  04.16479837 -073.61728238 51
111  04.16475746 -073.61772740 51
111  04.16475129 -073.61779213 51
111  04.16472088 -073.61811148 51
115  04.16471667 -073.61815570
120 Linear Feature 6
111  04.16447604 -073.61754084 51 101
111  04.16481591 -073.61726608 51 101
111  04.16608514 -073.61623983 51 101
111  04.16658297 -073.61584789 51 101
112  04.16665287 -073.61579176  04.16668698 -073.61576972 51 101
115  04.16691445 -073.61562509
120 Linear Feature 60
111  04.16576044 -073.61680513 51
112  04.16575327 -073.61677318  04.16575456 -073.61675610 51
115  04.16576337 -073.61674077
120 Linear Feature 69
111  04.16578119 -073.61672636 21
111  04.16610844 -073.61712735 21
111  04.16612182 -073.61714375 21
111  04.16620691 -073.61707283 21
111  04.16619439 -073.61705741 21
115  04.16586722 -073.61665683
120 Linear Feature 5
112  04.16447604 -073.61754084  04.16447833 -073.61756558 51 101
112  04.16450342 -073.61760251  04.16451796 -073.61761364
111  04.16450342 -073.61760251
112  04.16450342 -073.61760251  04.16453073 -073.61762343 51 101
112  04.16460747 -073.61763228  04.16467198 -073.61762305 51 101
111  04.16468156 -073.61761220 51 101
111  04.16485518 -073.61747238 51 101
111  04.16495012 -073.61739592 51 101
111  04.16568750 -073.61680208 51 101
111  04.16576337 -073.61674077 51 101
111  04.16578119 -073.61672636 51 101
111  04.16586722 -073.61665683 51 101
111  04.16595877 -073.61658233 51 101
111  04.16606260 -073.61649893 51 101
111  04.16615092 -073.61642617 51 101
111  04.16649434 -073.61614320 51 101
112  04.16660536 -073.61604643  04.16663871 -073.61601224 51 101
111  04.16671750 -073.61589320 51 101
111  04.16691445 -073.61562509 51 101
111  04.16694656 -073.61558324 51 101
111  04.16700328 -073.61553311 51 101
111  04.16707159 -073.61547275 51 101
111  04.16714432 -073.61540847 51 101
