I
1050 Generated by WorldEditor 2.2.0r2

1   1332 0 0 14Y Todd Field
112  45.90231317 -094.87325873  45.90235349 -094.87322104
111  45.90231317 -094.87325873
111  45.90231712 -094.87327110
112  45.90222216 -094.87330191  45.90216173 -094.87329375
113  45.90222216 -094.87330191
110 1 0.00 0.0000 New Taxiway 7
111  45.89430433 -094.87228544
111  45.89436111 -094.87196299
111  45.89441733 -094.87163992
112  45.89441733 -094.87163992  45.89445377 -094.87144413
111  45.89458222 -094.87149000
111  45.89469156 -094.87153302
111  45.89464013 -094.87183222
111  45.89447152 -094.87198801
111  45.89446895 -094.87200249
111  45.89442797 -094.87223310
112  45.89442797 -094.87223310  45.89442159 -094.87227659
111  45.89442649 -094.87233076
113  45.89435825 -094.87230544
110 1 0.00 0.0000 New Taxiway 6
111  45.90387733 -094.87354923
111  45.90333507 -094.87335440
111  45.90334945 -094.87327268
113  45.90389106 -094.87346943
110 1 0.00 0.0000 New Taxiway 5
111  45.90339384 -094.87301002
111  45.90341151 -094.87291291
111  45.90395456 -094.87310924
113  45.90393763 -094.87320675
110 1 0.00 0.0000 New Taxiway 4
111  45.90247131 -094.87245931
111  45.90249774 -094.87237834
111  45.90263343 -094.87242936
111  45.90267129 -094.87244315
111  45.90283365 -094.87250463
111  45.90286859 -094.87251740
111  45.90299895 -094.87256678
111  45.90302557 -094.87257679
111  45.90316610 -094.87263103
113  45.90314497 -094.87270124
110 1 0.00 0.0000 New Taxiway 3
111  45.90239352 -094.87298951
111  45.90246836 -094.87247900
111  45.90314978 -094.87271725
112  45.90314978 -094.87271725  45.90315189 -094.87272302
111  45.90316109 -094.87273113
111  45.90427873 -094.87312430
111  45.90427052 -094.87316392
111  45.90426312 -094.87319966
111  45.90395743 -094.87309284
111  45.90341356 -094.87290280
111  45.90337048 -094.87288775
111  45.90335005 -094.87288697
111  45.90335496 -094.87290327
111  45.90333826 -094.87299953
111  45.90321397 -094.87295685
111  45.90323297 -094.87284064
111  45.90317018 -094.87281831
112  45.90317018 -094.87281831  45.90311274 -094.87280162
111  45.90309060 -094.87287819
113  45.90302758 -094.87322259
110 1 0.00 0.0000 New Taxiway 2
111  45.90213579 -094.87513311 102
112  45.90219699 -094.87503149  45.90221343 -094.87495308
111  45.90219699 -094.87503149 102
111  45.90223002 -094.87482563 102
111  45.90234156 -094.87419172
112  45.90234156 -094.87419172  45.90235970 -094.87405937
111  45.90227386 -094.87402345
111  45.90210236 -094.87395580
111  45.90210570 -094.87393730
111  45.90209322 -094.87393142
111  45.90208922 -094.87395097
111  45.90197992 -094.87391078
111  45.90198413 -094.87389166
111  45.90197165 -094.87388578
111  45.90196696 -094.87390601
111  45.90185958 -094.87386652
111  45.90186351 -094.87384746
111  45.90185103 -094.87384158
111  45.90184649 -094.87386171
111  45.90174048 -094.87382272
111  45.90174445 -094.87380463
111  45.90173197 -094.87379875
111  45.90172752 -094.87381795
111  45.90162005 -094.87377843
111  45.90162404 -094.87376096
111  45.90161156 -094.87375508
111  45.90160742 -094.87377378
111  45.90150105 -094.87373467
111  45.90150507 -094.87371584
111  45.90149259 -094.87370996
111  45.90148815 -094.87372992
111  45.90145022 -094.87371597
111  45.90156260 -094.87304852
111  45.90161303 -094.87306718
111  45.90187942 -094.87316573
111  45.90189819 -094.87317267
111  45.90189601 -094.87318359
111  45.90222216 -094.87330191
112  45.90222216 -094.87330191  45.90228259 -094.87331006
111  45.90231700 -094.87327133
111  45.90231317 -094.87325873
112  45.90231317 -094.87325873  45.90235229 -094.87321760
111  45.90237916 -094.87308748
111  45.90239129 -094.87300471
111  45.90304110 -094.87324006
112  45.90314836 -094.87329637  45.90321357 -094.87332158
111  45.90314836 -094.87329637
111  45.90333238 -094.87337037
111  45.90387404 -094.87356712
111  45.90422222 -094.87369329
111  45.90420898 -094.87376663
111  45.90306684 -094.87335832
112  45.90306684 -094.87335832  45.90301734 -094.87334412
111  45.90299640 -094.87338243
111  45.90298288 -094.87344413
111  45.90287050 -094.87340211
111  45.90281769 -094.87338173
111  45.90282319 -094.87335179
111  45.90275617 -094.87332504
111  45.90271860 -094.87331004
111  45.90268700 -094.87330337
111  45.90251949 -094.87324379
111  45.90249851 -094.87336834
111  45.90248785 -094.87336389
111  45.90248542 -094.87337799
111  45.90249619 -094.87338213
111  45.90249497 -094.87338939
111  45.90243481 -094.87375125
112  45.90243481 -094.87375125  45.90242606 -094.87382199
112  45.90246123 -094.87391521  45.90249115 -094.87398183
111  45.90246123 -094.87391521
112  45.90246123 -094.87391521  45.90247929 -094.87395886
112  45.90247413 -094.87409943  45.90246337 -094.87415765
111  45.90247413 -094.87409943 102
111  45.90233854 -094.87486680 102
111  45.90228042 -094.87518576
113  45.90222645 -094.87516751
130 Airport Boundary 1
111  45.90435604 -094.87636668
111  45.90085736 -094.87667317
111  45.90071222 -094.87664626
111  45.89886528 -094.87683128
111  45.89726110 -094.87742413
111  45.89727280 -094.87514533
111  45.89008956 -094.87501904
111  45.89011687 -094.87003606
111  45.90295322 -094.87017551
111  45.90340103 -094.87035497
111  45.90363512 -094.87063529
111  45.90381849 -094.87094645
111  45.90410524 -094.87128565
111  45.90445254 -094.87150971
113  45.90438724 -094.87286423
120 Runway Hold 16
111  45.90223002 -094.87482563 54
115  45.90233854 -094.87486680
120 Runway Hold 34
111  45.89436111 -094.87196299 54
111  45.89441594 -094.87198307 54
115  45.89446895 -094.87200249
120 Linear Feature 9
111  45.90226382 -094.87369342 1
116  45.90236084 -094.87361581  45.90238682 -094.87352231
120 Linear Feature 18
111  45.90154183 -094.87366926 1
111  45.90150787 -094.87365715 1
115  45.90147821 -094.87364708
120 Linear Feature 17
111  45.90149656 -094.87372156 1
115  45.90150787 -094.87365715
120 Linear Feature 16
111  45.90165904 -094.87371308 1
111  45.90162809 -094.87370157 1
115  45.90159814 -094.87369074
120 Linear Feature 15
111  45.90161541 -094.87376765 1
115  45.90162809 -094.87370157
120 Linear Feature 14
111  45.90177803 -094.87375691 1
111  45.90174834 -094.87374578 1
115  45.90172028 -094.87373585
120 Linear Feature 13
111  45.90173566 -094.87381185 1
115  45.90174834 -094.87374578
120 Linear Feature 12
111  45.90189879 -094.87379992 1
111  45.90186743 -094.87378874 1
115  45.90183685 -094.87377849
120 Linear Feature 11
111  45.90185476 -094.87385482 1
115  45.90186743 -094.87378874
120 Linear Feature 10
111  45.90201935 -094.87384334 1
111  45.90198897 -094.87383229 1
115  45.90195656 -094.87382095
120 Linear Feature 9
111  45.90197629 -094.87389837 1
115  45.90198897 -094.87383229
120 Linear Feature 8
111  45.90213468 -094.87388548 1
111  45.90211030 -094.87387670 1
115  45.90207517 -094.87386406
120 Linear Feature 7
111  45.90209762 -094.87394278 1
115  45.90211030 -094.87387670
120 Linear Feature 6
112  45.90187942 -094.87316573  45.90181957 -094.87342341 1
116  45.90161303 -094.87306718  45.90165595 -094.87283360
120 Linear Feature 5
112  45.90235740 -094.87379673  45.90232618 -094.87370605 1
115  45.90226382 -094.87369342
120 Linear Feature 4
111  45.90277757 -094.87320484 1
115  45.90275617 -094.87332504
120 Linear Feature 3
111  45.90412812 -094.87369813 1
111  45.90277757 -094.87320484 1
111  45.90250621 -094.87310572
112  45.90250621 -094.87310572  45.90244551 -094.87309693 1
115  45.90242803 -094.87315583
120 Linear Feature 2
111  45.90222645 -094.87516751 1
111  45.90241704 -094.87409243
112  45.90241704 -094.87409243  45.90242878 -094.87401634 1
111  45.90240551 -094.87394087 1
111  45.90235740 -094.87379673
112  45.90235740 -094.87379673  45.90234299 -094.87374553 1
111  45.90235258 -094.87367233 1
111  45.90236084 -094.87361581 1
111  45.90242803 -094.87315583 1
111  45.90250402 -094.87263568
112  45.90250402 -094.87263568  45.90251669 -094.87255535 1
111  45.90258839 -094.87257091 1
115  45.90427052 -094.87316392
120 Linear Feature 1
111  45.89435825 -094.87230544 1
115  45.89441594 -094.87198307
21  45.89544155 -094.87335919 2 345.8000 3.00 PAPI-L 34
21  45.90102922 -094.87437229 2 165.8000 3.00 PAPI-L 16
14  45.90203675 -094.87301516  82.02 0 New Tower Viewpoint 2
1300  45.90150787 -094.87365715  74.37 tie_down props GA Tie Down 06
1301 A general_aviation 
1300  45.90162809 -094.87370157  74.37 tie_down props GA Tie Down 05
1301 A general_aviation 
1300  45.90174834 -094.87374578  74.37 tie_down props GA Tie Down 04
1301 A general_aviation 
1300  45.90186743 -094.87378874  74.37 tie_down props GA Tie Down 03
1301 A general_aviation 
1300  45.90198897 -094.87383229  74.37 tie_down props GA Tie Down 02
1301 A general_aviation 
1300  45.90211030 -094.87387670  74.37 tie_down props GA Tie Down 01
1301 A general_aviation 
1300  45.90343004 -094.87327009 256.08 hangar props GA T-Hangar 05
1301 A none 
1300  45.90362790 -094.87334297 256.08 hangar props GA T-Hangar 04
1301 A none 
1300  45.90382712 -094.87341389 256.08 hangar props GA T-Hangar 03
1301 A none 
1300  45.90375621 -094.87319280  76.52 hangar props GA T-Hangar 02
1301 A none 
1300  45.90356517 -094.87312281  76.52 hangar props GA T-Hangar 01
1301 A none 
1300  45.90327022 -094.87301370  76.52 hangar props GA Hangar 08
1301 A none 
1300  45.90310440 -094.87257441 255.08 hangar props GA Hangar 07
1301 A none 
1300  45.90293962 -094.87251372 255.08 hangar props GA Hangar 06
1301 A none 
1300  45.90275927 -094.87244177 255.08 hangar props GA Hangar 05
1301 A none 
1300  45.90257366 -094.87237083 255.08 hangar props GA Hangar 04
1301 A none 
1300  45.90292253 -094.87344973  74.05 hangar props GA Hangar 03
1301 A none 
1300  45.90274975 -094.87335808  74.05 hangar props GA Hangar 02
1301 A none 
1300  45.90260277 -094.87330261  74.05 hangar props GA Hangar 01
1301 A none 
18  45.90179793 -094.87258735 1 New Airport Beacon 1
50 11865 AWOS-3
51 12290 CTAF
55 12610 Minneapolis Approach
56 12610 Minneapolis Departure
99
