I
1050 Generated by WorldEditor

1   2207 0 0 KPHP PHILIP
111  44.05111646 -101.59970696
111  44.05064268 -101.60028072
111  44.05063601 -101.60032714
111  44.05047815 -101.60053157
111  44.05043540 -101.60045614
112  44.05112847 -101.59964754  44.05134733 -101.59939501
111  44.05171167 -101.59939315
112  44.05195990 -101.59937830  44.05198926 -101.59938015
111  44.05204965 -101.59935157
111  44.05273698 -101.59933220
111  44.05273642 -101.59940623
112  44.05268095 -101.59946372  44.05267982 -101.59950939
112  44.05267454 -101.59994117  44.05267392 -101.60001480
111  44.05261228 -101.60007717
112  44.05250582 -101.60019498  44.05247283 -101.60023136
111  44.05247407 -101.60023742
111  44.05244481 -101.60035264
111  44.05238068 -101.60031712
111  44.05245788 -101.60009363
111  44.05248092 -101.60010056
111  44.05250022 -101.60008323
111  44.05250894 -101.60009969
112  44.05259236 -101.60000007  44.05262100 -101.59995762
111  44.05262225 -101.59992557
112  44.05262847 -101.59946472  44.05262904 -101.59942850
111  44.05258476 -101.59941238
112  44.05246314 -101.59941954  44.05242899 -101.59942149
111  44.05242385 -101.59945729
111  44.05240315 -101.59954193
111  44.05236213 -101.59969286
111  44.05233752 -101.59976896
111  44.05236486 -101.59986281
111  44.05231564 -101.60003656
111  44.05209927 -101.60080247
111  44.05206280 -101.60095086
111  44.05204822 -101.60100159
111  44.05201085 -101.60114871
111  44.05182672 -101.60128695
111  44.05172009 -101.60154502
112  44.05011502 -101.60330371  44.05007276 -101.60335098
113  44.05009105 -101.60348227
110 2 0.00 0.0000 New Taxiway 9
111  44.05049243 -101.60055676
111  44.05069708 -101.60032865
111  44.05080734 -101.60052875
113  44.05060748 -101.60074638
110 1 0.00 0.0000 New Taxiway 8
111  44.04929970 -101.60176083
111  44.04925074 -101.60166860
111  44.04932456 -101.60159104
112  44.04988439 -101.60097346  44.04990307 -101.60095298
111  44.04988439 -101.60097346
112  44.04988439 -101.60097346  44.04998570 -101.60086873
111  44.04988439 -101.60068761
111  44.05030833 -101.60023194
111  44.05043540 -101.60045614
111  44.05047815 -101.60053157
111  44.05049243 -101.60055676
111  44.05060748 -101.60074638
111  44.05064652 -101.60081403
111  44.05022260 -101.60129332
111  44.05010618 -101.60108750
112  44.04993360 -101.60107321  44.04983511 -101.60116849
111  44.04993360 -101.60107321
112  44.04993360 -101.60107321  44.04992454 -101.60108423
113  44.04937229 -101.60168044
110 2 0.00 0.0000 New Taxiway 7
111  44.04907446 -101.60168851
112  44.04925074 -101.60166860  44.04934791 -101.60156588
111  44.04925074 -101.60166860
111  44.04929970 -101.60176083
112  44.04929970 -101.60176083  44.04921834 -101.60184049
113  44.04924848 -101.60200923
110 2 0.00 0.0000 New Taxiway 6
111  44.04458052 -101.59377360
111  44.04476669 -101.59357062
111  44.04487552 -101.59345196
111  44.04501474 -101.59369521
111  44.04489707 -101.59381510
112  44.04482746 -101.59388888  44.04481089 -101.59390618
111  44.04482746 -101.59388888
112  44.04482746 -101.59388888  44.04474625 -101.59400417
113  44.04481337 -101.59420130
110 2 0.00 0.0000 New Taxiway 5
111  44.05112324 -101.60530566
112  44.05131549 -101.60538050  44.05140016 -101.60533113
111  44.05131549 -101.60538050
112  44.05131549 -101.60538050  44.05132179 -101.60537572
112  44.05141617 -101.60527485  44.05146429 -101.60522316
111  44.05141617 -101.60527485
112  44.05141617 -101.60527485  44.05147261 -101.60521422
111  44.05153159 -101.60515011
111  44.05167098 -101.60539417
111  44.05155489 -101.60551995
113  44.05136216 -101.60572877
130 Airport Boundary 25
111  44.04570497 -101.60630143
111  44.04545994 -101.60586187
111  44.04545534 -101.60146452
111  44.04531712 -101.60109917
111  44.04476424 -101.60037488
111  44.04463063 -101.59991338
111  44.04473660 -101.59809305
111  44.04467671 -101.59762515
111  44.04380132 -101.59559973
111  44.04354663 -101.59303367
111  44.04383231 -101.59221615
111  44.04909709 -101.59220935
111  44.04905662 -101.58828651
111  44.04925224 -101.58816451
111  44.05252381 -101.59111131
111  44.05264994 -101.59919415
111  44.05281308 -101.59921060
111  44.05281932 -101.60394739
111  44.05240906 -101.60416071
111  44.05199783 -101.60640696
111  44.05077938 -101.60718573
113  44.04791141 -101.60724026
120 Linear Feature 23
111  44.04929446 -101.60227789 1
111  44.04920855 -101.60212804 1
112  44.04924030 -101.60175470  44.04937156 -101.60157081
111  44.04924030 -101.60175470
112  44.04924030 -101.60175470  44.04926856 -101.60172173 1
115  44.05001905 -101.60090757
120 Linear Feature 21
111  44.05141617 -101.60527485 4
115  44.05155489 -101.60551995
120 Linear Feature 22
111  44.04932456 -101.60159104 4
115  44.04937229 -101.60168044
120 Linear Feature 24
111  44.04476669 -101.59357062 4
115  44.04489707 -101.59381510
21  44.05045716 -101.60371837 2 128.2800 3.00 12  PAPI-4L
21  44.04506763 -101.59549504 2 308.2800 3.00 30  PAPI-4L
14  44.05092191 -101.59926999  82.02 0 New Tower Viewpoint 11
1300  44.05196257 -101.59987695 -57.53 tie_down jets GA 01
1301 B general_aviation 
1300  44.05188668 -101.60019825 -57.53 tie_down jets GA 02
1301 B general_aviation 
1300  44.05178979 -101.60053976 -57.53 tie_down jets GA 03
1301 B general_aviation 
1300  44.05024983 -101.60100253 127.27 tie_down turboprops GA 04
1301 A general_aviation 
1300  44.05037879 -101.60086796 127.27 tie_down turboprops GA 05
1301 A general_aviation 
1300  44.05049270 -101.60073339 127.27 tie_down turboprops GA 06
1301 A general_aviation 
1300  44.05020684 -101.60047920 225.00 tie_down turboprops GA 07
1301 A general_aviation 
18  44.05091608 -101.59926731 1 BCN
50 11837 ASOS
51 12280 CTAF/UNICOM
99
