A
1050 Generated by WorldEditor

1     84 1 0 GOOY Dakar - Leopold Sedar Senghor Intl
111  14.73530515 -017.48603400
113  14.73640621 -017.48571910
110 2 0.00 0.0000 New Taxiway 17
111  14.73702355 -017.48404285
112  14.73695596 -017.48382862  14.73679557 -017.48372736
111  14.73695596 -017.48382862
111  14.73645882 -017.48376645
111  14.73631896 -017.48328184
111  14.73737752 -017.48295521
111  14.73760247 -017.48373469
112  14.73760247 -017.48373469  14.73763447 -017.48384219
113  14.73771313 -017.48383006
110 2 0.00 0.0000 New Taxiway 14
111  14.74388317 -017.49881404
111  14.74359949 -017.49890133
111  14.74350986 -017.49859096
113  14.74379354 -017.49850368
110 2 0.00 0.0000 New Taxiway 14
111  14.74374915 -017.49835092
111  14.74346547 -017.49843821
111  14.74337584 -017.49812784
113  14.74365952 -017.49804056
110 2 0.00 0.0000 New Taxiway 14
111  14.74259909 -017.49479642
111  14.74230174 -017.49488750
111  14.74220430 -017.49455008
113  14.74250165 -017.49445900
110 2 0.00 0.0000 New Taxiway 14
111  14.74277570 -017.49540861
111  14.74247835 -017.49549970
111  14.74238091 -017.49516227
113  14.74267826 -017.49507119
110 2 0.00 0.0000 New Taxiway 14
111  14.74294772 -017.49600461
111  14.74265037 -017.49609569
111  14.74255293 -017.49575827
113  14.74285028 -017.49566718
110 2 0.00 0.0000 New Taxiway 14
111  14.74311945 -017.49659991
111  14.74282210 -017.49669099
111  14.74272466 -017.49635356
113  14.74302201 -017.49626248
110 2 0.00 0.0000 New Taxiway 14
111  14.73578174 -017.48424326
111  14.73568914 -017.48417829
111  14.73575792 -017.48407298
113  14.73585052 -017.48413795
110 2 0.00 0.0000 New Taxiway 14
111  14.73554464 -017.48424523
111  14.73546481 -017.48418923
111  14.73552410 -017.48409845
113  14.73560393 -017.48415445
110 2 0.00 0.0000 New Taxiway 14
111  14.73565585 -017.48425969
111  14.73555399 -017.48418822
111  14.73562965 -017.48407239
113  14.73573151 -017.48414385
110 2 0.00 0.0000 New Taxiway 14
111  14.73528393 -017.48442377
111  14.73518207 -017.48435230
111  14.73525773 -017.48423647
113  14.73535959 -017.48430793
110 2 0.00 0.0000 New Taxiway 14
111  14.73514557 -017.48443757
111  14.73507300 -017.48438665
111  14.73512690 -017.48430412
113  14.73519948 -017.48435504
110 2 0.00 0.0000 New Taxiway 14
111  14.73508912 -017.48445243
111  14.73501655 -017.48440151
111  14.73507045 -017.48431898
113  14.73514303 -017.48436990
110 2 0.00 0.0000 New Taxiway 14
111  14.73496592 -017.48452459
111  14.73488004 -017.48446434
111  14.73494383 -017.48436669
113  14.73502970 -017.48442693
110 2 0.00 0.0000 New Taxiway 14
111  14.73486288 -017.48454016
111  14.73475987 -017.48446790
111  14.73483638 -017.48435077
113  14.73493938 -017.48442303
110 2 0.00 0.0000 New Taxiway 14
111  14.73477769 -017.48456564
111  14.73467468 -017.48449337
111  14.73475119 -017.48437624
113  14.73485419 -017.48444850
110 2 0.00 0.0000 New Taxiway 14
111  14.74346598 -017.49780240
111  14.74316863 -017.49789348
111  14.74307119 -017.49755606
113  14.74336854 -017.49746497
110 2 0.00 0.0000 New Taxiway 14
111  14.74329172 -017.49719714
111  14.74299437 -017.49728822
111  14.74289693 -017.49695080
113  14.74319428 -017.49685971
110 1 0.00 0.0000 New Taxiway 11
111  14.74558538 -017.50461840
111  14.74526961 -017.50471584
111  14.74509727 -017.50411866
111  14.74497494 -017.50415646
111  14.74488834 -017.50385633
111  14.74497214 -017.50368506
111  14.74391856 -017.50003426
112  14.74391856 -017.50003426  14.74388099 -017.49990529
112  14.74360834 -017.49991245  14.74350766 -017.49995129
111  14.74360834 -017.49991245
111  14.73182016 -017.50491910
111  14.73166035 -017.50451571
111  14.73183757 -017.50444034
111  14.73566226 -017.50281687
111  14.73569628 -017.50283113
111  14.73641585 -017.50252569
111  14.73641356 -017.50249796
111  14.74347646 -017.49949996
112  14.74347646 -017.49949996  14.74353248 -017.49947532
112  14.74362971 -017.49903333  14.74356598 -017.49880388
111  14.74362971 -017.49903333
111  14.74336973 -017.49813247
111  14.74324740 -017.49817023
111  14.74217344 -017.49444879
111  14.74229577 -017.49441104
111  14.74219725 -017.49406968
112  14.74219725 -017.49406968  14.74218567 -017.49403319
112  14.74210157 -017.49405074  14.74207365 -017.49406926
111  14.74210157 -017.49405074
111  14.73632864 -017.49852708
112  14.73632864 -017.49852708  14.73622145 -017.49861035
111  14.73620140 -017.49881464
111  14.73589392 -017.50216431
111  14.73599853 -017.50244372
112  14.73599853 -017.50244372  14.73607038 -017.50263581
111  14.73639651 -017.50250489
111  14.73567387 -017.50281308
112  14.73580944 -017.50252850  14.73573862 -017.50233853
111  14.73580944 -017.50252850
111  14.73570507 -017.50224921
112  14.73570507 -017.50224921  14.73567147 -017.50215875
111  14.73567735 -017.50206795
111  14.73597730 -017.49880028
112  14.73620837 -017.49833030  14.73640767 -017.49817394
111  14.73620837 -017.49833030
111  14.74205273 -017.49379858
112  14.74209170 -017.49370392  14.74207666 -017.49365151
111  14.74209170 -017.49370392
111  14.73925667 -017.48388014
112  14.73925667 -017.48388014  14.73919304 -017.48366470
111  14.73900017 -017.48372238
111  14.73507249 -017.48493436
112  14.73507249 -017.48493436  14.73491381 -017.48498444
111  14.73495757 -017.48513886
111  14.73509622 -017.48561933
111  14.73505737 -017.48563184
111  14.73539851 -017.48681397
112  14.73546076 -017.48684200  14.73550792 -017.48682751
111  14.73546076 -017.48684200
111  14.73626336 -017.48659439
111  14.73662776 -017.48785713
111  14.73504821 -017.48834454
111  14.73395061 -017.48454120
111  14.73585642 -017.48395312
111  14.73595563 -017.48429689
112  14.73595563 -017.48429689  14.73597565 -017.48436497
111  14.73608140 -017.48433357
111  14.73697351 -017.48405829
112  14.73695094 -017.48388678  14.73685275 -017.48382662
111  14.73695094 -017.48388678
111  14.73639160 -017.48385158
111  14.73621016 -017.48322293
111  14.73744705 -017.48284127
111  14.73768985 -017.48368260
112  14.73768985 -017.48368260  14.73773191 -017.48382231
111  14.73788473 -017.48377711
111  14.73969336 -017.48321902
111  14.74066482 -017.48658525
112  14.74085446 -017.48673260  14.74098769 -017.48669641
111  14.74085446 -017.48673260
111  14.74243090 -017.48624615
112  14.74243090 -017.48624615  14.74249468 -017.48633914
112  14.74260890 -017.48618656  14.74258830 -017.48610100
111  14.74260890 -017.48618656
111  14.74248936 -017.48577185
112  14.74249794 -017.48529351  14.74255326 -017.48499348
111  14.74249794 -017.48529351
111  14.74311251 -017.48198044
112  14.74311251 -017.48198044  14.74317717 -017.48162384
111  14.74303631 -017.48127402
111  14.74234757 -017.47959626
112  14.74234757 -017.47959626  14.74227193 -017.47941764
111  14.74210494 -017.47939278
111  14.74291584 -017.47949791
112  14.74316377 -017.47979239  14.74329361 -017.48000136
112  14.74337746 -017.48015577  14.74339194 -017.48018452
112  14.74345741 -017.48012112  14.74347209 -017.48004757
111  14.74345741 -017.48012112
111  14.74357196 -017.47950363
111  14.74426488 -017.47967964
112  14.74388030 -017.47995476  14.74382159 -017.48026530
111  14.74388030 -017.47995476
111  14.74289957 -017.48524175
112  14.74311423 -017.48536861  14.74329374 -017.48537795
111  14.74311423 -017.48536861
111  14.74333634 -017.48530007
111  14.74340070 -017.48500924
111  14.74369067 -017.48491979
111  14.74569877 -017.49187821
111  14.74530368 -017.49200013
111  14.74542197 -017.49241006
112  14.74558061 -017.49260553  14.74570022 -017.49266868
111  14.74558061 -017.49260553
111  14.74576923 -017.49270352
111  14.74665020 -017.49243172
111  14.74701896 -017.49370943
111  14.74674124 -017.49379512
111  14.74657608 -017.49322281
111  14.74549616 -017.49266150
112  14.74549616 -017.49266150  14.74545155 -017.49263975
111  14.74526825 -017.49269459
111  14.74460875 -017.49289809
111  14.74438291 -017.49273203
112  14.74438291 -017.49273203  14.74433775 -017.49270051
112  14.74420030 -017.49276843  14.74416032 -017.49280857
111  14.74420030 -017.49276843
111  14.74399349 -017.49298000
111  14.74398148 -017.49335784
111  14.74415550 -017.49396085
112  14.74448982 -017.49398020  14.74470536 -017.49391748
111  14.74448982 -017.49398020
111  14.74445724 -017.49386771
111  14.74477060 -017.49377096
111  14.74488008 -017.49415035
111  14.74456684 -017.49424702
111  14.74453428 -017.49413426
112  14.74453428 -017.49413426  14.74432434 -017.49420277
111  14.74426506 -017.49434049
111  14.74455462 -017.49534384
112  14.74455462 -017.49534384  14.74468986 -017.49579757
111  14.74508409 -017.49604072
111  14.74712971 -017.49726850
112  14.74746977 -017.49780533  14.74726991 -017.49828859
111  14.74746977 -017.49780533
111  14.74701633 -017.49799860
112  14.74713191 -017.49744759  14.74698615 -017.49728443
111  14.74713191 -017.49744759
111  14.74501517 -017.49617712
112  14.74441224 -017.49538818  14.74426197 -017.49487851
111  14.74441224 -017.49538818
111  14.74372853 -017.49301900
112  14.74372853 -017.49301900  14.74369799 -017.49291989
111  14.74361076 -017.49298430
111  14.74279880 -017.49361389
112  14.74279880 -017.49361389  14.74276822 -017.49363881
111  14.74277827 -017.49367721
111  14.74435176 -017.49912954
111  14.74482200 -017.49921580
111  14.74488173 -017.49937162
111  14.74457628 -017.49950134
112  14.74440234 -017.49984517  14.74446952 -017.50008542
111  14.74440234 -017.49984517
111  14.74559161 -017.50396610
113  14.74541302 -017.50402120
111  14.74357856 -017.49251166
112  14.74365083 -017.49213052  14.74357603 -017.49186579
111  14.74365083 -017.49213052
111  14.74323781 -017.49069932
111  14.74317024 -017.49072017
111  14.74296348 -017.49000371
111  14.74308788 -017.48996533
111  14.74299957 -017.48965931
111  14.74267494 -017.48975948
111  14.74195072 -017.48724997
111  14.74227966 -017.48714848
111  14.74216301 -017.48674428
111  14.74095265 -017.48711776
112  14.74095265 -017.48711776  14.74089116 -017.48713737
111  14.74091008 -017.48720363
111  14.74264138 -017.49320286
112  14.74268392 -017.49320536  14.74271737 -017.49318081
113  14.74268392 -017.49320536
111  14.74523890 -017.49206286
112  14.74523890 -017.49206286  14.74521744 -017.49199436
112  14.74507044 -017.49211629  14.74508910 -017.49218479
111  14.74507044 -017.49211629
111  14.74519998 -017.49256517
112  14.74519998 -017.49256517  14.74521397 -017.49261534
112  14.74536799 -017.49251016  14.74534932 -017.49244842
113  14.74536799 -017.49251016
110 2 0.00 0.0000 New Taxiway 6
112  14.72627032 -017.47674242  14.72622387 -017.47709555
111  14.72627032 -017.47674242
111  14.72633861 -017.47619805
112  14.72633861 -017.47619805  14.72637822 -017.47589394
112  14.72697792 -017.47629923  14.72696440 -017.47668300
111  14.72741263 -017.47689586
111  14.72736133 -017.47688897
111  14.72709348 -017.47678378
111  14.72683006 -017.47643939
114  14.72683006 -017.47643939  14.72663607 -017.47630096
110 1 0.00 0.0000 New Taxiway 6
111  14.72627032 -017.47674242
111  14.72633861 -017.47619805
112  14.72633861 -017.47619805  14.72638369 -017.47583602
112  14.72700196 -017.47628991  14.72698844 -017.47667368
111  14.72743941 -017.47689945
113  14.72741263 -017.47689586
110 2 0.00 0.0000 New Taxiway 4
111  14.72691147 -017.47725128
112  14.72649141 -017.47744517  14.72626175 -017.47740934
111  14.72621870 -017.47715799
111  14.72627296 -017.47716601 20
111  14.72626233 -017.47725109 20
111  14.72677043 -017.47731925 20
111  14.72683180 -017.47728159 20
113  14.72683874 -017.47724188
110 1 0.00 0.0000 New Taxiway 4
111  14.72685150 -017.47734618
112  14.72648638 -017.47747459  14.72629043 -017.47743600
113  14.72620537 -017.47726188
110 2 0.00 0.0000 New Taxiway 3
111  14.75216174 -017.48074103
112  14.75176185 -017.48095845  14.75147847 -017.48091408
111  14.75176185 -017.48095845
112  14.75176185 -017.48095845  14.75163039 -017.48093960
111  14.75146629 -017.48064471
111  14.75161368 -017.48066512
112  14.75182643 -017.48084116  14.75197680 -017.48088342
113  14.75212874 -017.48073646
110 1 0.00 0.0000 New Taxiway 3
111  14.75221366 -017.48074386
112  14.75178644 -017.48102484  14.75150306 -017.48098048
113  14.75128734 -017.48062211
110 1 0.00 0.0000 New Taxiway 3
111  14.75755054 -017.48136099 102
112  14.75712050 -017.48173124  14.75675747 -017.48168687
111  14.75712050 -017.48173124
112  14.75712050 -017.48173124  14.75682810 -017.48169464 102
112  14.75670767 -017.48140888  14.75667001 -017.48133576 102
113  14.75644856 -017.48121271
110 2 0.00 0.0000 New Taxiway 42
111  14.74299957 -017.48965931
111  14.74275224 -017.48973562
111  14.74202802 -017.48722609
113  14.74227966 -017.48714848
130 Airport Boundary 1
111  14.75033049 -017.49897141
111  14.74705608 -017.50629720
111  14.73298186 -017.50568313
111  14.73087551 -017.50681166
111  14.72863513 -017.50473278
111  14.73531799 -017.50172337
111  14.73568181 -017.49847636
111  14.73949238 -017.49520960
111  14.73830517 -017.49291287
111  14.73196698 -017.49053692
111  14.73122019 -017.48719088
111  14.73131593 -017.48119177
111  14.72614581 -017.48075629
111  14.72513093 -017.47919222
111  14.72557135 -017.47535135
111  14.72815641 -017.47564828
111  14.72869257 -017.47513352
111  14.73723285 -017.47655900
111  14.73872644 -017.47586603
111  14.73909026 -017.47677678
111  14.74688374 -017.47800435
111  14.75816226 -017.47962797
111  14.75887076 -017.48309308
111  14.75720483 -017.48424152
111  14.75383468 -017.48394451
111  14.75109643 -017.48612258
111  14.74747735 -017.48333059
111  14.74429868 -017.48402358
111  14.74793691 -017.49427995
113  14.75157515 -017.49612134
120 Linear Feature 40
111  14.74279091 -017.49405500 1
111  14.74257582 -017.49375896
112  14.74257582 -017.49375896  14.74248115 -017.49363465 1
115  14.74256646 -017.49354525
120 Linear Feature 39
111  14.74211108 -017.49295078 1
115  14.74212980 -017.49289862
120 Linear Feature 39
111  14.74193006 -017.49232654 1
115  14.74194879 -017.49227439
120 Linear Feature 39
111  14.74175091 -017.49170423 1
115  14.74176964 -017.49165208
120 Linear Feature 39
111  14.74354517 -017.49053086 1
115  14.74358044 -017.49043260
120 Linear Feature 39
111  14.74376044 -017.49125768 1
115  14.74379572 -017.49115942
120 Linear Feature 39
111  14.74394744 -017.49193697 1
115  14.74397149 -017.49186998
120 Linear Feature 39
111  14.74157083 -017.49108289 1
115  14.74158956 -017.49103073
120 Linear Feature 39
111  14.74139169 -017.49045865 1
115  14.74141041 -017.49040650
120 Linear Feature 39
111  14.74121254 -017.48983731 1
115  14.74123126 -017.48978516
120 Linear Feature 39
111  14.74103339 -017.48921790 1
115  14.74105212 -017.48916574
120 Linear Feature 39
111  14.74067409 -017.48797113 1
115  14.74069281 -017.48791897
120 Linear Feature 39
111  14.74085356 -017.48859082 1
115  14.74087228 -017.48853867
120 Linear Feature 39
111  14.74210841 -017.49285369 1
115  14.74211577 -017.49283318
120 Linear Feature 39
111  14.74192740 -017.49222945 1
115  14.74193476 -017.49220894
120 Linear Feature 39
111  14.74174825 -017.49160714 1
115  14.74175561 -017.49158663
120 Linear Feature 39
111  14.74357738 -017.49039110 1
115  14.74358904 -017.49035862
120 Linear Feature 39
111  14.74379266 -017.49111792 1
115  14.74380432 -017.49108544
120 Linear Feature 39
111  14.74394795 -017.49183103 1
115  14.74395962 -017.49179855
120 Linear Feature 39
111  14.74156817 -017.49098580 1
115  14.74157553 -017.49096529
120 Linear Feature 39
111  14.74138902 -017.49036156 1
115  14.74139638 -017.49034105
120 Linear Feature 39
111  14.74120987 -017.48974022 1
115  14.74121724 -017.48971971
120 Linear Feature 39
111  14.74103072 -017.48912081 1
115  14.74103809 -017.48910030
120 Linear Feature 39
111  14.74067142 -017.48787404 1
115  14.74067878 -017.48785353
120 Linear Feature 39
111  14.74085089 -017.48849373 1
115  14.74085826 -017.48847322
120 Linear Feature 38
111  14.74232954 -017.49293378 1
115  14.74194362 -017.49277352
120 Linear Feature 38
111  14.74214852 -017.49230954 1
115  14.74176261 -017.49214928
120 Linear Feature 38
111  14.74196938 -017.49168723 1
115  14.74158346 -017.49152697
120 Linear Feature 38
111  14.74392772 -017.49051662 1
115  14.74324548 -017.49023331
120 Linear Feature 38
111  14.74414052 -017.49124375 1
115  14.74345531 -017.49095920
120 Linear Feature 38
111  14.74417123 -017.49190513 1
115  14.74366625 -017.49169543
120 Linear Feature 38
111  14.74178930 -017.49106589 1
115  14.74140338 -017.49090563
120 Linear Feature 38
111  14.74161015 -017.49044165 1
115  14.74122424 -017.49028140
120 Linear Feature 38
111  14.74143100 -017.48982031 1
115  14.74104509 -017.48966005
120 Linear Feature 38
111  14.74125185 -017.48920090 1
115  14.74086594 -017.48904064
120 Linear Feature 38
111  14.74089255 -017.48795413 1
115  14.74050664 -017.48779387
120 Linear Feature 38
111  14.74107202 -017.48857382 1
115  14.74068611 -017.48841357
120 Linear Feature 36
111  14.73483287 -017.48486364 1
112  14.73446082 -017.48481129  14.73431506 -017.48469009
111  14.73446082 -017.48481129 1
111  14.73419484 -017.48459065
112  14.73419484 -017.48459065  14.73412271 -017.48453160 1
112  14.73404608 -017.48469475  14.73407463 -017.48479109
111  14.73404608 -017.48469475 1
111  14.73407914 -017.48481906
112  14.73407914 -017.48481906  14.73415577 -017.48507543 1
115  14.73444105 -017.48498454
120 Linear Feature 35
112  14.73492858 -017.48483410  14.73475607 -017.48489222 1
112  14.73464772 -017.48522218  14.73448543 -017.48521130
111  14.73464772 -017.48522218 1
111  14.73443571 -017.48520563
112  14.73443571 -017.48520563  14.73430498 -017.48519320 1
116  14.73435688 -017.48501051  14.73445305 -017.48498099
120 Linear Feature 34
111  14.73490450 -017.48540723 1
112  14.73478148 -017.48558189  14.73465108 -017.48559345
111  14.73478148 -017.48558189 1
111  14.73438159 -017.48552282
112  14.73438159 -017.48552282  14.73428348 -017.48550870 1
115  14.73425596 -017.48543392
120 Linear Feature 34
111  14.73500261 -017.48574717 1
112  14.73487959 -017.48592090  14.73474919 -017.48593246
111  14.73487959 -017.48592090 1
111  14.73447970 -017.48586183
112  14.73447970 -017.48586183  14.73438159 -017.48584771 1
115  14.73435372 -017.48577267
120 Linear Feature 34
