I
1050 Generated by WorldEditor

1   6188 1 0 PHSF BRADSHAW AAF
111  19.75830113 -155.55297896
111  19.75847785 -155.55352671
111  19.75854885 -155.55350357
111  19.75857125 -155.55359062
111  19.75911424 -155.55344225
112  19.75918041 -155.55375316  19.75918589 -155.55377742
111  19.75925286 -155.55376772
112  19.75976388 -155.55365954  19.75980146 -155.55365143
111  19.75976388 -155.55365954
112  19.75976388 -155.55365954  19.75981730 -155.55364582
113  19.75981198 -155.55352516
111  19.75765810 -155.55429096
112  19.75761343 -155.55428635  19.75758804 -155.55432605
111  19.75761343 -155.55428635
112  19.75761343 -155.55428635  19.75759835 -155.55431838
111  19.75741603 -155.55467792
111  19.75748129 -155.55485820
111  19.75777458 -155.55475022
114  19.75779292 -155.55471232  19.75778481 -155.55468647
111  19.75887458 -155.55434110
111  19.75880819 -155.55393000
111  19.75850938 -155.55397056
111  19.75844946 -155.55364891
111  19.75834225 -155.55364891
111  19.75764538 -155.55380303
111  19.75763276 -155.55384994
113  19.75790710 -155.55469427
111  19.75902984 -155.55501953
111  19.75879951 -155.55507426
111  19.75889744 -155.55551127
113  19.75912095 -155.55545476
111  19.75889625 -155.55455316
111  19.75861707 -155.55459237
111  19.75863368 -155.55471444
113  19.75891038 -155.55467226
111  19.75871734 -155.55361288
111  19.75860834 -155.55363914
111  19.75862071 -155.55369743
111  19.75866251 -155.55368783
111  19.75868357 -155.55379014
113  19.75875136 -155.55377473
110 1 0.00 0.0000 New Taxiway 2
111  19.75903967 -155.54920293
111  19.75873058 -155.54891367
111  19.75864092 -155.54836728
113  19.75888222 -155.54831792
110 1 0.00 0.0000 New Taxiway 1
111  19.76089132 -155.55806517
111  19.76122413 -155.55839591
111  19.76130630 -155.55889945
113  19.76104836 -155.55894793
130 Airport Boundary 3
111  19.76176858 -155.56044239
111  19.75955354 -155.56084716
111  19.75857511 -155.55554578
111  19.75619606 -155.55604309
111  19.75582948 -155.54683065
113  19.75943150 -155.54623793
120 Linear Feature 10
111  19.75918570 -155.55401978 1
112  19.75983623 -155.55387151  19.75999234 -155.55383357 1
111  19.75996115 -155.55367013 1
115  19.75992983 -155.55348335
120 Linear Feature 9
111  19.75962867 -155.55398698 4
115  19.75958730 -155.55375931
120 Linear Feature 8
111  19.75992370 -155.55399378 1
112  19.75980684 -155.55395729  19.75975955 -155.55396673
111  19.75980684 -155.55395729
112  19.75980684 -155.55395729  19.75976691 -155.55396591 1
112  19.75930323 -155.55407299  19.75926349 -155.55408313 1
112  19.75925696 -155.55416188  19.75926393 -155.55419978 1
111  19.75939340 -155.55476068 1
111  19.75914226 -155.55482822 1
112  19.75907209 -155.55446609  19.75904556 -155.55434513 1
111  19.75894323 -155.55433940 1
111  19.75887188 -155.55434110 1
111  19.75881141 -155.55396705 1
112  19.75888659 -155.55393363  19.75896195 -155.55389840 1
111  19.75893675 -155.55378920 1
111  19.75886922 -155.55350865 1
111  19.75911154 -155.55344225 1
111  19.75921336 -155.55392304 1
112  19.75984614 -155.55379092  19.75988069 -155.55378325 1
115  19.75988101 -155.55372466
120 Linear Feature 11
112  19.75983623 -155.55387151  19.75998320 -155.55383710 1
111  19.76001031 -155.55395243 1
115  19.76004480 -155.55413930
21  19.76098025 -155.55738340 2 100.7600 3.00 New PAPI-4L
14  19.75870199 -155.55372526  49.21 0 New Tower Viewpoint 5
1300  19.75893155 -155.55397213  12.83 misc fighters Ramp 03
1301 A military 
1300  19.75897209 -155.55413582  12.83 misc fighters Ramp 02
1301 A military 
1300  19.75892021 -155.55512711 102.40 misc fighters Hangar 02
1301 A military 
1300  19.75881913 -155.55462168   7.53 misc fighters Hangar 01
1301 A military 
1300  19.75900452 -155.55428228  12.83 misc fighters Ramp 01
1301 A military 
18  19.75864042 -155.55366349 4 New Airport Beacon 1
19  19.75968475 -155.55457130 1 New Windsock 3
50 12470 ATIS
51 12630 CTAF
54 12630 TWR
55 12600 HONOLULU CNTR
99
