I
1050 Generated by WorldEditor 2.0.0r4

1   4478 0 0 26U McDermitt State
115  42.00149405 -117.72621185
120 Linear Feature 16
111  42.00148854 -117.72613139 1
111  42.00148767 -117.72608796 1
115  42.00148684 -117.72604653
120 Linear Feature 16
111  42.00148263 -117.72596562 1
111  42.00148176 -117.72592219 1
115  42.00148093 -117.72588075
120 Linear Feature 16
111  42.00147671 -117.72580017 1
111  42.00147584 -117.72575674 1
115  42.00147501 -117.72571530
120 Linear Feature 16
111  42.00178831 -117.72578012 1
111  42.00178744 -117.72573669 1
115  42.00178661 -117.72569525
120 Linear Feature 16
111  42.00179420 -117.72594662 1
111  42.00179333 -117.72590319 1
115  42.00179251 -117.72586175
120 Linear Feature 16
111  42.00180067 -117.72611157 1
111  42.00179980 -117.72606814 1
115  42.00179897 -117.72602670
120 Linear Feature 16
111  42.00169801 -117.72586839 1
111  42.00169714 -117.72582496 1
115  42.00169631 -117.72578352
120 Linear Feature 16
111  42.00170391 -117.72603306 1
111  42.00170304 -117.72598963 1
115  42.00170221 -117.72594819
120 Linear Feature 16
111  42.00171057 -117.72619912 1
111  42.00170970 -117.72615569 1
115  42.00170887 -117.72611426
120 Linear Feature 16
111  42.00180769 -117.72627734 1
111  42.00180682 -117.72623391 1
115  42.00180599 -117.72619247
120 Linear Feature 16
111  42.00202200 -117.72576900 1
111  42.00202075 -117.72572535 1
115  42.00201955 -117.72568370
120 Linear Feature 16
111  42.00202849 -117.72593340 1
111  42.00202724 -117.72588975 1
115  42.00202604 -117.72584810
120 Linear Feature 16
111  42.00203450 -117.72609822 1
111  42.00203324 -117.72605457 1
115  42.00203205 -117.72601292
120 Linear Feature 16
111  42.00204117 -117.72626389 1
111  42.00203992 -117.72622024 1
115  42.00203872 -117.72617859
120 Linear Feature 15
111  42.01774109 -117.72613913 4
111  42.01777693 -117.72618278 4
115  42.01781317 -117.72622691
120 Linear Feature 14
111  42.01831516 -117.72614831 4
111  42.01836210 -117.72614529 4
115  42.01841126 -117.72614212
120 Linear Feature 13
111  42.01052628 -117.72671373 4
115  42.01062463 -117.72670747
120 Linear Feature 12
111  42.00224781 -117.72731238 4
115  42.00234966 -117.72730619
120 Linear Feature 11
111  42.01830426 -117.72653772 1
112  42.01836786 -117.72635656  42.01836886 -117.72622984
111  42.01836786 -117.72635656 1
111  42.01836210 -117.72614529 1
111  42.01835429 -117.72594568
112  42.01835429 -117.72594568  42.01833856 -117.72576535 1
112  42.01801571 -117.72582813  42.01786414 -117.72604939
111  42.01801571 -117.72582813 1
111  42.01777693 -117.72618278 1
111  42.01755043 -117.72652826 1
111  42.01751927 -117.72657561 1
112  42.01741187 -117.72664736  42.01734659 -117.72665822
111  42.01741187 -117.72664736 1
115  42.01685976 -117.72668752
120 Linear Feature 10
111  42.01058246 -117.72689878 1
112  42.01078698 -117.72713146  42.01096771 -117.72714476
111  42.01078698 -117.72713146 1
115  42.01133730 -117.72709010
120 Linear Feature 9
111  42.01043108 -117.72715102 1
112  42.01058246 -117.72689878  42.01059349 -117.72669483
111  42.01058246 -117.72689878 1
115  42.01055781 -117.72624939
120 Linear Feature 8
111  42.00214450 -117.72643502 1
116  42.00225864 -117.72624654  42.00226825 -117.72608477
120 Linear Feature 8
111  42.00189439 -117.72628833 1
116  42.00200974 -117.72643992  42.00210318 -117.72646124
120 Linear Feature 7
111  42.00178966 -117.72644988 1
112  42.00189439 -117.72628833  42.00190004 -117.72616792
111  42.00189439 -117.72628833 1
115  42.00188007 -117.72573344
120 Linear Feature 6
111  42.00227004 -117.72658688 1
112  42.00214450 -117.72643502  42.00203674 -117.72642074
111  42.00214450 -117.72643502 1
111  42.00200974 -117.72643992 1
111  42.00178966 -117.72644988 1
111  42.00172079 -117.72645206 1
112  42.00159965 -117.72628809  42.00157998 -117.72613446
111  42.00159965 -117.72628809 1
115  42.00158868 -117.72580586
120 Linear Feature 5
111  42.00234910 -117.72762759 1
112  42.00230311 -117.72745162  42.00229508 -117.72733648
111  42.00230311 -117.72745162 1
111  42.00227004 -117.72658688 1
111  42.00225864 -117.72624654 1
115  42.00224086 -117.72570683
14  42.00244964 -117.72592291  25.00 0 Tower
1300  42.00147584 -117.72575674   1.51 tie_down props Tie-Down 16
1301 A general_aviation 
1300  42.00148176 -117.72592219   1.83 tie_down props Tie-Down 15
1301 A general_aviation 
1300  42.00148767 -117.72608796   1.85 tie_down props Tie-Down 14
1301 A general_aviation 
1300  42.00149488 -117.72625329   1.85 tie_down props Tie-Down 13
1301 A general_aviation 
1300  42.00150221 -117.72641787   1.28 tie_down props Tie-Down 12
1301 A general_aviation 
1300  42.00178744 -117.72573669   1.68 tie_down props Tie-Down 11
1301 A general_aviation 
1300  42.00169714 -117.72582496 -179.40 tie_down props Tie-Down 10
1301 A general_aviation 
1300  42.00179333 -117.72590319   1.40 tie_down props Tie-Down 9
1301 A general_aviation 
1300  42.00170304 -117.72598963 -179.22 tie_down props Tie-Down 8
1301 A general_aviation 
1300  42.00179980 -117.72606814   1.87 tie_down props Tie-Down 7
1301 A general_aviation 
1300  42.00170970 -117.72615569 -178.65 tie_down props Tie-Down 6
1301 A general_aviation 
1300  42.00180682 -117.72623391   1.63 tie_down props Tie-Down 5
1301 A general_aviation 
1300  42.00202075 -117.72572535   1.83 tie_down props Tie-Down 4
1301 A general_aviation 
1300  42.00202724 -117.72588975   1.83 tie_down props Tie-Down 3
1301 A general_aviation 
1300  42.00203324 -117.72605457   1.83 tie_down props Tie-Down 2
1301 A general_aviation 
1300  42.00203992 -117.72622024   2.49 tie_down props Tie-Down 1
1301 A general_aviation 
1300  42.00242656 -117.72572365 -179.14 hangar props Hangar
1301 A none 
19  42.01044108 -117.72783966 1 WS
51 12290 McDermitt Unicom
99
