I
1050 Generated by WorldEditor

1   1809 0 0 CYWK WABUSH
112  52.92639296 -066.87120909  52.92644304 -066.87097859 51 101
111  52.92713291 -066.86779413 51 101
112  52.92731327 -066.86758168  52.92740090 -066.86756922 51 101
111  52.92753227 -066.86764310 51 101
115  52.92796062 -066.86789582
120 Linear Feature 12
111  52.91597800 -066.86200477 53
115  52.91594888 -066.86191348
120 Linear Feature 11
111  52.91599435 -066.86193861 53
115  52.91593252 -066.86198029
120 Linear Feature 10
111  52.91799888 -066.86319456 53
115  52.91805373 -066.86315579
120 Linear Feature 9
111  52.91803994 -066.86321842 53
115  52.91801327 -066.86312746
120 Linear Feature 23
111  52.92679763 -066.87196383 51 101
112  52.92670351 -066.87210665  52.92671199 -066.87216292
111  52.92670351 -066.87210665
112  52.92670351 -066.87210665  52.92671071 -066.87215440 51
112  52.92676178 -066.87268424  52.92677352 -066.87280649
111  52.92676178 -066.87268424
112  52.92676178 -066.87268424  52.92676387 -066.87270604 51
115  52.92676509 -066.87271876
21  52.92783663 -066.86702717 2 157.1800 3.00 18  PAPI-4L
14  52.92659676 -066.87323912  82.02 0 New Tower Viewpoint 1
1300  52.92612524 -066.87228940  69.34 tie_down props GA 04
1301 A general_aviation 
1300  52.92597316 -066.87218781  67.75 tie_down props GA 03
1301 A general_aviation 
1300  52.92579541 -066.87207913  68.44 tie_down props GA 02
1301 A general_aviation 
1300  52.92598872 -066.87160405 249.57 tie_down props GA 01
1301 A general_aviation 
1300  52.92643802 -066.87245723 280.72 gate jets|turboprops|props Gate 04
1301 B airline 
1300  52.92676178 -066.87268424 279.46 gate jets|turboprops|props Gate 03
1301 B airline 
1300  52.92708901 -066.87287536 280.60 gate jets|turboprops|props Gate 02
1301 B airline 
1300  52.92741288 -066.87307237 280.59 gate jets|turboprops|props Gate 01
1301 B airline 
18  52.92635766 -066.87387826 1 BCN
19  52.91660466 -066.86241509 1 WS
19  52.92892750 -066.87018739 1 WS
50 12812 ATIS
51 12200 UNICOM
55 13225 MONTREAL CNTR
99
