I
1050 Generated by WorldEditor 2.1.0r1

1   4473 1 0 KOGD Ogden-Hinckley
111  41.18656776 -112.01274137
111  41.18667605 -112.01262366
113  41.18678564 -112.01280177
110 2 0.00 0.0000 New Taxiway 3
111  41.18679413 -112.01279259
111  41.18668765 -112.01261594
111  41.18679531 -112.01249917
113  41.18690282 -112.01267543
110 2 0.00 0.0000 New Taxiway 3
111  41.18691298 -112.01266448
111  41.18680370 -112.01248410
111  41.18694134 -112.01233500
113  41.18705166 -112.01251499
110 2 0.00 0.0000 New Taxiway 3
111  41.18709559 -112.01246764
111  41.18698630 -112.01228726
111  41.18712492 -112.01213712
113  41.18723523 -112.01231711
110 2 0.00 0.0000 New Taxiway 3
111  41.18724542 -112.01230613
111  41.18716819 -112.01218058
111  41.18727525 -112.01206444
113  41.18735351 -112.01218961
110 2 0.00 0.0000 New Taxiway 3
111  41.18736204 -112.01218042
111  41.18728383 -112.01205333
111  41.18739090 -112.01193720
113  41.18747046 -112.01206354
110 2 0.00 0.0000 New Taxiway 3
111  41.18790962 -112.01158205
111  41.18783942 -112.01146738
111  41.18794620 -112.01135081
113  41.18801775 -112.01146474
110 2 0.00 0.0000 New Taxiway 3
111  41.18802398 -112.01145798
111  41.18795178 -112.01134331
111  41.18805848 -112.01122683
113  41.18813203 -112.01134076
110 2 0.00 0.0000 New Taxiway 3
111  41.18813717 -112.01133518
111  41.18806497 -112.01122051
111  41.18817206 -112.01110360
113  41.18824561 -112.01121753
110 2 0.00 0.0000 New Taxiway 3
111  41.18827368 -112.01118708
111  41.18820201 -112.01107243
111  41.18830799 -112.01095614
113  41.18838154 -112.01107007
110 2 0.00 0.0000 New Taxiway 3
111  41.18838757 -112.01106352
111  41.18831624 -112.01094840
111  41.18842221 -112.01083210
113  41.18849518 -112.01094678
110 2 0.00 0.0000 New Taxiway 3
111  41.18850023 -112.01094129
111  41.18842660 -112.01082310
111  41.18853373 -112.01070554
113  41.18860901 -112.01082328
110 2 0.00 0.0000 New Taxiway 3
111  41.18861272 -112.01081926
111  41.18853874 -112.01070057
111  41.18864588 -112.01058301
113  41.18872146 -112.01070129
110 2 0.00 0.0000 New Taxiway 3
111  41.18874697 -112.01067362
111  41.18867827 -112.01055863
111  41.18878149 -112.01044532
113  41.18885178 -112.01055990
110 2 0.00 0.0000 New Taxiway 3
111  41.18886146 -112.01054941
111  41.18879276 -112.01043442
111  41.18889842 -112.01031847
113  41.18896871 -112.01043305
110 2 0.00 0.0000 New Taxiway 3
111  41.18897700 -112.01042405
111  41.18890805 -112.01030879
111  41.18901512 -112.01019186
113  41.18908541 -112.01030644
110 2 0.00 0.0000 New Taxiway 3
111  41.18863169 -112.01181797
111  41.18847275 -112.01156242
111  41.18868450 -112.01133049
113  41.18884479 -112.01158535
110 2 0.00 0.0000 New Taxiway 3
111  41.18870784 -112.01208588
111  41.18859707 -112.01190650
111  41.18872436 -112.01176771
113  41.18883565 -112.01194742
110 2 0.00 0.0000 New Taxiway 2
111  41.18981736 -112.00979285
111  41.18970636 -112.00978838
111  41.18970453 -112.00976400
111  41.18969780 -112.00976319
111  41.18970051 -112.00965013
111  41.18970260 -112.00956256
111  41.18970986 -112.00956232
111  41.18971109 -112.00951388
113  41.18982282 -112.00951441
110 2 0.00 0.0000 New Taxiway 2
111  41.18981787 -112.01006272
111  41.18969609 -112.01006119
111  41.18969811 -112.00980341
113  41.18981705 -112.00980341
110 2 0.00 0.0000 New Taxiway 2
111  41.18926021 -112.01026206
111  41.18913229 -112.01026006
111  41.18912041 -112.01025980
111  41.18911969 -112.01010971
113  41.18926140 -112.01011225
110 2 0.00 0.0000 New Taxiway 2
111  41.18940706 -112.01026437
111  41.18926720 -112.01026217
111  41.18926648 -112.01011102
111  41.18940819 -112.01011463
113  41.18940722 -112.01024338
110 2 0.00 0.0000 New Taxiway 2
111  41.18953077 -112.01024386
111  41.18941333 -112.01024324
111  41.18941262 -112.01007995
113  41.18953191 -112.01008198
110 2 0.00 0.0000 New Taxiway 2
111  41.18953215 -112.01004674
111  41.18931054 -112.01004266
111  41.18930908 -112.00981944
113  41.18953371 -112.00982414
110 2 0.00 0.0000 New Taxiway 2
111  41.18981440 -112.01026587
111  41.18970280 -112.01026506
111  41.18970300 -112.01007605
113  41.18981714 -112.01007904
110 2 0.00 0.0000 New Taxiway 2
111  41.18997387 -112.01027099
111  41.18992087 -112.01026902
111  41.18986527 -112.01026694
111  41.18986554 -112.01008290
113  41.18997272 -112.01008374
110 2 0.00 0.0000 New Taxiway 2
111  41.19031648 -112.00930062
111  41.19029858 -112.00930684
111  41.19015456 -112.00930454
111  41.19015415 -112.00928889
111  41.19014402 -112.00928740
111  41.19014309 -112.00928032
111  41.19015545 -112.00928072
111  41.19015562 -112.00926228
111  41.19016994 -112.00926213
111  41.19016947 -112.00908627
111  41.19031731 -112.00908476
113  41.19031666 -112.00929353
110 2 0.00 0.0000 New Taxiway 2
111  41.18986368 -112.00986473
111  41.18986388 -112.00967985
111  41.18995011 -112.00967895
111  41.18997652 -112.00968002
111  41.18997584 -112.00986336
111  41.18998141 -112.00986352
111  41.18998127 -112.00988141
111  41.18997374 -112.00988152
111  41.18997261 -112.01006543
111  41.18986201 -112.01006490
111  41.18986361 -112.00987818
111  41.18995247 -112.00987970
113  41.18995228 -112.00986597
110 2 0.00 0.0000 New Taxiway 2
111  41.18995039 -112.00966433
111  41.18986368 -112.00966311
111  41.18986388 -112.00947823
111  41.18991562 -112.00947833
111  41.18997727 -112.00947846
111  41.18997702 -112.00954608
111  41.18997692 -112.00957121
111  41.18997684 -112.00959515
113  41.18997658 -112.00966458
110 2 0.00 0.0000 New Taxiway 2
111  41.19012732 -112.00929259
111  41.18995366 -112.00928713
111  41.18995420 -112.00909530
111  41.19012895 -112.00909910
113  41.19012744 -112.00928018
110 2 0.00 0.0000 New Taxiway 2
111  41.19056513 -112.00929489
111  41.19039958 -112.00929398
111  41.19040087 -112.00907784
113  41.19056596 -112.00907903
110 2 0.00 0.0000 New Taxiway 2
111  41.19056632 -112.00898476
111  41.19047029 -112.00898421
111  41.19047139 -112.00881783
113  41.19056696 -112.00881867
110 2 0.00 0.0000 New Taxiway 2
111  41.19056708 -112.00878697
111  41.19047105 -112.00878642
111  41.19047230 -112.00857862
113  41.19056787 -112.00857946
110 2 0.00 0.0000 New Taxiway 12
111  41.19160776 -112.00767371
111  41.19160633 -112.00836437
111  41.19151770 -112.00836611
113  41.19152018 -112.00767526
110 2 0.00 0.0000 New Taxiway 12
111  41.19136797 -112.00782533
111  41.19136790 -112.00800900
111  41.19122906 -112.00800920
113  41.19123191 -112.00782290
110 2 0.00 0.0000 New Taxiway 12
111  41.19136789 -112.00802210
111  41.19136781 -112.00824017
111  41.19133935 -112.00824080
111  41.19133913 -112.00822550
111  41.19120222 -112.00822322
113  41.19120226 -112.00802201
110 2 0.00 0.0000 New Taxiway 12
111  41.19109431 -112.00813488
111  41.19109460 -112.00822626
111  41.19109774 -112.00823345
111  41.19109649 -112.00845160
111  41.19097914 -112.00844930
111  41.19097836 -112.00829611
111  41.19096838 -112.00829527
111  41.19096902 -112.00828003
111  41.19097858 -112.00828031
111  41.19097900 -112.00819340
111  41.19096796 -112.00819171
111  41.19096838 -112.00817901
111  41.19097943 -112.00817816
111  41.19097879 -112.00814148
111  41.19098236 -112.00814105
113  41.19098246 -112.00813083
110 2 0.00 0.0000 New Taxiway 12
111  41.19074145 -112.00836244
111  41.19073703 -112.00859668
111  41.19060202 -112.00859404
111  41.19060096 -112.00858157
111  41.19059750 -112.00858135
113  41.19059788 -112.00836048
110 2 0.00 0.0000 New Taxiway 12
111  41.19133081 -112.00824099
111  41.19133041 -112.00852378
111  41.19110818 -112.00851876
111  41.19110774 -112.00845182
113  41.19110616 -112.00824077
110 2 0.00 0.0000 New Taxiway 12
111  41.19118203 -112.00878542
111  41.19118459 -112.00929459
111  41.19096338 -112.00929501
113  41.19096187 -112.00878697
110 2 0.00 0.0000 New Taxiway 12
111  41.19071193 -112.00939984
111  41.19071329 -112.01030324
111  41.19054472 -112.01029889
113  41.19054440 -112.00939663
110 2 0.00 0.0000 New Taxiway 12
111  41.18956263 -112.01076638
111  41.18956112 -112.01144468
111  41.18943561 -112.01144414
113  41.18943817 -112.01076699
110 2 0.00 0.0000 New Taxiway 12
111  41.18955282 -112.01147493
111  41.18955132 -112.01171069
111  41.18943461 -112.01170919
113  41.18943550 -112.01147537
110 2 0.00 0.0000 New Taxiway 12
111  41.18955039 -112.01178964
111  41.18955049 -112.01201315
111  41.18943347 -112.01201253
113  41.18943431 -112.01179029
110 2 0.00 0.0000 New Taxiway 12
111  41.18922384 -112.01098244
111  41.18922313 -112.01118572
111  41.18904068 -112.01118901
111  41.18903634 -112.01118876
111  41.18903743 -112.01096258
111  41.18904321 -112.01096306
111  41.18906447 -112.01096372
113  41.18906440 -112.01098163
110 2 0.00 0.0000 New Taxiway 12
111  41.18957672 -112.01210151
111  41.18957681 -112.01232502
111  41.18943229 -112.01232434
113  41.18943313 -112.01210164
110 2 0.00 0.0000 New Taxiway 12
111  41.18957605 -112.01233575
111  41.18957614 -112.01255926
111  41.18943141 -112.01255947
113  41.18943225 -112.01233544
110 2 0.00 0.0000 New Taxiway 12
111  41.18921749 -112.01240351
111  41.18921540 -112.01251716
111  41.18928315 -112.01251833
111  41.18928225 -112.01261988
111  41.18921354 -112.01261881
111  41.18921339 -112.01262739
111  41.18903731 -112.01262364
111  41.18903731 -112.01261580
111  41.18902840 -112.01261610
111  41.18903029 -112.01239672
111  41.18903912 -112.01239682
113  41.18903917 -112.01240085
110 2 0.00 0.0000 New Taxiway 12
111  41.18921976 -112.01216675
111  41.18921775 -112.01232969
111  41.18921723 -112.01237165
111  41.18921701 -112.01239024
111  41.18903967 -112.01238638
111  41.18903957 -112.01237808
111  41.18903045 -112.01237808
113  41.18903231 -112.01216201
110 2 0.00 0.0000 New Taxiway 12
111  41.18918034 -112.01196805
111  41.18917996 -112.01209014
111  41.18928579 -112.01209200
111  41.18928564 -112.01213524
111  41.18917982 -112.01213296
111  41.18917977 -112.01215052
111  41.18903241 -112.01215006
111  41.18903542 -112.01180067
111  41.18915451 -112.01180113
113  41.18915347 -112.01196751
110 2 0.00 0.0000 New Taxiway 12
111  41.18922391 -112.01139560
111  41.18922431 -112.01139912
111  41.18928821 -112.01140064
111  41.18928804 -112.01145060
111  41.18922475 -112.01145080
111  41.18922344 -112.01159341
111  41.18903723 -112.01159053
113  41.18903893 -112.01139311
110 2 0.00 0.0000 New Taxiway 12
111  41.18922423 -112.01119911
111  41.18922418 -112.01120577
111  41.18928889 -112.01120671
111  41.18928876 -112.01124376
111  41.18922488 -112.01124463
111  41.18922306 -112.01138543
111  41.18903901 -112.01138350
113  41.18904061 -112.01119727
110 2 0.00 0.0000 New Taxiway 12
111  41.18922391 -112.01160080
111  41.18922408 -112.01161140
111  41.18928747 -112.01161298
111  41.18928732 -112.01165580
111  41.18922429 -112.01165538
111  41.18922344 -112.01178660
111  41.18903556 -112.01178395
113  41.18903716 -112.01159841
110 2 0.00 0.0000 New Taxiway 12
111  41.18957505 -112.01257265
111  41.18957614 -112.01275845
111  41.18943065 -112.01275883
113  41.18943135 -112.01257306
110 2 0.00 0.0000 New Taxiway 12
111  41.19108826 -112.01164141
111  41.19108634 -112.01186511
111  41.19094978 -112.01186276
113  41.19094992 -112.01164211
110 2 0.00 0.0000 New Taxiway 12
111  41.19071319 -112.01126592
111  41.19070754 -112.01215171
111  41.19053997 -112.01215256
113  41.19054021 -112.01126695
110 2 0.00 0.0000 New Taxiway 12
111  41.19070999 -112.01077779
111  41.19071136 -112.01094043
111  41.19076986 -112.01094051
111  41.19076931 -112.01098322
111  41.19071026 -112.01098292
111  41.19071011 -112.01100146
111  41.19068266 -112.01100168
111  41.19068260 -112.01106543
111  41.19070790 -112.01106583
111  41.19070859 -112.01115614
111  41.19076708 -112.01115550
111  41.19076614 -112.01122871
111  41.19071731 -112.01122968
111  41.19071757 -112.01124201
111  41.19054022 -112.01124198
111  41.19054035 -112.01076245
111  41.19056981 -112.01076267
113  41.19056994 -112.01077624
110 2 0.00 0.0000 New Taxiway 12
111  41.19033031 -112.01259284
111  41.19032847 -112.01281499
111  41.19027394 -112.01281398
111  41.19027379 -112.01282166
111  41.19018090 -112.01282012
111  41.19018064 -112.01280549
111  41.19019256 -112.01280575
113  41.19019220 -112.01259044
110 2 0.00 0.0000 New Taxiway 12
111  41.19033278 -112.01171960
111  41.19033297 -112.01230374
111  41.19019490 -112.01230176
111  41.19019596 -112.01221840
111  41.19018314 -112.01221800
111  41.19018744 -112.01189517
111  41.19019603 -112.01189517
113  41.19019592 -112.01171798
110 2 0.00 0.0000 New Taxiway 12
111  41.19033208 -112.01235606
111  41.19033024 -112.01257821
111  41.19019217 -112.01257623
111  41.19019211 -112.01253687
111  41.19016642 -112.01253639
111  41.19016807 -112.01234980
111  41.19019520 -112.01234980
113  41.19019521 -112.01235444
110 2 0.00 0.0000 New Taxiway 12
111  41.19033495 -112.01128257
111  41.19033369 -112.01150589
111  41.19021385 -112.01150464
111  41.19021400 -112.01151601
111  41.19025162 -112.01151751
111  41.19025150 -112.01151925
111  41.19033360 -112.01152079
111  41.19033328 -112.01170338
111  41.19019867 -112.01170045
111  41.19019867 -112.01169835
111  41.19018769 -112.01169835
111  41.19018923 -112.01150348
111  41.19019529 -112.01150341
113  41.19019370 -112.01128305
110 2 0.00 0.0000 New Taxiway 12
111  41.19034969 -112.01075541
111  41.19034892 -112.01106736
111  41.19019780 -112.01106839
111  41.19019779 -112.01106102
111  41.19019234 -112.01106108
111  41.19018919 -112.01106084
111  41.19019006 -112.01075583
113  41.19019820 -112.01075583
110 2 0.00 0.0000 New Taxiway 12
111  41.19032106 -112.01108136
111  41.19032067 -112.01126717
111  41.19019359 -112.01126768
111  41.19019355 -112.01126198
111  41.19018943 -112.01126170
111  41.19018906 -112.01107903
113  41.19019228 -112.01107911
110 2 0.00 0.0000 New Taxiway 12
111  41.18995657 -112.01237355
111  41.18995490 -112.01259236
111  41.18978841 -112.01259557
111  41.18978238 -112.01259590
111  41.18978337 -112.01235281
111  41.18978852 -112.01235294
111  41.18978862 -112.01234178
111  41.18978698 -112.01234184
111  41.18978706 -112.01214084
111  41.18979146 -112.01214095
111  41.18979148 -112.01213468
111  41.18995771 -112.01213467
111  41.18995691 -112.01235896
111  41.18982816 -112.01235787
113  41.18982736 -112.01237052
110 2 0.00 0.0000 New Taxiway 12
111  41.18992530 -112.01260338
111  41.18992555 -112.01280366
111  41.18978685 -112.01280453
111  41.18978421 -112.01280470
111  41.18978452 -112.01260408
113  41.18978867 -112.01260392
110 2 0.00 0.0000 New Taxiway 12
111  41.18994693 -112.01170751
111  41.18995149 -112.01172613
111  41.18996121 -112.01172596
111  41.18996161 -112.01187732
111  41.18993256 -112.01187730
111  41.18993279 -112.01189330
111  41.18994090 -112.01189416
111  41.18993973 -112.01202754
111  41.18993052 -112.01204134
111  41.18993059 -112.01209460
111  41.18978783 -112.01209388
111  41.18978908 -112.01170765
111  41.18979145 -112.01097760
111  41.18979107 -112.01090459
111  41.18979039 -112.01077258
111  41.18994224 -112.01076877
111  41.18994295 -112.01098352
111  41.18981265 -112.01098401
111  41.18981265 -112.01099353
111  41.18992321 -112.01099320
113  41.18991979 -112.01170753
110 2 0.00 0.0000 New Taxiway 12
111  41.18957665 -112.01277301
111  41.18957538 -112.01288750
111  41.18943016 -112.01288813
113  41.18943060 -112.01277297
110 2 0.00 0.0000 New Taxiway 12
111  41.19067659 -112.01216849
111  41.19067476 -112.01239064
111  41.19053990 -112.01238813
113  41.19053996 -112.01216902
110 2 0.00 0.0000 New Taxiway 12
111  41.19108639 -112.01188534
111  41.19108447 -112.01210904
111  41.19094962 -112.01210653
113  41.19094976 -112.01188587
110 2 0.00 0.0000 New Taxiway 12
111  41.19108714 -112.01217642
111  41.19108523 -112.01240012
111  41.19094942 -112.01239762
113  41.19094957 -112.01217696
110 2 0.00 0.0000 New Taxiway 12
111  41.19147306 -112.01246101
111  41.19141385 -112.01246096
111  41.19141365 -112.01251219
111  41.19137170 -112.01251257
111  41.19133508 -112.01251291
111  41.19133654 -112.01244566
111  41.19133089 -112.01244549
111  41.19133096 -112.01224417
111  41.19133525 -112.01224395
111  41.19133524 -112.01224013
113  41.19147334 -112.01224046
110 2 0.00 0.0000 New Taxiway 12
111  41.19147387 -112.01200617
111  41.19133661 -112.01200465
111  41.19133076 -112.01200458
111  41.19133074 -112.01157629
111  41.19133510 -112.01157638
111  41.19133527 -112.01158618
111  41.19147209 -112.01158880
111  41.19147295 -112.01179049
111  41.19135574 -112.01179013
111  41.19135576 -112.01180379
113  41.19147301 -112.01180492
110 2 0.00 0.0000 New Taxiway 12
111  41.19146006 -112.01222816
111  41.19133521 -112.01222547
111  41.19133518 -112.01221555
111  41.19133344 -112.01221546
111  41.19133200 -112.01202979
111  41.19133629 -112.01202951
111  41.19133638 -112.01202131
113  41.19146104 -112.01202066
110 2 0.00 0.0000 New Taxiway 12
111  41.19109351 -112.01083460
111  41.19109020 -112.01163056
111  41.19094993 -112.01163086
111  41.19095047 -112.01082487
111  41.19096557 -112.01082487
111  41.19096720 -112.01075455
111  41.19102744 -112.01075445
111  41.19102735 -112.01076993
111  41.19107869 -112.01076915
113  41.19107851 -112.01083440
110 2 0.00 0.0000 New Taxiway 12
111  41.19148087 -112.01083610
111  41.19147968 -112.01157023
111  41.19133511 -112.01157087
111  41.19133635 -112.01083768
111  41.19135281 -112.01083756
111  41.19135329 -112.01076233
111  41.19141249 -112.01076236
111  41.19141240 -112.01077663
111  41.19146435 -112.01077576
113  41.19146624 -112.01083591
110 2 0.00 0.0000 New Taxiway 12
111  41.19111152 -112.01241069
111  41.19111211 -112.01293345
111  41.19105147 -112.01301663
111  41.19094901 -112.01301186
113  41.19094941 -112.01241211
110 2 0.00 0.0000 New Taxiway 12
111  41.19175536 -112.01208290
111  41.19165705 -112.01221050
111  41.19156029 -112.01208398
113  41.19165718 -112.01195319
110 2 0.00 0.0000 New Taxiway 12
111  41.19190112 -112.01189342
111  41.19176321 -112.01207259
111  41.19160278 -112.01185699
111  41.19170048 -112.01172635
111  41.19174928 -112.01179304
113  41.19178790 -112.01174163
110 2 0.00 0.0000 New Taxiway 12
111  41.19201004 -112.01175192
111  41.19191052 -112.01188122
111  41.19183512 -112.01177962
113  41.19193309 -112.01164894
110 2 0.00 0.0000 New Taxiway 12
111  41.19217624 -112.01153601
111  41.19206657 -112.01167850
111  41.19198304 -112.01156520
113  41.19209232 -112.01142262
110 2 0.00 0.0000 New Taxiway 11
111  41.19218428 -112.01152557
111  41.19208864 -112.01139579
111  41.19219902 -112.01125241
111  41.19230401 -112.01139052
113  41.19228732 -112.01139172
110 2 0.00 0.0000 New Taxiway 10
111  41.19176648 -112.01166853
111  41.19155483 -112.01166312
111  41.19155604 -112.01135516
111  41.19156946 -112.01135491
111  41.19157008 -112.01132011
111  41.19174547 -112.01132276
111  41.19174667 -112.01078084
111  41.19175670 -112.01078061
111  41.19175638 -112.01132363
111  41.19176629 -112.01132387
111  41.19176625 -112.01132840
111  41.19175584 -112.01135313
113  41.19176702 -112.01135292
110 2 0.00 0.0000 New Taxiway 9
111  41.19198774 -112.01138578
111  41.19197580 -112.01138578
111  41.19197399 -112.01158066
111  41.19179076 -112.01157980
111  41.19179208 -112.01132451
111  41.19195281 -112.01132847
113  41.19198750 -112.01132931
110 2 0.00 0.0000 New Taxiway 8
111  41.19231930 -112.01123289
111  41.19199375 -112.01122911
111  41.19199375 -112.01123979
111  41.19195326 -112.01123977
111  41.19195655 -112.01078296
113  41.19232036 -112.01078570
110 2 0.00 0.0000 New Taxiway 6
111  41.19159251 -112.00853774
111  41.19155440 -112.00853810
111  41.19155440 -112.00858621
111  41.19151358 -112.00858476
111  41.19151412 -112.00843719
111  41.19155386 -112.00843683
111  41.19155413 -112.00848349
113  41.19159251 -112.00848349
110 2 0.00 0.0000 New Taxiway 6
111  41.19159157 -112.00876212
111  41.19155346 -112.00876248
111  41.19155346 -112.00881058
111  41.19151263 -112.00880914
111  41.19151318 -112.00866157
111  41.19155292 -112.00866121
111  41.19155319 -112.00870786
113  41.19159157 -112.00870786
110 2 0.00 0.0000 New Taxiway 6
111  41.19159089 -112.00898712
111  41.19155278 -112.00898748
111  41.19155278 -112.00903558
111  41.19151196 -112.00903414
111  41.19151250 -112.00888657
111  41.19155224 -112.00888621
111  41.19155251 -112.00893286
113  41.19159089 -112.00893286
110 2 0.00 0.0000 New Taxiway 6
111  41.19152772 -112.00859537
111  41.19156447 -112.00859446
111  41.19156460 -112.00854747
111  41.19160470 -112.00854771
111  41.19160495 -112.00870032
111  41.19156451 -112.00869993
111  41.19156435 -112.00865138
113  41.19152787 -112.00865120
110 2 0.00 0.0000 New Taxiway 6
111  41.19152366 -112.00882127
111  41.19156108 -112.00882036
111  41.19156121 -112.00877337
111  41.19160402 -112.00877361
111  41.19160495 -112.00892262
111  41.19156045 -112.00892223
111  41.19155961 -112.00887728
113  41.19152381 -112.00887710
110 2 0.00 0.0000 New Taxiway 6
111  41.19152433 -112.00904717
111  41.19156244 -112.00904626
111  41.19156256 -112.00899927
111  41.19160199 -112.00899951
111  41.19160292 -112.00914852
111  41.19156316 -112.00914813
111  41.19156232 -112.00910319
113  41.19152448 -112.00910300
110 2 0.00 0.0000 New Taxiway 6
111  41.19159076 -112.00921156
111  41.19155265 -112.00921192
111  41.19155211 -112.00926328
111  41.19151128 -112.00926184
111  41.19151155 -112.00911282
111  41.19155319 -112.00911318
111  41.19155319 -112.00915876
113  41.19159103 -112.00915948
110 2 0.00 0.0000 New Taxiway 5
111  41.19210695 -112.00777992
111  41.19210779 -112.00760752
111  41.19223847 -112.00760791
113  41.19223753 -112.00777920
110 2 0.00 0.0000 New Taxiway 5
111  41.19210568 -112.00804185
111  41.19210639 -112.00789516
111  41.19219253 -112.00789505
113  41.19219191 -112.00804289
110 2 0.00 0.0000 New Taxiway 5
111  41.19187390 -112.00900709
111  41.19187418 -112.00895829
111  41.19187426 -112.00894333
111  41.19187468 -112.00887044
111  41.19188065 -112.00887040
111  41.19188187 -112.00880136
111  41.19196513 -112.00880144
113  41.19196458 -112.00900653
110 2 0.00 0.0000 New Taxiway 5
111  41.19183287 -112.00765025
111  41.19185397 -112.00765106
111  41.19197432 -112.00765451
111  41.19196989 -112.00802604
111  41.19187652 -112.00802638
111  41.19187576 -112.00810883
111  41.19183418 -112.00810762
111  41.19182959 -112.00809786
111  41.19183200 -112.00776837
111  41.19183225 -112.00773528
113  41.19183249 -112.00770199
110 2 0.00 0.0000 New Taxiway 5
111  41.19187515 -112.00827584
111  41.19187573 -112.00811736
111  41.19196879 -112.00811753
113  41.19196689 -112.00827710
110 2 0.00 0.0000 New Taxiway 5
111  41.19187766 -112.00857031
111  41.19187762 -112.00840859
111  41.19197237 -112.00840750
113  41.19197434 -112.00856779
110 2 0.00 0.0000 New Taxiway 5
111  41.19187888 -112.00879502
111  41.19187887 -112.00873366
111  41.19187884 -112.00864589
111  41.19196151 -112.00864436
113  41.19196218 -112.00879467
110 2 0.00 0.0000 New Taxiway 5
111  41.19187938 -112.00926490
111  41.19187972 -112.00919349
111  41.19187979 -112.00917921
111  41.19187985 -112.00916617
111  41.19188016 -112.00910093
111  41.19197453 -112.00909868
113  41.19197438 -112.00926382
110 2 0.00 0.0000 New Taxiway 5
111  41.19211023 -112.00865535
111  41.19210944 -112.00849346
111  41.19222772 -112.00849382
113  41.19222913 -112.00865687
110 2 0.00 0.0000 New Taxiway 5
111  41.19210513 -112.00896941
111  41.19210709 -112.00874659
111  41.19222223 -112.00874538
113  41.19222090 -112.00896938
110 2 0.00 0.0000 New Taxiway 5
111  41.19210837 -112.00926620
111  41.19210875 -112.00902358
111  41.19219921 -112.00902238
113  41.19219944 -112.00926616
110 2 0.00 0.0000 New Taxiway 5
111  41.19210452 -112.00828043
111  41.19210530 -112.00812063
111  41.19219300 -112.00811942
113  41.19219285 -112.00828040
110 2 0.00 0.0000 New Taxiway 4
111  41.19231882 -112.00832377
111  41.19220635 -112.00832250
111  41.19220571 -112.00795629
111  41.19231901 -112.00795684
111  41.19231899 -112.00799381
111  41.19231897 -112.00802054
111  41.19231894 -112.00807959
113  41.19231893 -112.00810703
110 2 0.00 0.0000 New Taxiway 3
111  41.19232598 -112.00783075
111  41.19232587 -112.00773369
111  41.19232168 -112.00773357
111  41.19232171 -112.00760867
111  41.19246651 -112.00761156
113  41.19246550 -112.00783555
110 2 0.00 0.0000 New Taxiway 2
111  41.19246237 -112.00853191
111  41.19272651 -112.00853345
111  41.19272508 -112.00890080
113  41.19246073 -112.00889954
110 2 0.00 0.0000 New Taxiway 1
111  41.19242823 -112.00929979
111  41.19242808 -112.00928894
111  41.19245899 -112.00928785
111  41.19246066 -112.00891528
111  41.19268521 -112.00891673
111  41.19273583 -112.00894337
111  41.19273623 -112.00898870
111  41.19276573 -112.00898867
111  41.19276439 -112.00929101
113  41.19276435 -112.00930097
110 2 0.00 0.0000 New Taxiway 6
111  41.19388461 -112.00785954
111  41.19372047 -112.00807049
111  41.19360082 -112.00791350
111  41.19376783 -112.00770253
113  41.19382802 -112.00778346
110 2 0.00 0.0000 New Taxiway 1
111  41.19419550 -112.00827750
