I
1050 Generated by WorldEditor 2.0.0r4

1    777 0 0 KRGK Red Wing Regional
111  44.59187600 -092.49224168
111  44.59187527 -092.49210237
111  44.59199447 -092.49210397
111  44.59199529 -092.49224243
111  44.59196187 -092.49224178
113  44.59196184 -092.49230135
110 2 0.00 0.0000 New Taxiway 31
111  44.59212532 -092.49206365
111  44.59201257 -092.49206296
111  44.59201205 -092.49190963
111  44.59204491 -092.49191034
111  44.59204571 -092.49184684
111  44.59209442 -092.49184710
111  44.59209494 -092.49191147
113  44.59212496 -092.49191213
110 2 0.00 0.0000 New Taxiway 30
111  44.59212535 -092.49230419
111  44.59202089 -092.49230393
111  44.59202121 -092.49223358
111  44.59201210 -092.49223357
111  44.59201154 -092.49210123
111  44.59213012 -092.49210168
111  44.59213047 -092.49223539
113  44.59212484 -092.49223556
110 2 0.00 0.0000 New Taxiway 29
111  44.59226332 -092.49210841
111  44.59214556 -092.49210692
111  44.59214494 -092.49190223
111  44.59217430 -092.49190226
111  44.59217442 -092.49186531
112  44.59217442 -092.49186531  44.59217277 -092.49184927
111  44.59216320 -092.49184461
111  44.59224882 -092.49184438
112  44.59223483 -092.49186642  44.59223189 -092.49188213
111  44.59223483 -092.49186642
111  44.59223507 -092.49190231
113  44.59226185 -092.49190234
110 2 0.00 0.0000 New Taxiway 28
111  44.59225392 -092.49271700
111  44.59212999 -092.49271851
111  44.59212867 -092.49249572
111  44.59217145 -092.49249493
111  44.59217207 -092.49242185
111  44.59221467 -092.49242210
111  44.59221468 -092.49249414
113  44.59225407 -092.49249342
110 2 0.00 0.0000 New Taxiway 27
111  44.59211834 -092.49276046
111  44.59200868 -092.49276541
111  44.59200833 -092.49259134
113  44.59211912 -092.49259134
110 2 0.00 0.0000 New Taxiway 26
111  44.59199663 -092.49271563
111  44.59197839 -092.49271594
111  44.59192647 -092.49271684
111  44.59180364 -092.49271896
111  44.59175170 -092.49271985
111  44.59171899 -092.49272042
111  44.59171892 -092.49259502
111  44.59183921 -092.49259337
111  44.59187650 -092.49259286
113  44.59199592 -092.49259123
110 2 0.00 0.0000 New Taxiway 25
111  44.59186264 -092.49318724
111  44.59177802 -092.49318951
111  44.59175126 -092.49319023
111  44.59175164 -092.49299856
113  44.59186123 -092.49299991
110 2 0.00 0.0000 New Taxiway 24
111  44.59209625 -092.49334353
111  44.59194607 -092.49334280
111  44.59194300 -092.49298441
111  44.59196383 -092.49298373
111  44.59198792 -092.49295445
111  44.59198743 -092.49291363
111  44.59197031 -092.49288271
111  44.59208323 -092.49288108
111  44.59206499 -092.49291280
111  44.59206515 -092.49295482
113  44.59209143 -092.49298996
110 2 0.00 0.0000 New Taxiway 23
111  44.59226328 -092.49334019
111  44.59212448 -092.49334180
111  44.59212215 -092.49298050
111  44.59214943 -092.49294802
111  44.59214940 -092.49288081
111  44.59223121 -092.49287889
111  44.59223228 -092.49295267
113  44.59225879 -092.49297704
110 2 0.00 0.0000 New Taxiway 22
111  44.59266681 -092.49334303
111  44.59259219 -092.49334424
111  44.59259171 -092.49350155
111  44.59255699 -092.49350129
111  44.59255617 -092.49334482
111  44.59251510 -092.49334548
111  44.59251255 -092.49301125
111  44.59250552 -092.49301121
111  44.59250550 -092.49297679
111  44.59252243 -092.49297724
111  44.59252222 -092.49291941
111  44.59265364 -092.49291713
111  44.59265487 -092.49300298
113  44.59266375 -092.49300298
110 2 0.00 0.0000 New Taxiway 21
111  44.59319174 -092.49319980
111  44.59302369 -092.49320192
111  44.59302339 -092.49301856
111  44.59300773 -092.49301856
111  44.59300776 -092.49295907
111  44.59304033 -092.49295947
111  44.59304011 -092.49290515
111  44.59316594 -092.49290275
111  44.59316704 -092.49296353
113  44.59319071 -092.49296332
110 2 0.00 0.0000 New Taxiway 20
111  44.59251259 -092.49276585
111  44.59251005 -092.49248899
111  44.59267309 -092.49249094
113  44.59267640 -092.49276400
110 2 0.00 0.0000 New Taxiway 19
111  44.59316966 -092.49245027
111  44.59303079 -092.49245177
111  44.59302782 -092.49224803
111  44.59300390 -092.49224756
111  44.59300473 -092.49245166
111  44.59286486 -092.49245863
111  44.59286416 -092.49227754
111  44.59285446 -092.49227755
111  44.59285463 -092.49221752
111  44.59289084 -092.49221748
111  44.59289094 -092.49216446
111  44.59297390 -092.49216197
111  44.59297410 -092.49221284
111  44.59305711 -092.49221273
111  44.59305732 -092.49215981
111  44.59313763 -092.49215987
111  44.59313822 -092.49221060
113  44.59316630 -092.49221029
110 2 0.00 0.0000 New Taxiway 18
111  44.59266136 -092.49246603
111  44.59249899 -092.49246691
111  44.59249632 -092.49224072
111  44.59250598 -092.49224067
111  44.59250588 -092.49222714
111  44.59254771 -092.49222722
111  44.59254761 -092.49217413
111  44.59261349 -092.49217412
111  44.59261508 -092.49224012
113  44.59265996 -092.49223959
110 2 0.00 0.0000 New Taxiway 17
111  44.59265390 -092.49170213
111  44.59251091 -092.49170499
111  44.59251085 -092.49166400
111  44.59244322 -092.49167219
111  44.59243712 -092.49169221
111  44.59242309 -092.49168762
112  44.59242264 -092.49161380  44.59242980 -092.49159342
111  44.59242264 -092.49161380
111  44.59251079 -092.49162229
111  44.59251062 -092.49149883
113  44.59265369 -092.49149829
110 2 0.00 0.0000 New Taxiway 16
111  44.59318240 -092.49169829
111  44.59303368 -092.49169928
111  44.59303323 -092.49140946
111  44.59317286 -092.49140703
113  44.59318050 -092.49140693
110 2 0.00 0.0000 New Taxiway 15
111  44.59317810 -092.49125768
111  44.59316334 -092.49125804
111  44.59301425 -092.49126029
111  44.59301373 -092.49116196
111  44.59302371 -092.49116194
111  44.59302322 -092.49097441
113  44.59317758 -092.49097633
110 2 0.00 0.0000 New Taxiway 14
111  44.59284373 -092.49126748
111  44.59266056 -092.49127244
111  44.59266069 -092.49097076
113  44.59284242 -092.49096801
110 2 0.00 0.0000 New Taxiway 13
111  44.59262097 -092.49112253
111  44.59246994 -092.49112535
111  44.59246989 -092.49109429
111  44.59246976 -092.49101730
111  44.59246918 -092.49068108
112  44.59246918 -092.49068108  44.59246855 -092.49067421
111  44.59246324 -092.49067218
113  44.59261760 -092.49067137
110 2 0.00 0.0000 New Taxiway 12
111  44.59271912 -092.49088841
111  44.59271948 -092.49078633
111  44.59269640 -092.49078586
111  44.59269588 -092.49070967
111  44.59275559 -092.49070962
111  44.59276898 -092.49070961
111  44.59278298 -092.49070960
111  44.59282018 -092.49070957
113  44.59282092 -092.49088666
110 2 0.00 0.0000 New Taxiway 11
111  44.59271493 -092.49051456
111  44.59271100 -092.49005736
111  44.59292688 -092.49005442
113  44.59293192 -092.49051286
110 2 0.00 0.0000 New Taxiway 10
111  44.59247586 -092.49052156
111  44.59246860 -092.49014165
111  44.59248464 -092.49014108
111  44.59248263 -092.49006285
111  44.59265188 -092.49006244
111  44.59265520 -092.49051543
111  44.59253277 -092.49051721
113  44.59253267 -092.49052102
110 2 0.00 0.0000 New Taxiway 9
111  44.59224868 -092.49098321
111  44.59212175 -092.49098489
111  44.59212338 -092.49076802
111  44.59226096 -092.49076586
111  44.59226173 -092.49087312
113  44.59224829 -092.49087289
110 2 0.00 0.0000 New Taxiway 8
111  44.59210977 -092.49097785
111  44.59198445 -092.49098152
111  44.59198448 -092.49076741
113  44.59210890 -092.49076830
110 2 0.00 0.0000 New Taxiway 7
111  44.59210887 -092.49120636
111  44.59198578 -092.49120690
111  44.59198531 -092.49100710
113  44.59211072 -092.49100773
110 2 0.00 0.0000 New Taxiway 6
111  44.59197418 -092.49120704
111  44.59184833 -092.49120972
111  44.59184862 -092.49103497
113  44.59197340 -092.49103249
110 2 0.00 0.0000 New Taxiway 5
111  44.59184807 -092.49098265
111  44.59184700 -092.49078195
111  44.59184696 -092.49076747
111  44.59197375 -092.49076748
113  44.59197498 -092.49098040
110 2 0.00 0.0000 New Taxiway 4
111  44.59170858 -092.49121046
111  44.59170581 -092.49098324
111  44.59181681 -092.49097971
113  44.59181607 -092.49120896
110 2 0.00 0.0000 New Taxiway 3
111  44.59170274 -092.49078638
111  44.59183425 -092.49078216
111  44.59183511 -092.49096565
113  44.59170552 -092.49097123
110 2 0.00 0.0000 New Taxiway 3
111  44.59123714 -092.48681948
111  44.59235233 -092.48680352
111  44.59234800 -092.48622690
111  44.59275955 -092.48622081
111  44.59277420 -092.48784446
111  44.59249154 -092.48784726
111  44.59249198 -092.48771756
111  44.59248111 -092.48771799
111  44.59247568 -092.48769902
111  44.59242617 -092.48769960
111  44.59242143 -092.48737741
111  44.59215977 -092.48738257
111  44.59216163 -092.48779846
111  44.59178358 -092.48780366
111  44.59178781 -092.48825810
111  44.59200583 -092.48825123
111  44.59200919 -092.48864390
111  44.59181918 -092.48864704
111  44.59181961 -092.48866893
111  44.59179203 -092.48866837
111  44.59179701 -092.48910380
111  44.59207086 -092.48909910
111  44.59207436 -092.48958282
111  44.59179942 -092.48958639
111  44.59179933 -092.48949644
111  44.59165954 -092.48949880
112  44.59165954 -092.48949880  44.59163575 -092.48950559
111  44.59162899 -092.48954222
111  44.59163278 -092.48990635
112  44.59163278 -092.48990635  44.59163810 -092.48993789
111  44.59167031 -092.48994392
111  44.59194987 -092.48994260
111  44.59195043 -092.49009361
111  44.59195101 -092.49016073
111  44.59195264 -092.49035018
111  44.59195458 -092.49057213
111  44.59167320 -092.49057779
111  44.59167105 -092.49012403
111  44.59154740 -092.49012549
111  44.59139499 -092.49012730
111  44.59139010 -092.48958955
111  44.59138621 -092.48958913
112  44.59138621 -092.48958913  44.59136969 -092.48948364 102
111  44.59129257 -092.48944854 102
111  44.59129251 -092.48944186 102
111  44.59122934 -092.48944274
112  44.59122934 -092.48944274  44.59111941 -092.48946876 102
111  44.59110675 -092.48961822
111  44.59110478 -092.48940589
111  44.59110332 -092.48924870
111  44.59110136 -092.48903825 102
111  44.59110501 -092.48903832 102
112  44.59123579 -092.48921117  44.59135290 -092.48921616
111  44.59123579 -092.48921117 102
111  44.59131884 -092.48921021 102
111  44.59131887 -092.48920309
112  44.59131887 -092.48920309  44.59135119 -092.48918742 102
111  44.59136763 -092.48913755
111  44.59137305 -092.48913739
111  44.59136895 -092.48880279
111  44.59135037 -092.48876329
111  44.59132302 -092.48876438
111  44.59132331 -092.48864335
111  44.59131132 -092.48864347
111  44.59131140 -092.48861907
111  44.59131140 -092.48861907
111  44.59132276 -092.48861907
111  44.59132244 -092.48851837
111  44.59125216 -092.48851738
111  44.59124412 -092.48761745
111  44.59124303 -092.48749428
113  44.59124216 -092.48739631
110 3 0.00 0.0000 New Taxiway 54
111  44.59265369 -092.49149829
111  44.59251062 -092.49149883
111  44.59250932 -092.49142473
113  44.59265399 -092.49142051
110 1 0.00 0.0000 New Taxiway 2
111  44.58913769 -092.47536324 102
111  44.58968618 -092.47532855
112  44.58968618 -092.47532855  44.59009588 -092.47533823 102
111  44.59026135 -092.47582093 102
111  44.59079257 -092.47751181
112  44.59079257 -092.47751181  44.59093333 -092.47797946 102
112  44.59100496 -092.47897959  44.59102438 -092.47959817
111  44.59100496 -092.47897959 102
111  44.59108478 -092.48724604
112  44.59108478 -092.48724604  44.59113754 -092.48742032 102
111  44.59124216 -092.48739631
111  44.59124303 -092.48749428
111  44.59124412 -092.48761745 102
112  44.59111250 -092.48764367  44.59106946 -092.48777108
111  44.59111250 -092.48764367 102
111  44.59108777 -092.48774182 102
111  44.59110136 -092.48903825
111  44.59110332 -092.48924870
111  44.59110478 -092.48940589
111  44.59110675 -092.48961822 102
111  44.59112572 -092.49160117
112  44.59112572 -092.49160117  44.59114916 -092.49171438 102
111  44.59120689 -092.49174273 102
111  44.59128964 -092.49174064
112  44.59128964 -092.49174064  44.59140500 -092.49171745 102
111  44.59140887 -092.49156271
111  44.59139943 -092.49041441
111  44.59139499 -092.49012730
111  44.59154740 -092.49012549
111  44.59167105 -092.49012403
111  44.59167320 -092.49057779
111  44.59195458 -092.49057213
111  44.59195264 -092.49035018
111  44.59195101 -092.49016073
111  44.59195043 -092.49009361
111  44.59194987 -092.48994260
111  44.59227574 -092.48993802
111  44.59228081 -092.49070260
111  44.59229010 -092.49070265
111  44.59228457 -092.48993789
111  44.59296830 -092.48992828
111  44.59296888 -092.48999024
111  44.59296948 -092.49005383
111  44.59292688 -092.49005442
111  44.59271100 -092.49005736
111  44.59265188 -092.49006244
111  44.59248263 -092.49006285
111  44.59242965 -092.49006116
112  44.59242965 -092.49006116  44.59241101 -092.49006519
111  44.59240707 -092.49008986
111  44.59241061 -092.49049436
112  44.59241061 -092.49049436  44.59241706 -092.49051762
111  44.59243746 -092.49052232
111  44.59247586 -092.49052156
111  44.59253267 -092.49052102
111  44.59253277 -092.49051721
111  44.59265520 -092.49051543
111  44.59271493 -092.49051456
111  44.59293192 -092.49051286
111  44.59316313 -092.49050803
111  44.59316363 -092.49058474
111  44.59316414 -092.49066291
111  44.59285889 -092.49067149
112  44.59285889 -092.49067149  44.59282685 -092.49068175
111  44.59282018 -092.49070957
111  44.59278298 -092.49070960
111  44.59276898 -092.49070961
111  44.59275559 -092.49070962
111  44.59269588 -092.49070967
112  44.59269588 -092.49070967  44.59269596 -092.49067448
111  44.59268250 -092.49067102
111  44.59261760 -092.49067137
111  44.59246324 -092.49067218
111  44.59243326 -092.49067234
112  44.59243326 -092.49067234  44.59242119 -092.49067811
111  44.59241096 -092.49071054
111  44.59241480 -092.49101774
111  44.59246976 -092.49101730
111  44.59246989 -092.49109429
111  44.59241495 -092.49109451
111  44.59241629 -092.49121251
112  44.59241629 -092.49121251  44.59244012 -092.49126637
111  44.59246894 -092.49127751
111  44.59266056 -092.49127244
111  44.59284373 -092.49126748
111  44.59301425 -092.49126029
111  44.59316334 -092.49125804
111  44.59317286 -092.49140703
111  44.59303323 -092.49140946
111  44.59265399 -092.49142051
111  44.59250932 -092.49142473
111  44.59247251 -092.49142580
112  44.59247251 -092.49142580  44.59243637 -092.49143524
111  44.59242309 -092.49149455
111  44.59242264 -092.49161380
112  44.59242264 -092.49161380  44.59241547 -092.49163418
111  44.59242309 -092.49168762
111  44.59242494 -092.49199094
112  44.59242494 -092.49199094  44.59244193 -092.49201571
111  44.59247554 -092.49202280
111  44.59317704 -092.49200638
111  44.59317959 -092.49215956
111  44.59313763 -092.49215987
111  44.59305732 -092.49215981
111  44.59297390 -092.49216197
111  44.59289094 -092.49216446
111  44.59261349 -092.49217412
111  44.59254761 -092.49217413
111  44.59247431 -092.49217182
112  44.59247431 -092.49217182  44.59243596 -092.49218164
111  44.59242452 -092.49225793
111  44.59243070 -092.49270449
112  44.59243070 -092.49270449  44.59245011 -092.49275252
111  44.59251259 -092.49276585
111  44.59267640 -092.49276400
111  44.59319883 -092.49275807
111  44.59319883 -092.49282900
111  44.59319883 -092.49290234
111  44.59316594 -092.49290275
111  44.59304011 -092.49290515
111  44.59265364 -092.49291713
111  44.59252222 -092.49291941
111  44.59250414 -092.49291973
112  44.59250414 -092.49291973  44.59242177 -092.49293423
111  44.59241831 -092.49302744
111  44.59242845 -092.49339057
112  44.59242845 -092.49339057  44.59243189 -092.49342014
111  44.59243990 -092.49344715
111  44.59246041 -092.49349286
112  44.59246041 -092.49349286  44.59246466 -092.49349898
111  44.59247100 -092.49350342
111  44.59255699 -092.49350129
111  44.59259171 -092.49350155
111  44.59320296 -092.49348531
111  44.59320287 -092.49363798
111  44.59247774 -092.49365421
112  44.59247774 -092.49365421  44.59244028 -092.49366881
111  44.59241854 -092.49375484
111  44.59241918 -092.49384491
111  44.59235432 -092.49384652
112  44.59230135 -092.49379467  44.59226954 -092.49379097
111  44.59230135 -092.49379467
112  44.59230135 -092.49379467  44.59227275 -092.49379376
111  44.59225290 -092.49384175
111  44.59225265 -092.49386079
111  44.59207232 -092.49386199
111  44.59198767 -092.49399804
112  44.59198767 -092.49399804  44.59194273 -092.49393130
111  44.59187674 -092.49386004
111  44.59195209 -092.49385855
111  44.59195137 -092.49367094
111  44.59199383 -092.49364331
111  44.59231436 -092.49363450
112  44.59231436 -092.49363450  44.59233424 -092.49363303
112  44.59235073 -092.49357255  44.59235745 -092.49352397
111  44.59235073 -092.49357255
111  44.59234514 -092.49323723
111  44.59233354 -092.49316898
111  44.59233265 -092.49290660
112  44.59233265 -092.49290660  44.59233032 -092.49288773
111  44.59230813 -092.49287279
111  44.59223130 -092.49287412
111  44.59223121 -092.49287889
111  44.59214940 -092.49288081
111  44.59208323 -092.49288108
111  44.59197031 -092.49288271
111  44.59175168 -092.49288244
111  44.59175164 -092.49299856
111  44.59175126 -092.49319023
111  44.59177802 -092.49318951
111  44.59177468 -092.49337248
111  44.59173075 -092.49337990
111  44.59172213 -092.49352356
111  44.59172839 -092.49386908
111  44.59172914 -092.49391035
111  44.59176986 -092.49411972
111  44.59180582 -092.49435182
111  44.59181834 -092.49443514
112  44.59181834 -092.49443514  44.59176318 -092.49446285
111  44.59146439 -092.49445094 102
111  44.59041490 -092.49452809 102
111  44.58986655 -092.49456846
111  44.58986146 -092.49444002
111  44.58985151 -092.49417044
112  44.58985151 -092.49417044  44.58990245 -092.49439565 102
111  44.59005070 -092.49439686 102
111  44.59040865 -092.49437008 102
111  44.59088834 -092.49433538
112  44.59088834 -092.49433538  44.59097709 -092.49430146 102
112  44.59103918 -092.49406704  44.59104699 -092.49391467
111  44.59103918 -092.49406704 102
111  44.59101959 -092.49208116
112  44.59101959 -092.49208116  44.59099265 -092.49192896 102
111  44.59089231 -092.49192331 102
111  44.59031278 -092.49193353 102
111  44.58993183 -092.49194026
112  44.58993183 -092.49194026  44.58978388 -092.49200639 102
111  44.58977648 -092.49220803
111  44.58975206 -092.49154635 102
112  44.58993720 -092.49177705  44.59008488 -092.49179542
111  44.58993720 -092.49177705 102
111  44.59031214 -092.49177284 102
111  44.59088214 -092.49176549
112  44.59088214 -092.49176549  44.59101065 -092.49174103 102
111  44.59101589 -092.49160966 102
111  44.59096794 -092.48642108
112  44.59096794 -092.48642108  44.59094410 -092.48627815 102
111  44.59084345 -092.48626328 102
111  44.59010098 -092.48626119 102
111  44.58975309 -092.48626602
112  44.58975309 -092.48626602  44.58956745 -092.48627574 102
111  44.58956060 -092.48654602
111  44.58953492 -092.48583273 102
112  44.58975070 -092.48610789  44.58994304 -092.48611690
111  44.58975070 -092.48610789 102
111  44.59010072 -092.48610797 102
111  44.59081799 -092.48610812
112  44.59081799 -092.48610812  44.59095346 -092.48609511 102
111  44.59096244 -092.48593447 102
111  44.59089395 -092.47888271
112  44.59089395 -092.47888271  44.59085326 -092.47863734 102
111  44.59068216 -092.47863663 102
111  44.58981252 -092.47870356 102
111  44.58944715 -092.47873373
112  44.58944715 -092.47873373  44.58927224 -092.47878946 102
111  44.58927418 -092.47902729
111  44.58924877 -092.47831597 102
112  44.58943973 -092.47857141  44.58960650 -092.47859124
111  44.58943973 -092.47857141 102
111  44.58980842 -092.47854383 102
111  44.59075147 -092.47847675
112  44.59075147 -092.47847675  44.59085644 -092.47845126 102
111  44.59084592 -092.47829846
112  44.59084592 -092.47829846  44.59080016 -092.47792261 102
111  44.59068990 -092.47755933 102
111  44.59016214 -092.47588308
112  44.59016214 -092.47588308  44.59006582 -092.47564454 102
112  44.58968699 -092.47548160  44.58946850 -092.47546953
111  44.58968699 -092.47548160
112  44.58968699 -092.47548160  44.58966852 -092.47548058 102
112  44.58963032 -092.47548155  44.58961102 -092.47548255
111  44.58963032 -092.47548155 102
111  44.58934836 -092.47550528
112  44.58934836 -092.47550528  44.58916705 -092.47553323 102
111  44.58915235 -092.47576765
113  44.58914230 -092.47549056
111  44.59221467 -092.49242210
111  44.59217207 -092.49242185
111  44.59189273 -092.49242486
111  44.59189397 -092.49253866
111  44.59187752 -092.49253953
111  44.59187650 -092.49259286
111  44.59183921 -092.49259337
111  44.59183868 -092.49254193
111  44.59171889 -092.49254696
111  44.59171892 -092.49259502
111  44.59171899 -092.49272042
111  44.59171902 -092.49277033
111  44.59175182 -092.49277053
111  44.59175170 -092.49271985
111  44.59180364 -092.49271896
111  44.59180391 -092.49276792
111  44.59192620 -092.49276676
111  44.59192647 -092.49271684
111  44.59197839 -092.49271594
111  44.59197837 -092.49276590
111  44.59200868 -092.49276541
111  44.59211834 -092.49276046
111  44.59230335 -092.49275905
111  44.59232145 -092.49272851
111  44.59232019 -092.49245050
112  44.59229765 -092.49242090  44.59228112 -092.49240910
113  44.59229765 -092.49242090
111  44.59231019 -092.49187462
112  44.59229436 -092.49184373  44.59228119 -092.49183207
111  44.59229436 -092.49184373
111  44.59224882 -092.49184438
111  44.59216320 -092.49184461
111  44.59209442 -092.49184710
111  44.59204571 -092.49184684
111  44.59196501 -092.49184688
111  44.59190970 -092.49184703
111  44.59184860 -092.49184402
111  44.59171736 -092.49184707
111  44.59171626 -092.49224724
111  44.59171608 -092.49231002
111  44.59175402 -092.49230896
111  44.59175348 -092.49224680
111  44.59178825 -092.49224639
111  44.59181863 -092.49224603
111  44.59181897 -092.49230824
111  44.59191261 -092.49230237
111  44.59196184 -092.49230135
111  44.59202089 -092.49230393
111  44.59212535 -092.49230419
111  44.59229619 -092.49230172
112  44.59229619 -092.49230172  44.59231343 -092.49229957
113  44.59231502 -092.49228229
111  44.59170998 -092.49144041
111  44.59171088 -092.49156493
111  44.59171141 -092.49168458
111  44.59171161 -092.49173340
111  44.59173029 -092.49173365
111  44.59173076 -092.49168435
111  44.59181195 -092.49168323
111  44.59181107 -092.49172938
111  44.59188827 -092.49172938
111  44.59188863 -092.49168220
111  44.59198020 -092.49168097
111  44.59197986 -092.49172702
111  44.59205807 -092.49172939
111  44.59210224 -092.49172957
111  44.59219473 -092.49172448
111  44.59223240 -092.49172400
111  44.59229319 -092.49172278
112  44.59231193 -092.49169853  44.59231250 -092.49167962
111  44.59231193 -092.49169853
111  44.59230741 -092.49140932
111  44.59228879 -092.49138356
111  44.59191718 -092.49139279
112  44.59189328 -092.49142158  44.59189197 -092.49144803
111  44.59189328 -092.49142158
111  44.59189587 -092.49155785
111  44.59181265 -092.49156104
113  44.59181614 -092.49143509
111  44.59172963 -092.49129445
111  44.59184835 -092.49129242
111  44.59184833 -092.49120972
111  44.59197418 -092.49120704
111  44.59198578 -092.49120690
111  44.59210887 -092.49120636
111  44.59212250 -092.49120673
111  44.59212225 -092.49128392
111  44.59228625 -092.49128149
112  44.59230442 -092.49123895  44.59230561 -092.49120971
111  44.59230442 -092.49123895
111  44.59230281 -092.49095489
112  44.59230281 -092.49095489  44.59230215 -092.49094381
111  44.59229288 -092.49093829
111  44.59229307 -092.49090479
112  44.59230226 -092.49089139  44.59230244 -092.49088231
111  44.59230226 -092.49089139
111  44.59230194 -092.49078435
112  44.59229101 -092.49076572  44.59228279 -092.49076407
111  44.59229101 -092.49076572
111  44.59226096 -092.49076586
111  44.59212338 -092.49076802
111  44.59210890 -092.49076830
111  44.59198448 -092.49076741
111  44.59197375 -092.49076748
111  44.59184696 -092.49076747
111  44.59184700 -092.49078195
111  44.59183425 -092.49078216
111  44.59170274 -092.49078638
111  44.59170552 -092.49097123
111  44.59170581 -092.49098324
111  44.59170858 -092.49121046
113  44.59170936 -092.49126768
130 Airport Boundary 1
111  44.58982061 -092.50470135
111  44.58957083 -092.49800078
111  44.58918564 -092.49714396
111  44.58827725 -092.49703928
111  44.58805262 -092.49613179
111  44.58715781 -092.49365312
111  44.58725809 -092.46867096
111  44.58828773 -092.46867860
111  44.59233791 -092.47467832
111  44.59333549 -092.47945316
111  44.59322965 -092.49487943
111  44.59107112 -092.49494080
111  44.59105729 -092.49797684
111  44.59017375 -092.49803112
113  44.59038819 -092.50468610
120 Runway Hold 27
111  44.58968618 -092.47532855 54
111  44.58968658 -092.47540448 54
115  44.58968699 -092.47548160
120 Runway Hold 9/27 Center East
111  44.58980842 -092.47854383 54
115  44.58981252 -092.47870356
120 Runway Hold 9/27 Center
111  44.59010072 -092.48610797 54
115  44.59010098 -092.48626119
120 Runway Hold 9/27 Center West
111  44.59031214 -092.49177284 54
115  44.59031278 -092.49193353
120 Runway Hold 9
111  44.59040865 -092.49437008 54
115  44.59041490 -092.49452809
120 Linear Feature 55
111  44.59178825 -092.49230831 1
115  44.59178825 -092.49224639
120 Linear Feature 53
111  44.59216221 -092.49030789 1
115  44.59216212 -092.49036670
120 Linear Feature 53
111  44.59221742 -092.49030371 1
115  44.59221733 -092.49024380
120 Linear Feature 52
111  44.59218833 -092.49036703 1
111  44.59216212 -092.49036670 1
115  44.59213254 -092.49036633
120 Linear Feature 52
111  44.59224353 -092.49024346 1
111  44.59221733 -092.49024380 1
115  44.59218774 -092.49024417
120 Linear Feature 50
111  44.59133643 -092.49236647 1
115  44.59138530 -092.49236626
120 Linear Feature 50
111  44.59133844 -092.49271295 1
115  44.59138730 -092.49271273
120 Linear Feature 50
111  44.59133971 -092.49305955 1
115  44.59138857 -092.49305934
120 Linear Feature 50
111  44.59134114 -092.49340564 1
115  44.59139000 -092.49340543
120 Linear Feature 50
111  44.59134391 -092.49375194 1
115  44.59139278 -092.49375172
120 Linear Feature 50
111  44.59139129 -092.49392490 1
115  44.59134291 -092.49392470
120 Linear Feature 50
111  44.59138986 -092.49357943 1
115  44.59134147 -092.49357922
120 Linear Feature 50
111  44.59138733 -092.49323278 1
115  44.59133894 -092.49323257
120 Linear Feature 50
