I
1050 Generated by WorldEditor 1.7.21r1

1    568 0 0 GVSF Sao Filipe
112  14.88776780 -024.48425470  14.88771324 -024.48432217 1
112  14.88783449 -024.48444862  14.88791766 -024.48446308
111  14.88783449 -024.48444862 1
111  14.88806149 -024.48446788 1
111  14.88818517 -024.48447837
112  14.88818517 -024.48447837  14.88822521 -024.48448235 1
115  14.88824443 -024.48450452
120 Linear Feature 40
111  14.88899894 -024.48474401 1
111  14.88882095 -024.48453128
112  14.88882095 -024.48453128  14.88875840 -024.48446794 1
111  14.88865538 -024.48452290 1
111  14.88850412 -024.48466031 1
111  14.88837739 -024.48477308
112  14.88837739 -024.48477308  14.88831591 -024.48484414 1
111  14.88838122 -024.48493865 1
111  14.88848183 -024.48508241
112  14.88848183 -024.48508241  14.88857477 -024.48518849 1
112  14.88862555 -024.48497038  14.88855528 -024.48487305
111  14.88862555 -024.48497038 1
111  14.88849332 -024.48481175 1
116  14.88850412 -024.48466031  14.88856467 -024.48458114
120 Linear Feature 39
111  14.88926402 -024.48523188 1
112  14.88925797 -024.48505791  14.88919409 -024.48497184
111  14.88925797 -024.48505791 1
115  14.88905013 -024.48480698
120 Linear Feature 38
111  14.89024683 -024.48625312 1
111  14.89039255 -024.48642731
112  14.89039255 -024.48642731  14.89048625 -024.48655468 1
112  14.89024417 -024.48659254  14.89014769 -024.48649673
111  14.89024417 -024.48659254 1
111  14.89012640 -024.48645553
112  14.89012640 -024.48645553  14.89010501 -024.48642952 1
111  14.89009446 -024.48636396 1
111  14.89003397 -024.48604374 1
112  14.88999245 -024.48594542  14.88996357 -024.48591189
111  14.88999245 -024.48594542 1
111  14.88941971 -024.48525336
112  14.88941971 -024.48525336  14.88935549 -024.48518738 1
111  14.88926402 -024.48523188 1
111  14.88910620 -024.48537491
112  14.88910620 -024.48537491  14.88903458 -024.48543746 1
112  14.88899793 -024.48548991  14.88895288 -024.48553015
111  14.88899793 -024.48548991 1
111  14.88887102 -024.48559926
112  14.88887102 -024.48559926  14.88879277 -024.48566536 1
112  14.88868514 -024.48548426  14.88868993 -024.48537437
111  14.88868514 -024.48548426 1
111  14.88869832 -024.48527190 1
111  14.88870017 -024.48524209
112  14.88870017 -024.48524209  14.88873450 -024.48519996 1
112  14.88888030 -024.48524903  14.88893300 -024.48532091
111  14.88888030 -024.48524903 1
111  14.88896537 -024.48535156 1
116  14.88910620 -024.48537491  14.88920054 -024.48533745
120 Linear Feature 35
111  14.88847637 -024.48539373 3
111  14.88852652 -024.48534664 3
111  14.88798782 -024.48469011 3
115  14.88790821 -024.48468986
14  14.88820343 -024.48517693  82.02 0 Tower Viewpoint
1300  14.88806149 -024.48446788  -4.60 tie_down jets|turboprops|props Ramp GA 03
1301 A general_aviation 
1300  14.88838122 -024.48493865 125.92 gate jets|turboprops Gate 02
1301 B airline 
1300  14.88869832 -024.48527190  86.22 gate jets|turboprops Gate 01
1301 B airline 
51 12280 Sao Filipe UNICOM
99
