I
1130 Generated by WorldEditor 2.2.0r2

1    753 0 0 C66 Monmouth Muni
111  40.92622897 -090.63363044 54
115  40.92612644 -090.63364126
120 Linear Feature 21
111  40.93349957 -090.62946590 54
115  40.93330425 -090.62957972
120 Linear Feature 20
111  40.92785759 -090.63166547 54
115  40.92791499 -090.63163274
120 Linear Feature 18
111  40.92734539 -090.63492825 51
115  40.92729710 -090.63493029
120 Linear Feature 18
111  40.92734927 -090.63509688 51
115  40.92730099 -090.63509968
120 Linear Feature 18
111  40.92735386 -090.63525900 51
115  40.92730488 -090.63526179
120 Linear Feature 17
111  40.92729788 -090.63496122 51
111  40.92729710 -090.63493029 51
115  40.92729631 -090.63489792
120 Linear Feature 17
111  40.92730176 -090.63514202 51
111  40.92730099 -090.63509968 51
115  40.92730019 -090.63505536
120 Linear Feature 17
111  40.92730567 -090.63530413 51
111  40.92730488 -090.63526179 51
115  40.92730408 -090.63521748
120 Linear Feature 16
111  40.92728379 -090.63473315 51
115  40.92728310 -090.63466947
120 Linear Feature 16
111  40.92716028 -090.63473869 51
115  40.92715959 -090.63467502
120 Linear Feature 16
111  40.92703616 -090.63474283 51
115  40.92703547 -090.63467916
120 Linear Feature 16
111  40.92691305 -090.63474761 51
115  40.92691236 -090.63468393
120 Linear Feature 16
111  40.92678895 -090.63475291 51
115  40.92678826 -090.63468923
120 Linear Feature 16
111  40.92666492 -090.63475848 51
115  40.92666423 -090.63469481
120 Linear Feature 16
111  40.92654146 -090.63476308 51
115  40.92654077 -090.63469941
120 Linear Feature 15
111  40.92725165 -090.63473383 51
111  40.92728379 -090.63473315 51
115  40.92731582 -090.63473248
120 Linear Feature 15
111  40.92712814 -090.63473937 51
111  40.92716028 -090.63473869 51
115  40.92719232 -090.63473802
120 Linear Feature 15
111  40.92700402 -090.63474351 51
111  40.92703616 -090.63474283 51
115  40.92706819 -090.63474216
120 Linear Feature 15
111  40.92688091 -090.63474829 51
111  40.92691305 -090.63474761 51
115  40.92694509 -090.63474693
120 Linear Feature 15
111  40.92675681 -090.63475358 51
111  40.92678895 -090.63475291 51
115  40.92682098 -090.63475223
120 Linear Feature 15
111  40.92663278 -090.63475916 51
111  40.92666492 -090.63475848 51
115  40.92669696 -090.63475781
120 Linear Feature 15
111  40.92650932 -090.63476376 51
111  40.92654146 -090.63476308 51
115  40.92657349 -090.63476241
120 Linear Feature 14
111  40.92615859 -090.63326060 51
112  40.92615358 -090.63336512  40.92615602 -090.63340225
111  40.92615358 -090.63336512 51
111  40.92625671 -090.63461489 51
112  40.92650080 -090.63491066  40.92671686 -090.63495135
111  40.92650080 -090.63491066 51
115  40.92723983 -090.63488115
120 Linear Feature 12
111  40.93324641 -090.62921990 51
112  40.93333579 -090.62933567  40.93337532 -090.62942752
111  40.93333579 -090.62933567 51
115  40.93343121 -090.62961285
120 Linear Feature 11
111  40.92669072 -090.63119224 1
111  40.92669063 -090.63113796
112  40.92669063 -090.63113796  40.92668430 -090.63108111 1
115  40.92664578 -090.63106949
120 Linear Feature 11
111  40.92684438 -090.63118921 1
111  40.92684353 -090.63113508
112  40.92684353 -090.63113508  40.92683719 -090.63107823 1
115  40.92679874 -090.63106598
120 Linear Feature 11
111  40.92699870 -090.63118616 1
111  40.92699766 -090.63112882
112  40.92699766 -090.63112882  40.92699132 -090.63107478 1
115  40.92695099 -090.63106248
120 Linear Feature 11
111  40.92715119 -090.63118316 1
111  40.92715069 -090.63112606
112  40.92715069 -090.63112606  40.92714612 -090.63107762 1
115  40.92711054 -090.63105882
120 Linear Feature 11
111  40.92730492 -090.63118013 1
111  40.92730459 -090.63112279
112  40.92730459 -090.63112279  40.92730002 -090.63107435 1
115  40.92726423 -090.63105529
120 Linear Feature 10
111  40.92666797 -090.63150552 1
112  40.92661951 -090.63143546  40.92660648 -090.63137265
111  40.92661951 -090.63143546 1
115  40.92661691 -090.63136938
120 Linear Feature 10
111  40.92681875 -090.63150147 1
112  40.92677075 -090.63143091  40.92675650 -090.63137052
111  40.92677075 -090.63143091 1
115  40.92676937 -090.63136526
120 Linear Feature 10
111  40.92696955 -090.63149743 1
112  40.92692615 -090.63142675  40.92691444 -090.63137444
111  40.92692615 -090.63142675 1
115  40.92692371 -090.63136109
120 Linear Feature 10
111  40.92711954 -090.63149340 1
112  40.92707973 -090.63142965  40.92706802 -090.63137734
111  40.92707973 -090.63142965 1
115  40.92707861 -090.63135691
120 Linear Feature 10
111  40.92727911 -090.63148911 1
112  40.92723270 -090.63142190  40.92722099 -090.63136959
111  40.92723270 -090.63142190 1
115  40.92723175 -090.63135277
120 Linear Feature 10
111  40.92744232 -090.63148473 1
112  40.92738568 -090.63141899  40.92737836 -090.63136281
111  40.92738568 -090.63141899 1
115  40.92738482 -090.63134864
120 Linear Feature 9
111  40.92735742 -090.63243653 51
111  40.92788019 -090.63213692
112  40.92788019 -090.63213692  40.92798295 -090.63204857 51
115  40.92795876 -090.63186697
120 Linear Feature 8
111  40.92868528 -090.63168525 51
111  40.92817539 -090.63197029
112  40.92817539 -090.63197029  40.92802095 -090.63202260 51
111  40.92795876 -090.63186697 51
111  40.92785921 -090.63157213
112  40.92785921 -090.63157213  40.92782730 -090.63150687 51
112  40.92771540 -090.63147740  40.92764891 -090.63147498
111  40.92771540 -090.63147740 51
111  40.92744232 -090.63148473 51
111  40.92727911 -090.63148911 51
111  40.92711954 -090.63149340 51
111  40.92696955 -090.63149743 51
111  40.92681875 -090.63150147 51
111  40.92666797 -090.63150552 51
111  40.92651185 -090.63150972
112  40.92651185 -090.63150972  40.92647306 -090.63150584 51
111  40.92645935 -090.63145312 51
111  40.92645309 -090.63114987
112  40.92645309 -090.63114987  40.92646114 -090.63108206 51
111  40.92650262 -090.63107278 51
111  40.92664578 -090.63106949 51
111  40.92679874 -090.63106598 51
111  40.92695099 -090.63106248 51
111  40.92711054 -090.63105882 51
111  40.92726423 -090.63105529 51
111  40.92740146 -090.63105214
112  40.92740146 -090.63105214  40.92745269 -090.63105536 1
111  40.92745817 -090.63111804 1
115  40.92745865 -090.63117709
21  40.92775525 -090.63248637 2 23.2600 3.50 02 PAPI
21  40.93218608 -090.62930640 2 203.2600 3.00 20 PAPI
14  40.92758107 -090.63125654  82.02 0 New Tower Viewpoint 2
1300  40.92768264 -090.63131424 -89.13 tie_down turboprops|props GA 01
1301 A general_aviation 
1300  40.92781790 -090.63131191 -89.13 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  40.92654146 -090.63476308 -88.73 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  40.92666492 -090.63475848 -88.73 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  40.92678895 -090.63475291 -88.73 tie_down turboprops|props GA 05
1301 A general_aviation 
1300  40.92691305 -090.63474761 -88.73 tie_down turboprops|props GA 06
1301 A general_aviation 
1300  40.92703616 -090.63474283 -88.73 tie_down turboprops|props GA 07
1301 A general_aviation 
1300  40.92716028 -090.63473869 -88.73 tie_down turboprops|props GA 08
1301 A general_aviation 
1300  40.92728379 -090.63473315 -88.73 tie_down turboprops|props GA 09
1301 A general_aviation 
1300  40.92729710 -090.63493029 -178.26 tie_down turboprops|props GA 10
1301 A general_aviation 
1300  40.92730099 -090.63509968 -178.26 tie_down turboprops|props GA 11
1301 A general_aviation 
1300  40.92730488 -090.63526179 -178.26 tie_down turboprops|props GA 12
1301 A general_aviation 
1300  40.92738444 -090.63133384 -88.92 hangar turboprops|props Hangar - 02
1301 A none 
1300  40.92723196 -090.63134124 -88.92 hangar turboprops|props Hangar - 04
1301 A none 
1300  40.92707795 -090.63134326 -88.92 hangar turboprops|props Hangar - 06
1301 A none 
1300  40.92692292 -090.63134662 -88.92 hangar turboprops|props Hangar - 08
1301 A none 
1300  40.92677044 -090.63135200 -88.92 hangar turboprops|props Hangar - 10
1301 A none 
1300  40.92661643 -090.63135671 -88.92 hangar turboprops|props Hangar - 12
1301 A none 
1300  40.92669115 -090.63120535  91.06 hangar turboprops|props Hangar - 11
1301 A none 
1300  40.92684465 -090.63120131  91.06 hangar turboprops|props Hangar - 09
1301 A none 
1300  40.92699916 -090.63119795  91.06 hangar turboprops|props Hangar - 07
1301 A none 
1300  40.92715165 -090.63119324  91.06 hangar turboprops|props Hangar - 05
1301 A none 
1300  40.92730515 -090.63119122  91.06 hangar turboprops|props Hangar - 03
1301 A none 
1300  40.92745865 -090.63118853  91.06 hangar turboprops|props Hangar - 01
1301 A none 
18  40.92650906 -090.63547821 1 New Airport Beacon 1
19  40.92667856 -090.63414001 1 New Windsock 3
1051 128800 CTAF
1055 133275 Quad City Approach
1056 133275 Quad City Departure
99
