I
1050 Generated by WorldEditor

1     93 1 0 GBYD Banjul International
110 1 0.00 40.0000 New Taxiway 7
111  13.33828583 -016.65230156
112  13.33861235 -016.65234440  13.33877764 -016.65225857
111  13.33861235 -016.65234440
111  13.33896203 -016.65211116
111  13.34022642 -016.65097832 3
111  13.34011059 -016.65084027 3
111  13.33955647 -016.65017985 3
111  13.34021113 -016.64961176
111  13.34076121 -016.65027110
111  13.34126025 -016.65086927
111  13.34129200 -016.65090732
111  13.34177610 -016.65148759
111  13.34227381 -016.65208416
111  13.34230568 -016.65212235
111  13.34271906 -016.65261785
111  13.34298607 -016.65293789
111  13.34305326 -016.65288395
111  13.34319694 -016.65304926
111  13.34353779 -016.65275940
112  13.34353774 -016.65270532  13.34351613 -016.65267646
111  13.34353774 -016.65270532
111  13.34351018 -016.65267262
111  13.34357104 -016.65261967
111  13.34427394 -016.65345544
111  13.34378006 -016.65388961 3
111  13.34408563 -016.65425587 3
111  13.34435918 -016.65458375
111  13.34440096 -016.65463383
111  13.34296052 -016.65590173
111  13.34241883 -016.65542150
112  13.34241883 -016.65542150  13.34223357 -016.65529536
111  13.34200161 -016.65543723
111  13.34178918 -016.65557491
111  13.34149253 -016.65585028
112  13.34149253 -016.65585028  13.34144622 -016.65596928
111  13.34149636 -016.65615515
111  13.34083743 -016.65536424
112  13.34121226 -016.65543959  13.34138131 -016.65534915
111  13.34121226 -016.65543959
111  13.34142870 -016.65529945
111  13.34174396 -016.65494199
112  13.34175895 -016.65461962  13.34166864 -016.65444350
111  13.34175895 -016.65461962
111  13.34139080 -016.65406324
111  13.34029122 -016.65273804
111  13.33987558 -016.65234152
112  13.33987558 -016.65234152  13.33963011 -016.65214637
111  13.33942789 -016.65230978
111  13.33904824 -016.65261029
112  13.33904824 -016.65261029  13.33878205 -016.65287314
113  13.33894283 -016.65310230
111  13.34382496 -016.65378992 20
111  13.34416483 -016.65349315 20
112  13.34416958 -016.65344307  13.34415122 -016.65341865
111  13.34416958 -016.65344307 20
111  13.34400321 -016.65324278
112  13.34400321 -016.65324278  13.34395892 -016.65320170 20
111  13.34390221 -016.65324644 20
113  13.34358611 -016.65351146 20
111  13.34354214 -016.65345651 20
111  13.34385348 -016.65318415 20
112  13.34386299 -016.65307179  13.34381870 -016.65301628
111  13.34386299 -016.65307179 20
111  13.34363364 -016.65280433
112  13.34363364 -016.65280433  13.34360663 -016.65277768 20
111  13.34356353 -016.65281776 20
113  13.34324149 -016.65309500 20
111  13.34305199 -016.65496349
111  13.34393730 -016.65419529
111  13.34374955 -016.65395958
113  13.34286780 -016.65473999
111  13.34340939 -016.65358119
111  13.34310888 -016.65321914
111  13.34223033 -016.65398167
113  13.34253660 -016.65435702
111  13.34174488 -016.65340097
111  13.34261480 -016.65264996
111  13.34228771 -016.65226016
111  13.34198890 -016.65251832
111  13.34173385 -016.65221181
111  13.34152296 -016.65240427
111  13.34176751 -016.65270959
113  13.34141431 -016.65301474
111  13.34133602 -016.65099419
111  13.34040560 -016.65181143
111  13.34074244 -016.65220087
111  13.34108546 -016.65189891
111  13.34135163 -016.65220502
111  13.34155928 -016.65202493
111  13.34130171 -016.65170854
113  13.34166299 -016.65139051
111  13.34028695 -016.64980716
111  13.34005155 -016.64999991
111  13.34031183 -016.65031068
113  13.34054149 -016.65010809
130 Airport Boundary 26
111  13.32255203 -016.63260215
111  13.32692033 -016.63782074
111  13.32829535 -016.63662192
111  13.32919316 -016.63768095
111  13.33060308 -016.63641691
111  13.33214027 -016.63825799
111  13.33071938 -016.63951971
111  13.33596303 -016.64573390
111  13.34069267 -016.64610770
111  13.34315050 -016.64902070
111  13.34389656 -016.65174671
111  13.34441356 -016.65235659
111  13.34617653 -016.65219176
111  13.34814843 -016.65454385
111  13.34962978 -016.65802269
111  13.35173027 -016.66076897
111  13.35135973 -016.66689206
111  13.34914386 -016.66850627
113  13.32052088 -016.63441781
120 Linear Feature 49
112  13.33498574 -016.64653794  13.33515357 -016.64629647 1
111  13.33501521 -016.64604681 1
115  13.33312052 -016.64378592
120 Linear Feature 48
111  13.33413944 -016.64727786 1
111  13.33498574 -016.64653794 1
112  13.33548257 -016.64659202  13.33572499 -016.64680666
111  13.33548257 -016.64659202 1
115  13.33753936 -016.64905630
120 Linear Feature 29
111  13.32849184 -016.64080157 3
112  13.32862198 -016.64076223  13.32864112 -016.64065209
111  13.32862198 -016.64076223 3
111  13.32863729 -016.63981423
112  13.32863729 -016.63981423  13.32862964 -016.63963525 3
111  13.32844782 -016.63959198 3
111  13.32795788 -016.63955461
112  13.32795788 -016.63955461  13.32762586 -016.63964193 3
115  13.32777224 -016.63993617
120 Linear Feature 32
111  13.33819816 -016.65235192 3
112  13.33869750 -016.65240198  13.33899327 -016.65223569
111  13.33869750 -016.65240198 3
111  13.33893911 -016.65224246 3
111  13.33900893 -016.65219636 3
111  13.34029294 -016.65106092 3
115  13.34022642 -016.65097832
120 Linear Feature 31
111  13.34082445 -016.65547717 3
112  13.34126732 -016.65551559  13.34152513 -016.65537905
111  13.34126732 -016.65551559 3
111  13.34148013 -016.65537373 3
111  13.34151852 -016.65533236 3
111  13.34180653 -016.65502202 3
112  13.34183241 -016.65456096  13.34170588 -016.65431062
111  13.34183241 -016.65456096 3
111  13.34146348 -016.65400202 3
111  13.34038982 -016.65269954 3
111  13.33988036 -016.65223004
112  13.33988036 -016.65223004  13.33962286 -016.65204766 3
111  13.33939536 -016.65221474 3
111  13.33909406 -016.65243021 3
111  13.33905027 -016.65246153 3
111  13.33885184 -016.65269353
112  13.33885184 -016.65269353  13.33872831 -016.65287949 3
115  13.33883602 -016.65310730
120 Linear Feature 30
111  13.34145274 -016.65622607 3
112  13.34144167 -016.65579205  13.34157611 -016.65556772
111  13.34144167 -016.65579205 3
111  13.34164729 -016.65555797 3
111  13.34168326 -016.65553228 3
111  13.34202056 -016.65529138 3
112  13.34247292 -016.65533039  13.34268329 -016.65550108
111  13.34247292 -016.65533039 3
111  13.34297273 -016.65579205 3
115  13.34435918 -016.65458375
120 Linear Feature 28
111  13.32742371 -016.63951864 3
111  13.32756631 -016.63939041 3
112  13.32793716 -016.63927372  13.32817506 -016.63928312
111  13.32793716 -016.63927372 3
111  13.32848598 -016.63931893 3
112  13.32890513 -016.63980918  13.32892044 -016.64023007
111  13.32890513 -016.63980918 3
111  13.32888418 -016.64101005
112  13.32888418 -016.64101005  13.32888992 -016.64125590 3
115  13.32904302 -016.64144864
120 Linear Feature 27
111  13.34860758 -016.66474066 3
111  13.34883218 -016.66454525 3
111  13.34855530 -016.66420816 3
115  13.34813700 -016.66418495
120 Linear Feature 47
111  13.33408701 -016.64737393 3
111  13.33408701 -016.64732464 3
115  13.33408701 -016.64728066
120 Linear Feature 46
111  13.33413624 -016.64732504 3
111  13.33408701 -016.64732464 3
115  13.33403976 -016.64732342
120 Linear Feature 70
111  13.33235070 -016.64538223 3
111  13.33238464 -016.64488934 3
111  13.33209577 -016.64454358 3
115  13.33182785 -016.64476784
120 Linear Feature 74
111  13.34151852 -016.65533236 4
115  13.34168326 -016.65553228
120 Linear Feature 73
111  13.33893911 -016.65224246 4
115  13.33909406 -016.65243021
120 Linear Feature 72
111  13.32793716 -016.63927372 4
115  13.32795788 -016.63955461
120 Linear Feature 69
111  13.34049989 -016.65268889 1
116  13.34095760 -016.65272748  13.34118707 -016.65261498
120 Linear Feature 55
112  13.33991680 -016.65199291  13.33977786 -016.65173825 1
115  13.33995228 -016.65150232
120 Linear Feature 68
111  13.34351603 -016.65518109 1
111  13.34306550 -016.65464537 1
115  13.34304569 -016.65462180
120 Linear Feature 67
111  13.34381439 -016.65492444 1
111  13.34335907 -016.65438014 1
115  13.34334042 -016.65435784
120 Linear Feature 66
111  13.34310718 -016.65411266 1
111  13.34271555 -016.65363841 1
115  13.34269465 -016.65361310
120 Linear Feature 65
111  13.34280530 -016.65437670 1
111  13.34242182 -016.65389852 1
115  13.34240351 -016.65387568
120 Linear Feature 64
112  13.34187953 -016.65376310  13.34161007 -016.65392970 1
115  13.34138842 -016.65374945
120 Linear Feature 63
111  13.34130168 -016.65242611 1
111  13.34068529 -016.65168394 1
115  13.34064617 -016.65163683
120 Linear Feature 62
112  13.34093198 -016.65320464  13.34078883 -016.65296881 1
111  13.34095760 -016.65272748 1
111  13.34130168 -016.65242611 1
111  13.34174470 -016.65203808 1
111  13.34114207 -016.65129891 1
115  13.34110166 -016.65124935
120 Linear Feature 61
111  13.34219722 -016.65349394 1
111  13.34168918 -016.65286867 1
115  13.34166159 -016.65283471
120 Linear Feature 60
112  13.34182858 -016.65427483  13.34168122 -016.65399789 1
111  13.34187953 -016.65376310 1
111  13.34219722 -016.65349394 1
111  13.34269939 -016.65306848 1
111  13.34218813 -016.65244129 1
115  13.34215731 -016.65240348
120 Linear Feature 59
112  13.34252611 -016.65510741  13.34225553 -016.65490052 1
115  13.34201574 -016.65506728
120 Linear Feature 58
112  13.34252611 -016.65510741  13.34237840 -016.65487634 1
115  13.34252382 -016.65462289
120 Linear Feature 57
112  13.34252382 -016.65462289  13.34226500 -016.65472902 1
115  13.34207063 -016.65456374
120 Linear Feature 56
112  13.34201574 -016.65506728  13.34221965 -016.65483352 1
115  13.34207063 -016.65456374
120 Linear Feature 54
111  13.34363624 -016.65408652 1
111  13.34365574 -016.65411011 1
111  13.34411506 -016.65466581 1
111  13.34381439 -016.65492444 1
111  13.34351603 -016.65518109 1
111  13.34325952 -016.65540174
112  13.34325952 -016.65540174  13.34294458 -016.65559452 1
111  13.34272318 -016.65534263 1
111  13.34252611 -016.65510741 1
111  13.34207063 -016.65456374 1
111  13.34182858 -016.65427483 1
111  13.34138842 -016.65374945 1
111  13.34093198 -016.65320464 1
111  13.34049989 -016.65268889 1
111  13.33991680 -016.65199291 1
116  13.33942801 -016.65196299  13.33917328 -016.65211292
120 Linear Feature 53
111  13.33776999 -016.65213490 1
111  13.33816382 -016.65259817 1
112  13.33866996 -016.65262906  13.33897443 -016.65245562
111  13.33866996 -016.65262906 1
111  13.33942801 -016.65196299 1
111  13.33995228 -016.65150232 1
111  13.34085109 -016.65071256 1
111  13.34040241 -016.65018253 1
111  13.34016306 -016.64989979
112  13.34016306 -016.64989979  13.33962015 -016.64996470 1
112  13.34021684 -016.65065242  13.34064440 -016.65059814
111  13.34021684 -016.65065242 1
115  13.34046358 -016.65095314
120 Linear Feature 52
111  13.34160442 -016.65669816 1
111  13.34121691 -016.65623813 1
112  13.34126436 -016.65572446  13.34148343 -016.65547837
111  13.34126436 -016.65572446 1
111  13.34201574 -016.65506728 1
111  13.34252382 -016.65462289 1
111  13.34280530 -016.65437670 1
111  13.34310718 -016.65411266 1
111  13.34340912 -016.65384858 1
111  13.34301609 -016.65338507 1
115  13.34299658 -016.65336206
120 Linear Feature 51
111  13.34757694 -016.66381033 1
111  13.34785358 -016.66413756 1
112  13.34822242 -016.66432174  13.34846078 -016.66435571
111  13.34822242 -016.66432174 1
111  13.34861563 -016.66435393
112  13.34861563 -016.66435393  13.34876578 -016.66459166 1
112  13.34834470 -016.66481169  13.34814493 -016.66481366
111  13.34834470 -016.66481169
112  13.34834470 -016.66481169  13.34820189 -016.66481310 1
112  13.34808846 -016.66446479  13.34810514 -016.66424563
111  13.34808846 -016.66446479 1
115  13.34772831 -016.66403206
120 Linear Feature 50
111  13.32794982 -016.64044808 1
112  13.32756878 -016.63997211  13.32752247 -016.63990310
111  13.32756878 -016.63997211
112  13.32756878 -016.63997211  13.32752247 -016.63990310 1
112  13.32793930 -016.63941394  13.32844413 -016.63939014
111  13.32793930 -016.63941394 1
111  13.32846560 -016.63945721 1
112  13.32877296 -016.63981418  13.32879844 -016.64012594
111  13.32877296 -016.63981418 1
111  13.32874770 -016.64115987
112  13.32874770 -016.64115987  13.32876927 -016.64140516 1
111  13.32886906 -016.64153151 1
115  13.32921559 -016.64194822
120 Linear Feature 42
112  13.34128693 -016.65288353  13.34133157 -016.65290096 20
111  13.34139264 -016.65286443 20
115  13.34227381 -016.65208416
120 Linear Feature 41
111  13.34230568 -016.65212235 20
115  13.34131588 -016.65299134
120 Linear Feature 44
111  13.34171744 -016.65347074 3
111  13.34161108 -016.65356585
112  13.34161108 -016.65356585  13.34153919 -016.65360481 3
111  13.34147514 -016.65355510 3
111  13.34129867 -016.65339255 3
111  13.34116403 -016.65318969 3
112  13.34117057 -016.65305266  13.34121763 -016.65299086
111  13.34117057 -016.65305266 3
115  13.34128515 -016.65295465
120 Linear Feature 45
111  13.34011059 -016.65084027 20
115  13.34076121 -016.65027110
120 Linear Feature 43
111  13.34247619 -016.65437659 3
111  13.34237447 -016.65446191
112  13.34237447 -016.65446191  13.34230388 -016.65449953 3
111  13.34224506 -016.65446997 3
111  13.34211827 -016.65435578 3
111  13.34202154 -016.65420801 3
112  13.34204245 -016.65407098  13.34209604 -016.65401993
111  13.34204245 -016.65407098 3
115  13.34214327 -016.65397913
120 Linear Feature 40
111  13.34175546 -016.65344310 20
115  13.34271906 -016.65261785
120 Linear Feature 34
111  13.34309325 -016.65511255 20
111  13.34276659 -016.65472329 20
111  13.34247619 -016.65437659 20
111  13.34214327 -016.65397913 20
111  13.34171744 -016.65347074 20
111  13.34131588 -016.65299134 20
111  13.34128515 -016.65295465 20
111  13.34078746 -016.65236048 20
111  13.34032711 -016.65181102
112  13.34032711 -016.65181102  13.34030226 -016.65177771 20
115  13.34031245 -016.65170512
120 Linear Feature 36
111  13.34126025 -016.65086927 20
111  13.34031245 -016.65170512 3
111  13.34015925 -016.65183857 3
112  13.34014527 -016.65196731  13.34018057 -016.65203717
111  13.34014527 -016.65196731 3
111  13.34031928 -016.65223391 3
111  13.34055110 -016.65244069
112  13.34055110 -016.65244069  13.34063214 -016.65248906 3
111  13.34070303 -016.65244019 3
111  13.34078746 -016.65236048 20
115  13.34177610 -016.65148759
120 Linear Feature 39
111  13.34346668 -016.65350771 20
115  13.34251095 -016.65434539
120 Linear Feature 38
111  13.34221253 -016.65398899 20
115  13.34317161 -016.65315788
120 Linear Feature 37
111  13.34218071 -016.65395098 20
115  13.34313473 -016.65311415
120 Linear Feature 35
112  13.34286813 -016.65463337  13.34280233 -016.65467273 20
111  13.34274909 -016.65462981 20
111  13.34251095 -016.65434539 20
111  13.34221253 -016.65398899 20
111  13.34218071 -016.65395098 20
111  13.34175546 -016.65344310 20
111  13.34128693 -016.65288353 20
111  13.34037780 -016.65179775 20
112  13.34038998 -016.65170119  13.34042995 -016.65166122
111  13.34038998 -016.65170119 20
115  13.34129200 -016.65090732
120 Linear Feature 33
111  13.34407830 -016.65426069 20
111  13.34309325 -016.65511255 3
111  13.34300344 -016.65519022
112  13.34300344 -016.65519022  13.34293095 -016.65524884 3
111  13.34285091 -016.65520124 3
111  13.34264299 -016.65500305
112  13.34264299 -016.65500305  13.34256337 -016.65489557 3
111  13.34266985 -016.65480896 3
111  13.34276659 -016.65472329 20
111  13.34286813 -016.65463337 20
111  13.34367781 -016.65391638 20
112  13.34369794 -016.65378190  13.34365278 -016.65370618
111  13.34369794 -016.65378190 20
111  13.34346668 -016.65350771 20
111  13.34317161 -016.65315788 20
111  13.34313473 -016.65311415 20
115  13.34298607 -016.65293789
21  13.34605936 -016.66127985 2 130.8300 3.00 14  PAPI-4L
21  13.32970608 -016.64315953 2 310.8300 3.00 32  PAPI-4L
14  13.34299584 -016.65160814 131.23 0 Tower
1300  13.34040315 -016.65017950 -48.72 gate jets|turboprops Gate 11
1301 C airline 
1300  13.34068529 -016.65168394 130.23 gate heavy|jets|turboprops Gate 10
1301 E airline 
1300  13.34114207 -016.65129891 129.65 gate heavy|jets|turboprops Gate 09
1301 E airline 
1300  13.34218813 -016.65244129 129.80 gate heavy|jets|turboprops Gate 07
1301 E airline 
1300  13.34168918 -016.65286867 129.98 gate heavy|jets|turboprops Gate 08
1301 E airline 
1300  13.34242182 -016.65389852 129.75 gate jets|turboprops Gate 06
1301 C airline 
1300  13.34271555 -016.65363841 130.20 gate jets|turboprops Gate 05
1301 C airline 
1300  13.34301609 -016.65338507 130.88 gate jets|turboprops Gate 04
1301 C airline 
1300  13.34431344 -016.65755327 155.64 tie_down jets|turboprops North Apron
1301 C general_aviation 
1300  13.34365574 -016.65411011 130.40 gate jets|turboprops Gate 01
1301 C airline 
1300  13.34335907 -016.65438014 130.51 gate jets|turboprops Gate 02
1301 C airline 
1300  13.34306550 -016.65464537 130.50 gate jets|turboprops Gate 03
1301 C airline 
18  13.34299584 -016.65160814 1 BCN
51 13060 Banjul Unicom
53 12190 Banjul Ground
54 11830 Banjul Tower
55 12130 Banjul Approach
99
