I
1100 Generated by WorldEditor 1.6.1r1

1    819 0 0 CTA4 ST BRUNO DE GUIGUES
113  47.45109713 -079.41836667 20
120 Linear Feature 38
111  47.45097182 -079.41836326 20
111  47.45097119 -079.41837256 20
111  47.45097705 -079.41837290 20
113  47.45097757 -079.41836360 20
120 Linear Feature 38
111  47.45086576 -079.41836172 20
111  47.45086513 -079.41837103 20
111  47.45087099 -079.41837136 20
113  47.45087151 -079.41836206 20
120 Linear Feature 38
111  47.45115736 -079.41949790 20
111  47.45115805 -079.41948860 20
111  47.45115219 -079.41948818 20
113  47.45115161 -079.41949747 20
120 Linear Feature 38
111  47.45102947 -079.41950405 20
111  47.45103017 -079.41949475 20
111  47.45102431 -079.41949433 20
113  47.45102372 -079.41950362 20
120 Linear Feature 38
111  47.45091302 -079.41951174 20
111  47.45091372 -079.41950244 20
111  47.45090786 -079.41950202 20
113  47.45090727 -079.41951131 20
120 Linear Feature 38
111  47.45071383 -079.41996862 20
111  47.45071312 -079.41997791 20
111  47.45071898 -079.41997836 20
113  47.45071958 -079.41996907 20
120 Linear Feature 38
111  47.45083224 -079.41997289 20
111  47.45083153 -079.41998218 20
111  47.45083739 -079.41998263 20
113  47.45083799 -079.41997334 20
120 Linear Feature 38
111  47.45094488 -079.41997609 20
111  47.45094417 -079.41998538 20
111  47.45095002 -079.41998583 20
113  47.45095063 -079.41997654 20
120 Linear Feature 38
111  47.45106257 -079.41998357 20
111  47.45106186 -079.41999286 20
111  47.45106772 -079.41999331 20
113  47.45106832 -079.41998402 20
120 Linear Feature 38
111  47.45109407 -079.42025755 20
111  47.45109491 -079.42024828 20
111  47.45108906 -079.42024766 20
113  47.45108833 -079.42025693 20
120 Linear Feature 38
111  47.45097421 -079.42024580 20
111  47.45097505 -079.42023653 20
111  47.45096920 -079.42023591 20
113  47.45096847 -079.42024518 20
120 Linear Feature 38
111  47.45085869 -079.42024153 20
111  47.45085952 -079.42023226 20
111  47.45085367 -079.42023164 20
113  47.45085295 -079.42024091 20
120 Linear Feature 38
111  47.45074316 -079.42023833 20
111  47.45074400 -079.42022906 20
111  47.45073815 -079.42022844 20
113  47.45073742 -079.42023771 20
120 Linear Feature 38
111  47.45135271 -079.41829348 20
111  47.45135208 -079.41830278 20
111  47.45135794 -079.41830311 20
113  47.45135846 -079.41829382 20
120 Linear Feature 38
111  47.45123418 -079.41830116 20
111  47.45123355 -079.41831047 20
111  47.45123941 -079.41831080 20
113  47.45123993 -079.41830150 20
120 Linear Feature 38
111  47.45111461 -079.41830116 20
111  47.45111398 -079.41831047 20
111  47.45111984 -079.41831080 20
113  47.45112036 -079.41830150 20
120 Linear Feature 38
111  47.45099504 -079.41829809 20
111  47.45099441 -079.41830739 20
111  47.45100028 -079.41830773 20
113  47.45100079 -079.41829843 20
120 Linear Feature 38
111  47.45088899 -079.41829655 20
111  47.45088836 -079.41830586 20
111  47.45089422 -079.41830619 20
113  47.45089474 -079.41829689 20
120 Linear Feature 38
111  47.45113366 -079.41956270 20
111  47.45113435 -079.41955340 20
111  47.45112850 -079.41955298 20
113  47.45112791 -079.41956227 20
120 Linear Feature 38
111  47.45100577 -079.41956885 20
111  47.45100647 -079.41955955 20
111  47.45100061 -079.41955913 20
113  47.45100002 -079.41956842 20
120 Linear Feature 38
111  47.45088932 -079.41957654 20
111  47.45089002 -079.41956724 20
111  47.45088416 -079.41956682 20
113  47.45088357 -079.41957611 20
120 Linear Feature 38
111  47.45073763 -079.41990390 20
111  47.45073692 -079.41991319 20
111  47.45074278 -079.41991364 20
113  47.45074338 -079.41990435 20
120 Linear Feature 38
111  47.45085604 -079.41990817 20
111  47.45085533 -079.41991746 20
111  47.45086119 -079.41991791 20
113  47.45086179 -079.41990862 20
120 Linear Feature 38
111  47.45096868 -079.41991138 20
111  47.45096797 -079.41992067 20
111  47.45097383 -079.41992111 20
113  47.45097443 -079.41991183 20
120 Linear Feature 38
111  47.45108637 -079.41991885 20
111  47.45108566 -079.41992814 20
111  47.45109152 -079.41992859 20
113  47.45109212 -079.41991930 20
120 Linear Feature 38
111  47.45106941 -079.42032155 20
111  47.45107024 -079.42031228 20
111  47.45106439 -079.42031167 20
113  47.45106367 -079.42032093 20
120 Linear Feature 38
111  47.45094955 -079.42030981 20
111  47.45095038 -079.42030054 20
111  47.45094453 -079.42029992 20
113  47.45094381 -079.42030919 20
120 Linear Feature 38
111  47.45083402 -079.42030554 20
111  47.45083486 -079.42029627 20
111  47.45082901 -079.42029565 20
113  47.45082828 -079.42030492 20
120 Linear Feature 38
111  47.45071850 -079.42030233 20
111  47.45071933 -079.42029306 20
111  47.45071348 -079.42029245 20
113  47.45071276 -079.42030172 20
120 Linear Feature 37
111  47.44934993 -079.41979631 51
111  47.44934777 -079.41931171 51
112  47.44960433 -079.41893551  47.44983718 -079.41893169
111  47.44960433 -079.41893551
112  47.44960433 -079.41893551  47.44932751 -079.41883604 51
111  47.44934777 -079.41853381 51
115  47.44935424 -079.41774953
120 Linear Feature 36
111  47.45080090 -079.41893868 51
115  47.44960433 -079.41893551
120 Linear Feature 35
111  47.45070225 -079.42009660 51
111  47.45112985 -079.42012051 51
112  47.45126100 -079.41999298  47.45127717 -079.41989734 51
115  47.45131670 -079.41960243
1300  47.45107069 -079.42016842  87.60 tie_down props GA 16
1301 A general_aviation 
1300  47.45095286 -079.42015689  87.60 tie_down props GA 15
1301 A general_aviation 
1300  47.45083502 -079.42015433  87.60 tie_down props GA 14
1301 A general_aviation 
1300  47.45072239 -079.42014920  87.60 tie_down props GA 13
1301 A general_aviation 
1300  47.45108976 -079.42007489 269.54 tie_down props GA 12
1301 A general_aviation 
1300  47.45096759 -079.42006848 269.54 tie_down props GA 11
1301 A general_aviation 
1300  47.45085755 -079.42006592 269.54 tie_down props GA 10
1301 A general_aviation 
1300  47.45074145 -079.42006208 269.54 tie_down props GA 09
1301 A general_aviation 
1300  47.45112889 -079.41941288  91.05 tie_down props GA 08
1301 A general_aviation 
1300  47.45101510 -079.41941731  91.05 tie_down props GA 07
1301 A general_aviation 
1300  47.45088335 -079.41941952  91.05 tie_down props GA 06
1301 A general_aviation 
1300  47.45135497 -079.41844313 271.21 tie_down props GA 05
1301 A general_aviation 
1300  47.45123669 -079.41844977 271.21 tie_down props GA 04
1301 A general_aviation 
1300  47.45111841 -079.41844977 271.21 tie_down props GA 03
1301 A general_aviation 
1300  47.45100462 -079.41844977 271.21 tie_down props GA 02
1301 A general_aviation 
1300  47.45089533 -079.41845641 271.21 tie_down props GA 01
1301 A general_aviation 
18  47.45024926 -079.41798721 1 BCN
19  47.44970566 -079.42746315 1 WS
19  47.44887127 -079.40850600 1 WS
51 12320 CTAF
99
