I
1050 Generated by WorldEditor 2.1.0r1

1   2121 0 0 CEP3 Barrhead
111  54.09455684 -114.44289819
111  54.09455681 -114.44308107
111  54.09451852 -114.44308103
111  54.09451867 -114.44304019
111  54.09438082 -114.44304037
111  54.09438091 -114.44301113
112  54.09438091 -114.44301113  54.09445823 -114.44296572
111  54.09438891 -114.44288708
111  54.09438759 -114.44274228
111  54.09518516 -114.44278781
111  54.09518357 -114.44291152
113  54.09505860 -114.44290210
110 3 0.00 0.0000 New Taxiway 26
111  54.09525554 -114.44401224
111  54.09526145 -114.44308797
112  54.09526145 -114.44308797  54.09524601 -114.44297845
111  54.09518357 -114.44291152
111  54.09518516 -114.44278781
112  54.09518516 -114.44278781  54.09523801 -114.44276563
111  54.09526426 -114.44264988
111  54.09528513 -114.43938853
112  54.09528513 -114.43938853  54.09531798 -114.43930257
111  54.09536721 -114.43924884
111  54.09678093 -114.43785062
111  54.09678096 -114.43806814
111  54.09543052 -114.43938412
112  54.09543052 -114.43938412  54.09536923 -114.43946820
111  54.09533688 -114.43959594
113  54.09530490 -114.44401227
110 1 0.00 0.0000 New Taxiway 25
111  54.09498265 -114.44704130
111  54.09498352 -114.44563127
111  54.09521461 -114.44563113
112  54.09521461 -114.44563113  54.09523697 -114.44559763
111  54.09524292 -114.44555896
111  54.09524454 -114.44527069
112  54.09524454 -114.44527069  54.09523121 -114.44519916
111  54.09518853 -114.44517207
111  54.09481194 -114.44521998
112  54.09481194 -114.44521998  54.09479520 -114.44523062
111  54.09479252 -114.44526354
111  54.09479268 -114.44543733
111  54.09475285 -114.44543737
111  54.09475286 -114.44526356
112  54.09475286 -114.44526356  54.09474424 -114.44523222
111  54.09472007 -114.44523167
111  54.09465527 -114.44523992
111  54.09454388 -114.44525409
111  54.09451200 -114.44525815
112  54.09451200 -114.44525815  54.09448078 -114.44527865
111  54.09446905 -114.44531621
111  54.09442242 -114.44531611
112  54.09442242 -114.44531611  54.09441643 -114.44528918
111  54.09439734 -114.44527273
111  54.09436655 -114.44527665
112  54.09436655 -114.44527665  54.09432768 -114.44523859
111  54.09436585 -114.44520103
111  54.09444421 -114.44519009
111  54.09444427 -114.44502705
111  54.09447429 -114.44502701
111  54.09447437 -114.44518605
111  54.09459897 -114.44516849
111  54.09459900 -114.44503015
111  54.09463795 -114.44503005
111  54.09463792 -114.44516305
111  54.09475315 -114.44514697
111  54.09475297 -114.44483541
111  54.09479335 -114.44483539
111  54.09479335 -114.44514136
111  54.09522118 -114.44508163
112  54.09522118 -114.44508163  54.09524072 -114.44507464
111  54.09524578 -114.44504927
111  54.09525048 -114.44421003
112  54.09525048 -114.44421003  54.09522146 -114.44410817
111  54.09513785 -114.44405643
111  54.09479274 -114.44402862
111  54.09479295 -114.44430100
111  54.09476282 -114.44430103
111  54.09476279 -114.44402621
111  54.09467113 -114.44401882
111  54.09463215 -114.44406733
111  54.09463224 -114.44426486
111  54.09459070 -114.44426491
111  54.09459062 -114.44406729
111  54.09454855 -114.44400894
111  54.09451170 -114.44400598
111  54.09439223 -114.44399635
111  54.09434672 -114.44399268
111  54.09434703 -114.44391831
111  54.09443155 -114.44392416
111  54.09443160 -114.44386575
112  54.09443160 -114.44386575  54.09442896 -114.44381190
111  54.09440630 -114.44378983
111  54.09437351 -114.44378987
111  54.09437339 -114.44370933
111  54.09447164 -114.44370928
111  54.09447171 -114.44392693
111  54.09455229 -114.44393250
111  54.09468974 -114.44394200
111  54.09476553 -114.44394724
111  54.09476538 -114.44372312
111  54.09480836 -114.44372310
111  54.09480831 -114.44395020
111  54.09510710 -114.44397085
112  54.09510710 -114.44397085  54.09512674 -114.44397374
111  54.09515419 -114.44398851
111  54.09522870 -114.44403622
112  54.09522870 -114.44403622  54.09525062 -114.44404610
111  54.09525554 -114.44401224
111  54.09530490 -114.44401227
111  54.09530435 -114.44555510
112  54.09530435 -114.44555510  54.09533822 -114.44561287
111  54.09538394 -114.44563103
111  54.09538418 -114.44656761
111  54.09553985 -114.44681139
111  54.09636077 -114.44680355
111  54.09662407 -114.44680103
111  54.09676934 -114.44654836
111  54.09677926 -114.44654840
111  54.09677976 -114.44703624
113  54.09636122 -114.44703742
110 3 0.00 0.0000 New Taxiway 33
111  54.09455229 -114.44393250
111  54.09455225 -114.44372204
111  54.09468985 -114.44372197
113  54.09468974 -114.44394200
130 Airport Boundary
111  54.09422190 -114.44772212
111  54.09422675 -114.43796543
111  54.09653483 -114.43640615
111  54.09652811 -114.42694701
111  54.09729160 -114.42694701
111  54.09726512 -114.44731873
113  54.09499575 -114.44772112
120 HS
111  54.09636122 -114.44703742 4
115  54.09636077 -114.44680355
14  54.09463034 -114.44686275  15.00 0 Tower
1300  54.09477168 -114.44545179  89.57 hangar props Hangar 1
1301 A none 
1300  54.09459954 -114.44545364  89.57 hangar props Hangar 2
1301 A none 
1300  54.09444475 -114.44543877  89.57 hangar props Hangar 3
1301 A none 
1300  54.09477100 -114.44482429 -89.98 hangar props Hangar 4
1301 A none 
1300  54.09461754 -114.44485790 -89.98 hangar props Hangar 5
1301 A none 
1300  54.09445780 -114.44485382 -89.98 hangar props Hangar 6
1301 A none 
1300  54.09477822 -114.44431710  90.00 hangar props Hangar 7
1301 A none 
1300  54.09461292 -114.44428004  90.00 hangar props Hangar 8
1301 A none 
1300  54.09445464 -114.44435347  90.00 hangar props Hangar 9
1301 A none 
1300  54.09478703 -114.44371239 -90.00 hangar props Hangar 10
1301 A none 
1300  54.09462177 -114.44370022 -90.00 hangar props Hangar 11
1301 A none 
1300  54.09444102 -114.44368910 -90.00 hangar props Hangar 12
1301 A none 
1300  54.09445057 -114.44307292  89.90 hangar props Hangar 13
1301 A none 
1300  54.09518992 -114.44692773  90.00 tie_down props Tie-Down 1
1301 A general_aviation 
1300  54.09505428 -114.44692796  90.00 tie_down props Tie-Down 2
1301 A general_aviation 
1300  54.09505157 -114.44667334   0.00 tie_down props Tie-Down 3
1301 A general_aviation 
1300  54.09505157 -114.44645383   0.00 tie_down props Tie-Down 4
1301 A general_aviation 
1300  54.09505157 -114.44623549   0.00 tie_down props Tie-Down 5
1301 A general_aviation 
1300  54.09505089 -114.44601829   0.00 tie_down props Tie-Down 6
1301 A general_aviation 
1300  54.09505089 -114.44579995   0.00 tie_down props Tie-Down 7
1301 A general_aviation 
1300  54.09531938 -114.44602063 -179.68 tie_down props Tie-Down 8
1301 A general_aviation 
1300  54.09532020 -114.44623829 -179.68 tie_down props Tie-Down 9
1301 A general_aviation 
1300  54.09532101 -114.44645594 -179.68 tie_down props Tie-Down 10
1301 A general_aviation 
1300  54.09496034 -114.44304406  90.00 tie_down turboprops|props Grass Apron 1
1301 A general_aviation 
1300  54.09482163 -114.44304503  90.00 tie_down turboprops|props Grass Apron 2
1301 A general_aviation 
1300  54.09467903 -114.44304545  90.00 tie_down turboprops|props Grass Apron 3
1301 A general_aviation 
19  54.09592551 -114.44727583 0 WS-UNLIT
51 12320 Barrhead Traffic
99
