I
1050 Generated by WorldEditor 2.1.0r1

1   2599 0 0 CEG4 Drumheller Muni
111  51.50073621 -112.75060165
111  51.50075874 -112.75060169
113  51.50075884 -112.75074977
110 3 0.00 0.0000 New Taxiway 39
111  51.50081594 -112.75043112
111  51.50081604 -112.75032424
111  51.50084959 -112.75032434
113  51.50084953 -112.75043112
110 1 0.00 0.0000 New Taxiway 38
111  51.50081590 -112.75060334
111  51.50081594 -112.75043112
111  51.50084953 -112.75043112
113  51.50084952 -112.75060333
110 2 0.00 0.0000 New Taxiway 37
111  51.50077937 -112.75074896
111  51.50077931 -112.75060335
111  51.50081590 -112.75060334
111  51.50084952 -112.75060333
111  51.50090587 -112.75060330
113  51.50090594 -112.75074889
110 2 0.00 0.0000 New Taxiway 36
111  51.50119993 -112.75059553
111  51.50132042 -112.75059552
111  51.50132046 -112.75088050
113  51.50119982 -112.75088054
110 2 0.00 0.0000 New Taxiway 35
111  51.50209048 -112.75061918
111  51.50231490 -112.75062015
111  51.50231694 -112.75100860
113  51.50209255 -112.75101082
110 1 0.00 0.0000 New Taxiway 34
111  51.50099351 -112.74879080
111  51.50099347 -112.74877472
111  51.50115073 -112.74877468
111  51.50114960 -112.74949852
111  51.50114893 -112.74992843
112  51.50114893 -112.74992843  51.50118032 -112.74999478
111  51.50121803 -112.75003702
111  51.50231096 -112.75003429
111  51.50231490 -112.75062015
111  51.50209048 -112.75061918
111  51.50205652 -112.75059547
111  51.50132042 -112.75059552
111  51.50119993 -112.75059553
111  51.50106938 -112.75059554
111  51.50106915 -112.75044852
111  51.50095243 -112.75032468
111  51.50084959 -112.75032434
111  51.50081604 -112.75032424
111  51.50076333 -112.75032407
112  51.50076333 -112.75032407  51.50074038 -112.75035786
111  51.50073689 -112.75040879
111  51.50073621 -112.75060165
111  51.50066462 -112.75060151
111  51.50066364 -112.75032374
111  51.50055954 -112.75032341
111  51.50052432 -112.75032330
111  51.50045886 -112.75032308
111  51.50032477 -112.75032265
111  51.50026483 -112.75032246
112  51.50026483 -112.75032246  51.50025654 -112.75033782
111  51.50025547 -112.75036336
111  51.50025423 -112.75061900
111  51.50022131 -112.75061893
111  51.50022240 -112.75032459
111  51.50022290 -112.75018822
111  51.50095339 -112.75019097
111  51.50107194 -112.75003524
111  51.50107302 -112.74949860
113  51.50107401 -112.74900130
110 1 0.00 0.0000 New Taxiway 33
111  51.49144377 -112.74848594
112  51.49144377 -112.74848594  51.49145237 -112.74837589
111  51.49149389 -112.74837070
111  51.49170246 -112.74837835
112  51.49170246 -112.74837835  51.49173529 -112.74840292
111  51.49179070 -112.74848556
111  51.49179073 -112.74849662
113  51.49144382 -112.74849835
130 Airport Boundary
111  51.49070019 -112.74903936
111  51.49070153 -112.74821017
111  51.50312296 -112.74816480
111  51.50312392 -112.75168652
111  51.50145639 -112.75169596
111  51.49957084 -112.75117536
111  51.49859387 -112.75117339
111  51.49859147 -112.74941854
113  51.49641089 -112.74911358
120 HS
111  51.50114960 -112.74949852 4
115  51.50107302 -112.74949860
120 Linear Feature 46
111  51.50111167 -112.74900959 1
111  51.50110790 -112.74880433
112  51.50110790 -112.74880433  51.50109924 -112.74875262 1
115  51.50107740 -112.74870867
120 Linear Feature 45
111  51.50037584 -112.74866747 1
111  51.50096159 -112.74866758
112  51.50096159 -112.74866758  51.50107063 -112.74880116 1
111  51.50111167 -112.74900959 1
111  51.50110940 -112.75011491
112  51.50110940 -112.75011491  51.50110243 -112.75023936 1
111  51.50102762 -112.75025064 1
115  51.50079091 -112.75025463
14  51.50163179 -112.75076916  15.00 0 Tower
1300  51.50220599 -112.75073072  90.00 hangar turboprops|props Hangar 1
1301 A none 
1300  51.50126021 -112.75064844  90.00 hangar props Hangar 2
1301 A none 
1300  51.50083437 -112.75061351  90.00 hangar props Hangar 3
1301 A none 
1300  51.50069919 -112.75061488  90.00 hangar props Hangar 4
1301 A none 
1300  51.50054256 -112.75061102  90.00 hangar props Hangar 5
1301 A none 
1300  51.50039207 -112.75063429  90.00 hangar props Hangar 6
1301 A none 
1300  51.50023720 -112.75062703  90.00 hangar props Hangar 7
1301 A none 
1300  51.50002412 -112.75064937  90.00 hangar props Hangar 8
1301 A none 
1300  51.49968207 -112.75063491  90.00 hangar props Hangar 9
1301 A none 
1300  51.49946615 -112.75067018  90.00 hangar turboprops|props Hangar 10
1301 A none 
1300  51.50224955 -112.75013839 -90.00 tie_down props Tie-Down 1
1301 A general_aviation 
1300  51.50212210 -112.75013839 -90.00 tie_down props Tie-Down 2
1301 A general_aviation 
1300  51.50199465 -112.75013756 -90.00 tie_down props Tie-Down 3
1301 A general_aviation 
1300  51.50186822 -112.75013756 -90.00 tie_down props Tie-Down 4
1301 A general_aviation 
1300  51.50174076 -112.75013756 -90.00 tie_down props Tie-Down 5
1301 A general_aviation 
1300  51.50161433 -112.75013674 -90.00 tie_down props Tie-Down 6
1301 A general_aviation 
1300  51.50148739 -112.75013756 -90.00 tie_down props Tie-Down 7
1301 A general_aviation 
1300  51.50135994 -112.75013839 -90.00 tie_down props Tie-Down 8
1301 A general_aviation 
19  51.49893072 -112.74994949 1 WS-LIT
51 12280 Drumheller Traffic
99
