A
1050 Generated by WorldEditor 2.0.0r4

1   1478 1 0 KDVT Deer Valley
111  33.68465909 -112.07847213
111  33.68467350 -112.07822278
111  33.68467891 -112.07812918
111  33.68481086 -112.07814009
111  33.68479814 -112.07835591
111  33.68478344 -112.07860533
111  33.68476862 -112.07885678
111  33.68475382 -112.07910794
111  33.68473926 -112.07935507
113  33.68472668 -112.07956859
110 2 0.00 355.0000 New Taxiway 19
111  33.68433220 -112.09141490
111  33.68433716 -112.09132809
111  33.68435168 -112.09107349
111  33.68436609 -112.09082074
111  33.68438073 -112.09056409
111  33.68439504 -112.09031329
111  33.68440945 -112.09006055
111  33.68441486 -112.08996568
111  33.68454681 -112.08997674
111  33.68453409 -112.09019549
111  33.68451939 -112.09044832
111  33.68450457 -112.09070319
111  33.68448977 -112.09095778
111  33.68447521 -112.09120827
113  33.68446262 -112.09142470
110 2 0.00 355.0000 New Taxiway 7
111  33.68468901 -112.09144129
111  33.68469300 -112.09137118
111  33.68470452 -112.09116930
111  33.68471581 -112.09097150
111  33.68472721 -112.09077167
111  33.68473872 -112.09056988
111  33.68475035 -112.09036605
111  33.68476164 -112.09016826
111  33.68477136 -112.08999784
111  33.68487083 -112.09000618
111  33.68486648 -112.09008077
111  33.68485522 -112.09027390
111  33.68484368 -112.09047187
111  33.68483181 -112.09067540
111  33.68482016 -112.09087522
111  33.68480851 -112.09107505
111  33.68479664 -112.09127877
113  33.68478682 -112.09144716
110 2 0.00 355.0000 New Taxiway 7
111  33.68500592 -112.09146480
111  33.68500992 -112.09139469
111  33.68502144 -112.09119280
111  33.68503273 -112.09099501
111  33.68504413 -112.09079518
111  33.68505564 -112.09059339
111  33.68506727 -112.09038955
111  33.68507856 -112.09019176
111  33.68508828 -112.09002135
111  33.68518775 -112.09002969
111  33.68518340 -112.09010427
111  33.68517214 -112.09029741
111  33.68516060 -112.09049537
111  33.68514873 -112.09069891
111  33.68513708 -112.09089873
111  33.68512543 -112.09109855
111  33.68511356 -112.09130228
113  33.68510374 -112.09147067
110 2 0.00 355.0000 New Taxiway 7
111  33.68532284 -112.09149536
111  33.68532684 -112.09142525
111  33.68533836 -112.09122337
111  33.68534965 -112.09102558
111  33.68536105 -112.09082574
111  33.68537256 -112.09062395
111  33.68538419 -112.09042011
111  33.68539548 -112.09022232
111  33.68540520 -112.09005191
111  33.68550467 -112.09006025
111  33.68550032 -112.09013483
111  33.68548906 -112.09032797
111  33.68547752 -112.09052593
111  33.68546565 -112.09072947
111  33.68545400 -112.09092929
111  33.68544235 -112.09112912
111  33.68543047 -112.09133284
113  33.68542066 -112.09150124
110 2 0.00 355.0000 New Taxiway 7
111  33.68484263 -112.07597282
111  33.68484663 -112.07590271
111  33.68485815 -112.07570083
111  33.68486943 -112.07550303
111  33.68488083 -112.07530320
111  33.68489235 -112.07510141
111  33.68490398 -112.07489757
111  33.68491526 -112.07469979
111  33.68492499 -112.07452937
111  33.68502445 -112.07453771
111  33.68502011 -112.07461230
111  33.68500885 -112.07480543
111  33.68499731 -112.07500339
111  33.68498544 -112.07520693
111  33.68497379 -112.07540675
111  33.68496214 -112.07560657
111  33.68495026 -112.07581030
113  33.68494044 -112.07597869
110 2 0.00 355.0000 New Taxiway 7
111  33.68515466 -112.07599894
111  33.68515867 -112.07592883
111  33.68517018 -112.07572695
111  33.68518147 -112.07552916
111  33.68519287 -112.07532932
111  33.68520438 -112.07512754
111  33.68521601 -112.07492370
111  33.68522730 -112.07472591
111  33.68523702 -112.07455550
111  33.68533649 -112.07456383
111  33.68533214 -112.07463842
111  33.68532088 -112.07483156
111  33.68530934 -112.07502952
111  33.68529747 -112.07523306
111  33.68528583 -112.07543288
111  33.68527418 -112.07563270
111  33.68526230 -112.07583643
113  33.68525248 -112.07600482
110 2 0.00 355.0000 New Taxiway 7
111  33.68546974 -112.07602720
111  33.68547374 -112.07595709
111  33.68548526 -112.07575521
111  33.68549655 -112.07555742
111  33.68550795 -112.07535758
111  33.68551946 -112.07515579
111  33.68553109 -112.07495195
111  33.68554238 -112.07475416
111  33.68555210 -112.07458375
111  33.68565157 -112.07459209
111  33.68564722 -112.07466667
111  33.68563596 -112.07485981
111  33.68562442 -112.07505777
111  33.68561255 -112.07526131
111  33.68560090 -112.07546114
111  33.68558925 -112.07566096
111  33.68557738 -112.07586469
113  33.68556756 -112.07603308
110 2 0.00 355.0000 New Taxiway 7
111  33.68578482 -112.07605073
111  33.68578882 -112.07598535
111  33.68580034 -112.07578347
111  33.68581162 -112.07558567
111  33.68582303 -112.07538584
111  33.68583454 -112.07518405
111  33.68584617 -112.07498021
111  33.68585746 -112.07478242
111  33.68586718 -112.07461200
111  33.68596665 -112.07462034
111  33.68596230 -112.07469493
111  33.68595104 -112.07488806
111  33.68593950 -112.07508603
111  33.68592763 -112.07528957
111  33.68591598 -112.07548939
111  33.68590433 -112.07568922
111  33.68589245 -112.07589295
113  33.68588301 -112.07605491
110 2 0.00 355.0000 New Taxiway 7
111  33.68506159 -112.07763264
111  33.68506559 -112.07756253
111  33.68507711 -112.07736065
111  33.68508839 -112.07716286
111  33.68509980 -112.07696302
111  33.68511131 -112.07676123
111  33.68512294 -112.07655740
111  33.68513422 -112.07635961
111  33.68514395 -112.07618920
111  33.68524342 -112.07619753
111  33.68523907 -112.07627212
111  33.68522781 -112.07646525
111  33.68521627 -112.07666322
111  33.68520440 -112.07686676
111  33.68519275 -112.07706658
111  33.68518110 -112.07726640
111  33.68516922 -112.07747013
113  33.68515941 -112.07763852
110 2 0.00 355.0000 New Taxiway 7
111  33.68537479 -112.07766177
111  33.68537879 -112.07759166
111  33.68539031 -112.07738977
111  33.68540159 -112.07719198
111  33.68541299 -112.07699214
111  33.68542451 -112.07679035
111  33.68543614 -112.07658652
111  33.68544742 -112.07638873
111  33.68545715 -112.07621831
111  33.68555661 -112.07622665
111  33.68555226 -112.07630124
111  33.68554100 -112.07649437
111  33.68552946 -112.07669234
111  33.68551760 -112.07689588
111  33.68550595 -112.07709570
111  33.68549430 -112.07729552
111  33.68548242 -112.07749925
113  33.68547260 -112.07766764
110 2 0.00 355.0000 New Taxiway 7
111  33.68569081 -112.07768550
111  33.68569481 -112.07761539
111  33.68570632 -112.07741351
111  33.68571761 -112.07721572
111  33.68572901 -112.07701588
111  33.68574052 -112.07681409
111  33.68575215 -112.07661025
111  33.68576344 -112.07641246
111  33.68577316 -112.07624205
111  33.68587263 -112.07625038
111  33.68586828 -112.07632497
111  33.68585702 -112.07651811
111  33.68584548 -112.07671607
111  33.68583361 -112.07691961
111  33.68582197 -112.07711944
111  33.68581031 -112.07731926
111  33.68579844 -112.07752299
113  33.68578862 -112.07769138
110 2 0.00 355.0000 New Taxiway 7
111  33.68600588 -112.07770811
111  33.68600988 -112.07763800
111  33.68602140 -112.07743611
111  33.68603269 -112.07723832
111  33.68604409 -112.07703848
111  33.68605560 -112.07683669
111  33.68606723 -112.07663285
111  33.68607852 -112.07643506
111  33.68608824 -112.07626465
111  33.68618771 -112.07627298
111  33.68618336 -112.07634757
111  33.68617210 -112.07654071
111  33.68616056 -112.07673867
111  33.68614869 -112.07694221
111  33.68613704 -112.07714204
111  33.68612539 -112.07734186
111  33.68611352 -112.07754559
113  33.68610370 -112.07771399
110 2 0.00 355.0000 New Taxiway 7
111  33.68632566 -112.07773919
111  33.68632967 -112.07766908
111  33.68634118 -112.07746720
111  33.68635247 -112.07726940
111  33.68636387 -112.07706956
111  33.68637538 -112.07686777
111  33.68638701 -112.07666393
111  33.68639830 -112.07646614
111  33.68640802 -112.07629572
111  33.68650749 -112.07630406
111  33.68650314 -112.07637865
111  33.68649188 -112.07657179
111  33.68648034 -112.07676975
111  33.68646847 -112.07697330
111  33.68645682 -112.07717312
111  33.68644517 -112.07737294
111  33.68643330 -112.07757668
113  33.68642348 -112.07774507
110 2 0.00 355.0000 New Taxiway 7
111  33.68494162 -112.07959743
111  33.68494562 -112.07952732
111  33.68495714 -112.07932544
111  33.68496842 -112.07912765
111  33.68497983 -112.07892781
111  33.68499134 -112.07872602
111  33.68500297 -112.07852219
111  33.68501425 -112.07832440
111  33.68502398 -112.07815398
111  33.68512345 -112.07816232
111  33.68511910 -112.07823691
111  33.68510784 -112.07843004
111  33.68509630 -112.07862801
111  33.68508443 -112.07883154
111  33.68507278 -112.07903137
111  33.68506113 -112.07923119
111  33.68504925 -112.07943491
113  33.68503944 -112.07960331
110 2 0.00 355.0000 New Taxiway 7
111  33.68525840 -112.07962184
111  33.68526240 -112.07955173
111  33.68527392 -112.07934985
111  33.68528520 -112.07915206
111  33.68529660 -112.07895222
111  33.68530812 -112.07875043
111  33.68531975 -112.07854660
111  33.68533103 -112.07834881
111  33.68534075 -112.07817839
111  33.68544022 -112.07818673
111  33.68543588 -112.07826132
111  33.68542462 -112.07845445
111  33.68541307 -112.07865242
111  33.68540121 -112.07885595
111  33.68538956 -112.07905578
111  33.68537791 -112.07925560
111  33.68536603 -112.07945933
113  33.68535621 -112.07962772
110 2 0.00 355.0000 New Taxiway 7
111  33.68557591 -112.07964718
111  33.68557991 -112.07957706
111  33.68559143 -112.07937518
111  33.68560271 -112.07917739
111  33.68561412 -112.07897755
111  33.68562563 -112.07877576
111  33.68563726 -112.07857192
111  33.68564854 -112.07837413
111  33.68565827 -112.07820372
111  33.68575774 -112.07821206
111  33.68575339 -112.07828664
111  33.68574213 -112.07847978
111  33.68573059 -112.07867774
111  33.68571872 -112.07888128
111  33.68570707 -112.07908111
111  33.68569542 -112.07928093
111  33.68568354 -112.07948466
113  33.68567373 -112.07965305
110 2 0.00 355.0000 New Taxiway 7
111  33.68446577 -112.08782569
111  33.68446977 -112.08775558
111  33.68448129 -112.08755370
111  33.68449257 -112.08735591
111  33.68450397 -112.08715608
111  33.68451549 -112.08695429
111  33.68452712 -112.08675046
111  33.68453840 -112.08655267
111  33.68454812 -112.08638226
111  33.68464759 -112.08639059
111  33.68464324 -112.08646518
111  33.68463199 -112.08665831
111  33.68462044 -112.08685628
111  33.68460858 -112.08705981
111  33.68459693 -112.08725963
111  33.68458528 -112.08745945
111  33.68457340 -112.08766318
113  33.68456358 -112.08783157
110 2 0.00 355.0000 New Taxiway 7
111  33.68478320 -112.08785112
111  33.68478720 -112.08778101
111  33.68479871 -112.08757913
111  33.68481000 -112.08738134
111  33.68482140 -112.08718151
111  33.68483292 -112.08697972
111  33.68484454 -112.08677588
111  33.68485583 -112.08657809
111  33.68486555 -112.08640768
111  33.68496502 -112.08641602
111  33.68496067 -112.08649060
111  33.68494941 -112.08668374
111  33.68493787 -112.08688170
111  33.68492601 -112.08708524
111  33.68491436 -112.08728506
111  33.68490271 -112.08748488
111  33.68489083 -112.08768861
113  33.68488101 -112.08785700
110 2 0.00 355.0000 New Taxiway 7
111  33.68509827 -112.08787938
111  33.68510227 -112.08780927
111  33.68511379 -112.08760739
111  33.68512508 -112.08740960
111  33.68513648 -112.08720976
111  33.68514799 -112.08700797
111  33.68515962 -112.08680414
111  33.68517091 -112.08660635
111  33.68518063 -112.08643593
111  33.68528010 -112.08644427
111  33.68527575 -112.08651886
111  33.68526449 -112.08671199
111  33.68525295 -112.08690996
111  33.68524108 -112.08711349
111  33.68522943 -112.08731332
111  33.68521778 -112.08751314
111  33.68520591 -112.08771687
113  33.68519609 -112.08788526
110 2 0.00 355.0000 New Taxiway 7
111  33.68564172 -112.09151887
111  33.68564572 -112.09144876
111  33.68565724 -112.09124688
111  33.68566852 -112.09104908
111  33.68567992 -112.09084925
111  33.68569144 -112.09064745
111  33.68570307 -112.09044362
111  33.68571435 -112.09024583
111  33.68572408 -112.09007541
111  33.68582354 -112.09008375
111  33.68581920 -112.09015834
111  33.68580793 -112.09035147
111  33.68579639 -112.09054944
111  33.68578453 -112.09075298
111  33.68577288 -112.09095280
111  33.68576123 -112.09115263
111  33.68574935 -112.09135635
113  33.68573953 -112.09152475
110 2 0.00 0.0000 New Taxiway 1
111  33.68481669 -112.09300133
111  33.68448849 -112.09289544
111  33.68446819 -112.09297237
111  33.68419416 -112.09288418
111  33.68426594 -112.09253676
111  33.68428800 -112.09250455
111  33.68436462 -112.09252756
111  33.68437831 -112.09246740
111  33.68447344 -112.09249599
111  33.68446009 -112.09255625
111  33.68454443 -112.09258158
111  33.68455677 -112.09253245
111  33.68471091 -112.09258006
111  33.68473035 -112.09249279
111  33.68482232 -112.09252245
111  33.68480257 -112.09261055
111  33.68488173 -112.09263564
113  33.68490092 -112.09264167
110 2 0.00 0.0000 New Taxiway 30
111  33.69170348 -112.08225682
111  33.69170404 -112.08215764
111  33.69170545 -112.08190744
111  33.69170686 -112.08165724
111  33.69170828 -112.08140437
111  33.69170969 -112.08115417
111  33.69171111 -112.08090131
111  33.69171164 -112.08080752
111  33.69183961 -112.08080837
111  33.69183836 -112.08102891
111  33.69183694 -112.08127956
111  33.69183551 -112.08153242
111  33.69183409 -112.08178306
111  33.69183265 -112.08203593
113  33.69183139 -112.08225969
110 2 0.00 0.0000 New Taxiway 30
111  33.69207142 -112.08226597
111  33.69207222 -112.08216680
111  33.69207424 -112.08191660
111  33.69207627 -112.08166640
111  33.69207831 -112.08141354
111  33.69208033 -112.08116335
111  33.69208237 -112.08091049
111  33.69208313 -112.08081670
111  33.69220894 -112.08081798
111  33.69220715 -112.08103852
111  33.69220512 -112.08128916
111  33.69220306 -112.08154202
111  33.69220103 -112.08179266
111  33.69219898 -112.08204552
113  33.69219716 -112.08226928
110 2 0.00 0.0000 New Taxiway 30
111  33.69241350 -112.08225872
111  33.69241410 -112.08218188
111  33.69241567 -112.08198160
111  33.69241723 -112.08178324
111  33.69241880 -112.08158296
111  33.69242035 -112.08138459
111  33.69242189 -112.08118815
111  33.69242346 -112.08098785
111  33.69242480 -112.08081737
111  33.69251796 -112.08081867
111  33.69251740 -112.08088987
111  33.69251587 -112.08108415
111  33.69251431 -112.08128251
111  33.69251272 -112.08148472
111  33.69251115 -112.08168501
111  33.69250959 -112.08188338
111  33.69250801 -112.08208367
113  33.69250661 -112.08226203
110 2 0.00 0.0000 New Taxiway 30
111  33.69272012 -112.08226452
111  33.69272055 -112.08218596
111  33.69272162 -112.08198775
111  33.69272270 -112.08178954
111  33.69272379 -112.08158923
111  33.69272487 -112.08139103
111  33.69272596 -112.08119071
111  33.69272703 -112.08099250
111  33.69272794 -112.08082573
111  33.69281931 -112.08082630
111  33.69281894 -112.08089397
111  33.69281786 -112.08109140
111  33.69281677 -112.08129172
111  33.69281568 -112.08149027
111  33.69281458 -112.08169059
111  33.69281350 -112.08188914
111  33.69281240 -112.08208946
113  33.69281143 -112.08226672
110 2 0.00 0.0000 New Taxiway 30
111  33.69302264 -112.08226462
111  33.69302327 -112.08218636
111  33.69302484 -112.08198892
111  33.69302642 -112.08179148
111  33.69302801 -112.08159195
111  33.69302958 -112.08139451
111  33.69303118 -112.08119498
111  33.69303275 -112.08099753
111  33.69303408 -112.08083141
111  33.69312770 -112.08083234
111  33.69312716 -112.08089975
111  33.69312558 -112.08109640
111  33.69312398 -112.08129594
111  33.69312240 -112.08149373
111  33.69312080 -112.08169326
111  33.69311922 -112.08189105
111  33.69311762 -112.08209059
113  33.69311620 -112.08226716
110 2 0.00 0.0000 New Taxiway 30
111  33.69333038 -112.08227003
111  33.69333076 -112.08219156
111  33.69333173 -112.08199361
111  33.69333270 -112.08179566
111  33.69333368 -112.08159560
111  33.69333464 -112.08139765
111  33.69333562 -112.08119759
111  33.69333659 -112.08099963
111  33.69333741 -112.08083307
111  33.69342942 -112.08083358
111  33.69342909 -112.08090116
111  33.69342812 -112.08109833
111  33.69342714 -112.08129840
111  33.69342616 -112.08149670
111  33.69342517 -112.08169676
111  33.69342420 -112.08189506
111  33.69342321 -112.08209512
113  33.69342234 -112.08227215
110 2 0.00 0.0000 New Taxiway 30
111  33.69362762 -112.08227468
111  33.69362816 -112.08219612
111  33.69362953 -112.08199791
111  33.69363090 -112.08179970
111  33.69363229 -112.08159939
111  33.69363366 -112.08140119
111  33.69363505 -112.08120087
111  33.69363642 -112.08100266
111  33.69363757 -112.08083589
111  33.69373172 -112.08083668
111  33.69373125 -112.08090435
111  33.69372988 -112.08110178
111  33.69372848 -112.08130209
111  33.69372710 -112.08150065
111  33.69372571 -112.08170096
111  33.69372433 -112.08189952
111  33.69372293 -112.08209983
113  33.69372170 -112.08227709
110 2 0.00 0.0000 New Taxiway 30
111  33.69393515 -112.08227786
111  33.69393573 -112.08219945
111  33.69393719 -112.08200163
111  33.69393866 -112.08180380
111  33.69394013 -112.08160388
111  33.69394160 -112.08140606
111  33.69394308 -112.08120613
111  33.69394454 -112.08100830
111  33.69394577 -112.08084186
111  33.69403752 -112.08084269
111  33.69403702 -112.08091023
111  33.69403556 -112.08110727
111  33.69403407 -112.08130720
111  33.69403260 -112.08150538
111  33.69403111 -112.08170530
111  33.69402964 -112.08190347
111  33.69402816 -112.08210340
113  33.69402684 -112.08228032
110 2 0.00 0.0000 New Taxiway 30
111  33.69423304 -112.08227692
111  33.69423355 -112.08219856
111  33.69423484 -112.08200087
111  33.69423613 -112.08180318
111  33.69423743 -112.08160339
111  33.69423872 -112.08140571
111  33.69424002 -112.08120592
111  33.69424131 -112.08100823
111  33.69424239 -112.08084189
111  33.69433718 -112.08084263
111  33.69433674 -112.08091013
111  33.69433545 -112.08110703
111  33.69433414 -112.08130682
111  33.69433284 -112.08150486
111  33.69433154 -112.08170465
111  33.69433024 -112.08190269
111  33.69432893 -112.08210248
113  33.69432777 -112.08227927
110 2 0.00 0.0000 New Taxiway 30
111  33.69171268 -112.08048457
111  33.69171324 -112.08038539
111  33.69171465 -112.08013519
111  33.69171606 -112.07988499
111  33.69171748 -112.07963212
111  33.69171889 -112.07938193
111  33.69172031 -112.07912906
111  33.69172084 -112.07903527
111  33.69184881 -112.07903612
111  33.69184756 -112.07925666
111  33.69184614 -112.07950731
111  33.69184471 -112.07976017
111  33.69184329 -112.08001082
111  33.69184185 -112.08026368
113  33.69184059 -112.08048744
110 2 0.00 0.0000 New Taxiway 30
111  33.69205062 -112.08048540
111  33.69205142 -112.08038623
111  33.69205344 -112.08013603
111  33.69205547 -112.07988583
111  33.69205751 -112.07963297
111  33.69205953 -112.07938278
111  33.69206157 -112.07912992
111  33.69206233 -112.07903613
111  33.69218814 -112.07903742
111  33.69218635 -112.07925795
111  33.69218432 -112.07950860
111  33.69218226 -112.07976145
111  33.69218023 -112.08001209
111  33.69217818 -112.08026495
113  33.69217636 -112.08048871
110 2 0.00 0.0000 New Taxiway 30
111  33.69239105 -112.08049136
111  33.69239157 -112.08039180
111  33.69239287 -112.08014064
111  33.69239417 -112.07988948
111  33.69239549 -112.07963564
111  33.69239679 -112.07938449
111  33.69239810 -112.07913066
111  33.69239859 -112.07903651
111  33.69252656 -112.07903727
111  33.69252541 -112.07925866
111  33.69252409 -112.07951027
111  33.69252277 -112.07976410
111  33.69252145 -112.08001571
111  33.69252013 -112.08026954
113  33.69251896 -112.08049416
110 2 0.00 0.0000 New Taxiway 30
111  33.69272932 -112.08049227
111  33.69272974 -112.08041371
111  33.69273082 -112.08021550
111  33.69273190 -112.08001730
111  33.69273299 -112.07981698
111  33.69273406 -112.07961878
111  33.69273515 -112.07941847
111  33.69273623 -112.07922025
111  33.69273714 -112.07905348
111  33.69282851 -112.07905406
111  33.69282814 -112.07912173
111  33.69282706 -112.07931915
111  33.69282596 -112.07951947
111  33.69282488 -112.07971803
111  33.69282378 -112.07991834
111  33.69282270 -112.08011690
111  33.69282160 -112.08031721
113  33.69282063 -112.08049447
110 2 0.00 0.0000 New Taxiway 30
111  33.69303184 -112.08049237
111  33.69303246 -112.08041411
111  33.69303404 -112.08021667
111  33.69303561 -112.08001923
111  33.69303721 -112.07981970
111  33.69303878 -112.07962226
111  33.69304037 -112.07942273
111  33.69304195 -112.07922529
111  33.69304327 -112.07905916
111  33.69313690 -112.07906009
111  33.69313636 -112.07912750
111  33.69313478 -112.07932416
111  33.69313318 -112.07952370
111  33.69313160 -112.07972148
111  33.69313000 -112.07992102
111  33.69312841 -112.08011880
111  33.69312681 -112.08031834
113  33.69312540 -112.08049491
110 2 0.00 0.0000 New Taxiway 30
111  33.69333957 -112.08049778
111  33.69333996 -112.08041932
111  33.69334093 -112.08022136
111  33.69334190 -112.08002341
111  33.69334287 -112.07982335
111  33.69334384 -112.07962540
111  33.69334482 -112.07942534
111  33.69334579 -112.07922738
111  33.69334660 -112.07906082
111  33.69343862 -112.07906133
111  33.69343829 -112.07912891
111  33.69343732 -112.07932609
111  33.69343633 -112.07952615
111  33.69343536 -112.07972445
111  33.69343437 -112.07992451
111  33.69343339 -112.08012281
111  33.69343241 -112.08032287
113  33.69343154 -112.08049991
110 2 0.00 0.0000 New Taxiway 30
111  33.69363681 -112.08050243
111  33.69363736 -112.08042387
111  33.69363873 -112.08022566
111  33.69364010 -112.08002746
111  33.69364149 -112.07982714
111  33.69364286 -112.07962894
111  33.69364425 -112.07942863
111  33.69364562 -112.07923041
111  33.69364677 -112.07906364
111  33.69374092 -112.07906443
111  33.69374045 -112.07913210
111  33.69373907 -112.07932953
111  33.69373768 -112.07952984
111  33.69373630 -112.07972840
111  33.69373491 -112.07992871
111  33.69373352 -112.08012727
111  33.69373213 -112.08032758
113  33.69373090 -112.08050484
110 2 0.00 0.0000 New Taxiway 30
111  33.69394435 -112.08050562
111  33.69394492 -112.08042720
111  33.69394639 -112.08022938
111  33.69394785 -112.08003156
111  33.69394933 -112.07983163
111  33.69395080 -112.07963381
111  33.69395228 -112.07943389
111  33.69395374 -112.07923605
111  33.69395497 -112.07906961
111  33.69404672 -112.07907044
