I
1050 Generated by WorldEditor 2.3.0r2

1   3370 0 0 CFY4 Winters Aire Park
110 2 0.00 0.0000 New Taxiway 17
111  50.90417779 -113.79186600
111  50.90427165 -113.79180616
111  50.90431511 -113.79197577
113  50.90422125 -113.79203561
110 2 0.00 0.0000 New Taxiway 17
111  50.90447240 -113.79329474
111  50.90456392 -113.79323061
111  50.90460554 -113.79337495
113  50.90451402 -113.79343907
110 2 0.00 0.0000 New Taxiway 17
111  50.90428628 -113.79232824
111  50.90438013 -113.79226839
111  50.90442359 -113.79243801
113  50.90432974 -113.79249785
110 2 0.00 0.0000 New Taxiway 17
111  50.90417859 -113.79138700
111  50.90422057 -113.79155082
111  50.90410538 -113.79162426
113  50.90406341 -113.79146044
110 2 0.00 0.0000 New Taxiway 17
111  50.90423326 -113.79159280
111  50.90427524 -113.79175663
111  50.90416006 -113.79183007
113  50.90411808 -113.79166625
110 2 0.00 0.0000 New Taxiway 17
111  50.90423167 -113.79208870
111  50.90436782 -113.79200189
111  50.90441683 -113.79219316
113  50.90428068 -113.79227996
110 2 0.00 0.0000 New Taxiway 17
111  50.90433550 -113.79253301
111  50.90447165 -113.79244620
111  50.90452066 -113.79263746
113  50.90438451 -113.79272427
110 2 0.00 0.0000 New Taxiway 14
111  50.90496681 -113.79321024
111  50.90496667 -113.79327093
111  50.90492992 -113.79327054
111  50.90492979 -113.79333150
111  50.90488932 -113.79333108
111  50.90488946 -113.79327012
111  50.90485731 -113.79326978
113  50.90485744 -113.79320909
110 2 0.00 0.0000 New Taxiway 14
111  50.90523987 -113.79319737
111  50.90523909 -113.79336618
111  50.90512973 -113.79336502
113  50.90513051 -113.79319621
110 2 0.00 0.0000 New Taxiway 14
111  50.90490051 -113.79258830
111  50.90490017 -113.79266303
111  50.90479080 -113.79266187
111  50.90479146 -113.79251942
111  50.90487129 -113.79252027
113  50.90487098 -113.79258799
110 2 0.00 0.0000 New Taxiway 14
111  50.90511295 -113.79315070
111  50.90511208 -113.79333753
111  50.90500272 -113.79333637
113  50.90500358 -113.79314954
110 2 0.00 0.0000 New Taxiway 14
111  50.90481437 -113.79320416
111  50.90481409 -113.79332581
111  50.90470473 -113.79332466
113  50.90470501 -113.79320301
110 2 0.00 0.0000 New Taxiway 12
111  50.90510726 -113.79254709
111  50.90509645 -113.79272993
111  50.90497599 -113.79271416
113  50.90498680 -113.79253132
110 2 0.00 0.0000 New Taxiway 12
111  50.90524147 -113.79256809
111  50.90522933 -113.79277342
111  50.90510887 -113.79275764
113  50.90512101 -113.79255232
110 2 0.00 0.0000 New Taxiway 12
111  50.90537229 -113.79257322
111  50.90535726 -113.79282749
111  50.90523680 -113.79281172
113  50.90525183 -113.79255745
110 2 0.00 0.0000 New Taxiway 6
111  50.90579685 -113.79316394
111  50.90591379 -113.79315439
111  50.90591906 -113.79331394
113  50.90580212 -113.79332349
110 2 0.00 0.0000 New Taxiway 6
111  50.90540719 -113.79413499
111  50.90540958 -113.79420728
111  50.90537130 -113.79421041
111  50.90537257 -113.79424881
111  50.90532937 -113.79425234
111  50.90532810 -113.79421394
111  50.90529264 -113.79421683
113  50.90529025 -113.79414453
110 2 0.00 0.0000 New Taxiway 6
111  50.90564503 -113.79335892
111  50.90564961 -113.79349740
111  50.90553267 -113.79350694
113  50.90552809 -113.79336847
110 2 0.00 0.0000 New Taxiway 6
111  50.90591983 -113.79333726
111  50.90592441 -113.79347574
111  50.90580747 -113.79348529
113  50.90580289 -113.79334681
110 2 0.00 0.0000 New Taxiway 6
111  50.90557820 -113.79412422
111  50.90569321 -113.79411483
111  50.90569921 -113.79429648
113  50.90558420 -113.79430587
110 2 0.00 0.0000 New Taxiway 6
111  50.90594187 -113.79409252
111  50.90605688 -113.79408313
111  50.90606409 -113.79430102
113  50.90594908 -113.79431041
110 2 0.00 0.0000 New Taxiway 6
111  50.90509801 -113.79428049
111  50.90519454 -113.79427261
111  50.90519889 -113.79440422
113  50.90510236 -113.79441210
110 2 0.00 0.0000 New Taxiway 6
111  50.90519290 -113.79415394
111  50.90528943 -113.79414606
111  50.90529761 -113.79439352
113  50.90520108 -113.79440141
110 2 0.00 0.0000 New Taxiway 6
111  50.90571017 -113.79411194
111  50.90582518 -113.79410255
111  50.90583400 -113.79436944
113  50.90571899 -113.79437883
110 2 0.00 0.0000 New Taxiway 6
111  50.90582629 -113.79410246
111  50.90594130 -113.79409307
111  50.90595012 -113.79435997
113  50.90583511 -113.79436936
110 2 0.00 0.0000 New Taxiway 6
111  50.90566192 -113.79317605
111  50.90577693 -113.79316666
111  50.90578755 -113.79348800
113  50.90567254 -113.79349739
110 2 0.00 0.0000 New Taxiway 6
111  50.90484883 -113.79339755
111  50.90497094 -113.79338758
111  50.90497688 -113.79356718
113  50.90485477 -113.79357715
110 2 0.00 0.0000 New Taxiway 6
111  50.90538376 -113.79334018
111  50.90550587 -113.79333021
111  50.90551181 -113.79350982
113  50.90538969 -113.79351979
110 2 0.00 0.0000 New Taxiway 6
111  50.90492688 -113.79430624
111  50.90504724 -113.79429641
111  50.90505170 -113.79443142
113  50.90493134 -113.79444125
110 2 0.00 0.0000 New Taxiway 6
111  50.90479103 -113.79418206
111  50.90490432 -113.79417281
111  50.90490803 -113.79428495
113  50.90479474 -113.79429420
110 2 0.00 0.0000 New Taxiway 6
111  50.90498344 -113.79341519
111  50.90510380 -113.79340537
111  50.90510826 -113.79354038
113  50.90498790 -113.79355020
110 2 0.00 0.0000 New Taxiway 6
111  50.90493160 -113.79417979
111  50.90503836 -113.79417108
111  50.90504181 -113.79427531
113  50.90493504 -113.79428403
110 2 0.00 0.0000 New Taxiway 6
111  50.90507814 -113.79416132
111  50.90518491 -113.79415260
111  50.90518835 -113.79425684
113  50.90508159 -113.79426556
110 2 0.00 0.0000 New Taxiway 6
111  50.90512177 -113.79340743
111  50.90524213 -113.79339760
111  50.90524659 -113.79353261
113  50.90512623 -113.79354244
110 2 0.00 0.0000 New Taxiway 6
111  50.90591800 -113.79315401
111  50.90605464 -113.79314285
111  50.90606527 -113.79346420
113  50.90592862 -113.79347535
110 2 0.00 0.0000 New Taxiway 6
111  50.90524762 -113.79325172
111  50.90537425 -113.79324138
111  50.90537863 -113.79337367
113  50.90525199 -113.79338401
110 2 0.00 0.0000 New Taxiway 6
111  50.90537943 -113.79339793
111  50.90538348 -113.79352056
111  50.90525685 -113.79353090
113  50.90525279 -113.79340827
110 2 0.00 0.0000 New Taxiway 6
111  50.90606533 -113.79426211
111  50.90605930 -113.79407945
111  50.90619670 -113.79406823
113  50.90620274 -113.79425089
110 2 0.00 215.9891 New Taxiway 6
111  50.90510955 -113.79487817
111  50.90510276 -113.79467281
111  50.90522702 -113.79466267
113  50.90523380 -113.79486803
110 2 0.00 215.9891 New Taxiway 6
111  50.90540655 -113.79485471
111  50.90539976 -113.79464935
111  50.90553777 -113.79463809
113  50.90554455 -113.79484344
110 2 0.00 215.9891 New Taxiway 6
111  50.90555150 -113.79484304
111  50.90554472 -113.79463768
111  50.90568272 -113.79462642
113  50.90568950 -113.79483178
110 2 0.00 215.9891 New Taxiway 6
111  50.90570970 -113.79482788
111  50.90570291 -113.79462252
111  50.90584091 -113.79461125
113  50.90584770 -113.79481661
110 2 0.00 215.9891 New Taxiway 6
111  50.90587117 -113.79483315
111  50.90586378 -113.79460964
111  50.90600178 -113.79459837
113  50.90600917 -113.79482189
110 2 0.00 215.9891 New Taxiway 6
111  50.90602834 -113.79482335
111  50.90602095 -113.79459984
111  50.90615895 -113.79458857
113  50.90616634 -113.79481209
110 2 0.00 215.9891 New Taxiway 6
111  50.90527850 -113.79513309
111  50.90527143 -113.79491908
111  50.90540200 -113.79490842
113  50.90540907 -113.79512243
110 2 0.00 215.9891 New Taxiway 6
111  50.90496685 -113.79489787
111  50.90495978 -113.79468385
111  50.90509035 -113.79467319
113  50.90509742 -113.79488721
110 2 0.00 215.9891 New Taxiway 6
111  50.90525588 -113.79487367
111  50.90524880 -113.79465966
111  50.90539272 -113.79464791
113  50.90539980 -113.79486192
110 2 0.00 215.9891 New Taxiway 6
111  50.90542007 -113.79439224
111  50.90541163 -113.79413689
111  50.90556781 -113.79412414
113  50.90557625 -113.79437949
110 2 0.00 0.0000 New Taxiway 6
111  50.90552002 -113.79333676
111  50.90551348 -113.79313868
111  50.90563448 -113.79312880
113  50.90564103 -113.79332688
110 2 0.00 0.0000 New Taxiway 6
111  50.90612523 -113.79345947
111  50.90611429 -113.79312847
111  50.90628936 -113.79311417
113  50.90630030 -113.79344517
110 3 0.00 0.0000 New Taxiway 3
111  50.90425318 -113.79610972
112  50.90448961 -113.79539948  50.90439953 -113.79489779
111  50.90448961 -113.79539948
111  50.90422564 -113.79425521
111  50.90379455 -113.79267818
111  50.90369996 -113.79273624
112  50.90373505 -113.79246527  50.90371445 -113.79234276
111  50.90373505 -113.79246527
111  50.90360086 -113.79197042
111  50.90350565 -113.79145074
111  50.90336650 -113.79084687
112  50.90346494 -113.79072068  50.90353925 -113.79070084
111  50.90346494 -113.79072068
111  50.90366837 -113.79072236
112  50.90366837 -113.79072236  50.90372601 -113.79073500
111  50.90378489 -113.79080496
112  50.90378489 -113.79080496  50.90390695 -113.79077673
111  50.90406669 -113.79081230
111  50.90453883 -113.79079348
111  50.90447060 -113.79111712
112  50.90447060 -113.79111712  50.90442292 -113.79136746
111  50.90442788 -113.79157681
111  50.90455196 -113.79264765
112  50.90455196 -113.79264765  50.90461068 -113.79286671
112  50.90477624 -113.79294282  50.90485659 -113.79297082
111  50.90477624 -113.79294282
111  50.90518514 -113.79301783
112  50.90541095 -113.79296944  50.90549495 -113.79292860
111  50.90541095 -113.79296944
111  50.90554369 -113.79289201
112  50.90554369 -113.79289201  50.90561144 -113.79286852
112  50.90571991 -113.79286532  50.90574332 -113.79286476
111  50.90571991 -113.79286532
111  50.90656513 -113.79286387
112  50.90656513 -113.79286387  50.90661325 -113.79285779
111  50.90665922 -113.79282276
111  50.90669984 -113.79290677
111  50.90663597 -113.79313878
111  50.90658405 -113.79329000
112  50.90658405 -113.79329000  50.90656688 -113.79332987
111  50.90651942 -113.79334209
111  50.90634589 -113.79333719
112  50.90634589 -113.79333719  50.90631793 -113.79355772
112  50.90649823 -113.79360084  50.90654679 -113.79354484
111  50.90649823 -113.79360084
111  50.90660101 -113.79335217
112  50.90660101 -113.79335217  50.90668638 -113.79309475
112  50.90678643 -113.79250869  50.90679384 -113.79226506
111  50.90678643 -113.79250869
111  50.90679203 -113.79212471
111  50.90694079 -113.79212471
111  50.90698504 -113.79279154
111  50.90696959 -113.79657551
112  50.90696959 -113.79657551  50.90696853 -113.79661603
111  50.90693656 -113.79662179
111  50.90683232 -113.79662568
112  50.90683232 -113.79662568  50.90680891 -113.79662607
111  50.90678801 -113.79657028
111  50.90668845 -113.79607688
112  50.90680593 -113.79592687  50.90680946 -113.79586807
111  50.90680593 -113.79592687
111  50.90678465 -113.79547334
112  50.90678465 -113.79547334  50.90656244 -113.79570987
112  50.90593439 -113.79544199  50.90560175 -113.79491101
111  50.90593439 -113.79544199
112  50.90593439 -113.79544199  50.90570875 -113.79519067
111  50.90538952 -113.79537231
111  50.90500503 -113.79543154
112  50.90500503 -113.79543154  50.90490204 -113.79547186
111  50.90488639 -113.79581478
111  50.90492305 -113.79597981
112  50.90492305 -113.79597981  50.90498026 -113.79607166
111  50.90508834 -113.79608466
111  50.90511213 -113.79658751
111  50.90509190 -113.79664585
111  50.90495495 -113.79687722
112  50.90469100 -113.79657963  50.90458547 -113.79655543
113  50.90469100 -113.79657963
112  50.90677228 -113.79524081  50.90688652 -113.79478672
111  50.90677228 -113.79524081
111  50.90672254 -113.79463797
112  50.90658904 -113.79449851  50.90651021 -113.79449447
111  50.90658904 -113.79449851
111  50.90631673 -113.79450859
111  50.90631594 -113.79463944
112  50.90618498 -113.79489954  50.90609280 -113.79498523
111  50.90618498 -113.79489954
111  50.90602783 -113.79502792
111  50.90588502 -113.79504824
111  50.90589417 -113.79527471
114  50.90589417 -113.79527471  50.90618162 -113.79573055
110 3 0.00 0.0000 New Taxiway 2
111  50.89994823 -113.79664067
112  50.89975965 -113.79636913  50.89975965 -113.79609577
113  50.89994650 -113.79611887
110 3 0.00 0.0000 New Taxiway 1
111  50.90649045 -113.80199033
112  50.90644054 -113.80219732  50.90636032 -113.80224351
113  50.90630023 -113.80211396
110 3 0.00 0.0000 New Taxiway 19
111  50.90480696 -113.79226029
111  50.90500149 -113.79226029
111  50.90498369 -113.79246392
111  50.90509812 -113.79251836
111  50.90537784 -113.79254659
111  50.90536490 -113.79292174
112  50.90536490 -113.79292174  50.90529596 -113.79294873
112  50.90516922 -113.79295875  50.90511016 -113.79294970
111  50.90516922 -113.79295875
111  50.90475218 -113.79287512
112  50.90459674 -113.79266790  50.90456860 -113.79252303
111  50.90459674 -113.79266790
112  50.90459674 -113.79266790  50.90459435 -113.79264068
111  50.90460852 -113.79263523
111  50.90473066 -113.79263990
112  50.90474537 -113.79260723  50.90474438 -113.79257964
111  50.90474537 -113.79260723
111  50.90473177 -113.79246025
112  50.90469302 -113.79244404  50.90466607 -113.79244608
111  50.90469302 -113.79244404
111  50.90458902 -113.79245533
112  50.90456435 -113.79242621  50.90455956 -113.79239717
111  50.90456435 -113.79242621
113  50.90454907 -113.79229747
130 Airport Boundary 22
111  50.90693103 -113.80245334
111  50.89965873 -113.80226246
111  50.89963204 -113.79070497
113  50.90709047 -113.79061058
1300  50.90390512 -113.79098701 -88.92 tie_down props Tie Down 7
1301 A general_aviation 
1300  50.90401843 -113.79098001 -88.92 tie_down props Tie Down 6
1301 A general_aviation 
1300  50.90412839 -113.79097780 -88.92 tie_down props Tie Down 5
1301 A general_aviation 
1300  50.90423753 -113.79097391 -88.92 tie_down props Tie Down 4
1301 A general_aviation 
1300  50.90435219 -113.79096711 -88.92 tie_down props Tie Down 3
1301 A general_aviation 
1300  50.90517116 -113.79505826 -87.11 tie_down props Tie Down 2
1301 A general_aviation 
1300  50.90540907 -113.79512243 -87.11 tie_down props Tie Down 1
1301 A general_aviation 
1300  50.90648762 -113.79424069 -89.80 tie_down props Tie Down 1
1301 A general_aviation 
1300  50.90585605 -113.79318275  92.94 hangar props Hangar 29
1301 A none 
1300  50.90554251 -113.79323629 -177.03 hangar props Hangar 32
1301 A none 
1300  50.90410158 -113.79153291 -157.88 hangar props Hangar 48
1301 A none 
1300  50.90415470 -113.79174046 -157.88 hangar props Hangar 47
1301 A none 
1300  50.90420902 -113.79194558 -157.88 hangar props Hangar 46
1301 A none 
1300  50.90428050 -113.79216989 -157.88 hangar props Hangar 45
1301 A none 
1300  50.90432632 -113.79240256 -157.88 hangar props Hangar 44
1301 A none 
1300  50.90438696 -113.79261537 -157.88 hangar props Hangar 43
1301 A none 
1300  50.90450295 -113.79336345 -155.47 hangar props Hangar 42
1301 A none 
1300  50.90475895 -113.79322074  89.92 hangar props Hangar 41
1301 A none 
1300  50.90491169 -113.79321877  89.92 hangar props Hangar 40
1301 A none 
1300  50.90505762 -113.79321641  89.92 hangar props Hangar 38
1301 A none 
1300  50.90518281 -113.79321965  89.92 hangar props Hangar 36
1301 A none 
1300  50.90530953 -113.79326298  93.09 hangar props Hangar 34
1301 A none 
1300  50.90491350 -113.79354796 -87.07 hangar props Hangar 39
1301 A none 
1300  50.90504716 -113.79353551 -87.07 hangar props Hangar 37
1301 A none 
1300  50.90518822 -113.79352870 -87.07 hangar props Hangar 35
1301 A none 
1300  50.90531911 -113.79351545 -87.07 hangar props Hangar 33
1301 A none 
1300  50.90544948 -113.79349160 -87.07 hangar props Hangar 32
1301 A none 
1300  50.90559056 -113.79348925 -87.07 hangar props Hangar 31
1301 A none 
1300  50.90572810 -113.79347794 -87.07 hangar props Hangar 30
1301 A none 
1300  50.90586535 -113.79346666 -87.07 hangar props Hangar 28
1301 A none 
1300  50.90599258 -113.79345613 -87.07 hangar props Hangar 27
1301 A none 
1300  50.90621163 -113.79341827 -87.07 hangar turboprops|props Hangar 26
1301 A none 
1300  50.90499017 -113.79442019 -87.07 hangar props Hangar 25
1301 A none 
1300  50.90514862 -113.79439766 -87.07 hangar props Hangar 23
1301 A none 
1300  50.90484737 -113.79419121  92.94 hangar props Hangar 27
1301 A none 
1300  50.90498538 -113.79418147  92.94 hangar props Hangar 26
1301 A none 
1300  50.90513023 -113.79417233  92.94 hangar props Hangar 24
1301 A none 
1300  50.90523995 -113.79416383  92.94 hangar props Hangar 22
1301 A none 
1300  50.90534762 -113.79415439  92.94 hangar props Hangar 21
1301 A none 
1300  50.90549366 -113.79416196  92.94 hangar props Hangar 20
1301 A none 
1300  50.90563836 -113.79414932  92.94 hangar props Hangar 19
1301 A none 
1300  50.90576651 -113.79414252  92.94 hangar props Hangar 18
1301 A none 
1300  50.90588547 -113.79413376  92.94 hangar props Hangar 17
1301 A none 
1300  50.90600074 -113.79412404  92.94 hangar props Hangar 16
1301 A none 
1300  50.90612732 -113.79411721  92.94 hangar props Hangar 15
1301 A none 
1300  50.90502616 -113.79470156  92.94 hangar props Hangar 14
1301 A none 
1300  50.90516584 -113.79468912  92.94 hangar props Hangar 13
1301 A none 
1300  50.90532290 -113.79468407  92.94 hangar props Hangar 12
1301 A none 
1300  50.90546997 -113.79466975  92.94 hangar props Hangar 11
1301 A none 
1300  50.90561652 -113.79466197  92.94 hangar props Hangar 10
1301 A none 
1300  50.90577410 -113.79464058  92.94 hangar props Hangar 9
1301 A none 
1300  50.90593475 -113.79463571  92.94 hangar props Hangar 8
1301 A none 
1300  50.90608997 -113.79462422  92.94 hangar props Hangar 7
1301 A none 
1300  50.90534366 -113.79510131 -86.99 hangar props Hangar 6
1301 A none 
1300  50.90684000 -113.79320119 -180.10 hangar props Hangar 5
1301 A none 
1300  50.90683574 -113.79341160 -180.10 hangar props Hangar 4
1301 A none 
1300  50.90683633 -113.79366004 -180.10 hangar props Hangar 3
1301 A none 
1300  50.90684081 -113.79398194 -180.10 hangar props Hangar 2
1301 A none 
1300  50.90685203 -113.79421571 -180.10 hangar props Hangar 1
1301 A none 
19  50.90490442 -113.79488894 1 New Windsock 7
51 12320 Winters Aire Park Traffic
99
