I
1000 Generated by WorldEditor

1    291 1 0 KTIW TACOMA NARROWS
111  47.26945509 -122.57470817
111  47.26945278 -122.57469301
111  47.26955085 -122.57466591
111  47.26961931 -122.57467194
111  47.26962850 -122.57476830
111  47.26970717 -122.57476529
111  47.26966119 -122.57407871
111  47.26979912 -122.57386491
111  47.26978890 -122.57375349
111  47.27313545 -122.57310990
111  47.27316146 -122.57336314
111  47.27358503 -122.57329235
111  47.27357209 -122.57314061
111  47.27367105 -122.57312378
111  47.27431247 -122.57371152
111  47.27437295 -122.57413509
111  47.27451134 -122.57411182
113  47.27454028 -122.57446578
111  47.27408719 -122.57375496
111  47.27341175 -122.57388274
111  47.27342046 -122.57407325
113  47.27410120 -122.57396547
111  47.27396823 -122.57342215
111  47.27338989 -122.57350598
111  47.27340072 -122.57365393
113  47.27397843 -122.57357352
111  47.27280547 -122.57372161
111  47.27179456 -122.57386504
111  47.27181657 -122.57403050
113  47.27282319 -122.57388693
111  47.27275976 -122.57338676
111  47.27154263 -122.57358907
111  47.27157175 -122.57377439
113  47.27277291 -122.57354534
111  47.27284090 -122.57403485
111  47.27188151 -122.57416101
111  47.27190808 -122.57433503
113  47.27285566 -122.57418277
111  47.27121801 -122.57367816
111  47.27105736 -122.57371758
111  47.27108484 -122.57399849
113  47.27123872 -122.57394356
111  47.27093792 -122.57366518
111  47.27026222 -122.57375781
111  47.27028440 -122.57394501
113  47.27095344 -122.57383830
111  47.27019972 -122.57400146
111  47.26980200 -122.57405134
111  47.26984486 -122.57459871
113  47.27023399 -122.57454225
111  47.26666241 -122.57441639
111  47.26641878 -122.57443733
111  47.26651543 -122.57572402
113  47.26676266 -122.57567968
111  47.26625675 -122.57447425
111  47.26595158 -122.57452208
111  47.26603696 -122.57579115
113  47.26634244 -122.57574506
111  47.26575152 -122.57456882
111  47.26561702 -122.57457675
111  47.26570029 -122.57582350
113  47.26585070 -122.57580633
111  47.26543225 -122.57455225
111  47.26526868 -122.57454976
111  47.26537582 -122.57587023
113  47.26554204 -122.57584961
111  47.26492207 -122.57446802
111  47.26502620 -122.57595574
111  47.26520504 -122.57591337
113  47.26508550 -122.57445020
110 2 0.00 0.0000 New Taxiway 17
111  47.27456062 -122.57661070
112  47.27457458 -122.57648541  47.27456662 -122.57636217
112  47.27452605 -122.57592049  47.27450216 -122.57565054
111  47.27434308 -122.57570147
112  47.26805636 -122.57682868  47.26790107 -122.57686095
111  47.26792861 -122.57711664
112  47.26797710 -122.57770286  47.26798308 -122.57777781
111  47.26800703 -122.57779335
111  47.26782281 -122.57782616
112  47.26783970 -122.57771643  47.26783372 -122.57762165
111  47.26779052 -122.57713449
112  47.26758327 -122.57691546  47.26739811 -122.57693893
112  47.26487184 -122.57740796  47.26473453 -122.57743281
111  47.26476591 -122.57769300
112  47.26481504 -122.57827778  47.26482227 -122.57835588
111  47.26484728 -122.57836601
111  47.26466382 -122.57839542
112  47.26467611 -122.57828683  47.26466888 -122.57818034
111  47.26462775 -122.57771336
112  47.26448421 -122.57747696  47.26433003 -122.57749826
112  47.26137607 -122.57804522  47.26116069 -122.57810123
111  47.26119115 -122.57832824
112  47.26124325 -122.57892889  47.26124868 -122.57899023
111  47.26127150 -122.57901056
111  47.26110004 -122.57904111
112  47.26109029 -122.57892598  47.26108247 -122.57883376
111  47.26100929 -122.57877685
111  47.26078657 -122.57860824
111  47.26075899 -122.57829362
112  47.26104607 -122.57778931  47.26137186 -122.57773064
112  47.26444160 -122.57718069  47.26456572 -122.57716285
111  47.26452856 -122.57689328
111  47.26466316 -122.57688133
112  47.26484945 -122.57710776  47.26497954 -122.57709001
112  47.26851653 -122.57645606  47.26880721 -122.57637391
111  47.26876439 -122.57605800
111  47.26898241 -122.57601659
112  47.26923977 -122.57631139  47.26947271 -122.57627618
112  47.27130250 -122.57593642  47.27154152 -122.57588057
111  47.27147987 -122.57556831
111  47.27171697 -122.57553363
112  47.27199389 -122.57582172  47.27223583 -122.57578305
111  47.27427079 -122.57540291
112  47.27445395 -122.57507320  47.27444201 -122.57483259
111  47.27428180 -122.57486827
111  47.27425451 -122.57451788
111  47.27454028 -122.57446578
111  47.27456725 -122.57474073
111  47.27495946 -122.57513660
111  47.27499318 -122.57550763
111  47.27467243 -122.57608985
113  47.27471051 -122.57658265
130 Airport Boundary 2
111  47.27556397 -122.57850876
111  47.26013476 -122.58180105
111  47.25929744 -122.57398467
113  47.27503193 -122.57137548
120 Linear Feature 141
111  47.26401499 -122.57487374 1
115  47.26400570 -122.57477571
120 Linear Feature 141
111  47.26402934 -122.57505539 1
115  47.26402005 -122.57495736
120 Linear Feature 141
111  47.26401499 -122.57487374 1
115  47.26400570 -122.57477571
120 Linear Feature 141
111  47.26402934 -122.57505539 1
115  47.26402005 -122.57495736
120 Linear Feature 141
111  47.26404539 -122.57523704 1
115  47.26403609 -122.57513901
120 Linear Feature 141
111  47.26408592 -122.57577205 1
115  47.26407662 -122.57567402
120 Linear Feature 141
111  47.26407409 -122.57559911 1
115  47.26406480 -122.57550108
120 Linear Feature 141
111  47.26405890 -122.57541621 1
115  47.26404960 -122.57531818
120 Linear Feature 140
111  47.26405890 -122.57482112 1
115  47.26400647 -122.57482653
120 Linear Feature 140
111  47.26407325 -122.57500277 1
115  47.26402082 -122.57500818
120 Linear Feature 140
111  47.26405890 -122.57482112 1
115  47.26400647 -122.57482653
120 Linear Feature 140
111  47.26407325 -122.57500277 1
115  47.26402082 -122.57500818
120 Linear Feature 140
111  47.26408929 -122.57518443 1
115  47.26403687 -122.57518983
120 Linear Feature 140
111  47.26412982 -122.57571943 1
115  47.26407739 -122.57572484
120 Linear Feature 140
111  47.26411800 -122.57554649 1
115  47.26406557 -122.57555190
120 Linear Feature 140
111  47.26410280 -122.57536359 1
115  47.26405037 -122.57536900
120 Linear Feature 139
111  47.26799728 -122.57489717 1
115  47.26798741 -122.57480452
120 Linear Feature 139
111  47.26801196 -122.57505555 1
115  47.26800209 -122.57496290
120 Linear Feature 139
111  47.26802559 -122.57520930 1
115  47.26801572 -122.57511665
120 Linear Feature 139
111  47.26803765 -122.57538237 1
115  47.26802778 -122.57528972
120 Linear Feature 139
111  47.26805233 -122.57556161 1
115  47.26804246 -122.57546896
120 Linear Feature 138
111  47.26804785 -122.57483943 1
115  47.26798103 -122.57485129
120 Linear Feature 138
111  47.26806253 -122.57499781 1
115  47.26799571 -122.57500968
120 Linear Feature 138
111  47.26807616 -122.57515156 1
115  47.26800934 -122.57516342
120 Linear Feature 138
111  47.26808822 -122.57532463 1
115  47.26802140 -122.57533649
120 Linear Feature 138
111  47.26810290 -122.57550387 1
115  47.26803608 -122.57551574
120 Linear Feature 137
111  47.26807041 -122.57511255 1
115  47.26806273 -122.57502885
120 Linear Feature 137
111  47.26808246 -122.57527557 1
115  47.26807479 -122.57519187
120 Linear Feature 137
111  47.26770952 -122.57557014 1
115  47.26770184 -122.57548643
120 Linear Feature 137
111  47.26810081 -122.57546023 1
115  47.26809314 -122.57537652
120 Linear Feature 137
111  47.26770952 -122.57557014 1
115  47.26770184 -122.57548643
120 Linear Feature 137
111  47.26810081 -122.57546023 1
115  47.26809314 -122.57537652
120 Linear Feature 136
111  47.26806648 -122.57507149 1
115  47.26801437 -122.57507862
120 Linear Feature 136
111  47.26807854 -122.57523452 1
115  47.26802643 -122.57524164
120 Linear Feature 136
111  47.26770560 -122.57552908 1
115  47.26765348 -122.57553620
120 Linear Feature 136
111  47.26809689 -122.57541917 1
115  47.26804478 -122.57542629
120 Linear Feature 136
111  47.26770560 -122.57552908 1
115  47.26765348 -122.57553620
120 Linear Feature 136
111  47.26809689 -122.57541917 1
115  47.26804478 -122.57542629
120 Linear Feature 135
111  47.26844126 -122.57416996 1
115  47.26843260 -122.57408823
120 Linear Feature 134
111  47.26845123 -122.57412144 1
115  47.26838060 -122.57414059
120 Linear Feature 133
111  47.26859404 -122.57411717 1
115  47.26858382 -122.57404490
120 Linear Feature 132
111  47.26860834 -122.57407953 1
115  47.26856646 -122.57408555
120 Linear Feature 131
111  47.26865215 -122.57444711 1
115  47.26864350 -122.57436128
120 Linear Feature 130
111  47.26868271 -122.57439612 1
115  47.26862447 -122.57440632
120 Linear Feature 129
111  47.26862620 -122.57430093 1
115  47.26861293 -122.57421595
120 Linear Feature 128
111  47.26864927 -122.57424909 1
115  47.26860486 -122.57426014
120 Linear Feature 127
111  47.26869313 -122.57458412 1
115  47.26866834 -122.57451318
120 Linear Feature 126
111  47.26870838 -122.57452161 1
115  47.26866691 -122.57455603
120 Linear Feature 125
111  47.26871505 -122.57472881 1
115  47.26868646 -122.57466279
120 Linear Feature 124
111  47.26872458 -122.57466841 1
115  47.26869551 -122.57470072
120 Linear Feature 123
111  47.26871505 -122.57488123 1
115  47.26870790 -122.57480748
120 Linear Feature 122
111  47.26875795 -122.57483347 1
115  47.26871029 -122.57484330
120 Linear Feature 121
111  47.26867167 -122.57490009 1
115  47.26866595 -122.57482353
120 Linear Feature 120
111  47.26864974 -122.57486216 1
115  47.26866976 -122.57486005
120 Linear Feature 119
111  47.26855723 -122.57490865 1
115  47.26856243 -122.57484607
120 Linear Feature 118
111  47.26856893 -122.57488247 1
115  47.26852170 -122.57487353
120 Linear Feature 117
111  47.26855116 -122.57477328 1
115  47.26853340 -122.57471262
120 Linear Feature 116
111  47.26850827 -122.57476434 1
115  47.26855290 -122.57473305
120 Linear Feature 115
111  47.26844716 -122.57435347 1
115  47.26843144 -122.57422704
120 Linear Feature 114
111  47.26846766 -122.57428112 1
115  47.26840027 -122.57429297
120 Linear Feature 113
111  47.26846034 -122.57449465 1
115  47.26845167 -122.57439654
120 Linear Feature 112
111  47.26848555 -122.57443428 1
115  47.26844681 -122.57443835
120 Linear Feature 111
111  47.26847452 -122.57464209 1
115  47.26846585 -122.57455560
120 Linear Feature 110
111  47.26849938 -122.57459358 1
115  47.26846979 -122.57459739
120 Linear Feature 109
111  47.27432899 -122.57425763 1
115  47.27426430 -122.57426928
120 Linear Feature 109
111  47.27420081 -122.57428026 1
115  47.27413611 -122.57429191
120 Linear Feature 109
111  47.27408413 -122.57430175 1
115  47.27401944 -122.57431340
120 Linear Feature 109
111  47.27396516 -122.57431872 1
115  47.27390046 -122.57433037
120 Linear Feature 109
111  47.27383467 -122.57434700 1
115  47.27376997 -122.57435865
120 Linear Feature 109
111  47.27372106 -122.57436737 1
115  47.27365637 -122.57437902
120 Linear Feature 109
111  47.27331731 -122.57442733 1
115  47.27325262 -122.57443898
120 Linear Feature 109
111  47.27319563 -122.57444857 1
115  47.27313093 -122.57446023
120 Linear Feature 109
111  47.27288075 -122.57450552 1
115  47.27281605 -122.57451717
120 Linear Feature 109
111  47.27275791 -122.57452507 1
115  47.27269322 -122.57453672
120 Linear Feature 109
111  47.27177678 -122.57470675 1
115  47.27171209 -122.57471840
120 Linear Feature 109
111  47.27190239 -122.57468824 1
115  47.27183769 -122.57469989
120 Linear Feature 109
111  47.27202799 -122.57466973 1
115  47.27196330 -122.57468138
120 Linear Feature 109
111  47.27214453 -122.57464196 1
115  47.27207983 -122.57465361
120 Linear Feature 109
111  47.27226455 -122.57461728 1
115  47.27219985 -122.57462893
120 Linear Feature 109
111  47.27239155 -122.57459054 1
115  47.27232685 -122.57460219
120 Linear Feature 109
111  47.27251227 -122.57456997 1
115  47.27244758 -122.57458162
120 Linear Feature 109
111  47.27263509 -122.57455866 1
115  47.27257039 -122.57457031
120 Linear Feature 108
111  47.27430461 -122.57433174 1
115  47.27429717 -122.57425269
120 Linear Feature 108
111  47.27417642 -122.57435437 1
115  47.27416899 -122.57427532
120 Linear Feature 108
111  47.27405975 -122.57437586 1
115  47.27405231 -122.57429681
120 Linear Feature 108
111  47.27394077 -122.57439283 1
115  47.27393334 -122.57431379
120 Linear Feature 108
111  47.27381028 -122.57442112 1
115  47.27380285 -122.57434207
120 Linear Feature 108
111  47.27369668 -122.57444148 1
115  47.27368924 -122.57436243
120 Linear Feature 108
111  47.27329293 -122.57450144 1
115  47.27328549 -122.57442239
120 Linear Feature 108
111  47.27317124 -122.57452269 1
115  47.27316381 -122.57444364
120 Linear Feature 108
111  47.27285636 -122.57457964 1
115  47.27284893 -122.57450058
120 Linear Feature 108
111  47.27273353 -122.57459918 1
115  47.27272609 -122.57452013
120 Linear Feature 108
111  47.27175240 -122.57478086 1
115  47.27174496 -122.57470181
120 Linear Feature 108
111  47.27187800 -122.57476235 1
115  47.27187057 -122.57468330
120 Linear Feature 108
111  47.27200361 -122.57474384 1
115  47.27199617 -122.57466479
120 Linear Feature 108
111  47.27212014 -122.57471607 1
115  47.27211271 -122.57463703
120 Linear Feature 108
111  47.27224016 -122.57469139 1
115  47.27223273 -122.57461234
120 Linear Feature 108
111  47.27236716 -122.57466465 1
115  47.27235973 -122.57458560
120 Linear Feature 108
111  47.27248788 -122.57464409 1
115  47.27248045 -122.57456504
120 Linear Feature 108
111  47.27261070 -122.57463277 1
115  47.27260327 -122.57455372
120 Linear Feature 107
111  47.27422300 -122.57441040 1
115  47.27421686 -122.57431650
120 Linear Feature 107
111  47.27412404 -122.57444686 1
115  47.27411790 -122.57435297
120 Linear Feature 107
111  47.27400287 -122.57446276 1
115  47.27399673 -122.57436886
120 Linear Feature 107
111  47.27388420 -122.57446276 1
115  47.27387806 -122.57436886
120 Linear Feature 107
111  47.27375810 -122.57451559 1
115  47.27375196 -122.57442170
120 Linear Feature 107
111  47.27323766 -122.57461398 1
115  47.27323152 -122.57452008
120 Linear Feature 107
111  47.27292119 -122.57465771 1
115  47.27291505 -122.57456381
120 Linear Feature 107
111  47.27280204 -122.57468453 1
115  47.27279590 -122.57459063
120 Linear Feature 107
111  47.27169880 -122.57488401 1
115  47.27169266 -122.57479011
120 Linear Feature 107
111  47.27182129 -122.57486363 1
115  47.27181515 -122.57476974
120 Linear Feature 107
111  47.27194473 -122.57484467 1
115  47.27193859 -122.57475077
120 Linear Feature 107
111  47.27206341 -122.57481798 1
115  47.27205727 -122.57472408
120 Linear Feature 107
111  47.27218876 -122.57478496 1
115  47.27218262 -122.57469107
120 Linear Feature 107
111  47.27230886 -122.57477232 1
115  47.27230272 -122.57467842
120 Linear Feature 107
111  47.27243612 -122.57475335 1
115  47.27242998 -122.57465946
120 Linear Feature 107
111  47.27255480 -122.57473298 1
115  47.27254866 -122.57463909
120 Linear Feature 107
111  47.27267824 -122.57471050 1
115  47.27267210 -122.57461661
120 Linear Feature 106
111  47.27425525 -122.57438831 1
115  47.27418692 -122.57439682
120 Linear Feature 106
111  47.27415629 -122.57442478 1
115  47.27408796 -122.57443329
120 Linear Feature 106
111  47.27403512 -122.57444067 1
115  47.27396680 -122.57444918
120 Linear Feature 106
111  47.27391645 -122.57444067 1
115  47.27384812 -122.57444918
120 Linear Feature 106
111  47.27379035 -122.57449351 1
115  47.27372203 -122.57450202
120 Linear Feature 106
111  47.27326991 -122.57459190 1
115  47.27320158 -122.57460040
120 Linear Feature 106
111  47.27295344 -122.57463562 1
115  47.27288512 -122.57464413
120 Linear Feature 106
111  47.27283429 -122.57466244 1
115  47.27276596 -122.57467095
120 Linear Feature 106
111  47.27173105 -122.57486192 1
115  47.27166272 -122.57487043
120 Linear Feature 106
111  47.27185354 -122.57484155 1
115  47.27178521 -122.57485006
120 Linear Feature 106
111  47.27197698 -122.57482259 1
115  47.27190866 -122.57483109
120 Linear Feature 106
111  47.27209566 -122.57479589 1
115  47.27202733 -122.57480440
120 Linear Feature 106
111  47.27222101 -122.57476288 1
115  47.27215268 -122.57477139
120 Linear Feature 106
111  47.27234112 -122.57475023 1
115  47.27227279 -122.57475874
120 Linear Feature 106
111  47.27246837 -122.57473127 1
115  47.27240004 -122.57473978
120 Linear Feature 106
111  47.27258705 -122.57471090 1
115  47.27251872 -122.57471941
120 Linear Feature 106
111  47.27271049 -122.57468842 1
115  47.27264216 -122.57469693
120 Linear Feature 105
111  47.27467407 -122.57589778 6
111  47.27462790 -122.57529992 6
115  47.27496963 -122.57524795
120 Linear Feature 104
111  47.27452777 -122.57592668 4
115  47.27479155 -122.57587758
120 Linear Feature 103
111  47.26792943 -122.57711782 4
115  47.26779052 -122.57713449
120 Linear Feature 102
111  47.26476591 -122.57769300 4
115  47.26462775 -122.57771336
120 Linear Feature 101
111  47.26119115 -122.57832824 4
115  47.26076709 -122.57838585
120 Linear Feature 100
112  47.27159366 -122.57550725  47.27157319 -122.57529230 1
115  47.27172284 -122.57525340
120 Linear Feature 99
111  47.27179883 -122.57601371 1
116  47.27161392 -122.57573622  47.27158405 -122.57544717
120 Linear Feature 98
111  47.27145265 -122.57607344 1
112  47.27161392 -122.57573622  47.27159631 -122.57553779 1
112  47.27159366 -122.57550725  47.27157982 -122.57534746 1
115  47.27145434 -122.57529944
120 Linear Feature 97
111  47.26887715 -122.57604375 1
116  47.26868334 -122.57579625  47.26851514 -122.57582291
120 Linear Feature 95
111  47.26908652 -122.57650092 1
116  47.26889435 -122.57626740  47.26887300 -122.57604547
120 Linear Feature 94
112  47.26887715 -122.57604375  47.26885579 -122.57579367 1
115  47.26901572 -122.57574404
120 Linear Feature 93
112  47.26872578 -122.57656596  47.26890092 -122.57652689 1
111  47.26889435 -122.57626740 1
115  47.26887715 -122.57604375
120 Linear Feature 92
112  47.26456158 -122.57642083  47.26454799 -122.57626337 1
115  47.26443185 -122.57627492
120 Linear Feature 91
112  47.26447391 -122.57733115  47.26463741 -122.57729835 1
115  47.26460840 -122.57704407
120 Linear Feature 90
111  47.26465906 -122.57623759 1
112  47.26456158 -122.57642083  47.26457156 -122.57657240 1
112  47.26460840 -122.57704407  47.26462068 -122.57723749 1
115  47.26475104 -122.57727802
120 Linear Feature 89
111  47.26447138 -122.57626865 1
115  47.26422185 -122.57631181
120 Linear Feature 88
111  47.26543592 -122.57608968 1
115  47.26521424 -122.57613129
120 Linear Feature 87
111  47.26574797 -122.57603349 1
115  47.26553182 -122.57607364
120 Linear Feature 86
111  47.26607123 -122.57598087 1
115  47.26584947 -122.57601735
120 Linear Feature 85
111  47.26432494 -122.57612317 1
112  47.26422185 -122.57631181  47.26412786 -122.57633590 1
111  47.26403765 -122.57634460 1
112  47.26396719 -122.57622620  47.26395084 -122.57610124 1
111  47.26387077 -122.57514233 1
112  47.26378547 -122.57505671  47.26369658 -122.57506574 1
115  47.26306599 -122.57518240
120 Linear Feature 84
112  47.26531230 -122.57589477  47.26532730 -122.57607554 1
111  47.26521424 -122.57613129 1
112  47.26447138 -122.57626865  47.26435695 -122.57628370 1
111  47.26432494 -122.57612317 1
115  47.26419418 -122.57459612
120 Linear Feature 83
111  47.26562382 -122.57585287 1
112  47.26553182 -122.57607364  47.26545245 -122.57609230 1
111  47.26543592 -122.57608968 1
112  47.26531230 -122.57589477  47.26529625 -122.57571684 1
115  47.26519115 -122.57447203
120 Linear Feature 82
112  47.26593992 -122.57580326  47.26594710 -122.57596699 1
111  47.26584947 -122.57601735 1
112  47.26574797 -122.57603349  47.26567283 -122.57604220 1
111  47.26562382 -122.57585287 1
115  47.26551256 -122.57457951
120 Linear Feature 81
111  47.26654870 -122.57588821 1
115  47.26634401 -122.57593133
120 Linear Feature 80
111  47.26643373 -122.57571515 1
112  47.26634401 -122.57593133  47.26624475 -122.57595537 1
111  47.26607123 -122.57598087 1
112  47.26593992 -122.57580326  47.26592360 -122.57563894 1
115  47.26583203 -122.57454812
120 Linear Feature 79
111  47.27006292 -122.57554981 1
115  47.26969544 -122.57561565
120 Linear Feature 78
111  47.26965860 -122.57562131 1
115  47.26935080 -122.57567787
120 Linear Feature 77
111  47.26930244 -122.57568579 1
115  47.26898005 -122.57574800
120 Linear Feature 76
111  47.26888871 -122.57576270 1
115  47.26851654 -122.57582394
120 Linear Feature 75
111  47.26836979 -122.57585542 1
115  47.26800478 -122.57592248
120 Linear Feature 74
111  47.26796484 -122.57592248 1
115  47.26769735 -122.57594028
120 Linear Feature 73
111  47.26868376 -122.57551158 1
112  47.26851654 -122.57582394  47.26834404 -122.57587113 1
112  47.26836979 -122.57585542  47.26822006 -122.57588936 1
111  47.26816546 -122.57559262 1
112  47.26800478 -122.57592248  47.26785999 -122.57595400
111  47.26800478 -122.57592248
112  47.26800478 -122.57592248  47.26800279 -122.57592256 1
112  47.26796484 -122.57592248  47.26796109 -122.57592219
111  47.26796484 -122.57592248
112  47.26796484 -122.57592248  47.26784802 -122.57593703 1
111  47.26783203 -122.57567474 1
112  47.26769735 -122.57594028  47.26752952 -122.57593058 1
112  47.26749934 -122.57592647  47.26735455 -122.57590222 1
112  47.26723479 -122.57582627  47.26716733 -122.57576808 1
111  47.26707779 -122.57578984 1
