I
1050 Generated by WorldEditor

1    203 0 0 CYQY Sydney/J.A. Douglas McCurdy
111  46.16661379 -060.04706985
111  46.16674039 -060.04699183
113  46.16678599 -060.04715052
110 2 0.00 0.0000 New Taxiway 22
111  46.16765866 -060.04190243
111  46.16773812 -060.04201369
111  46.16820345 -060.04266528
111  46.16824864 -060.04272857
111  46.16687802 -060.04476847
111  46.16655048 -060.04428972
111  46.16629684 -060.04391907
113  46.16730405 -060.04243984
110 1 0.00 0.0000 New Taxiway 24
111  46.16655048 -060.04428972
112  46.16631846 -060.04433392  46.16623226 -060.04446726
112  46.16595704 -060.04486792  46.16589548 -060.04495277
111  46.16569678 -060.04525986
112  46.16573639 -060.04561267  46.16582890 -060.04592323
111  46.16607394 -060.04673750
112  46.16616959 -060.04681149  46.16622693 -060.04677837
111  46.16623266 -060.04677561
111  46.16619826 -060.04665142
111  46.16645438 -060.04649411
111  46.16656297 -060.04686508
111  46.16632278 -060.04701721
112  46.16627131 -060.04698220  46.16624095 -060.04698927
111  46.16627131 -060.04698220
112  46.16627131 -060.04698220  46.16626764 -060.04698306
112  46.16618676 -060.04703336  46.16616622 -060.04704740
111  46.16618676 -060.04703336
112  46.16618676 -060.04703336  46.16615880 -060.04705248
112  46.16618478 -060.04709814  46.16619895 -060.04714132
111  46.16618478 -060.04709814
112  46.16618478 -060.04709814  46.16621919 -060.04720301
111  46.16625178 -060.04730549
111  46.16629805 -060.04733128
111  46.16651877 -060.04719135
111  46.16652300 -060.04716128
111  46.16662231 -060.04709653
111  46.16665772 -060.04720981
111  46.16656753 -060.04726315
111  46.16653684 -060.04725479
111  46.16631485 -060.04739933
112  46.16636264 -060.04744348  46.16643527 -060.04745452
111  46.16657863 -060.04747384
111  46.16662832 -060.04746280
111  46.16667802 -060.04732205
111  46.16689401 -060.04719786
111  46.16703163 -060.04760631
111  46.16683093 -060.04774430
112  46.16669331 -060.04767255  46.16660921 -060.04762839
112  46.16656907 -060.04762011  46.16652511 -060.04761183
111  46.16635499 -060.04757320
111  46.16647541 -060.04794577
111  46.16631676 -060.04805064
111  46.16616385 -060.04749316
111  46.16595933 -060.04682805
111  46.16559662 -060.04562871
112  46.16544302 -060.04560244  46.16536403 -060.04571648
111  46.16479630 -060.04657627
112  46.16476807 -060.04685199  46.16482336 -060.04704814
111  46.16476807 -060.04685199
111  46.16444035 -060.04576356
111  46.16474574 -060.04594284
111  46.16502769 -060.04579955
111  46.16542479 -060.04522750
113  46.16629684 -060.04391907
110 1 0.00 0.0000 New Taxiway 4
111  46.16682694 -060.03838828
112  46.16664726 -060.03776180  46.16634633 -060.03757273
111  46.16666447 -060.03771488
111  46.16713830 -060.03788592
113  46.16683279 -060.03835213
110 1 0.00 0.0000 New Taxiway 1
111  46.15415624 -060.03241073
112  46.15421377 -060.03213805  46.15428460 -060.03206573 102
111  46.15441059 -060.03207506 102
112  46.15515789 -060.03236240  46.15518773 -060.03234657 102
111  46.15524127 -060.03249095 102
112  46.15532501 -060.03280625  46.15533149 -060.03286388
113  46.15530028 -060.03283632
110 2 0.00 0.0000 New Taxiway 4
111  46.16493298 -060.04741545
111  46.16445192 -060.04775272
111  46.16398474 -060.04623176
111  46.16378344 -060.04560428
111  46.16354185 -060.04485117
111  46.16325137 -060.04482498
111  46.16323866 -060.04480036
111  46.16401644 -060.04364690
111  46.16402758 -060.04399256
111  46.16402584 -060.04445920
111  46.16428666 -060.04527993
111  46.16444035 -060.04576356
113  46.16476807 -060.04685199
110 1 0.00 0.0000 New Taxiway 5
111  46.16837783 -060.04241384
111  46.16820345 -060.04266528
111  46.16773812 -060.04201369
113  46.16791309 -060.04178906
130 Airport Boundary 1
111  46.17086785 -060.03578740
111  46.17144234 -060.03768410
111  46.17096205 -060.04059230
111  46.16955952 -060.04200523
111  46.16781328 -060.04485832
111  46.16702869 -060.04600819
111  46.16776727 -060.04901121
111  46.16649884 -060.05007118
111  46.16522165 -060.04925993
111  46.16387256 -060.04810416
111  46.15387911 -060.06090415
111  46.15201620 -060.05793623
111  46.16211775 -060.04280157
111  46.16034370 -060.03606056
111  46.15259595 -060.03331323
111  46.15289304 -060.03100736
111  46.16682871 -060.03622416
113  46.16808955 -060.03468001
120 Linear Feature 5
111  46.16564736 -060.04511865 1
116  46.16561372 -060.04547411  46.16563608 -060.04573225
120 Linear Feature 3
111  46.16628486 -060.04765749 1
112  46.16561378 -060.04547415  46.16557526 -060.04535146
111  46.16561378 -060.04547415
112  46.16561378 -060.04547415  46.16556083 -060.04536414 1
115  46.16542662 -060.04544564
120 Linear Feature 1
111  46.16780156 -060.04309223
115  46.16780153 -060.04306708
120 Linear Feature 1
111  46.16740456 -060.04368215
115  46.16740453 -060.04365700
120 Linear Feature 1
111  46.16699816 -060.04428537
115  46.16699831 -060.04425626
120 Linear Feature 44
111  46.16664799 -060.04369162 1
115  46.16740456 -060.04366966
120 Linear Feature 44
111  46.16704550 -060.04310189 1
115  46.16780145 -060.04307996
120 Linear Feature 43
111  46.16617114 -060.04705483 102
115  46.16625165 -060.04730555
120 Linear Feature 42
111  46.16687795 -060.04476847 102
111  46.16655048 -060.04428972 102
112  46.16631833 -060.04433398  46.16623653 -060.04446379 102
111  46.16569665 -060.04525992 102
112  46.16573626 -060.04561273  46.16582842 -060.04592915
111  46.16573626 -060.04561273
112  46.16573626 -060.04561273  46.16582720 -060.04591326 102
115  46.16607422 -060.04673756
120 Linear Feature 32
111  46.16428666 -060.04527993 4
115  46.16378344 -060.04560428
120 Linear Feature 31
111  46.16765866 -060.04190243 102
111  46.16773812 -060.04201369 102
111  46.16791309 -060.04178906 102
115  46.16837783 -060.04241384
120 Linear Feature 29
111  46.16401797 -060.04366235 102
111  46.16402758 -060.04399256 102
111  46.16402584 -060.04445920 102
111  46.16444035 -060.04576356 102
111  46.16474561 -060.04594290 102
111  46.16502756 -060.04579961 102
111  46.16542466 -060.04522757 102
111  46.16629680 -060.04391908 102
115  46.16730405 -060.04243984
120 Linear Feature 20
111  46.16730405 -060.04243984 102
112  46.16745110 -060.04207545  46.16747847 -060.04199834
111  46.16745110 -060.04207545
112  46.16745110 -060.04207545  46.16744856 -060.04192762 102
111  46.16742552 -060.04032557 102
111  46.16740878 -060.03898400 102
116  46.16718304 -060.03896864  46.16702207 -060.03902895
120 Linear Feature 19
111  46.16761387 -060.03832787 102
115  46.16765866 -060.04190243
120 Linear Feature 39
111  46.16699795 -060.04427117 1
111  46.16668463 -060.04427595 1
111  46.16662440 -060.04427687 1
111  46.16668463 -060.04427595 1
116  46.16630323 -060.04414839  46.16603350 -060.04437983
120 Linear Feature 38
111  46.16367498 -060.04429976 1
112  46.16322216 -060.04430707  46.16305788 -060.04454882 1
115  46.16289347 -060.04478969
120 Linear Feature 37
111  46.16750936 -060.03818409 1
112  46.16733591 -060.03768016  46.16713608 -060.03759987 1
115  46.16678186 -060.03746755
120 Linear Feature 36
111  46.16751391 -060.03882003 1
111  46.16750936 -060.03818409 1
112  46.16792510 -060.03789101  46.16829758 -060.03804213 1
115  46.16863981 -060.03817437
120 Linear Feature 35
111  46.16419196 -060.04283235 1
111  46.16376641 -060.04347013 1
112  46.16367498 -060.04429976  46.16383780 -060.04483236 1
111  46.16421057 -060.04599836 1
112  46.16480041 -060.04637717  46.16515399 -060.04584610
111  46.16480041 -060.04637717
112  46.16480041 -060.04637717  46.16492901 -060.04618402 1
112  46.16542662 -060.04544564  46.16568236 -060.04506658
111  46.16542662 -060.04544564
112  46.16542662 -060.04544564  46.16549984 -060.04533711 1
112  46.16564736 -060.04511865  46.16572052 -060.04501032
111  46.16564736 -060.04511865
112  46.16564736 -060.04511865  46.16592681 -060.04470486 1
112  46.16630323 -060.04414839  46.16641773 -060.04397917
111  46.16630323 -060.04414839
112  46.16630323 -060.04414839  46.16630502 -060.04414573 1
111  46.16636385 -060.04405893 1
112  46.16651397 -060.04389098  46.16653596 -060.04385717
111  46.16651397 -060.04389098
112  46.16651397 -060.04389098  46.16651923 -060.04388289 1
112  46.16664799 -060.04369162  46.16672448 -060.04357807
111  46.16664799 -060.04369162
112  46.16664799 -060.04369162  46.16675416 -060.04353399 1
112  46.16704550 -060.04310189  46.16718400 -060.04289649
111  46.16704550 -060.04310189
112  46.16704550 -060.04310189  46.16722421 -060.04283685 1
111  46.16737908 -060.04260727 1
112  46.16755151 -060.04208369  46.16755143 -060.04175717 1
111  46.16751391 -060.03882003 1
112  46.16708119 -060.03858249  46.16684379 -060.03893032 1
115  46.16666146 -060.03919692
120 Linear Feature 34
111  46.16673987 -060.03962022 4
115  46.16634476 -060.03906763
120 Linear Feature 34
111  46.16896670 -060.03796039 4
115  46.16885516 -060.03853828
120 Linear Feature 34
111  46.16656261 -060.03767701 4
115  46.16667267 -060.03709389
120 Linear Feature 33
111  46.16764394 -060.04078719 4
115  46.16743505 -060.04078974
120 Linear Feature 30
111  46.16635486 -060.04757326 102
111  46.16647528 -060.04794583 102
111  46.16631663 -060.04805070 102
111  46.16616372 -060.04749322 102
111  46.16595920 -060.04682811 102
111  46.16559649 -060.04562877 102
112  46.16544289 -060.04560250  46.16536111 -060.04571290
111  46.16544289 -060.04560250
112  46.16544289 -060.04560250  46.16536062 -060.04572288 102
111  46.16479617 -060.04657633 102
112  46.16476807 -060.04685199  46.16482261 -060.04705450 102
111  46.16493298 -060.04741545 102
111  46.16445192 -060.04775272 102
111  46.16398474 -060.04623176 102
111  46.16354185 -060.04485117 102
115  46.16325137 -060.04482498
14  46.16777644 -060.04395312  82.02 0 New Tower Viewpoint 10
1300  46.16776738 -060.04308095   1.03 gate jets|turboprops|props|helos|fighters Gate 3
1301 C none 
1300  46.16736637 -060.04366950   1.57 gate jets|turboprops|props|helos|fighters Gate 2
1301 C none 
1300  46.16696826 -060.04427105   0.74 gate jets|turboprops|props|helos|fighters Gate 1
1301 C airline 
1300  46.16655640 -060.04664142 -157.68 hangar jets|turboprops|props|helos|fighters Hangar 1
1301 A none 
1300  46.16665484 -060.04713526 -156.58 hangar jets|turboprops|props|helos|fighters Hangar 2
1301 A none 
1300  46.16694840 -060.04772749 114.42 hangar jets|turboprops|props|helos|fighters Hangar 3
1301 B none 
18  46.16777175 -060.04395198 1 New Airport Beacon 18
19  46.15495900 -060.05588328 1 New Windsock 14
55 11860 Moncton ACC APP/DEP
99
