I
1050 Generated by WorldEditor 2.2.0r2

1   2333 0 0 F62 Hayfork
113  40.54812233 -123.17890124
110 2 0.00 0.0000 New Taxiway 90
111  40.54798726 -123.17889824
111  40.54798518 -123.17903295
111  40.54786794 -123.17903003
113  40.54787062 -123.17889614
130 Airport Boundary 94
111  40.54750968 -123.18747451
111  40.54631498 -123.18741303
111  40.54667539 -123.17154238
111  40.54797020 -123.17187613
111  40.54787676 -123.17722491
111  40.54863096 -123.17735666
111  40.54857089 -123.17941186
111  40.54776997 -123.17959630
113  40.54803694 -123.18210822
120 Linear Feature 89
111  40.54718255 -123.17766441 51
112  40.54705911 -123.17781322  40.54703914 -123.17794809
111  40.54705911 -123.17781322 51
115  40.54703828 -123.17855316
120 Linear Feature 88
111  40.54739165 -123.17752457 54
115  40.54738319 -123.17780593
120 Linear Feature 92
111  40.54823883 -123.17789518 51
115  40.54822512 -123.17789482
120 Linear Feature 92
111  40.54822257 -123.17853901 51
115  40.54820886 -123.17853865
120 Linear Feature 92
111  40.54791275 -123.17836007 51
115  40.54789904 -123.17835971
120 Linear Feature 92
111  40.54824204 -123.17773209 51
115  40.54822833 -123.17773173
120 Linear Feature 92
111  40.54822578 -123.17837592 51
115  40.54821207 -123.17837556
120 Linear Feature 92
111  40.54791596 -123.17819698 51
115  40.54790225 -123.17819662
120 Linear Feature 92
111  40.54822954 -123.17821307 51
115  40.54821583 -123.17821271
120 Linear Feature 92
111  40.54791972 -123.17803413 51
115  40.54790601 -123.17803377
120 Linear Feature 92
111  40.54823561 -123.17805355 51
115  40.54822190 -123.17805319
120 Linear Feature 92
111  40.54792579 -123.17787461 51
115  40.54791208 -123.17787425
120 Linear Feature 93
111  40.54822494 -123.17790445 51
111  40.54822512 -123.17789482 51
115  40.54822529 -123.17788567
120 Linear Feature 93
111  40.54820868 -123.17854828 51
111  40.54820886 -123.17853865 51
115  40.54820903 -123.17852950
120 Linear Feature 93
111  40.54789886 -123.17836934 51
111  40.54789904 -123.17835971 51
115  40.54789922 -123.17835056
120 Linear Feature 93
111  40.54822815 -123.17774136 51
111  40.54822833 -123.17773173 51
115  40.54822850 -123.17772258
120 Linear Feature 93
111  40.54821189 -123.17838519 51
111  40.54821207 -123.17837556 51
115  40.54821225 -123.17836641
120 Linear Feature 93
111  40.54790207 -123.17820625 51
111  40.54790225 -123.17819662 51
115  40.54790243 -123.17818747
120 Linear Feature 93
111  40.54821565 -123.17822234 51
111  40.54821583 -123.17821271 51
115  40.54821600 -123.17820356
120 Linear Feature 93
111  40.54790583 -123.17804340 51
111  40.54790601 -123.17803377 51
115  40.54790618 -123.17802462
120 Linear Feature 93
111  40.54822172 -123.17806282 51
111  40.54822190 -123.17805319 51
115  40.54822207 -123.17804404
120 Linear Feature 93
111  40.54791190 -123.17788388 51
111  40.54791208 -123.17787425 51
115  40.54791225 -123.17786510
120 Linear Feature 92
111  40.54798873 -123.17844410 51
115  40.54797342 -123.17844352
120 Linear Feature 92
111  40.54799194 -123.17828102 51
115  40.54797663 -123.17828043
120 Linear Feature 92
111  40.54799570 -123.17811817 51
115  40.54798039 -123.17811758
120 Linear Feature 92
111  40.54800177 -123.17795864 51
115  40.54798646 -123.17795806
120 Linear Feature 92
111  40.54768717 -123.17794389 51
115  40.54767185 -123.17794330
120 Linear Feature 92
111  40.54768310 -123.17810388 51
115  40.54766779 -123.17810329
120 Linear Feature 92
111  40.54767818 -123.17826753 51
115  40.54766287 -123.17826694
120 Linear Feature 92
111  40.54767408 -123.17843004 51
115  40.54765877 -123.17842945
120 Linear Feature 92
111  40.54766980 -123.17859284 51
115  40.54765449 -123.17859225
120 Linear Feature 91
111  40.54798858 -123.17845310 51
111  40.54798873 -123.17844410 51
115  40.54798888 -123.17843550
120 Linear Feature 91
111  40.54799179 -123.17829001 51
111  40.54799194 -123.17828102 51
115  40.54799209 -123.17827241
120 Linear Feature 91
111  40.54799555 -123.17812716 51
111  40.54799570 -123.17811817 51
115  40.54799585 -123.17810956
120 Linear Feature 91
111  40.54800162 -123.17796764 51
111  40.54800177 -123.17795864 51
115  40.54800191 -123.17795004
120 Linear Feature 91
111  40.54768702 -123.17795289 51
111  40.54768717 -123.17794389 51
115  40.54768731 -123.17793528
120 Linear Feature 91
111  40.54768295 -123.17811287 51
111  40.54768310 -123.17810388 51
115  40.54768325 -123.17809527
120 Linear Feature 91
111  40.54767803 -123.17827653 51
111  40.54767818 -123.17826753 51
115  40.54767832 -123.17825892
120 Linear Feature 91
111  40.54767393 -123.17843903 51
111  40.54767408 -123.17843004 51
115  40.54767422 -123.17842143
120 Linear Feature 91
111  40.54766965 -123.17860184 51
111  40.54766980 -123.17859284 51
115  40.54766994 -123.17858424
120 Linear Feature 77
111  40.54723685 -123.18193098 54
115  40.54727837 -123.18202349
120 Linear Feature 79
111  40.54710887 -123.18689097 51
111  40.54700280 -123.18688629 51
116  40.54684968 -123.18680803  40.54679465 -123.18673794
120 Linear Feature 83
111  40.54755964 -123.17333401 54
115  40.54748180 -123.17335159
120 Linear Feature 87
111  40.54746365 -123.17784055 51
116  40.54735183 -123.17766844  40.54724334 -123.17763761
120 Linear Feature 86
111  40.54757799 -123.17767641 51
116  40.54747237 -123.17752344  40.54746387 -123.17740370
120 Linear Feature 85
111  40.54757799 -123.17767641 51
115  40.54735183 -123.17766844
120 Linear Feature 84
111  40.54747237 -123.17752344 51
112  40.54735183 -123.17766844  40.54724753 -123.17768840
111  40.54735183 -123.17766844 51
111  40.54718255 -123.17766441 51
112  40.54706872 -123.17747770  40.54706472 -123.17732030
111  40.54706872 -123.17747770 51
115  40.54708813 -123.17676212
120 Linear Feature 81
111  40.54708353 -123.18202417 51
112  40.54694695 -123.18183722  40.54694110 -123.18165308
111  40.54694695 -123.18183722 51
115  40.54696687 -123.18112459
120 Linear Feature 82
111  40.54746456 -123.17780849 51
111  40.54747237 -123.17752344 51
111  40.54757304 -123.17385344
112  40.54757304 -123.17385344  40.54757323 -123.17376994 51
111  40.54756504 -123.17369161 51
111  40.54742051 -123.17249621 51
112  40.54734209 -123.17239722  40.54727806 -123.17239305
111  40.54734209 -123.17239722 51
115  40.54728262 -123.17239590
120 Linear Feature 80
111  40.54691824 -123.18291903 51
111  40.54693781 -123.18218041 51
112  40.54708353 -123.18202417  40.54723136 -123.18201078
111  40.54708353 -123.18202417
112  40.54708353 -123.18202417  40.54731015 -123.18201821 51
112  40.54735278 -123.18174528  40.54736129 -123.18161776
111  40.54735278 -123.18174528 51
111  40.54746365 -123.17784055 51
111  40.54746456 -123.17780849 51
112  40.54757799 -123.17767641  40.54766533 -123.17766497
111  40.54757799 -123.17767641 51
111  40.54771292 -123.17768073 51
111  40.54800039 -123.17768989 51
112  40.54811579 -123.17783708  40.54812022 -123.17797726
111  40.54811579 -123.17783708 51
111  40.54809708 -123.17850541 51
112  40.54797308 -123.17863431  40.54785748 -123.17863264
111  40.54797308 -123.17863431 51
111  40.54788207 -123.17862632 51
112  40.54778477 -123.17848731  40.54777199 -123.17835784
111  40.54778477 -123.17848731 51
111  40.54780366 -123.17783536 51
116  40.54771292 -123.17768073  40.54761880 -123.17765120
120 Linear Feature 78
111  40.54713193 -123.18674694 54
115  40.54712482 -123.18705774
14  40.54756543 -123.17821933  82.02 0 New Tower Viewpoint 13
1300  40.54719125 -123.18691368  87.65 tie_down props West Hold Point Spawn 1
1301 A general_aviation 
1300  40.54822512 -123.17789482 -180.00 tie_down props Tiedown 15
1301 A general_aviation 
1300  40.54820886 -123.17853865 -180.00 tie_down props Tiedown 19
1301 A general_aviation 
1300  40.54789904 -123.17835971 -180.00 tie_down props Tiedown 9
1301 A general_aviation 
1300  40.54822833 -123.17773173 -180.00 tie_down props Tiedown 14
1301 A general_aviation 
1300  40.54821207 -123.17837556 -180.00 tie_down props Tiedown 18
1301 A general_aviation 
1300  40.54790225 -123.17819662 -180.00 tie_down props Tiedown 8
1301 A general_aviation 
1300  40.54821583 -123.17821271 -180.00 tie_down props Tiedown 17
1301 A general_aviation 
1300  40.54790601 -123.17803377 -180.00 tie_down props Tiedown 7
1301 A general_aviation 
1300  40.54822190 -123.17805319 -180.00 tie_down props Tiedown 16
1301 A general_aviation 
1300  40.54791208 -123.17787425 -180.00 tie_down props Tiedown 6
1301 A general_aviation 
1300  40.54798873 -123.17844410 358.44 tie_down props Tiedown 13
1301 A general_aviation 
1300  40.54799194 -123.17828102 358.44 tie_down props Tiedown 12
1301 A general_aviation 
1300  40.54799570 -123.17811817 358.44 tie_down props Tiedown 11
1301 A general_aviation 
1300  40.54800177 -123.17795864 358.44 tie_down props Tiedown 10
1301 A general_aviation 
1300  40.54768717 -123.17794389 358.44 tie_down props Tiedown 5
1301 A general_aviation 
1300  40.54768310 -123.17810388 358.44 tie_down props Tiedown 4
1301 A general_aviation 
1300  40.54767818 -123.17826753 358.44 tie_down props Tiedown 3
1301 A general_aviation 
1300  40.54767408 -123.17843004 358.44 tie_down props Tiedown 2
1301 A general_aviation 
1300  40.54766980 -123.17859284 358.44 tie_down props Tiedown 1
1301 A general_aviation 
19  40.54766494 -123.18202257 0 New Windsock 10
51 12280 CTAF/UNICOM
99
