A
1050 Generated by WorldEditor 1.6.1r1

1    148 1 0 KLWM Lawrence Municipal
111  42.72093849 -071.12498871
113  42.72079466 -071.12572340
110 2 0.00 0.0000 New Taxiway 1092
111  42.72045391 -071.12506933
111  42.72031213 -071.12501495
111  42.72041138 -071.12456059
113  42.72055186 -071.12462024
110 2 0.00 0.0000 New Taxiway 1091
111  42.72020129 -071.12552720
111  42.72029925 -071.12507284
111  42.72043973 -071.12512722
113  42.72034049 -071.12558334
110 2 0.00 0.0000 New Taxiway 1090
111  42.71998280 -071.12475953
111  42.72004993 -071.12445497
111  42.72025041 -071.12453537
113  42.72018239 -071.12483994
110 2 0.00 0.0000 New Taxiway 1089
111  42.71711426 -071.11816180
111  42.71732425 -071.11792749
111  42.71753459 -071.11828114
111  42.71731090 -071.11851338
113  42.71722955 -071.11836793
110 2 0.00 0.0000 New Taxiway 1088
111  42.71546120 -071.12038191
111  42.71532479 -071.12015095
111  42.71536238 -071.12010856
111  42.71533446 -071.12006470
111  42.71545905 -071.11992448
113  42.71562874 -071.12019919
110 2 0.00 0.0000 New Taxiway 1087
111  42.71496569 -071.12041494
111  42.71478405 -071.12012469
111  42.71504181 -071.11983525
113  42.71521967 -071.12012644
110 2 0.00 0.0000 New Taxiway 1086
111  42.71530668 -071.12056025
111  42.71529766 -071.12054446
111  42.71524611 -071.12060059
111  42.71511336 -071.12038308
111  42.71528993 -071.12017784
113  42.71543428 -071.12041641
110 2 0.00 0.0000 New Taxiway 1080
111  42.71239406 -071.12205548
111  42.71257020 -071.12236828
111  42.71245528 -071.12249107
111  42.71242578 -071.12243930
111  42.71241696 -071.12242383
111  42.71240971 -071.12241111
111  42.71227699 -071.12217826
113  42.71230690 -071.12214689
110 2 0.00 0.0000 New Taxiway 1079
111  42.71211176 -071.12192245
111  42.71227681 -071.12174561
111  42.71233821 -071.12167981
111  42.71242628 -071.12184353
111  42.71223736 -071.12204310
113  42.71220074 -071.12208179
110 2 0.00 0.0000 New Taxiway 1078
111  42.71222115 -071.12164327
111  42.71201154 -071.12154271
111  42.71206649 -071.12133105
113  42.71227485 -071.12142694
110 2 0.00 0.0000 New Taxiway 1077
111  42.71248213 -071.12131146
111  42.71211374 -071.12113752
111  42.71215971 -071.12095743
113  42.71252617 -071.12112290
110 2 0.00 0.0000 New Taxiway 1075
111  42.71231029 -071.12034527
111  42.71235674 -071.12016613
111  42.71263861 -071.12029547
111  42.71272164 -071.12033357
111  42.71267761 -071.12051629
113  42.71237660 -071.12037614
110 2 0.00 0.0000 New Taxiway 1074
111  42.71287201 -071.12070339
111  42.71291819 -071.12051483
111  42.71328980 -071.12067854
111  42.71324362 -071.12087003
111  42.71293720 -071.12073262
113  42.71292027 -071.12072503
110 2 0.00 0.0000 New Taxiway 1073
111  42.71277247 -071.12109817
111  42.71282073 -071.12090368
111  42.71319748 -071.12107543
113  42.71315108 -071.12126740
110 2 0.00 0.0000 New Taxiway 1072
111  42.71305457 -071.12166143
111  42.71267596 -071.12148967
111  42.71272422 -071.12129771
113  42.71310283 -071.12147452
110 2 0.00 0.0000 New Taxiway 1069
111  42.71338279 -071.12137761
111  42.71346428 -071.12101523
111  42.71377832 -071.12114503
111  42.71374257 -071.12131082
113  42.71369954 -071.12151036
110 2 0.00 0.0000 New Taxiway 1076
111  42.71257987 -071.12090803
111  42.71221255 -071.12074724
111  42.71225766 -071.12055868
113  42.71262498 -071.12072531
110 2 0.00 0.0000 New Taxiway 1085
111  42.71141538 -071.12493546
111  42.71131139 -071.12475461
111  42.71148506 -071.12457132
113  42.71158830 -071.12475421
110 2 0.00 0.0000 New Taxiway 1084
111  42.71151938 -071.12453487
111  42.71141965 -071.12436732
111  42.71143511 -071.12429575
111  42.71162020 -071.12410236
113  42.71173745 -071.12430334
110 2 0.00 0.0000 New Taxiway 1083
111  42.71182694 -071.12414350
111  42.71169483 -071.12390086
111  42.71181405 -071.12377223
111  42.71195260 -071.12401341
113  42.71186357 -071.12410558
110 2 0.00 0.0000 New Taxiway 1082
111  42.71259169 -071.12332864
111  42.71235415 -071.12291031
111  42.71207293 -071.12241506
111  42.71214210 -071.12233884
113  42.71266794 -071.12324824
110 2 0.00 0.0000 New Taxiway 1081
111  42.71247388 -071.12252691
111  42.71259503 -071.12240763
111  42.71277020 -071.12271358
113  42.71265127 -071.12283889
110 2 0.00 0.0000 New Taxiway 1098
111  42.72092401 -071.12656199
111  42.72092753 -071.12654652
111  42.72097609 -071.12633278
111  42.72116172 -071.12640687
113  42.72111513 -071.12663907
110 2 0.00 0.0000 New Taxiway 1101
111  42.72086784 -071.12707817
111  42.72100854 -071.12695975
111  42.72117298 -071.12731862
111  42.72103276 -071.12743706
113  42.72090772 -071.12716495
110 2 0.00 0.0000 New Taxiway 1100
111  42.72083588 -071.12700016
111  42.72078733 -071.12689302
111  42.72070401 -071.12670917
111  42.72066296 -071.12661860
111  42.72075640 -071.12653527
111  42.72083266 -071.12656743
113  42.72097443 -071.12689052
110 1 0.00 0.0000 New Taxiway 1046
111  42.72103932 -071.12929304 102
112  42.72114404 -071.12925771  42.72120203 -071.12921210
111  42.72114404 -071.12925771 102
111  42.72131678 -071.12912370 102
111  42.72139480 -071.12900275 102
111  42.72141344 -071.12897385 102
111  42.72136600 -071.12875822 102
111  42.71997406 -071.12571550 102
112  42.71987632 -071.12561462  42.71981081 -071.12559270
111  42.71987632 -071.12561462 102
111  42.71981510 -071.12559267 102
111  42.71971737 -071.12555761
112  42.71971737 -071.12555761  42.71967441 -071.12554299 102
111  42.71951545 -071.12556054
112  42.71951545 -071.12556054  42.71941556 -071.12556784 102
111  42.71942308 -071.12573450
111  42.71921961 -071.12528862
111  42.71916424 -071.12516729 102
112  42.71925553 -071.12523746  42.71931890 -071.12526377
111  42.71925553 -071.12523746 102
111  42.71967978 -071.12540558
112  42.71967978 -071.12540558  42.71970584 -071.12541637 102
112  42.71975289 -071.12535029  42.71977090 -071.12531285
111  42.71975289 -071.12535029
112  42.71975289 -071.12535029  42.71976902 -071.12531675 102
112  42.71976462 -071.12525062  42.71975295 -071.12522506
111  42.71976462 -071.12525062 102
111  42.71835998 -071.12216329 102
111  42.71817627 -071.12175949
112  42.71817627 -071.12175949  42.71815785 -071.12171988 102
112  42.71810388 -071.12168949  42.71807667 -071.12167963
111  42.71810388 -071.12168949
112  42.71810388 -071.12168949  42.71805176 -071.12167059 102
111  42.71799798 -071.12169079
111  42.71780136 -071.12190225
112  42.71780136 -071.12190225  42.71777559 -071.12193295
112  42.71777384 -071.12211128  42.71780499 -071.12217707
111  42.71777384 -071.12211128
111  42.71757062 -071.12236163
112  42.71757062 -071.12236163  42.71749329 -071.12229000
111  42.71740426 -071.12232416
111  42.71720953 -071.12182988
112  42.71723487 -071.12161645  42.71720695 -071.12152728
111  42.71723487 -071.12161645
111  42.71743744 -071.12137174
112  42.71743744 -071.12137174  42.71752121 -071.12147553
111  42.71762024 -071.12139893
111  42.71782001 -071.12117965 102
112  42.71781743 -071.12097967  42.71777984 -071.12089488
111  42.71781743 -071.12097967 102
111  42.71761856 -071.12054104 102
111  42.71739705 -071.12005199 102
112  42.71727208 -071.11997468  42.71719678 -071.11998127
111  42.71727208 -071.11997468
112  42.71727208 -071.11997468  42.71725825 -071.11997589 102
112  42.71723101 -071.11998854  42.71721534 -071.11999694
111  42.71723101 -071.11998854 102
111  42.71711244 -071.12006222
112  42.71711244 -071.12006222  42.71693200 -071.12018063 102
111  42.71701062 -071.12044288
111  42.71669895 -071.11976394 102
112  42.71693524 -071.11985530  42.71704909 -071.11979683
111  42.71693524 -071.11985530 102
111  42.71708471 -071.11978099
112  42.71708471 -071.11978099  42.71712542 -071.11975671 102
112  42.71715949 -071.11966917  42.71717145 -071.11962611
111  42.71715949 -071.11966917
112  42.71715949 -071.11966917  42.71717562 -071.11961112 102
111  42.71717332 -071.11955563 102
111  42.71644419 -071.11796032
112  42.71644419 -071.11796032  42.71636662 -071.11779079 102
111  42.71628831 -071.11771973 102
112  42.71625595 -071.11772899  42.71623679 -071.11773519
111  42.71625595 -071.11772899
112  42.71625595 -071.11772899  42.71622896 -071.11773773 102
112  42.71615978 -071.11777406  42.71612942 -071.11779543
111  42.71615978 -071.11777406 102
111  42.71600047 -071.11789368
112  42.71600047 -071.11789368  42.71593334 -071.11794606 102
111  42.71590792 -071.11802159
111  42.71568363 -071.11821528 102
112  42.71555539 -071.11826673  42.71549095 -071.11831760
111  42.71555539 -071.11826673 102
111  42.71542780 -071.11836964
112  42.71542780 -071.11836964  42.71539855 -071.11839950 102
112  42.71533136 -071.11849556  42.71530305 -071.11853935
111  42.71533136 -071.11849556
112  42.71533136 -071.11849556  42.71531475 -071.11852124 102
112  42.71529655 -071.11855763  42.71529131 -071.11857125
111  42.71529655 -071.11855763
112  42.71529655 -071.11855763  42.71529784 -071.11859973 102
111  42.71534724 -071.11871199 102
111  42.71616469 -071.12051594
112  42.71616469 -071.12051594  42.71619038 -071.12057241 102
112  42.71626341 -071.12058587  42.71629816 -071.12058465
111  42.71626341 -071.12058587
112  42.71626341 -071.12058587  42.71630736 -071.12058433 102
111  42.71634566 -071.12055736 102
111  42.71646792 -071.12042287
112  42.71646792 -071.12042287  42.71656906 -071.12029983 102
111  42.71655725 -071.12012320
111  42.71676776 -071.12059390 102
112  42.71650354 -071.12056642  42.71637466 -071.12067869
111  42.71650354 -071.12056642 102
112  42.71634362 -071.12072718  42.71626114 -071.12081489
111  42.71634362 -071.12072718 102
111  42.71437601 -071.12291763
112  42.71437601 -071.12291763  42.71426388 -071.12304392 102
112  42.71442627 -071.12328599  42.71453453 -071.12333160
111  42.71442627 -071.12328599 102
111  42.71482868 -071.12344648 102
111  42.71513813 -071.12356990
111  42.71514261 -071.12354351
111  42.71532758 -071.12361558
112  42.71532758 -071.12361558  42.71543176 -071.12365359
111  42.71560951 -071.12354128
111  42.71524953 -071.12392402
112  42.71520228 -071.12375811  42.71510287 -071.12372031
111  42.71520228 -071.12375811
111  42.71510382 -071.12372034
111  42.71510919 -071.12369647 102
111  42.71480333 -071.12357207 102
111  42.71410541 -071.12328822 102
112  42.71386591 -071.12342124  42.71379395 -071.12351041
111  42.71386591 -071.12342124 102
111  42.71244464 -071.12524664 102
111  42.71235271 -071.12536471
111  42.71252302 -071.12566077
112  42.71250002 -071.12568953  42.71249912 -071.12570293
111  42.71250375 -071.12571745
111  42.71242543 -071.12580119
111  42.71235644 -071.12568784
111  42.71240617 -071.12563117
112  42.71240617 -071.12563117  42.71243928 -071.12558975
111  42.71240803 -071.12553558
111  42.71232599 -071.12539685 102
111  42.71081877 -071.12733878 102
112  42.71073915 -071.12749547  42.71071724 -071.12758668
111  42.71073915 -071.12749547 102
111  42.71064377 -071.12791818
112  42.71064377 -071.12791818  42.71062963 -071.12797593 102
112  42.71063863 -071.12807515  42.71064804 -071.12812310
111  42.71063863 -071.12807515
112  42.71063863 -071.12807515  42.71064808 -071.12812333 102
112  42.71069275 -071.12821286  42.71071805 -071.12825755
111  42.71069275 -071.12821286 102
111  42.71074817 -071.12830933
112  42.71074817 -071.12830933  42.71084999 -071.12848999 102
111  42.71106780 -071.12837949
111  42.71079004 -071.12867644 102
111  42.71046182 -071.12811687 102
111  42.71029706 -071.12783598 102
111  42.71040231 -071.12746764
112  42.71040231 -071.12746764  42.71055375 -071.12746910 102
112  42.71072130 -071.12728347  42.71079326 -071.12718407
111  42.71072130 -071.12728347 102
111  42.71222645 -071.12535400
112  42.71222645 -071.12535400  42.71227621 -071.12529229 102
112  42.71225128 -071.12515869  42.71223926 -071.12511237
111  42.71225128 -071.12515869
112  42.71225128 -071.12515869  42.71224621 -071.12513918 102
111  42.71224131 -071.12512695 102
111  42.71217649 -071.12501363 102
111  42.71198837 -071.12468477
111  42.71185251 -071.12444725
111  42.71167852 -071.12464312
112  42.71167852 -071.12464312  42.71165811 -071.12466797
112  42.71163341 -071.12476298  42.71161300 -071.12478637
111  42.71163341 -071.12476298
111  42.71154319 -071.12486676
111  42.71157863 -071.12492815
111  42.71152923 -071.12499685
112  42.71143901 -071.12497931  42.71139390 -071.12489892
111  42.71143901 -071.12497931
111  42.71141538 -071.12493546
111  42.71158830 -071.12475421
111  42.71148506 -071.12457132
111  42.71151938 -071.12453487
111  42.71173745 -071.12430334
111  42.71162020 -071.12410236
111  42.71164616 -071.12407190
111  42.71146805 -071.12376860
111  42.71210508 -071.12308823
111  42.71228236 -071.12342803
111  42.71223940 -071.12347480
111  42.71232210 -071.12362975
111  42.71238440 -071.12355666
112  42.71242414 -071.12357128  42.71244777 -071.12354643
111  42.71242414 -071.12357128
111  42.71250576 -071.12347480
111  42.71197519 -071.12251446
111  42.71207293 -071.12241506
111  42.71235415 -071.12291031
111  42.71259169 -071.12332864
111  42.71266794 -071.12324824
111  42.71214210 -071.12233884
111  42.71203319 -071.12215049
111  42.71207186 -071.12192977
111  42.71209871 -071.12189908
111  42.71211176 -071.12192245
111  42.71220074 -071.12208179
111  42.71223736 -071.12204310
111  42.71230690 -071.12214689
111  42.71227699 -071.12217826
111  42.71240971 -071.12241111
111  42.71241696 -071.12242383
111  42.71242578 -071.12243930
111  42.71245528 -071.12249107
111  42.71257020 -071.12236828
111  42.71239406 -071.12205548
111  42.71249932 -071.12194585
111  42.71282582 -071.12255100
111  42.71287953 -071.12251592
111  42.71262283 -071.12174851
111  42.71257235 -071.12171636
111  42.71242628 -071.12184353
111  42.71233821 -071.12167981
111  42.71227681 -071.12174561
111  42.71222115 -071.12164327
111  42.71227485 -071.12142694
111  42.71206649 -071.12133105
111  42.71211374 -071.12113752
111  42.71248213 -071.12131146
111  42.71252617 -071.12112290
111  42.71215971 -071.12095743
111  42.71221255 -071.12074724
111  42.71257987 -071.12090803
111  42.71262498 -071.12072531
111  42.71225766 -071.12055868
111  42.71231029 -071.12034527
111  42.71237660 -071.12037614
111  42.71267761 -071.12051629
111  42.71272164 -071.12033357
111  42.71263861 -071.12029547
111  42.71264861 -071.12025610
111  42.71272057 -071.12028533
112  42.71272057 -071.12028533  42.71275279 -071.12030117
112  42.71285590 -071.12037742  42.71289975 -071.12039691
111  42.71285590 -071.12037742
111  42.71290530 -071.12039935
111  42.71288167 -071.12050021
111  42.71291819 -071.12051483
111  42.71287201 -071.12070339
111  42.71292027 -071.12072503
111  42.71293720 -071.12073262
111  42.71324362 -071.12087003
111  42.71328980 -071.12067854
111  42.71333706 -071.12070047
111  42.71334780 -071.12073409
111  42.71349387 -071.12088757
111  42.71346428 -071.12101523
111  42.71338279 -071.12137761
111  42.71369954 -071.12151036
111  42.71374257 -071.12131082
111  42.71377832 -071.12114503
111  42.71408979 -071.12149585
111  42.71403717 -071.12172973
112  42.71403717 -071.12172973  42.71401658 -071.12181865
112  42.71414994 -071.12184082  42.71418485 -071.12179454
111  42.71414994 -071.12184082
111  42.71417059 -071.12181819
111  42.71425147 -071.12172950
111  42.71434299 -071.12162914
111  42.71437498 -071.12159407
111  42.71471467 -071.12122160
111  42.71483517 -071.12108948
111  42.71474160 -071.12092569
111  42.71471904 -071.12093446
111  42.71466856 -071.12099001
111  42.71459982 -071.12087599
111  42.71533446 -071.12006470
111  42.71536238 -071.12010856
111  42.71532479 -071.12015095
111  42.71546120 -071.12038191
111  42.71562874 -071.12019919
111  42.71592625 -071.12069620
111  42.71560297 -071.12103826
112  42.71560297 -071.12103826  42.71552241 -071.12112158
112  42.71572433 -071.12125168  42.71580488 -071.12116689
111  42.71572433 -071.12125168 102
111  42.71604117 -071.12090085
112  42.71604117 -071.12090085  42.71613526 -071.12079384 102
111  42.71606587 -071.12064503 102
111  42.71561612 -071.11966727
111  42.71521967 -071.12012644
111  42.71504181 -071.11983525
111  42.71478405 -071.12012469
111  42.71476343 -071.12009136
111  42.71495804 -071.11985630
112  42.71495804 -071.11985630  42.71502570 -071.11977883
112  42.71517199 -071.11966510  42.71523428 -071.11959640
111  42.71517199 -071.11966510
111  42.71547486 -071.11934409 102
111  42.71533309 -071.11903361 102
111  42.71511471 -071.11896957 102
112  42.71509012 -071.11894388  42.71507818 -071.11891647
111  42.71509012 -071.11894388 102
111  42.71500215 -071.11874663
112  42.71500215 -071.11874663  42.71499320 -071.11872633 102
111  42.71499867 -071.11870726 102
111  42.71501733 -071.11855298 102
111  42.71526531 -071.11835559 102
111  42.71561831 -071.11807462
111  42.71584741 -071.11788265 102
111  42.71619281 -071.11758060 102
111  42.71630874 -071.11748470 102
111  42.71654073 -071.11755661 102
112  42.71657295 -071.11759345  42.71658638 -071.11762025
111  42.71657295 -071.11759345 102
111  42.71675081 -071.11797937
112  42.71675081 -071.11797937  42.71676245 -071.11800373 102
111  42.71674823 -071.11805305 102
112  42.71672890 -071.11834073  42.71676739 -071.11844671
111  42.71672890 -071.11834073 102
111  42.71725732 -071.11950727
112  42.71725732 -071.11950727  42.71734861 -071.11971339 102
112  42.71748588 -071.11942043  42.71742143 -071.11931226
111  42.71748588 -071.11942043
111  42.71689000 -071.11839862
111  42.71711426 -071.11816180
111  42.71722955 -071.11836793
111  42.71731090 -071.11851338
111  42.71733207 -071.11855123
111  42.71755891 -071.11830740
112  42.71755891 -071.11830740  42.71757144 -071.11829278
111  42.71755375 -071.11826354
111  42.71762851 -071.11818811
111  42.71770315 -071.11834097
112  42.71770315 -071.11834097  42.71772284 -071.11838361
111  42.71768522 -071.11842142
111  42.71758816 -071.11852857
112  42.71758816 -071.11852857  42.71746644 -071.11866257
112  42.71752540 -071.11876875  42.71756031 -071.11881017
111  42.71752540 -071.11876875
111  42.71771099 -071.11896698
111  42.71785276 -071.11895645
111  42.71795716 -071.11921081
111  42.71790432 -071.11925993
111  42.71791592 -071.11930905 102
111  42.71848556 -071.11899259 102
111  42.72064444 -071.11669017
112  42.72064444 -071.11669017  42.72073724 -071.11657228 102
111  42.72078106 -071.11632353 102
111  42.72082359 -071.11604108
112  42.72082359 -071.11604108  42.72116260 -071.11593206 102
112  42.72153559 -071.11618526  42.72167821 -071.11632155
111  42.72153559 -071.11618526
112  42.72153559 -071.11618526  42.72166559 -071.11630950 102
111  42.72172268 -071.11644984 102
111  42.72153632 -071.11706034
112  42.72153632 -071.11706034  42.72152236 -071.11710858 102
111  42.72155178 -071.11714981 102
111  42.72156970 -071.11718076
111  42.72181986 -071.11761295
111  42.71822706 -071.12144836 102
112  42.71824181 -071.12167718  42.71828499 -071.12179150
111  42.71824181 -071.12167718 102
111  42.71843473 -071.12209880 102
111  42.71845080 -071.12213392
112  42.71845080 -071.12213392  42.71849018 -071.12221432
111  42.71855649 -071.12216038
111  42.71888607 -071.12180636
111  42.72002097 -071.12430807
112  42.72002097 -071.12430807  42.72004692 -071.12436046
111  42.72008026 -071.12437123
111  42.72066925 -071.12460630
111  42.72047851 -071.12544660
111  42.72050042 -071.12551853
111  42.72054939 -071.12553432
111  42.72068601 -071.12487295
111  42.72153406 -071.12520451
112  42.72153406 -071.12520451  42.72158561 -071.12522498
112  42.72167068 -071.12534837  42.72171579 -071.12536445
111  42.72167068 -071.12534837
111  42.72181632 -071.12540275
112  42.72181632 -071.12540275  42.72192694 -071.12543637
111  42.72190267 -071.12550099
111  42.72184854 -071.12576940
111  42.72196324 -071.12581852
111  42.72195422 -071.12585010
111  42.72184080 -071.12580624
111  42.72180343 -071.12600624
112  42.72180343 -071.12600624  42.72179484 -071.12605448
111  42.72184056 -071.12605190
111  42.72184829 -071.12613611
112  42.72184056 -071.12620628  42.72184270 -071.12625452
111  42.72184056 -071.12620628
112  42.72184056 -071.12620628  42.72184270 -071.12628376
111  42.72188824 -071.12643259
111  42.72194109 -071.12662381
112  42.72194109 -071.12662381  42.72197868 -071.12678462
111  42.72191703 -071.12692965
111  42.72227232 -071.12771149
111  42.72135853 -071.12848164 102
111  42.72162017 -071.12856059 102
111  42.72171683 -071.12879391 102
111  42.72168074 -071.12897285 102
111  42.72146283 -071.12915454 102
111  42.72111376 -071.12944556
111  42.72089328 -071.12962939 102
111  42.72053471 -071.12992835 102
112  42.72031432 -071.12986519  42.72023269 -071.12969561
111  42.72031432 -071.12986519 102
111  42.72001342 -071.12919466 102
111  42.71980184 -071.12913911 102
112  42.71977606 -071.12910841  42.71976210 -071.12907771
111  42.71977606 -071.12910841 102
111  42.71965255 -071.12883357
112  42.71965255 -071.12883357  42.71964018 -071.12881252 102
111  42.71965147 -071.12876633 102
111  42.71969766 -071.12851049 102
111  42.71806714 -071.12492124 102
112  42.71800141 -071.12486335  42.71795200 -071.12484435
111  42.71800141 -071.12486335 102
111  42.71643606 -071.12423107 102
111  42.71601347 -071.12406037
111  42.71600444 -071.12408493
112  42.71600444 -071.12408493  42.71585752 -071.12402353
111  42.71576214 -071.12407440
111  42.71613333 -071.12367972 102
112  42.71618746 -071.12399547  42.71633310 -071.12406914
111  42.71618746 -071.12399547 102
111  42.71646330 -071.12410608 102
111  42.71825526 -071.12482470 102
111  42.71840807 -071.12488598
112  42.71840807 -071.12488598  42.71861686 -071.12495124 102
111  42.71861532 -071.12465232
111  42.71888906 -071.12525437 102
112  42.71880555 -071.12519122  42.71875990 -071.12517051
111  42.71880555 -071.12519122 102
111  42.71840807 -071.12503965
112  42.71840807 -071.12503965  42.71837664 -071.12502946 102
112  42.71833374 -071.12508318  42.71831653 -071.12511572
111  42.71833374 -071.12508318
112  42.71833374 -071.12508318  42.71830978 -071.12512846 102
112  42.71831837 -071.12523121  42.71833451 -071.12526666
111  42.71831837 -071.12523121 102
111  42.72033785 -071.12966494
112  42.72033785 -071.12966494  42.72036470 -071.12971610 102
112  42.72044353 -071.12977984  42.72045534 -071.12978131
111  42.72044353 -071.12977984
112  42.72044353 -071.12977984  42.72044706 -071.12978028 102
112  42.72046977 -071.12978011  42.72048397 -071.12977785
111  42.72046977 -071.12978011
112  42.72046977 -071.12978011  42.72050308 -071.12977482 102
112  42.72058444 -071.12973628  42.72061080 -071.12971373
111  42.72058444 -071.12973628 102
111  42.72077777 -071.12957313
112  42.72077777 -071.12957313  42.72081128 -071.12953980 102
113  42.72082030 -071.12948717
111  42.71195260 -071.12401341
111  42.71181405 -071.12377223
111  42.71169483 -071.12390086
111  42.71182694 -071.12414350
113  42.71186357 -071.12410558
111  42.71201597 -071.12335564
111  42.71195153 -071.12342434
111  42.71215774 -071.12378246
113  42.71222540 -071.12371084
111  42.71268998 -071.12290696
112  42.71268998 -071.12290696  42.71272327 -071.12296689
111  42.71280275 -071.12293034
112  42.71281564 -071.12279294  42.71278020 -071.12273155
111  42.71281564 -071.12279294
111  42.71277020 -071.12271358
111  42.71259503 -071.12240763
111  42.71247388 -071.12252691
113  42.71265127 -071.12283889
111  42.71510562 -071.12063392
111  42.71502443 -071.12049710
111  42.71473315 -071.12082161
113  42.71481821 -071.12096194
111  42.71529766 -071.12054446
111  42.71530668 -071.12056025
111  42.71543428 -071.12041641
111  42.71528993 -071.12017784
111  42.71511336 -071.12038308
113  42.71524611 -071.12060059
111  42.72018239 -071.12483994
111  42.72025041 -071.12453537
111  42.72004993 -071.12445497
113  42.71998280 -071.12475953
111  42.72055186 -071.12462024
111  42.72041138 -071.12456059
111  42.72031213 -071.12501495
113  42.72045391 -071.12506933
111  42.72034049 -071.12558334
111  42.72043973 -071.12512722
111  42.72029925 -071.12507284
113  42.72020129 -071.12552720
111  42.72093849 -071.12498871
111  42.72077764 -071.12492976
111  42.72063226 -071.12566656
113  42.72079466 -071.12572340
111  42.72122306 -071.12513817
111  42.72108078 -071.12508344
111  42.72094932 -071.12577393
113  42.72109315 -071.12582656
111  42.72152001 -071.12524343
111  42.72137772 -071.12518869
111  42.72124781 -071.12588340
113  42.72138855 -071.12593182
111  42.72180149 -071.12544131
111  42.72165766 -071.12538658
111  42.72155713 -071.12592761
113  42.72169632 -071.12597813
111  42.72214102 -071.12760615
111  42.72206111 -071.12743598
111  42.72171570 -071.12772720
113  42.72179819 -071.12789737
111  42.72168348 -071.12773597
111  42.72155423 -071.12784863
111  42.72153655 -071.12786404
111  42.72162677 -071.12806403
113  42.72177499 -071.12794123
111  42.72152753 -071.12787807
111  42.72151584 -071.12788769
111  42.72147394 -071.12792213
111  42.72143210 -071.12795652
111  42.72139736 -071.12798509
111  42.72143913 -071.12807769
111  42.72148758 -071.12818508
113  42.72161388 -071.12807631
111  42.72124914 -071.12752896
111  42.72116279 -071.12759387
111  42.72124012 -071.12776404
113  42.72132389 -071.12769212
111  42.72156748 -071.12748511
111  42.72149144 -071.12731318
111  42.72125816 -071.12751493
113  42.72133292 -071.12768334
111  42.72193867 -071.12717284
